actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
36,PT08M28.00S,2022-02-04T03:10:32.8Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,6,7,2022-02-04T03:10:35Z,360000,,,0,,A. Coffey REBOUND (Off:0 Def:2),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,,,,,,,
37,PT08M09.00S,2022-02-04T03:10:51.7Z,1,REGULAR,turnover,bad pass,[],202704,,,1610612746,6,7,2022-02-04T03:10:57Z,370000,,,0,,R. Jackson bad pass TURNOVER (1 TO),"[202704, 1626169]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,1.0,Johnson,1626169.0,,,,,,,
38,PT08M09.00S,2022-02-04T03:10:51.7Z,1,REGULAR,steal,,[],1626169,,,1610612747,6,7,2022-02-04T03:10:54Z,380000,,,0,,S. Johnson STEAL (1 STL),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M01.00S,2022-02-04T03:11:00.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202340,92.16491458607096,50.49019607843137,1610612747,6,7,2022-02-04T03:11:05Z,390000,2.0,21.0,1,right,MISS A. Bradley driving Layup - blocked,"[202340, 201587]",1610612747.0,LAL,driving,,,Bradley,A. Bradley,,,,,2.12,Missed,,,,,,,,,,,,,Batum,201587.0,,,,,
40,PT08M01.00S,2022-02-04T03:11:00.3Z,1,REGULAR,block,,[],201587,,,1610612747,6,7,2022-02-04T03:11:04Z,400000,,,0,,N. Batum BLOCK (1 BLK),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT07M57.00S,2022-02-04T03:11:04.3Z,1,REGULAR,rebound,defensive,[],201586,,,1610612746,6,7,2022-02-04T03:11:05Z,410000,,,0,,S. Ibaka REBOUND (Off:0 Def:2),[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,
42,PT07M51.00S,2022-02-04T03:11:09.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202704,3.3344283837056423,96.32352941176471,1610612746,6,7,2022-02-04T03:12:36Z,420000,-232.0,-21.0,1,left,MISS R. Jackson 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,23.26,Missed,,,,,,,,,,,,,,,,,,,
43,PT07M48.00S,2022-02-04T03:11:12.0Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,6,7,2022-02-04T03:21:38Z,430000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,
44,PT07M43.00S,2022-02-04T03:11:17.8Z,1,REGULAR,turnover,bad pass,[],202340,,,1610612747,6,7,2022-02-04T03:11:21Z,440000,,,0,,A. Bradley bad pass TURNOVER (2 TO),"[202340, 201587]",1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,2.0,Batum,201587.0,,,,,,,
45,PT07M43.00S,2022-02-04T03:11:17.8Z,1,REGULAR,steal,,[],201587,,,1610612746,6,7,2022-02-04T03:11:19Z,450000,,,0,,N. Batum STEAL (1 STL),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M39.00S,2022-02-04T03:11:21.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201586,9.773324572930349,52.450980392156865,1610612746,8,7,2022-02-04T03:11:29Z,460000,-12.0,39.0,1,left,S. Ibaka Hook (6 PTS) (M. Morris Sr. 1 AST),"[201586, 202694]",1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,4.13,Made,6.0,,,,,M. Morris Sr.,202694.0,1.0,,,,,,,,,,,
48,PT07M14.00S,2022-02-04T03:11:48.0Z,1,REGULAR,3pt,Jump Shot,[],201566,67.59198423127464,41.17647058823529,1610612747,8,7,2022-02-04T03:15:40Z,480000,-44.0,252.0,1,right,MISS R. Westbrook 25' step back 3PT - blocked,"[201566, 201587]",1610612747.0,LAL,step back,,,Westbrook,R. Westbrook,,,,,25.59,Missed,,,,,,,,,,,,,Batum,201587.0,,,,,
49,PT07M14.00S,2022-02-04T03:11:48.0Z,1,REGULAR,block,,[],201587,,,1610612747,8,7,2022-02-04T03:11:51Z,490000,,,0,,N. Batum BLOCK (2 BLK),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M14.00S,2022-02-04T03:11:48.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,8,7,2022-02-04T03:12:06Z,500000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,
51,PT07M14.00S,2022-02-04T03:11:53.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612747,8,7,2022-02-04T03:11:59Z,510000,,,0,,LAL shot clock Team TURNOVER,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,2534.0,,,,,,,,,,
52,PT07M03.00S,2022-02-04T03:12:15.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202694,34.477660972404735,54.411764705882355,1610612746,11,7,2022-02-04T03:12:19Z,520000,-22.0,272.0,1,left,M. Morris Sr. 27' 3PT  (3 PTS) (R. Jackson 3 AST),"[202694, 202704]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,27.25,Made,3.0,,,,,R. Jackson,202704.0,3.0,,,,,,,,,,,
54,PT07M00.00S,2022-02-04T03:12:24.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,11,7,2022-02-04T03:12:24Z,540000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M41.00S,2022-02-04T03:16:07.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626169,91.50788436268068,46.81372549019608,1610612747,11,7,2022-02-04T03:16:12Z,550000,-16.0,27.0,1,right,MISS S. Johnson driving reverse Layup - blocked,"[1626169, 202704]",1610612747.0,LAL,driving reverse,,,Johnson,S. Johnson,,,,,3.16,Missed,,,,,,,,,,,,,Jackson,202704.0,,,,,
56,PT06M41.00S,2022-02-04T03:16:07.7Z,1,REGULAR,block,,[],202704,,,1610612747,11,7,2022-02-04T03:16:10Z,560000,,,0,,R. Jackson BLOCK (1 BLK),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M38.00S,2022-02-04T03:16:10.7Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,11,7,2022-02-04T03:16:12Z,570000,,,0,,A. Coffey REBOUND (Off:0 Def:3),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,55.0,3.0,3.0,0.0,,,,,,,,,,,,,,
58,PT06M29.00S,2022-02-04T03:16:19.4Z,1,REGULAR,2pt,Jump Shot,[],201586,16.343626806833115,25.735294117647058,1610612746,11,7,2022-02-04T03:16:24Z,580000,121.0,101.0,1,left,MISS S. Ibaka 15' Jump Shot,[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,15.79,Missed,,,,,,,,,,,,,,,,,,,
59,PT06M25.00S,2022-02-04T03:16:23.4Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,11,7,2022-02-04T03:16:24Z,590000,,,0,,R. Westbrook REBOUND (Off:0 Def:2),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,,
60,PT06M15.00S,2022-02-04T03:16:33.9Z,1,REGULAR,2pt,Jump Shot,[],201566,83.75492772667542,26.225490196078425,1610612747,11,9,2022-02-04T03:16:38Z,600000,-119.0,100.0,1,right,R. Westbrook 15' pullup bank Jump Shot (2 PTS),[201566],1610612747.0,LAL,pullup bank,,,Westbrook,R. Westbrook,,,,,15.55,Made,2.0,,,,,,,,,,,,,,,,,,
61,PT05M56.00S,2022-02-04T03:16:54.5Z,1,REGULAR,foul,personal,['2freethrow'],203076,,,1610612746,11,9,2022-02-04T03:17:26Z,610000,,,0,,A. Davis shooting personal FOUL (1 PF) (Morris Sr. 2 FT),"[203076, 202694]",1610612747.0,LAL,shooting,,,Davis,A. Davis,,,,,,,,,,,,,,,1627962.0,,,,,,1.0,0.0,Morris Sr.,202694.0,
63,PT05M56.00S,2022-02-04T03:17:27.1Z,1,REGULAR,freethrow,1 of 2,[],202694,,,1610612746,12,9,2022-02-04T03:18:01Z,630000,,,0,,M. Morris Sr. Free Throw 1 of 2 (4 PTS),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
64,PT05M56.00S,2022-02-04T03:17:27.8Z,1,REGULAR,substitution,out,[],201566,,,1610612746,12,9,2022-02-04T03:17:32Z,640000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M56.00S,2022-02-04T03:17:27.8Z,1,REGULAR,substitution,in,[],1629659,,,1610612746,12,9,2022-02-04T03:17:32Z,650000,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M56.00S,2022-02-04T03:17:27.1Z,1,REGULAR,freethrow,2 of 2,[],202694,,,1610612746,12,9,2022-02-04T03:18:01Z,660000,,,0,,MISS M. Morris Sr. Free Throw 2 of 2,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,Missed,,,,,,,,,,,,,,,,,,,
67,PT05M54.00S,2022-02-04T03:17:29.1Z,1,REGULAR,rebound,defensive,[],1626169,,,1610612747,12,9,2022-02-04T03:18:01Z,670000,,,0,,S. Johnson REBOUND (Off:0 Def:1),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,
68,PT05M36.00S,2022-02-04T03:18:12.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628370,91.37647831800263,49.26470588235294,1610612747,12,11,2022-02-04T03:20:45Z,680000,-4.0,29.0,1,right,M. Monk driving finger roll Layup (2 PTS),[1628370],1610612747.0,LAL,driving finger roll,,,Monk,M. Monk,,,,,2.88,Made,2.0,,,,,,,,,,,,,,,,,,
69,PT05M29.00S,2022-02-04T03:18:26.1Z,1,REGULAR,foul,personal,[],202340,,,1610612746,12,11,2022-02-04T03:18:31Z,690000,,,0,,A. Bradley personal FOUL (1 PF),"[202340, 202704]",1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,1626302.0,,,,,,1.0,0.0,Jackson,202704.0,
71,PT05M23.00S,2022-02-04T03:18:50.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629599,17.526281208935615,57.35294117647059,1610612746,12,11,2022-02-04T03:18:55Z,710000,-37.0,112.0,1,left,MISS A. Coffey 11' Jump Shot,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,11.81,Missed,,,,,,,,,,,,,,,,,,,
72,PT05M20.00S,2022-02-04T03:18:53.6Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,12,11,2022-02-04T03:18:55Z,720000,,,0,,A. Davis REBOUND (Off:0 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,71.0,3.0,3.0,0.0,,,,,,,,,,,,,,
73,PT05M09.00S,2022-02-04T03:19:04.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,93.08475689881735,46.568627450980394,1610612747,12,13,2022-02-04T03:21:57Z,730000,-17.0,13.0,1,right,T. Horton-Tucker driving finger roll Layup (2 PTS),[1629659],1610612747.0,LAL,driving finger roll,,,Horton-Tucker,T. Horton-Tucker,,,,,2.13,Made,2.0,,,,,,,,,,,,,,,,,,
74,PT04M54.00S,2022-02-04T03:19:18.5Z,1,REGULAR,3pt,Jump Shot,[],202694,29.352825229960573,79.90196078431373,1610612746,15,13,2022-02-04T03:19:23Z,740000,-150.0,223.0,1,left,M. Morris Sr. 26' 3PT  (7 PTS) (N. Batum 1 AST),"[202694, 201587]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,26.88,Made,7.0,,,,,N. Batum,201587.0,1.0,,,,,,,,,,,
76,PT04M41.00S,2022-02-04T03:19:32.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,85.46320630749014,38.48039215686274,1610612747,15,13,2022-02-04T03:19:37Z,760000,-58.0,84.0,1,right,MISS A. Davis 10' driving floating Shot,[203076],1610612747.0,LAL,driving floating,,,Davis,A. Davis,,,,,10.19,Missed,,,,,,,,,,,,,,,,,,,
77,PT04M39.00S,2022-02-04T03:19:34.2Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,15,13,2022-02-04T03:19:37Z,770000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:2),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,76.0,2.0,2.0,0.0,,,,,,,,,,,,,,
78,PT04M33.00S,2022-02-04T03:19:40.4Z,1,REGULAR,2pt,Jump Shot,[],201587,18.446123521681997,29.166666666666657,1610612746,15,13,2022-02-04T03:19:45Z,780000,104.0,121.0,1,left,MISS N. Batum 15' pullup Shot,[201587],1610612746.0,LAC,pullup,,,Batum,N. Batum,,,,,15.96,Missed,,,,,,,,,,,,,,,,,,,
79,PT04M29.00S,2022-02-04T03:19:44.4Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612747,15,13,2022-02-04T03:19:45Z,790000,,,0,,M. Monk REBOUND (Off:0 Def:2),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,78.0,2.0,2.0,0.0,,,,,,,,,,,,,,
80,PT04M23.00S,2022-02-04T03:19:50.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628370,90.98226018396846,52.450980392156865,1610612747,15,13,2022-02-04T03:20:34Z,800000,12.0,32.0,1,right,MISS M. Monk running Layup,[1628370],1610612747.0,LAL,running,,,Monk,M. Monk,,,,,3.46,Missed,,,,,,,,,,,,,,,,,,,
81,PT04M22.00S,2022-02-04T03:19:51.1Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,15,13,2022-02-04T03:19:54Z,810000,,,0,,A. Davis REBOUND (Off:1 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,80.0,4.0,3.0,1.0,,,,,,,,,,,,,,
82,PT04M22.00S,2022-02-04T03:19:52.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203076,93.08475689881735,49.50980392156863,1610612747,15,15,2022-02-04T03:20:40Z,820000,-2.0,13.0,1,right,A. Davis putback DUNK (6 PTS),[203076],1610612747.0,LAL,putback,,,Davis,A. Davis,,,,,1.27,Made,6.0,,,,,,,,,,,,,,,,,,
83,PT04M22.00S,2022-02-04T03:20:00.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,15,15,2022-02-04T03:20:00Z,830000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M22.00S,2022-02-04T03:23:03.8Z,1,REGULAR,substitution,out,[],202704,,,1610612746,15,15,2022-02-04T03:23:15Z,840000,,,0,,SUB out: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M22.00S,2022-02-04T03:23:03.8Z,1,REGULAR,substitution,out,[],1626169,,,1610612746,15,15,2022-02-04T03:23:15Z,850000,,,0,,SUB out: S. Johnson,[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M22.00S,2022-02-04T03:23:03.8Z,1,REGULAR,substitution,out,[],202340,,,1610612746,15,15,2022-02-04T03:23:15Z,860000,,,0,,SUB out: A. Bradley,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M22.00S,2022-02-04T03:23:03.8Z,1,REGULAR,substitution,in,[],202339,,,1610612746,15,15,2022-02-04T03:23:15Z,870000,,,0,,SUB in: E. Bledsoe,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
