actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
16,PT10M38.00S,2021-10-26T02:43:11.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,2,3,2021-10-26T02:43:11Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M35.00S,2021-10-26T02:43:26.3Z,1,REGULAR,2pt,Jump Shot,[],202331,18.05190538764782,84.06862745098039,1610612746,4,3,2021-10-26T02:43:32Z,170000,-170.0,117.0,1,left,P. George 20' Jump Shot (2 PTS) (E. Bledsoe 1 AST),"[202331, 202339]",1610612746.0,LAC,,,,George,P. George,,,,,,,,20.67,Made,2.0,E. Bledsoe,202339.0,1.0,,,,,,,,,,,
19,PT10M20.00S,2021-10-26T02:43:40.3Z,1,REGULAR,2pt,Jump Shot,[],203468,75.21353482260184,33.08823529411765,1610612757,4,3,2021-10-26T02:43:45Z,190000,-85.0,180.0,1,right,MISS C. McCollum 19' step back Shot,[203468],1610612757.0,POR,step back,,,McCollum,C. McCollum,,,,,,,,19.93,Missed,,,,,,,,,,,,,,,
20,PT10M18.00S,2021-10-26T02:43:42.3Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,4,3,2021-10-26T02:43:45Z,200000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,
21,PT10M09.00S,2021-10-26T02:43:52.3Z,1,REGULAR,3pt,Jump Shot,[],202331,11.48160315374507,95.83333333333333,1610612746,7,3,2021-10-26T02:43:57Z,210000,-229.0,55.0,1,left,P. George 3PT  (5 PTS) (R. Jackson 1 AST),"[202331, 202704]",1610612746.0,LAC,,,,George,P. George,,,,,,,,23.58,Made,5.0,R. Jackson,202704.0,1.0,,,,,,,,,,,
23,PT09M49.00S,2021-10-26T02:44:12.0Z,1,REGULAR,3pt,Jump Shot,[],203468,70.87713534822602,22.058823529411768,1610612757,7,3,2021-10-26T02:44:17Z,230000,-140.0,221.0,1,right,MISS C. McCollum 26' 3PT,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,26.17,Missed,,,,,,,,,,,,,,,
24,PT09M45.00S,2021-10-26T02:44:16.0Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,7,3,2021-10-26T02:44:17Z,240000,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,
25,PT09M39.00S,2021-10-26T02:44:21.6Z,1,REGULAR,2pt,Jump Shot,[],202331,6.8823915900131425,78.43137254901961,1610612746,7,3,2021-10-26T02:44:25Z,250000,-142.0,12.0,1,left,MISS P. George 14' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,,,,14.27,Missed,,,,,,,,,,,,,,,
26,PT09M36.00S,2021-10-26T02:44:24.6Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,7,3,2021-10-26T02:44:25Z,260000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,
27,PT09M28.00S,2021-10-26T02:44:32.3Z,1,REGULAR,3pt,Jump Shot,[],203468,66.01511169513799,56.372549019607845,1610612757,7,3,2021-10-26T02:44:39Z,270000,32.0,267.0,1,right,MISS C. McCollum 26' 3PT,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,26.89,Missed,,,,,,,,,,,,,,,
28,PT09M25.00S,2021-10-26T02:44:35.3Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,7,3,2021-10-26T02:44:39Z,280000,,,0,,R. Jackson REBOUND (Off:0 Def:2),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,
29,PT09M15.00S,2021-10-26T02:44:46.7Z,1,REGULAR,3pt,Jump Shot,[],201587,17.526281208935615,3.4313725490196134,1610612746,7,3,2021-10-26T02:44:51Z,290000,233.0,112.0,1,left,MISS N. Batum 25' 3PT,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,25.84,Missed,,,,,,,,,,,,,,,
30,PT09M11.00S,2021-10-26T02:44:50.7Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,7,3,2021-10-26T02:44:51Z,300000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,
31,PT09M05.00S,2021-10-26T02:44:58.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",203081,94.53022339027595,45.09803921568627,1610612757,7,5,2021-10-26T02:45:42Z,310000,-25.0,-1.0,1,right,D. Lillard driving Layup (2 PTS),[203081],1610612757.0,POR,driving,,,Lillard,D. Lillard,,,,,,,,2.45,Made,2.0,,,,,,,,,,,,,,
34,PT09M05.00S,2021-10-26T02:45:13.8Z,1,REGULAR,violation,defensive goaltending,[],201587,,,1610612757,7,5,2021-10-26T02:45:42Z,340000,,,0,,N. Batum defensive goaltending VIOLATION,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,2715.0,,,,,,
35,PT08M51.00S,2021-10-26T02:45:27.6Z,1,REGULAR,3pt,Jump Shot,[],202704,10.298948751642584,4.901960784313729,1610612746,7,5,2021-10-26T02:45:37Z,350000,225.0,44.0,1,left,MISS R. Jackson 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,22.98,Missed,,,,,,,,,,,,,,,
36,PT08M49.00S,2021-10-26T02:45:29.8Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,7,5,2021-10-26T02:45:29Z,360000,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,
37,PT08M31.00S,2021-10-26T02:45:46.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629642,92.42772667542707,45.833333333333336,1610612757,7,7,2021-10-26T02:45:52Z,370000,-21.0,19.0,1,right,N. Little driving bank Jump Shot (5 PTS) (C. McCollum 2 AST),"[1629642, 203468]",1610612757.0,POR,driving bank,,,Little,N. Little,,,,,,,,2.8,Made,5.0,C. McCollum,203468.0,2.0,,,,,,,,,,,
39,PT08M19.00S,2021-10-26T02:45:58.0Z,1,REGULAR,3pt,Jump Shot,[],202704,9.247700394218143,4.901960784313729,1610612746,7,7,2021-10-26T02:46:03Z,390000,225.0,34.0,1,left,MISS R. Jackson 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,22.81,Missed,,,,,,,,,,,,,,,
40,PT08M16.00S,2021-10-26T02:46:01.0Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,7,7,2021-10-26T02:46:03Z,400000,,,0,,C. McCollum REBOUND (Off:0 Def:2),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,39.0,2.0,2.0,0.0,,,,,,,
41,PT08M01.00S,2021-10-26T02:46:16.7Z,1,REGULAR,3pt,Jump Shot,[],203496,83.88633377135349,97.05882352941177,1610612757,7,7,2021-10-26T02:46:22Z,410000,235.0,99.0,1,right,MISS R. Covington 25' 3PT,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,25.53,Missed,,,,,,,,,,,,,,,
42,PT07M58.00S,2021-10-26T02:46:19.7Z,1,REGULAR,rebound,defensive,[],202339,,,1610612746,7,7,2021-10-26T02:46:22Z,420000,,,0,,E. Bledsoe REBOUND (Off:0 Def:1),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,
43,PT07M51.00S,2021-10-26T02:46:27.3Z,1,REGULAR,3pt,Jump Shot,[],202331,33.03219448094612,68.38235294117646,1610612746,7,7,2021-10-26T02:46:32Z,430000,-92.0,258.0,1,left,MISS P. George 27' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,27.39,Missed,,,,,,,,,,,,,,,
44,PT07M47.00S,2021-10-26T02:46:31.3Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,7,7,2021-10-26T02:46:32Z,440000,,,0,,N. Little REBOUND (Off:0 Def:1),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,
45,PT07M36.00S,2021-10-26T02:46:41.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,89.75032851511169,64.31525735294117,1610612757,7,9,2021-10-26T02:46:48Z,450000,72.0,44.0,1,right,D. Lillard 8' driving floating bank Jump Shot (4 PTS) (J. Nurkic 1 AST),"[203081, 203994]",1610612757.0,POR,driving floating bank,,,Lillard,D. Lillard,,,,,,,,8.39,Made,4.0,J. Nurkic,203994.0,1.0,,,,,,,,,,,
47,PT07M25.00S,2021-10-26T02:46:53.0Z,1,REGULAR,3pt,Jump Shot,[],202704,28.038764783180028,80.63725490196079,1610612746,10,9,2021-10-26T02:46:57Z,470000,-153.0,211.0,1,left,R. Jackson 26' 3PT  (5 PTS) (E. Bledsoe 2 AST),"[202704, 202339]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,26.08,Made,5.0,E. Bledsoe,202339.0,2.0,,,,,,,,,,,
49,PT07M10.00S,2021-10-26T02:47:07.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,93.87319316688567,40.19607843137255,1610612757,10,11,2021-10-26T02:50:36Z,490000,-49.0,5.0,1,right,C. McCollum step back Jump Shot (2 PTS) (D. Lillard 1 AST),"[203468, 203081]",1610612757.0,POR,step back,,,McCollum,C. McCollum,,,,,,,,4.93,Made,2.0,D. Lillard,203081.0,1.0,,,,,,,,,,,
51,PT07M03.00S,2021-10-26T02:47:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,8.853482260183966,50.49019607843137,1610612746,10,11,2021-10-26T02:47:34Z,510000,-2.0,31.0,1,left,MISS P. George driving Layup - blocked,"[202331, 203468]",1610612746.0,LAC,driving,,,George,P. George,,,,,,,,3.08,Missed,,,,,,,,,,McCollum,203468.0,,,,
52,PT07M03.00S,2021-10-26T02:47:18.1Z,1,REGULAR,block,,[],203468,,,1610612746,10,11,2021-10-26T02:47:21Z,520000,,,0,,C. McCollum BLOCK (1 BLK),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M03.00S,2021-10-26T02:47:18.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,10,11,2021-10-26T02:47:34Z,530000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,
54,PT07M03.00S,2021-10-26T02:47:23.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,10,11,2021-10-26T02:47:23Z,540000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M03.00S,2021-10-26T02:47:24.2Z,1,REGULAR,substitution,out,[],203994,,,1610612746,10,11,2021-10-26T02:47:27Z,550000,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M03.00S,2021-10-26T02:47:24.2Z,1,REGULAR,substitution,in,[],203469,,,1610612746,10,11,2021-10-26T02:47:27Z,560000,,,0,,SUB in: C. Zeller,[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M00.00S,2021-10-26T02:47:35.3Z,1,REGULAR,turnover,bad pass,[],202339,,,1610612746,10,11,2021-10-26T02:47:46Z,570000,,,0,,E. Bledsoe bad pass TURNOVER (1 TO),"[202339, 203468]",1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,1.0,McCollum,203468.0,,,,,,,,,,,,,,,,,
58,PT07M00.00S,2021-10-26T02:47:35.3Z,1,REGULAR,steal,,[],203468,,,1610612757,10,11,2021-10-26T02:47:37Z,580000,,,0,,C. McCollum STEAL (1 STL),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M56.00S,2021-10-26T02:47:44.3Z,1,REGULAR,turnover,traveling,[],203468,,,1610612757,10,11,2021-10-26T02:47:51Z,590000,,,0,,C. McCollum traveling TURNOVER (1 TO),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,1.0,,,,,,,,,,,,,2715.0,,,,,,
60,PT06M56.00S,2021-10-26T02:47:50.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,10,11,2021-10-26T02:47:50Z,600000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M38.00S,2021-10-26T02:50:53.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202331,32.50657030223391,74.50980392156863,1610612746,13,11,2021-10-26T02:51:01Z,610000,-123.0,253.0,1,left,P. George 28' 3PT  (8 PTS) (E. Bledsoe 3 AST),"[202331, 202339]",1610612746.0,LAC,,,,George,P. George,,,,,,,,28.12,Made,8.0,E. Bledsoe,202339.0,3.0,,,,,,,,,,,
63,PT06M17.00S,2021-10-26T02:51:19.0Z,1,REGULAR,foul,personal,[],201587,,,1610612757,13,11,2021-10-26T02:51:27Z,630000,,,0,,N. Batum personal FOUL (1 PF),"[201587, 203468]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,1627541.0,,,1.0,0.0,McCollum,203468.0
65,PT06M08.00S,2021-10-26T02:51:47.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203469,93.08475689881735,45.34313725490197,1610612757,13,11,2021-10-26T02:51:52Z,650000,-23.0,13.0,1,right,MISS C. Zeller Layup,[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,,2.64,Missed,,,,,,,,,,,,,,,
67,PT06M05.00S,2021-10-26T02:51:50.0Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,13,11,2021-10-26T02:51:52Z,670000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,65.0,2.0,2.0,0.0,,,,,,,
68,PT06M03.00S,2021-10-26T02:51:54.6Z,1,REGULAR,foul,personal,[],203081,,,1610612746,13,11,2021-10-26T02:52:06Z,680000,,,0,,D. Lillard personal FOUL (1 PF),"[203081, 202339]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,201638.0,,,1.0,0.0,Bledsoe,202339.0
70,PT05M57.00S,2021-10-26T02:52:23.0Z,1,REGULAR,turnover,traveling,[],1627826,,,1610612746,13,11,2021-10-26T02:52:47Z,700000,,,0,,I. Zubac traveling TURNOVER (1 TO),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,1.0,,,,,,,,,,,,,2715.0,,,,,,
71,PT05M38.00S,2021-10-26T02:53:01.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629642,73.11103810775296,15.931372549019613,1610612757,13,11,2021-10-26T02:53:06Z,710000,-170.0,200.0,1,right,MISS N. Little 26' 3PT,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,26.29,Missed,,,,,,,,,,,,,,,
72,PT05M35.00S,2021-10-26T02:53:04.1Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,13,11,2021-10-26T02:53:06Z,720000,,,0,,I. Zubac REBOUND (Off:0 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,71.0,3.0,3.0,0.0,,,,,,,
73,PT05M30.00S,2021-10-26T02:53:09.3Z,1,REGULAR,3pt,Jump Shot,[],202339,29.48423127463863,20.34313725490196,1610612746,13,11,2021-10-26T02:53:18Z,730000,148.0,225.0,1,left,MISS E. Bledsoe 26' pullup 3PT,[202339],1610612746.0,LAC,pullup,,,Bledsoe,E. Bledsoe,,,,,,,,26.92,Missed,,,,,,,,,,,,,,,
74,PT05M25.00S,2021-10-26T02:53:14.3Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,13,11,2021-10-26T02:53:18Z,740000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,73.0,1.0,1.0,0.0,,,,,,,
75,PT05M17.00S,2021-10-26T02:53:22.0Z,1,REGULAR,3pt,Jump Shot,[],203468,73.50525624178712,88.48039215686275,1610612757,13,14,2021-10-26T02:53:29Z,750000,192.0,197.0,1,right,C. McCollum 27' 3PT pullup (5 PTS),[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,,,,27.51,Made,5.0,,,,,,,,,,,,,,
76,PT05M06.00S,2021-10-26T02:53:33.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202339,7.933639947437584,50.0,1610612746,15,14,2021-10-26T02:53:37Z,760000,0.0,22.0,1,left,E. Bledsoe driving Layup (2 PTS),[202339],1610612746.0,LAC,driving,,,Bledsoe,E. Bledsoe,,,,,,,,2.21,Made,2.0,,,,,,,,,,,,,,
77,PT04M55.00S,2021-10-26T02:53:44.3Z,1,REGULAR,turnover,bad pass,[],1629642,,,1610612757,15,14,2021-10-26T02:53:49Z,770000,,,0,,N. Little bad pass TURNOVER (1 TO),"[1629642, 202339]",1610612757.0,POR,,,,Little,N. Little,,,,,1.0,Bledsoe,202339.0,,,,,,,,,,,,,,,,,
78,PT04M55.00S,2021-10-26T02:53:44.3Z,1,REGULAR,steal,,[],202339,,,1610612746,15,14,2021-10-26T02:53:46Z,780000,,,0,,E. Bledsoe STEAL (1 STL),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M49.00S,2021-10-26T02:53:50.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202339,28.43298291721419,82.84313725490196,1610612746,15,14,2021-10-26T02:54:02Z,790000,-164.0,215.0,1,left,MISS E. Bledsoe 27' 3PT,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,27.04,Missed,,,,,,,,,,,,,,,
80,PT04M45.00S,2021-10-26T02:53:54.1Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,15,14,2021-10-26T02:54:02Z,800000,,,0,,N. Little REBOUND (Off:0 Def:2),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,79.0,2.0,2.0,0.0,,,,,,,
81,PT04M41.00S,2021-10-26T02:53:58.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,95.31865965834429,95.34313725490196,1610612757,15,14,2021-10-26T02:54:13Z,810000,227.0,-8.0,1,right,MISS C. McCollum running 3PT,[203468],1610612757.0,POR,running,,,McCollum,C. McCollum,,,,,,,,22.69,Missed,,,,,,,,,,,,,,,
82,PT04M38.00S,2021-10-26T02:54:01.0Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,15,14,2021-10-26T02:54:13Z,820000,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,81.0,1.0,1.0,0.0,,,,,,,
83,PT04M36.00S,2021-10-26T02:54:07.6Z,1,REGULAR,foul,offensive,[],202339,,,1610612746,15,14,2021-10-26T02:54:23Z,830000,,,0,,E. Bledsoe charge offensive FOUL (1 PF),"[202339, 203496]",1610612746.0,LAC,charge,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,2715.0,,,1.0,0.0,Covington,203496.0
85,PT04M36.00S,2021-10-26T02:54:07.6Z,1,REGULAR,turnover,offensive foul,[],202339,,,1610612746,15,14,2021-10-26T02:54:07Z,850000,,,0,,E. Bledsoe offensive foul TURNOVER (2 TO),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,2.0,,,,,,,,,,,,,2715.0,,,,,,
86,PT04M36.00S,2021-10-26T02:54:16.6Z,1,REGULAR,substitution,out,[],202339,,,1610612757,15,14,2021-10-26T02:54:42Z,860000,,,0,,SUB out: E. Bledsoe,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M36.00S,2021-10-26T02:54:16.6Z,1,REGULAR,substitution,out,[],201587,,,1610612757,15,14,2021-10-26T02:54:42Z,870000,,,0,,SUB out: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M36.00S,2021-10-26T02:54:16.6Z,1,REGULAR,substitution,out,[],1627826,,,1610612757,15,14,2021-10-26T02:54:42Z,880000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M36.00S,2021-10-26T02:54:16.6Z,1,REGULAR,substitution,out,[],203468,,,1610612757,15,14,2021-10-26T02:54:42Z,890000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M36.00S,2021-10-26T02:54:16.6Z,1,REGULAR,substitution,out,[],203496,,,1610612757,15,14,2021-10-26T02:54:42Z,900000,,,0,,SUB out: R. Covington,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M36.00S,2021-10-26T02:54:16.6Z,1,REGULAR,substitution,in,[],1628392,,,1610612757,15,14,2021-10-26T02:54:42Z,910000,,,0,,SUB in: I. Hartenstein,[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M36.00S,2021-10-26T02:54:16.6Z,1,REGULAR,substitution,in,[],1629611,,,1610612757,15,14,2021-10-26T02:54:42Z,920000,,,0,,SUB in: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M36.00S,2021-10-26T02:54:16.6Z,1,REGULAR,substitution,in,[],1628379,,,1610612757,15,14,2021-10-26T02:54:42Z,930000,,,0,,SUB in: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M36.00S,2021-10-26T02:54:16.6Z,1,REGULAR,substitution,in,[],1626204,,,1610612757,15,14,2021-10-26T02:54:42Z,940000,,,0,,SUB in: L. Nance Jr.,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,
