actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
27,PT09M00.00S,2022-01-04T03:44:31.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629020,10.561760840998687,53.92156862745098,1610612750,5,6,2022-01-04T03:44:40Z,270000,-20.0,47.0,1,left,MISS J. Vanderbilt cutting Layup - blocked,"[1629020, 201586]",1610612750.0,MIN,cutting,,,Vanderbilt,J. Vanderbilt,,,,,,,5.07,Missed,,,,,,,,,,,Ibaka,201586.0,,,,,
28,PT09M00.00S,2022-01-04T03:44:31.8Z,1,REGULAR,block,,[],201586,,,1610612750,5,6,2022-01-04T03:44:35Z,280000,,,0,,S. Ibaka BLOCK (1 BLK),[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M00.00S,2022-01-04T03:44:31.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,5,6,2022-01-04T03:44:40Z,290000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,
30,PT09M00.00S,2022-01-04T03:44:37.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,5,6,2022-01-04T03:44:37Z,300000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT08M57.00S,2022-01-04T03:44:52.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629020,15.686596583442835,47.05882352941176,1610612750,5,6,2022-01-04T03:45:00Z,310000,15.0,95.0,1,left,MISS J. Vanderbilt 9' driving floating Shot,[1629020],1610612750.0,MIN,driving floating,,,Vanderbilt,J. Vanderbilt,,,,,,,9.61,Missed,,,,,,,,,,,,,,,,,
32,PT08M54.00S,2022-01-04T03:44:55.6Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,5,6,2022-01-04T03:45:00Z,320000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,31.0,,,,,,,1.0,1.0,0.0,,,,,,,
33,PT08M50.00S,2022-01-04T03:45:01.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,94.13600525624179,59.068627450980394,1610612746,5,6,2022-01-04T03:45:09Z,330000,45.0,3.0,1,right,MISS R. Jackson floating Shot - blocked,"[202704, 1629675]",1610612746.0,LAC,floating,,,Jackson,R. Jackson,,,,,,,4.54,Missed,,,,,,,,,,,Reid,1629675.0,,,,,
34,PT08M50.00S,2022-01-04T03:45:01.5Z,1,REGULAR,block,,[],1629675,,,1610612746,5,6,2022-01-04T03:45:03Z,340000,,,0,,N. Reid BLOCK (1 BLK),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M50.00S,2022-01-04T03:45:01.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,5,6,2022-01-04T03:45:09Z,350000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,
36,PT08M50.00S,2022-01-04T03:45:05.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,5,6,2022-01-04T03:45:05Z,360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M45.00S,2022-01-04T03:45:28.3Z,1,REGULAR,turnover,backcourt,[],202339,,,1610612746,5,6,2022-01-04T03:47:46Z,370000,,,0,,E. Bledsoe backcourt TURNOVER (2 TO),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,2002.0,2.0,,,,,,,,,,,,,,,,,,,
38,PT08M39.00S,2022-01-04T03:45:47.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627736,25.673455978975028,87.99019607843137,1610612750,5,6,2022-01-04T03:46:03Z,380000,-190.0,189.0,1,left,MISS M. Beasley 26' 3PT,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,26.79,Missed,,,,,,,,,,,,,,,,,
39,PT08M35.00S,2022-01-04T03:45:52.2Z,1,REGULAR,rebound,defensive,[],201586,,,1610612746,5,6,2022-01-04T03:45:52Z,390000,,,0,,S. Ibaka REBOUND (Off:0 Def:1),[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,,38.0,,,,,,,1.0,1.0,0.0,,,,,,,
40,PT08M31.00S,2022-01-04T03:45:55.7Z,1,REGULAR,3pt,Jump Shot,[],202694,70.87713534822602,17.892156862745097,1610612746,5,6,2022-01-04T03:48:35Z,400000,-161.0,221.0,1,right,MISS M. Morris Sr. 27' pullup 3PT,[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,,,27.34,Missed,,,,,,,,,,,,,,,,,
41,PT08M27.00S,2022-01-04T03:45:59.7Z,1,REGULAR,rebound,defensive,[],201976,,,1610612750,5,6,2022-01-04T03:46:10Z,410000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,40.0,,,,,,,1.0,1.0,0.0,,,,,,,
42,PT08M25.00S,2022-01-04T03:46:01.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201976,28.43298291721419,25.0,1610612750,5,6,2022-01-04T03:46:13Z,420000,125.0,215.0,1,left,MISS P. Beverley 24' running pullup 3PT,[201976],1610612750.0,MIN,running pullup,,,Beverley,P. Beverley,,,,,,,24.85,Missed,,,,,,,,,,,,,,,,,
43,PT08M21.00S,2022-01-04T03:46:05.9Z,1,REGULAR,rebound,defensive,[],202339,,,1610612746,5,6,2022-01-04T03:46:13Z,430000,,,0,,E. Bledsoe REBOUND (Off:0 Def:1),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,42.0,,,,,,,1.0,1.0,0.0,,,,,,,
44,PT08M17.00S,2022-01-04T03:46:10.2Z,1,REGULAR,3pt,Jump Shot,[],1629611,96.10709592641261,96.81372549019608,1610612746,8,6,2022-01-04T03:46:24Z,440000,234.0,-16.0,1,right,T. Mann 3PT  (3 PTS) (E. Bledsoe 2 AST),"[1629611, 202339]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,23.46,Made,,,,3.0,E. Bledsoe,202339.0,2.0,,,,,,,,,,
46,PT08M03.00S,2022-01-04T03:46:24.6Z,1,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,8,6,2022-01-04T03:46:32Z,460000,,,0,,A. Edwards bad pass out-of-bounds TURNOVER (1 TO),[1630162],1610612750.0,MIN,bad pass,,,Edwards,A. Edwards,,,,,2002.0,1.0,,,,,,,,,,,,,,,,,,,
47,PT07M51.00S,2022-01-04T03:46:40.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202339,67.59198423127464,31.617647058823522,1610612746,8,6,2022-01-04T03:46:46Z,470000,-92.0,252.0,1,right,MISS E. Bledsoe 26' 3PT,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,26.83,Missed,,,,,,,,,,,,,,,,,
48,PT07M48.00S,2022-01-04T03:46:43.9Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,8,6,2022-01-04T03:46:46Z,480000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:2),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,47.0,,,,,,,2.0,2.0,0.0,,,,,,,
49,PT07M34.00S,2022-01-04T03:46:58.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201976,9.904730617608408,60.049019607843135,1610612750,8,8,2022-01-04T03:47:04Z,490000,-50.0,41.0,1,left,P. Beverley 6' turnaround Hook (2 PTS),[201976],1610612750.0,MIN,turnaround,,,Beverley,P. Beverley,,,,,,,6.46,Made,,,,2.0,,,,,,,,,,,,,
50,PT07M22.00S,2022-01-04T03:47:10.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629611,93.47897503285151,48.28431372549019,1610612746,10,8,2022-01-04T03:47:16Z,500000,-9.0,9.0,1,right,T. Mann cutting DUNK (5 PTS) (S. Ibaka 1 AST),"[1629611, 201586]",1610612746.0,LAC,cutting,,,Mann,T. Mann,,,,,,,1.23,Made,,,,5.0,S. Ibaka,201586.0,1.0,,,,,,,,,,
52,PT07M01.00S,2022-01-04T03:47:31.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,7.145203679369246,54.90196078431372,1610612750,10,10,2022-01-04T03:47:35Z,520000,-25.0,15.0,1,left,A. Edwards driving Layup (2 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,,,2.86,Made,,,,2.0,,,,,,,,,,,,,
53,PT06M52.00S,2022-01-04T03:47:40.8Z,1,REGULAR,3pt,Jump Shot,[],1629611,78.89290407358739,91.17647058823529,1610612746,10,10,2022-01-04T03:47:49Z,530000,206.0,146.0,1,right,MISS T. Mann 25' step back 3PT,[1629611],1610612746.0,LAC,step back,,,Mann,T. Mann,,,,,,,25.24,Missed,,,,,,,,,,,,,,,,,
54,PT06M50.00S,2022-01-04T03:47:43.1Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,10,10,2022-01-04T03:47:43Z,540000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:3),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,53.0,,,,,,,3.0,3.0,0.0,,,,,,,
55,PT06M31.00S,2022-01-04T03:48:02.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,14.766754270696453,50.49019607843137,1610612750,10,12,2022-01-04T03:51:13Z,550000,-2.0,86.0,1,left,A. Edwards 8' Jump Shot (4 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,8.63,Made,,,,4.0,,,,,,,,,,,,,
56,PT06M11.00S,2022-01-04T03:48:20.7Z,1,REGULAR,3pt,Jump Shot,[],201586,71.40275952693824,21.32352941176471,1610612746,13,12,2022-01-04T03:48:29Z,560000,-143.0,216.0,1,right,S. Ibaka 25' 3PT  (3 PTS) (M. Morris Sr. 1 AST),"[201586, 202694]",1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,25.95,Made,,,,3.0,M. Morris Sr.,202694.0,1.0,,,,,,,,,,
58,PT05M54.00S,2022-01-04T03:48:41.1Z,1,REGULAR,turnover,out-of-bounds,[],1629675,,,1610612750,13,12,2022-01-04T03:48:48Z,580000,,,0,,N. Reid step out-of-bounds TURNOVER (1 TO),[1629675],1610612750.0,MIN,step,,,Reid,N. Reid,,,,,1627962.0,1.0,,,,,,,,,,,,,,,,,,,
59,PT05M54.00S,2022-01-04T03:48:45.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,13,12,2022-01-04T03:48:45Z,590000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT05M54.00S,2022-01-04T03:51:05.3Z,1,REGULAR,substitution,out,[],1630162,,,1610612746,13,12,2022-01-04T03:51:31Z,600000,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT05M54.00S,2022-01-04T03:51:05.3Z,1,REGULAR,substitution,in,[],1629669,,,1610612746,13,12,2022-01-04T03:51:31Z,610000,,,0,,SUB in: J. Nowell,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M45.00S,2022-01-04T03:51:48.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202704,67.85479632063075,63.72549019607843,1610612746,13,12,2022-01-04T03:51:53Z,620000,69.0,250.0,1,right,MISS R. Jackson 25' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,25.9,Missed,,,,,,,,,,,,,,,,,
63,PT05M41.00S,2022-01-04T03:51:52.4Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,13,12,2022-01-04T03:51:53Z,630000,,,0,,N. Reid REBOUND (Off:1 Def:1),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,62.0,,,,,,,2.0,1.0,1.0,,,,,,,
64,PT05M27.00S,2022-01-04T03:52:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201976,7.013797634691201,41.666666666666664,1610612750,13,12,2022-01-04T03:52:11Z,640000,42.0,13.0,1,left,MISS P. Beverley driving Layup,[201976],1610612750.0,MIN,driving,,,Beverley,P. Beverley,,,,,,,4.38,Missed,,,,,,,,,,,,,,,,,
65,PT05M26.00S,2022-01-04T03:52:06.6Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,13,12,2022-01-04T03:52:11Z,650000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,64.0,,,,,,,1.0,1.0,0.0,,,,,,,
66,PT05M22.00S,2022-01-04T03:52:11.4Z,1,REGULAR,turnover,out-of-bounds,[],202339,,,1610612746,13,12,2022-01-04T03:52:22Z,660000,,,0,,E. Bledsoe bad pass out-of-bounds TURNOVER (3 TO),[202339],1610612746.0,LAC,bad pass,,,Bledsoe,E. Bledsoe,,,,,2002.0,3.0,,,,,,,,,,,,,,,,,,,
67,PT05M01.00S,2022-01-04T03:52:42.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627736,33.163600525624176,28.67647058823529,1610612750,13,15,2022-01-04T03:52:48Z,670000,107.0,259.0,1,left,M. Beasley 28' 3PT  (3 PTS) (P. Beverley 4 AST),"[1627736, 201976]",1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,28.03,Made,,,,3.0,P. Beverley,201976.0,4.0,,,,,,,,,,
69,PT04M52.00S,2022-01-04T03:52:52.7Z,1,REGULAR,turnover,out-of-bounds,[],202339,,,1610612746,13,15,2022-01-04T03:52:59Z,690000,,,0,,E. Bledsoe bad pass out-of-bounds TURNOVER (4 TO),[202339],1610612746.0,LAC,bad pass,,,Bledsoe,E. Bledsoe,,,,,1627962.0,4.0,,,,,,,,,,,,,,,,,,,
70,PT04M52.00S,2022-01-04T03:52:57.3Z,1,REGULAR,substitution,out,[],201976,,,1610612750,13,15,2022-01-04T03:53:01Z,700000,,,0,,SUB out: P. Beverley,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT04M52.00S,2022-01-04T03:52:57.3Z,1,REGULAR,substitution,in,[],1630183,,,1610612750,13,15,2022-01-04T03:53:01Z,710000,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M39.00S,2022-01-04T03:53:23.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627736,6.619579500657039,40.68627450980392,1610612750,13,17,2022-01-04T03:53:37Z,720000,47.0,10.0,1,left,M. Beasley driving bank Jump Shot (5 PTS) (J. McDaniels 1 AST),"[1627736, 1630183]",1610612750.0,MIN,driving bank,,,Beasley,M. Beasley,,,,,,,4.76,Made,,,,5.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,
74,PT04M17.00S,2022-01-04T03:53:45.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201586,93.87319316688567,50.49019607843137,1610612746,15,17,2022-01-04T03:53:51Z,740000,2.0,5.0,1,right,S. Ibaka cutting DUNK (5 PTS) (T. Mann 1 AST),"[201586, 1629611]",1610612746.0,LAC,cutting,,,Ibaka,S. Ibaka,,,,,,,0.57,Made,,,,5.0,T. Mann,1629611.0,1.0,,,,,,,,,,
76,PT04M01.00S,2022-01-04T03:54:02.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629669,7.933639947437584,57.1078431372549,1610612750,15,19,2022-01-04T03:54:07Z,760000,-36.0,22.0,1,left,J. Nowell driving floating Jump Shot (2 PTS) (M. Beasley 1 AST),"[1629669, 1627736]",1610612750.0,MIN,driving floating,,,Nowell,J. Nowell,,,,,,,4.18,Made,,,,2.0,M. Beasley,1627736.0,1.0,,,,,,,,,,
78,PT03M47.00S,2022-01-04T03:54:17.7Z,1,REGULAR,turnover,out-of-bounds,[],202704,,,1610612746,15,19,2022-01-04T03:54:23Z,780000,,,0,,R. Jackson step out-of-bounds TURNOVER (1 TO),[202704],1610612746.0,LAC,step,,,Jackson,R. Jackson,,,,,203054.0,1.0,,,,,,,,,,,,,,,,,,,
79,PT03M47.00S,2022-01-04T03:54:20.2Z,1,REGULAR,substitution,out,[],201586,,,1610612750,15,19,2022-01-04T03:54:35Z,790000,,,0,,SUB out: S. Ibaka,[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT03M47.00S,2022-01-04T03:54:20.2Z,1,REGULAR,substitution,out,[],202339,,,1610612750,15,19,2022-01-04T03:54:35Z,800000,,,0,,SUB out: E. Bledsoe,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT03M47.00S,2022-01-04T03:54:20.2Z,1,REGULAR,substitution,out,[],1629020,,,1610612750,15,19,2022-01-04T03:54:35Z,810000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT03M47.00S,2022-01-04T03:54:20.2Z,1,REGULAR,substitution,in,[],1629117,,,1610612750,15,19,2022-01-04T03:54:35Z,820000,,,0,,SUB in: W. Gabriel,[1629117],1610612746.0,LAC,,,,Gabriel,W. Gabriel,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT03M47.00S,2022-01-04T03:54:20.2Z,1,REGULAR,substitution,in,[],1629875,,,1610612750,15,19,2022-01-04T03:54:35Z,830000,,,0,,SUB in: X. Moon,[1629875],1610612746.0,LAC,,,,Moon,X. Moon,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT03M47.00S,2022-01-04T03:54:20.2Z,1,REGULAR,substitution,in,[],1629006,,,1610612750,15,19,2022-01-04T03:54:35Z,840000,,,0,,SUB in: J. Okogie,[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT03M35.00S,2022-01-04T03:54:51.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627736,28.827201051248352,79.65686274509804,1610612750,15,19,2022-01-04T03:54:58Z,850000,-148.0,218.0,1,left,MISS M. Beasley 26' 3PT,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,26.41,Missed,,,,,,,,,,,,,,,,,
86,PT03M33.00S,2022-01-04T03:54:53.6Z,1,REGULAR,rebound,defensive,[],1629117,,,1610612746,15,19,2022-01-04T03:54:58Z,860000,,,0,,W. Gabriel REBOUND (Off:0 Def:1),[1629117],1610612746.0,LAC,,,,Gabriel,W. Gabriel,,,,,,,,,85.0,,,,,,,1.0,1.0,0.0,,,,,,,
87,PT03M21.00S,2022-01-04T03:55:05.7Z,1,REGULAR,turnover,lost ball,[],202694,,,1610612746,15,19,2022-01-04T03:55:11Z,870000,,,0,,M. Morris Sr. lost ball TURNOVER (1 TO),"[202694, 1629006]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,1.0,,,,Okogie,1629006.0,,,,,,,,,,,,,,
