actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
52,PT07M28.00S,2021-12-28T03:48:26.1Z,1,REGULAR,jumpball,recovered,[],202339,,,1610612746,18,13,2021-12-28T03:48:26Z,520000,,,0,,Jump Ball I. Zubac vs. D. Bembry: Tip to E. Bledsoe,"[202339, 1627826, 1627761]",1610612746.0,LAC,heldball,E. Bledsoe,202339.0,Bledsoe,E. Bledsoe,Zubac,1627826.0,Bembry,1627761.0,,,,,,,,,,,,,,,,,,,,,
56,PT07M24.00S,2021-12-28T03:48:29.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202694,75.607752956636,11.764705882352942,1610612746,21,13,2021-12-28T03:48:34Z,550000,-191.0,177.0,1,right,M. Morris Sr. 26' 3PT  (8 PTS) (E. Bledsoe 4 AST),"[202694, 202339]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,26.04,Made,,,,,8.0,E. Bledsoe,202339.0,4.0,,,,,,,,,,,
58,PT07M10.00S,2021-12-28T03:48:44.8Z,1,REGULAR,3pt,Jump Shot,[],201935,33.55781865965835,40.19607843137255,1610612751,21,16,2021-12-28T03:48:54Z,570000,49.0,263.0,1,left,J. Harden 26' 3PT step back (6 PTS),[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,26.74,Made,,,,,6.0,,,,,,,,,,,,,,
59,PT06M54.00S,2021-12-28T03:48:59.6Z,1,REGULAR,3pt,Jump Shot,[],1628379,75.47634691195795,90.44117647058823,1610612746,21,16,2021-12-28T03:49:04Z,580000,202.0,178.0,1,right,MISS L. Kennard 26' 3PT,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,26.94,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M52.00S,2021-12-28T03:49:01.6Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,21,16,2021-12-28T03:49:04Z,590000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
61,PT06M39.00S,2021-12-28T03:49:15.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,11.744415243101187,55.14705882352941,1610612751,21,16,2021-12-28T03:49:19Z,600000,-26.0,58.0,1,left,MISS J. Harden 6' driving floating Shot,[201935],1610612751.0,BKN,driving floating,,,Harden,J. Harden,,,,,6.33,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M37.00S,2021-12-28T03:49:17.4Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,21,16,2021-12-28T03:49:19Z,610000,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,61.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
63,PT06M31.00S,2021-12-28T03:49:23.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1627826,92.95335085413929,42.892156862745104,1610612746,23,16,2021-12-28T03:50:17Z,620000,-36.0,14.0,1,right,I. Zubac floating Jump Shot (4 PTS) (M. Morris Sr. 2 AST),"[1627826, 202694]",1610612746.0,LAC,floating,,,Zubac,I. Zubac,,,,,3.81,Made,,,,,4.0,M. Morris Sr.,202694.0,2.0,,,,,,,,,,,
65,PT06M23.00S,2021-12-28T03:49:36.0Z,1,REGULAR,foul,personal,[],202694,,,1610612751,23,16,2021-12-28T03:49:42Z,640000,,,0,,M. Morris Sr. personal FOUL (2 PF),"[202694, 201935]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,203592.0,2.0,0.0,Harden,201935.0,,,,,,
67,PT06M23.00S,2021-12-28T03:49:43.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,23,16,2021-12-28T03:49:44Z,660000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
