actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
30,PT10M22.00S,2021-11-14T03:43:13.3Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,4,0,2021-11-14T03:43:17Z,300000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,29.0,2.0,1.0,1.0,,,,,,,,,,
31,PT10M14.00S,2021-11-14T03:43:20.6Z,1,REGULAR,2pt,Jump Shot,[],1626156,8.853482260183966,28.67647058823529,1610612750,4,2,2021-11-14T03:43:24Z,310000,107.0,31.0,1,left,D. Russell 11' fadeaway Jump Shot (2 PTS),[1626156],1610612750.0,MIN,fadeaway,,,Russell,D. Russell,,,,,,,,11.09,Made,2.0,,,,,,,,,,,,,,
32,PT10M01.00S,2021-11-14T03:43:34.3Z,1,REGULAR,3pt,Jump Shot,[],202339,70.48291721419186,22.549019607843135,1610612746,4,2,2021-11-14T03:43:39Z,320000,-137.0,225.0,1,right,MISS E. Bledsoe 26' 3PT,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,26.36,Missed,,,,,,,,,,,,,,,
33,PT09M57.00S,2021-11-14T03:43:38.3Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,4,2,2021-11-14T03:43:39Z,330000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,
34,PT09M51.00S,2021-11-14T03:43:44.6Z,1,REGULAR,3pt,Jump Shot,[],1630162,31.586727989487514,29.166666666666657,1610612750,4,2,2021-11-14T03:43:52Z,340000,104.0,244.0,1,left,MISS A. Edwards 26' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,,,,26.57,Missed,,,,,,,,,,,,,,,
35,PT09M49.00S,2021-11-14T03:43:51.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,4,2,2021-11-14T03:43:51Z,350000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,
36,PT09M49.00S,2021-11-14T03:43:52.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,4,2,2021-11-14T03:43:52Z,360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M43.00S,2021-11-14T03:44:08.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626157,7.933639947437584,81.86274509803921,1610612750,4,2,2021-11-14T03:44:13Z,370000,-159.0,22.0,1,left,MISS K. Towns 16' turnaround fadeaway Shot,[1626157],1610612750.0,MIN,turnaround fadeaway,,,Towns,K. Towns,,,,,,,,16.08,Missed,,,,,,,,,,,,,,,
38,PT09M40.00S,2021-11-14T03:44:11.5Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,4,2,2021-11-14T03:44:13Z,380000,,,0,,J. Vanderbilt REBOUND (Off:2 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,37.0,3.0,1.0,2.0,,,,,,,,,,
39,PT09M37.00S,2021-11-14T03:44:14.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201976,17.132063074901453,54.90196078431372,1610612750,4,4,2021-11-14T03:44:20Z,390000,-25.0,109.0,1,left,P. Beverley 11' driving floating Jump Shot (2 PTS) (J. Vanderbilt 1 AST),"[201976, 1629020]",1610612750.0,MIN,driving floating,,,Beverley,P. Beverley,,,,,,,,11.12,Made,2.0,,,,,,,,,,,,J. Vanderbilt,1629020.0,1.0
41,PT09M18.00S,2021-11-14T03:44:32.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202331,91.90210249671485,60.049019607843135,1610612746,6,4,2021-11-14T03:44:37Z,410000,50.0,24.0,1,right,P. George Hook (2 PTS) (E. Bledsoe 2 AST),"[202331, 202339]",1610612746.0,LAC,,,,George,P. George,,,,,,,,5.55,Made,2.0,,,,,,,,,,,,E. Bledsoe,202339.0,2.0
43,PT09M02.00S,2021-11-14T03:44:49.2Z,1,REGULAR,2pt,Jump Shot,[],1626156,19.760183968462556,74.26470588235294,1610612750,6,6,2021-11-14T03:44:53Z,430000,-121.0,133.0,1,left,D. Russell 18' pullup Jump Shot (4 PTS),[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,,,,18.02,Made,4.0,,,,,,,,,,,,,,
44,PT08M39.00S,2021-11-14T03:45:12.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202339,86.12023653088042,45.833333333333336,1610612746,8,6,2021-11-14T03:45:30Z,440000,-21.0,78.0,1,right,E. Bledsoe 8' step back Jump Shot (2 PTS),[202339],1610612746.0,LAC,step back,,,Bledsoe,E. Bledsoe,,,,,,,,8.07,Made,2.0,,,,,,,,,,,,,,
45,PT08M15.00S,2021-11-14T03:45:36.4Z,1,REGULAR,3pt,Jump Shot,[],201976,28.43298291721419,19.117647058823522,1610612750,8,6,2021-11-14T03:45:43Z,450000,154.0,215.0,1,left,MISS P. Beverley 26' 3PT,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,26.45,Missed,,,,,,,,,,,,,,,
46,PT08M13.00S,2021-11-14T03:45:38.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,8,6,2021-11-14T03:45:43Z,460000,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,
47,PT08M13.00S,2021-11-14T03:45:45.4Z,1,REGULAR,foul,personal,[],1629020,,,1610612746,8,6,2021-11-14T03:45:54Z,470000,,,0,,J. Vanderbilt loose ball personal FOUL (2 PF),"[1629020, 202339]",1610612750.0,MIN,loose ball,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,1628171.0,2.0,0.0,Bledsoe,202339.0,,,
49,PT08M13.00S,2021-11-14T03:45:56.7Z,1,REGULAR,substitution,out,[],1629020,,,1610612746,8,6,2021-11-14T03:46:01Z,490000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M13.00S,2021-11-14T03:45:56.7Z,1,REGULAR,substitution,in,[],1630183,,,1610612746,8,6,2021-11-14T03:46:01Z,500000,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M59.00S,2021-11-14T03:46:19.2Z,1,REGULAR,3pt,Jump Shot,[],202339,68.11760840998686,71.81372549019608,1610612746,8,6,2021-11-14T03:46:24Z,510000,109.0,247.0,1,right,MISS E. Bledsoe 27' 3PT,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,27.02,Missed,,,,,,,,,,,,,,,
52,PT07M56.00S,2021-11-14T03:46:22.2Z,1,REGULAR,rebound,defensive,[],201976,,,1610612750,8,6,2021-11-14T03:46:24Z,520000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,
53,PT07M48.00S,2021-11-14T03:46:30.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626157,5.568331143232584,50.0,1610612750,8,8,2021-11-14T03:46:35Z,530000,0.0,0.0,1,left,K. Towns cutting DUNK (2 PTS) (P. Beverley 1 AST),"[1626157, 201976]",1610612750.0,MIN,cutting,,,Towns,K. Towns,,,,,,,,0.02,Made,2.0,,,,,,,,,,,,P. Beverley,201976.0,1.0
55,PT07M36.00S,2021-11-14T03:46:42.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202339,93.08475689881735,51.22549019607843,1610612746,10,8,2021-11-14T03:46:47Z,550000,6.0,13.0,1,right,E. Bledsoe driving Layup (4 PTS) (R. Jackson 1 AST),"[202339, 202704]",1610612746.0,LAC,driving,,,Bledsoe,E. Bledsoe,,,,,,,,1.39,Made,4.0,,,,,,,,,,,,R. Jackson,202704.0,1.0
57,PT07M27.00S,2021-11-14T03:46:51.9Z,1,REGULAR,3pt,Jump Shot,[],1626156,27.77595269382391,87.25490196078431,1610612750,10,8,2021-11-14T03:46:56Z,570000,-186.0,209.0,1,left,MISS D. Russell 27' pullup 3PT,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,,,,27.97,Missed,,,,,,,,,,,,,,,
58,PT07M24.00S,2021-11-14T03:46:54.9Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,10,8,2021-11-14T03:46:56Z,580000,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,
59,PT07M20.00S,2021-11-14T03:46:58.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201587,94.26741130091985,95.83333333333333,1610612746,10,8,2021-11-14T03:47:05Z,590000,229.0,1.0,1,right,MISS N. Batum running 3PT,[201587],1610612746.0,LAC,running,,,Batum,N. Batum,,,,,,,,22.92,Missed,,,,,,,,,,,,,,,
60,PT07M16.00S,2021-11-14T03:47:02.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,10,8,2021-11-14T03:47:05Z,600000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,
61,PT07M11.00S,2021-11-14T03:47:06.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630162,12.66425755584757,49.754901960784316,1610612750,10,10,2021-11-14T03:47:55Z,610000,1.0,67.0,1,left,A. Edwards 6' driving floating Jump Shot (2 PTS),[1630162],1610612750.0,MIN,driving floating,,,Edwards,A. Edwards,,,,,,,,6.65,Made,2.0,,,,,,,,,,,,,,
62,PT06M58.00S,2021-11-14T03:47:20.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,93.47897503285151,42.64705882352941,1610612746,10,10,2021-11-14T03:47:23Z,620000,-37.0,9.0,1,right,MISS I. Zubac Hook,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,3.78,Missed,,,,,,,,,,,,,,,
63,PT06M56.00S,2021-11-14T03:47:22.5Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,10,10,2021-11-14T03:47:23Z,630000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,
64,PT06M50.00S,2021-11-14T03:47:28.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,6.619579500657039,50.245098039215684,1610612750,10,12,2021-11-14T03:47:33Z,640000,-1.0,10.0,1,left,K. Towns cutting Layup (4 PTS) (J. McDaniels 1 AST),"[1626157, 1630183]",1610612750.0,MIN,cutting,,,Towns,K. Towns,,,,,,,,0.98,Made,4.0,,,,,,,,,,,,J. McDaniels,1630183.0,1.0
66,PT06M50.00S,2021-11-14T03:47:33.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,10,12,2021-11-14T03:47:33Z,660000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M40.00S,2021-11-14T03:50:34.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,92.95335085413929,49.26470588235294,1610612746,12,12,2021-11-14T03:50:39Z,670000,-4.0,14.0,1,right,R. Jackson driving Layup (2 PTS),[202704],1610612746.0,LAC,driving,,,Jackson,R. Jackson,,,,,,,,1.42,Made,2.0,,,,,,,,,,,,,,
68,PT06M26.00S,2021-11-14T03:50:48.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,7.276609724047319,53.431372549019606,1610612750,12,14,2021-11-14T03:50:52Z,680000,-17.0,16.0,1,left,A. Edwards driving finger roll Layup (4 PTS) (D. Russell 1 AST),"[1630162, 1626156]",1610612750.0,MIN,driving finger roll,,,Edwards,A. Edwards,,,,,,,,2.34,Made,4.0,,,,,,,,,,,,D. Russell,1626156.0,1.0
69,PT06M15.00S,2021-11-14T03:50:58.8Z,1,REGULAR,2pt,Jump Shot,[],202331,76.39618922470433,64.95098039215686,1610612746,14,14,2021-11-14T03:51:02Z,690000,75.0,169.0,1,right,P. George 18' pullup Jump Shot (4 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,,,,18.52,Made,4.0,,,,,,,,,,,,,,
70,PT05M55.00S,2021-11-14T03:51:20.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630183,6.750985545335084,56.61764705882353,1610612750,14,14,2021-11-14T03:51:24Z,700000,-33.0,11.0,1,left,MISS J. McDaniels Hook - blocked,"[1630183, 1627826]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,3.49,Missed,,,,,,Zubac,1627826.0,,,,,,,,
71,PT05M55.00S,2021-11-14T03:51:20.1Z,1,REGULAR,block,,[],1627826,,,1610612750,14,14,2021-11-14T03:51:22Z,710000,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M55.00S,2021-11-14T03:51:20.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,14,14,2021-11-14T03:51:24Z,720000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,
73,PT05M55.00S,2021-11-14T03:51:25.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,14,14,2021-11-14T03:51:25Z,730000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M55.00S,2021-11-14T03:51:25.8Z,1,REGULAR,substitution,out,[],202339,,,1610612750,14,14,2021-11-14T03:51:31Z,740000,,,0,,SUB out: E. Bledsoe,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M55.00S,2021-11-14T03:51:25.8Z,1,REGULAR,substitution,out,[],201976,,,1610612750,14,14,2021-11-14T03:51:31Z,750000,,,0,,SUB out: P. Beverley,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M55.00S,2021-11-14T03:51:25.8Z,1,REGULAR,substitution,in,[],1629611,,,1610612750,14,14,2021-11-14T03:51:31Z,760000,,,0,,SUB in: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M55.00S,2021-11-14T03:51:25.8Z,1,REGULAR,substitution,in,[],1627736,,,1610612750,14,14,2021-11-14T03:51:31Z,770000,,,0,,SUB in: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M54.00S,2021-11-14T03:51:45.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,14,14,2021-11-14T03:53:16Z,780000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M51.00S,2021-11-14T03:52:06.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630183,21.862680683311424,73.52941176470588,1610612750,14,16,2021-11-14T03:52:13Z,790000,-118.0,153.0,1,left,J. McDaniels 19' pullup Jump Shot (2 PTS) (D. Russell 2 AST),"[1630183, 1626156]",1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,,,,19.3,Made,2.0,,,,,,,,,,,,D. Russell,1626156.0,2.0
82,PT05M37.00S,2021-11-14T03:52:19.2Z,1,REGULAR,3pt,Jump Shot,[],202331,93.34756898817345,3.9215686274509807,1610612746,17,16,2021-11-14T03:52:23Z,810000,-230.0,10.0,1,right,P. George 3PT  (7 PTS) (R. Jackson 2 AST),"[202331, 202704]",1610612746.0,LAC,,,,George,P. George,,,,,,,,23.06,Made,7.0,,,,,,,,,,,,R. Jackson,202704.0,2.0
84,PT05M14.00S,2021-11-14T03:52:42.5Z,1,REGULAR,2pt,Jump Shot,[],1626156,23.96517739816032,55.3921568627451,1610612750,17,16,2021-11-14T03:52:48Z,830000,-27.0,173.0,1,left,MISS D. Russell 17' pullup Shot,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,,,,17.49,Missed,,,,,,,,,,,,,,,
85,PT05M11.00S,2021-11-14T03:52:45.5Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,17,16,2021-11-14T03:52:48Z,840000,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,84.0,2.0,2.0,0.0,,,,,,,,,,
86,PT05M00.00S,2021-11-14T03:52:56.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,92.0335085413929,43.13725490196079,1610612746,17,16,2021-11-14T03:53:01Z,850000,-34.0,22.0,1,right,MISS I. Zubac DUNK - blocked,"[1627826, 1626157]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,4.1,Missed,,,,,,Towns,1626157.0,,,,,,,,
87,PT05M00.00S,2021-11-14T03:52:56.5Z,1,REGULAR,block,,[],1626157,,,1610612746,17,16,2021-11-14T03:52:58Z,860000,,,0,,K. Towns BLOCK (1 BLK),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M58.00S,2021-11-14T03:52:58.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,17,16,2021-11-14T03:53:01Z,870000,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,86.0,2.0,2.0,0.0,,,,,,,,,,
89,PT04M50.00S,2021-11-14T03:53:05.9Z,1,REGULAR,3pt,Jump Shot,[],1630162,32.37516425755584,66.66666666666667,1610612750,17,16,2021-11-14T03:53:13Z,880000,-83.0,252.0,1,left,MISS A. Edwards 26' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,26.52,Missed,,,,,,,,,,,,,,,
90,PT04M48.00S,2021-11-14T03:53:07.9Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,17,16,2021-11-14T03:53:13Z,890000,,,0,,P. George REBOUND (Off:0 Def:3),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,89.0,3.0,3.0,0.0,,,,,,,,,,
