actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
23,PT10M16.00S,2021-12-14T03:43:37.3Z,1,REGULAR,3pt,Jump Shot,[],201580,74.95072273324573,13.480392156862735,1610612756,0,0,2021-12-14T03:45:47Z,230000,-183.0,183.0,1,right,MISS J. McGee 25' step back 3PT,[201580],1610612756.0,PHX,step back,,,McGee,J. McGee,,,,,25.85,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M16.00S,2021-12-14T03:43:37.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,0,0,2021-12-14T03:45:47Z,240000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,
25,PT10M16.00S,2021-12-14T03:43:41.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612756,0,0,2021-12-14T03:45:57Z,250000,,,0,,PHX shot clock Team TURNOVER,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,201640.0,,,,,,,,,
26,PT09M56.00S,2021-12-14T03:44:05.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628379,6.4881734559789805,48.774509803921575,1610612746,0,0,2021-12-14T03:44:09Z,260000,6.0,8.0,1,left,MISS L. Kennard driving finger roll Layup,[1628379],1610612746.0,LAC,driving finger roll,,,Kennard,L. Kennard,,,,,1.05,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M54.00S,2021-12-14T03:44:08.0Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,0,0,2021-12-14T03:44:08Z,270000,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
28,PT09M53.00S,2021-12-14T03:44:09.2Z,1,REGULAR,turnover,lost ball,[],1627826,,,1610612746,0,0,2021-12-14T03:44:14Z,280000,,,0,,I. Zubac lost ball TURNOVER (1 TO),"[1627826, 101108]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,1.0,Paul,101108.0,,,,,,,,,,,,
29,PT09M53.00S,2021-12-14T03:44:09.2Z,1,REGULAR,steal,,[],101108,,,1610612756,0,0,2021-12-14T03:44:11Z,290000,,,0,,C. Paul STEAL (1 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M36.00S,2021-12-14T03:44:26.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203109,91.63929040735874,91.42156862745098,1610612756,0,2,2021-12-14T03:44:31Z,300000,207.0,26.0,1,right,J. Crowder 20' Jump Shot (2 PTS) (C. Paul 1 AST),"[203109, 101108]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,20.87,Made,,,,,,,,,,,2.0,C. Paul,101108.0,1.0,,,,,
32,PT09M18.00S,2021-12-14T03:44:43.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,6.356767411300922,44.85294117647059,1610612746,0,2,2021-12-14T03:46:25Z,320000,26.0,7.0,1,left,MISS R. Jackson driving floating bank Shot,[202704],1610612746.0,LAC,driving floating bank,,,Jackson,R. Jackson,,,,,2.67,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M14.00S,2021-12-14T03:44:47.3Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,0,2,2021-12-14T03:46:25Z,330000,,,0,,I. Zubac REBOUND (Off:2 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,32.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
34,PT09M14.00S,2021-12-14T03:44:47.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627826,5.590000152587891,50.0,1610612746,2,2,2021-12-14T03:44:47Z,340000,0.0,0.0,1,left,I. Zubac tip Layup (2 PTS),[1627826],1610612746.0,LAC,tip,,,Zubac,I. Zubac,,,,,0.0,Made,,,,,,,,,,,2.0,,,,,,,,
35,PT09M06.00S,2021-12-14T03:44:56.2Z,1,REGULAR,3pt,Jump Shot,[],203109,78.10446780551905,10.539215686274503,1610612756,2,2,2021-12-14T03:45:02Z,350000,-197.0,153.0,1,right,MISS J. Crowder 24' 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,24.99,Missed,,,,,,,,,,,,,,,,,,,
36,PT09M03.00S,2021-12-14T03:44:59.2Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,2,2,2021-12-14T03:45:02Z,360000,,,0,,T. Mann REBOUND (Off:0 Def:2),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
37,PT08M57.00S,2021-12-14T03:45:05.1Z,1,REGULAR,3pt,Jump Shot,[],202704,7.276609724047319,97.05882352941177,1610612746,5,2,2021-12-14T03:45:13Z,370000,-235.0,16.0,1,left,R. Jackson 3PT  (3 PTS) (T. Mann 1 AST),"[202704, 1629611]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,23.58,Made,,,,,,,,,,,3.0,T. Mann,1629611.0,1.0,,,,,
39,PT08M46.00S,2021-12-14T03:45:16.3Z,1,REGULAR,3pt,Jump Shot,[],101108,69.4316688567674,32.84313725490196,1610612756,5,2,2021-12-14T04:01:31Z,390000,-86.0,235.0,1,right,MISS C. Paul 25' pullup 3PT,[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,25.0,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M44.00S,2021-12-14T03:45:21.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,5,2,2021-12-14T03:45:21Z,400000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,
41,PT08M44.00S,2021-12-14T03:45:24.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,5,2,2021-12-14T03:45:24Z,410000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M35.00S,2021-12-14T03:45:44.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629013,77.973061760841,11.764705882352942,1610612756,5,2,2021-12-14T03:45:51Z,420000,-191.0,155.0,1,right,MISS L. Shamet 24' 3PT,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,24.59,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M35.00S,2021-12-14T03:45:44.3Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,5,2,2021-12-14T03:45:51Z,430000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
44,PT08M24.00S,2021-12-14T03:45:57.7Z,1,REGULAR,foul,personal,[],1628969,,,1610612746,5,2,2021-12-14T03:46:08Z,440000,,,0,,M. Bridges personal FOUL (1 PF),"[1628969, 202694]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,201640.0,,,,,1.0,0.0,Morris Sr.,202694.0,
46,PT08M21.00S,2021-12-14T03:46:25.4Z,1,REGULAR,3pt,Jump Shot,[],202704,34.8718791064389,49.50980392156863,1610612746,5,2,2021-12-14T03:46:35Z,460000,2.0,275.0,1,left,MISS R. Jackson 27' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,27.53,Missed,,,,,,,,,,,,,,,,,,,
47,PT08M17.00S,2021-12-14T03:46:29.4Z,1,REGULAR,rebound,defensive,[],1629013,,,1610612756,5,2,2021-12-14T03:46:35Z,470000,,,0,,L. Shamet REBOUND (Off:0 Def:1),[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
48,PT08M08.00S,2021-12-14T03:46:37.8Z,1,REGULAR,2pt,Jump Shot,[],1629013,78.3180026281209,52.91819852941176,1610612756,5,2,2021-12-14T03:47:10Z,480000,15.0,151.0,1,right,MISS L. Shamet 15' pullup Shot,[1629013],1610612756.0,PHX,pullup,,,Shamet,L. Shamet,,,,,15.2,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M06.00S,2021-12-14T03:46:39.8Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612756,5,2,2021-12-14T03:47:10Z,490000,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,48.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
50,PT07M58.00S,2021-12-14T03:46:47.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628969,68.51182654402103,40.931372549019606,1610612756,5,2,2021-12-14T03:46:51Z,500000,-45.0,243.0,1,right,MISS M. Bridges 24' 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,24.77,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M56.00S,2021-12-14T03:46:49.7Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,5,2,2021-12-14T03:46:51Z,510000,,,0,,T. Mann REBOUND (Off:0 Def:3),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,50.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
52,PT07M44.00S,2021-12-14T03:47:01.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,12.927069645203687,52.205882352941174,1610612746,5,2,2021-12-14T03:47:04Z,520000,-11.0,69.0,1,left,MISS I. Zubac 6' Hook,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,6.99,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M43.00S,2021-12-14T03:47:02.9Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,5,2,2021-12-14T03:47:04Z,530000,,,0,,J. McGee REBOUND (Off:0 Def:3),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,52.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
54,PT07M19.00S,2021-12-14T03:47:26.7Z,1,REGULAR,3pt,Jump Shot,[],1629013,68.9060446780552,69.6078431372549,1610612756,5,2,2021-12-14T03:47:39Z,540000,98.0,240.0,1,right,MISS L. Shamet 25' 3PT,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,25.91,Missed,,,,,,,,,,,,,,,,,,,
56,PT07M18.00S,2021-12-14T03:47:27.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,5,2,2021-12-14T03:47:39Z,560000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,
57,PT07M18.00S,2021-12-14T03:47:39.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,5,2,2021-12-14T03:47:39Z,570000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M18.00S,2021-12-14T03:47:41.0Z,1,REGULAR,substitution,out,[],1629013,,,1610612756,5,2,2021-12-14T03:47:54Z,580000,,,0,,SUB out: L. Shamet,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M18.00S,2021-12-14T03:47:41.0Z,1,REGULAR,substitution,in,[],1626166,,,1610612756,5,2,2021-12-14T03:47:54Z,590000,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M15.00S,2021-12-14T03:48:01.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203109,89.01116951379764,81.86274509803921,1610612756,5,2,2021-12-14T03:48:08Z,600000,159.0,51.0,1,right,MISS J. Crowder 16' pullup Shot,[203109],1610612756.0,PHX,pullup,,,Crowder,J. Crowder,,,,,16.72,Missed,,,,,,,,,,,,,,,,,,,
61,PT07M13.00S,2021-12-14T03:48:03.5Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,5,2,2021-12-14T03:48:05Z,610000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:2),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
62,PT06M58.00S,2021-12-14T03:48:19.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629611,13.978318002628114,42.892156862745104,1610612746,7,2,2021-12-14T03:48:23Z,620000,36.0,79.0,1,left,T. Mann 8' step back Jump Shot (2 PTS),[1629611],1610612746.0,LAC,step back,,,Mann,T. Mann,,,,,8.65,Made,,,,,,,,,,,2.0,,,,,,,,
63,PT06M28.00S,2021-12-14T03:48:48.4Z,1,REGULAR,3pt,Jump Shot,[],201580,70.61432325886992,69.6078431372549,1610612756,7,2,2021-12-14T03:48:57Z,630000,98.0,224.0,1,right,MISS J. McGee 24' 3PT,[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,24.42,Missed,,,,,,,,,,,,,,,,,,,
64,PT06M28.00S,2021-12-14T03:48:48.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,7,2,2021-12-14T03:48:57Z,640000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,
65,PT06M28.00S,2021-12-14T03:48:55.4Z,1,REGULAR,foul,personal,[],1628379,,,1610612756,7,2,2021-12-14T03:49:00Z,650000,,,0,,L. Kennard loose ball personal FOUL (1 PF),"[1628379, 1628969]",1610612746.0,LAC,loose ball,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,1363.0,,,,,1.0,0.0,Bridges,1628969.0,
67,PT06M28.00S,2021-12-14T03:49:03.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,7,2,2021-12-14T03:49:03Z,670000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M28.00S,2021-12-14T03:51:44.4Z,1,REGULAR,substitution,out,[],201580,,,1610612756,7,2,2021-12-14T03:52:00Z,680000,,,0,,SUB out: J. McGee,[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M28.00S,2021-12-14T03:51:44.4Z,1,REGULAR,substitution,in,[],1629661,,,1610612756,7,2,2021-12-14T03:52:00Z,690000,,,0,,SUB in: C. Johnson,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M13.00S,2021-12-14T03:52:12.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203109,89.27398160315374,92.6470588235294,1610612756,7,4,2021-12-14T03:52:19Z,700000,213.0,48.0,1,right,J. Crowder 21' Jump Shot (4 PTS) (C. Payne 1 AST),"[203109, 1626166]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,21.86,Made,,,,,,,,,,,4.0,C. Payne,1626166.0,1.0,,,,,
72,PT05M55.00S,2021-12-14T03:52:30.5Z,1,REGULAR,3pt,Jump Shot,[],202694,25.54204993429697,84.06862745098039,1610612746,10,4,2021-12-14T03:52:35Z,720000,-170.0,188.0,1,left,M. Morris Sr. 25' 3PT  (3 PTS),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,25.34,Made,,,,,,,,,,,3.0,,,,,,,,
73,PT05M38.00S,2021-12-14T03:52:47.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626166,90.45663600525624,41.666666666666664,1610612756,10,4,2021-12-14T03:52:51Z,730000,-42.0,37.0,1,right,MISS C. Payne driving Hook,[1626166],1610612756.0,PHX,driving,,,Payne,C. Payne,,,,,5.59,Missed,,,,,,,,,,,,,,,,,,,
74,PT05M37.00S,2021-12-14T03:52:48.9Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612746,10,4,2021-12-14T03:52:51Z,740000,,,0,,L. Kennard REBOUND (Off:0 Def:2),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,73.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
75,PT05M28.00S,2021-12-14T03:52:58.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,15.423784494086718,49.26470588235294,1610612746,12,4,2021-12-14T03:53:02Z,750000,4.0,92.0,1,left,I. Zubac 9' turnaround Hook (4 PTS) (L. Kennard 1 AST),"[1627826, 1628379]",1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,9.26,Made,,,,,,,,,,,4.0,L. Kennard,1628379.0,1.0,,,,,
77,PT05M11.00S,2021-12-14T03:53:15.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,91.63929040735874,49.50980392156863,1610612756,12,6,2021-12-14T03:53:19Z,770000,-2.0,26.0,1,right,M. Bridges driving finger roll Layup (2 PTS) (C. Paul 2 AST),"[1628969, 101108]",1610612756.0,PHX,driving finger roll,,,Bridges,M. Bridges,,,,,2.62,Made,,,,,,,,,,,2.0,C. Paul,101108.0,2.0,,,,,
79,PT04M56.00S,2021-12-14T03:53:31.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,6.8823915900131425,47.05882352941176,1610612746,14,6,2021-12-14T04:01:40Z,790000,15.0,12.0,1,left,R. Jackson driving finger roll Layup (5 PTS),[202704],1610612746.0,LAC,driving finger roll,,,Jackson,R. Jackson,,,,,1.91,Made,,,,,,,,,,,5.0,,,,,,,,
80,PT04M56.00S,2021-12-14T03:53:35.1Z,1,REGULAR,foul,personal,['1freethrow'],203109,,,1610612746,14,6,2021-12-14T03:53:53Z,800000,,,0,,J. Crowder shooting personal FOUL (1 PF) (Jackson 1 FT),"[203109, 202704]",1610612756.0,PHX,shooting,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,201640.0,,,,,1.0,0.0,Jackson,202704.0,
82,PT04M56.00S,2021-12-14T03:53:46.2Z,1,REGULAR,substitution,out,[],1628379,,,1610612746,14,6,2021-12-14T03:57:03Z,820000,,,0,,SUB out: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M56.00S,2021-12-14T03:53:46.2Z,1,REGULAR,substitution,in,[],1630527,,,1610612746,14,6,2021-12-14T03:57:03Z,830000,,,0,,SUB in: B. Boston Jr.,[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M56.00S,2021-12-14T03:54:17.7Z,1,REGULAR,freethrow,1 of 1,[],202704,,,1610612746,15,6,2021-12-14T03:54:17Z,840000,,,0,,R. Jackson Free Throw 1 of 1 (6 PTS),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,Made,,,,,,,,,,,6.0,,,,,,,,
85,PT04M56.00S,2021-12-14T03:54:24.5Z,1,REGULAR,stoppage,blood rule,[],0,,,1610612756,15,6,2021-12-14T03:54:24Z,850000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M39.00S,2021-12-14T03:55:24.3Z,1,REGULAR,2pt,Jump Shot,[],203109,75.47634691195795,65.44117647058823,1610612756,15,8,2021-12-14T03:55:29Z,860000,77.0,178.0,1,right,J. Crowder 19' pullup Jump Shot (6 PTS),[203109],1610612756.0,PHX,pullup,,,Crowder,J. Crowder,,,,,19.4,Made,,,,,,,,,,,6.0,,,,,,,,
87,PT04M30.00S,2021-12-14T03:55:35.2Z,1,REGULAR,foul,personal,['2freethrow'],203109,,,1610612746,15,8,2021-12-14T03:55:39Z,870000,,,0,,J. Crowder shooting personal FOUL (2 PF) (Jackson 2 FT),"[203109, 202704]",1610612756.0,PHX,shooting,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,201638.0,,,,,2.0,0.0,Jackson,202704.0,
89,PT04M30.00S,2021-12-14T03:56:08.3Z,1,REGULAR,freethrow,1 of 2,[],202704,,,1610612746,16,8,2021-12-14T03:56:08Z,890000,,,0,,R. Jackson Free Throw 1 of 2 (7 PTS),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,Made,,,,,,,,,,,7.0,,,,,,,,
