actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
38,PT08M46.00S,2022-04-10T01:47:37.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612758,9,0,2022-04-10T01:47:54Z,380000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,
39,PT08M46.00S,2022-04-10T01:47:37.9Z,1,REGULAR,freethrow,2 of 2,[],1627745,,,1610612758,9,0,2022-04-10T01:47:54Z,390000,,,0,,MISS D. Jones Free Throw 2 of 2,[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,Missed,,,,,,,,,,,,,,,,
40,PT08M43.00S,2022-04-10T01:47:40.9Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,9,0,2022-04-10T01:47:54Z,400000,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,
41,PT08M31.00S,2022-04-10T01:48:05.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,79.94415243101183,53.18627450980392,1610612746,9,0,2022-04-10T01:48:12Z,410000,16.0,136.0,1,right,MISS M. Morris Sr. 13' Jump Shot,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,13.69,Missed,,,,,,,,,,,,,,,,
42,PT08M24.00S,2022-04-10T01:48:12.2Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,9,0,2022-04-10T01:48:12Z,420000,,,0,,I. Zubac REBOUND (Off:1 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,41.0,4.0,3.0,1.0,,,,,,,,
43,PT08M24.00S,2022-04-10T01:48:12.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627826,94.40999984741211,50.0,1610612746,9,0,2022-04-10T01:48:17Z,430000,0.0,0.0,1,right,MISS I. Zubac putback Layup,[1627826],1610612746.0,LAC,putback,,,Zubac,I. Zubac,,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,
44,PT08M24.00S,2022-04-10T01:48:12.1Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,9,0,2022-04-10T01:48:17Z,440000,,,0,,H. Barnes REBOUND (Off:0 Def:2),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,
45,PT08M12.00S,2022-04-10T01:48:24.6Z,1,REGULAR,2pt,Jump Shot,[],1630558,17.394875164257556,77.45098039215686,1610612758,9,2,2022-04-10T01:48:30Z,450000,-137.0,111.0,1,left,D. Mitchell 17' pullup Jump Shot (2 PTS),[1630558],1610612758.0,SAC,pullup,,,Mitchell,D. Mitchell,,,,,,,,17.66,Made,2.0,,,,,,,,,,,,,,,
46,PT08M02.00S,2022-04-10T01:48:38.0Z,1,REGULAR,foul,personal,[],1630558,,,1610612746,9,2,2022-04-10T01:48:42Z,460000,,,0,,D. Mitchell personal FOUL (1 PF),"[1630558, 201587]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,1627961.0,1.0,0.0,Batum,201587.0,,,
48,PT07M57.00S,2022-04-10T01:48:56.5Z,1,REGULAR,3pt,Jump Shot,[],202694,74.50722733245729,16.888786764705884,1610612746,12,2,2022-04-10T01:49:03Z,480000,-166.0,187.0,1,right,M. Morris Sr. 24' 3PT  (5 PTS) (R. Jackson 1 AST),"[202694, 202704]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,24.99,Made,5.0,R. Jackson,202704.0,1.0,,,,,,,,,,,,
