actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
21,PT09M08.00S,2022-04-11T01:43:54.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629599,88.87976346911958,43.38235294117647,1610612746,9,6,2022-04-11T01:43:59Z,210000,-33.0,52.0,1,right,A. Coffey 6' driving floating Jump Shot (2 PTS),[1629599],1610612746.0,LAC,driving floating,,,Coffey,A. Coffey,,,,,6.16,Made,2.0,,,,,,,,,,,,,,,,,
22,PT08M55.00S,2022-04-11T01:44:07.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629676,12.13863337713535,48.529411764705884,1610612760,9,6,2022-04-11T01:56:14Z,220000,7.0,62.0,1,left,MISS I. Roby 6' turnaround bank Hook,[1629676],1610612760.0,OKC,turnaround bank,,,Roby,I. Roby,,,,,6.2,Missed,,,,,,,,,,,,,,,,,,
23,PT08M53.00S,2022-04-11T01:44:09.4Z,1,REGULAR,rebound,defensive,[],203496,,,1610612746,9,6,2022-04-11T01:44:12Z,230000,,,0,,R. Covington REBOUND (Off:0 Def:2),[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,
24,PT08M48.00S,2022-04-11T01:44:15.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203496,69.4316688567674,29.65686274509804,1610612746,12,6,2022-04-11T01:44:22Z,240000,-102.0,235.0,1,right,R. Covington 25' 3PT running pullup (3 PTS),[203496],1610612746.0,LAC,running pullup,,,Covington,R. Covington,,,,,25.59,Made,3.0,,,,,,,,,,,,,,,,,
25,PT08M24.00S,2022-04-11T01:44:40.7Z,1,REGULAR,foul,personal,['2freethrow'],203496,,,1610612760,12,6,2022-04-11T01:45:32Z,250000,,,0,,R. Covington shooting personal FOUL (1 PF) (Kalaitzakis 2 FT),"[203496, 1630686]",1610612746.0,LAC,shooting,,,Covington,R. Covington,,,,,,,,,,,,2534.0,,,,,1.0,0.0,Kalaitzakis,1630686.0,,,,
27,PT08M24.00S,2022-04-11T01:45:12.5Z,1,REGULAR,freethrow,1 of 2,[],1630686,,,1610612760,12,7,2022-04-11T01:45:12Z,270000,,,0,,G. Kalaitzakis Free Throw 1 of 2 (1 PTS),[1630686],1610612760.0,OKC,,,,Kalaitzakis,G. Kalaitzakis,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
28,PT08M24.00S,2022-04-11T01:45:36.9Z,1,REGULAR,freethrow,2 of 2,[],1630686,,,1610612760,12,8,2022-04-11T01:45:36Z,280000,,,0,,G. Kalaitzakis Free Throw 2 of 2 (2 PTS),[1630686],1610612760.0,OKC,,,,Kalaitzakis,G. Kalaitzakis,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
29,PT08M08.00S,2022-04-11T01:45:53.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,94.53022339027595,41.666666666666664,1610612746,12,8,2022-04-11T01:45:57Z,290000,-42.0,-1.0,1,right,MISS I. Zubac turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,4.17,Missed,,,,,,,,,,,,,,,,,,
30,PT08M05.00S,2022-04-11T01:45:56.2Z,1,REGULAR,rebound,offensive,[],203496,,,1610612746,12,8,2022-04-11T01:45:56Z,300000,,,0,,R. Covington REBOUND (Off:1 Def:2),[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,,,,29.0,3.0,2.0,1.0,,,,,,,,,,,,,
31,PT08M01.00S,2022-04-11T01:46:00.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629599,68.38042049934297,40.68627450980392,1610612746,15,8,2022-04-11T01:46:05Z,310000,-47.0,245.0,1,right,A. Coffey 24' 3PT  (5 PTS) (L. Kennard 1 AST),"[1629599, 1628379]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,24.91,Made,5.0,,,,,,,L. Kennard,1628379.0,1.0,,,,,,,,
33,PT07M41.00S,2022-04-11T01:46:20.6Z,1,REGULAR,3pt,Jump Shot,[],1629676,31.192509855453352,64.4607843137255,1610612760,15,8,2022-04-11T01:46:27Z,330000,-72.0,241.0,1,left,MISS I. Roby 25' 3PT,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,25.13,Missed,,,,,,,,,,,,,,,,,,
34,PT07M37.00S,2022-04-11T01:46:24.6Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,15,8,2022-04-11T01:46:27Z,340000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,
35,PT07M32.00S,2022-04-11T01:46:29.7Z,1,REGULAR,3pt,Jump Shot,[],203496,92.95335085413929,97.05882352941177,1610612746,18,8,2022-04-11T01:46:36Z,350000,235.0,14.0,1,right,R. Covington 3PT  (6 PTS) (T. Mann 2 AST),"[203496, 1629611]",1610612746.0,LAC,,,,Covington,R. Covington,,,,,23.57,Made,6.0,,,,,,,T. Mann,1629611.0,2.0,,,,,,,,
37,PT07M17.00S,2022-04-11T01:46:47.1Z,1,REGULAR,turnover,traveling,[],1629676,,,1610612760,18,8,2022-04-11T01:46:51Z,370000,,,0,,I. Roby traveling TURNOVER (1 TO),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,201246.0,1.0,,,,,,,,,,,
38,PT07M17.00S,2022-04-11T01:46:52.3Z,1,REGULAR,substitution,out,[],1630249,,,1610612746,18,8,2022-04-11T01:46:58Z,380000,,,0,,SUB out: V. Krejci,[1630249],1610612760.0,OKC,,,,Krejci,V. Krejci,,,,,,,,,,,,,,,,,,,,,,,,
39,PT07M17.00S,2022-04-11T01:46:52.3Z,1,REGULAR,substitution,in,[],1628982,,,1610612746,18,8,2022-04-11T01:46:58Z,390000,,,0,,SUB in: M. Frazier Jr.,[1628982],1610612760.0,OKC,,,,Frazier Jr.,M. Frazier Jr.,,,,,,,,,,,,,,,,,,,,,,,,
40,PT07M10.00S,2022-04-11T01:47:09.5Z,1,REGULAR,turnover,lost ball,[],1629611,,,1610612746,18,8,2022-04-11T01:47:12Z,400000,,,0,,T. Mann lost ball TURNOVER (1 TO),"[1629611, 1629676]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,1.0,,,,,,,,Roby,1629676.0,,
41,PT07M10.00S,2022-04-11T01:47:09.5Z,1,REGULAR,steal,,[],1629676,,,1610612760,18,8,2022-04-11T02:01:08Z,410000,,,0,,I. Roby STEAL (1 STL),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M10.00S,2022-04-11T01:47:12.8Z,1,REGULAR,foul,personal,[],1627826,,,1610612760,18,8,2022-04-11T01:47:27Z,420000,,,0,,I. Zubac take personal FOUL (1 PF),"[1627826, 1629676]",1610612746.0,LAC,take,,,Zubac,I. Zubac,,,,,,,,,,,,1363.0,,,,,1.0,0.0,Roby,1629676.0,,,,
44,PT06M56.00S,2022-04-11T01:47:43.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629658,11.695137976346913,44.09466911764706,1610612760,18,8,2022-04-11T01:47:51Z,440000,30.0,57.0,1,left,MISS J. Hoard 6' driving floating Shot,[1629658],1610612760.0,OKC,driving floating,,,Hoard,J. Hoard,,,,,6.45,Missed,,,,,,,,,,,,,,,,,,
45,PT06M53.00S,2022-04-11T01:47:46.8Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,18,8,2022-04-11T01:47:51Z,450000,,,0,,T. Mann REBOUND (Off:0 Def:2),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,,,,,
46,PT06M43.00S,2022-04-11T01:47:56.5Z,1,REGULAR,3pt,Jump Shot,[],1628379,68.24901445466492,47.30392156862745,1610612746,21,8,2022-04-11T01:48:02Z,460000,-13.0,246.0,1,right,L. Kennard 24' 3PT pullup (8 PTS),[1628379],1610612746.0,LAC,pullup,,,Kennard,L. Kennard,,,,,24.64,Made,8.0,,,,,,,,,,,,,,,,,
47,PT06M27.00S,2022-04-11T01:48:12.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629658,6.356767411300922,47.05882352941176,1610612760,21,8,2022-04-11T01:48:16Z,470000,15.0,7.0,1,left,MISS J. Hoard driving Layup,[1629658],1610612760.0,OKC,driving,,,Hoard,J. Hoard,,,,,1.64,Missed,,,,,,,,,,,,,,,,,,
48,PT06M25.00S,2022-04-11T01:48:14.9Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,21,8,2022-04-11T01:48:16Z,480000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,
49,PT06M18.00S,2022-04-11T01:48:22.3Z,1,REGULAR,3pt,Jump Shot,[],1628379,94.48094612352168,5.369178921568633,1610612746,24,8,2022-04-11T01:48:34Z,490000,-223.0,-1.0,1,right,L. Kennard 3PT  (11 PTS) (A. Coffey 1 AST),"[1628379, 1629599]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,22.32,Made,11.0,,,,,,,A. Coffey,1629599.0,1.0,,,,,,,,
51,PT06M18.00S,2022-04-11T01:48:28.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,24,8,2022-04-11T01:48:28Z,510000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M05.00S,2022-04-11T01:51:28.9Z,1,REGULAR,3pt,Jump Shot,[],1629676,32.637976346911955,39.21568627450981,1610612760,24,11,2022-04-11T01:51:34Z,520000,54.0,254.0,1,left,I. Roby 25' 3PT  (5 PTS) (Z. Simpson 2 AST),"[1629676, 1630285]",1610612760.0,OKC,,,,Roby,I. Roby,,,,,25.99,Made,5.0,,,,,,,Z. Simpson,1630285.0,2.0,,,,,,,,
54,PT05M46.00S,2022-04-11T01:51:47.1Z,1,REGULAR,3pt,Jump Shot,[],1628379,68.51182654402103,38.23529411764706,1610612746,24,11,2022-04-11T01:51:51Z,540000,-59.0,243.0,1,right,MISS L. Kennard 25' 3PT,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,25.05,Missed,,,,,,,,,,,,,,,,,,
55,PT05M43.00S,2022-04-11T01:51:50.1Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,24,11,2022-04-11T01:51:51Z,550000,,,0,,I. Roby REBOUND (Off:0 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,
56,PT05M38.00S,2022-04-11T01:51:55.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629676,7.670827858081481,48.0392156862745,1610612760,24,11,2022-04-11T01:52:06Z,560000,10.0,20.0,1,left,MISS I. Roby running finger roll Layup,[1629676],1610612760.0,OKC,running finger roll,,,Roby,I. Roby,,,,,2.19,Missed,,,,,,,,,,,,,,,,,,
57,PT05M37.00S,2022-04-11T01:51:56.3Z,1,REGULAR,rebound,offensive,[],1629676,,,1610612760,24,11,2022-04-11T02:02:36Z,570000,,,0,,I. Roby REBOUND (Off:1 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,56.0,2.0,1.0,1.0,,,,,,,,,,,,,
58,PT05M37.00S,2022-04-11T01:51:58.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1629676,5.590000152587891,50.0,1610612760,24,13,2022-04-11T02:02:41Z,580000,0.0,0.0,1,left,I. Roby tip Layup (7 PTS),[1629676],1610612760.0,OKC,tip,,,Roby,I. Roby,,,,,0.0,Made,7.0,,,,,,,,,,,,,,,,,
59,PT05M20.00S,2022-04-11T01:52:13.1Z,1,REGULAR,2pt,Jump Shot,[],1628379,79.54993429697765,74.26470588235294,1610612746,24,13,2022-04-11T01:52:19Z,590000,121.0,140.0,1,right,MISS L. Kennard 18' pullup Shot,[1628379],1610612746.0,LAC,pullup,,,Kennard,L. Kennard,,,,,18.5,Missed,,,,,,,,,,,,,,,,,,
60,PT05M17.00S,2022-04-11T01:52:16.1Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,24,13,2022-04-11T01:52:19Z,600000,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,59.0,2.0,1.0,1.0,,,,,,,,,,,,,
61,PT05M14.00S,2022-04-11T01:52:19.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203496,67.85479632063075,48.529411764705884,1610612746,24,13,2022-04-11T01:52:25Z,610000,-7.0,250.0,1,right,MISS R. Covington 24' 3PT,[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,24.98,Missed,,,,,,,,,,,,,,,,,,
62,PT05M09.00S,2022-04-11T01:52:24.1Z,1,REGULAR,rebound,defensive,[],1630686,,,1610612760,24,13,2022-04-11T01:52:25Z,620000,,,0,,G. Kalaitzakis REBOUND (Off:0 Def:1),[1630686],1610612760.0,OKC,,,,Kalaitzakis,G. Kalaitzakis,,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,,,,
63,PT05M08.00S,2022-04-11T01:52:24.9Z,1,REGULAR,turnover,bad pass,[],1630686,,,1610612760,24,13,2022-04-11T01:52:28Z,630000,,,0,,G. Kalaitzakis bad pass TURNOVER (1 TO),"[1630686, 203496]",1610612760.0,OKC,,,,Kalaitzakis,G. Kalaitzakis,,,,,,,,,,,,,1.0,,,,,,,,Covington,203496.0,,
64,PT05M08.00S,2022-04-11T01:52:24.9Z,1,REGULAR,steal,,[],203496,,,1610612746,24,13,2022-04-11T01:52:26Z,640000,,,0,,R. Covington STEAL (1 STL),[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,
65,PT04M57.00S,2022-04-11T01:52:35.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203496,87.77923784494087,29.878982843137265,1610612746,24,13,2022-04-11T02:05:23Z,650000,-101.0,62.0,1,right,MISS R. Covington 11' driving floating bank Shot,[203496],1610612746.0,LAC,driving floating bank,,,Covington,R. Covington,,,,,11.84,Missed,,,,,,,,,,,,,,,,,,
66,PT04M55.00S,2022-04-11T01:52:37.7Z,1,REGULAR,rebound,defensive,[],1629658,,,1610612760,24,13,2022-04-11T02:05:23Z,660000,,,0,,J. Hoard REBOUND (Off:0 Def:1),[1629658],1610612760.0,OKC,,,,Hoard,J. Hoard,,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,
67,PT04M47.00S,2022-04-11T01:52:49.0Z,1,REGULAR,foul,personal,['2freethrow'],203496,,,1610612760,24,13,2022-04-11T01:53:07Z,670000,,,0,,R. Covington shooting personal FOUL (2 PF) (Roby 2 FT),"[203496, 1629676]",1610612746.0,LAC,shooting,,,Covington,R. Covington,,,,,,,,,,,,201246.0,,,,,2.0,0.0,Roby,1629676.0,,,,
69,PT04M47.00S,2022-04-11T01:53:13.4Z,1,REGULAR,freethrow,1 of 2,[],1629676,,,1610612760,24,13,2022-04-11T01:53:38Z,690000,,,0,,MISS I. Roby Free Throw 1 of 2,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,Missed,,,,,,,,,,,,,,,,,,
70,PT04M47.00S,2022-04-11T01:53:13.4Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612760,24,13,2022-04-11T01:53:38Z,700000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,
71,PT04M47.00S,2022-04-11T01:53:13.4Z,1,REGULAR,freethrow,2 of 2,[],1629676,,,1610612760,24,13,2022-04-11T01:53:38Z,710000,,,0,,MISS I. Roby Free Throw 2 of 2,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,Missed,,,,,,,,,,,,,,,,,,
72,PT04M44.00S,2022-04-11T01:53:16.4Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,24,13,2022-04-11T01:53:38Z,720000,,,0,,I. Zubac REBOUND (Off:1 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,71.0,3.0,2.0,1.0,,,,,,,,,,,,,
73,PT04M30.00S,2022-04-11T01:53:46.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,24,13,2022-04-11T01:53:46Z,730000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M30.00S,2022-04-11T01:53:47.6Z,1,REGULAR,substitution,out,[],1629676,,,1610612746,24,13,2022-04-11T01:53:53Z,740000,,,0,,SUB out: I. Roby,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M30.00S,2022-04-11T01:53:47.6Z,1,REGULAR,substitution,in,[],1630249,,,1610612746,24,13,2022-04-11T01:53:53Z,750000,,,0,,SUB in: V. Krejci,[1630249],1610612760.0,OKC,,,,Krejci,V. Krejci,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M23.00S,2022-04-11T01:54:09.0Z,1,REGULAR,2pt,Jump Shot,[],1627826,78.89290407358739,75.98039215686275,1610612746,24,13,2022-04-11T01:54:12Z,760000,130.0,146.0,1,right,MISS I. Zubac 19' Jump Shot,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,19.53,Missed,,,,,,,,,,,,,,,,,,
77,PT04M21.00S,2022-04-11T01:54:11.0Z,1,REGULAR,rebound,defensive,[],1630285,,,1610612760,24,13,2022-04-11T01:54:12Z,770000,,,0,,Z. Simpson REBOUND (Off:0 Def:1),[1630285],1610612760.0,OKC,,,,Simpson,Z. Simpson,,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,
78,PT04M13.00S,2022-04-11T01:54:18.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629658,6.619579500657039,54.65686274509804,1610612760,24,13,2022-04-11T01:54:24Z,780000,-23.0,10.0,1,left,MISS J. Hoard Layup - blocked,"[1629658, 1627826]",1610612760.0,OKC,,,,Hoard,J. Hoard,,,,,2.52,Missed,,,,,,,,,,,,,,,,,Zubac,1627826.0
79,PT04M13.00S,2022-04-11T01:54:18.4Z,1,REGULAR,block,,[],1627826,,,1610612760,24,13,2022-04-11T01:54:20Z,790000,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M10.00S,2022-04-11T01:54:21.4Z,1,REGULAR,rebound,offensive,[],1629658,,,1610612760,24,13,2022-04-11T01:54:24Z,800000,,,0,,J. Hoard REBOUND (Off:1 Def:1),[1629658],1610612760.0,OKC,,,,Hoard,J. Hoard,,,,,,,,78.0,2.0,1.0,1.0,,,,,,,,,,,,,
81,PT04M09.00S,2022-04-11T01:54:22.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629658,6.8823915900131425,49.50980392156863,1610612760,24,13,2022-04-11T01:54:26Z,810000,2.0,12.0,1,left,MISS J. Hoard putback Layup - blocked,"[1629658, 1629611]",1610612760.0,OKC,putback,,,Hoard,J. Hoard,,,,,1.25,Missed,,,,,,,,,,,,,,,,,Mann,1629611.0
82,PT04M09.00S,2022-04-11T01:54:22.1Z,1,REGULAR,block,,[],1629611,,,1610612760,24,13,2022-04-11T01:54:24Z,820000,,,0,,T. Mann BLOCK (1 BLK),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M09.00S,2022-04-11T01:54:22.1Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,24,13,2022-04-11T01:54:26Z,830000,,,0,,I. Zubac REBOUND (Off:1 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,81.0,4.0,3.0,1.0,,,,,,,,,,,,,
84,PT04M05.00S,2022-04-11T01:54:26.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629611,87.69710906701708,50.0,1610612746,26,13,2022-04-11T01:54:55Z,840000,0.0,63.0,1,right,T. Mann 6' running Layup (2 PTS),[1629611],1610612746.0,LAC,running,,,Mann,T. Mann,,,,,6.31,Made,2.0,,,,,,,,,,,,,,,,,
86,PT03M51.00S,2022-04-11T01:54:40.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628982,6.4881734559789805,46.81372549019608,1610612760,26,15,2022-04-11T01:54:46Z,860000,16.0,8.0,1,left,M. Frazier Jr. Layup (2 PTS) (J. Hoard 1 AST),"[1628982, 1629658]",1610612760.0,OKC,,,,Frazier Jr.,M. Frazier Jr.,,,,,1.8,Made,2.0,,,,,,,J. Hoard,1629658.0,1.0,,,,,,,,
