actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
28,PT09M07.00S,2021-12-11T20:44:19.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630532,92.3784494086728,44.46231617647059,1610612753,5,8,2021-12-11T20:44:29Z,270000,-28.0,19.0,1,right,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,3.36,Missed,,,,,,,,,,,,,,,,,,
29,PT09M05.00S,2021-12-11T20:44:21.6Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,5,8,2021-12-11T20:44:29Z,280000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,28.0,2.0,1.0,1.0,,,,,,,,,,,,,,
30,PT09M02.00S,2021-12-11T20:44:24.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630532,90.98226018396846,51.470588235294116,1610612753,5,10,2021-12-11T20:44:32Z,290000,7.0,32.0,1,right,F. Wagner floating Jump Shot (2 PTS) (W. Carter Jr. 2 AST),"[1630532, 1628976]",1610612753.0,ORL,floating,,,Wagner,F. Wagner,,,,,3.31,Made,,,,,2.0,W. Carter Jr.,1628976.0,2.0,,,,,,,,,,
32,PT08M47.00S,2021-12-11T20:44:38.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,11.744415243101187,45.09803921568627,1610612746,5,10,2021-12-11T20:44:42Z,310000,25.0,58.0,1,left,MISS R. Jackson 6' driving Layup,[202704],1610612746.0,LAC,driving,,,Jackson,R. Jackson,,,,,6.29,Missed,,,,,,,,,,,,,,,,,,
33,PT08M44.00S,2021-12-11T20:44:41.8Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,5,10,2021-12-11T20:44:41Z,320000,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,32.0,1.0,0.0,1.0,,,,,,,,,,,,,,
34,PT08M44.00S,2021-12-11T20:44:41.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627826,5.590000152587891,50.0,1610612746,7,10,2021-12-11T20:44:44Z,330000,0.0,0.0,1,left,I. Zubac tip Layup (2 PTS),[1627826],1610612746.0,LAC,tip,,,Zubac,I. Zubac,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,
35,PT08M36.00S,2021-12-11T20:44:50.0Z,1,REGULAR,3pt,Jump Shot,[],1630175,73.89947437582128,87.74509803921569,1610612753,7,13,2021-12-11T20:44:54Z,340000,189.0,193.0,1,right,C. Anthony 26' 3PT step back (6 PTS),[1630175],1610612753.0,ORL,step back,,,Anthony,C. Anthony,,,,,26.98,Made,,,,,6.0,,,,,,,,,,,,,
36,PT08M18.00S,2021-12-11T20:45:07.8Z,1,REGULAR,2pt,Jump Shot,[],202704,24.359395532194483,32.1078431372549,1610612746,7,13,2021-12-11T20:45:12Z,350000,89.0,176.0,1,left,MISS R. Jackson 19' pullup Shot,[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,19.79,Missed,,,,,,,,,,,,,,,,,,
37,PT08M15.00S,2021-12-11T20:45:10.8Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,7,13,2021-12-11T20:45:12Z,360000,,,0,,G. Harris REBOUND (Off:0 Def:2),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,
38,PT08M10.00S,2021-12-11T20:45:22.1Z,1,REGULAR,foul,personal,[],202694,,,1610612753,7,13,2021-12-11T20:45:29Z,370000,,,0,,M. Morris Sr. personal FOUL (1 PF),"[202694, 1628976]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Carter Jr.,1628976.0,,,,
40,PT07M55.00S,2021-12-11T20:45:55.9Z,1,REGULAR,2pt,Jump Shot,[],1628964,93.08475689881735,31.617647058823522,1610612753,7,13,2021-12-11T20:46:01Z,390000,-92.0,13.0,1,right,MISS M. Bamba 9' turnaround fadeaway Shot,[1628964],1610612753.0,ORL,turnaround fadeaway,,,Bamba,M. Bamba,,,,,9.27,Missed,,,,,,,,,,,,,,,,,,
41,PT07M53.00S,2021-12-11T20:45:57.9Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,7,13,2021-12-11T20:46:01Z,400000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:2),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,,,
42,PT07M37.00S,2021-12-11T20:46:13.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,6.225361366622863,45.09803921568627,1610612746,7,13,2021-12-11T20:46:19Z,410000,25.0,6.0,1,left,MISS R. Jackson driving Layup,[202704],1610612746.0,LAC,driving,,,Jackson,R. Jackson,,,,,2.52,Missed,,,,,,,,,,,,,,,,,,
43,PT07M36.00S,2021-12-11T20:46:14.6Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,7,13,2021-12-11T20:47:09Z,420000,,,0,,I. Zubac REBOUND (Off:2 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,42.0,2.0,0.0,2.0,,,,,,,,,,,,,,
44,PT07M36.00S,2021-12-11T20:46:18.2Z,1,REGULAR,foul,personal,['2freethrow'],1628964,,,1610612746,7,13,2021-12-11T20:46:26Z,430000,,,0,,M. Bamba shooting personal FOUL (1 PF) (Zubac 2 FT),"[1628964, 1627826]",1610612753.0,ORL,shooting,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Zubac,1627826.0,,,,
46,PT07M36.00S,2021-12-11T20:46:39.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627826,,,1610612746,8,13,2021-12-11T20:46:39Z,450000,,,0,,I. Zubac Free Throw 1 of 2 (3 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
47,PT07M36.00S,2021-12-11T20:46:39.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627826,,,1610612746,8,13,2021-12-11T20:46:58Z,460000,,,0,,MISS I. Zubac Free Throw 2 of 2,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,Missed,,,,,,,,,,,,,,,,,,
48,PT07M33.00S,2021-12-11T20:46:42.8Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,8,13,2021-12-11T20:46:58Z,470000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,47.0,3.0,2.0,1.0,,,,,,,,,,,,,,
49,PT07M20.00S,2021-12-11T20:47:09.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,91.37647831800263,56.372549019607845,1610612753,8,15,2021-12-11T20:47:14Z,480000,32.0,29.0,1,right,F. Wagner driving bank Jump Shot (4 PTS),[1630532],1610612753.0,ORL,driving bank,,,Wagner,F. Wagner,,,,,4.28,Made,,,,,4.0,,,,,,,,,,,,,
50,PT07M02.00S,2021-12-11T20:47:27.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202694,9.904730617608408,44.11764705882353,1610612746,8,15,2021-12-11T20:48:14Z,490000,29.0,41.0,1,left,MISS M. Morris Sr. Layup - blocked,"[202694, 1628964]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,5.01,Missed,,,,,,,,,,,,,,,Bamba,1628964.0,,
51,PT07M02.00S,2021-12-11T20:47:27.9Z,1,REGULAR,block,,[],1628964,,,1610612746,8,15,2021-12-11T20:47:31Z,500000,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M58.00S,2021-12-11T20:47:31.9Z,1,REGULAR,rebound,offensive,[],202694,,,1610612746,8,15,2021-12-11T20:47:33Z,510000,,,0,,M. Morris Sr. REBOUND (Off:1 Def:2),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,50.0,3.0,2.0,1.0,,,,,,,,,,,,,,
54,PT06M57.00S,2021-12-11T20:47:32.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202694,8.672798948751648,27.673100490196077,1610612746,8,15,2021-12-11T20:47:39Z,530000,112.0,29.0,1,left,MISS M. Morris Sr. 11' turnaround Shot - blocked,"[202694, 1628964]",1610612746.0,LAC,turnaround,,,Morris Sr.,M. Morris Sr.,,,,,11.53,Missed,,,,,,,,,,,,,,,Bamba,1628964.0,,
55,PT06M57.00S,2021-12-11T20:47:32.9Z,1,REGULAR,block,,[],1628964,,,1610612746,8,15,2021-12-11T20:47:37Z,540000,,,0,,M. Bamba BLOCK (2 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M52.00S,2021-12-11T20:47:37.9Z,1,REGULAR,rebound,offensive,[],202694,,,1610612746,8,15,2021-12-11T20:47:39Z,550000,,,0,,M. Morris Sr. REBOUND (Off:2 Def:2),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,54.0,4.0,2.0,2.0,,,,,,,,,,,,,,
57,PT06M51.00S,2021-12-11T20:47:39.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202694,25.410643889618925,31.127450980392155,1610612746,8,15,2021-12-11T20:48:05Z,560000,94.0,186.0,1,left,MISS M. Morris Sr. 20' pullup Shot,[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,20.89,Missed,,,,,,,,,,,,,,,,,,
58,PT06M49.00S,2021-12-11T20:47:40.8Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,8,15,2021-12-11T20:47:40Z,570000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,
59,PT06M47.00S,2021-12-11T20:47:46.9Z,1,REGULAR,foul,personal,[],202704,,,1610612753,8,15,2021-12-11T20:47:59Z,580000,,,0,,R. Jackson personal FOUL (1 PF),"[202704, 1630175]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Anthony,1630175.0,,,,
61,PT06M47.00S,2021-12-11T20:47:57.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,8,15,2021-12-11T20:47:57Z,600000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M47.00S,2021-12-11T20:50:44.0Z,1,REGULAR,substitution,out,[],1628964,,,1610612753,8,15,2021-12-11T20:50:58Z,610000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M47.00S,2021-12-11T20:50:44.0Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,8,15,2021-12-11T20:50:58Z,620000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M47.00S,2021-12-11T20:50:44.0Z,1,REGULAR,substitution,in,[],203082,,,1610612753,8,15,2021-12-11T20:50:58Z,630000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M47.00S,2021-12-11T20:50:44.0Z,1,REGULAR,substitution,in,[],1629021,,,1610612753,8,15,2021-12-11T20:50:58Z,640000,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M42.00S,2021-12-11T20:51:04.8Z,1,REGULAR,3pt,Jump Shot,[],1629021,67.85479632063075,30.882352941176478,1610612753,8,15,2021-12-11T20:51:10Z,650000,-96.0,250.0,1,right,MISS M. Wagner 26' 3PT,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,26.74,Missed,,,,,,,,,,,,,,,,,,
67,PT06M42.00S,2021-12-11T20:51:04.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,8,15,2021-12-11T20:51:10Z,660000,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,
68,PT06M41.00S,2021-12-11T20:51:10.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,8,15,2021-12-11T20:51:10Z,670000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M16.00S,2021-12-11T20:51:34.0Z,1,REGULAR,2pt,Jump Shot,[],202694,12.13863337713535,78.18627450980392,1610612746,8,15,2021-12-11T20:51:41Z,680000,-141.0,62.0,1,left,MISS M. Morris Sr. 15' pullup Shot,[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,15.38,Missed,,,,,,,,,,,,,,,,,,
70,PT06M13.00S,2021-12-11T20:51:37.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,8,15,2021-12-11T20:51:41Z,690000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,69.0,4.0,3.0,1.0,,,,,,,,,,,,,,
71,PT06M03.00S,2021-12-11T20:51:47.2Z,1,REGULAR,3pt,Jump Shot,[],1630175,71.66557161629436,17.40196078431373,1610612753,8,15,2021-12-11T20:51:54Z,700000,-163.0,214.0,1,right,MISS C. Anthony 26' pullup 3PT,[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,26.88,Missed,,,,,,,,,,,,,,,,,,
72,PT06M00.00S,2021-12-11T20:51:50.2Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,8,15,2021-12-11T20:51:54Z,710000,,,0,,M. Morris Sr. REBOUND (Off:2 Def:3),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,71.0,5.0,3.0,2.0,,,,,,,,,,,,,,
73,PT05M50.00S,2021-12-11T20:52:00.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,14.37253613666229,59.31372549019608,1610612746,10,15,2021-12-11T20:52:06Z,720000,-47.0,83.0,1,left,R. Jackson 9' driving floating Jump Shot (2 PTS) (M. Morris Sr. 1 AST),"[202704, 202694]",1610612746.0,LAC,driving floating,,,Jackson,R. Jackson,,,,,9.48,Made,,,,,2.0,M. Morris Sr.,202694.0,1.0,,,,,,,,,,
75,PT05M30.00S,2021-12-11T20:52:19.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203914,92.77266754270697,60.474111519607845,1610612753,10,17,2021-12-11T20:52:32Z,740000,52.0,15.0,1,right,G. Harris driving floating Jump Shot (2 PTS) (W. Carter Jr. 3 AST),"[203914, 1628976]",1610612753.0,ORL,driving floating,,,Harris,G. Harris,,,,,5.46,Made,,,,,2.0,W. Carter Jr.,1628976.0,3.0,,,,,,,,,,
77,PT05M17.00S,2021-12-11T20:52:37.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,10,17,2021-12-11T20:52:37Z,760000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M17.00S,2021-12-11T20:52:39.4Z,1,REGULAR,substitution,out,[],202704,,,1610612746,10,17,2021-12-11T20:52:50Z,770000,,,0,,SUB out: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M17.00S,2021-12-11T20:52:39.4Z,1,REGULAR,substitution,out,[],202694,,,1610612746,10,17,2021-12-11T20:52:50Z,780000,,,0,,SUB out: M. Morris Sr.,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M17.00S,2021-12-11T20:52:39.4Z,1,REGULAR,substitution,out,[],1627826,,,1610612746,10,17,2021-12-11T20:52:50Z,790000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M17.00S,2021-12-11T20:52:39.4Z,1,REGULAR,substitution,in,[],202339,,,1610612746,10,17,2021-12-11T20:52:50Z,800000,,,0,,SUB in: E. Bledsoe,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M17.00S,2021-12-11T20:52:39.4Z,1,REGULAR,substitution,in,[],1630527,,,1610612746,10,17,2021-12-11T20:52:50Z,810000,,,0,,SUB in: B. Boston Jr.,[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M17.00S,2021-12-11T20:52:39.4Z,1,REGULAR,substitution,in,[],1628392,,,1610612746,10,17,2021-12-11T20:52:50Z,820000,,,0,,SUB in: I. Hartenstein,[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M10.00S,2021-12-11T20:53:03.5Z,1,REGULAR,3pt,Jump Shot,[],1628379,34.60906701708278,59.80392156862745,1610612746,13,17,2021-12-11T20:53:08Z,830000,-49.0,273.0,1,left,L. Kennard 27' 3PT pullup (8 PTS) (E. Bledsoe 1 AST),"[1628379, 202339]",1610612746.0,LAC,pullup,,,Kennard,L. Kennard,,,,,27.72,Made,,,,,8.0,E. Bledsoe,202339.0,1.0,,,,,,,,,,
86,PT04M51.00S,2021-12-11T20:53:27.6Z,1,REGULAR,foul,personal,[],1630527,,,1610612753,13,17,2021-12-11T20:53:33Z,850000,,,0,,B. Boston Jr. personal FOUL (1 PF),"[1630527, 1630175]",1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Anthony,1630175.0,,,,
88,PT04M51.00S,2021-12-11T20:53:34.5Z,1,REGULAR,substitution,out,[],1628976,,,1610612753,13,17,2021-12-11T20:53:38Z,870000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M51.00S,2021-12-11T20:53:34.5Z,1,REGULAR,substitution,in,[],1629643,,,1610612753,13,17,2021-12-11T20:53:38Z,880000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M45.00S,2021-12-11T20:53:57.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629021,90.8508541392904,50.245098039215684,1610612753,13,19,2021-12-11T20:54:02Z,890000,1.0,34.0,1,right,M. Wagner cutting DUNK (2 PTS) (T. Ross 1 AST),"[1629021, 203082]",1610612753.0,ORL,cutting,,,Wagner,M. Wagner,,,,,3.35,Made,,,,,2.0,T. Ross,203082.0,1.0,,,,,,,,,,
