actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,value
21,PT10M33.00S,2021-11-24T03:43:17.3Z,1,REGULAR,3pt,Jump Shot,[],202331,71.53416557161628,17.40196078431373,1610612746,2,1,2021-11-24T03:43:25Z,210000,-163.0,215.0,1,right,MISS P. George 26' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,26.99,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M29.00S,2021-11-24T03:43:21.3Z,1,REGULAR,rebound,defensive,[],1626161,,,1610612742,2,1,2021-11-24T03:43:25Z,220000,,,0,,W. Cauley-Stein REBOUND (Off:0 Def:1),[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
23,PT10M24.00S,2021-11-24T03:43:27.3Z,1,REGULAR,foul,offensive,[],1629029,,,1610612742,2,1,2021-11-24T03:43:40Z,230000,,,0,,L. Doncic charge offensive FOUL (1 PF),"[1629029, 202331]",1610612742.0,DAL,charge,,,Doncic,L. Doncic,,,,,,,,,,,202053.0,1.0,0.0,George,202331.0,,,,,,,,,,
25,PT10M24.00S,2021-11-24T03:43:27.3Z,1,REGULAR,turnover,offensive foul,[],1629029,,,1610612742,2,1,2021-11-24T03:43:27Z,250000,,,0,,L. Doncic offensive foul TURNOVER (1 TO),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,202053.0,,,,,,1.0,,,,,,,,
26,PT10M03.00S,2021-11-24T03:44:03.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202704,81.12680683311433,53.18627450980392,1610612746,4,1,2021-11-24T03:45:10Z,260000,16.0,125.0,1,right,R. Jackson 12' driving floating Jump Shot (2 PTS),[202704],1610612746.0,LAC,driving floating,,,Jackson,R. Jackson,,,,,12.59,Made,,,,,,,,,,2.0,,,,,,,,,
27,PT09M46.00S,2021-11-24T03:44:20.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,14.109724047306173,47.79411764705882,1610612742,4,3,2021-11-24T03:48:55Z,270000,11.0,80.0,1,left,L. Doncic 8' driving floating Jump Shot (2 PTS),[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,8.09,Made,,,,,,,,,,2.0,,,,,,,,,
28,PT09M27.00S,2021-11-24T03:44:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,93.2161629434954,47.549019607843135,1610612746,6,3,2021-11-24T03:46:14Z,280000,-12.0,11.0,1,right,R. Jackson driving finger roll Layup (4 PTS),[202704],1610612746.0,LAC,driving finger roll,,,Jackson,R. Jackson,,,,,1.67,Made,,,,,,,,,,4.0,,,,,,,,,
29,PT09M16.00S,2021-11-24T03:44:52.1Z,1,REGULAR,foul,personal,[],202339,,,1610612742,6,3,2021-11-24T03:44:59Z,290000,,,0,,E. Bledsoe personal FOUL (1 PF),"[202339, 1629029]",1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,201640.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,,
31,PT09M10.00S,2021-11-24T03:45:19.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626161,9.773324572930349,45.58823529411765,1610612742,6,3,2021-11-24T03:45:25Z,310000,22.0,39.0,1,left,MISS W. Cauley-Stein driving Layup - blocked,"[1626161, 202331]",1610612742.0,DAL,driving,,,Cauley-Stein,W. Cauley-Stein,,,,,4.52,Missed,,,,,,,,,,,,George,202331.0,,,,,,
32,PT09M10.00S,2021-11-24T03:45:19.6Z,1,REGULAR,block,,[],202331,,,1610612742,6,3,2021-11-24T03:45:21Z,320000,,,0,,P. George BLOCK (1 BLK),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M10.00S,2021-11-24T03:45:19.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,6,3,2021-11-24T03:45:25Z,330000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,
34,PT09M10.00S,2021-11-24T03:45:24.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,6,3,2021-11-24T03:45:24Z,340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M08.00S,2021-11-24T03:45:32.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627827,8.327858081471746,97.54901960784314,1610612742,6,3,2021-11-24T03:45:40Z,350000,-238.0,26.0,1,left,MISS D. Finney-Smith 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,23.91,Missed,,,,,,,,,,,,,,,,,,,
36,PT09M04.00S,2021-11-24T03:45:36.8Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,6,3,2021-11-24T03:45:40Z,360000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
37,PT08M59.00S,2021-11-24T03:45:41.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202694,88.09132720105124,95.83333333333333,1610612746,9,3,2021-11-24T03:45:48Z,370000,229.0,59.0,1,right,M. Morris Sr. 3PT running (3 PTS) (P. George 1 AST),"[202694, 202331]",1610612746.0,LAC,running,,,Morris Sr.,M. Morris Sr.,,,,,23.68,Made,,,,,,,,,,3.0,,,,P. George,202331.0,1.0,,,
39,PT08M48.00S,2021-11-24T03:45:52.4Z,1,REGULAR,3pt,Jump Shot,[],203501,10.561760840998687,2.941176470588232,1610612742,9,3,2021-11-24T03:45:58Z,390000,235.0,47.0,1,left,MISS T. Hardaway Jr. 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,23.99,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M45.00S,2021-11-24T03:45:55.4Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,9,3,2021-11-24T03:45:58Z,400000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:2),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
41,PT08M33.00S,2021-11-24T03:46:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202694,93.2161629434954,47.05882352941176,1610612746,9,3,2021-11-24T03:46:13Z,410000,-15.0,11.0,1,right,MISS M. Morris Sr. driving Layup,[202694],1610612746.0,LAC,driving,,,Morris Sr.,M. Morris Sr.,,,,,1.85,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M32.00S,2021-11-24T03:46:09.1Z,1,REGULAR,rebound,offensive,[],202339,,,1610612746,9,3,2021-11-24T03:46:13Z,420000,,,0,,E. Bledsoe REBOUND (Off:1 Def:1),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,41.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
43,PT08M32.00S,2021-11-24T03:46:11.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202339,94.40999984741211,50.0,1610612746,11,3,2021-11-24T03:46:16Z,430000,0.0,0.0,1,right,E. Bledsoe tip Layup (2 PTS),[202339],1610612746.0,LAC,tip,,,Bledsoe,E. Bledsoe,,,,,0.0,Made,,,,,,,,,,2.0,,,,,,,,,
44,PT08M32.00S,2021-11-24T03:46:14.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,11,3,2021-11-24T03:46:14Z,440000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M15.00S,2021-11-24T03:49:17.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626161,9.773324572930349,42.64705882352941,1610612742,11,3,2021-11-24T03:49:23Z,450000,37.0,39.0,1,left,MISS W. Cauley-Stein bank Hook,[1626161],1610612742.0,DAL,bank,,,Cauley-Stein,W. Cauley-Stein,,,,,5.39,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M13.00S,2021-11-24T03:49:19.9Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,11,3,2021-11-24T03:49:23Z,460000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:3),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,45.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
47,PT08M09.00S,2021-11-24T03:49:25.1Z,1,REGULAR,foul,personal,[],203501,,,1610612746,11,3,2021-11-24T03:49:38Z,470000,,,0,,T. Hardaway Jr. personal FOUL (1 PF),"[203501, 202331]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,201640.0,1.0,0.0,George,202331.0,,,,,,,,,,
49,PT07M50.00S,2021-11-24T03:50:01.1Z,1,REGULAR,3pt,Jump Shot,[],202704,72.58541392904074,87.25490196078431,1610612746,11,3,2021-11-24T03:50:10Z,490000,186.0,205.0,1,right,MISS R. Jackson 27' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,27.72,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M50.00S,2021-11-24T03:50:01.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,11,3,2021-11-24T03:52:18Z,500000,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,
51,PT07M50.00S,2021-11-24T03:50:17.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,11,3,2021-11-24T03:52:04Z,510000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M25.00S,2021-11-24T03:50:32.6Z,1,REGULAR,2pt,Jump Shot,[],203501,21.20565045992116,75.73529411764706,1610612742,11,5,2021-11-24T03:50:52Z,520000,-129.0,147.0,1,left,T. Hardaway Jr. 19' pullup Jump Shot (2 PTS) (L. Doncic 1 AST),"[203501, 1629029]",1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,19.52,Made,,,,,,,,,,2.0,,,,L. Doncic,1629029.0,1.0,,,
54,PT07M06.00S,2021-11-24T03:50:51.4Z,1,REGULAR,2pt,Jump Shot,[],202331,78.76149802890933,63.72549019607843,1610612746,11,5,2021-11-24T03:50:57Z,540000,69.0,147.0,1,right,MISS P. George 16' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,16.23,Missed,,,,,,,,,,,,,,,,,,,
55,PT07M02.00S,2021-11-24T03:50:55.4Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,11,5,2021-11-24T03:50:57Z,550000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
56,PT06M55.00S,2021-11-24T03:51:04.1Z,1,REGULAR,foul,personal,['2freethrow'],202704,,,1610612742,11,5,2021-11-24T03:51:09Z,560000,,,0,,R. Jackson shooting personal FOUL (1 PF) (Porzingis 2 FT),"[202704, 204001]",1610612746.0,LAC,shooting,,,Jackson,R. Jackson,,,,,,,,,,,1627541.0,1.0,0.0,Porzingis,204001.0,,,,,,,,,,
58,PT06M55.00S,2021-11-24T03:51:26.0Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612742,11,6,2021-11-24T03:51:26Z,580000,,,0,,K. Porzingis Free Throw 1 of 2 (2 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
59,PT06M55.00S,2021-11-24T03:51:27.3Z,1,REGULAR,substitution,out,[],1626161,,,1610612742,11,6,2021-11-24T03:51:32Z,590000,,,0,,SUB out: W. Cauley-Stein,[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M55.00S,2021-11-24T03:51:27.3Z,1,REGULAR,substitution,in,[],203939,,,1610612742,11,6,2021-11-24T03:51:32Z,600000,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M55.00S,2021-11-24T03:51:51.2Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612742,11,7,2021-11-24T03:51:51Z,610000,,,0,,K. Porzingis Free Throw 2 of 2 (3 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
62,PT06M41.00S,2021-11-24T03:52:08.1Z,1,REGULAR,3pt,Jump Shot,[],202694,80.62992772667542,7.575061274509807,1610612746,11,7,2021-11-24T03:52:14Z,620000,-212.0,130.0,1,right,MISS M. Morris Sr. 24' 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,24.86,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M39.00S,2021-11-24T03:52:10.1Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,11,7,2021-11-24T03:52:14Z,630000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
64,PT06M29.00S,2021-11-24T03:52:23.2Z,1,REGULAR,3pt,Jump Shot,[],1627827,7.145203679369246,95.58823529411765,1610612742,11,7,2021-11-24T03:52:56Z,640000,-228.0,15.0,1,left,MISS D. Finney-Smith 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,22.84,Missed,,,,,,,,,,,,,,,,,,,
65,PT06M29.00S,2021-11-24T03:52:23.2Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,11,7,2021-11-24T03:52:56Z,650000,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
66,PT06M29.00S,2021-11-24T03:52:26.0Z,1,REGULAR,foul,personal,[],1629029,,,1610612746,11,7,2021-11-24T03:53:12Z,660000,,,0,,L. Doncic take personal FOUL (2 PF),"[1629029, 202339]",1610612742.0,DAL,take,,,Doncic,L. Doncic,,,,,,,,,,,1627541.0,2.0,0.0,Bledsoe,202339.0,,,,,,,,,,
68,PT06M29.00S,2021-11-24T03:52:33.5Z,1,REGULAR,substitution,out,[],202694,,,1610612746,11,7,2021-11-24T03:52:39Z,680000,,,0,,SUB out: M. Morris Sr.,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M29.00S,2021-11-24T03:52:33.5Z,1,REGULAR,substitution,out,[],202339,,,1610612746,11,7,2021-11-24T03:52:39Z,690000,,,0,,SUB out: E. Bledsoe,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M29.00S,2021-11-24T03:52:33.5Z,1,REGULAR,substitution,in,[],1628379,,,1610612746,11,7,2021-11-24T03:52:39Z,700000,,,0,,SUB in: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M29.00S,2021-11-24T03:52:33.5Z,1,REGULAR,substitution,in,[],1629611,,,1610612746,11,7,2021-11-24T03:52:39Z,710000,,,0,,SUB in: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M23.00S,2021-11-24T03:52:53.5Z,1,REGULAR,foul,personal,[],203939,,,1610612746,11,7,2021-11-24T03:52:58Z,720000,,,0,,D. Powell personal FOUL (1 PF),"[203939, 202331]",1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,201640.0,1.0,0.0,George,202331.0,,,,,,,,,,
74,PT06M23.00S,2021-11-24T03:52:59.5Z,1,REGULAR,substitution,out,[],1629029,,,1610612746,11,7,2021-11-24T03:53:08Z,740000,,,0,,SUB out: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M23.00S,2021-11-24T03:52:59.5Z,1,REGULAR,substitution,in,[],1628973,,,1610612746,11,7,2021-11-24T03:53:08Z,750000,,,0,,SUB in: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M19.00S,2021-11-24T03:53:28.5Z,1,REGULAR,turnover,out-of-bounds,[],1627826,,,1610612746,11,7,2021-11-24T03:53:36Z,760000,,,0,,I. Zubac bad pass out-of-bounds TURNOVER (1 TO),[1627826],1610612746.0,LAC,bad pass,,,Zubac,I. Zubac,,,,,,,,,,,201640.0,,,,,,1.0,,,,,,,,
77,PT06M01.00S,2021-11-24T03:53:51.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",204001,11.613009198423129,43.38235294117647,1610612742,11,9,2021-11-24T03:53:57Z,770000,33.0,57.0,1,left,K. Porzingis 6' turnaround Jump Shot (5 PTS) (J. Brunson 1 AST),"[204001, 1628973]",1610612742.0,DAL,turnaround,,,Porzingis,K. Porzingis,,,,,6.57,Made,,,,,,,,,,5.0,,,,J. Brunson,1628973.0,1.0,,,
79,PT05M47.00S,2021-11-24T03:54:04.3Z,1,REGULAR,3pt,Jump Shot,[],1629611,71.13994743758212,78.18627450980392,1610612746,14,9,2021-11-24T03:54:11Z,790000,141.0,219.0,1,right,T. Mann 26' 3PT  (3 PTS) (I. Zubac 1 AST),"[1629611, 1627826]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,26.02,Made,,,,,,,,,,3.0,,,,I. Zubac,1627826.0,1.0,,,
81,PT05M24.00S,2021-11-24T03:54:28.0Z,1,REGULAR,turnover,bad pass,[],204001,,,1610612742,14,9,2021-11-24T03:54:36Z,810000,,,0,,K. Porzingis bad pass TURNOVER (1 TO),"[204001, 202704]",1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,1.0,,,,,,Jackson,202704.0,
82,PT05M24.00S,2021-11-24T03:54:28.0Z,1,REGULAR,steal,,[],202704,,,1610612746,14,9,2021-11-24T03:54:29Z,820000,,,0,,R. Jackson STEAL (1 STL),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M16.00S,2021-11-24T03:54:36.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202704,92.55913272010513,49.26470588235294,1610612746,16,9,2021-11-24T03:54:56Z,830000,-4.0,17.0,1,right,R. Jackson driving finger roll Layup (6 PTS) (L. Kennard 1 AST),"[202704, 1628379]",1610612746.0,LAC,driving finger roll,,,Jackson,R. Jackson,,,,,1.78,Made,,,,,,,,,,6.0,,,,L. Kennard,1628379.0,1.0,,,
85,PT04M54.00S,2021-11-24T03:54:57.9Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612742,16,9,2021-11-24T03:55:04Z,850000,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 202704]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,1.0,,,,,,Jackson,202704.0,
86,PT04M54.00S,2021-11-24T03:54:57.9Z,1,REGULAR,steal,,[],202704,,,1610612746,16,9,2021-11-24T03:55:00Z,860000,,,0,,R. Jackson STEAL (2 STL),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M49.00S,2021-11-24T03:55:02.8Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629611,93.74178712220763,50.0,1610612746,18,9,2021-11-24T03:55:22Z,870000,0.0,6.0,1,right,T. Mann cutting DUNK (5 PTS) (I. Zubac 2 AST),"[1629611, 1627826]",1610612746.0,LAC,cutting,,,Mann,T. Mann,,,,,0.63,Made,,,,,,,,,,5.0,,,,I. Zubac,1627826.0,2.0,,,
89,PT04M49.00S,2021-11-24T03:55:14.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,18,9,2021-11-24T03:55:14Z,890000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M49.00S,2021-11-24T03:57:29.3Z,1,REGULAR,substitution,out,[],1627826,,,1610612742,18,9,2021-11-24T03:57:55Z,900000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,
