actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
19,PT10M40.00S,2021-10-24T02:46:20.1Z,1,REGULAR,violation,kicked ball,[],202704,,,1610612763,2,5,2021-10-24T02:46:27Z,190000,,,0,,R. Jackson kicked ball VIOLATION,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,1146.0,,,,,,,,,,,,,,,,,,,,
20,PT10M31.00S,2021-10-24T02:46:44.1Z,1,REGULAR,3pt,Jump Shot,[],1628991,66.80354796320631,40.44117647058824,1610612763,2,8,2021-10-24T02:46:50Z,200000,-48.0,260.0,1,right,J. Jackson Jr. 26' 3PT  (5 PTS) (J. Morant 2 AST),"[1628991, 1629630]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,Made,5.0,26.39,,,,,J. Morant,1629630.0,2.0,,,,,,
22,PT10M17.00S,2021-10-24T02:46:58.1Z,1,REGULAR,2pt,Jump Shot,[],202331,5.568331143232584,79.16666666666666,1610612746,4,8,2021-10-24T02:47:08Z,220000,-146.0,0.0,1,left,P. George 14' turnaround Jump Shot (2 PTS),[202331],1610612746.0,LAC,turnaround,,,George,P. George,,,,,,,,,,Made,2.0,14.58,,,,,,,,,,,,,
23,PT10M02.00S,2021-10-24T02:47:13.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,93.34756898817345,50.49019607843137,1610612763,4,10,2021-10-24T02:47:22Z,230000,2.0,10.0,1,right,D. Bane reverse Layup (5 PTS) (S. Adams 1 AST),"[1630217, 203500]",1610612763.0,MEM,reverse,,,Bane,D. Bane,,,,,,,,,,Made,5.0,1.03,,,,,S. Adams,203500.0,1.0,,,,,,
25,PT09M47.00S,2021-10-24T02:47:28.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,8.459264126149804,41.42156862745098,1610612746,6,10,2021-10-24T02:47:38Z,250000,43.0,27.0,1,left,P. George fadeaway bank Jump Shot (4 PTS),[202331],1610612746.0,LAC,fadeaway bank,,,George,P. George,,,,,,,,,,Made,4.0,5.07,,,,,,,,,,,,,
26,PT09M42.00S,2021-10-24T02:47:36.0Z,1,REGULAR,turnover,out-of-bounds,[],1629630,,,1610612763,6,10,2021-10-24T02:47:52Z,260000,,,0,,J. Morant bad pass out-of-bounds TURNOVER (1 TO),[1629630],1610612763.0,MEM,bad pass,,,Morant,J. Morant,,,,,1146.0,,,,,,,,,,,,,,,1.0,,,,,
36,PT09M42.00S,2021-10-24T02:47:42.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,6,10,2021-10-24T02:48:58Z,265000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M31.00S,2021-10-24T02:47:49.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202704,29.82917214191852,26.692708333333343,1610612746,9,10,2021-10-24T02:48:03Z,270000,117.0,228.0,1,left,R. Jackson 25' 3PT pullup (3 PTS) (E. Bledsoe 1 AST),"[202704, 202339]",1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,,,,,,Made,3.0,25.6,,,,,E. Bledsoe,202339.0,1.0,,,,,,
29,PT09M18.00S,2021-10-24T02:48:02.1Z,1,REGULAR,3pt,Jump Shot,[],1629630,71.92838370565046,80.63725490196079,1610612763,9,10,2021-10-24T02:48:08Z,290000,153.0,211.0,1,right,MISS J. Morant 26' 3PT,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,Missed,,26.11,,,,,,,,,,,,,
30,PT09M16.00S,2021-10-24T02:48:04.1Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,9,10,2021-10-24T02:48:08Z,300000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,
31,PT09M10.00S,2021-10-24T02:48:10.5Z,1,REGULAR,3pt,Jump Shot,[],202331,30.66688567674113,34.55882352941177,1610612746,12,10,2021-10-24T02:48:17Z,310000,77.0,236.0,1,left,P. George 24' 3PT pullup (7 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,,,,,,Made,7.0,24.81,,,,,,,,,,,,,
32,PT08M54.00S,2021-10-24T02:48:26.7Z,1,REGULAR,3pt,Jump Shot,[],1630217,69.82588699080158,31.617647058823522,1610612763,12,10,2021-10-24T02:48:32Z,320000,-92.0,231.0,1,right,MISS D. Bane 24' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,Missed,,24.87,,,,,,,,,,,,,
33,PT08M51.00S,2021-10-24T02:48:29.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,12,10,2021-10-24T02:48:32Z,330000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,
34,PT08M44.00S,2021-10-24T02:48:36.6Z,1,REGULAR,3pt,Jump Shot,[],202704,32.37516425755584,62.00980392156863,1610612746,15,10,2021-10-24T02:48:46Z,340000,-60.0,252.0,1,left,R. Jackson 25' 3PT pullup (6 PTS),[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,,,,,,Made,6.0,25.88,,,,,,,,,,,,,
35,PT08M43.00S,2021-10-24T02:48:48.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,15,10,2021-10-24T02:48:48Z,350000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M32.00S,2021-10-24T02:51:46.8Z,1,REGULAR,turnover,bad pass,[],1630217,,,1610612763,15,10,2021-10-24T02:51:54Z,360000,,,0,,D. Bane bad pass TURNOVER (1 TO),"[1630217, 202339]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,1.0,Bledsoe,202339.0,,,
38,PT08M32.00S,2021-10-24T02:51:46.8Z,1,REGULAR,steal,,[],202339,,,1610612746,15,10,2021-10-24T02:51:48Z,370000,,,0,,E. Bledsoe STEAL (1 STL),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M29.00S,2021-10-24T02:51:49.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202339,5.568331143232584,50.98039215686275,1610612746,17,10,2021-10-24T02:51:59Z,380000,-5.0,0.0,1,left,E. Bledsoe running DUNK (2 PTS),[202339],1610612746.0,LAC,running,,,Bledsoe,E. Bledsoe,,,,,,,,,,Made,2.0,0.49,,,,,,,,,,,,,
40,PT08M12.00S,2021-10-24T02:52:06.4Z,1,REGULAR,3pt,Jump Shot,[],1629001,69.56307490144546,31.127450980392155,1610612763,17,13,2021-10-24T02:52:15Z,390000,-94.0,234.0,1,right,D. Melton 25' 3PT step back (3 PTS),[1629001],1610612763.0,MEM,step back,,,Melton,D. Melton,,,,,,,,,,Made,3.0,25.2,,,,,,,,,,,,,
41,PT07M43.00S,2021-10-24T02:52:34.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,18.7089356110381,49.50980392156863,1610612746,19,13,2021-10-24T02:52:39Z,400000,2.0,123.0,1,left,M. Morris Sr. 12' turnaround fadeaway Jump Shot (4 PTS),[202694],1610612746.0,LAC,turnaround fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,Made,4.0,12.34,,,,,,,,,,,,,
42,PT07M32.00S,2021-10-24T02:52:46.4Z,1,REGULAR,3pt,Jump Shot,[],1630217,76.39618922470433,87.99019607843137,1610612763,19,16,2021-10-24T02:52:52Z,410000,190.0,169.0,1,right,D. Bane 25' 3PT  (8 PTS) (S. Adams 2 AST),"[1630217, 203500]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,Made,8.0,25.46,,,,,S. Adams,203500.0,2.0,,,,,,
44,PT07M15.00S,2021-10-24T02:53:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202339,6.093955321944804,47.30392156862745,1610612746,19,16,2021-10-24T02:54:31Z,430000,13.0,5.0,1,left,MISS E. Bledsoe driving Layup,[202339],1610612746.0,LAC,driving,,,Bledsoe,E. Bledsoe,,,,,,,,,,Missed,,1.43,,,,,,,,,,,,,
45,PT07M10.00S,2021-10-24T02:53:08.6Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,19,16,2021-10-24T02:53:08Z,440000,,,0,,I. Zubac REBOUND (Off:1 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,44.0,3.0,2.0,1.0,,,,,,,,,
46,PT07M10.00S,2021-10-24T02:53:08.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627826,5.590000152587891,50.0,1610612746,19,16,2021-10-24T02:53:13Z,450000,0.0,0.0,1,left,MISS I. Zubac tip Layup,[1627826],1610612746.0,LAC,tip,,,Zubac,I. Zubac,,,,,,,,,,Missed,,0.0,,,,,,,,,,,,,
47,PT07M10.00S,2021-10-24T02:53:08.6Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,19,16,2021-10-24T02:53:13Z,460000,,,0,,I. Zubac REBOUND (Off:2 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,46.0,4.0,2.0,2.0,,,,,,,,,
48,PT07M06.00S,2021-10-24T02:53:12.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202704,31.980946123521676,26.715686274509807,1610612746,19,16,2021-10-24T02:53:17Z,470000,116.0,248.0,1,left,MISS R. Jackson 27' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,Missed,,27.4,,,,,,,,,,,,,
49,PT07M03.00S,2021-10-24T02:53:14.7Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,19,16,2021-10-24T02:53:14Z,480000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,
50,PT06M56.00S,2021-10-24T02:53:22.6Z,1,REGULAR,3pt,Jump Shot,[],1629630,71.53416557161628,25.0,1610612763,19,16,2021-10-24T02:53:28Z,490000,-125.0,215.0,1,right,MISS J. Morant 24' 3PT,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,Missed,,24.88,,,,,,,,,,,,,
51,PT06M52.00S,2021-10-24T02:53:26.6Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,19,16,2021-10-24T02:53:28Z,500000,,,0,,I. Zubac REBOUND (Off:2 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,50.0,5.0,3.0,2.0,,,,,,,,,
53,PT06M43.00S,2021-10-24T02:53:35.0Z,1,REGULAR,turnover,lost ball,[],202331,,,1610612746,19,16,2021-10-24T02:53:42Z,520000,,,0,,P. George lost ball TURNOVER (1 TO),"[202331, 1629630]",1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,1.0,Morant,1629630.0,,,
54,PT06M43.00S,2021-10-24T02:53:35.0Z,1,REGULAR,steal,,[],1629630,,,1610612763,19,16,2021-10-24T02:53:36Z,530000,,,0,,J. Morant STEAL (1 STL),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M41.00S,2021-10-24T02:53:37.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629001,93.74178712220763,49.01960784313726,1610612763,19,18,2021-10-24T02:53:48Z,540000,-5.0,6.0,1,right,D. Melton Layup (5 PTS) (J. Morant 3 AST),"[1629001, 1629630]",1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,Made,5.0,0.8,,,,,J. Morant,1629630.0,3.0,,,,,,
57,PT06M20.00S,2021-10-24T02:53:58.9Z,1,REGULAR,3pt,Jump Shot,[],202331,27.644546649145866,25.24509803921569,1610612746,22,18,2021-10-24T02:54:05Z,560000,124.0,207.0,1,left,P. George 24' 3PT  (10 PTS) (I. Zubac 2 AST),"[202331, 1627826]",1610612746.0,LAC,,,,George,P. George,,,,,,,,,,Made,10.0,24.15,,,,,I. Zubac,1627826.0,2.0,,,,,,
59,PT06M01.00S,2021-10-24T02:54:16.9Z,1,REGULAR,3pt,Jump Shot,[],1629630,65.3580814717477,59.068627450980394,1610612763,22,21,2021-10-24T02:54:24Z,580000,45.0,273.0,1,right,J. Morant 27' 3PT  (3 PTS) (S. Adams 3 AST),"[1629630, 203500]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,Made,3.0,27.68,,,,,S. Adams,203500.0,3.0,,,,,,
61,PT05M48.00S,2021-10-24T02:54:29.8Z,1,REGULAR,2pt,Jump Shot,[],202704,15.818002628120894,69.11764705882354,1610612746,22,21,2021-10-24T02:54:40Z,600000,-96.0,96.0,1,left,MISS R. Jackson 13' fadeaway Shot,[202704],1610612746.0,LAC,fadeaway,,,Jackson,R. Jackson,,,,,,,,,,Missed,,13.56,,,,,,,,,,,,,
62,PT05M44.00S,2021-10-24T02:54:33.8Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,22,21,2021-10-24T02:54:40Z,610000,,,0,,I. Zubac REBOUND (Off:3 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,61.0,6.0,3.0,3.0,,,,,,,,,
63,PT05M40.00S,2021-10-24T02:54:38.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202694,27.38173455978975,83.08823529411765,1610612746,22,21,2021-10-24T02:54:45Z,620000,-165.0,205.0,1,left,MISS M. Morris Sr. 26' 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,Missed,,26.33,,,,,,,,,,,,,
64,PT05M35.00S,2021-10-24T02:54:43.4Z,1,REGULAR,rebound,offensive,[],202339,,,1610612746,22,21,2021-10-24T02:54:45Z,630000,,,0,,E. Bledsoe REBOUND (Off:1 Def:0),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,63.0,1.0,0.0,1.0,,,,,,,,,
65,PT05M34.00S,2021-10-24T02:54:44.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202339,5.699737187910642,50.49019607843137,1610612746,22,21,2021-10-24T02:56:02Z,640000,-2.0,1.0,1,left,MISS E. Bledsoe putback Layup,[202339],1610612746.0,LAC,putback,,,Bledsoe,E. Bledsoe,,,,,,,,,,Missed,,0.27,,,,,,,,,,,,,
66,PT05M34.00S,2021-10-24T02:54:44.2Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,22,21,2021-10-24T02:56:02Z,650000,,,0,,I. Zubac REBOUND (Off:4 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,65.0,7.0,3.0,4.0,,,,,,,,,
67,PT05M30.00S,2021-10-24T02:54:48.4Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1627826,5.590000152587891,50.0,1610612746,24,21,2021-10-24T02:55:32Z,660000,0.0,0.0,1,left,I. Zubac tip DUNK (2 PTS),[1627826],1610612746.0,LAC,tip,,,Zubac,I. Zubac,,,,,,,,,,Made,2.0,0.0,,,,,,,,,,,,,
68,PT05M26.00S,2021-10-24T02:54:51.7Z,1,REGULAR,3pt,Jump Shot,[],1628991,68.24901445466492,66.17647058823529,1610612763,24,21,2021-10-24T02:55:09Z,670000,81.0,246.0,1,right,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,Missed,,25.9,,,,,,,,,,,,,
69,PT05M22.00S,2021-10-24T02:54:55.7Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,24,21,2021-10-24T02:55:09Z,680000,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,68.0,1.0,1.0,0.0,,,,,,,,,
70,PT05M20.00S,2021-10-24T02:54:58.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202331,30.27266754270697,80.88235294117646,1610612746,24,21,2021-10-24T02:55:16Z,690000,-154.0,232.0,1,left,MISS P. George 27' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,Missed,,27.88,,,,,,,,,,,,,
71,PT05M16.00S,2021-10-24T02:55:02.6Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,24,21,2021-10-24T02:55:16Z,700000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,
72,PT05M06.00S,2021-10-24T02:55:12.9Z,1,REGULAR,2pt,Jump Shot,[],1629001,92.29632063074901,12.990196078431367,1610612763,24,21,2021-10-24T02:55:23Z,710000,-185.0,20.0,1,right,MISS D. Melton 18' step back Shot,[1629001],1610612763.0,MEM,step back,,,Melton,D. Melton,,,,,,,,,,Missed,,18.61,,,,,,,,,,,,,
73,PT05M02.00S,2021-10-24T02:55:16.9Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,24,21,2021-10-24T02:55:23Z,720000,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,72.0,2.0,2.0,0.0,,,,,,,,,
74,PT04M54.00S,2021-10-24T02:55:23.7Z,1,REGULAR,3pt,Jump Shot,[],202331,16.080814717476997,5.392156862745097,1610612746,24,21,2021-10-24T02:55:29Z,730000,223.0,99.0,1,left,MISS P. George 24' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,Missed,,24.39,,,,,,,,,,,,,
75,PT04M52.00S,2021-10-24T02:55:25.7Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,24,21,2021-10-24T02:55:29Z,740000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,74.0,1.0,1.0,0.0,,,,,,,,,
76,PT04M47.00S,2021-10-24T02:55:31.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,94.53022339027595,50.98039215686275,1610612763,24,23,2021-10-24T02:56:14Z,750000,5.0,-1.0,1,right,J. Morant driving Layup (5 PTS),[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,,,,,,Made,5.0,0.5,,,,,,,,,,,,,
77,PT04M47.00S,2021-10-24T02:55:38.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,24,23,2021-10-24T02:55:38Z,760000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M47.00S,2021-10-24T02:57:55.4Z,1,REGULAR,substitution,out,[],202339,,,1610612746,24,23,2021-10-24T02:58:23Z,770000,,,0,,SUB out: E. Bledsoe,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M47.00S,2021-10-24T02:57:55.4Z,1,REGULAR,substitution,out,[],202331,,,1610612746,24,23,2021-10-24T02:58:23Z,780000,,,0,,SUB out: P. George,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M47.00S,2021-10-24T02:57:55.4Z,1,REGULAR,substitution,out,[],202694,,,1610612746,24,23,2021-10-24T02:58:23Z,790000,,,0,,SUB out: M. Morris Sr.,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M47.00S,2021-10-24T02:57:55.4Z,1,REGULAR,substitution,out,[],1627826,,,1610612746,24,23,2021-10-24T02:58:23Z,800000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M47.00S,2021-10-24T02:57:55.4Z,1,REGULAR,substitution,out,[],203500,,,1610612746,24,23,2021-10-24T02:58:23Z,810000,,,0,,SUB out: S. Adams,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M47.00S,2021-10-24T02:57:55.4Z,1,REGULAR,substitution,out,[],1628991,,,1610612746,24,23,2021-10-24T02:58:23Z,820000,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M47.00S,2021-10-24T02:57:55.4Z,1,REGULAR,substitution,out,[],1629001,,,1610612746,24,23,2021-10-24T02:58:23Z,830000,,,0,,SUB out: D. Melton,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M47.00S,2021-10-24T02:57:55.4Z,1,REGULAR,substitution,in,[],201587,,,1610612746,24,23,2021-10-24T02:58:23Z,840000,,,0,,SUB in: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M47.00S,2021-10-24T02:57:55.4Z,1,REGULAR,substitution,in,[],1629611,,,1610612746,24,23,2021-10-24T02:58:23Z,850000,,,0,,SUB in: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M47.00S,2021-10-24T02:57:55.4Z,1,REGULAR,substitution,in,[],1628392,,,1610612746,24,23,2021-10-24T02:58:23Z,860000,,,0,,SUB in: I. Hartenstein,[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M47.00S,2021-10-24T02:57:55.4Z,1,REGULAR,substitution,in,[],1628379,,,1610612746,24,23,2021-10-24T02:58:23Z,870000,,,0,,SUB in: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,
