actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
15,PT10M49.00S,2021-11-15T02:42:20.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202339,6.356767411300922,44.607843137254896,1610612746,4,0,2021-11-15T02:46:37Z,150000,27.0,7.0,1,left,E. Bledsoe bank Jump Shot (2 PTS),[202339],1610612746.0,LAC,bank,,,Bledsoe,E. Bledsoe,,,,,2.8,Made,,,,,2.0,,,,,,,,,,,,,,
16,PT10M38.00S,2021-11-15T02:42:30.5Z,1,REGULAR,2pt,Jump Shot,[],203897,79.54993429697765,70.83333333333333,1610612741,4,0,2021-11-15T02:45:53Z,160000,104.0,140.0,1,right,MISS Z. LaVine 17' pullup Shot,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,17.43,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M38.00S,2021-11-15T02:42:30.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,4,0,2021-11-15T02:42:44Z,170000,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,
18,PT10M32.00S,2021-11-15T02:42:46.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,4,0,2021-11-15T02:42:46Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M26.00S,2021-11-15T02:42:53.9Z,1,REGULAR,turnover,out-of-bounds,[],201587,,,1610612746,4,0,2021-11-15T02:42:59Z,190000,,,0,,N. Batum bad pass out-of-bounds TURNOVER (1 TO),[201587],1610612746.0,LAC,bad pass,,,Batum,N. Batum,,,,,,,,,,,,200832.0,1.0,,,,,,,,,,,,
20,PT10M19.00S,2021-11-15T02:43:10.1Z,1,REGULAR,foul,personal,[],201587,,,1610612741,4,0,2021-11-15T02:43:20Z,200000,,,0,,N. Batum personal FOUL (1 PF),"[201587, 203897]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,2005.0,,1.0,0.0,LaVine,203897.0,,,,,,,,
22,PT10M13.00S,2021-11-15T02:43:32.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201942,78.49868593955321,31.617647058823522,1610612741,4,0,2021-11-15T02:43:39Z,220000,-92.0,150.0,1,right,MISS D. DeRozan 17' Jump Shot,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,17.56,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M09.00S,2021-11-15T02:43:36.5Z,1,REGULAR,rebound,offensive,[],1628396,,,1610612741,4,0,2021-11-15T02:43:36Z,230000,,,0,,T. Bradley REBOUND (Off:1 Def:0),[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
24,PT10M07.00S,2021-11-15T02:43:38.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628366,80.46977660972405,94.11764705882354,1610612741,4,3,2021-11-15T02:43:43Z,240000,221.0,131.0,1,right,L. Ball 25' 3PT  (3 PTS) (D. DeRozan 1 AST),"[1628366, 201942]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,25.66,Made,,,,,3.0,,,,,,,D. DeRozan,201942.0,1.0,,,,,
26,PT09M55.00S,2021-11-15T02:43:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202339,6.8823915900131425,53.431372549019606,1610612746,6,3,2021-11-15T02:43:56Z,260000,-17.0,12.0,1,left,E. Bledsoe driving reverse Layup (4 PTS),[202339],1610612746.0,LAC,driving reverse,,,Bledsoe,E. Bledsoe,,,,,2.11,Made,,,,,4.0,,,,,,,,,,,,,,
27,PT09M44.00S,2021-11-15T02:44:00.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,94.26741130091985,46.32352941176471,1610612741,6,3,2021-11-15T02:44:05Z,270000,-18.0,1.0,1,right,MISS D. DeRozan driving Layup - blocked,"[201942, 1627826]",1610612741.0,CHI,driving,,,DeRozan,D. DeRozan,,,,,1.85,Missed,,,,,,,,,,,,,,,Zubac,1627826.0,,,
28,PT09M44.00S,2021-11-15T02:44:00.7Z,1,REGULAR,block,,[],1627826,,,1610612741,6,3,2021-11-15T02:44:03Z,280000,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M41.00S,2021-11-15T02:44:03.7Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,6,3,2021-11-15T02:44:05Z,290000,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
30,PT09M36.00S,2021-11-15T02:44:08.9Z,1,REGULAR,3pt,Jump Shot,[],202704,24.885019710906704,86.02941176470588,1610612746,6,3,2021-11-15T02:44:18Z,300000,-180.0,181.0,1,left,MISS R. Jackson 25' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,25.56,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M31.00S,2021-11-15T02:44:13.9Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,6,3,2021-11-15T02:44:18Z,310000,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
32,PT09M19.00S,2021-11-15T02:44:54.4Z,1,REGULAR,jumpball,recovered,[],201942,,,1610612741,6,3,2021-11-15T02:44:54Z,320000,,,0,,Jump Ball T. Bradley vs. P. George: Tip to D. DeRozan,"[201942, 1628396, 202331]",1610612741.0,CHI,heldball,D. DeRozan,201942.0,DeRozan,D. DeRozan,Bradley,1628396.0,George,202331.0,,,,,,,,,,,,,,,,,,,,,
35,PT09M17.00S,2021-11-15T02:44:55.8Z,1,REGULAR,3pt,Jump Shot,[],203897,79.15571616294349,95.34313725490196,1610612741,6,3,2021-11-15T02:45:03Z,350000,227.0,143.0,1,right,MISS Z. LaVine 26' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,26.82,Missed,,,,,,,,,,,,,,,,,,,
36,PT09M10.00S,2021-11-15T02:45:02.8Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,6,3,2021-11-15T02:45:03Z,360000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
37,PT09M04.00S,2021-11-15T02:45:07.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,14.241130091984232,50.73529411764706,1610612746,6,3,2021-11-15T02:49:11Z,370000,-4.0,81.0,1,left,MISS R. Jackson 8' pullup Shot,[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,8.15,Missed,,,,,,,,,,,,,,,,,,,
38,PT09M02.00S,2021-11-15T02:45:09.5Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,6,3,2021-11-15T02:45:10Z,380000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
39,PT08M54.00S,2021-11-15T02:45:18.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,93.61038107752957,52.205882352941174,1610612741,6,5,2021-11-15T02:45:23Z,390000,11.0,8.0,1,right,Z. LaVine driving reverse Layup (2 PTS),[203897],1610612741.0,CHI,driving reverse,,,LaVine,Z. LaVine,,,,,1.34,Made,,,,,2.0,,,,,,,,,,,,,,
40,PT08M41.00S,2021-11-15T02:45:33.4Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612746,6,5,2021-11-15T02:45:39Z,400000,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Zubac 2 FT),"[201942, 1627826]",1610612741.0,CHI,shooting,,,DeRozan,D. DeRozan,,,,,,,,,,,,200832.0,,1.0,0.0,Zubac,1627826.0,,,,,,,,
42,PT08M41.00S,2021-11-15T02:45:57.3Z,1,REGULAR,freethrow,1 of 2,[],1627826,,,1610612746,7,5,2021-11-15T02:45:57Z,420000,,,0,,I. Zubac Free Throw 1 of 2 (1 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
43,PT08M41.00S,2021-11-15T02:46:14.4Z,1,REGULAR,freethrow,2 of 2,[],1627826,,,1610612746,8,5,2021-11-15T02:46:14Z,430000,,,0,,I. Zubac Free Throw 2 of 2 (2 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
44,PT08M22.00S,2021-11-15T02:46:34.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628366,89.14257555847568,63.23529411764706,1610612741,8,5,2021-11-15T02:46:40Z,440000,66.0,50.0,1,right,MISS L. Ball 8' driving bank Shot,[1628366],1610612741.0,CHI,driving bank,,,Ball,L. Ball,,,,,8.27,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M17.00S,2021-11-15T02:46:39.3Z,1,REGULAR,rebound,offensive,[],1628366,,,1610612741,8,5,2021-11-15T02:46:40Z,450000,,,0,,L. Ball REBOUND (Off:1 Def:0),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,44.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
46,PT08M17.00S,2021-11-15T02:46:39.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628366,94.40999984741211,50.0,1610612741,8,7,2021-11-15T03:37:52Z,460000,0.0,0.0,1,right,L. Ball tip Layup (5 PTS),[1628366],1610612741.0,CHI,tip,,,Ball,L. Ball,,,,,0.0,Made,,,,,5.0,,,,,,,,,,,,,,
47,PT08M08.00S,2021-11-15T02:46:50.0Z,1,REGULAR,turnover,out-of-bounds,[],202339,,,1610612746,8,7,2021-11-15T02:46:55Z,470000,,,0,,E. Bledsoe bad pass out-of-bounds TURNOVER (1 TO),[202339],1610612746.0,LAC,bad pass,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,1201.0,1.0,,,,,,,,,,,,
48,PT08M00.00S,2021-11-15T02:47:05.9Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612741,8,7,2021-11-15T02:47:11Z,480000,,,0,,I. Zubac shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1627826, 201942]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,,,,,,,,200832.0,,1.0,0.0,DeRozan,201942.0,,,,,,,,
50,PT08M00.00S,2021-11-15T02:47:28.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201942,,,1610612741,8,8,2021-11-15T02:47:28Z,500000,,,0,,D. DeRozan Free Throw 1 of 2 (1 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
51,PT08M00.00S,2021-11-15T02:47:42.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201942,,,1610612741,8,9,2021-11-15T02:47:42Z,510000,,,0,,D. DeRozan Free Throw 2 of 2 (2 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
52,PT07M41.00S,2021-11-15T02:48:06.4Z,1,REGULAR,3pt,Jump Shot,[],202339,29.48423127463863,81.12745098039215,1610612746,8,9,2021-11-15T02:48:10Z,520000,-156.0,225.0,1,left,MISS E. Bledsoe 27' 3PT,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,27.33,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M38.00S,2021-11-15T02:48:09.4Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,8,9,2021-11-15T02:48:10Z,530000,,,0,,A. Caruso REBOUND (Off:0 Def:2),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,52.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
54,PT07M25.00S,2021-11-15T02:48:23.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,94.00459921156373,45.833333333333336,1610612741,8,9,2021-11-15T02:48:34Z,540000,-21.0,4.0,1,right,MISS Z. LaVine driving reverse Layup,[203897],1610612741.0,CHI,driving reverse,,,LaVine,Z. LaVine,,,,,2.12,Missed,,,,,,,,,,,,,,,,,,,
55,PT07M22.00S,2021-11-15T02:48:26.2Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,8,9,2021-11-15T02:48:34Z,550000,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
56,PT07M12.00S,2021-11-15T02:48:35.2Z,1,REGULAR,2pt,Jump Shot,[],202331,22.78252299605782,32.1078431372549,1610612746,8,9,2021-11-15T02:48:40Z,560000,89.0,162.0,1,left,MISS P. George 18' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,18.48,Missed,,,,,,,,,,,,,,,,,,,
57,PT07M09.00S,2021-11-15T02:48:38.2Z,1,REGULAR,rebound,defensive,[],1628396,,,1610612741,8,9,2021-11-15T02:48:40Z,570000,,,0,,T. Bradley REBOUND (Off:1 Def:1),[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,56.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
58,PT06M53.00S,2021-11-15T02:48:53.7Z,1,REGULAR,2pt,Jump Shot,[],201942,73.63666228646518,53.92156862745098,1610612741,8,11,2021-11-15T02:48:58Z,580000,20.0,195.0,1,right,D. DeRozan 19' pullup Jump Shot (4 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,19.63,Made,,,,,4.0,,,,,,,,,,,,,,
59,PT06M40.00S,2021-11-15T02:49:06.9Z,1,REGULAR,3pt,Jump Shot,[],202331,32.769382391590014,50.98039215686275,1610612746,8,11,2021-11-15T02:49:11Z,590000,-5.0,256.0,1,left,MISS P. George 25' pullup 3PT,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M37.00S,2021-11-15T02:49:10.5Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,8,11,2021-11-15T02:49:10Z,600000,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,59.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
61,PT06M31.00S,2021-11-15T02:49:19.7Z,1,REGULAR,turnover,3-second-violation,[],1627826,,,1610612746,8,11,2021-11-15T02:49:30Z,610000,,,0,,I. Zubac 3-second-violation TURNOVER (1 TO),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,2005.0,1.0,,,,,,,,,,,,
62,PT06M31.00S,2021-11-15T02:49:25.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,8,11,2021-11-15T02:49:25Z,620000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M22.00S,2021-11-15T02:52:24.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201942,76.00197109067017,47.549019607843135,1610612741,8,13,2021-11-15T02:52:29Z,630000,-12.0,173.0,1,right,D. DeRozan 17' pullup Jump Shot (6 PTS) (A. Caruso 1 AST),"[201942, 1627936]",1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,17.35,Made,,,,,6.0,,,,,,,A. Caruso,1627936.0,1.0,,,,,
65,PT05M56.00S,2021-11-15T02:52:50.7Z,1,REGULAR,3pt,Jump Shot,[],202704,30.798291721419176,73.77450980392157,1610612746,8,13,2021-11-15T02:52:54Z,650000,-119.0,237.0,1,left,MISS R. Jackson 26' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,,
66,PT05M53.00S,2021-11-15T02:52:53.7Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,8,13,2021-11-15T02:52:54Z,660000,,,0,,Z. LaVine REBOUND (Off:0 Def:2),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,65.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
67,PT05M45.00S,2021-11-15T02:53:02.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628396,93.47897503285151,53.92156862745098,1610612741,8,15,2021-11-15T02:53:07Z,670000,20.0,9.0,1,right,T. Bradley cutting Layup (2 PTS) (Z. LaVine 1 AST),"[1628396, 203897]",1610612741.0,CHI,cutting,,,Bradley,T. Bradley,,,,,2.15,Made,,,,,2.0,,,,,,,Z. LaVine,203897.0,1.0,,,,,
69,PT05M40.00S,2021-11-15T02:53:06.6Z,1,REGULAR,turnover,bad pass,[],1627826,,,1610612746,8,15,2021-11-15T02:53:10Z,690000,,,0,,I. Zubac bad pass TURNOVER (2 TO),"[1627826, 1628366]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,2.0,,,,,,,,,,Ball,1628366.0,
70,PT05M40.00S,2021-11-15T02:53:06.6Z,1,REGULAR,steal,,[],1628366,,,1610612741,8,15,2021-11-15T02:53:08Z,700000,,,0,,L. Ball STEAL (1 STL),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M32.00S,2021-11-15T02:53:14.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203897,68.11760840998686,65.19607843137254,1610612741,8,18,2021-11-15T02:53:18Z,710000,76.0,247.0,1,right,Z. LaVine 25' 3PT pullup (5 PTS),[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,25.86,Made,,,,,5.0,,,,,,,,,,,,,,
72,PT05M19.00S,2021-11-15T02:53:30.5Z,1,REGULAR,foul,personal,['2freethrow'],1628396,,,1610612746,8,18,2021-11-15T02:53:37Z,720000,,,0,,T. Bradley shooting personal FOUL (1 PF) (George 2 FT),"[1628396, 202331]",1610612741.0,CHI,shooting,,,Bradley,T. Bradley,,,,,,,,,,,,2005.0,,1.0,0.0,George,202331.0,,,,,,,,
74,PT05M19.00S,2021-11-15T02:54:02.4Z,1,REGULAR,freethrow,1 of 2,[],202331,,,1610612746,9,18,2021-11-15T02:54:02Z,740000,,,0,,P. George Free Throw 1 of 2 (3 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
75,PT05M19.00S,2021-11-15T02:54:03.3Z,1,REGULAR,substitution,out,[],201587,,,1610612746,9,18,2021-11-15T02:54:21Z,750000,,,0,,SUB out: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M19.00S,2021-11-15T02:54:03.3Z,1,REGULAR,substitution,out,[],1627826,,,1610612746,9,18,2021-11-15T02:54:21Z,760000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M19.00S,2021-11-15T02:54:03.3Z,1,REGULAR,substitution,out,[],202339,,,1610612746,9,18,2021-11-15T02:54:21Z,770000,,,0,,SUB out: E. Bledsoe,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M19.00S,2021-11-15T02:54:03.3Z,1,REGULAR,substitution,out,[],201942,,,1610612746,9,18,2021-11-15T02:54:21Z,780000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M19.00S,2021-11-15T02:54:03.3Z,1,REGULAR,substitution,out,[],1627936,,,1610612746,9,18,2021-11-15T02:54:21Z,790000,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M19.00S,2021-11-15T02:54:03.3Z,1,REGULAR,substitution,in,[],1629611,,,1610612746,9,18,2021-11-15T02:54:21Z,800000,,,0,,SUB in: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M19.00S,2021-11-15T02:54:03.3Z,1,REGULAR,substitution,in,[],1628392,,,1610612746,9,18,2021-11-15T02:54:21Z,810000,,,0,,SUB in: I. Hartenstein,[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M19.00S,2021-11-15T02:54:03.3Z,1,REGULAR,substitution,in,[],1628379,,,1610612746,9,18,2021-11-15T02:54:21Z,820000,,,0,,SUB in: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M19.00S,2021-11-15T02:54:03.3Z,1,REGULAR,substitution,in,[],1630245,,,1610612746,9,18,2021-11-15T02:54:21Z,830000,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M19.00S,2021-11-15T02:54:03.3Z,1,REGULAR,substitution,in,[],1629750,,,1610612746,9,18,2021-11-15T02:54:21Z,840000,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M19.00S,2021-11-15T02:54:23.1Z,1,REGULAR,substitution,out,[],1628396,,,1610612746,9,18,2021-11-15T02:54:37Z,850000,,,0,,SUB out: T. Bradley,[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M19.00S,2021-11-15T02:54:23.1Z,1,REGULAR,substitution,in,[],1627884,,,1610612746,9,18,2021-11-15T02:54:37Z,860000,,,0,,SUB in: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M19.00S,2021-11-15T02:54:52.4Z,1,REGULAR,freethrow,2 of 2,[],202331,,,1610612746,10,18,2021-11-15T02:54:52Z,870000,,,0,,P. George Free Throw 2 of 2 (4 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
