actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
21,PT10M05.00S,2025-03-01T00:46:02.8Z,1,REGULAR,3pt,Jump Shot,[],1628401,25.443495400788436,17.647058823529413,1610612738,11,0,2025-03-01T00:46:07Z,210000,False,162.0,187.0,1,left,D. White 24' 3PT  (3 PTS) (J. Tatum 2 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,24.71,Made,3.0,,,,,,J. Tatum,1628369.0,2.0,,,,,,,,,
23,PT10M04.00S,2025-03-01T00:46:09.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,11,0,2025-03-01T00:46:09Z,230000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M52.00S,2025-03-01T00:49:51.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,94.03745072273325,47.30392156862745,1610612739,11,2,2025-03-01T00:49:58Z,240000,False,-13.0,4.0,1,right,E. Mobley cutting DUNK (2 PTS) (D. Garland 1 AST),"[1630596, 1629636]",1610612739.0,CLE,cutting,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,1.39,Made,2.0,,,,,,D. Garland,1629636.0,1.0,,,,,,,,,
26,PT09M31.00S,2025-03-01T00:50:12.2Z,1,REGULAR,3pt,Jump Shot,[],1628401,5.075558475689881,96.56862745098039,1610612738,11,2,2025-03-01T00:50:17Z,260000,False,-233.0,-5.0,1,left,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,23.28,Missed,,,,,,,,,,,,,,,,,,
27,PT09M29.00S,2025-03-01T00:50:14.2Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,11,2,2025-03-01T00:50:17Z,270000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Left Corner 3,24+ Left,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,
28,PT09M15.00S,2025-03-01T00:50:28.1Z,1,REGULAR,3pt,Jump Shot,[],1629622,82.86793692509855,95.09803921568627,1610612739,11,2,2025-03-01T00:50:33Z,280000,False,225.0,109.0,1,right,MISS M. Strus 25' fadeaway 3PT,[1629622],1610612739.0,CLE,fadeaway,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,25.02,Missed,,,,,,,,,,,,,,,,,,
29,PT09M13.00S,2025-03-01T00:50:30.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,11,2,2025-03-01T00:50:33Z,290000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,28.0,3.0,3.0,0.0,,,,,,,,,,,,,
30,PT08M58.00S,2025-03-01T00:50:45.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,27.54599211563732,21.568627450980394,1610612738,14,2,2025-03-01T00:51:10Z,300000,False,142.0,206.0,1,left,J. Tatum 25' 3PT pullup (5 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,25.06,Made,5.0,,,,,,,,,,,,,,,,,
31,PT08M44.00S,2025-03-01T00:50:59.4Z,1,REGULAR,3pt,Jump Shot,[],1630596,84.1819973718791,5.147058823529411,1610612739,14,2,2025-03-01T00:51:05Z,310000,False,-224.0,96.0,1,right,MISS E. Mobley 24' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Left Center,24.41,Missed,,,,,,,,,,,,,,,,,,
32,PT08M42.00S,2025-03-01T00:51:01.4Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,14,2,2025-03-01T00:51:05Z,320000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,
33,PT08M28.00S,2025-03-01T00:51:14.9Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,14,2,2025-03-01T00:51:18Z,330000,False,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 1628386]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left Center,,,,,,,,1.0,,,,Allen,1628386.0,,,,,,,
34,PT08M28.00S,2025-03-01T00:51:14.9Z,1,REGULAR,steal,,[],1628386,,,1610612739,14,2,2025-03-01T00:51:16Z,340000,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
35,PT08M22.00S,2025-03-01T00:51:21.5Z,1,REGULAR,turnover,bad pass,[],1628386,,,1610612739,14,2,2025-03-01T00:51:27Z,350000,False,,,0,,J. Allen bad pass TURNOVER (1 TO),"[1628386, 1628401]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,,,,White,1628401.0,,,,,,,
36,PT08M22.00S,2025-03-01T00:51:21.5Z,1,REGULAR,steal,,[],1628401,,,1610612738,14,2,2025-03-01T00:51:24Z,360000,False,,,0,,D. White STEAL (2 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
37,PT08M17.00S,2025-03-01T00:51:27.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627759,31.09395532194481,36.51960784313725,1610612738,17,2,2025-03-01T00:51:35Z,370000,False,67.0,240.0,1,left,J. Brown 24' 3PT running pullup (6 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,24.91,Made,6.0,,,,,,D. White,1628401.0,1.0,,,,,,,,,
38,PT08M05.00S,2025-03-01T00:51:39.5Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612739,17,2,2025-03-01T00:51:46Z,380000,False,,,0,,J. Brown shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1627759, 1628378]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,202049.0,1.0,0.0,Mitchell,1628378.0,,
40,PT08M05.00S,2025-03-01T00:52:07.9Z,1,REGULAR,freethrow,1 of 2,[],1628378,,,1610612739,17,3,2025-03-01T00:52:32Z,400000,False,,,0,,D. Mitchell Free Throw 1 of 2 (1 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
42,PT08M05.00S,2025-03-01T00:52:07.9Z,1,REGULAR,freethrow,2 of 2,[],1628378,,,1610612739,17,3,2025-03-01T00:52:32Z,410000,False,,,0,,MISS D. Mitchell Free Throw 2 of 2,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
43,PT08M03.00S,2025-03-01T00:52:09.9Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,17,3,2025-03-01T00:52:32Z,420000,False,,,0,,S. Hauser REBOUND (Off:0 Def:2),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,42.0,2.0,2.0,0.0,,,,,,,,,,,,,
44,PT07M51.00S,2025-03-01T00:52:41.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,11.826544021024969,49.90042892156863,1610612738,17,3,2025-03-01T00:52:53Z,430000,False,0.0,59.0,1,left,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,5.87,Missed,,,,,,,,,,,,,,,,,,
45,PT07M49.00S,2025-03-01T00:52:43.6Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,17,3,2025-03-01T00:52:53Z,440000,False,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,44.0,1.0,0.0,1.0,,,,,,,,,,,,,
46,PT07M48.00S,2025-03-01T00:52:45.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,7.046649145860711,48.529411764705884,1610612738,19,3,2025-03-01T00:52:57Z,450000,False,7.0,14.0,1,left,J. Brown putback Layup (8 PTS),[1627759],1610612738.0,BOS,putback,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.56,Made,8.0,,,,,,,,,,,,,,,,,
47,PT07M38.00S,2025-03-01T00:52:54.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,88.51839684625493,47.30392156862745,1610612739,19,3,2025-03-01T00:53:00Z,460000,False,-13.0,55.0,1,right,MISS D. Mitchell driving Layup,[1628378],1610612739.0,CLE,driving,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,5.7,Missed,,,,,,,,,,,,,,,,,,
48,PT07M38.00S,2025-03-01T00:52:54.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,19,3,2025-03-01T00:53:00Z,470000,False,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,
49,PT07M32.00S,2025-03-01T00:53:01.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630573,10.33180026281209,95.83333333333334,1610612738,19,3,2025-03-01T00:54:06Z,480000,False,-229.0,45.0,1,left,MISS S. Hauser running 3PT,[1630573],1610612738.0,BOS,running,,,Hauser,S. Hauser,,,,,Left Corner 3,24+ Left,23.35,Missed,,,,,,,,,,,,,,,,,,
50,PT07M29.00S,2025-03-01T00:53:04.0Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,19,3,2025-03-01T00:53:04Z,490000,False,,,0,,J. Tatum REBOUND (Off:1 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,,,,49.0,4.0,3.0,1.0,,,,,,,,,,,,,
51,PT07M27.00S,2025-03-01T00:53:05.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630573,28.465834428383708,74.01960784313727,1610612738,22,3,2025-03-01T00:53:12Z,500000,False,-120.0,215.0,1,left,S. Hauser 24' 3PT  (6 PTS) (J. Tatum 3 AST),"[1630573, 1628369]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,24.64,Made,6.0,,,,,,J. Tatum,1628369.0,3.0,,,,,,,,,
53,PT07M20.00S,2025-03-01T00:53:17.3Z,1,REGULAR,turnover,lost ball,[],1630596,,,1610612739,22,3,2025-03-01T00:54:14Z,520000,False,,,0,,E. Mobley lost ball TURNOVER (1 TO),"[1630596, 1628401]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,,,,White,1628401.0,,,,,,,
54,PT07M20.00S,2025-03-01T00:53:17.3Z,1,REGULAR,steal,,[],1628401,,,1610612738,22,3,2025-03-01T00:53:19Z,530000,False,,,0,,D. White STEAL (3 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
55,PT07M12.00S,2025-03-01T00:53:20.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628369,7.30946123521682,98.2843137254902,1610612738,25,3,2025-03-01T00:57:08Z,540000,False,-241.0,16.0,1,left,J. Tatum 24' 3PT running (8 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,24.19,Made,8.0,,,,,,A. Horford,201143.0,1.0,,,,,,,,,
57,PT07M11.00S,2025-03-01T00:53:28.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,25,3,2025-03-01T00:53:28Z,560000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M11.00S,2025-03-01T00:56:28.4Z,1,REGULAR,substitution,out,[],1628378,,,1610612739,25,3,2025-03-01T00:56:42Z,570000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M11.00S,2025-03-01T00:56:28.4Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,25,3,2025-03-01T00:56:42Z,580000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M11.00S,2025-03-01T00:56:28.4Z,1,REGULAR,substitution,in,[],1629660,,,1610612739,25,3,2025-03-01T00:56:42Z,590000,False,,,0,,SUB in: T. Jerome,[1629660],1610612739.0,CLE,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M11.00S,2025-03-01T00:56:28.4Z,1,REGULAR,substitution,in,[],1629631,,,1610612739,25,3,2025-03-01T00:56:42Z,600000,False,,,0,,SUB in: D. Hunter,[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M52.00S,2025-03-01T00:57:17.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,94.03745072273325,57.59803921568627,1610612739,25,5,2025-03-01T00:57:24Z,610000,False,38.0,4.0,1,right,D. Garland driving finger roll Layup (2 PTS),[1629636],1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,3.82,Made,2.0,,,,,,,,,,,,,,,,,
63,PT06M37.00S,2025-03-01T00:57:32.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,29.517082785808146,78.92156862745098,1610612738,25,5,2025-03-01T00:57:38Z,620000,False,-145.0,225.0,1,left,MISS J. Tatum 26' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,26.75,Missed,,,,,,,,,,,,,,,,,,
64,PT06M34.00S,2025-03-01T00:57:35.4Z,1,REGULAR,rebound,defensive,[],1629660,,,1610612739,25,5,2025-03-01T00:57:38Z,630000,False,,,0,,T. Jerome REBOUND (Off:0 Def:1),[1629660],1610612739.0,CLE,,,,Jerome,T. Jerome,,,,,Above the Break 3,24+ Left Center,,,,63.0,1.0,1.0,0.0,,,,,,,,,,,,,
65,PT06M30.00S,2025-03-01T00:57:47.8Z,1,REGULAR,foul,personal,[],1630573,,,1610612739,25,5,2025-03-01T00:57:55Z,640000,False,,,0,,S. Hauser personal FOUL (1 PF),"[1630573, 1628386]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,202027.0,1.0,0.0,Allen,1628386.0,,
67,PT06M30.00S,2025-03-01T00:57:55.5Z,1,REGULAR,substitution,out,[],201143,,,1610612739,25,5,2025-03-01T00:58:01Z,660000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M30.00S,2025-03-01T00:57:55.5Z,1,REGULAR,substitution,in,[],1628436,,,1610612739,25,5,2025-03-01T00:58:01Z,670000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M26.00S,2025-03-01T00:58:16.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,87.33574244415243,49.754901960784316,1610612739,25,5,2025-03-01T00:58:25Z,680000,False,-1.0,67.0,1,right,MISS D. Garland 6' driving floating Shot,[1629636],1610612739.0,CLE,driving floating,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,6.65,Missed,,,,,,,,,,,,,,,,,,
70,PT06M23.00S,2025-03-01T00:58:19.4Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612738,25,5,2025-03-01T00:58:25Z,690000,False,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),0-8 Center,,,,69.0,1.0,1.0,0.0,,,,,,,,,,,,,
71,PT06M12.00S,2025-03-01T00:58:29.4Z,1,REGULAR,2pt,Jump Shot,[],1627759,10.85742444152431,77.45098039215686,1610612738,25,5,2025-03-01T00:58:36Z,700000,False,-137.0,50.0,1,left,MISS J. Brown 14' fadeaway Shot,[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,14.6,Missed,,,,,,,,,,,,,,,,,,
72,PT06M10.00S,2025-03-01T00:58:31.4Z,1,REGULAR,rebound,offensive,[],1628436,,,1610612738,25,5,2025-03-01T00:58:36Z,710000,False,,,0,,L. Kornet REBOUND (Off:1 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Mid-Range,8-16 Left,,,,71.0,2.0,1.0,1.0,,,,,,,,,,,,,
73,PT06M08.00S,2025-03-01T00:58:33.6Z,1,REGULAR,turnover,lost ball,[],1628436,,,1610612738,25,5,2025-03-01T00:58:43Z,720000,False,,,0,,L. Kornet lost ball TURNOVER (1 TO),"[1628436, 1629660]",1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,1.0,,,,Jerome,1629660.0,,,,,,,
74,PT06M08.00S,2025-03-01T00:58:33.6Z,1,REGULAR,steal,,[],1629660,,,1610612739,25,5,2025-03-01T00:58:57Z,730000,False,,,0,,T. Jerome STEAL (1 STL),[1629660],1610612739.0,CLE,,,,Jerome,T. Jerome,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
75,PT06M03.00S,2025-03-01T00:58:38.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629622,92.59198423127464,46.32352941176471,1610612739,25,7,2025-03-01T00:58:50Z,740000,False,-18.0,17.0,1,right,M. Strus running reverse Layup (2 PTS) (D. Garland 2 AST),"[1629622, 1629636]",1610612739.0,CLE,running reverse,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,2.51,Made,2.0,,,,,,D. Garland,1629636.0,2.0,,,,,,,,,
76,PT05M53.00S,2025-03-01T00:58:48.1Z,1,REGULAR,3pt,Jump Shot,[],1630573,11.645860709592641,3.6764705882352944,1610612738,25,7,2025-03-01T00:58:54Z,750000,False,232.0,57.0,1,left,MISS S. Hauser 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Right Corner 3,24+ Right,23.85,Missed,,,,,,,,,,,,,,,,,,
77,PT05M51.00S,2025-03-01T00:58:50.1Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,25,7,2025-03-01T00:59:32Z,760000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Right Corner 3,24+ Right,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,
78,PT05M39.00S,2025-03-01T00:59:01.9Z,1,REGULAR,2pt,Jump Shot,[],1629660,91.01511169513797,72.79411764705883,1610612739,25,7,2025-03-01T00:59:10Z,770000,False,114.0,32.0,1,right,MISS T. Jerome 11' driving floating bank Shot,[1629660],1610612739.0,CLE,driving floating bank,,,Jerome,T. Jerome,,,,,Mid-Range,8-16 Right,11.84,Missed,,,,,,,,,,,,,,,,,,
79,PT05M38.00S,2025-03-01T00:59:02.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,25,7,2025-03-01T00:59:10Z,780000,False,,,0,,J. Tatum REBOUND (Off:1 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,,78.0,5.0,4.0,1.0,,,,,,,,,,,,,
81,PT05M27.00S,2025-03-01T00:59:14.2Z,1,REGULAR,3pt,Jump Shot,[],1628401,28.991458607095925,78.92156862745098,1610612738,25,7,2025-03-01T01:00:13Z,790000,False,-145.0,220.0,1,left,MISS D. White 26' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Left Center,26.33,Missed,,,,,,,,,,,,,,,,,,
