actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
17,PT11M03.00S,2024-11-17T01:14:00.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627759,,,1610612738,2,2,2024-11-17T01:14:26Z,170000,False,,,0,,J. Brown Free Throw 2 of 2 (2 PTS),[1627759],1610612738.0,BOS,,,,,,,,Brown,J. Brown,,,,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M45.00S,2024-11-17T01:14:42.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,85.89027595269383,47.30392156862745,1610612761,2,4,2024-11-17T01:14:59Z,180000,False,-13.0,80.0,1,right,J. Pöltl 8' floating Jump Shot (2 PTS) (R. Barrett 1 AST),"[1627751, 1629628]",1610612761.0,TOR,floating,,,,,,,Pöltl,J. Pöltl,In The Paint (Non-RA),8-16 Center,8.12,Made,2.0,,,,,,,,,,,,R. Barrett,1629628.0,1.0,,,
20,PT10M27.00S,2024-11-17T01:15:00.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,13.222733245729303,41.17647058823529,1610612738,4,4,2024-11-17T01:15:05Z,200000,False,44.0,72.0,1,left,D. White 8' driving floating Jump Shot (2 PTS),[1628401],1610612738.0,BOS,driving floating,,,,,,,White,D. White,In The Paint (Non-RA),8-16 Center,8.43,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M20.00S,2024-11-17T01:15:07.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,92.46057818659659,54.41176470588235,1610612761,4,4,2024-11-17T01:15:15Z,210000,False,22.0,18.0,1,right,MISS R. Barrett driving Layup,[1629628],1610612761.0,TOR,driving,,,,,,,Barrett,R. Barrett,Restricted Area,0-8 Center,2.88,Missed,,,,,,,,,,,,,,,,,,
22,PT10M17.00S,2024-11-17T01:15:10.6Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,4,4,2024-11-17T01:15:10Z,220000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,,,,,Queta,N. Queta,Restricted Area,0-8 Center,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
24,PT10M05.00S,2024-11-17T01:15:43.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,18.610381077529567,96.32352941176471,1610612738,4,4,2024-11-17T01:16:14Z,240000,False,-232.0,122.0,1,left,MISS J. Tatum 26' step back 3PT,[1628369],1610612738.0,BOS,step back,,,,,,,Tatum,J. Tatum,Above the Break 3,24+ Left Center,26.2,Missed,,,,,,,,,,,,,,,,,,
25,PT10M03.00S,2024-11-17T01:15:45.7Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,4,4,2024-11-17T01:15:49Z,250000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,,,,,Barrett,R. Barrett,Above the Break 3,24+ Left Center,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,
26,PT10M00.00S,2024-11-17T01:15:51.6Z,1,REGULAR,turnover,out-of-bounds,[],1641711,,,1610612761,4,4,2024-11-17T01:16:01Z,260000,False,,,0,,G. Dick bad pass out-of-bounds TURNOVER (1 TO),[1641711],1610612761.0,TOR,bad pass,,,,,,1628481.0,Dick,G. Dick,Mid-Range,8-16 Right,,,,1.0,,,,,,,,,,,,,,,,
27,PT09M46.00S,2024-11-17T01:16:07.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628401,28.991458607095925,81.37254901960785,1610612738,7,4,2024-11-17T01:16:11Z,270000,False,-157.0,220.0,1,left,D. White 27' 3PT  (5 PTS) (J. Tatum 1 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,,,,,White,D. White,Above the Break 3,24+ Left Center,27.02,Made,5.0,,,,,,,,,,,,J. Tatum,1628369.0,1.0,,,
29,PT09M29.00S,2024-11-17T01:16:25.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641711,91.67214191852825,60.049019607843135,1610612761,7,4,2024-11-17T01:16:31Z,290000,False,50.0,26.0,1,right,MISS G. Dick driving Layup,[1641711],1610612761.0,TOR,driving,,,,,,,Dick,G. Dick,In The Paint (Non-RA),0-8 Center,5.64,Missed,,,,,,,,,,,,,,,,,,
30,PT09M26.00S,2024-11-17T01:16:28.2Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,7,4,2024-11-17T01:16:31Z,300000,False,,,0,,N. Queta REBOUND (Off:0 Def:2),[1629674],1610612738.0,BOS,,,,,,,,Queta,N. Queta,In The Paint (Non-RA),0-8 Center,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,
31,PT09M17.00S,2024-11-17T01:16:36.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629674,6.783837056504599,42.15686274509804,1610612738,9,4,2024-11-17T01:16:43Z,310000,False,39.0,11.0,1,left,N. Queta alley-oop DUNK (2 PTS) (J. Tatum 2 AST),"[1629674, 1628369]",1610612738.0,BOS,alley-oop,,,,,,,Queta,N. Queta,Restricted Area,0-8 Center,4.08,Made,2.0,,,,,,,,,,,,J. Tatum,1628369.0,2.0,,,
33,PT09M17.00S,2024-11-17T01:16:47.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,9,4,2024-11-17T01:16:47Z,330000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M03.00S,2024-11-17T01:19:55.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641711,80.23981603153744,39.46078431372549,1610612761,9,4,2024-11-17T01:20:24Z,340000,False,-53.0,133.0,1,right,MISS G. Dick 14' Jump Shot,[1641711],1610612761.0,TOR,,,,,,,,Dick,G. Dick,In The Paint (Non-RA),8-16 Center,14.32,Missed,,,,,,,,,,,,,,,,,,
35,PT09M01.00S,2024-11-17T01:19:57.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,9,4,2024-11-17T01:20:03Z,350000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,34.0,,,,,,,,,,,,,
37,PT08M59.00S,2024-11-17T01:20:16.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641711,88.51839684625493,4.166666666666666,1610612761,9,4,2024-11-17T01:20:51Z,370000,False,-229.0,55.0,1,right,MISS G. Dick 3PT,[1641711],1610612761.0,TOR,,,,,,,,Dick,G. Dick,Left Corner 3,24+ Left,23.58,Missed,,,,,,,,,,,,,,,,,,
38,PT08M55.00S,2024-11-17T01:20:20.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,9,4,2024-11-17T01:20:23Z,380000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,,,,,Brown,J. Brown,Left Corner 3,24+ Left,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,
39,PT08M45.00S,2024-11-17T01:20:29.4Z,1,REGULAR,3pt,Jump Shot,[],201143,8.09789750328515,96.56862745098039,1610612738,12,4,2024-11-17T01:20:33Z,390000,False,-233.0,24.0,1,left,A. Horford 3PT  (3 PTS) (J. Brown 1 AST),"[201143, 1627759]",1610612738.0,BOS,,,,,,,,Horford,A. Horford,Left Corner 3,24+ Left,23.4,Made,3.0,,,,,,,,,,,,J. Brown,1627759.0,1.0,,,
41,PT08M31.00S,2024-11-17T01:20:43.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,91.14651773981603,41.66666666666667,1610612761,12,4,2024-11-17T01:20:47Z,410000,False,-42.0,31.0,1,right,MISS R. Barrett driving Layup,[1629628],1610612761.0,TOR,driving,,,,,,,Barrett,R. Barrett,In The Paint (Non-RA),0-8 Center,5.18,Missed,,,,,,,,,,,,,,,,,,
42,PT08M30.00S,2024-11-17T01:20:44.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,12,4,2024-11-17T01:21:02Z,420000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,,,,,Tatum,J. Tatum,In The Paint (Non-RA),0-8 Center,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,
43,PT08M24.00S,2024-11-17T01:20:51.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,6.1268068331143235,44.85294117647059,1610612738,14,4,2024-11-17T01:21:12Z,430000,False,26.0,5.0,1,left,J. Tatum running Layup (2 PTS),[1628369],1610612738.0,BOS,running,,,,,,,Tatum,J. Tatum,Restricted Area,0-8 Center,2.62,Made,2.0,,,,,,,,,,,,,,,,,
77,PT08M12.00S,2024-11-17T01:21:00.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,92.72339027595268,48.77450980392157,1610612761,14,4,2024-11-17T01:27:41Z,435000,False,-6.0,16.0,1,right,MISS R. Barrett driving Layup - blocked,"[1629628, 201143]",1610612761.0,TOR,driving,,,,,,,Barrett,R. Barrett,Restricted Area,0-8 Center,1.7,Missed,,,,,,,,,,,,,,,,Horford,201143.0,
78,PT08M12.00S,2024-11-17T01:21:00.9Z,1,REGULAR,block,,[],201143,,,1610612761,14,4,2024-11-17T01:27:41Z,437500,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,,,,,Horford,A. Horford,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
79,PT08M10.00S,2024-11-17T01:21:02.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,14,4,2024-11-17T01:27:41Z,438750,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,77.0,,,,,,,,,,,,,
45,PT07M57.00S,2024-11-17T01:21:24.0Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612738,14,4,2024-11-17T01:21:30Z,450000,False,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 1629628]",1610612738.0,BOS,,,,,,,,White,D. White,Mid-Range,16-24 Right Center,,,,1.0,Barrett,1629628.0,,,,,,,,,,,,,,
46,PT07M57.00S,2024-11-17T01:21:24.0Z,1,REGULAR,steal,,[],1629628,,,1610612761,14,4,2024-11-17T01:21:26Z,460000,False,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612761.0,TOR,,,,,,,,Barrett,R. Barrett,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
47,PT07M54.00S,2024-11-17T01:21:27.8Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629628,92.9862023653088,48.03921568627451,1610612761,14,6,2024-11-17T01:21:49Z,470000,False,-10.0,13.0,1,right,R. Barrett running alley-oop DUNK (4 PTS) (G. Dick 1 AST),"[1629628, 1641711]",1610612761.0,TOR,running alley-oop,,,,,,,Barrett,R. Barrett,Restricted Area,0-8 Center,1.66,Made,4.0,,,,,,,,,,,,G. Dick,1641711.0,1.0,,,
49,PT07M35.00S,2024-11-17T01:21:46.7Z,1,REGULAR,3pt,Jump Shot,[],1628401,30.042706964520367,79.90196078431373,1610612738,14,6,2024-11-17T01:21:56Z,490000,False,-150.0,230.0,1,left,MISS D. White 27' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,,,,,White,D. White,Above the Break 3,24+ Left Center,27.42,Missed,,,,,,,,,,,,,,,,,,
50,PT07M34.00S,2024-11-17T01:21:47.7Z,1,REGULAR,rebound,defensive,[],1630534,,,1610612761,14,6,2024-11-17T01:21:56Z,500000,False,,,0,,O. Agbaji REBOUND (Off:0 Def:1),[1630534],1610612761.0,TOR,,,,,,,,Agbaji,O. Agbaji,Above the Break 3,24+ Left Center,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,
51,PT07M27.00S,2024-11-17T01:21:54.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630534,67.62483574244416,34.80392156862745,1610612761,14,9,2024-11-17T01:22:02Z,510000,False,-76.0,252.0,1,right,O. Agbaji 26' 3PT running pullup (3 PTS),[1630534],1610612761.0,TOR,running pullup,,,,,,,Agbaji,O. Agbaji,Above the Break 3,24+ Center,26.3,Made,3.0,,,,,,,,,,,,,,,,,
52,PT07M08.00S,2024-11-17T01:22:13.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,24.78646517739816,87.5,1610612738,14,9,2024-11-17T01:24:13Z,520000,False,-188.0,180.0,1,left,MISS J. Brown 26' step back 3PT,[1627759],1610612738.0,BOS,step back,,,,,,,Brown,J. Brown,Above the Break 3,24+ Left Center,26.03,Missed,,,,,,,,,,,,,,,,,,
53,PT07M06.00S,2024-11-17T01:22:15.3Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,14,9,2024-11-17T01:22:15Z,530000,False,,,0,,A. Horford REBOUND (Off:1 Def:0),[201143],1610612738.0,BOS,,,,,,,,Horford,A. Horford,Above the Break 3,24+ Left Center,,,,,,,52.0,1.0,0.0,1.0,,,,,,,,,,
54,PT06M57.00S,2024-11-17T01:22:24.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,32.14520367936925,72.05882352941177,1610612738,14,9,2024-11-17T01:22:30Z,540000,False,-110.0,250.0,1,left,MISS J. Tatum 27' step back 3PT,[1628369],1610612738.0,BOS,step back,,,,,,,Tatum,J. Tatum,Above the Break 3,24+ Left Center,27.3,Missed,,,,,,,,,,,,,,,,,,
55,PT06M54.00S,2024-11-17T01:22:27.0Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,14,9,2024-11-17T01:22:37Z,550000,False,,,0,,J. Pöltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,,,,,Pöltl,J. Pöltl,Above the Break 3,24+ Left Center,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,
56,PT06M38.00S,2024-11-17T01:22:43.1Z,1,REGULAR,3pt,Jump Shot,[],1641711,89.43823915900131,96.32352941176471,1610612761,14,9,2024-11-17T01:22:47Z,560000,False,232.0,47.0,1,right,MISS G. Dick 3PT,[1641711],1610612761.0,TOR,,,,,,,,Dick,G. Dick,Right Corner 3,24+ Right,23.63,Missed,,,,,,,,,,,,,,,,,,
57,PT06M35.00S,2024-11-17T01:22:46.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,14,9,2024-11-17T01:22:47Z,570000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,,,,,Tatum,J. Tatum,Right Corner 3,24+ Right,,,,,,,56.0,3.0,3.0,0.0,,,,,,,,,,
58,PT06M28.00S,2024-11-17T01:22:54.3Z,1,REGULAR,foul,personal,['2freethrow'],1630558,,,1610612738,14,9,2024-11-17T01:23:09Z,580000,False,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Brown 2 FT),"[1630558, 1627759]",1610612761.0,TOR,shooting,,,,,,203593.0,Mitchell,D. Mitchell,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,0.0,Brown,1627759.0,,,,,,
60,PT06M28.00S,2024-11-17T01:23:28.0Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,15,9,2024-11-17T01:23:28Z,600000,False,,,0,,J. Brown Free Throw 1 of 2 (3 PTS),[1627759],1610612738.0,BOS,,,,,,,,Brown,J. Brown,,,,Made,3.0,,,,,,,,,,,,,,,,,
61,PT06M28.00S,2024-11-17T01:23:30.5Z,1,REGULAR,substitution,out,[],1627751,,,1610612738,15,9,2024-11-17T01:23:34Z,610000,False,,,0,,SUB out: J. Pöltl,[1627751],1610612761.0,TOR,,,,,,,,Pöltl,J. Pöltl,,,,,,,,,,,,,,,,,,,,,,
62,PT06M28.00S,2024-11-17T01:23:30.5Z,1,REGULAR,substitution,in,[],1628981,,,1610612738,15,9,2024-11-17T01:23:34Z,620000,False,,,0,,SUB in: B. Fernando,[1628981],1610612761.0,TOR,,,,,,,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,,,,,,
63,PT06M28.00S,2024-11-17T01:23:53.9Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,16,9,2024-11-17T01:23:53Z,630000,False,,,0,,J. Brown Free Throw 2 of 2 (4 PTS),[1627759],1610612738.0,BOS,,,,,,,,Brown,J. Brown,,,,Made,4.0,,,,,,,,,,,,,,,,,
64,PT06M09.00S,2024-11-17T01:24:14.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629628,92.85479632063075,52.94117647058824,1610612761,16,11,2024-11-17T01:56:29Z,640000,False,15.0,15.0,1,right,R. Barrett cutting DUNK (6 PTS) (G. Dick 2 AST),"[1629628, 1641711]",1610612761.0,TOR,cutting,,,,,,,Barrett,R. Barrett,Restricted Area,0-8 Center,2.08,Made,6.0,,,,,,,,,,,,G. Dick,1641711.0,2.0,,,
67,PT05M51.00S,2024-11-17T01:24:33.9Z,1,REGULAR,foul,personal,['2freethrow'],1630558,,,1610612738,16,11,2024-11-17T01:24:47Z,660000,False,,,0,,D. Mitchell shooting personal FOUL (2 PF) (Brown 2 FT),"[1630558, 1627759]",1610612761.0,TOR,shooting,,,,,,1628481.0,Mitchell,D. Mitchell,Mid-Range,8-16 Left,,,,,,,,,,,2.0,0.0,Brown,1627759.0,,,,,,
69,PT05M51.00S,2024-11-17T01:25:07.4Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,16,11,2024-11-17T01:25:07Z,680000,False,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,,,,,Brown,J. Brown,,,,Missed,,,,,,,,,,,,,,,,,,
70,PT05M51.00S,2024-11-17T01:25:07.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,16,11,2024-11-17T01:25:07Z,690000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,
71,PT05M51.00S,2024-11-17T01:25:09.0Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,16,11,2024-11-17T01:25:12Z,700000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,
72,PT05M51.00S,2024-11-17T01:25:09.0Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,16,11,2024-11-17T01:25:12Z,710000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,
73,PT05M51.00S,2024-11-17T01:25:40.7Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,17,11,2024-11-17T01:25:40Z,720000,False,,,0,,J. Brown Free Throw 2 of 2 (5 PTS),[1627759],1610612738.0,BOS,,,,,,,,Brown,J. Brown,,,,Made,5.0,,,,,,,,,,,,,,,,,
74,PT05M29.00S,2024-11-17T01:26:04.0Z,1,REGULAR,3pt,Jump Shot,[],1630534,89.70105124835742,4.6568627450980395,1610612761,17,14,2024-11-17T01:26:11Z,730000,False,-227.0,44.0,1,right,O. Agbaji 3PT  (6 PTS) (D. Mitchell 1 AST),"[1630534, 1630558]",1610612761.0,TOR,,,,,,,,Agbaji,O. Agbaji,Left Corner 3,24+ Left,23.1,Made,6.0,,,,,,,,,,,,D. Mitchell,1630558.0,1.0,,,
76,PT05M28.00S,2024-11-17T01:26:13.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,17,14,2024-11-17T01:26:13Z,750000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M28.00S,2024-11-17T01:28:32.2Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,17,14,2024-11-17T01:28:55Z,760000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,
81,PT05M28.00S,2024-11-17T01:28:32.2Z,1,REGULAR,substitution,out,[],1629674,,,1610612738,17,14,2024-11-17T01:28:55Z,770000,False,,,0,,SUB out: N. Queta,[1629674],1610612738.0,BOS,,,,,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,
82,PT05M28.00S,2024-11-17T01:28:32.2Z,1,REGULAR,substitution,out,[],1641711,,,1610612738,17,14,2024-11-17T01:28:55Z,780000,False,,,0,,SUB out: G. Dick,[1641711],1610612761.0,TOR,,,,,,,,Dick,G. Dick,,,,,,,,,,,,,,,,,,,,,,
83,PT05M28.00S,2024-11-17T01:28:32.2Z,1,REGULAR,substitution,out,[],1630558,,,1610612738,17,14,2024-11-17T01:28:55Z,790000,False,,,0,,SUB out: D. Mitchell,[1630558],1610612761.0,TOR,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,
84,PT05M28.00S,2024-11-17T01:28:32.2Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,17,14,2024-11-17T01:28:55Z,800000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,
85,PT05M28.00S,2024-11-17T01:28:32.2Z,1,REGULAR,substitution,in,[],1628436,,,1610612738,17,14,2024-11-17T01:28:55Z,810000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,
86,PT05M28.00S,2024-11-17T01:28:32.2Z,1,REGULAR,substitution,in,[],1642347,,,1610612738,17,14,2024-11-17T01:28:55Z,820000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,
87,PT05M28.00S,2024-11-17T01:28:32.2Z,1,REGULAR,substitution,in,[],1628449,,,1610612738,17,14,2024-11-17T01:28:55Z,830000,False,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,
88,PT05M13.00S,2024-11-17T01:29:15.2Z,1,REGULAR,3pt,Jump Shot,[],1630573,12.697109067017081,4.6568627450980395,1610612738,17,14,2024-11-17T01:29:20Z,840000,False,227.0,67.0,1,left,MISS S. Hauser 3PT,[1630573],1610612738.0,BOS,,,,,,,,Hauser,S. Hauser,Right Corner 3,24+ Right,23.64,Missed,,,,,,,,,,,,,,,,,,
