actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
35,PT10M00.00S,2025-02-13T00:17:12.8Z,1,REGULAR,2pt,Jump Shot,[],1630170,78.53153745072274,66.17647058823529,1610612759,4,4,2025-02-13T00:17:17Z,330000,False,81.0,149.0,1,right,D. Vassell 16' turnaround Jump Shot (2 PTS) (V. Wembanyama 1 AST),"[1630170, 1641705]",1610612759.0,SAS,turnaround,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Right Center,16.98,Made,,2.0,V. Wembanyama,1641705.0,1.0,,,,,,,,,,,,,
37,PT09M47.00S,2025-02-13T00:17:24.7Z,1,REGULAR,3pt,Jump Shot,[],1628401,32.40801576872536,14.460784313725492,1610612738,4,4,2025-02-13T00:17:30Z,350000,False,178.0,252.0,1,left,MISS D. White 30' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,30.84,Missed,,,,,,,,,,,,,,,,,,
38,PT09M46.00S,2025-02-13T00:17:25.7Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,4,4,2025-02-13T00:17:30Z,360000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,,,37.0,,,,,,,1.0,1.0,0.0,,,,,,,,
39,PT09M40.00S,2025-02-13T00:17:32.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641705,61.0545335085414,49.26470588235294,1610612759,4,4,2025-02-13T00:17:41Z,370000,False,-4.0,314.0,1,right,MISS V. Wembanyama 31' running pullup 3PT,[1641705],1610612759.0,SAS,running pullup,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,31.36,Missed,,,,,,,,,,,,,,,,,,
40,PT09M39.00S,2025-02-13T00:17:33.0Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,4,4,2025-02-13T00:17:41Z,380000,False,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,39.0,,,,,,,2.0,2.0,0.0,,,,,,,,
41,PT09M24.00S,2025-02-13T00:17:49.3Z,1,REGULAR,turnover,bad pass,[],204001,,,1610612738,4,4,2025-02-13T00:17:53Z,390000,False,,,0,,K. Porziņģis bad pass TURNOVER (1 TO),"[204001, 101108]",1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Paul,101108.0
42,PT09M24.00S,2025-02-13T00:17:49.3Z,1,REGULAR,steal,,[],101108,,,1610612759,4,4,2025-02-13T00:17:50Z,400000,False,,,0,,C. Paul STEAL (1 STL),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
43,PT09M15.00S,2025-02-13T00:17:58.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641705,78.40013140604468,48.529411764705884,1610612759,4,6,2025-02-13T00:18:04Z,410000,False,-7.0,151.0,1,right,V. Wembanyama 15' fadeaway Jump Shot (4 PTS) (C. Paul 2 AST),"[1641705, 101108]",1610612759.0,SAS,fadeaway,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Center,15.07,Made,,4.0,C. Paul,101108.0,2.0,,,,,,,,,,,,,
45,PT08M55.00S,2025-02-13T00:18:16.6Z,1,REGULAR,3pt,Jump Shot,[],201143,32.013797634691194,32.1078431372549,1610612738,7,6,2025-02-13T00:18:20Z,430000,False,89.0,248.0,1,left,A. Horford 26' 3PT  (3 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,26.4,Made,,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,
47,PT08M49.00S,2025-02-13T00:18:24.4Z,1,REGULAR,3pt,Jump Shot,[],203084,85.49605781865965,5.392156862745098,1610612759,7,6,2025-02-13T00:18:32Z,450000,False,-223.0,84.0,1,right,MISS H. Barnes 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Left Corner 3,24+ Left,23.82,Missed,,,,,,,,,,,,,,,,,,
