actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
15,PT10M56.00S,2024-10-28T23:41:43.2Z,1,REGULAR,3pt,Jump Shot,[],201572,32.013797634691194,25.735294117647058,1610612749,0,0,2024-10-28T23:41:51Z,150000,False,121.0,248.0,1,left,MISS B. Lopez 27' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,27.64,Missed,,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2024-10-28T23:41:45.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2024-10-28T23:41:51Z,160000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M39.00S,2024-10-28T23:42:02.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,88.64980289093299,46.32352941176471,1610612738,0,0,2024-10-28T23:42:13Z,170000,False,-18.0,54.0,1,right,MISS J. Brown driving Layup - blocked,"[1627759, 201572]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,5.72,Missed,,,,,Lopez,201572.0,,,,,,,,,,,,
18,PT10M39.00S,2024-10-28T23:42:02.3Z,1,REGULAR,block,,[],201572,,,1610612738,0,0,2024-10-28T23:42:05Z,180000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M39.00S,2024-10-28T23:42:02.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,0,0,2024-10-28T23:42:13Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,,,,,,,,,,,,,,,,,
25,PT10M31.00S,2024-10-28T23:42:45.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201950,73.66951379763469,86.76470588235294,1610612738,0,0,2024-10-28T23:45:04Z,250000,False,184.0,195.0,1,right,MISS J. Holiday 26' 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,26.8,Missed,,,,,,,,,,,,,,,,,,
26,PT10M28.00S,2024-10-28T23:42:48.6Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,0,0,2024-10-28T23:42:51Z,260000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT10M23.00S,2024-10-28T23:42:54.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203081,22.946780551905388,21.323529411764707,1610612749,0,2,2024-10-28T23:45:55Z,270000,False,143.0,163.0,1,left,D. Lillard 21' running pullup Jump Shot (2 PTS),[203081],1610612749.0,MIL,running pullup,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Right Center,21.73,Made,,,,,,,2.0,,,,,,,,,,,
28,PT10M11.00S,2024-10-28T23:43:04.6Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.54467805519053,30.14705882352941,1610612738,0,2,2024-10-28T23:43:10Z,280000,False,-99.0,243.0,1,right,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,26.27,Missed,,,,,,,,,,,,,,,,,,
29,PT10M09.00S,2024-10-28T23:43:06.6Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,0,2,2024-10-28T23:43:10Z,290000,False,,,0,,T. Prince REBOUND (Off:0 Def:2),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT09M49.00S,2024-10-28T23:43:27.7Z,1,REGULAR,3pt,Jump Shot,[],201572,29.77989487516426,75.24509803921569,1610612749,0,2,2024-10-28T23:43:34Z,300000,False,-126.0,227.0,1,left,MISS B. Lopez 26' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,26.01,Missed,,,,,,,,,,,,,,,,,,
31,PT09M47.00S,2024-10-28T23:43:29.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,0,2,2024-10-28T23:45:52Z,310000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Left Center,,,30.0,,,,,,,,,,,,,,,,,
33,PT09M47.00S,2024-10-28T23:43:52.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,0,2,2024-10-28T23:45:52Z,330000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M44.00S,2024-10-28T23:46:48.2Z,1,REGULAR,turnover,bad pass,[],201950,,,1610612738,0,2,2024-10-28T23:46:56Z,360000,False,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[201950, 203081]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Right,,,,,,,,,,1.0,Lillard,203081.0,,,,,,,,
37,PT09M44.00S,2024-10-28T23:46:48.2Z,1,REGULAR,steal,,[],203081,,,1610612749,0,2,2024-10-28T23:46:51Z,370000,False,,,0,,D. Lillard STEAL (1 STL),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
38,PT09M44.00S,2024-10-28T23:46:52.6Z,1,REGULAR,foul,personal,['2freethrow'],201950,,,1610612749,0,2,2024-10-28T23:46:59Z,380000,False,,,0,,J. Holiday shooting personal FOUL (1 PF) (Lillard 2 FT),"[201950, 203081]",1610612738.0,BOS,shooting,,,Holiday,J. Holiday,,,,,Mid-Range,0-8 Center,,,,,,,,,,,,,1155.0,1.0,0.0,Lillard,203081.0,,,
40,PT09M44.00S,2024-10-28T23:47:11.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203081,,,1610612749,0,3,2024-10-28T23:47:11Z,400000,False,,,0,,D. Lillard Free Throw 1 of 2 (3 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
41,PT09M44.00S,2024-10-28T23:47:27.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203081,,,1610612749,0,4,2024-10-28T23:47:27Z,410000,False,,,0,,D. Lillard Free Throw 2 of 2 (4 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
42,PT09M32.00S,2024-10-28T23:47:39.7Z,1,REGULAR,2pt,Jump Shot,[],201143,79.45137976346912,12.5,1610612738,0,4,2024-10-29T00:43:28Z,420000,False,-188.0,141.0,1,right,MISS A. Horford 23' Jump Shot,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,16-24 Left Center,23.44,Missed,,,,,,,,,,,,,,,,,,
43,PT09M29.00S,2024-10-28T23:47:42.7Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,4,2024-10-28T23:47:45Z,430000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,
44,PT09M24.00S,2024-10-28T23:47:47.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203507,10.64388961892247,40.40670955882353,1610612749,0,4,2024-10-28T23:48:35Z,440000,False,48.0,48.0,1,left,MISS G. Antetokounmpo 6' running Layup - blocked,"[203507, 201143]",1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,6.76,Missed,,,,,Horford,201143.0,,,,,,,,,,,,
45,PT09M24.00S,2024-10-28T23:47:47.8Z,1,REGULAR,block,,[],201143,,,1610612749,0,4,2024-10-28T23:47:50Z,450000,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
46,PT09M20.00S,2024-10-28T23:47:51.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,4,2024-10-28T23:47:58Z,460000,False,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,44.0,2.0,2.0,0.0,,,,,,,,,,,,,,
47,PT09M15.00S,2024-10-28T23:47:56.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628401,93.9060446780552,53.431372549019606,1610612738,2,4,2024-10-28T23:48:04Z,470000,False,17.0,5.0,1,right,D. White running Layup (2 PTS) (J. Brown 1 AST),"[1628401, 1627759]",1610612738.0,BOS,running,,,White,D. White,,,,,Restricted Area,0-8 Center,1.79,Made,,,,,,,2.0,,,,,,,,,J. Brown,1627759.0,1.0
49,PT08M57.00S,2024-10-28T23:48:13.5Z,1,REGULAR,3pt,Jump Shot,[],1627752,11.908672798948752,96.81372549019608,1610612749,2,4,2024-10-28T23:48:18Z,490000,False,-234.0,59.0,1,left,MISS T. Prince 24' 3PT,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,24.15,Missed,,,,,,,,,,,,,,,,,,
50,PT08M55.00S,2024-10-28T23:48:15.5Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,2,4,2024-10-28T23:48:18Z,500000,False,,,0,,B. Lopez REBOUND (Off:1 Def:0),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Left Corner 3,24+ Left,,,49.0,1.0,0.0,1.0,,,,,,,,,,,,,,
51,PT08M54.00S,2024-10-28T23:48:17.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203081,32.013797634691194,67.15686274509804,1610612749,2,4,2024-10-28T23:48:21Z,510000,False,-86.0,248.0,1,left,MISS D. Lillard 26' 3PT,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,26.28,Missed,,,,,,,,,,,,,,,,,,
52,PT08M52.00S,2024-10-28T23:48:19.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,4,2024-10-28T23:48:21Z,520000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,51.0,2.0,2.0,0.0,,,,,,,,,,,,,,
53,PT08M48.00S,2024-10-28T23:48:23.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,71.96123521681997,19.362745098039216,1610612738,5,4,2024-10-28T23:49:35Z,530000,False,-153.0,211.0,1,right,D. White 26' 3PT running (5 PTS) (J. Tatum 1 AST),"[1628401, 1628369]",1610612738.0,BOS,running,,,White,D. White,,,,,Above the Break 3,24+ Left Center,26.08,Made,,,,,,,5.0,,,,,,,,,J. Tatum,1628369.0,1.0
55,PT08M32.00S,2024-10-28T23:48:44.0Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612749,5,4,2024-10-28T23:48:49Z,550000,False,,,0,,J. Tatum shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1628369, 203507]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,1155.0,1.0,0.0,Antetokounmpo,203507.0,,,
57,PT08M32.00S,2024-10-28T23:49:17.2Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,5,5,2024-10-28T23:49:42Z,570000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
58,PT08M32.00S,2024-10-28T23:49:17.2Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,5,5,2024-10-28T23:49:42Z,580000,False,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
59,PT08M32.00S,2024-10-28T23:49:17.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,5,5,2024-10-28T23:49:42Z,590000,False,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,,
60,PT08M29.00S,2024-10-28T23:49:43.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628401,92.9862023653088,50.73529411764706,1610612738,7,5,2024-10-28T23:50:20Z,600000,False,4.0,13.0,1,right,D. White running reverse Layup (7 PTS) (J. Brown 2 AST),"[1628401, 1627759]",1610612738.0,BOS,running reverse,,,White,D. White,,,,,Restricted Area,0-8 Center,1.39,Made,,,,,,,7.0,,,,,,,,,J. Brown,1627759.0,2.0
63,PT08M16.00S,2024-10-28T23:50:04.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,18.084756898817346,40.68627450980392,1610612749,7,7,2024-10-28T23:50:38Z,630000,False,47.0,117.0,1,left,D. Lillard 12' pullup Jump Shot (6 PTS) (G. Antetokounmpo 1 AST),"[203081, 203507]",1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Center,12.64,Made,,,,,,,6.0,,,,,,,,,G. Antetokounmpo,203507.0,1.0
65,PT08M16.00S,2024-10-28T23:50:09.7Z,1,REGULAR,foul,personal,['1freethrow'],1628401,,,1610612749,7,7,2024-10-28T23:50:16Z,650000,False,,,0,,D. White shooting personal FOUL (1 PF) (Lillard 1 FT),"[1628401, 203081]",1610612738.0,BOS,shooting,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1146.0,1.0,0.0,Lillard,203081.0,,,
67,PT08M16.00S,2024-10-28T23:50:29.8Z,1,REGULAR,freethrow,1 of 1,[],203081,,,1610612749,7,8,2024-10-28T23:50:29Z,670000,False,,,0,,D. Lillard Free Throw 1 of 1 (7 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
68,PT08M00.00S,2024-10-28T23:50:46.9Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,7,8,2024-10-28T23:50:52Z,680000,False,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1629018]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1.0,Trent Jr.,1629018.0,,,,,,,,
69,PT08M00.00S,2024-10-28T23:50:46.9Z,1,REGULAR,steal,,[],1629018,,,1610612749,7,8,2024-10-28T23:51:46Z,690000,False,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
70,PT07M55.00S,2024-10-28T23:50:52.4Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203081,29.25427069645204,25.98039215686275,1610612749,7,11,2024-10-28T23:51:48Z,700000,False,120.0,222.0,1,left,D. Lillard 25' 3PT running pullup (10 PTS),[203081],1610612749.0,MIL,running pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,25.28,Made,,,,,,,10.0,,,,,,,,,,,
71,PT07M37.00S,2024-10-28T23:51:12.0Z,1,REGULAR,foul,personal,[],203081,,,1610612738,7,11,2024-10-28T23:51:18Z,710000,False,,,0,,D. Lillard personal FOUL (1 PF),"[203081, 1628401]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,202056.0,1.0,0.0,White,1628401.0,,,
73,PT07M34.00S,2024-10-28T23:51:31.7Z,1,REGULAR,foul,personal,['2freethrow'],1627752,,,1610612738,7,11,2024-10-28T23:51:41Z,730000,False,,,0,,T. Prince shooting personal FOUL (1 PF) (Brown 2 FT),"[1627752, 1627759]",1610612749.0,MIL,shooting,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1155.0,1.0,0.0,Brown,1627759.0,,,
75,PT07M34.00S,2024-10-28T23:52:01.7Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,8,11,2024-10-28T23:53:03Z,750000,False,,,0,,J. Brown Free Throw 1 of 2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
76,PT07M34.00S,2024-10-28T23:52:01.7Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,9,11,2024-10-28T23:53:03Z,760000,False,,,0,,J. Brown Free Throw 2 of 2 (2 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
77,PT07M34.00S,2024-10-28T23:52:34.0Z,1,REGULAR,violation,lane,[],1629018,,,1610612749,9,11,2024-10-29T00:09:25Z,770000,False,,,0,,G. Trent Jr. lane VIOLATION,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,1146.0,,,,,,,
78,PT07M20.00S,2024-10-28T23:53:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,10.068988173455978,58.57843137254902,1610612749,9,11,2024-10-29T00:03:02Z,780000,False,-43.0,42.0,1,left,MISS B. Lopez 6' driving Layup,[201572],1610612749.0,MIL,driving,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,6.01,Missed,,,,,,,,,,,,,,,,,,
79,PT07M18.00S,2024-10-28T23:53:08.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,9,11,2024-10-29T00:00:20Z,790000,False,,,0,,A. Horford REBOUND (Off:0 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,78.0,3.0,3.0,0.0,,,,,,,,,,,,,,
80,PT07M11.00S,2024-10-28T23:53:14.4Z,1,REGULAR,3pt,Jump Shot,[],201950,75.64060446780552,87.5,1610612738,12,11,2024-10-28T23:53:22Z,800000,False,188.0,176.0,1,right,J. Holiday 25' 3PT  (3 PTS) (D. White 1 AST),"[201950, 1628401]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,25.75,Made,,,,,,,3.0,,,,,,,,,D. White,1628401.0,1.0
83,PT06M56.00S,2024-10-28T23:53:29.3Z,1,REGULAR,2pt,Jump Shot,[],203507,13.091327201051248,79.90196078431373,1610612749,12,11,2024-10-28T23:56:28Z,820000,False,-150.0,71.0,1,left,MISS G. Antetokounmpo 16' Jump Shot,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Left,16.53,Missed,,,,,,,,,,,,,,,,,,
84,PT06M54.00S,2024-10-28T23:53:31.3Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,12,11,2024-10-28T23:53:36Z,830000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Left,,,83.0,1.0,1.0,0.0,,,,,,,,,,,,,,
85,PT06M50.00S,2024-10-28T23:53:43.9Z,1,REGULAR,foul,personal,[],203081,,,1610612738,12,11,2024-10-28T23:53:57Z,840000,False,,,0,,D. Lillard personal FOUL (2 PF),"[203081, 1627759]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1146.0,2.0,0.0,Brown,1627759.0,,,
87,PT06M48.00S,2024-10-28T23:54:01.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,66.3107752956636,57.35294117647059,1610612738,12,11,2024-10-28T23:54:07Z,860000,False,37.0,264.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,26.68,Missed,,,,,,,,,,,,,,,,,,
88,PT06M44.00S,2024-10-28T23:54:05.4Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,12,11,2024-10-28T23:54:07Z,870000,False,,,0,,D. Lillard REBOUND (Off:0 Def:3),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,,87.0,3.0,3.0,0.0,,,,,,,,,,,,,,
89,PT06M36.00S,2024-10-28T23:54:13.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,9.149145860709593,41.42156862745098,1610612749,12,13,2024-10-28T23:54:20Z,880000,False,43.0,34.0,1,left,G. Antetokounmpo cutting Layup (3 PTS) (D. Lillard 1 AST),"[203507, 203081]",1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,5.44,Made,,,,,,,3.0,,,,,,,,,D. Lillard,203081.0,1.0
91,PT06M25.00S,2024-10-28T23:54:24.4Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,12,13,2024-10-28T23:54:29Z,900000,False,,,0,,J. Brown lost ball TURNOVER (2 TO),"[1627759, 201572]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,2.0,Lopez,201572.0,,,,,,,,
92,PT06M25.00S,2024-10-28T23:54:24.4Z,1,REGULAR,steal,,[],201572,,,1610612749,12,13,2024-10-28T23:54:26Z,910000,False,,,0,,B. Lopez STEAL (1 STL),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
