actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
18,PT10M42.00S,2024-12-05T00:42:59.8Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,2,0,2024-12-05T00:43:07Z,180000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,
19,PT10M31.00S,2024-12-05T00:43:13.0Z,1,REGULAR,foul,personal,['2freethrow'],1630595,,,1610612738,2,0,2024-12-05T00:43:28Z,190000,False,,,0,,C. Cunningham shooting personal FOUL (1 PF) (Brown 2 FT),"[1630595, 1627759]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,,,,,,,1162.0,,,,,,1.0,0.0,Brown,1627759.0,,
21,PT10M31.00S,2024-12-05T00:43:54.7Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,2,0,2024-12-05T00:43:54Z,210000,False,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
22,PT10M31.00S,2024-12-05T00:43:54.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,2,0,2024-12-05T00:43:54Z,220000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,
23,PT10M31.00S,2024-12-05T00:44:14.0Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,3,0,2024-12-05T00:44:14Z,230000,False,,,0,,J. Brown Free Throw 2 of 2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
24,PT10M12.00S,2024-12-05T00:44:34.4Z,1,REGULAR,2pt,Jump Shot,[],1630595,24.52365308804205,65.68627450980392,1610612765,3,2,2024-12-05T00:50:14Z,240000,False,-78.0,178.0,1,left,C. Cunningham 19' fadeaway Jump Shot (2 PTS),[1630595],1610612765.0,DET,fadeaway,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Left Center,19.45,Made,,,,,,,,,2.0,,,,,,,,,
25,PT09M54.00S,2024-12-05T00:44:52.0Z,1,REGULAR,3pt,Jump Shot,[],201143,75.50919842312747,13.23529411764706,1610612738,6,2,2024-12-05T00:44:57Z,250000,False,-184.0,178.0,1,right,A. Horford 25' 3PT  (3 PTS) (K. Porziņģis 1 AST),"[201143, 204001]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,25.57,Made,,,,,,,,,3.0,K. Porziņģis,204001.0,1.0,,,,,,
27,PT09M46.00S,2024-12-05T00:45:02.9Z,1,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612765,6,2,2024-12-05T00:45:20Z,270000,False,,,0,,D. White shooting personal FOUL (1 PF) (Ivey 2 FT),"[1628401, 1631093]",1610612738.0,BOS,shooting,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,1162.0,,,,,,1.0,0.0,Ivey,1631093.0,,
29,PT09M46.00S,2024-12-05T00:45:31.5Z,1,REGULAR,freethrow,1 of 2,[],1631093,,,1610612765,6,3,2024-12-05T00:45:31Z,290000,False,,,0,,J. Ivey Free Throw 1 of 2 (1 PTS),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
30,PT09M46.00S,2024-12-05T00:45:45.0Z,1,REGULAR,freethrow,2 of 2,[],1631093,,,1610612765,6,4,2024-12-05T00:45:45Z,300000,False,,,0,,J. Ivey Free Throw 2 of 2 (2 PTS),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
31,PT09M25.00S,2024-12-05T00:46:14.3Z,1,REGULAR,foul,personal,['2freethrow'],1630595,,,1610612738,6,4,2024-12-05T00:46:26Z,310000,False,,,0,,C. Cunningham shooting personal FOUL (2 PF) (Porziņģis 2 FT),"[1630595, 204001]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Left Center,,,,,,,,,1162.0,,,,,,2.0,0.0,Porziņģis,204001.0,,
34,PT09M25.00S,2024-12-05T00:46:42.3Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612738,7,4,2024-12-05T00:47:07Z,330000,False,,,0,,K. Porziņģis Free Throw 1 of 2 (3 PTS),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
35,PT09M25.00S,2024-12-05T00:46:42.3Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612738,7,4,2024-12-05T00:47:07Z,340000,False,,,0,,MISS K. Porziņģis Free Throw 2 of 2,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
36,PT09M25.00S,2024-12-05T00:46:42.3Z,1,REGULAR,rebound,defensive,[],203501,,,1610612765,7,4,2024-12-05T00:47:07Z,350000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,
37,PT09M13.00S,2024-12-05T00:47:12.6Z,1,REGULAR,turnover,lost ball,[],203501,,,1610612765,7,4,2024-12-05T00:47:18Z,360000,False,,,0,,T. Hardaway Jr. lost ball TURNOVER (1 TO),"[203501, 1627759]",1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,1.0,,,,,,,,,Brown,1627759.0
38,PT09M13.00S,2024-12-05T00:47:12.6Z,1,REGULAR,steal,,[],1627759,,,1610612738,7,4,2024-12-05T00:47:14Z,370000,False,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
39,PT09M09.00S,2024-12-05T00:47:16.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,93.9060446780552,52.69607843137255,1610612738,9,4,2024-12-05T00:47:24Z,380000,False,13.0,5.0,1,right,J. Brown running Layup (3 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.43,Made,,,,,,,,,3.0,,,,,,,,,
40,PT09M04.00S,2024-12-05T00:47:20.9Z,1,REGULAR,turnover,bad pass,[],1631105,,,1610612765,9,4,2024-12-05T00:47:29Z,390000,False,,,0,,J. Duren bad pass TURNOVER (1 TO),"[1631105, 1630573]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,1.0,,,,,,,,,Hauser,1630573.0
41,PT09M04.00S,2024-12-05T00:47:20.9Z,1,REGULAR,steal,,[],1630573,,,1610612738,9,4,2024-12-05T00:47:23Z,400000,False,,,0,,S. Hauser STEAL (1 STL),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
42,PT09M02.00S,2024-12-05T00:47:24.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630573,77.1353482260184,91.19944852941177,1610612738,12,4,2024-12-05T00:48:05Z,410000,False,206.0,162.0,1,right,S. Hauser 26' 3PT pullup (3 PTS),[1630573],1610612738.0,BOS,pullup,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,26.23,Made,,,,,,,,,3.0,,,,,,,,,
43,PT09M02.00S,2024-12-05T00:47:32.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,12,4,2024-12-05T00:47:32Z,420000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M49.00S,2024-12-05T00:50:33.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,7.5722733245729295,58.333333333333336,1610612765,12,4,2024-12-05T00:53:17Z,430000,False,-42.0,19.0,1,left,MISS J. Duren cutting Layup - blocked,"[1631105, 204001]",1610612765.0,DET,cutting,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,4.57,Missed,Porziņģis,204001.0,,,,,,,,,,,,,,,,
110,PT08M49.00S,2024-12-05T00:50:33.6Z,1,REGULAR,block,,[],204001,,,1610612765,12,4,2024-12-05T01:00:55Z,435000,False,,,0,,K. Porziņģis BLOCK (2 BLK),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
45,PT08M47.00S,2024-12-05T00:50:35.6Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,12,4,2024-12-05T00:50:47Z,440000,False,,,0,,K. Porziņģis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),0-8 Center,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,
46,PT08M37.00S,2024-12-05T00:50:44.8Z,1,REGULAR,3pt,Jump Shot,[],1628401,93.24901445466492,4.166666666666666,1610612738,15,4,2024-12-05T00:50:50Z,450000,False,-229.0,11.0,1,right,D. White 3PT  (3 PTS) (A. Horford 1 AST),"[1628401, 201143]",1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,22.95,Made,,,,,,,,,3.0,A. Horford,201143.0,1.0,,,,,,
48,PT08M25.00S,2024-12-05T00:50:57.2Z,1,REGULAR,2pt,Jump Shot,[],202699,21.50131406044678,70.34313725490196,1610612765,15,4,2024-12-05T00:51:04Z,470000,False,-102.0,150.0,1,left,MISS T. Harris 18' pullup Shot,[202699],1610612765.0,DET,pullup,,,Harris,T. Harris,,,,,Mid-Range,16-24 Left Center,18.09,Missed,,,,,,,,,,,,,,,,,,
49,PT08M24.00S,2024-12-05T00:50:58.2Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,15,4,2024-12-05T00:51:04Z,480000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Left Center,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,
50,PT08M16.00S,2024-12-05T00:51:05.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],204001,65.65374507227332,49.26470588235294,1610612738,18,4,2024-12-05T00:53:32Z,490000,False,-4.0,270.0,1,right,K. Porziņģis 27' 3PT running (6 PTS) (D. White 1 AST),"[204001, 1628401]",1610612738.0,BOS,running,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Center,27.04,Made,,,,,,,,,6.0,D. White,1628401.0,1.0,,,,,,
52,PT08M01.00S,2024-12-05T00:51:21.3Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,18,4,2024-12-05T00:51:25Z,510000,False,,,0,,C. Cunningham bad pass TURNOVER (1 TO),"[1630595, 201143]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1.0,,,,,,,,,Horford,201143.0
53,PT08M01.00S,2024-12-05T00:51:21.3Z,1,REGULAR,steal,,[],201143,,,1610612738,18,4,2024-12-05T00:51:23Z,520000,False,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
54,PT07M52.00S,2024-12-05T00:51:30.4Z,1,REGULAR,turnover,lost ball,[],1630573,,,1610612738,18,4,2024-12-05T00:51:33Z,530000,False,,,0,,S. Hauser lost ball TURNOVER (1 TO),"[1630573, 1631105]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,,,,,,,,1.0,,,,,,,,,Duren,1631105.0
55,PT07M52.00S,2024-12-05T00:51:30.4Z,1,REGULAR,steal,,[],1631105,,,1610612765,18,4,2024-12-05T00:51:32Z,540000,False,,,0,,J. Duren STEAL (1 STL),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
56,PT07M47.00S,2024-12-05T00:51:35.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1631093,6.1268068331143235,98.0392156862745,1610612765,18,4,2024-12-05T00:54:55Z,550000,False,-240.0,5.0,1,left,MISS J. Ivey 24' running 3PT,[1631093],1610612765.0,DET,running,,,Ivey,J. Ivey,,,,,Left Corner 3,24+ Left,24.03,Missed,,,,,,,,,,,,,,,,,,
57,PT07M45.00S,2024-12-05T00:51:37.5Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,18,4,2024-12-05T00:51:44Z,560000,False,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Left Corner 3,24+ Left,,,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,
58,PT07M41.00S,2024-12-05T00:51:41.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,72.35545335085413,16.911764705882355,1610612738,18,4,2024-12-05T00:51:48Z,570000,False,-165.0,207.0,1,right,MISS J. Brown 26' running pullup 3PT,[1627759],1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,26.53,Missed,,,,,,,,,,,,,,,,,,
59,PT07M39.00S,2024-12-05T00:51:43.7Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,18,4,2024-12-05T00:52:04Z,580000,False,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,
60,PT07M32.00S,2024-12-05T00:51:50.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630595,25.312089356110377,86.76470588235294,1610612765,18,7,2024-12-05T00:52:01Z,590000,False,-184.0,185.0,1,left,C. Cunningham 26' 3PT running pullup (5 PTS) (J. Ivey 1 AST),"[1630595, 1631093]",1610612765.0,DET,running pullup,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,26.11,Made,,,,,,,,,5.0,J. Ivey,1631093.0,1.0,,,,,,
62,PT07M09.00S,2024-12-05T00:52:12.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,67.49342969776609,29.411764705882355,1610612738,21,7,2024-12-05T00:55:56Z,610000,False,-103.0,253.0,1,right,J. Brown 27' 3PT pullup (6 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,27.32,Made,,,,,,,,,6.0,,,,,,,,,
63,PT07M06.00S,2024-12-05T00:52:24.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,21,7,2024-12-05T00:52:24Z,620000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M06.00S,2024-12-05T00:54:34.3Z,1,REGULAR,substitution,out,[],203501,,,1610612765,21,7,2024-12-05T00:55:09Z,630000,False,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M06.00S,2024-12-05T00:54:34.3Z,1,REGULAR,substitution,out,[],1631105,,,1610612765,21,7,2024-12-05T00:55:09Z,640000,False,,,0,,SUB out: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M06.00S,2024-12-05T00:54:34.3Z,1,REGULAR,substitution,out,[],1631093,,,1610612765,21,7,2024-12-05T00:55:09Z,650000,False,,,0,,SUB out: J. Ivey,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M06.00S,2024-12-05T00:54:34.3Z,1,REGULAR,substitution,in,[],1627736,,,1610612765,21,7,2024-12-05T00:55:09Z,660000,False,,,0,,SUB in: M. Beasley,[1627736],1610612765.0,DET,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M06.00S,2024-12-05T00:54:34.3Z,1,REGULAR,substitution,in,[],1631204,,,1610612765,21,7,2024-12-05T00:55:09Z,670000,False,,,0,,SUB in: M. Sasser,[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M06.00S,2024-12-05T00:54:34.3Z,1,REGULAR,substitution,in,[],1630191,,,1610612765,21,7,2024-12-05T00:55:09Z,680000,False,,,0,,SUB in: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M49.00S,2024-12-05T00:55:34.1Z,1,REGULAR,turnover,out-of-bounds,[],1630595,,,1610612765,21,7,2024-12-05T00:55:51Z,690000,False,,,0,,C. Cunningham step out-of-bounds TURNOVER (2 TO),[1630595],1610612765.0,DET,step,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Left,,,,,,,,,,2.0,,,,,,,,,,
71,PT06M39.00S,2024-12-05T00:55:53.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,92.59198423127464,52.20588235294118,1610612738,23,7,2024-12-05T00:56:03Z,700000,False,11.0,17.0,1,right,J. Brown driving Layup (8 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.03,Made,,,,,,,,,8.0,,,,,,,,,
72,PT06M39.00S,2024-12-05T00:55:55.9Z,1,REGULAR,foul,personal,['1freethrow'],202699,,,1610612738,23,7,2024-12-05T00:56:02Z,710000,False,,,0,,T. Harris shooting personal FOUL (1 PF) (Brown 1 FT),"[202699, 1627759]",1610612765.0,DET,shooting,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,200834.0,,,,,,1.0,0.0,Brown,1627759.0,,
74,PT06M39.00S,2024-12-05T00:56:09.5Z,1,REGULAR,substitution,out,[],202699,,,1610612738,23,7,2024-12-05T00:56:31Z,730000,False,,,0,,SUB out: T. Harris,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M39.00S,2024-12-05T00:56:09.5Z,1,REGULAR,substitution,in,[],1641842,,,1610612738,23,7,2024-12-05T00:56:31Z,740000,False,,,0,,SUB in: R. Holland II,[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M39.00S,2024-12-05T00:56:30.2Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1627759,,,1610612738,23,7,2024-12-05T00:56:34Z,750000,False,,,0,,MISS J. Brown Free Throw 1 of 1,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
77,PT06M39.00S,2024-12-05T00:56:30.2Z,1,REGULAR,rebound,defensive,[],1641842,,,1610612765,23,7,2024-12-05T00:56:34Z,760000,False,,,0,,R. Holland II REBOUND (Off:0 Def:1),[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,
78,PT06M23.00S,2024-12-05T00:56:45.5Z,1,REGULAR,3pt,Jump Shot,[],1641842,9.674770039421814,2.696078431372549,1610612765,23,7,2024-12-05T00:56:51Z,770000,False,237.0,38.0,1,left,MISS R. Holland II 3PT,[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,Right Corner 3,24+ Right,23.96,Missed,,,,,,,,,,,,,,,,,,
79,PT06M21.00S,2024-12-05T00:56:47.5Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,23,7,2024-12-05T00:56:51Z,780000,False,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,,,,,78.0,2.0,2.0,0.0,,,,,,,,,,,,
80,PT06M11.00S,2024-12-05T00:56:57.2Z,1,REGULAR,3pt,Jump Shot,[],1628401,72.48685939553219,79.16666666666666,1610612738,26,7,2024-12-05T00:57:01Z,790000,False,146.0,206.0,1,right,D. White 25' 3PT  (6 PTS) (J. Brown 2 AST),"[1628401, 1627759]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,25.25,Made,,,,,,,,,6.0,J. Brown,1627759.0,2.0,,,,,,
82,PT05M44.00S,2024-12-05T00:57:23.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,17.0335085413929,34.55882352941176,1610612765,26,7,2024-12-05T00:58:14Z,810000,False,77.0,108.0,1,left,MISS C. Cunningham 13' step back Shot,[1630595],1610612765.0,DET,step back,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Right,13.24,Missed,,,,,,,,,,,,,,,,,,
83,PT05M43.00S,2024-12-05T00:57:24.8Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,26,7,2024-12-05T00:57:30Z,820000,False,,,0,,K. Porziņģis REBOUND (Off:0 Def:2),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),8-16 Right,,,,,82.0,2.0,2.0,0.0,,,,,,,,,,,,
84,PT05M35.00S,2024-12-05T00:57:33.6Z,1,REGULAR,3pt,Jump Shot,[],1628401,68.54467805519053,27.450980392156865,1610612738,26,7,2024-12-05T00:59:16Z,830000,False,-113.0,243.0,1,right,MISS D. White 26' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Left Center,26.8,Missed,,,,,,,,,,,,,,,,,,
