actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
19,PT10M46.00S,2025-02-23T18:13:55.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,3,2025-02-23T18:14:02Z,190000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,18.0,,,,1.0,1.0,0.0,,,,,
20,PT10M38.00S,2025-02-23T18:14:01.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,93.64323258869908,96.81372549019608,1610612738,5,3,2025-02-23T18:15:33Z,200000,False,234.0,7.0,1,right,MISS J. Brown running pullup 3PT,[1627759],1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,,,,,,Missed,,23.42,,,,,,,,,,,,
21,PT10M37.00S,2025-02-23T18:14:02.9Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,5,3,2025-02-23T18:14:11Z,210000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Right Corner 3,24+ Right,,,,,,,,,20.0,,,,1.0,1.0,0.0,,,,,
22,PT10M20.00S,2025-02-23T18:14:20.5Z,1,REGULAR,2pt,Jump Shot,[],1628969,16.770696452036795,27.205882352941174,1610612752,5,3,2025-02-23T18:14:27Z,220000,False,114.0,105.0,1,left,MISS M. Bridges 15' pullup Shot,[1628969],1610612752.0,NYK,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,,,,,,Missed,,15.51,,,,,,,,,,,,
23,PT10M19.00S,2025-02-23T18:14:21.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,5,3,2025-02-23T18:14:27Z,230000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Right,,,,,,,,,22.0,,,,1.0,1.0,0.0,,,,,
24,PT10M05.00S,2025-02-23T18:14:34.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,91.14651773981603,56.127450980392155,1610612738,7,3,2025-02-23T18:14:39Z,240000,False,31.0,31.0,1,right,D. White driving floating bank Jump Shot (2 PTS),[1628401],1610612738.0,BOS,driving floating bank,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,4.33,,,,,,,,,,,,
25,PT09M49.00S,2025-02-23T18:14:51.1Z,1,REGULAR,3pt,Jump Shot,[],1628969,10.463206307490145,4.411764705882353,1610612752,7,3,2025-02-23T18:14:57Z,250000,False,228.0,46.0,1,left,MISS M. Bridges 3PT,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,,,,,,Missed,,23.25,,,,,,,,,,,,
26,PT09M48.00S,2025-02-23T18:14:52.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,7,3,2025-02-23T18:14:57Z,260000,False,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,,,,,,,,,25.0,,,,2.0,2.0,0.0,,,,,
27,PT09M43.00S,2025-02-23T18:14:59.4Z,1,REGULAR,foul,personal,[],1628384,,,1610612738,7,3,2025-02-23T18:15:12Z,270000,False,,,0,,O. Anunoby personal FOUL (1 PF),"[1628384, 204001]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1146.0,1.0,0.0,Porziņģis,204001.0,,,,,,,,,,,,,,,
29,PT09M39.00S,2025-02-23T18:15:21.4Z,1,REGULAR,2pt,Jump Shot,[],201950,93.64323258869908,22.058823529411764,1610612738,9,3,2025-02-23T18:15:25Z,290000,False,-140.0,7.0,1,right,J. Holiday 13' turnaround fadeaway Jump Shot (2 PTS) (J. Tatum 2 AST),"[201950, 1628369]",1610612738.0,BOS,turnaround fadeaway,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Left,,,,,,Made,2.0,13.99,,J. Tatum,1628369.0,2.0,,,,,,,,
31,PT09M23.00S,2025-02-23T18:15:38.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,10.85742444152431,57.59803921568627,1610612752,9,3,2025-02-23T18:15:47Z,310000,False,-38.0,50.0,1,left,MISS K. Towns 6' driving Layup,[1626157],1610612752.0,NYK,driving,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,6.25,,,,,,,,,,,,
33,PT09M23.00S,2025-02-23T18:15:38.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,9,3,2025-02-23T18:16:21Z,330000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,31.0,,,,2.0,2.0,0.0,,,,,
34,PT09M16.00S,2025-02-23T18:15:44.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201950,92.90407358738501,47.47625612745098,1610612738,11,3,2025-02-23T18:15:54Z,340000,False,-13.0,14.0,1,right,J. Holiday running Layup (4 PTS) (J. Tatum 3 AST),"[201950, 1628369]",1610612738.0,BOS,running,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,1.9,,J. Tatum,1628369.0,3.0,,,,,,,,
36,PT09M11.00S,2025-02-23T18:15:50.8Z,1,REGULAR,3pt,Jump Shot,[],1626157,21.50131406044678,7.107843137254902,1610612752,11,3,2025-02-23T18:15:58Z,360000,False,214.0,150.0,1,left,MISS K. Towns 26' 3PT,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,26.15,,,,,,,,,,,,
37,PT09M10.00S,2025-02-23T18:15:51.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,11,3,2025-02-23T18:15:58Z,370000,False,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,,,,,,36.0,,,,3.0,3.0,0.0,,,,,
38,PT08M59.00S,2025-02-23T18:16:06.5Z,1,REGULAR,foul,personal,['2freethrow'],1628384,,,1610612738,11,3,2025-02-23T18:16:18Z,380000,False,,,0,,O. Anunoby shooting personal FOUL (2 PF) (Tatum 2 FT),"[1628384, 1628369]",1610612752.0,NYK,shooting,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Left,201246.0,2.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
40,PT08M59.00S,2025-02-23T18:16:32.0Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,12,3,2025-02-23T18:16:32Z,400000,False,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
41,PT08M59.00S,2025-02-23T18:16:47.3Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,13,3,2025-02-23T18:16:47Z,410000,False,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
42,PT08M51.00S,2025-02-23T18:16:58.5Z,1,REGULAR,3pt,Jump Shot,[],1628973,31.09395532194481,73.2843137254902,1610612752,13,6,2025-02-23T18:17:03Z,420000,False,-116.0,240.0,1,left,J. Brunson 26' 3PT pullup (3 PTS),[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,26.66,,,,,,,,,,,,
43,PT08M31.00S,2025-02-23T18:17:18.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,82.60512483574244,39.21568627450981,1610612738,13,6,2025-02-23T18:17:23Z,430000,False,-54.0,111.0,1,right,MISS J. Brown 12' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,12.34,,,,,,,,,,,,
44,PT08M30.00S,2025-02-23T18:17:19.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,13,6,2025-02-23T18:17:23Z,440000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,43.0,,,,2.0,2.0,0.0,,,,,
45,PT08M24.00S,2025-02-23T18:17:27.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628404,8.09789750328515,34.55882352941176,1610612752,13,6,2025-02-23T18:17:36Z,450000,False,77.0,24.0,1,left,MISS J. Hart 8' running Layup,[1628404],1610612752.0,NYK,running,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Missed,,8.07,,,,,,,,,,,,
46,PT08M23.00S,2025-02-23T18:17:28.1Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,13,6,2025-02-23T18:17:36Z,460000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,45.0,,,,1.0,1.0,0.0,,,,,
47,PT08M18.00S,2025-02-23T18:17:31.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,86.67871222076215,2.2058823529411766,1610612738,13,6,2025-02-23T18:20:59Z,470000,False,-239.0,73.0,1,right,MISS J. Tatum 24' running 3PT,[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,,,,,,Missed,,24.98,,,,,,,,,,,,
48,PT08M17.00S,2025-02-23T18:17:32.9Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,13,6,2025-02-23T18:17:41Z,480000,False,,,0,,K. Towns REBOUND (Off:0 Def:3),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Left Corner 3,24+ Left,,,,,,,,,47.0,,,,3.0,3.0,0.0,,,,,
49,PT07M57.00S,2025-02-23T18:17:52.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,9.149145860709593,34.55882352941176,1610612752,13,8,2025-02-23T18:17:57Z,490000,False,77.0,34.0,1,left,J. Hart 8' cutting Layup (2 PTS) (O. Anunoby 1 AST),"[1628404, 1628384]",1610612752.0,NYK,cutting,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Made,2.0,8.42,,O. Anunoby,1628384.0,1.0,,,,,,,,
51,PT07M46.00S,2025-02-23T18:18:03.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,66.04796320630749,35.049019607843135,1610612738,13,8,2025-02-23T18:18:08Z,510000,False,-75.0,267.0,1,right,MISS J. Tatum 27' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,,,Missed,,27.69,,,,,,,,,,,,
52,PT07M45.00S,2025-02-23T18:18:04.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,13,8,2025-02-23T18:18:08Z,520000,False,,,0,,K. Towns REBOUND (Off:0 Def:4),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,,,,,,,,,51.0,,,,4.0,4.0,0.0,,,,,
53,PT07M35.00S,2025-02-23T18:18:14.7Z,1,REGULAR,3pt,Jump Shot,[],1628973,30.831143232588698,23.774509803921568,1610612752,13,8,2025-02-23T18:18:22Z,530000,False,131.0,237.0,1,left,MISS J. Brunson 27' pullup 3PT,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,27.11,,,,,,,,,,,,
54,PT07M33.00S,2025-02-23T18:18:16.7Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,13,8,2025-02-23T18:18:22Z,540000,False,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,,53.0,,,,2.0,2.0,0.0,,,,,
55,PT07M29.00S,2025-02-23T18:18:20.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201950,93.11760840998686,47.05882352941176,1610612738,15,8,2025-02-23T18:18:25Z,550000,False,-15.0,12.0,1,right,J. Holiday running Layup (6 PTS) (D. White 1 AST),"[201950, 1628401]",1610612738.0,BOS,running,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,Made,6.0,1.91,,D. White,1628401.0,1.0,,,,,,,,
57,PT07M11.00S,2025-02-23T18:18:39.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,7.046649145860711,56.127450980392155,1610612752,15,8,2025-02-23T18:18:48Z,570000,False,-31.0,14.0,1,left,MISS J. Hart driving reverse Layup - blocked,"[1628404, 204001]",1610612752.0,NYK,driving reverse,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.35,,,,,,,,Porziņģis,204001.0,,,
58,PT07M11.00S,2025-02-23T18:18:39.4Z,1,REGULAR,block,,[],204001,,,1610612752,15,8,2025-02-23T18:18:42Z,580000,False,,,0,,K. Porziņģis BLOCK (1 BLK),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT07M10.00S,2025-02-23T18:18:40.4Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,15,8,2025-02-23T18:18:48Z,590000,False,,,0,,D. White REBOUND (Off:0 Def:3),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,57.0,,,,3.0,3.0,0.0,,,,,
60,PT07M03.00S,2025-02-23T18:18:46.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",204001,92.19776609724047,47.794117647058826,1610612738,17,8,2025-02-23T18:19:21Z,600000,False,-11.0,21.0,1,right,K. Porziņģis running DUNK (5 PTS) (J. Holiday 1 AST),"[204001, 201950]",1610612738.0,BOS,running,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,2.35,,J. Holiday,201950.0,1.0,,,,,,,,
62,PT07M03.00S,2025-02-23T18:18:51.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,17,8,2025-02-23T18:18:51Z,620000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M44.00S,2025-02-23T18:22:46.5Z,1,REGULAR,3pt,Jump Shot,[],1628384,30.831143232588698,75.73529411764706,1610612752,17,8,2025-02-23T18:23:34Z,630000,False,-129.0,237.0,1,left,MISS O. Anunoby 27' 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,27.0,,,,,,,,,,,,
64,PT06M43.00S,2025-02-23T18:22:47.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,17,8,2025-02-23T18:22:53Z,640000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,,,63.0,,,,3.0,3.0,0.0,,,,,
68,PT06M24.00S,2025-02-23T18:23:21.7Z,1,REGULAR,2pt,Jump Shot,[],204001,87.59855453350855,30.14705882352941,1610612738,19,8,2025-02-23T18:26:41Z,680000,False,-99.0,64.0,1,right,K. Porziņģis 11' pullup bank Jump Shot (7 PTS) (D. White 2 AST),"[204001, 1628401]",1610612738.0,BOS,pullup bank,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,8-16 Left,,,,,,Made,7.0,11.82,,D. White,1628401.0,2.0,,,,,,,,
70,PT06M07.00S,2025-02-23T18:23:39.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,13.485545335085414,61.51960784313726,1610612752,19,8,2025-02-23T18:23:51Z,700000,False,-58.0,74.0,1,left,MISS M. Bridges 9' fadeaway Shot,[1628969],1610612752.0,NYK,fadeaway,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Left,,,,,,Missed,,9.4,,,,,,,,,,,,
71,PT06M06.00S,2025-02-23T18:23:40.2Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612752,19,8,2025-02-23T18:23:51Z,710000,False,,,0,,J. Hart REBOUND (Off:1 Def:0),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,70.0,,,,1.0,0.0,1.0,,,,,
72,PT06M05.00S,2025-02-23T18:23:46.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628404,6.044678055190539,47.06648284313725,1610612752,19,10,2025-02-23T18:23:57Z,720000,False,15.0,4.0,1,left,J. Hart putback Layup (4 PTS),[1628404],1610612752.0,NYK,putback,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,1.53,,,,,,,,,,,,
73,PT05M45.00S,2025-02-23T18:24:00.7Z,1,REGULAR,3pt,Jump Shot,[],201950,93.9060446780552,94.11764705882352,1610612738,22,10,2025-02-23T18:24:04Z,730000,False,221.0,5.0,1,right,J. Holiday 3PT  (9 PTS) (D. White 3 AST),"[201950, 1628401]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,,,,,,Made,9.0,22.07,,D. White,1628401.0,3.0,,,,,,,,
75,PT05M22.00S,2025-02-23T18:24:24.0Z,1,REGULAR,3pt,Jump Shot,[],1628384,10.85742444152431,94.6078431372549,1610612752,22,10,2025-02-23T18:24:30Z,750000,False,-223.0,50.0,1,left,MISS O. Anunoby 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,,,,Missed,,22.84,,,,,,,,,,,,
76,PT05M21.00S,2025-02-23T18:24:25.0Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,22,10,2025-02-23T18:24:30Z,760000,False,,,0,,D. White REBOUND (Off:0 Def:4),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,,,,,,,,,75.0,,,,4.0,4.0,0.0,,,,,
77,PT05M19.00S,2025-02-23T18:24:29.9Z,1,REGULAR,turnover,out-of-bounds,[],1628401,,,1610612738,22,10,2025-02-23T18:24:43Z,770000,False,,,0,,D. White step out-of-bounds TURNOVER (1 TO),[1628401],1610612738.0,BOS,step,,,White,D. White,,,,,Above the Break 3,24+ Left Center,202053.0,,,,,,,,,,,,,,,,,1.0,,
78,PT05M19.00S,2025-02-23T18:24:38.9Z,1,REGULAR,substitution,out,[],201950,,,1610612752,22,10,2025-02-23T18:24:46Z,780000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M19.00S,2025-02-23T18:24:38.9Z,1,REGULAR,substitution,out,[],1627759,,,1610612752,22,10,2025-02-23T18:24:46Z,790000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M19.00S,2025-02-23T18:24:38.9Z,1,REGULAR,substitution,out,[],204001,,,1610612752,22,10,2025-02-23T18:24:46Z,800000,False,,,0,,SUB out: K. Porziņģis,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M19.00S,2025-02-23T18:24:38.9Z,1,REGULAR,substitution,out,[],1628401,,,1610612752,22,10,2025-02-23T18:24:46Z,810000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M19.00S,2025-02-23T18:24:38.9Z,1,REGULAR,substitution,in,[],1630202,,,1610612752,22,10,2025-02-23T18:24:46Z,820000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M19.00S,2025-02-23T18:24:38.9Z,1,REGULAR,substitution,in,[],1630573,,,1610612752,22,10,2025-02-23T18:24:46Z,830000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M19.00S,2025-02-23T18:24:38.9Z,1,REGULAR,substitution,in,[],1628436,,,1610612752,22,10,2025-02-23T18:24:46Z,840000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M19.00S,2025-02-23T18:24:38.9Z,1,REGULAR,substitution,in,[],201143,,,1610612752,22,10,2025-02-23T18:24:46Z,850000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M00.00S,2025-02-23T18:25:18.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628404,13.66622864651774,8.846507352941178,1610612752,22,10,2025-02-23T18:25:29Z,860000,False,206.0,76.0,1,left,MISS J. Hart 21' step back Shot,[1628404],1610612752.0,NYK,step back,,,Hart,J. Hart,,,,,Mid-Range,16-24 Right,,,,,,Missed,,21.94,,,,,,,,,,,,
88,PT04M59.00S,2025-02-23T18:25:19.4Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,22,10,2025-02-23T18:26:14Z,870000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Mid-Range,16-24 Right,,,,,,,,,87.0,,,,1.0,1.0,0.0,,,,,
