actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
15,PT10M39.00S,2024-12-08T01:12:17.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628991,91.27792378449409,55.392156862745104,1610612763,0,2,2024-12-08T01:12:23Z,150000,False,27.0,29.0,1,right,MISS J. Jackson Jr. Hook,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,4.0,Missed,,,,,,,,,,,,,,,,
16,PT10M37.00S,2024-12-08T01:12:19.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,2,2024-12-08T01:12:23Z,160000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,
17,PT10M27.00S,2024-12-08T01:12:30.6Z,1,REGULAR,3pt,Jump Shot,[],1628369,32.013797634691194,69.85294117647058,1610612738,0,2,2024-12-08T01:13:35Z,170000,False,-99.0,248.0,1,left,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,26.75,Missed,,,,,,,,,,,,,,,,
18,PT10M23.00S,2024-12-08T01:12:34.6Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,0,2,2024-12-08T01:12:35Z,180000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,
19,PT10M08.00S,2024-12-08T01:12:48.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,93.51182654402102,44.6078431372549,1610612763,0,2,2024-12-08T01:14:08Z,190000,False,-27.0,8.0,1,right,MISS D. Bane driving Layup,[1630217],1610612763.0,MEM,driving,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,,,2.83,Missed,,,,,,,,,,,,,,,,
20,PT10M05.00S,2024-12-08T01:12:51.7Z,1,REGULAR,rebound,offensive,[],1629634,,,1610612763,0,2,2024-12-08T01:12:51Z,200000,False,,,0,,B. Clarke REBOUND (Off:1 Def:0),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,,,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,
21,PT10M05.00S,2024-12-08T01:12:51.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629634,94.40999984741211,50.0,1610612763,0,2,2024-12-08T01:12:51Z,210000,False,0.0,0.0,1,right,MISS B. Clarke tip Layup,[1629634],1610612763.0,MEM,tip,,,Clarke,B. Clarke,,,,,Mid-Range,8-16 Left,,,0.0,Missed,,,,,,,,,,,,,,,,
22,PT10M04.00S,2024-12-08T01:12:52.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,2,2024-12-08T01:12:52Z,220000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,
23,PT10M04.00S,2024-12-08T01:12:53.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,7.046649145860711,51.9607843137255,1610612738,2,2,2024-12-08T01:13:00Z,230000,False,-10.0,14.0,1,left,J. Tatum running Layup (2 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,1.68,Made,,,,,2.0,J. Brown,1627759.0,1.0,,,,,,,,
25,PT09M50.00S,2024-12-08T01:13:06.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629634,87.72996057818659,42.64705882352941,1610612763,2,4,2024-12-08T01:14:54Z,250000,False,-37.0,63.0,1,right,B. Clarke 7' driving bank Hook (2 PTS) (J. Jackson Jr. 1 AST),"[1629634, 1628991]",1610612763.0,MEM,driving bank,,,Clarke,B. Clarke,,,,,In The Paint (Non-RA),0-8 Center,,,7.28,Made,,,,,2.0,J. Jackson Jr.,1628991.0,1.0,,,,,,,,
27,PT09M34.00S,2024-12-08T01:13:22.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,7.046649145860711,58.333333333333336,1610612738,2,4,2024-12-08T02:11:40Z,270000,False,-42.0,14.0,1,left,MISS J. Holiday cutting Layup - blocked,"[201950, 1628991]",1610612738.0,BOS,cutting,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,4.39,Missed,,,,,,,,,Jackson Jr.,1628991.0,,,,,,
28,PT09M34.00S,2024-12-08T01:13:22.6Z,1,REGULAR,block,,[],1628991,,,1610612738,2,4,2024-12-08T01:13:24Z,280000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M32.00S,2024-12-08T01:13:24.6Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,2,4,2024-12-08T01:13:28Z,290000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,
30,PT09M31.00S,2024-12-08T01:13:28.3Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612763,2,4,2024-12-08T01:13:40Z,300000,False,,,0,,J. Tatum shooting personal FOUL (1 PF) (Morant 2 FT),"[1628369, 1629630]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1628159.0,,,,,,,,,,,,,,1.0,0.0,Morant,1629630.0,,
32,PT09M31.00S,2024-12-08T01:13:54.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629630,,,1610612763,2,5,2024-12-08T01:13:54Z,320000,False,,,0,,J. Morant Free Throw 1 of 2 (1 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
33,PT09M31.00S,2024-12-08T01:14:09.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629630,,,1610612763,2,6,2024-12-08T01:14:09Z,330000,False,,,0,,J. Morant Free Throw 2 of 2 (2 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,Made,,,,,2.0,,,,,,,,,,,
34,PT09M19.00S,2024-12-08T01:14:22.4Z,1,REGULAR,3pt,Jump Shot,[],201950,7.440867279894875,95.58823529411765,1610612738,2,6,2024-12-08T01:14:28Z,340000,False,-228.0,17.0,1,left,MISS J. Holiday 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Left Corner 3,24+ Left,,,22.86,Missed,,,,,,,,,,,,,,,,
35,PT09M16.00S,2024-12-08T01:14:25.4Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,2,6,2024-12-08T01:14:28Z,350000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:3),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Left Corner 3,24+ Left,,,,,34.0,3.0,3.0,0.0,,,,,,,,,,,,
36,PT09M10.00S,2024-12-08T01:14:31.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,92.85479632063075,54.166666666666664,1610612763,2,6,2024-12-08T01:16:33Z,360000,False,21.0,15.0,1,right,MISS J. Morant driving Layup - blocked,"[1629630, 201950]",1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,,2.55,Missed,,,,,,,,,Holiday,201950.0,,,,,,
37,PT09M10.00S,2024-12-08T01:14:31.7Z,1,REGULAR,block,,[],201950,,,1610612763,2,6,2024-12-08T01:15:57Z,370000,False,,,0,,J. Holiday BLOCK (1 BLK),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
38,PT09M07.00S,2024-12-08T01:14:34.7Z,1,REGULAR,rebound,offensive,[],1629630,,,1610612763,2,6,2024-12-08T01:14:36Z,380000,False,,,0,,J. Morant REBOUND (Off:1 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,,,,36.0,2.0,1.0,1.0,,,,,,,,,,,,
39,PT09M05.00S,2024-12-08T01:14:36.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629630,91.5407358738502,46.81372549019608,1610612763,2,6,2024-12-08T01:17:00Z,390000,False,-16.0,27.0,1,right,MISS J. Morant reverse Layup - blocked,"[1629630, 204001]",1610612763.0,MEM,reverse,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,,3.13,Missed,,,,,,,,,Porziņģis,204001.0,,,,,,
40,PT09M05.00S,2024-12-08T01:14:36.1Z,1,REGULAR,block,,[],204001,,,1610612763,2,6,2024-12-08T01:14:38Z,400000,False,,,0,,K. Porziņģis BLOCK (1 BLK),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT09M02.00S,2024-12-08T01:14:39.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,6,2024-12-08T01:14:42Z,410000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,
42,PT08M55.00S,2024-12-08T01:14:45.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,9.937582128777924,62.254901960784316,1610612738,2,6,2024-12-08T01:17:54Z,420000,False,-61.0,41.0,1,left,MISS K. Porziņģis 7' driving floating Shot - blocked,"[204001, 1629634]",1610612738.0,BOS,driving floating,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),0-8 Center,,,7.37,Missed,,,,,,,,,Clarke,1629634.0,,,,,,
43,PT08M55.00S,2024-12-08T01:14:45.8Z,1,REGULAR,block,,[],1629634,,,1610612738,2,6,2024-12-08T01:14:48Z,430000,False,,,0,,B. Clarke BLOCK (1 BLK),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT08M52.00S,2024-12-08T01:14:48.8Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,2,6,2024-12-08T01:14:54Z,440000,False,,,0,,J. Morant REBOUND (Off:1 Def:2),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,,,,,42.0,3.0,2.0,1.0,,,,,,,,,,,,
45,PT08M50.00S,2024-12-08T01:14:55.6Z,1,REGULAR,foul,offensive,[],1630217,,,1610612763,2,6,2024-12-08T01:15:20Z,450000,False,,,0,,D. Bane charge offensive FOUL (1 PF),"[1630217, 1628401]",1610612763.0,MEM,charge,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,201246.0,,,,,,,,,,,,,,1.0,0.0,White,1628401.0,,
47,PT08M50.00S,2024-12-08T01:14:55.6Z,1,REGULAR,turnover,offensive foul,[],1630217,,,1610612763,2,6,2024-12-08T01:14:55Z,470000,False,,,0,,D. Bane offensive foul TURNOVER (1 TO),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,201246.0,1.0,,,,,,,,,,,,,,,,,,
48,PT08M50.00S,2024-12-08T01:15:07.9Z,1,REGULAR,substitution,out,[],1642377,,,1610612738,2,6,2024-12-08T01:15:16Z,480000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M50.00S,2024-12-08T01:15:07.9Z,1,REGULAR,substitution,in,[],203935,,,1610612738,2,6,2024-12-08T01:15:16Z,490000,False,,,0,,SUB in: M. Smart,[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M38.00S,2024-12-08T01:15:36.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201950,5.995400788436268,97.05882352941177,1610612738,5,6,2024-12-08T01:15:41Z,500000,False,-235.0,4.0,1,left,J. Holiday 3PT  (3 PTS) (J. Brown 2 AST),"[201950, 1627759]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Left Corner 3,24+ Left,,,23.53,Made,,,,,3.0,J. Brown,1627759.0,2.0,,,,,,,,
52,PT08M30.00S,2024-12-08T01:15:44.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,86.5473061760841,53.431372549019606,1610612763,5,6,2024-12-08T01:15:50Z,520000,False,17.0,74.0,1,right,MISS M. Smart 7' pullup Shot,[203935],1610612763.0,MEM,pullup,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,,,7.6,Missed,,,,,,,,,,,,,,,,
53,PT08M27.00S,2024-12-08T01:15:47.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,6,2024-12-08T01:15:50Z,530000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,52.0,3.0,3.0,0.0,,,,,,,,,,,,
54,PT08M20.00S,2024-12-08T01:15:54.3Z,1,REGULAR,3pt,Jump Shot,[],201950,6.389618922470433,3.6764705882352944,1610612738,5,6,2024-12-08T01:16:03Z,540000,False,232.0,8.0,1,left,MISS J. Holiday 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,,,23.17,Missed,,,,,,,,,,,,,,,,
55,PT08M18.00S,2024-12-08T01:15:56.8Z,1,REGULAR,rebound,offensive,[],204001,,,1610612738,5,6,2024-12-08T01:15:56Z,550000,False,,,0,,K. Porziņģis REBOUND (Off:1 Def:0),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Right Corner 3,24+ Right,,,,,54.0,1.0,0.0,1.0,,,,,,,,,,,,
56,PT08M10.00S,2024-12-08T01:16:04.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201950,5.732588699080158,95.58823529411765,1610612738,5,6,2024-12-08T02:13:49Z,560000,False,-228.0,1.0,1,left,MISS J. Holiday pullup 3PT,[201950],1610612738.0,BOS,pullup,,,Holiday,J. Holiday,,,,,Left Corner 3,24+ Left,,,22.79,Missed,,,,,,,,,,,,,,,,
57,PT08M07.00S,2024-12-08T01:16:07.8Z,1,REGULAR,rebound,defensive,[],1629634,,,1610612763,5,6,2024-12-08T01:16:09Z,570000,False,,,0,,B. Clarke REBOUND (Off:1 Def:1),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,Left Corner 3,24+ Left,,,,,56.0,2.0,1.0,1.0,,,,,,,,,,,,
59,PT07M58.00S,2024-12-08T01:16:18.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,92.32917214191852,45.09803921568628,1610612763,5,8,2024-12-08T01:16:32Z,590000,False,-25.0,20.0,1,right,J. Jackson Jr. driving Layup (2 PTS) (B. Clarke 1 AST),"[1628991, 1629634]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,3.14,Made,,,,,2.0,B. Clarke,1629634.0,1.0,,,,,,,,
61,PT07M44.00S,2024-12-08T01:16:29.9Z,1,REGULAR,3pt,Jump Shot,[],1628401,9.017739816031538,2.450980392156863,1610612738,8,8,2024-12-08T01:16:36Z,610000,False,238.0,32.0,1,left,D. White 3PT  (3 PTS) (K. Porziņģis 1 AST),"[1628401, 204001]",1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,,,23.99,Made,,,,,3.0,K. Porziņģis,204001.0,1.0,,,,,,,,
63,PT07M26.00S,2024-12-08T01:16:48.7Z,1,REGULAR,3pt,Jump Shot,[],1629630,90.3580814717477,96.07843137254902,1610612763,8,11,2024-12-08T01:19:52Z,630000,False,230.0,38.0,1,right,J. Morant 3PT pullup (5 PTS) (D. Bane 1 AST),"[1629630, 1630217]",1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,Right Corner 3,24+ Right,,,23.35,Made,,,,,5.0,D. Bane,1630217.0,1.0,,,,,,,,
65,PT07M14.00S,2024-12-08T01:17:00.1Z,1,REGULAR,3pt,Jump Shot,[],204001,31.61957950065703,21.568627450980394,1610612738,8,11,2024-12-08T01:17:05Z,650000,False,142.0,245.0,1,left,MISS K. Porziņģis 28' 3PT,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Right Center,,,28.3,Missed,,,,,,,,,,,,,,,,
66,PT07M11.00S,2024-12-08T01:17:03.1Z,1,REGULAR,rebound,defensive,[],1629634,,,1610612763,8,11,2024-12-08T01:17:05Z,660000,False,,,0,,B. Clarke REBOUND (Off:1 Def:2),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,Above the Break 3,24+ Right Center,,,,,65.0,3.0,2.0,1.0,,,,,,,,,,,,
67,PT07M07.00S,2024-12-08T01:17:08.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629634,90.09526938239159,48.28431372549019,1610612763,8,13,2024-12-08T01:21:00Z,670000,False,-9.0,41.0,1,right,B. Clarke running Layup (4 PTS),[1629634],1610612763.0,MEM,running,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,,,4.15,Made,,,,,4.0,,,,,,,,,,,
68,PT07M07.00S,2024-12-08T01:17:14.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,8,13,2024-12-08T01:17:14Z,680000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M54.00S,2024-12-08T01:20:20.6Z,1,REGULAR,3pt,Jump Shot,[],204001,29.77989487516426,20.34313725490196,1610612738,8,13,2024-12-08T01:20:27Z,690000,False,148.0,227.0,1,left,MISS K. Porziņģis 27' 3PT,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Right Center,,,27.15,Missed,,,,,,,,,,,,,,,,
70,PT06M50.00S,2024-12-08T01:20:24.6Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,8,13,2024-12-08T01:20:27Z,700000,False,,,0,,J. Morant REBOUND (Off:1 Def:3),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Right Center,,,,,69.0,4.0,3.0,1.0,,,,,,,,,,,,
71,PT06M48.00S,2024-12-08T01:20:26.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,68.80749014454665,24.264705882352942,1610612763,8,16,2024-12-08T01:21:30Z,710000,False,-129.0,241.0,1,right,D. Bane 27' 3PT running pullup (5 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,running pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,,,27.29,Made,,,,,5.0,J. Morant,1629630.0,1.0,,,,,,,,
73,PT06M28.00S,2024-12-08T01:20:45.3Z,1,REGULAR,3pt,Jump Shot,[],201950,28.86005256241787,18.137254901960784,1610612738,8,16,2024-12-08T01:21:55Z,730000,False,159.0,219.0,1,left,MISS J. Holiday 27' pullup 3PT,[201950],1610612738.0,BOS,pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,27.06,Missed,,,,,,,,,,,,,,,,
74,PT06M25.00S,2024-12-08T01:20:48.3Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,8,16,2024-12-08T01:20:50Z,740000,False,,,0,,J. Morant REBOUND (Off:1 Def:4),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Right Center,,,,,73.0,5.0,4.0,1.0,,,,,,,,,,,,
75,PT06M15.00S,2024-12-08T01:20:58.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,89.96386333771353,57.84313725490197,1610612763,8,18,2024-12-08T01:21:04Z,750000,False,39.0,42.0,1,right,J. Jackson Jr. driving Hook (4 PTS),[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,5.73,Made,,,,,4.0,,,,,,,,,,,
76,PT06M05.00S,2024-12-08T01:21:10.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,7.046649145860711,51.71568627450981,1610612738,10,18,2024-12-08T01:21:17Z,760000,False,-9.0,14.0,1,left,J. Holiday driving reverse Layup (5 PTS) (J. Brown 3 AST),"[201950, 1627759]",1610612738.0,BOS,driving reverse,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,1.62,Made,,,,,5.0,J. Brown,1627759.0,3.0,,,,,,,,
78,PT06M05.00S,2024-12-08T01:21:14.2Z,1,REGULAR,foul,personal,['1freethrow'],1628991,,,1610612738,10,18,2024-12-08T01:21:43Z,780000,False,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Holiday 1 FT),"[1628991, 201950]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,1628159.0,,,,,,,,,,,,,,1.0,0.0,Holiday,201950.0,,
80,PT06M05.00S,2024-12-08T01:21:22.7Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,10,18,2024-12-08T01:21:29Z,800000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M05.00S,2024-12-08T01:21:22.7Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,10,18,2024-12-08T01:21:29Z,810000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
