actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
18,PT10M32.00S,2025-04-13T17:12:47.2Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,5,3,2025-04-13T17:12:50Z,180000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,17.0,,,,1.0,1.0,0.0,,,,,
19,PT10M29.00S,2025-04-13T17:12:51.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631248,30.831143232588698,13.23529411764706,1610612738,5,3,2025-04-13T17:14:08Z,190000,False,184.0,237.0,1,left,MISS B. Scheierman 30' running 3PT,[1631248],1610612738.0,BOS,running,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Right Center,30.02,Missed,,,,,,,,,,,,,,,,,,
20,PT10M26.00S,2025-04-13T17:12:54.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,5,3,2025-04-13T17:13:15Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,19.0,,,,,,,,,,,
22,PT10M23.00S,2025-04-13T17:13:12.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630573,28.07161629434954,9.803921568627452,1610612738,8,3,2025-04-13T17:13:22Z,220000,False,201.0,211.0,1,left,S. Hauser 29' 3PT  (3 PTS) (P. Pritchard 1 AST),"[1630573, 1630202]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,29.17,Made,3.0,,,,,,,P. Pritchard,1630202.0,1.0,,,,,,,,
26,PT10M00.00S,2025-04-13T17:13:47.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,92.59198423127464,53.67647058823529,1610612766,8,5,2025-04-13T17:17:12Z,250000,False,18.0,17.0,1,right,J. Nurkić Layup (5 PTS) (J. Okogie 1 AST),"[203994, 1629006]",1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,2.51,Made,5.0,,,,,,,J. Okogie,1629006.0,1.0,,,,,,,,
28,PT09M39.00S,2025-04-13T17:14:08.4Z,1,REGULAR,3pt,Jump Shot,[],1630202,33.327858081471746,43.13725490196079,1610612738,8,5,2025-04-13T17:14:14Z,270000,False,34.0,261.0,1,left,MISS P. Pritchard 26' step back 3PT,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,26.3,Missed,,,,,,,,,,,,,,,,,,
29,PT09M35.00S,2025-04-13T17:14:12.4Z,1,REGULAR,rebound,defensive,[],1642354,,,1610612766,8,5,2025-04-13T17:14:14Z,280000,False,,,0,,K. Simpson REBOUND (Off:0 Def:1),[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,Above the Break 3,24+ Center,,,,,,,,,28.0,,,,1.0,1.0,0.0,,,,,
30,PT09M31.00S,2025-04-13T17:14:15.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629006,88.64980289093299,96.32352941176471,1610612766,8,5,2025-04-13T17:17:58Z,290000,False,232.0,54.0,1,right,MISS J. Okogie running 3PT,[1629006],1610612766.0,CHA,running,,,Okogie,J. Okogie,,,,,Right Corner 3,24+ Right,23.79,Missed,,,,,,,,,,,,,,,,,,
31,PT09M29.00S,2025-04-13T17:14:17.7Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612738,8,5,2025-04-13T17:14:20Z,300000,False,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Right Corner 3,24+ Right,,,,,,,,,30.0,,,,1.0,1.0,0.0,,,,,
32,PT09M17.00S,2025-04-13T17:14:30.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630573,17.16491458607096,50.73529411764706,1610612738,8,5,2025-04-13T17:18:37Z,310000,False,-4.0,109.0,1,left,MISS S. Hauser 10' driving floating Shot,[1630573],1610612738.0,BOS,driving floating,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),8-16 Center,10.9,Missed,,,,,,,,,,,,,,,,,,
33,PT09M14.00S,2025-04-13T17:14:33.2Z,1,REGULAR,rebound,defensive,[],1642275,,,1610612766,8,5,2025-04-13T17:18:37Z,320000,False,,,0,,T. Salaün REBOUND (Off:0 Def:1),[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,32.0,,,,1.0,1.0,0.0,,,,,
34,PT08M53.00S,2025-04-13T17:14:54.3Z,1,REGULAR,3pt,Jump Shot,[],203994,89.04402102496715,96.32352941176471,1610612766,8,5,2025-04-13T17:15:02Z,330000,False,232.0,50.0,1,right,MISS J. Nurkić 3PT,[203994],1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,Right Corner 3,24+ Right,23.7,Missed,,,,,,,,,,,,,,,,,,
35,PT08M52.00S,2025-04-13T17:15:01.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,8,5,2025-04-13T17:15:01Z,340000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,34.0,,,,,,,,,,,
36,PT08M52.00S,2025-04-13T17:15:02.4Z,1,REGULAR,foul,personal,[],1642275,,,1610612738,8,5,2025-04-13T17:15:14Z,350000,False,,,0,,T. Salaün personal FOUL (1 PF),"[1642275, 1631248]",1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,Restricted Area,0-8 Center,,,,200832.0,1.0,0.0,Scheierman,1631248.0,,,,,,,,,,,,
38,PT08M40.00S,2025-04-13T17:15:25.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628470,9.543363994743759,57.59803921568627,1610612738,8,5,2025-04-13T17:19:33Z,370000,False,-38.0,37.0,1,left,MISS T. Craig driving floating Shot,[1628470],1610612738.0,BOS,driving floating,,,Craig,T. Craig,,,,,In The Paint (Non-RA),0-8 Center,5.32,Missed,,,,,,,,,,,,,,,,,,
39,PT08M38.00S,2025-04-13T17:15:27.5Z,1,REGULAR,rebound,defensive,[],1642275,,,1610612766,8,5,2025-04-13T17:15:31Z,380000,False,,,0,,T. Salaün REBOUND (Off:0 Def:2),[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,38.0,,,,2.0,2.0,0.0,,,,,
40,PT08M31.00S,2025-04-13T17:15:34.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642275,91.14651773981603,62.5,1610612766,8,5,2025-04-13T17:15:40Z,390000,False,62.0,31.0,1,right,MISS T. Salaün 6' driving DUNK - blocked,"[1642275, 1628436]",1610612766.0,CHA,driving,,,Salaün,T. Salaün,,,,,In The Paint (Non-RA),0-8 Center,6.96,Missed,,,,,,,,,,,,,,Kornet,1628436.0,,,
41,PT08M31.00S,2025-04-13T17:15:34.5Z,1,REGULAR,block,,[],1628436,,,1610612766,8,5,2025-04-13T17:15:36Z,400000,False,,,0,,L. Kornet BLOCK (1 BLK),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M28.00S,2025-04-13T17:15:37.5Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612738,8,5,2025-04-13T17:15:40Z,410000,False,,,0,,L. Kornet REBOUND (Off:0 Def:2),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,40.0,,,,2.0,2.0,0.0,,,,,
44,PT08M09.00S,2025-04-13T17:16:13.0Z,1,REGULAR,2pt,Jump Shot,[],1628436,23.209592641261498,61.76470588235294,1610612738,10,5,2025-04-13T17:21:47Z,430000,False,-59.0,166.0,1,left,L. Kornet 17' pullup Jump Shot (2 PTS),[1628436],1610612738.0,BOS,pullup,,,Kornet,L. Kornet,,,,,Mid-Range,16-24 Left Center,17.58,Made,2.0,,,,,,,,,,,,,,,,,
45,PT07M52.00S,2025-04-13T17:16:29.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642275,82.07950065703022,49.754901960784316,1610612766,10,5,2025-04-13T17:16:35Z,440000,False,-1.0,116.0,1,right,MISS T. Salaün 11' driving floating Shot,[1642275],1610612766.0,CHA,driving floating,,,Salaün,T. Salaün,,,,,In The Paint (Non-RA),8-16 Center,11.6,Missed,,,,,,,,,,,,,,,,,,
46,PT07M50.00S,2025-04-13T17:16:31.5Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612738,10,5,2025-04-13T17:16:43Z,450000,False,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612738.0,BOS,,,,Craig,T. Craig,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,45.0,,,,1.0,1.0,0.0,,,,,
47,PT07M36.00S,2025-04-13T17:16:46.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628436,6.915243101182654,41.66666666666667,1610612738,10,5,2025-04-13T17:25:40Z,460000,False,42.0,13.0,1,left,MISS L. Kornet cutting DUNK - blocked,"[1628436, 203994]",1610612738.0,BOS,cutting,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),0-8 Center,4.35,Missed,,,,,,,,,,,,,,Nurkić,203994.0,,,
48,PT07M36.00S,2025-04-13T17:16:46.9Z,1,REGULAR,block,,[],203994,,,1610612738,10,5,2025-04-13T17:16:48Z,470000,False,,,0,,J. Nurkić BLOCK (1 BLK),[203994],1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
52,PT07M35.00S,2025-04-13T17:16:47.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,10,5,2025-04-13T17:25:40Z,480000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,47.0,,,,,,,,,,,
49,PT07M35.00S,2025-04-13T17:17:20.3Z,1,REGULAR,jumpball,recovered,[],1630202,,,1610612738,10,5,2025-04-13T17:25:29Z,490000,False,,,0,,Jump Ball L. Kornet vs. J. Nurkić: Tip to P. Pritchard,"[1630202, 1628436, 203994]",1610612738.0,BOS,heldball,P. Pritchard,1630202.0,Pritchard,P. Pritchard,Kornet,1628436.0,Nurkić,203994.0,,,,,,,,,,,,,,,,,,,,,,
53,PT07M26.00S,2025-04-13T17:17:24.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630202,10.85742444152431,37.99019607843137,1610612738,12,5,2025-04-13T17:17:34Z,520000,False,60.0,50.0,1,left,P. Pritchard 7' Layup (7 PTS),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),0-8 Center,7.78,Made,7.0,,,,,,,,,,,,,,,,,
54,PT07M09.00S,2025-04-13T17:17:41.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,88.78120893561103,48.28431372549019,1610612766,12,5,2025-04-13T17:17:47Z,530000,False,-9.0,53.0,1,right,MISS J. Nurkić driving Hook,[203994],1610612766.0,CHA,driving,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,5.37,Missed,,,,,,,,,,,,,,,,,,
55,PT07M05.00S,2025-04-13T17:17:45.5Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,12,5,2025-04-13T17:17:47Z,540000,False,,,0,,S. Hauser REBOUND (Off:0 Def:2),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,54.0,,,,2.0,2.0,0.0,,,,,
56,PT06M52.00S,2025-04-13T17:17:57.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628436,12.697109067017081,49.26470588235294,1610612738,14,5,2025-04-13T17:26:46Z,550000,False,4.0,67.0,1,left,L. Kornet 6' turnaround Jump Shot (4 PTS) (S. Hauser 1 AST),"[1628436, 1630573]",1610612738.0,BOS,turnaround,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),0-8 Center,6.7,Made,4.0,,,,,,,S. Hauser,1630573.0,1.0,,,,,,,,
58,PT06M31.00S,2025-04-13T17:18:18.9Z,1,REGULAR,3pt,Jump Shot,[],1642275,65.52233902759527,41.911764705882355,1610612766,14,5,2025-04-13T17:18:25Z,570000,False,-40.0,272.0,1,right,MISS T. Salaün 27' 3PT,[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,Above the Break 3,24+ Center,27.46,Missed,,,,,,,,,,,,,,,,,,
59,PT06M29.00S,2025-04-13T17:18:20.9Z,1,REGULAR,rebound,offensive,[],203994,,,1610612766,14,5,2025-04-13T17:18:25Z,580000,False,,,0,,J. Nurkić REBOUND (Off:1 Def:0),[203994],1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,Above the Break 3,24+ Center,,,,,,,,,58.0,,,,1.0,0.0,1.0,,,,,
60,PT06M27.00S,2025-04-13T17:18:23.3Z,1,REGULAR,turnover,lost ball,[],203994,,,1610612766,14,5,2025-04-13T17:18:28Z,590000,False,,,0,,J. Nurkić lost ball TURNOVER (1 TO),"[203994, 1630202]",1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,1.0,Pritchard,1630202.0
61,PT06M27.00S,2025-04-13T17:18:23.3Z,1,REGULAR,steal,,[],1630202,,,1610612738,14,5,2025-04-13T17:18:24Z,600000,False,,,0,,P. Pritchard STEAL (1 STL),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
62,PT06M21.00S,2025-04-13T17:18:29.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628470,9.674770039421814,5.147058823529411,1610612738,14,5,2025-04-13T17:18:36Z,610000,False,224.0,38.0,1,left,MISS T. Craig running 3PT,[1628470],1610612738.0,BOS,running,,,Craig,T. Craig,,,,,Right Corner 3,24+ Right,22.76,Missed,,,,,,,,,,,,,,,,,,
63,PT06M18.00S,2025-04-13T17:18:32.1Z,1,REGULAR,rebound,defensive,[],1629006,,,1610612766,14,5,2025-04-13T17:18:36Z,620000,False,,,0,,J. Okogie REBOUND (Off:0 Def:1),[1629006],1610612766.0,CHA,,,,Okogie,J. Okogie,,,,,Right Corner 3,24+ Right,,,,,,,,,62.0,,,,1.0,1.0,0.0,,,,,
64,PT06M16.00S,2025-04-13T17:18:36.2Z,1,REGULAR,turnover,out-of-bounds,[],1629006,,,1610612766,14,5,2025-04-13T17:18:41Z,630000,False,,,0,,J. Okogie bad pass out-of-bounds TURNOVER (1 TO),[1629006],1610612766.0,CHA,bad pass,,,Okogie,J. Okogie,,,,,Mid-Range,8-16 Left,,,,203593.0,,,,,,,,,,,,,,1.0,,
65,PT06M16.00S,2025-04-13T17:18:43.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,14,5,2025-04-13T17:18:43Z,640000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M16.00S,2025-04-13T17:20:38.5Z,1,REGULAR,substitution,out,[],1628436,,,1610612738,14,5,2025-04-13T17:21:23Z,650000,False,,,0,,SUB out: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M16.00S,2025-04-13T17:20:38.5Z,1,REGULAR,substitution,out,[],1629006,,,1610612738,14,5,2025-04-13T17:21:23Z,660000,False,,,0,,SUB out: J. Okogie,[1629006],1610612766.0,CHA,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M16.00S,2025-04-13T17:20:38.5Z,1,REGULAR,substitution,in,[],1629674,,,1610612738,14,5,2025-04-13T17:21:23Z,670000,False,,,0,,SUB in: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M16.00S,2025-04-13T17:20:38.5Z,1,REGULAR,substitution,in,[],1631301,,,1610612738,14,5,2025-04-13T17:21:23Z,680000,False,,,0,,SUB in: J. Sims,[1631301],1610612766.0,CHA,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M07.00S,2025-04-13T17:21:41.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630573,32.40801576872536,30.392156862745097,1610612738,17,5,2025-04-13T17:21:46Z,690000,False,98.0,252.0,1,left,S. Hauser 27' 3PT pullup (6 PTS) (N. Queta 1 AST),"[1630573, 1629674]",1610612738.0,BOS,pullup,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,27.05,Made,6.0,,,,,,,N. Queta,1629674.0,1.0,,,,,,,,
72,PT05M54.00S,2025-04-13T17:21:52.5Z,1,REGULAR,3pt,Jump Shot,[],1629610,70.12155059132719,20.098039215686274,1610612766,17,5,2025-04-13T17:21:57Z,710000,False,-150.0,228.0,1,right,MISS D. Jeffries 27' 3PT,[1629610],1610612766.0,CHA,,,,Jeffries,D. Jeffries,,,,,Above the Break 3,24+ Left Center,27.3,Missed,,,,,,,,,,,,,,,,,,
73,PT05M52.00S,2025-04-13T17:21:54.5Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,17,5,2025-04-13T17:21:57Z,720000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,,,,,,,,,72.0,,,,1.0,1.0,0.0,,,,,
74,PT05M44.00S,2025-04-13T17:22:03.7Z,1,REGULAR,2pt,Jump Shot,[],1630202,24.392247043363994,42.15686274509804,1610612738,19,5,2025-04-13T17:22:08Z,730000,False,39.0,177.0,1,left,P. Pritchard 18' pullup Jump Shot (9 PTS),[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,Mid-Range,16-24 Center,18.11,Made,9.0,,,,,,,,,,,,,,,,,
75,PT05M30.00S,2025-04-13T17:22:17.8Z,1,REGULAR,3pt,Jump Shot,[],1629610,89.43823915900131,3.9215686274509802,1610612766,19,5,2025-04-13T17:22:21Z,740000,False,-230.0,47.0,1,right,MISS D. Jeffries 3PT,[1629610],1610612766.0,CHA,,,,Jeffries,D. Jeffries,,,,,Left Corner 3,24+ Left,23.51,Missed,,,,,,,,,,,,,,,,,,
76,PT05M28.00S,2025-04-13T17:22:19.8Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612738,19,5,2025-04-13T17:22:21Z,750000,False,,,0,,T. Craig REBOUND (Off:0 Def:2),[1628470],1610612738.0,BOS,,,,Craig,T. Craig,,,,,Left Corner 3,24+ Left,,,,,,,,,75.0,,,,2.0,2.0,0.0,,,,,
77,PT05M22.00S,2025-04-13T17:22:25.0Z,1,REGULAR,turnover,bad pass,[],1628470,,,1610612738,19,5,2025-04-13T17:22:31Z,760000,False,,,0,,T. Craig bad pass TURNOVER (1 TO),"[1628470, 203994]",1610612738.0,BOS,,,,Craig,T. Craig,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Nurkić,203994.0
78,PT05M22.00S,2025-04-13T17:22:25.0Z,1,REGULAR,steal,,[],203994,,,1610612766,19,5,2025-04-13T17:22:31Z,770000,False,,,0,,J. Nurkić STEAL (1 STL),[203994],1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
79,PT05M15.00S,2025-04-13T17:22:32.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642275,91.40932982917214,52.94117647058824,1610612766,19,5,2025-04-13T17:29:46Z,780000,False,15.0,28.0,1,right,MISS T. Salaün running reverse Layup,[1642275],1610612766.0,CHA,running reverse,,,Salaün,T. Salaün,,,,,Restricted Area,0-8 Center,3.19,Missed,,,,,,,,,,,,,,,,,,
80,PT05M13.00S,2025-04-13T17:22:34.7Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,19,5,2025-04-13T17:22:46Z,790000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,,79.0,,,,1.0,1.0,0.0,,,,,
81,PT05M10.00S,2025-04-13T17:22:37.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630573,32.670827858081466,65.44117647058823,1610612738,22,5,2025-04-13T17:30:12Z,800000,False,-77.0,255.0,1,left,S. Hauser 26' 3PT running pullup (9 PTS) (P. Pritchard 2 AST),"[1630573, 1630202]",1610612738.0,BOS,running pullup,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,26.6,Made,9.0,,,,,,,P. Pritchard,1630202.0,2.0,,,,,,,,
83,PT05M08.00S,2025-04-13T17:22:51.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,22,5,2025-04-13T17:22:51Z,820000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M08.00S,2025-04-13T17:24:42.9Z,1,REGULAR,substitution,out,[],1630202,,,1610612766,22,5,2025-04-13T17:25:28Z,830000,False,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M08.00S,2025-04-13T17:24:42.9Z,1,REGULAR,substitution,out,[],1628470,,,1610612766,22,5,2025-04-13T17:25:28Z,840000,False,,,0,,SUB out: T. Craig,[1628470],1610612738.0,BOS,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M08.00S,2025-04-13T17:24:42.9Z,1,REGULAR,substitution,out,[],1629610,,,1610612766,22,5,2025-04-13T17:25:28Z,850000,False,,,0,,SUB out: D. Jeffries,[1629610],1610612766.0,CHA,,,,Jeffries,D. Jeffries,,,,,,,,,,,,,,,,,,,,,,,,,,
