actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
16,PT11M10.00S,2025-12-31T02:12:17.4Z,1,REGULAR,foul,personal,['2freethrow'],1629674,,,1610612762,2,0,2025-12-31T02:12:28Z,160000,False,,,0,,N. Queta shooting personal FOUL (1 PF) (Markkanen 2 FT),"[1629674, 1628374]",1610612738.0,BOS,shooting,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,,,1193.0,1.0,0.0,Markkanen,1628374.0,,,,,,
18,PT11M10.00S,2025-12-31T02:12:41.5Z,1,REGULAR,freethrow,1 of 2,[],1628374,,,1610612762,3,0,2025-12-31T02:12:41Z,180000,False,,,0,,L. Markkanen Free Throw 1 of 2 (1 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
19,PT11M10.00S,2025-12-31T02:12:55.2Z,1,REGULAR,freethrow,2 of 2,[],1628374,,,1610612762,4,0,2025-12-31T02:12:55Z,190000,False,,,0,,L. Markkanen Free Throw 2 of 2 (2 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
20,PT10M54.00S,2025-12-31T02:13:14.9Z,1,REGULAR,2pt,Jump Shot,[],1629674,10.5946123521682,33.82352941176471,1610612738,4,2,2025-12-31T02:13:25Z,200000,False,81.0,47.0,1,left,N. Queta 9' floating Jump Shot (2 PTS) (P. Pritchard 1 AST),"[1629674, 1630202]",1610612738.0,BOS,floating,,,Queta,N. Queta,,,,,Mid-Range,8-16 Right,9.36,Made,,,,,,,2.0,,,,,,P. Pritchard,1630202.0,1.0,,,
22,PT10M42.00S,2025-12-31T02:13:27.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,81.02825229960578,49.50980392156863,1610612762,6,2,2025-12-31T02:13:31Z,220000,False,-2.0,126.0,1,right,J. Nurkić 12' floating Jump Shot (2 PTS) (K. George 1 AST),"[203994, 1641718]",1610612762.0,UTA,floating,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),8-16 Center,12.58,Made,,,,,,,2.0,,,,,,K. George,1641718.0,1.0,,,
24,PT10M33.00S,2025-12-31T02:13:36.1Z,1,REGULAR,3pt,Jump Shot,[],1641775,28.991458607095925,81.37254901960785,1610612738,6,2,2025-12-31T02:13:40Z,240000,False,-157.0,220.0,1,left,MISS J. Walsh 27' 3PT,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Left Center,27.02,Missed,,,,,,,,,,,,,,,,,,
25,PT10M31.00S,2025-12-31T02:13:38.1Z,1,REGULAR,rebound,defensive,[],203994,,,1610612762,6,2,2025-12-31T02:13:40Z,250000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:1),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Above the Break 3,24+ Left Center,,,24.0,,,1.0,1.0,0.0,,,,,,,,,,,,
26,PT10M22.00S,2025-12-31T02:13:47.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641718,82.21090670170827,39.21568627450981,1610612762,8,2,2025-12-31T02:13:51Z,260000,False,-54.0,115.0,1,right,K. George 12' pullup Jump Shot (4 PTS),[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,12.67,Made,,,,,,,4.0,,,,,,,,,,,
27,PT10M11.00S,2025-12-31T02:13:57.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,10.068988173455978,51.225490196078425,1610612738,8,4,2025-12-31T02:14:01Z,270000,False,-6.0,42.0,1,left,J. Brown driving Layup (2 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,4.25,Made,,,,,,,2.0,,,,,,,,,,,
28,PT09M58.00S,2025-12-31T02:14:10.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641718,89.56964520367937,56.372549019607845,1610612762,10,4,2025-12-31T02:14:35Z,280000,False,32.0,46.0,1,right,K. George cutting Layup (6 PTS) (J. Nurkić 1 AST),"[1641718, 203994]",1610612762.0,UTA,cutting,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,5.56,Made,,,,,,,6.0,,,,,,J. Nurkić,203994.0,1.0,,,
30,PT09M48.00S,2025-12-31T02:14:21.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629674,7.966491458607096,54.90196078431373,1610612738,10,6,2025-12-31T02:14:24Z,300000,False,-25.0,22.0,1,left,N. Queta Layup (4 PTS) (J. Brown 1 AST),"[1629674, 1627759]",1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,3.32,Made,,,,,,,4.0,,,,,,J. Brown,1627759.0,1.0,,,
32,PT09M32.00S,2025-12-31T02:14:37.0Z,1,REGULAR,2pt,Jump Shot,[],1641718,78.9257555847569,26.47058823529412,1610612762,10,6,2025-12-31T02:15:02Z,320000,False,-118.0,146.0,1,right,MISS K. George 18' driving floating Shot,[1641718],1610612762.0,UTA,driving floating,,,George,K. George,,,,,Mid-Range,16-24 Left Center,18.72,Missed,,,,,,,,,,,,,,,,,,
33,PT09M29.00S,2025-12-31T02:14:40.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,10,6,2025-12-31T02:14:41Z,330000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,32.0,,,1.0,1.0,0.0,,,,,,,,,,,,
34,PT09M22.00S,2025-12-31T02:14:47.3Z,1,REGULAR,2pt,Jump Shot,[],1627759,10.726018396846255,71.81372549019608,1610612738,10,6,2025-12-31T02:14:52Z,340000,False,-109.0,48.0,1,left,MISS J. Brown 11' turnaround Shot,[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,11.93,Missed,,,,,,,,,,,,,,,,,,
35,PT09M19.00S,2025-12-31T02:14:50.3Z,1,REGULAR,rebound,defensive,[],203994,,,1610612762,10,6,2025-12-31T02:14:52Z,350000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:2),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Mid-Range,8-16 Left,,,34.0,,,2.0,2.0,0.0,,,,,,,,,,,,
36,PT09M00.00S,2025-12-31T02:15:09.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,87.86136662286465,47.794117647058826,1610612762,12,6,2025-12-31T02:15:13Z,360000,False,-11.0,62.0,1,right,J. Nurkić 6' Layup (4 PTS) (K. George 2 AST),"[203994, 1641718]",1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,6.26,Made,,,,,,,4.0,,,,,,K. George,1641718.0,2.0,,,
38,PT08M48.00S,2025-12-31T02:15:21.3Z,1,REGULAR,3pt,Jump Shot,[],1641775,11.777266754270697,3.6764705882352944,1610612738,12,6,2025-12-31T02:15:26Z,380000,False,232.0,58.0,1,left,MISS J. Walsh 3PT,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Right Corner 3,24+ Right,23.88,Missed,,,,,,,,,,,,,,,,,,
39,PT08M44.00S,2025-12-31T02:15:25.3Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,12,6,2025-12-31T02:15:26Z,390000,False,,,0,,K. George REBOUND (Off:1 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Right Corner 3,24+ Right,,,38.0,,,2.0,1.0,1.0,,,,,,,,,,,,
40,PT08M37.00S,2025-12-31T02:15:31.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628374,92.59198423127464,56.61764705882353,1610612762,12,6,2025-12-31T02:16:59Z,400000,False,33.0,17.0,1,right,MISS L. Markkanen running Layup - blocked,"[1628374, 1628401]",1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,3.73,Missed,,White,1628401.0,,,,,,,,,,,,,,,
42,PT08M37.00S,2025-12-31T02:15:31.2Z,1,REGULAR,block,,[],1628401,,,1610612762,12,6,2025-12-31T02:18:10Z,405000,False,,,0,,D. White BLOCK (2 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT08M36.00S,2025-12-31T02:15:32.2Z,1,REGULAR,rebound,offensive,[],1641729,,,1610612762,12,6,2025-12-31T02:18:06Z,410000,False,,,0,,B. Sensabaugh REBOUND (Off:1 Def:0),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Restricted Area,0-8 Center,,,40.0,,,1.0,0.0,1.0,,,,,,,,,,,,
43,PT08M33.00S,2025-12-31T02:15:39.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203994,87.46714848883047,3.431372549019608,1610612762,15,6,2025-12-31T02:15:51Z,420000,False,-233.0,65.0,1,right,J. Nurkić 24' 3PT  (7 PTS) (B. Sensabaugh 1 AST),"[203994, 1641729]",1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Left Corner 3,24+ Left,24.18,Made,,,,,,,7.0,,,,,,B. Sensabaugh,1641729.0,1.0,,,
45,PT08M33.00S,2025-12-31T02:15:47.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,15,6,2025-12-31T02:15:47Z,440000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M20.00S,2025-12-31T02:18:50.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,22.683968462549277,10.53921568627451,1610612738,15,6,2025-12-31T02:18:56Z,450000,False,197.0,161.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,25.45,Missed,,,,,,,,,,,,,,,,,,
47,PT08M17.00S,2025-12-31T02:18:53.8Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,15,6,2025-12-31T02:18:56Z,460000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,,,46.0,,,1.0,1.0,0.0,,,,,,,,,,,,
48,PT08M10.00S,2025-12-31T02:19:01.2Z,1,REGULAR,3pt,Jump Shot,[],1641718,68.9388961892247,67.15686274509804,1610612762,18,6,2025-12-31T02:19:05Z,470000,False,86.0,239.0,1,right,K. George 25' 3PT  (9 PTS) (J. Nurkić 2 AST),"[1641718, 203994]",1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,25.44,Made,,,,,,,9.0,,,,,,J. Nurkić,203994.0,2.0,,,
50,PT07M57.00S,2025-12-31T02:19:13.7Z,1,REGULAR,3pt,Jump Shot,[],1630202,29.517082785808146,73.77450980392157,1610612738,18,9,2025-12-31T02:19:19Z,490000,False,-119.0,225.0,1,left,P. Pritchard 25' 3PT pullup (3 PTS) (D. White 1 AST),"[1630202, 1628401]",1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,25.45,Made,,,,,,,3.0,,,,,,D. White,1628401.0,1.0,,,
52,PT07M37.00S,2025-12-31T02:19:33.4Z,1,REGULAR,3pt,Jump Shot,[],1641729,68.15045992115637,51.9607843137255,1610612762,18,9,2025-12-31T02:19:39Z,510000,False,10.0,247.0,1,right,MISS B. Sensabaugh 24' 3PT,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Center,24.71,Missed,,,,,,,,,,,,,,,,,,
53,PT07M33.00S,2025-12-31T02:19:37.4Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,18,9,2025-12-31T02:19:39Z,520000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,52.0,,,1.0,1.0,0.0,,,,,,,,,,,,
54,PT07M21.00S,2025-12-31T02:19:49.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,33.459264126149804,30.392156862745097,1610612738,18,9,2025-12-31T02:19:53Z,530000,False,98.0,262.0,1,left,MISS J. Brown 27' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,27.97,Missed,,,,,,,,,,,,,,,,,,
55,PT07M19.00S,2025-12-31T02:19:51.6Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,18,9,2025-12-31T02:19:53Z,540000,False,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,54.0,,,2.0,1.0,1.0,,,,,,,,,,,,
56,PT07M16.00S,2025-12-31T02:19:55.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627759,15.325229960578188,49.01960784313725,1610612738,18,9,2025-12-31T02:20:00Z,550000,False,5.0,92.0,1,left,MISS J. Brown 9' turnaround Shot,[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,9.17,Missed,,,,,,,,,,,,,,,,,,
57,PT07M13.00S,2025-12-31T02:19:58.0Z,1,REGULAR,rebound,defensive,[],203994,,,1610612762,18,9,2025-12-31T02:20:00Z,560000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:3),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),8-16 Center,,,56.0,,,3.0,3.0,0.0,,,,,,,,,,,,
58,PT07M04.00S,2025-12-31T02:20:06.6Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612762,18,9,2025-12-31T02:20:10Z,570000,False,,,0,,J. Nurkić bad pass TURNOVER (1 TO),"[203994, 1627759]",1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Brown,1627759.0
59,PT07M04.00S,2025-12-31T02:20:06.6Z,1,REGULAR,steal,,[],1627759,,,1610612738,18,9,2025-12-31T02:20:08Z,580000,False,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
60,PT06M50.00S,2025-12-31T02:20:20.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627759,8.229303547963205,38.23529411764706,1610612738,18,11,2025-12-31T02:20:26Z,590000,False,59.0,25.0,1,left,J. Brown 6' driving floating bank Jump Shot (4 PTS),[1627759],1610612738.0,BOS,driving floating bank,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,6.39,Made,,,,,,,4.0,,,,,,,,,,,
61,PT06M32.00S,2025-12-31T02:20:38.1Z,1,REGULAR,2pt,Jump Shot,[],1628374,79.84559789750328,69.85294117647058,1610612762,18,11,2025-12-31T02:20:43Z,600000,False,99.0,137.0,1,right,MISS L. Markkanen 16' pullup Shot,[1628374],1610612762.0,UTA,pullup,,,Markkanen,L. Markkanen,,,,,Mid-Range,16-24 Right Center,16.92,Missed,,,,,,,,,,,,,,,,,,
62,PT06M30.00S,2025-12-31T02:20:40.1Z,1,REGULAR,rebound,offensive,[],203994,,,1610612762,18,11,2025-12-31T02:20:43Z,610000,False,,,0,,J. Nurkić REBOUND (Off:1 Def:3),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Mid-Range,16-24 Right Center,,,61.0,,,4.0,3.0,1.0,,,,,,,,,,,,
63,PT06M29.00S,2025-12-31T02:20:41.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628374,66.83639947437582,63.725490196078425,1610612762,21,11,2025-12-31T02:20:52Z,620000,False,69.0,259.0,1,right,L. Markkanen 26' 3PT  (5 PTS) (J. Nurkić 3 AST),"[1628374, 203994]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,26.81,Made,,,,,,,5.0,,,,,,J. Nurkić,203994.0,3.0,,,
65,PT06M18.00S,2025-12-31T02:20:52.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,35.69316688567674,50.49019607843137,1610612738,21,14,2025-12-31T02:20:55Z,640000,False,-2.0,283.0,1,left,J. Brown 28' 3PT  (7 PTS) (P. Pritchard 2 AST),"[1627759, 1630202]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,28.3,Made,,,,,,,7.0,,,,,,P. Pritchard,1630202.0,2.0,,,
67,PT06M04.00S,2025-12-31T02:21:06.6Z,1,REGULAR,3pt,Jump Shot,[],1641718,67.62483574244416,37.254901960784316,1610612762,24,14,2025-12-31T02:21:12Z,660000,False,-64.0,252.0,1,right,K. George 25' 3PT pullup (12 PTS) (J. Nurkić 4 AST),"[1641718, 203994]",1610612762.0,UTA,pullup,,,George,K. George,,,,,Above the Break 3,24+ Center,25.97,Made,,,,,,,12.0,,,,,,J. Nurkić,203994.0,4.0,,,
69,PT05M46.00S,2025-12-31T02:21:24.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629674,5.863994743758213,55.88235294117647,1610612738,24,16,2025-12-31T02:21:28Z,680000,False,-29.0,3.0,1,left,N. Queta alley-oop DUNK (6 PTS) (P. Pritchard 3 AST),"[1629674, 1630202]",1610612738.0,BOS,alley-oop,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,2.95,Made,,,,,,,6.0,,,,,,P. Pritchard,1630202.0,3.0,,,
71,PT05M32.00S,2025-12-31T02:21:37.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641729,81.02825229960578,57.84313725490197,1610612762,24,16,2025-12-31T02:22:28Z,700000,False,39.0,126.0,1,right,MISS B. Sensabaugh 13' driving floating Shot,[1641729],1610612762.0,UTA,driving floating,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),8-16 Center,13.18,Missed,,,,,,,,,,,,,,,,,,
72,PT05M32.00S,2025-12-31T02:21:37.9Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,24,16,2025-12-31T02:22:28Z,710000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),8-16 Center,,,71.0,,,1.0,1.0,0.0,,,,,,,,,,,,
73,PT05M19.00S,2025-12-31T02:21:51.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629674,16.507884362680684,58.57843137254902,1610612738,24,18,2025-12-31T02:21:57Z,720000,False,-43.0,103.0,1,left,N. Queta 11' floating Jump Shot (8 PTS) (J. Brown 2 AST),"[1629674, 1627759]",1610612738.0,BOS,floating,,,Queta,N. Queta,,,,,In The Paint (Non-RA),8-16 Center,11.13,Made,,,,,,,8.0,,,,,,J. Brown,1627759.0,2.0,,,
75,PT05M04.00S,2025-12-31T02:22:07.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641718,91.67214191852825,55.88235294117647,1610612762,24,18,2025-12-31T02:22:10Z,740000,False,29.0,26.0,1,right,MISS K. George driving finger roll Layup,[1641718],1610612762.0,UTA,driving finger roll,,,George,K. George,,,,,Restricted Area,0-8 Center,3.91,Missed,,,,,,,,,,,,,,,,,,
76,PT05M02.00S,2025-12-31T02:22:09.0Z,1,REGULAR,rebound,defensive,[],1641775,,,1610612738,24,18,2025-12-31T02:22:10Z,750000,False,,,0,,J. Walsh REBOUND (Off:0 Def:1),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Restricted Area,0-8 Center,,,75.0,,,1.0,1.0,0.0,,,,,,,,,,,,
77,PT04M55.00S,2025-12-31T02:22:15.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,7.703679369250986,51.9607843137255,1610612738,24,18,2025-12-31T02:22:19Z,760000,False,-10.0,20.0,1,left,MISS P. Pritchard reverse Layup,[1630202],1610612738.0,BOS,reverse,,,Pritchard,P. Pritchard,,,,,Restricted Area,0-8 Center,2.22,Missed,,,,,,,,,,,,,,,,,,
78,PT04M53.00S,2025-12-31T02:22:17.0Z,1,REGULAR,rebound,defensive,[],203994,,,1610612762,24,18,2025-12-31T02:22:19Z,770000,False,,,0,,J. Nurkić REBOUND (Off:1 Def:4),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,,,77.0,,,5.0,4.0,1.0,,,,,,,,,,,,
79,PT04M50.00S,2025-12-31T02:22:20.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628374,90.22667542706965,57.84313725490197,1610612762,26,18,2025-12-31T02:22:27Z,780000,False,39.0,39.0,1,right,L. Markkanen running Layup (7 PTS),[1628374],1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,5.56,Made,,,,,,,7.0,,,,,,,,,,,
80,PT04M44.00S,2025-12-31T02:22:27.1Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612738,26,18,2025-12-31T02:22:30Z,790000,False,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 1628374]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,Markkanen,1628374.0
81,PT04M44.00S,2025-12-31T02:22:27.1Z,1,REGULAR,steal,,[],1628374,,,1610612762,26,18,2025-12-31T02:22:28Z,800000,False,,,0,,L. Markkanen STEAL (1 STL),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
82,PT04M40.00S,2025-12-31T02:22:30.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628374,91.14651773981603,57.59803921568627,1610612762,28,18,2025-12-31T02:22:36Z,810000,False,38.0,31.0,1,right,L. Markkanen running Layup (9 PTS),[1628374],1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,4.89,Made,,,,,,,9.0,,,,,,,,,,,
83,PT04M39.00S,2025-12-31T02:22:38.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,28,18,2025-12-31T02:22:38Z,820000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
