actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
16,PT11M13.00S,2025-11-12T02:12:14.1Z,1,REGULAR,foul,personal,[],1628396,,,1610612762,0,2,2025-11-12T02:12:30Z,160000,False,,,0,,T. Bradley loose ball personal FOUL (1 PF),"[1628396, 203994]",1610612754.0,IND,loose ball,,,Bradley,T. Bradley,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627524.0,1.0,0.0,Nurkić,203994.0,,,,,,
18,PT11M09.00S,2025-11-12T02:12:38.2Z,1,REGULAR,turnover,bad pass,[],1641718,,,1610612762,0,2,2025-11-12T02:12:44Z,180000,False,,,0,,K. George bad pass TURNOVER (1 TO),"[1641718, 1630526]",1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,1.0,Robinson-Earl,1630526.0,,,
19,PT11M09.00S,2025-11-12T02:12:38.2Z,1,REGULAR,steal,,[],1630526,,,1610612754,0,2,2025-11-12T02:12:40Z,190000,False,,,0,,J. Robinson-Earl STEAL (1 STL),[1630526],1610612754.0,IND,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
20,PT11M04.00S,2025-11-12T02:12:42.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629614,92.46057818659659,52.94117647058824,1610612754,0,4,2025-11-12T02:12:48Z,200000,False,15.0,18.0,1,right,A. Nembhard running DUNK (2 PTS) (J. Robinson-Earl 1 AST),"[1629614, 1630526]",1610612754.0,IND,running,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,2.36,Made,,,,,,,2.0,,,,,,,,,J. Robinson-Earl,1630526.0,1.0
22,PT10M53.00S,2025-11-12T02:12:53.9Z,1,REGULAR,2pt,Jump Shot,[],203994,7.440867279894875,67.64705882352942,1610612762,0,4,2025-11-12T02:12:59Z,220000,False,-88.0,17.0,1,left,MISS J. Nurkić 8' floating Shot,[203994],1610612762.0,UTA,floating,,,Nurkić,J. Nurkić,,,,,Mid-Range,8-16 Left,8.99,Missed,,,,,,,,,,,,,,,,,,
23,PT10M51.00S,2025-11-12T02:12:55.9Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,0,4,2025-11-12T02:12:59Z,230000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Mid-Range,8-16 Left,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT10M45.00S,2025-11-12T02:13:02.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,83.52496714848883,57.107843137254896,1610612754,0,4,2025-11-12T02:13:07Z,240000,False,36.0,102.0,1,right,MISS P. Siakam 10' pullup Shot,[1627783],1610612754.0,IND,pullup,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,10.84,Missed,,,,,,,,,,,,,,,,,,
25,PT10M41.00S,2025-11-12T02:13:06.2Z,1,REGULAR,rebound,offensive,[],1630526,,,1610612754,0,4,2025-11-12T02:13:06Z,250000,False,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:0),[1630526],1610612754.0,IND,,,,Robinson-Earl,J. Robinson-Earl,,,,,In The Paint (Non-RA),8-16 Center,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,,,
26,PT10M39.00S,2025-11-12T02:13:08.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629614,67.62483574244416,16.666666666666664,1610612754,0,7,2025-11-12T02:13:13Z,260000,False,-167.0,252.0,1,right,A. Nembhard 30' 3PT  (5 PTS) (P. Siakam 1 AST),"[1629614, 1627783]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Left Center,30.2,Made,,,,,,,5.0,,,,,,,,,P. Siakam,1627783.0,1.0
28,PT10M17.00S,2025-11-12T02:13:29.3Z,1,REGULAR,3pt,Jump Shot,[],1641718,28.07161629434954,24.019607843137255,1610612762,0,7,2025-11-12T02:13:35Z,280000,False,130.0,211.0,1,left,MISS K. George 24' 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,24.81,Missed,,,,,,,,,,,,,,,,,,
29,PT10M16.00S,2025-11-12T02:13:30.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,0,7,2025-11-12T02:13:35Z,290000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Right Center,,,28.0,,,,,,,,,,,,,,,,,
31,PT10M03.00S,2025-11-12T02:13:56.4Z,1,REGULAR,3pt,Jump Shot,[],1629614,66.5735873850197,46.07843137254902,1610612754,0,10,2025-11-12T02:14:01Z,310000,False,-20.0,262.0,1,right,A. Nembhard 26' 3PT  (8 PTS) (A. Nesmith 1 AST),"[1629614, 1630174]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,26.24,Made,,,,,,,8.0,,,,,,,,,A. Nesmith,1630174.0,1.0
33,PT09M49.00S,2025-11-12T02:14:14.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,17.0335085413929,48.28431372549019,1610612762,2,10,2025-11-12T02:14:20Z,330000,False,9.0,108.0,1,left,L. Markkanen 10' driving floating Jump Shot (2 PTS) (K. George 1 AST),"[1628374, 1641718]",1610612762.0,UTA,driving floating,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Center,10.79,Made,,,,,,,2.0,,,,,,,,,K. George,1641718.0,1.0
35,PT09M49.00S,2025-11-12T02:14:17.7Z,1,REGULAR,foul,personal,['1freethrow'],1629614,,,1610612762,2,10,2025-11-12T02:14:24Z,350000,False,,,0,,A. Nembhard shooting personal FOUL (1 PF) (Markkanen 1 FT),"[1629614, 1628374]",1610612754.0,IND,shooting,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1148.0,1.0,0.0,Markkanen,1628374.0,,,,,,
37,PT09M49.00S,2025-11-12T02:14:37.6Z,1,REGULAR,freethrow,1 of 1,[],1628374,,,1610612762,3,10,2025-11-12T02:14:37Z,370000,False,,,0,,L. Markkanen Free Throw 1 of 1 (3 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
38,PT09M34.00S,2025-11-12T02:14:55.4Z,1,REGULAR,foul,personal,[],1641718,,,1610612754,3,10,2025-11-12T02:15:04Z,380000,False,,,0,,K. George personal FOUL (1 PF),"[1641718, 1630174]",1610612762.0,UTA,,,,George,K. George,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,1628484.0,1.0,0.0,Nesmith,1630174.0,,,,,,
40,PT09M32.00S,2025-11-12T02:15:12.6Z,1,REGULAR,2pt,Jump Shot,[],1629614,95.9264126149803,91.19944852941177,1610612754,3,12,2025-11-12T02:15:55Z,400000,False,206.0,-14.0,1,right,A. Nembhard 20' Jump Shot (10 PTS) (J. Robinson-Earl 2 AST),"[1629614, 1630526]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Mid-Range,16-24 Right,20.65,Made,,,,,,,10.0,,,,,,,,,J. Robinson-Earl,1630526.0,2.0
42,PT09M21.00S,2025-11-12T02:15:24.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642846,7.5722733245729295,43.38235294117647,1610612762,5,12,2025-11-12T02:20:19Z,420000,False,33.0,19.0,1,left,A. Bailey cutting DUNK (2 PTS) (K. George 2 AST),"[1642846, 1641718]",1610612762.0,UTA,cutting,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,3.8,Made,,,,,,,2.0,,,,,,,,,K. George,1641718.0,2.0
44,PT09M15.00S,2025-11-12T02:15:30.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,92.9862023653088,53.18627450980392,1610612754,5,14,2025-11-12T02:15:37Z,440000,False,16.0,13.0,1,right,P. Siakam driving Layup (4 PTS),[1627783],1610612754.0,IND,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,2.08,Made,,,,,,,4.0,,,,,,,,,,,
45,PT09M15.00S,2025-11-12T02:15:35.2Z,1,REGULAR,foul,personal,['1freethrow'],203994,,,1610612754,5,14,2025-11-12T02:15:39Z,450000,False,,,0,,J. Nurkić shooting personal FOUL (1 PF) (Siakam 1 FT),"[203994, 1627783]",1610612762.0,UTA,shooting,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627524.0,1.0,0.0,Siakam,1627783.0,,,,,,
47,PT09M15.00S,2025-11-12T02:16:02.7Z,1,REGULAR,freethrow,1 of 1,[],1627783,,,1610612754,5,15,2025-11-12T02:16:02Z,470000,False,,,0,,P. Siakam Free Throw 1 of 1 (5 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
48,PT09M01.00S,2025-11-12T02:16:21.1Z,1,REGULAR,3pt,Jump Shot,[],1642846,5.338370565045992,95.58823529411765,1610612762,8,15,2025-11-12T02:16:27Z,480000,False,-228.0,-2.0,1,left,A. Bailey 3PT step back (5 PTS) (K. George 3 AST),"[1642846, 1641718]",1610612762.0,UTA,step back,,,Bailey,A. Bailey,,,,,Left Corner 3,24+ Left,22.79,Made,,,,,,,5.0,,,,,,,,,K. George,1641718.0,3.0
51,PT08M53.00S,2025-11-12T02:16:46.0Z,1,REGULAR,2pt,Jump Shot,[],1628396,75.90341655716163,59.068627450980394,1610612754,8,17,2025-11-12T02:16:51Z,510000,False,45.0,174.0,1,right,T. Bradley 17' Jump Shot (2 PTS) (P. Siakam 2 AST),"[1628396, 1627783]",1610612754.0,IND,,,,Bradley,T. Bradley,,,,,Mid-Range,16-24 Center,17.98,Made,,,,,,,2.0,,,,,,,,,P. Siakam,1627783.0,2.0
53,PT08M34.00S,2025-11-12T02:17:04.2Z,1,REGULAR,3pt,Jump Shot,[],1629004,32.013797634691194,55.63725490196079,1610612762,8,17,2025-11-12T02:22:00Z,530000,False,-28.0,248.0,1,left,MISS S. Mykhailiuk 25' pullup 3PT,[1629004],1610612762.0,UTA,pullup,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Center,25.0,Missed,,,,,,,,,,,,,,,,,,
54,PT08M32.00S,2025-11-12T02:17:06.2Z,1,REGULAR,rebound,offensive,[],1642846,,,1610612762,8,17,2025-11-12T02:17:08Z,540000,False,,,0,,A. Bailey REBOUND (Off:1 Def:0),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Above the Break 3,24+ Center,,,53.0,1.0,0.0,1.0,,,,,,,,,,,,,,
55,PT08M26.00S,2025-11-12T02:17:12.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203994,14.273981603153747,48.28431372549019,1610612762,10,17,2025-11-12T02:17:17Z,550000,False,9.0,82.0,1,left,J. Nurkić 8' floating Jump Shot (2 PTS) (S. Mykhailiuk 1 AST),"[203994, 1629004]",1610612762.0,UTA,floating,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),8-16 Center,8.22,Made,,,,,,,2.0,,,,,,,,,S. Mykhailiuk,1629004.0,1.0
57,PT08M05.00S,2025-11-12T02:17:32.6Z,1,REGULAR,3pt,Jump Shot,[],1630526,89.43823915900131,95.34313725490196,1610612754,10,17,2025-11-12T02:17:36Z,570000,False,227.0,47.0,1,right,MISS J. Robinson-Earl 3PT,[1630526],1610612754.0,IND,,,,Robinson-Earl,J. Robinson-Earl,,,,,Right Corner 3,24+ Right,23.15,Missed,,,,,,,,,,,,,,,,,,
58,PT08M03.00S,2025-11-12T02:17:34.6Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,10,17,2025-11-12T02:17:36Z,580000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Right Corner 3,24+ Right,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,
59,PT07M55.00S,2025-11-12T02:17:43.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641718,13.485545335085414,41.17647058823529,1610612762,10,17,2025-11-12T02:17:47Z,590000,False,44.0,74.0,1,left,MISS K. George 8' driving finger roll Layup,[1641718],1610612762.0,UTA,driving finger roll,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,8.64,Missed,,,,,,,,,,,,,,,,,,
60,PT07M52.00S,2025-11-12T02:17:45.7Z,1,REGULAR,rebound,offensive,[],203994,,,1610612762,10,17,2025-11-12T02:17:45Z,600000,False,,,0,,J. Nurkić REBOUND (Off:1 Def:0),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),8-16 Center,,,59.0,1.0,0.0,1.0,,,,,,,,,,,,,,
61,PT07M52.00S,2025-11-12T02:17:45.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,5.590000152587891,50.0,1610612762,10,17,2025-11-12T02:17:45Z,610000,False,0.0,0.0,1,left,MISS J. Nurkić tip Layup,[203994],1610612762.0,UTA,tip,,,Nurkić,J. Nurkić,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
62,PT07M52.00S,2025-11-12T02:17:46.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,10,17,2025-11-12T02:17:46Z,620000,False,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,,,61.0,2.0,2.0,0.0,,,,,,,,,,,,,,
63,PT07M49.00S,2025-11-12T02:17:49.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630174,71.56701708278581,77.69607843137256,1610612754,10,20,2025-11-12T02:17:55Z,630000,False,138.0,215.0,1,right,A. Nesmith 25' 3PT step back (3 PTS) (P. Siakam 3 AST),"[1630174, 1627783]",1610612754.0,IND,step back,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,25.56,Made,,,,,,,3.0,,,,,,,,,P. Siakam,1627783.0,3.0
65,PT07M48.00S,2025-11-12T02:17:57.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,10,20,2025-11-12T02:17:57Z,650000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M36.00S,2025-11-12T02:21:35.6Z,1,REGULAR,jumpball,recovered,[],1641718,,,1610612762,10,20,2025-11-12T02:21:35Z,660000,False,,,0,,Jump Ball J. Nurkić vs. P. Siakam: Tip to K. George,"[1641718, 203994, 1627783]",1610612762.0,UTA,heldball,K. George,1641718.0,George,K. George,Nurkić,203994.0,Siakam,1627783.0,,,,,,,,,,,,,,,,,,,,,,
69,PT07M23.00S,2025-11-12T02:21:49.3Z,1,REGULAR,3pt,Jump Shot,[],1629004,19.398817345597898,7.107843137254902,1610612762,13,20,2025-11-12T02:21:54Z,690000,False,214.0,130.0,1,left,S. Mykhailiuk 25' 3PT  (3 PTS) (L. Markkanen 1 AST),"[1629004, 1628374]",1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Right Center,25.07,Made,,,,,,,3.0,,,,,,,,,L. Markkanen,1628374.0,1.0
71,PT07M06.00S,2025-11-12T02:22:05.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627783,88.64980289093299,51.225490196078425,1610612754,13,20,2025-11-12T02:26:47Z,710000,False,6.0,54.0,1,right,MISS P. Siakam turnaround Hook,[1627783],1610612754.0,IND,turnaround,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,5.45,Missed,,,,,,,,,,,,,,,,,,
72,PT07M03.00S,2025-11-12T02:22:08.6Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,13,20,2025-11-12T02:22:11Z,720000,False,,,0,,K. George REBOUND (Off:0 Def:2),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,,,71.0,2.0,2.0,0.0,,,,,,,,,,,,,,
73,PT06M52.00S,2025-11-12T02:22:19.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641718,9.280551905387648,35.049019607843135,1610612762,13,20,2025-11-12T02:22:30Z,730000,False,75.0,35.0,1,left,MISS K. George 8' driving floating bank Shot,[1641718],1610612762.0,UTA,driving floating bank,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Right,8.25,Missed,,,,,,,,,,,,,,,,,,
74,PT06M52.00S,2025-11-12T02:22:29.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,13,20,2025-11-12T02:22:29Z,740000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,73.0,,,,,,,,,,,,,,,,,
76,PT06M52.00S,2025-11-12T02:22:33.4Z,1,REGULAR,substitution,out,[],1642846,,,1610612762,13,20,2025-11-12T02:22:38Z,760000,False,,,0,,SUB out: A. Bailey,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M52.00S,2025-11-12T02:22:33.4Z,1,REGULAR,substitution,out,[],1628374,,,1610612762,13,20,2025-11-12T02:22:38Z,770000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M52.00S,2025-11-12T02:22:33.4Z,1,REGULAR,substitution,in,[],1642268,,,1610612762,13,20,2025-11-12T02:22:38Z,780000,False,,,0,,SUB in: I. Collier,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M52.00S,2025-11-12T02:22:33.4Z,1,REGULAR,substitution,in,[],1641729,,,1610612762,13,20,2025-11-12T02:22:38Z,790000,False,,,0,,SUB in: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M45.00S,2025-11-12T02:22:59.2Z,1,REGULAR,foul,personal,[],1630526,,,1610612762,13,20,2025-11-12T02:23:31Z,800000,False,,,0,,J. Robinson-Earl personal FOUL (1 PF),"[1630526, 203994]",1610612754.0,IND,,,,Robinson-Earl,J. Robinson-Earl,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,1148.0,1.0,0.0,Nurkić,203994.0,,,,,,
82,PT06M45.00S,2025-11-12T02:23:13.4Z,1,REGULAR,substitution,out,[],1629614,,,1610612762,13,20,2025-11-12T02:23:31Z,820000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M45.00S,2025-11-12T02:23:13.4Z,1,REGULAR,substitution,out,[],1628396,,,1610612762,13,20,2025-11-12T02:23:31Z,830000,False,,,0,,SUB out: T. Bradley,[1628396],1610612754.0,IND,,,,Bradley,T. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M45.00S,2025-11-12T02:23:13.4Z,1,REGULAR,substitution,out,[],1627783,,,1610612762,13,20,2025-11-12T02:23:31Z,840000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M45.00S,2025-11-12T02:23:13.4Z,1,REGULAR,substitution,in,[],1630543,,,1610612762,13,20,2025-11-12T02:23:31Z,850000,False,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M45.00S,2025-11-12T02:23:13.4Z,1,REGULAR,substitution,in,[],204456,,,1610612762,13,20,2025-11-12T02:23:31Z,860000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M45.00S,2025-11-12T02:23:13.4Z,1,REGULAR,substitution,in,[],1641767,,,1610612762,13,20,2025-11-12T02:23:31Z,870000,False,,,0,,SUB in: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT06M34.00S,2025-11-12T02:23:42.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,6.915243101182654,52.69607843137255,1610612762,15,20,2025-11-12T02:29:50Z,880000,False,-13.0,13.0,1,left,J. Nurkić driving Layup (4 PTS),[203994],1610612762.0,UTA,driving,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,1.84,Made,,,,,,,4.0,,,,,,,,,,,
89,PT06M24.00S,2025-11-12T02:23:52.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,91.80354796320631,57.84313725490197,1610612754,15,20,2025-11-12T02:23:57Z,890000,False,39.0,25.0,1,right,MISS A. Nesmith driving Layup,[1630174],1610612754.0,IND,driving,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,4.62,Missed,,,,,,,,,,,,,,,,,,
90,PT06M21.00S,2025-11-12T02:23:55.8Z,1,REGULAR,rebound,defensive,[],203994,,,1610612762,15,20,2025-11-12T02:23:57Z,900000,False,,,0,,J. Nurkić REBOUND (Off:1 Def:1),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,,,89.0,2.0,1.0,1.0,,,,,,,,,,,,,,
91,PT06M17.00S,2025-11-12T02:23:59.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642268,7.440867279894875,54.65686274509803,1610612762,17,20,2025-11-12T02:24:04Z,910000,False,-23.0,17.0,1,left,I. Collier running Layup (2 PTS),[1642268],1610612762.0,UTA,running,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,2.91,Made,,,,,,,2.0,,,,,,,,,,,
92,PT06M17.00S,2025-11-12T02:24:05.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,17,20,2025-11-12T02:24:05Z,920000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
