actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
346,PT12M00.00S,2026-02-12T03:20:52.8Z,3,REGULAR,substitution,in,['startperiod'],1642363,,,1610612762,71,44,2026-02-12T03:21:47Z,3420000,False,,,0,,SUB in: N. Clifford,[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,,,,,,,,,,,,,,,,,,,,,,
348,PT12M00.00S,2026-02-12T03:20:52.8Z,3,REGULAR,substitution,in,['startperiod'],1642928,,,1610612762,71,44,2026-02-12T03:22:04Z,3440000,False,,,0,,SUB in: D. Cardwell,[1642928],1610612758.0,SAC,,,,Cardwell,D. Cardwell,,,,,,,,,,,,,,,,,,,,,,,,,,
350,PT12M00.00S,2026-02-12T03:20:52.8Z,3,REGULAR,substitution,out,['startperiod'],1630173,,,1610612762,71,44,2026-02-12T03:22:09Z,3445000,False,,,0,,SUB out: P. Achiuwa,[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
349,PT12M00.00S,2026-02-12T03:22:07.6Z,3,REGULAR,period,start,[],0,,,1610612758,71,44,2026-02-12T03:22:07Z,3450000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,PT11M52.00S,2026-02-12T03:22:16.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1642363,87.72996057818659,43.627450980392155,1610612758,71,46,2026-02-12T03:22:29Z,3460000,False,-32.0,63.0,1,right,N. Clifford 7' driving Layup (3 PTS) (D. Carter 2 AST),"[1642363, 1642269]",1610612758.0,SAC,driving,,,Clifford,N. Clifford,,,,,In The Paint (Non-RA),0-8 Center,,,,7.04,Made,,,,,,,3.0,D. Carter,1642269.0,2.0,,,,,
352,PT11M52.00S,2026-02-12T03:22:19.1Z,3,REGULAR,foul,personal,['1freethrow'],203994,,,1610612758,71,46,2026-02-12T03:22:23Z,3470000,False,,,0,,J. Nurkić shooting personal FOUL (2 PF) (Clifford 1 FT),"[203994, 1642363]",1610612762.0,UTA,shooting,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,202007.0,2.0,1.0,Clifford,1642363.0
354,PT11M52.00S,2026-02-12T03:22:41.9Z,3,REGULAR,freethrow,1 of 1,[],1642363,,,1610612758,71,47,2026-02-12T03:22:41Z,3490000,False,,,0,,N. Clifford Free Throw 1 of 1 (4 PTS),[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,,,,,,,Made,,,,,,,4.0,,,,,,,,
355,PT11M38.00S,2026-02-12T03:22:59.9Z,3,REGULAR,3pt,Jump Shot,[],1642846,4.944152431011826,95.34313725490196,1610612762,74,47,2026-02-12T03:23:04Z,3500000,False,-227.0,-6.0,1,left,A. Bailey 3PT  (6 PTS) (L. Markkanen 2 AST),"[1642846, 1628374]",1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Left Corner 3,24+ Left,,,,22.68,Made,,,,,,,6.0,L. Markkanen,1628374.0,2.0,,,,,
358,PT11M27.00S,2026-02-12T03:23:10.6Z,3,REGULAR,2pt,Jump Shot,[],201942,87.46714848883047,7.352941176470589,1610612758,74,49,2026-02-12T03:23:14Z,3520000,False,-213.0,65.0,1,right,D. DeRozan 22' Jump Shot (14 PTS) (D. Carter 3 AST),"[201942, 1642269]",1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left,,,,22.3,Made,,,,,,,14.0,D. Carter,1642269.0,3.0,,,,,
360,PT11M10.00S,2026-02-12T03:23:27.1Z,3,REGULAR,3pt,Jump Shot,[],1642268,26.49474375821288,80.3921568627451,1610612762,77,49,2026-02-12T03:23:33Z,3540000,False,-152.0,197.0,1,left,I. Collier 24' 3PT  (10 PTS) (J. Jackson Jr. 2 AST),"[1642268, 1628991]",1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Left Center,,,,24.85,Made,,,,,,,10.0,J. Jackson Jr.,1628991.0,2.0,,,,,
