actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
20,PT11M18.00S,2026-03-03T02:14:22.9Z,1,REGULAR,freethrow,2 of 2,[],1641718,,,1610612762,1,2,2026-03-03T02:14:22Z,200000,False,,,0,,K. George Free Throw 2 of 2 (1 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
21,PT11M07.00S,2026-03-03T02:14:35.4Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,1,2,2026-03-03T02:14:39Z,210000,False,,,0,,J. Murray bad pass TURNOVER (1 TO),"[1627750, 1641989]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1.0,Harkless,1641989.0,,,,,,,,
22,PT11M07.00S,2026-03-03T02:14:35.4Z,1,REGULAR,steal,,[],1641989,,,1610612762,1,2,2026-03-03T02:14:51Z,220000,False,,,0,,E. Harkless STEAL (1 STL),[1641989],1610612762.0,UTA,,,,Harkless,E. Harkless,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
23,PT11M03.00S,2026-03-03T02:14:39.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642846,6.1268068331143235,43.627450980392155,1610612762,3,2,2026-03-03T02:14:44Z,230000,False,32.0,5.0,1,left,A. Bailey running Layup (2 PTS) (C. Williams 1 AST),"[1642846, 1642262]",1610612762.0,UTA,running,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,3.23,Made,,,,,,,2.0,,,,C. Williams,1642262.0,1.0,,,,,
25,PT10M49.00S,2026-03-03T02:14:53.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,90.22667542706965,48.529411764705884,1610612743,3,4,2026-03-03T02:16:44Z,250000,False,-7.0,39.0,1,right,J. Valančiūnas driving Layup (2 PTS) (J. Strawther 1 AST),"[202685, 1631124]",1610612743.0,DEN,driving,,,Valančiūnas,J. Valančiūnas,,,,,Restricted Area,0-8 Center,4.01,Made,,,,,,,2.0,,,,J. Strawther,1631124.0,1.0,,,,,
27,PT10M33.00S,2026-03-03T02:15:09.2Z,1,REGULAR,3pt,Jump Shot,[],1641989,17.69053876478318,95.58823529411765,1610612762,3,4,2026-03-03T02:15:13Z,270000,False,-228.0,114.0,1,left,MISS E. Harkless 25' 3PT,[1641989],1610612762.0,UTA,,,,Harkless,E. Harkless,,,,,Above the Break 3,24+ Left Center,25.47,Missed,,,,,,,,,,,,,,,,,,
28,PT10M31.00S,2026-03-03T02:15:11.2Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,3,4,2026-03-03T02:15:13Z,280000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,,,27.0,,,,,,,,,,,,,1.0,1.0,0.0,,
29,PT10M22.00S,2026-03-03T02:15:20.9Z,1,REGULAR,3pt,Jump Shot,[],1631124,85.62746386333771,94.6078431372549,1610612743,3,4,2026-03-03T02:15:26Z,290000,False,223.0,83.0,1,right,MISS J. Strawther 3PT,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,Right Corner 3,24+ Right,23.78,Missed,,,,,,,,,,,,,,,,,,
30,PT10M19.00S,2026-03-03T02:15:23.9Z,1,REGULAR,rebound,defensive,[],1642271,,,1610612762,3,4,2026-03-03T02:15:26Z,300000,False,,,0,,K. Filipowski REBOUND (Off:0 Def:1),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Right Corner 3,24+ Right,,,29.0,,,,,,,,,,,,,1.0,1.0,0.0,,
31,PT10M11.00S,2026-03-03T02:15:31.4Z,1,REGULAR,2pt,Jump Shot,[],1641718,23.47240473061761,38.970588235294116,1610612762,5,4,2026-03-03T02:15:35Z,310000,False,55.0,168.0,1,left,K. George 17' pullup Jump Shot (3 PTS),[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,Mid-Range,16-24 Center,17.69,Made,,,,,,,3.0,,,,,,,,,,,
32,PT09M57.00S,2026-03-03T02:15:45.8Z,1,REGULAR,turnover,bad pass,[],1631124,,,1610612743,5,4,2026-03-03T02:21:52Z,320000,False,,,0,,J. Strawther bad pass TURNOVER (1 TO),"[1631124, 1642262]",1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,Mid-Range,16-24 Center,,,,,,,,,,1.0,Williams,1642262.0,,,,,,,,
33,PT09M57.00S,2026-03-03T02:15:45.8Z,1,REGULAR,steal,,[],1642262,,,1610612762,5,4,2026-03-03T02:15:47Z,330000,False,,,0,,C. Williams STEAL (1 STL),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
34,PT09M52.00S,2026-03-03T02:15:51.5Z,1,REGULAR,foul,personal,['2freethrow'],1631124,,,1610612762,5,4,2026-03-03T02:15:59Z,340000,False,,,0,,J. Strawther shooting personal FOUL (1 PF) (Williams 2 FT),"[1631124, 1642262]",1610612743.0,DEN,shooting,,,Strawther,J. Strawther,,,,,In The Paint (Non-RA),0-8 Center,,,,203591.0,1.0,0.0,Williams,1642262.0,,,,,,,,,,,,
36,PT09M52.00S,2026-03-03T02:16:25.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1642262,,,1610612762,6,4,2026-03-03T02:16:25Z,360000,False,,,0,,C. Williams Free Throw 1 of 2 (1 PTS),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
37,PT09M52.00S,2026-03-03T02:16:26.5Z,1,REGULAR,substitution,out,[],1631124,,,1610612762,6,4,2026-03-03T02:16:39Z,370000,False,,,0,,SUB out: J. Strawther,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M52.00S,2026-03-03T02:16:26.5Z,1,REGULAR,substitution,in,[],203501,,,1610612762,6,4,2026-03-03T02:16:39Z,380000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT09M52.00S,2026-03-03T02:16:25.7Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1642262,,,1610612762,6,4,2026-03-03T02:16:55Z,390000,False,,,0,,MISS C. Williams Free Throw 2 of 2,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
40,PT09M51.00S,2026-03-03T02:16:26.7Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,6,4,2026-03-03T02:16:55Z,400000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,39.0,,,,,,,,,,,,,1.0,1.0,0.0,,
41,PT09M38.00S,2026-03-03T02:17:04.9Z,1,REGULAR,2pt,Jump Shot,[],203999,82.47371879106439,67.64705882352942,1610612743,6,4,2026-03-03T02:17:08Z,410000,False,88.0,112.0,1,right,MISS N. Jokić 14' Jump Shot,[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,8-16 Right,14.27,Missed,,,,,,,,,,,,,,,,,,
42,PT09M36.00S,2026-03-03T02:17:06.9Z,1,REGULAR,rebound,defensive,[],1642262,,,1610612762,6,4,2026-03-03T02:17:08Z,420000,False,,,0,,C. Williams REBOUND (Off:0 Def:1),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Mid-Range,8-16 Right,,,41.0,,,,,,,,,,,,,1.0,1.0,0.0,,
43,PT09M23.00S,2026-03-03T02:17:22.4Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612762,6,4,2026-03-03T02:17:27Z,430000,False,,,0,,J. Valančiūnas shooting personal FOUL (1 PF) (Filipowski 2 FT),"[202685, 1642271]",1610612743.0,DEN,shooting,,,Valančiūnas,J. Valančiūnas,,,,,In The Paint (Non-RA),0-8 Center,,,,1629183.0,1.0,0.0,Filipowski,1642271.0,,,,,,,,,,,,
45,PT09M23.00S,2026-03-03T02:17:49.4Z,1,REGULAR,freethrow,1 of 2,[],1642271,,,1610612762,7,4,2026-03-03T02:17:49Z,450000,False,,,0,,K. Filipowski Free Throw 1 of 2 (1 PTS),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
46,PT09M23.00S,2026-03-03T02:18:14.5Z,1,REGULAR,freethrow,2 of 2,[],1642271,,,1610612762,8,4,2026-03-03T02:18:14Z,460000,False,,,0,,K. Filipowski Free Throw 2 of 2 (2 PTS),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
47,PT09M06.00S,2026-03-03T02:18:33.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,80.1084099868594,45.588235294117645,1610612743,8,6,2026-03-03T02:18:37Z,470000,False,-22.0,134.0,1,right,J. Murray 13' fadeaway Jump Shot (4 PTS),[1627750],1610612743.0,DEN,fadeaway,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,13.63,Made,,,,,,,4.0,,,,,,,,,,,
48,PT08M54.00S,2026-03-03T02:18:47.2Z,1,REGULAR,turnover,out-of-bounds,[],1641718,,,1610612762,8,6,2026-03-03T02:18:52Z,480000,False,,,0,,K. George bad pass out-of-bounds TURNOVER (1 TO),[1641718],1610612762.0,UTA,bad pass,,,George,K. George,,,,,Above the Break 3,24+ Center,,,,1627534.0,,,,,,1.0,,,,,,,,,,
49,PT08M44.00S,2026-03-03T02:19:00.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627750,67.23061760840999,46.32352941176471,1610612743,8,6,2026-03-03T02:19:25Z,490000,False,-18.0,256.0,1,right,MISS J. Murray 25' pullup 3PT,[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Above the Break 3,24+ Center,25.62,Missed,,,,,,,,,,,,,,,,,,
50,PT08M40.00S,2026-03-03T02:19:04.8Z,1,REGULAR,rebound,defensive,[],1642271,,,1610612762,8,6,2026-03-03T02:19:05Z,500000,False,,,0,,K. Filipowski REBOUND (Off:0 Def:2),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Center,,,49.0,,,,,,,,,,,,,2.0,2.0,0.0,,
51,PT08M35.00S,2026-03-03T02:19:08.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641989,6.521024967148489,58.08823529411765,1610612762,8,6,2026-03-03T02:19:21Z,510000,False,-40.0,9.0,1,left,MISS E. Harkless running Layup,[1641989],1610612762.0,UTA,running,,,Harkless,E. Harkless,,,,,Restricted Area,0-8 Center,4.13,Missed,,,,,,,,,,,,,,,,,,
52,PT08M31.00S,2026-03-03T02:19:12.9Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,8,6,2026-03-03T02:19:13Z,520000,False,,,0,,C. Braun REBOUND (Off:0 Def:2),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,,,51.0,,,,,,,,,,,,,2.0,2.0,0.0,,
53,PT08M15.00S,2026-03-03T02:19:28.3Z,1,REGULAR,turnover,bad pass,[],203501,,,1610612743,8,6,2026-03-03T02:19:31Z,530000,False,,,0,,T. Hardaway Jr. bad pass TURNOVER (1 TO),"[203501, 1642846]",1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Left,,,,,,,,,,1.0,Bailey,1642846.0,,,,,,,,
54,PT08M15.00S,2026-03-03T02:19:28.3Z,1,REGULAR,steal,,[],1642846,,,1610612762,8,6,2026-03-03T02:19:30Z,540000,False,,,0,,A. Bailey STEAL (1 STL),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
55,PT08M11.00S,2026-03-03T02:19:33.4Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642262,6.389618922470433,56.127450980392155,1610612762,10,6,2026-03-03T02:20:32Z,550000,False,-31.0,8.0,1,left,C. Williams running DUNK (3 PTS) (K. Filipowski 1 AST),"[1642262, 1642271]",1610612762.0,UTA,running,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,3.15,Made,,,,,,,3.0,,,,K. Filipowski,1642271.0,1.0,,,,,
57,PT08M11.00S,2026-03-03T02:19:41.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,10,6,2026-03-03T02:19:41Z,570000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M51.00S,2026-03-03T02:22:52.1Z,1,REGULAR,3pt,Jump Shot,[],1631128,93.9060446780552,94.36274509803921,1610612743,10,6,2026-03-03T02:22:56Z,580000,False,222.0,5.0,1,right,MISS C. Braun 3PT,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Right Corner 3,24+ Right,22.19,Missed,,,,,,,,,,,,,,,,,,
59,PT07M48.00S,2026-03-03T02:22:55.1Z,1,REGULAR,rebound,offensive,[],1631128,,,1610612743,10,6,2026-03-03T02:22:56Z,590000,False,,,0,,C. Braun REBOUND (Off:1 Def:2),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Right Corner 3,24+ Right,,,58.0,,,,,,,,,,,,,3.0,2.0,1.0,,
60,PT07M42.00S,2026-03-03T02:23:00.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627750,85.3646517739816,35.049019607843135,1610612743,10,8,2026-03-03T02:23:05Z,600000,False,-75.0,85.0,1,right,J. Murray 11' driving floating bank Jump Shot (6 PTS),[1627750],1610612743.0,DEN,driving floating bank,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Left,11.33,Made,,,,,,,6.0,,,,,,,,,,,
61,PT07M29.00S,2026-03-03T02:23:13.4Z,1,REGULAR,3pt,Jump Shot,[],1641718,33.196452036793694,32.1078431372549,1610612762,10,8,2026-03-03T02:23:18Z,610000,False,89.0,260.0,1,left,MISS K. George 27' 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,27.45,Missed,,,,,,,,,,,,,,,,,,
62,PT07M27.00S,2026-03-03T02:23:15.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,10,8,2026-03-03T02:23:18Z,620000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Right Center,,,61.0,,,,,,,,,,,,,1.0,1.0,0.0,,
63,PT07M24.00S,2026-03-03T02:23:20.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631128,92.32917214191852,55.392156862745104,1610612743,10,10,2026-03-03T02:25:23Z,630000,False,27.0,20.0,1,right,C. Braun running finger roll Layup (2 PTS) (N. Jokić 1 AST),"[1631128, 203999]",1610612743.0,DEN,running finger roll,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,3.34,Made,,,,,,,2.0,,,,N. Jokić,203999.0,1.0,,,,,
65,PT07M22.00S,2026-03-03T02:23:31.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,10,10,2026-03-03T02:23:31Z,650000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M14.00S,2026-03-03T02:26:22.8Z,1,REGULAR,2pt,Jump Shot,[],1641718,21.632720105124836,65.68627450980392,1610612762,12,10,2026-03-03T02:26:32Z,660000,False,-78.0,151.0,1,left,K. George 17' driving floating Jump Shot (5 PTS),[1641718],1610612762.0,UTA,driving floating,,,George,K. George,,,,,Mid-Range,16-24 Left Center,17.0,Made,,,,,,,5.0,,,,,,,,,,,
67,PT07M03.00S,2026-03-03T02:26:36.1Z,1,REGULAR,turnover,out-of-bounds,[],1627750,,,1610612743,12,10,2026-03-03T02:26:40Z,670000,False,,,0,,J. Murray bad pass out-of-bounds TURNOVER (2 TO),[1627750],1610612743.0,DEN,bad pass,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,,,,1629183.0,,,,,,2.0,,,,,,,,,,
68,PT06M56.00S,2026-03-03T02:26:45.8Z,1,REGULAR,turnover,bad pass,[],1641718,,,1610612762,12,10,2026-03-03T02:26:49Z,680000,False,,,0,,K. George bad pass TURNOVER (2 TO),"[1641718, 202685]",1610612762.0,UTA,,,,George,K. George,,,,,Mid-Range,8-16 Right,,,,,,,,,,2.0,Valančiūnas,202685.0,,,,,,,,
69,PT06M56.00S,2026-03-03T02:26:45.8Z,1,REGULAR,steal,,[],202685,,,1610612743,12,10,2026-03-03T02:26:48Z,690000,False,,,0,,J. Valančiūnas STEAL (1 STL),[202685],1610612743.0,DEN,,,,Valančiūnas,J. Valančiūnas,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
70,PT06M52.00S,2026-03-03T02:26:50.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203501,94.82588699080158,53.67647058823529,1610612743,12,12,2026-03-03T02:26:58Z,700000,False,18.0,-4.0,1,right,T. Hardaway Jr. running alley-oop DUNK (2 PTS) (C. Braun 1 AST),"[203501, 1631128]",1610612743.0,DEN,running alley-oop,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Restricted Area,0-8 Center,1.88,Made,,,,,,,2.0,,,,C. Braun,1631128.0,1.0,,,,,
72,PT06M39.00S,2026-03-03T02:27:03.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642846,10.988830486202366,35.78431372549019,1610612762,12,12,2026-03-03T02:28:52Z,720000,False,71.0,51.0,1,left,MISS A. Bailey 8' driving floating Shot,[1642846],1610612762.0,UTA,driving floating,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),8-16 Right,8.74,Missed,,,,,,,,,,,,,,,,,,
73,PT06M38.00S,2026-03-03T02:27:04.5Z,1,REGULAR,rebound,offensive,[],1642846,,,1610612762,12,12,2026-03-03T02:29:54Z,730000,False,,,0,,A. Bailey REBOUND (Off:1 Def:0),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),8-16 Right,,,72.0,,,,,,,,,,,,,1.0,0.0,1.0,,
74,PT06M38.00S,2026-03-03T02:27:07.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642846,5.590000152587891,50.0,1610612762,12,12,2026-03-03T02:30:03Z,740000,False,0.0,0.0,1,left,MISS A. Bailey tip Layup,[1642846],1610612762.0,UTA,tip,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
75,PT06M35.00S,2026-03-03T02:27:10.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,12,12,2026-03-03T02:30:03Z,750000,False,,,0,,N. Jokić REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,,,74.0,,,,,,,,,,,,,2.0,2.0,0.0,,
76,PT06M22.00S,2026-03-03T02:27:19.1Z,1,REGULAR,3pt,Jump Shot,[],1631128,87.59855453350855,3.6764705882352944,1610612743,12,15,2026-03-03T02:27:23Z,760000,False,-232.0,64.0,1,right,C. Braun 24' 3PT  (5 PTS) (J. Murray 1 AST),"[1631128, 1627750]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,Left Corner 3,24+ Left,24.03,Made,,,,,,,5.0,,,,J. Murray,1627750.0,1.0,,,,,
78,PT06M10.00S,2026-03-03T02:27:31.6Z,1,REGULAR,turnover,bad pass,[],1642262,,,1610612762,12,15,2026-03-03T02:27:35Z,780000,False,,,0,,C. Williams bad pass TURNOVER (1 TO),"[1642262, 1627750]",1610612762.0,UTA,,,,Williams,C. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1.0,Murray,1627750.0,,,,,,,,
79,PT06M10.00S,2026-03-03T02:27:31.6Z,1,REGULAR,steal,,[],1627750,,,1610612743,12,15,2026-03-03T02:27:33Z,790000,False,,,0,,J. Murray STEAL (1 STL),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
80,PT06M07.00S,2026-03-03T02:27:37.8Z,1,REGULAR,foul,personal,['2freethrow'],1642262,,,1610612743,12,15,2026-03-03T02:27:42Z,800000,False,,,0,,C. Williams shooting personal FOUL (1 PF) (Murray 2 FT),"[1642262, 1627750]",1610612762.0,UTA,shooting,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,,,,1629183.0,1.0,0.0,Murray,1627750.0,,,,,,,,,,,,
82,PT06M07.00S,2026-03-03T02:28:07.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1627750,,,1610612743,12,16,2026-03-03T02:28:07Z,820000,False,,,0,,J. Murray Free Throw 1 of 2 (7 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
83,PT06M07.00S,2026-03-03T02:28:09.2Z,1,REGULAR,substitution,out,[],1642262,,,1610612743,12,16,2026-03-03T02:28:20Z,830000,False,,,0,,SUB out: C. Williams,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M07.00S,2026-03-03T02:28:09.2Z,1,REGULAR,substitution,out,[],1641989,,,1610612743,12,16,2026-03-03T02:28:20Z,840000,False,,,0,,SUB out: E. Harkless,[1641989],1610612762.0,UTA,,,,Harkless,E. Harkless,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M07.00S,2026-03-03T02:28:09.2Z,1,REGULAR,substitution,out,[],202685,,,1610612743,12,16,2026-03-03T02:28:20Z,850000,False,,,0,,SUB out: J. Valančiūnas,[202685],1610612743.0,DEN,,,,Valančiūnas,J. Valančiūnas,,,,,,,,,,,,,,,,,,,,,,,,,,
