actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
20,PT10M22.00S,2025-12-21T02:44:05.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631094,8.754927726675426,46.32352941176471,1610612753,2,7,2025-12-21T02:45:37Z,200000,False,18.0,30.0,1,left,P. Banchero running DUNK (2 PTS) (A. Black 1 AST),"[1631094, 1641710]",1610612753.0,ORL,running,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,3.5,Made,,2.0,A. Black,1641710.0,1.0,,,,,,,,,,,,,
22,PT10M08.00S,2025-12-21T02:44:18.2Z,1,REGULAR,3pt,Jump Shot,[],1641718,70.12155059132719,30.14705882352941,1610612762,2,7,2025-12-21T02:44:23Z,220000,False,-99.0,228.0,1,right,MISS K. George 24' step back 3PT,[1641718],1610612762.0,UTA,step back,,,George,K. George,,,,,Above the Break 3,24+ Left Center,24.91,Missed,,,,,,,,,,,,,,,,,,
23,PT10M06.00S,2025-12-21T02:44:21.0Z,1,REGULAR,rebound,offensive,[],203994,,,1610612762,2,7,2025-12-21T02:44:21Z,230000,False,,,0,,J. Nurkić REBOUND (Off:1 Def:0),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Above the Break 3,24+ Left Center,,,22.0,,,,,,,1.0,0.0,1.0,,,,,,,,
24,PT10M02.00S,2025-12-21T02:44:24.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629004,88.78120893561103,49.50980392156863,1610612762,4,7,2025-12-21T02:47:19Z,240000,False,-2.0,53.0,1,right,S. Mykhailiuk driving finger roll Layup (2 PTS) (K. Filipowski 1 AST),"[1629004, 1642271]",1610612762.0,UTA,driving finger roll,,,Mykhailiuk,S. Mykhailiuk,,,,,In The Paint (Non-RA),0-8 Center,5.31,Made,,2.0,K. Filipowski,1642271.0,1.0,,,,,,,,,,,,,
26,PT09M49.00S,2025-12-21T02:44:40.5Z,1,REGULAR,foul,personal,['2freethrow'],1642271,,,1610612753,4,7,2025-12-21T02:44:44Z,260000,False,,,0,,K. Filipowski shooting personal FOUL (1 PF) (Banchero 2 FT),"[1642271, 1631094]",1610612762.0,UTA,shooting,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,,,,,,,,1628484.0,,,,,1.0,0.0,Banchero,1631094.0,,,,
28,PT09M49.00S,2025-12-21T02:45:08.9Z,1,REGULAR,freethrow,1 of 2,[],1631094,,,1610612753,4,8,2025-12-21T02:45:08Z,280000,False,,,0,,P. Banchero Free Throw 1 of 2 (3 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
29,PT09M49.00S,2025-12-21T02:45:19.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,4,8,2025-12-21T02:45:19Z,290000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M49.00S,2025-12-21T02:48:19.5Z,1,REGULAR,freethrow,2 of 2,[],1631094,,,1610612753,4,9,2025-12-21T02:48:19Z,300000,False,,,0,,P. Banchero Free Throw 2 of 2 (4 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,4.0,,,,,,,,,,,,,,,,
31,PT09M28.00S,2025-12-21T02:48:42.0Z,1,REGULAR,2pt,Jump Shot,[],1642846,84.97043363994744,26.47058823529412,1610612762,4,9,2025-12-21T02:49:12Z,310000,False,-118.0,89.0,1,right,MISS A. Bailey 14' driving floating Shot,[1642846],1610612762.0,UTA,driving floating,,,Bailey,A. Bailey,,,,,Mid-Range,8-16 Left,14.74,Missed,,,,,,,,,,,,,,,,,,
32,PT09M27.00S,2025-12-21T02:48:43.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,4,9,2025-12-21T02:48:47Z,320000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Mid-Range,8-16 Left,,,31.0,,,,,,,,,,,,,,,,,
34,PT09M22.00S,2025-12-21T02:49:06.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1641718,80.3712220762155,20.833333333333336,1610612762,6,9,2025-12-21T02:49:13Z,340000,False,-146.0,132.0,1,right,K. George 19' pullup Jump Shot (4 PTS) (J. Nurkić 2 AST),"[1641718, 203994]",1610612762.0,UTA,pullup,,,George,K. George,,,,,Mid-Range,16-24 Left Center,19.67,Made,,4.0,J. Nurkić,203994.0,2.0,,,,,,,,,,,,,
36,PT09M02.00S,2025-12-21T02:49:26.8Z,1,REGULAR,3pt,Jump Shot,[],1626145,30.699737187910642,29.65686274509804,1610612753,6,12,2025-12-21T02:49:31Z,360000,False,102.0,236.0,1,left,T. Jones 25' 3PT  (3 PTS) (A. Black 2 AST),"[1626145, 1641710]",1610612753.0,ORL,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,25.71,Made,,3.0,A. Black,1641710.0,2.0,,,,,,,,,,,,,
39,PT08M51.00S,2025-12-21T02:49:43.2Z,1,REGULAR,substitution,out,[],1642846,,,1610612762,6,12,2025-12-21T02:49:46Z,390000,False,,,0,,SUB out: A. Bailey,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M51.00S,2025-12-21T02:49:43.2Z,1,REGULAR,substitution,in,[],1641729,,,1610612762,6,12,2025-12-21T02:49:46Z,400000,False,,,0,,SUB in: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M51.00S,2025-12-21T02:50:03.7Z,1,REGULAR,foul,personal,['1freethrow'],1630217,,,1610612762,6,12,2025-12-21T02:50:32Z,410000,False,,,0,,D. Bane away-from-play personal FOUL (1 PF) (Sensabaugh 1 FT),"[1630217, 1641729]",1610612753.0,ORL,away-from-play,,,Bane,D. Bane,,,,,Mid-Range,16-24 Left Center,,,,,,,,203592.0,,,,,1.0,0.0,Sensabaugh,1641729.0,,,,
43,PT08M51.00S,2025-12-21T02:50:34.9Z,1,REGULAR,freethrow,1 of 1,[],1641718,,,1610612762,7,12,2025-12-21T02:50:34Z,430000,False,,,0,,K. George away-from-play Free Throw 1 of 1 (5 PTS),[1641718],1610612762.0,UTA,away-from-play,,,George,K. George,,,,,,,,Made,,5.0,,,,,,,,,,,,,,,,
44,PT08M48.00S,2025-12-21T02:50:53.7Z,1,REGULAR,3pt,Jump Shot,[],1629004,83.26215505913272,3.1862745098039214,1610612762,10,12,2025-12-21T02:51:44Z,440000,False,-234.0,105.0,1,right,S. Mykhailiuk 25' 3PT pullup (5 PTS) (K. George 1 AST),"[1629004, 1641718]",1610612762.0,UTA,pullup,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Left Center,25.65,Made,,5.0,K. George,1641718.0,1.0,,,,,,,,,,,,,
46,PT08M33.00S,2025-12-21T02:51:12.1Z,1,REGULAR,turnover,out-of-bounds,[],1628976,,,1610612753,10,12,2025-12-21T02:51:18Z,460000,False,,,0,,W. Carter Jr. step out-of-bounds TURNOVER (1 TO),[1628976],1610612753.0,ORL,step,,,Carter Jr.,W. Carter Jr.,,,,,Left Corner 3,24+ Left,,,,,,,,200834.0,1.0,,,,,,,,,,,
47,PT08M21.00S,2025-12-21T02:51:36.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641718,94.03745072273325,19.362745098039216,1610612762,10,12,2025-12-21T02:51:43Z,470000,False,-153.0,4.0,1,right,MISS K. George 15' pullup Shot,[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,Mid-Range,8-16 Left,15.32,Missed,,,,,,,,,,,,,,,,,,
48,PT08M19.00S,2025-12-21T02:51:38.1Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612753,10,12,2025-12-21T02:51:43Z,480000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1626145],1610612753.0,ORL,,,,Jones,T. Jones,,,,,Mid-Range,8-16 Left,,,47.0,,,,,,,1.0,1.0,0.0,,,,,,,,
49,PT08M13.00S,2025-12-21T02:51:44.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631094,8.492115637319317,42.40196078431372,1610612753,10,14,2025-12-21T02:52:47Z,490000,False,38.0,27.0,1,left,P. Banchero running Layup (6 PTS) (T. Jones 2 AST),"[1631094, 1626145]",1610612753.0,ORL,running,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,4.68,Made,,6.0,T. Jones,1626145.0,2.0,,,,,,,,,,,,,
51,PT07M58.00S,2025-12-21T02:51:59.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,93.64323258869908,54.41176470588235,1610612762,12,14,2025-12-21T02:53:29Z,510000,False,22.0,7.0,1,right,J. Nurkić driving Layup (2 PTS) (K. George 2 AST),"[203994, 1641718]",1610612762.0,UTA,driving,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,2.33,Made,,2.0,K. George,1641718.0,2.0,,,,,,,,,,,,,
54,PT07M45.00S,2025-12-21T02:52:30.5Z,1,REGULAR,2pt,Jump Shot,[],1641710,9.543363994743759,33.57843137254902,1610612753,12,14,2025-12-21T02:54:18Z,540000,False,82.0,37.0,1,left,MISS A. Black 9' driving floating bank Shot,[1641710],1610612753.0,ORL,driving floating bank,,,Black,A. Black,,,,,Mid-Range,8-16 Right,9.01,Missed,,,,,,,,,,,,,,,,,,
55,PT07M43.00S,2025-12-21T02:52:32.5Z,1,REGULAR,rebound,offensive,[],1631094,,,1610612753,12,14,2025-12-21T02:54:18Z,550000,False,,,0,,P. Banchero REBOUND (Off:1 Def:0),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,,,54.0,,,,,,,1.0,0.0,1.0,,,,,,,,
56,PT07M43.00S,2025-12-21T02:52:33.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1631094,5.590000152587891,50.0,1610612753,12,16,2025-12-21T02:54:22Z,560000,False,0.0,0.0,1,left,P. Banchero tip Layup (8 PTS),[1631094],1610612753.0,ORL,tip,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,0.0,Made,,8.0,,,,,,,,,,,,,,,,
57,PT07M26.00S,2025-12-21T02:52:47.7Z,1,REGULAR,3pt,Jump Shot,[],1642271,69.59592641261499,70.58823529411765,1610612762,12,16,2025-12-21T02:53:02Z,570000,False,103.0,233.0,1,right,MISS K. Filipowski 25' 3PT,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Right Center,25.5,Missed,,,,,,,,,,,,,,,,,,
58,PT07M24.00S,2025-12-21T02:52:49.7Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,12,16,2025-12-21T02:53:02Z,580000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,,,57.0,,,,,,,1.0,1.0,0.0,,,,,,,,
59,PT07M16.00S,2025-12-21T02:52:57.6Z,1,REGULAR,3pt,Jump Shot,[],1628976,27.94021024967148,77.20588235294117,1610612753,12,16,2025-12-21T02:53:04Z,590000,False,-136.0,210.0,1,left,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,25.03,Missed,,,,,,,,,,,,,,,,,,
60,PT07M13.00S,2025-12-21T02:53:00.6Z,1,REGULAR,rebound,defensive,[],1641729,,,1610612762,12,16,2025-12-21T02:53:04Z,600000,False,,,0,,B. Sensabaugh REBOUND (Off:0 Def:1),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Left Center,,,59.0,,,,,,,1.0,1.0,0.0,,,,,,,,
61,PT07M08.00S,2025-12-21T02:53:06.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641729,87.99277266754271,47.794117647058826,1610612762,12,16,2025-12-21T02:53:13Z,610000,False,-11.0,60.0,1,right,MISS B. Sensabaugh 6' running Layup - blocked,"[1641729, 1628976]",1610612762.0,UTA,running,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),0-8 Center,6.14,Missed,,,,,,,,,,,,,,,Carter Jr.,1628976.0,,
98,PT07M08.00S,2025-12-21T02:53:06.3Z,1,REGULAR,block,,[],1628976,,,1610612762,12,16,2025-12-21T02:56:19Z,615000,False,,,0,,W. Carter Jr. BLOCK (1 BLK),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
62,PT07M07.00S,2025-12-21T02:53:07.3Z,1,REGULAR,rebound,offensive,[],1629004,,,1610612762,12,16,2025-12-21T02:56:12Z,620000,False,,,0,,S. Mykhailiuk REBOUND (Off:1 Def:0),[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,In The Paint (Non-RA),0-8 Center,,,61.0,,,,,,,1.0,0.0,1.0,,,,,,,,
63,PT07M07.00S,2025-12-21T02:53:08.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1629004,94.40999984741211,50.0,1610612762,14,16,2025-12-21T02:56:17Z,630000,False,0.0,0.0,1,right,S. Mykhailiuk tip Layup (7 PTS),[1629004],1610612762.0,UTA,tip,,,Mykhailiuk,S. Mykhailiuk,,,,,Restricted Area,0-8 Center,0.0,Made,,7.0,,,,,,,,,,,,,,,,
64,PT06M56.00S,2025-12-21T02:53:17.1Z,1,REGULAR,3pt,Jump Shot,[],1626145,28.86005256241787,26.47058823529412,1610612753,14,16,2025-12-21T02:57:09Z,640000,False,118.0,219.0,1,left,MISS T. Jones 24' pullup 3PT,[1626145],1610612753.0,ORL,pullup,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,24.84,Missed,,,,,,,,,,,,,,,,,,
65,PT06M55.00S,2025-12-21T02:53:18.1Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,14,16,2025-12-21T02:57:24Z,650000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,,,64.0,,,,,,,2.0,1.0,1.0,,,,,,,,
66,PT06M55.00S,2025-12-21T02:53:20.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628976,5.590000152587891,50.0,1610612753,14,18,2025-12-21T02:57:28Z,660000,False,0.0,0.0,1,left,W. Carter Jr. tip Layup (4 PTS),[1628976],1610612753.0,ORL,tip,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,0.0,Made,,4.0,,,,,,,,,,,,,,,,
67,PT06M45.00S,2025-12-21T02:53:28.6Z,1,REGULAR,3pt,Jump Shot,[],1641718,67.88764783180025,58.333333333333336,1610612762,14,18,2025-12-21T02:53:33Z,670000,False,42.0,249.0,1,right,MISS K. George 25' pullup 3PT,[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,Above the Break 3,24+ Center,25.29,Missed,,,,,,,,,,,,,,,,,,
68,PT06M42.00S,2025-12-21T02:53:31.6Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,14,18,2025-12-21T02:53:33Z,680000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,,,67.0,,,,,,,3.0,2.0,1.0,,,,,,,,
69,PT06M34.00S,2025-12-21T02:53:42.7Z,1,REGULAR,foul,offensive,[],1628976,,,1610612753,14,18,2025-12-21T02:55:23Z,690000,False,,,0,,W. Carter Jr. offensive FOUL (1 PF),"[1628976, 1629004]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,200834.0,,,,,1.0,0.0,Mykhailiuk,1629004.0,,,,
71,PT06M34.00S,2025-12-21T02:53:42.7Z,1,REGULAR,turnover,offensive foul,[],1628976,,,1610612753,14,18,2025-12-21T02:53:42Z,710000,False,,,0,,W. Carter Jr. offensive foul TURNOVER (2 TO),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,200834.0,2.0,,,,,,,,,,,
72,PT06M34.00S,2025-12-21T02:53:51.1Z,1,REGULAR,substitution,out,[],1629004,,,1610612762,14,18,2025-12-21T02:53:56Z,720000,False,,,0,,SUB out: S. Mykhailiuk,[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M34.00S,2025-12-21T02:53:51.1Z,1,REGULAR,substitution,out,[],1642271,,,1610612762,14,18,2025-12-21T02:53:56Z,730000,False,,,0,,SUB out: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M34.00S,2025-12-21T02:53:51.1Z,1,REGULAR,substitution,out,[],1630217,,,1610612762,14,18,2025-12-21T02:53:56Z,740000,False,,,0,,SUB out: D. Bane,[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M34.00S,2025-12-21T02:53:51.1Z,1,REGULAR,substitution,in,[],1641707,,,1610612762,14,18,2025-12-21T02:53:56Z,750000,False,,,0,,SUB in: T. Hendricks,[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M34.00S,2025-12-21T02:53:51.1Z,1,REGULAR,substitution,in,[],1642268,,,1610612762,14,18,2025-12-21T02:53:56Z,760000,False,,,0,,SUB in: I. Collier,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M34.00S,2025-12-21T02:53:51.1Z,1,REGULAR,substitution,in,[],1641724,,,1610612762,14,18,2025-12-21T02:53:56Z,770000,False,,,0,,SUB in: J. Howard,[1641724],1610612753.0,ORL,,,,Howard,J. Howard,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M25.00S,2025-12-21T02:54:19.1Z,1,REGULAR,foul,offensive,[],1641729,,,1610612762,14,18,2025-12-21T02:54:28Z,780000,False,,,0,,B. Sensabaugh offensive FOUL (1 PF),"[1641729, 1641710]",1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Mid-Range,16-24 Right Center,,,,,,,,203592.0,,,,,1.0,0.0,Black,1641710.0,,,,
80,PT06M25.00S,2025-12-21T02:54:19.1Z,1,REGULAR,turnover,offensive foul,[],1641729,,,1610612762,14,18,2025-12-21T02:54:19Z,800000,False,,,0,,B. Sensabaugh offensive foul TURNOVER (1 TO),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Mid-Range,16-24 Right Center,,,,,,,,203592.0,1.0,,,,,,,,,,,
81,PT06M25.00S,2025-12-21T02:54:26.5Z,1,REGULAR,substitution,out,[],203994,,,1610612753,14,18,2025-12-21T02:54:37Z,810000,False,,,0,,SUB out: J. Nurkić,[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M25.00S,2025-12-21T02:54:26.5Z,1,REGULAR,substitution,in,[],201567,,,1610612753,14,18,2025-12-21T02:54:37Z,830000,False,,,0,,SUB in: K. Love,[201567],1610612762.0,UTA,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M25.00S,2025-12-21T02:54:26.5Z,1,REGULAR,substitution,in,[],1642859,,,1610612753,14,18,2025-12-21T02:54:37Z,840000,False,,,0,,SUB in: J. Richardson,[1642859],1610612753.0,ORL,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M25.00S,2025-12-21T02:54:26.5Z,1,REGULAR,substitution,out,[],1626145,,,1610612753,14,18,2025-12-21T02:54:43Z,850000,False,,,0,,SUB out: T. Jones,[1626145],1610612753.0,ORL,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M15.00S,2025-12-21T02:54:45.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641710,28.07161629434954,23.03921568627451,1610612753,14,18,2025-12-21T02:58:58Z,860000,False,135.0,211.0,1,left,MISS A. Black 25' step back 3PT,[1641710],1610612753.0,ORL,step back,,,Black,A. Black,,,,,Above the Break 3,24+ Right Center,25.07,Missed,,,,,,,,,,,,,,,,,,
87,PT06M13.00S,2025-12-21T02:54:47.5Z,1,REGULAR,rebound,defensive,[],201567,,,1610612762,14,18,2025-12-21T02:54:47Z,870000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612762.0,UTA,,,,Love,K. Love,,,,,Above the Break 3,24+ Right Center,,,86.0,,,,,,,1.0,1.0,0.0,,,,,,,,
88,PT06M06.00S,2025-12-21T02:54:54.9Z,1,REGULAR,3pt,Jump Shot,[],1641707,92.72339027595268,2.941176470588235,1610612762,17,18,2025-12-21T02:54:58Z,880000,False,-235.0,16.0,1,right,T. Hendricks 3PT  (3 PTS) (I. Collier 1 AST),"[1641707, 1642268]",1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,Left Corner 3,24+ Left,23.58,Made,,3.0,I. Collier,1642268.0,1.0,,,,,,,,,,,,,
90,PT05M57.00S,2025-12-21T02:55:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,6.783837056504599,53.431372549019606,1610612753,17,18,2025-12-21T02:55:09Z,900000,False,-17.0,11.0,1,left,MISS P. Banchero driving Layup,[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,2.06,Missed,,,,,,,,,,,,,,,,,,
