actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
19,PT11M02.00S,2025-11-17T01:12:45.5Z,1,REGULAR,foul,personal,['1freethrow'],1642846,,,1610612741,5,2,2025-11-17T01:12:51Z,190000,False,,,0,,A. Bailey shooting personal FOUL (1 PF) (Buzelis 1 FT),"[1642846, 1641824]",1610612762.0,UTA,shooting,,,Bailey,A. Bailey,,,,,202053.0,Mid-Range,8-16 Right,,,,,,,,,,,1.0,0.0,Buzelis,1641824.0,,,,,
21,PT11M02.00S,2025-11-17T01:13:06.5Z,1,REGULAR,freethrow,1 of 1,[],1641824,,,1610612741,5,3,2025-11-17T01:13:06Z,210000,False,,,0,,M. Buzelis Free Throw 1 of 1 (3 PTS),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,
22,PT10M43.00S,2025-11-17T01:13:27.3Z,1,REGULAR,3pt,Jump Shot,[],1642846,18.478975032851512,3.6764705882352944,1610612762,5,3,2025-11-17T01:13:32Z,220000,False,232.0,121.0,1,left,MISS A. Bailey 26' step back 3PT,[1642846],1610612762.0,UTA,step back,,,Bailey,A. Bailey,,,,,,Above the Break 3,24+ Right Center,26.14,Missed,,,,,,,,,,,,,,,,,
23,PT10M40.00S,2025-11-17T01:13:30.3Z,1,REGULAR,rebound,offensive,[],1642846,,,1610612762,5,3,2025-11-17T01:13:32Z,230000,False,,,0,,A. Bailey REBOUND (Off:1 Def:0),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,Above the Break 3,24+ Right Center,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,
24,PT10M38.00S,2025-11-17T01:13:31.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1642846,6.652431011826544,36.27450980392157,1610612762,7,3,2025-11-17T01:13:37Z,240000,False,69.0,10.0,1,left,A. Bailey 6' driving DUNK (2 PTS),[1642846],1610612762.0,UTA,driving,,,Bailey,A. Bailey,,,,,,In The Paint (Non-RA),0-8 Center,6.93,Made,2.0,,,,,,,,,,,,,,,,
25,PT10M38.00S,2025-11-17T01:13:39.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,7,3,2025-11-17T01:13:39Z,250000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M29.00S,2025-11-17T01:16:35.0Z,1,REGULAR,3pt,Jump Shot,[],1628989,77.7431011826544,8.57843137254902,1610612741,7,3,2025-11-17T01:16:39Z,260000,False,-207.0,157.0,1,right,MISS K. Huerter 25' 3PT,[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,,Above the Break 3,24+ Left Center,25.97,Missed,,,,,,,,,,,,,,,,,
27,PT10M26.00S,2025-11-17T01:16:38.0Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,7,3,2025-11-17T01:16:39Z,270000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,Above the Break 3,24+ Left Center,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,
28,PT10M20.00S,2025-11-17T01:16:45.5Z,1,REGULAR,foul,personal,[],1630581,,,1610612762,7,3,2025-11-17T01:17:29Z,280000,False,,,0,,J. Giddey personal FOUL (1 PF),"[1630581, 1628374]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,202053.0,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Markkanen,1628374.0,,,,,
30,PT10M09.00S,2025-11-17T01:17:26.6Z,1,REGULAR,3pt,Jump Shot,[],1641718,10.068988173455978,3.6764705882352944,1610612762,7,3,2025-11-17T01:17:31Z,300000,False,232.0,42.0,1,left,MISS K. George 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,Right Corner 3,24+ Right,23.54,Missed,,,,,,,,,,,,,,,,,
31,PT10M07.00S,2025-11-17T01:17:29.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,7,3,2025-11-17T01:17:29Z,310000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,Right Corner 3,24+ Right,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,
32,PT09M51.00S,2025-11-17T01:17:45.1Z,1,REGULAR,3pt,Jump Shot,[],1630581,69.59592641261499,31.61764705882353,1610612741,7,3,2025-11-17T01:18:29Z,320000,False,-92.0,233.0,1,right,MISS J. Giddey 25' pullup 3PT,[1630581],1610612741.0,CHI,pullup,,,Giddey,J. Giddey,,,,,,Above the Break 3,24+ Left Center,25.07,Missed,,,,,,,,,,,,,,,,,
33,PT09M48.00S,2025-11-17T01:17:48.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,7,3,2025-11-17T01:17:49Z,330000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,32.0,,,,,,,,,,,,
35,PT09M33.00S,2025-11-17T01:18:07.8Z,1,REGULAR,3pt,Jump Shot,[],1642846,31.750985545335087,73.0392156862745,1610612762,10,3,2025-11-17T01:18:12Z,350000,False,-115.0,246.0,1,left,A. Bailey 27' 3PT  (5 PTS) (K. George 2 AST),"[1642846, 1641718]",1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,Above the Break 3,24+ Left Center,27.16,Made,5.0,K. George,1641718.0,2.0,,,,,,,,,,,,,
37,PT09M18.00S,2025-11-17T01:18:22.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,90.48948751642575,49.50980392156863,1610612741,10,3,2025-11-17T01:20:34Z,370000,False,-2.0,37.0,1,right,MISS J. Giddey driving Layup - blocked,"[1630581, 1629004]",1610612741.0,CHI,driving,,,Giddey,J. Giddey,,,,,,Restricted Area,0-8 Center,3.7,Missed,,,,,,,,,,,,,Mykhailiuk,1629004.0,,,
38,PT09M18.00S,2025-11-17T01:18:22.9Z,1,REGULAR,block,,[],1629004,,,1610612741,10,3,2025-11-17T01:18:24Z,380000,False,,,0,,S. Mykhailiuk BLOCK (1 BLK),[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
39,PT09M15.00S,2025-11-17T01:18:25.9Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612741,10,3,2025-11-17T01:18:26Z,390000,False,,,0,,I. Okoro REBOUND (Off:1 Def:0),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,Restricted Area,0-8 Center,,,,,,,37.0,1.0,0.0,1.0,,,,,,,,,
40,PT09M08.00S,2025-11-17T01:18:33.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641824,88.12417871222075,41.911764705882355,1610612741,10,5,2025-11-17T01:21:53Z,400000,False,-40.0,59.0,1,right,M. Buzelis 7' driving finger roll Layup (5 PTS),[1641824],1610612741.0,CHI,driving finger roll,,,Buzelis,M. Buzelis,,,,,,In The Paint (Non-RA),0-8 Center,7.16,Made,5.0,,,,,,,,,,,,,,,,
41,PT08M55.00S,2025-11-17T01:18:47.2Z,1,REGULAR,3pt,Jump Shot,[],1628374,34.37910643889619,50.98039215686274,1610612762,10,5,2025-11-17T01:18:50Z,410000,False,-5.0,271.0,1,left,MISS L. Markkanen 27' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,Above the Break 3,24+ Center,27.07,Missed,,,,,,,,,,,,,,,,,
42,PT08M52.00S,2025-11-17T01:18:50.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,10,5,2025-11-17T01:18:50Z,420000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,Above the Break 3,24+ Center,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,
43,PT08M44.00S,2025-11-17T01:18:58.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,89.17542706964521,48.529411764705884,1610612741,10,5,2025-11-17T01:23:08Z,430000,False,-7.0,49.0,1,right,MISS I. Okoro cutting Layup,[1630171],1610612741.0,CHI,cutting,,,Okoro,I. Okoro,,,,,,In The Paint (Non-RA),0-8 Center,4.99,Missed,,,,,,,,,,,,,,,,,
44,PT08M40.00S,2025-11-17T01:19:02.0Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612741,10,5,2025-11-17T01:19:02Z,440000,False,,,0,,I. Okoro REBOUND (Off:2 Def:0),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,43.0,2.0,0.0,2.0,,,,,,,,,
45,PT08M40.00S,2025-11-17T01:19:00.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630171,94.40999984741211,50.0,1610612741,10,5,2025-11-17T01:19:04Z,450000,False,0.0,0.0,1,right,MISS I. Okoro tip Layup,[1630171],1610612741.0,CHI,tip,,,Okoro,I. Okoro,,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,
46,PT08M40.00S,2025-11-17T01:19:00.8Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,10,5,2025-11-17T01:19:04Z,460000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:2),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,Restricted Area,0-8 Center,,,,,,,45.0,2.0,2.0,0.0,,,,,,,,,
47,PT08M28.00S,2025-11-17T01:19:13.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,6.521024967148489,59.31372549019608,1610612762,10,5,2025-11-17T01:24:19Z,470000,False,-47.0,9.0,1,left,MISS L. Markkanen driving floating Shot,[1628374],1610612762.0,UTA,driving floating,,,Markkanen,L. Markkanen,,,,,,In The Paint (Non-RA),0-8 Center,4.74,Missed,,,,,,,,,,,,,,,,,
48,PT08M27.00S,2025-11-17T01:19:14.0Z,1,REGULAR,rebound,offensive,[],203994,,,1610612762,10,5,2025-11-17T01:19:15Z,480000,False,,,0,,J. Nurkić REBOUND (Off:1 Def:0),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,47.0,1.0,0.0,1.0,,,,,,,,,
49,PT08M26.00S,2025-11-17T01:19:16.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203994,14.011169513797633,51.9607843137255,1610612762,10,5,2025-11-17T01:19:19Z,490000,False,-10.0,79.0,1,left,MISS J. Nurkić 7' Hook,[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,,In The Paint (Non-RA),0-8 Center,7.98,Missed,,,,,,,,,,,,,,,,,
50,PT08M23.00S,2025-11-17T01:19:18.0Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,10,5,2025-11-17T01:19:18Z,500000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,
51,PT08M18.00S,2025-11-17T01:19:23.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630171,92.9862023653088,3.431372549019608,1610612741,10,5,2025-11-17T01:25:30Z,510000,False,-233.0,13.0,1,right,MISS I. Okoro running 3PT,[1630171],1610612741.0,CHI,running,,,Okoro,I. Okoro,,,,,,Left Corner 3,24+ Left,23.32,Missed,,,,,,,,,,,,,,,,,
52,PT08M15.00S,2025-11-17T01:19:26.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612762,10,5,2025-11-17T01:19:27Z,520000,False,,,0,,J. Nurkić REBOUND (Off:1 Def:1),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,,Left Corner 3,24+ Left,,,,,,,51.0,2.0,1.0,1.0,,,,,,,,,
53,PT08M07.00S,2025-11-17T01:19:34.6Z,1,REGULAR,3pt,Jump Shot,[],1641718,24.26084099868594,84.55882352941177,1610612762,13,5,2025-11-17T01:19:40Z,530000,False,-173.0,176.0,1,left,K. George 24' 3PT step back (3 PTS),[1641718],1610612762.0,UTA,step back,,,George,K. George,,,,,,Above the Break 3,24+ Left Center,24.64,Made,3.0,,,,,,,,,,,,,,,,
54,PT07M51.00S,2025-11-17T01:19:50.0Z,1,REGULAR,3pt,Jump Shot,[],1641824,92.59198423127464,94.11764705882352,1610612741,13,8,2025-11-17T01:19:54Z,540000,False,221.0,17.0,1,right,M. Buzelis 3PT  (8 PTS) (J. Giddey 2 AST),"[1641824, 1630581]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,Right Corner 3,24+ Right,22.13,Made,8.0,J. Giddey,1630581.0,2.0,,,,,,,,,,,,,
56,PT07M32.00S,2025-11-17T01:20:08.9Z,1,REGULAR,3pt,Jump Shot,[],1642846,9.411957950065702,2.696078431372549,1610612762,13,8,2025-11-17T01:20:12Z,560000,False,237.0,36.0,1,left,MISS A. Bailey 3PT,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,Right Corner 3,24+ Right,23.92,Missed,,,,,,,,,,,,,,,,,
57,PT07M29.00S,2025-11-17T01:20:11.9Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612741,13,8,2025-11-17T01:20:12Z,570000,False,,,0,,I. Okoro REBOUND (Off:2 Def:1),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,Right Corner 3,24+ Right,,,,,,,56.0,3.0,1.0,2.0,,,,,,,,,
58,PT07M20.00S,2025-11-17T01:20:20.7Z,1,REGULAR,3pt,Jump Shot,[],1641824,70.51576872536137,74.01960784313727,1610612741,13,8,2025-11-17T01:20:27Z,580000,False,120.0,225.0,1,right,MISS M. Buzelis 25' 3PT,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,Above the Break 3,24+ Right Center,25.48,Missed,,,,,,,,,,,,,,,,,
59,PT07M18.00S,2025-11-17T01:20:22.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,13,8,2025-11-17T01:20:27Z,590000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,58.0,,,,,,,,,,,,
61,PT07M08.00S,2025-11-17T01:20:40.1Z,1,REGULAR,3pt,Jump Shot,[],1641718,29.122864651773984,75.24509803921569,1610612762,13,8,2025-11-17T01:20:45Z,610000,False,-126.0,221.0,1,left,MISS K. George 25' pullup 3PT,[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,,Above the Break 3,24+ Left Center,25.48,Missed,,,,,,,,,,,,,,,,,
62,PT07M04.00S,2025-11-17T01:20:44.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,13,8,2025-11-17T01:20:45Z,620000,False,,,0,,N. Vučević REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,Above the Break 3,24+ Left Center,,,,,,,61.0,2.0,2.0,0.0,,,,,,,,,
63,PT06M59.00S,2025-11-17T01:20:51.1Z,1,REGULAR,foul,personal,['2freethrow'],1629004,,,1610612741,13,8,2025-11-17T01:20:59Z,630000,False,,,0,,S. Mykhailiuk shooting personal FOUL (1 PF) (Giddey 2 FT),"[1629004, 1630581]",1610612762.0,UTA,shooting,,,Mykhailiuk,S. Mykhailiuk,,,,,202053.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,0.0,Giddey,1630581.0,,,,,
65,PT06M59.00S,2025-11-17T01:21:19.0Z,1,REGULAR,freethrow,1 of 2,[],1630581,,,1610612741,13,9,2025-11-17T01:21:19Z,650000,False,,,0,,J. Giddey Free Throw 1 of 2 (1 PTS),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
66,PT06M59.00S,2025-11-17T01:21:19.7Z,1,REGULAR,substitution,out,[],1642846,,,1610612741,13,9,2025-11-17T01:21:25Z,660000,False,,,0,,SUB out: A. Bailey,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M59.00S,2025-11-17T01:21:19.7Z,1,REGULAR,substitution,out,[],203994,,,1610612741,13,9,2025-11-17T01:21:25Z,670000,False,,,0,,SUB out: J. Nurkić,[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M59.00S,2025-11-17T01:21:19.7Z,1,REGULAR,substitution,in,[],201567,,,1610612741,13,9,2025-11-17T01:21:25Z,680000,False,,,0,,SUB in: K. Love,[201567],1610612762.0,UTA,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M59.00S,2025-11-17T01:21:19.7Z,1,REGULAR,substitution,in,[],1642262,,,1610612741,13,9,2025-11-17T01:21:25Z,690000,False,,,0,,SUB in: C. Williams,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M59.00S,2025-11-17T01:21:38.8Z,1,REGULAR,freethrow,2 of 2,[],1630581,,,1610612741,13,10,2025-11-17T01:21:38Z,700000,False,,,0,,J. Giddey Free Throw 2 of 2 (2 PTS),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,
71,PT06M53.00S,2025-11-17T01:21:48.8Z,1,REGULAR,3pt,Jump Shot,[],1628374,32.276609724047304,36.76470588235294,1610612762,16,10,2025-11-17T01:21:53Z,710000,False,66.0,251.0,1,left,L. Markkanen 25' 3PT  (5 PTS) (K. George 3 AST),"[1628374, 1641718]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,Above the Break 3,24+ Center,25.95,Made,5.0,K. George,1641718.0,3.0,,,,,,,,,,,,,
73,PT06M41.00S,2025-11-17T01:22:01.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,87.46714848883047,41.42156862745098,1610612741,16,12,2025-11-17T01:22:07Z,730000,False,-43.0,65.0,1,right,N. Vučević 7' floating Jump Shot (2 PTS) (J. Giddey 3 AST),"[202696, 1630581]",1610612741.0,CHI,floating,,,Vučević,N. Vučević,,,,,,In The Paint (Non-RA),0-8 Center,7.81,Made,2.0,J. Giddey,1630581.0,3.0,,,,,,,,,,,,,
76,PT06M21.00S,2025-11-17T01:22:23.8Z,1,REGULAR,substitution,out,[],1628989,,,1610612762,16,12,2025-11-17T01:22:27Z,760000,False,,,0,,SUB out: K. Huerter,[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M21.00S,2025-11-17T01:22:23.8Z,1,REGULAR,substitution,in,[],1629632,,,1610612762,16,12,2025-11-17T01:22:27Z,770000,False,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M16.00S,2025-11-17T01:22:46.7Z,1,REGULAR,2pt,Jump Shot,[],1628374,22.026938239159,45.588235294117645,1610612762,16,12,2025-11-17T01:22:51Z,780000,False,22.0,155.0,1,left,MISS L. Markkanen 15' pullup Shot,[1628374],1610612762.0,UTA,pullup,,,Markkanen,L. Markkanen,,,,,,Mid-Range,8-16 Center,15.62,Missed,,,,,,,,,,,,,,,,,
79,PT06M14.00S,2025-11-17T01:22:48.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,16,12,2025-11-17T01:22:51Z,790000,False,,,0,,N. Vučević REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,Mid-Range,8-16 Center,,,,,,,78.0,3.0,3.0,0.0,,,,,,,,,
80,PT06M06.00S,2025-11-17T01:22:56.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,88.25558475689881,42.40196078431372,1610612741,16,12,2025-11-17T01:28:51Z,800000,False,-38.0,58.0,1,right,MISS J. Giddey 6' driving floating Shot,[1630581],1610612741.0,CHI,driving floating,,,Giddey,J. Giddey,,,,,,In The Paint (Non-RA),0-8 Center,6.93,Missed,,,,,,,,,,,,,,,,,
81,PT06M04.00S,2025-11-17T01:22:58.8Z,1,REGULAR,rebound,defensive,[],201567,,,1610612762,16,12,2025-11-17T01:23:01Z,810000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612762.0,UTA,,,,Love,K. Love,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,
82,PT05M52.00S,2025-11-17T01:23:11.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641718,19.793035479632064,63.48039215686274,1610612762,18,12,2025-11-17T01:23:16Z,820000,False,-67.0,134.0,1,left,K. George 14' pullup Jump Shot (5 PTS),[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,,In The Paint (Non-RA),8-16 Center,14.96,Made,5.0,,,,,,,,,,,,,,,,
83,PT05M41.00S,2025-11-17T01:23:21.3Z,1,REGULAR,3pt,Jump Shot,[],202696,67.49342969776609,42.40196078431372,1610612741,18,12,2025-11-17T01:23:26Z,830000,False,-38.0,253.0,1,right,MISS N. Vučević 25' 3PT,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,Above the Break 3,24+ Center,25.59,Missed,,,,,,,,,,,,,,,,,
84,PT05M39.00S,2025-11-17T01:23:23.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,18,12,2025-11-17T01:23:26Z,840000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,83.0,,,,,,,,,,,,
86,PT05M39.00S,2025-11-17T01:23:27.1Z,1,REGULAR,substitution,out,[],1629004,,,1610612741,18,12,2025-11-17T01:23:37Z,860000,False,,,0,,SUB out: S. Mykhailiuk,[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,,
