actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
23,PT10M34.00S,2025-11-14T02:20:15.5Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,2,1,2025-11-14T02:20:18Z,230000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT10M28.00S,2025-11-14T02:20:21.3Z,1,REGULAR,3pt,Jump Shot,[],1642258,8.360709592641262,2.941176470588235,1610612737,2,4,2025-11-14T02:20:26Z,240000,False,235.0,26.0,1,left,Z. Risacher 3PT  (3 PTS) (J. Johnson 1 AST),"[1642258, 1630552]",1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Right Corner 3,24+ Right,23.67,Made,,,,,,,3.0,,,,,,,J. Johnson,1630552.0,1.0,,
26,PT10M16.00S,2025-11-14T02:20:32.7Z,1,REGULAR,3pt,Jump Shot,[],203994,84.70762155059133,95.09803921568627,1610612762,2,4,2025-11-14T02:20:40Z,260000,False,225.0,91.0,1,right,MISS J. Nurkić 24' 3PT,[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Above the Break 3,24+ Right,24.32,Missed,,,,,,,,,,,,,,,,,,
27,PT10M10.00S,2025-11-14T02:20:38.7Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612737,2,4,2025-11-14T02:20:40Z,270000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Right,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT10M08.00S,2025-11-14T02:20:40.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629638,29.122864651773984,27.205882352941174,1610612737,2,4,2025-11-14T02:20:47Z,280000,False,114.0,221.0,1,left,MISS N. Alexander-Walker 24' running 3PT,[1629638],1610612737.0,ATL,running,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Right Center,24.89,Missed,,,,,,,,,,,,,,,,,,
29,PT10M06.00S,2025-11-14T02:20:42.9Z,1,REGULAR,rebound,defensive,[],203994,,,1610612762,2,4,2025-11-14T02:20:47Z,290000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:1),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Above the Break 3,24+ Right Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT09M57.00S,2025-11-14T02:20:51.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,87.72996057818659,41.17647058823529,1610612762,4,4,2025-11-14T02:20:59Z,300000,False,-44.0,63.0,1,right,J. Nurkić 7' floating Jump Shot (2 PTS) (S. Mykhailiuk 1 AST),"[203994, 1629004]",1610612762.0,UTA,floating,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,7.67,Made,,,,,,,2.0,,,,,,,S. Mykhailiuk,1629004.0,1.0,,
32,PT09M49.00S,2025-11-14T02:21:00.1Z,1,REGULAR,3pt,Jump Shot,[],1630552,29.911300919842315,71.81372549019608,1610612737,4,7,2025-11-14T02:21:04Z,320000,False,-109.0,229.0,1,left,J. Johnson 25' 3PT  (4 PTS) (N. Alexander-Walker 1 AST),"[1630552, 1629638]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,25.34,Made,,,,,,,4.0,,,,,,,N. Alexander-Walker,1629638.0,1.0,,
34,PT09M23.00S,2025-11-14T02:21:25.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628374,93.38042049934296,60.78431372549019,1610612762,6,7,2025-11-14T02:21:30Z,340000,False,54.0,10.0,1,right,L. Markkanen driving DUNK (4 PTS) (J. Nurkić 1 AST),"[1628374, 203994]",1610612762.0,UTA,driving,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,5.48,Made,,,,,,,4.0,,,,,,,J. Nurkić,203994.0,1.0,,
36,PT09M08.00S,2025-11-14T02:21:41.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,6.521024967148489,45.83333333333333,1610612737,6,9,2025-11-14T02:21:45Z,360000,False,21.0,9.0,1,left,N. Alexander-Walker driving Layup (2 PTS),[1629638],1610612737.0,ATL,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,2.26,Made,,,,,,,2.0,,,,,,,,,,,
37,PT08M59.00S,2025-11-14T02:21:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,95.0886990801577,45.09803921568628,1610612762,8,9,2025-11-14T02:22:04Z,370000,False,-25.0,-6.0,1,right,L. Markkanen reverse Layup (6 PTS) (J. Nurkić 2 AST),"[1628374, 203994]",1610612762.0,UTA,reverse,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,2.53,Made,,,,,,,6.0,,,,,,,J. Nurkić,203994.0,2.0,,
39,PT08M59.00S,2025-11-14T02:21:54.1Z,1,REGULAR,foul,personal,['1freethrow'],1642258,,,1610612762,8,9,2025-11-14T02:22:00Z,390000,False,,,0,,Z. Risacher shooting personal FOUL (1 PF) (Markkanen 1 FT),"[1642258, 1628374]",1610612737.0,ATL,shooting,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,,204059.0,,,1.0,0.0,Markkanen,1628374.0,,,,,,,
41,PT08M59.00S,2025-11-14T02:22:23.1Z,1,REGULAR,freethrow,1 of 1,[],1628374,,,1610612762,9,9,2025-11-14T02:22:23Z,410000,False,,,0,,L. Markkanen Free Throw 1 of 1 (7 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
42,PT08M41.00S,2025-11-14T02:22:42.4Z,1,REGULAR,3pt,Jump Shot,[],1630168,5.338370565045992,3.431372549019608,1610612737,9,12,2025-11-14T02:22:47Z,420000,False,233.0,-2.0,1,left,O. Okongwu 3PT  (3 PTS) (Z. Risacher 1 AST),"[1630168, 1642258]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Right Corner 3,24+ Right,23.28,Made,,,,,,,3.0,,,,,,,Z. Risacher,1642258.0,1.0,,
44,PT08M24.00S,2025-11-14T02:22:58.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,91.93495400788436,38.72549019607843,1610612762,9,12,2025-11-14T02:23:02Z,440000,False,-56.0,23.0,1,right,MISS J. Nurkić 6' Layup,[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,6.1,Missed,,,,,,,,,,,,,,,,,,
45,PT08M23.00S,2025-11-14T02:22:59.7Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,9,12,2025-11-14T02:23:02Z,450000,False,,,0,,J. Johnson REBOUND (Off:0 Def:2),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,44.0,2.0,2.0,0.0,,,,,,,,,,,,,,
46,PT08M18.00S,2025-11-14T02:23:04.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1630552,11.514454664914586,54.90196078431373,1610612737,9,12,2025-11-14T02:23:10Z,460000,False,-25.0,56.0,1,left,MISS J. Johnson 6' driving floating Shot,[1630552],1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,6.09,Missed,,,,,,,,,,,,,,,,,,
47,PT08M16.00S,2025-11-14T02:23:06.3Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,9,12,2025-11-14T02:23:10Z,470000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,
48,PT08M06.00S,2025-11-14T02:23:16.7Z,1,REGULAR,2pt,Jump Shot,[],1628374,87.07293035479631,31.61764705882353,1610612762,9,12,2025-11-14T02:23:22Z,480000,False,-92.0,69.0,1,right,MISS L. Markkanen 11' Jump Shot,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Mid-Range,8-16 Left,11.49,Missed,,,,,,,,,,,,,,,,,,
49,PT08M01.00S,2025-11-14T02:23:21.7Z,1,REGULAR,rebound,offensive,[],1641718,,,1610612762,9,12,2025-11-14T02:23:22Z,490000,False,,,0,,K. George REBOUND (Off:1 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Mid-Range,8-16 Left,,,48.0,2.0,1.0,1.0,,,,,,,,,,,,,,
50,PT08M00.00S,2025-11-14T02:23:23.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1642846,94.43166885676742,91.42156862745098,1610612762,11,12,2025-11-14T02:23:44Z,500000,False,207.0,0.0,1,right,A. Bailey 20' Jump Shot (2 PTS) (K. George 1 AST),"[1642846, 1641718]",1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Mid-Range,16-24 Right,20.71,Made,,,,,,,2.0,,,,,,,K. George,1641718.0,1.0,,
52,PT07M57.00S,2025-11-14T02:23:46.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,11,12,2025-11-14T02:23:46Z,520000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M42.00S,2025-11-14T02:26:53.5Z,1,REGULAR,3pt,Jump Shot,[],1642258,6.915243101182654,95.34313725490196,1610612737,11,12,2025-11-14T02:26:57Z,530000,False,-227.0,13.0,1,left,MISS Z. Risacher 3PT,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Left Corner 3,24+ Left,22.7,Missed,,,,,,,,,,,,,,,,,,
54,PT07M40.00S,2025-11-14T02:26:55.5Z,1,REGULAR,rebound,defensive,[],203994,,,1610612762,11,12,2025-11-14T02:26:57Z,540000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:2),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Left Corner 3,24+ Left,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,,
55,PT07M37.00S,2025-11-14T02:26:59.2Z,1,REGULAR,3pt,Jump Shot,[],1642846,73.27529566360053,80.63725490196079,1610612762,11,12,2025-11-14T02:27:05Z,550000,False,153.0,199.0,1,right,MISS A. Bailey 25' running 3PT,[1642846],1610612762.0,UTA,running,,,Bailey,A. Bailey,,,,,Above the Break 3,24+ Right Center,25.09,Missed,,,,,,,,,,,,,,,,,,
56,PT07M35.00S,2025-11-14T02:27:01.2Z,1,REGULAR,rebound,offensive,[],1628374,,,1610612762,11,12,2025-11-14T02:27:29Z,560000,False,,,0,,L. Markkanen REBOUND (Off:2 Def:0),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,,,55.0,2.0,0.0,2.0,,,,,,,,,,,,,,
58,PT07M27.00S,2025-11-14T02:27:34.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628374,91.93495400788436,53.92156862745098,1610612762,13,12,2025-11-14T02:27:42Z,580000,False,20.0,23.0,1,right,L. Markkanen cutting Layup (9 PTS) (J. Nurkić 3 AST),"[1628374, 203994]",1610612762.0,UTA,cutting,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,3.04,Made,,,,,,,9.0,,,,,,,J. Nurkić,203994.0,3.0,,
60,PT07M19.00S,2025-11-14T02:27:43.0Z,1,REGULAR,3pt,Jump Shot,[],1630168,32.40801576872536,46.81372549019608,1610612737,13,15,2025-11-14T02:27:49Z,600000,False,16.0,252.0,1,left,O. Okongwu 25' 3PT  (6 PTS) (D. Daniels 1 AST),"[1630168, 1630700]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,25.26,Made,,,,,,,6.0,,,,,,,D. Daniels,1630700.0,1.0,,
62,PT06M59.00S,2025-11-14T02:28:01.9Z,1,REGULAR,3pt,Jump Shot,[],1628374,95.3515111695138,2.941176470588235,1610612762,13,15,2025-11-14T02:28:06Z,620000,False,-235.0,-9.0,1,right,MISS L. Markkanen 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Left Corner 3,24+ Left,23.55,Missed,,,,,,,,,,,,,,,,,,
63,PT06M57.00S,2025-11-14T02:28:03.9Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,13,15,2025-11-14T02:28:06Z,630000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Left Corner 3,24+ Left,,,62.0,2.0,2.0,0.0,,,,,,,,,,,,,,
64,PT06M50.00S,2025-11-14T02:28:11.8Z,1,REGULAR,3pt,Jump Shot,[],1630168,32.670827858081466,46.568627450980394,1610612737,13,15,2025-11-14T02:28:16Z,640000,False,17.0,255.0,1,left,MISS O. Okongwu 25' 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,25.52,Missed,,,,,,,,,,,,,,,,,,
65,PT06M47.00S,2025-11-14T02:28:14.8Z,1,REGULAR,rebound,defensive,[],1642846,,,1610612762,13,15,2025-11-14T02:28:16Z,650000,False,,,0,,A. Bailey REBOUND (Off:0 Def:1),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Above the Break 3,24+ Center,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,,
66,PT06M36.00S,2025-11-14T02:28:26.1Z,1,REGULAR,turnover,bad pass,[],1628374,,,1610612762,13,15,2025-11-14T02:28:29Z,660000,False,,,0,,L. Markkanen bad pass TURNOVER (1 TO),"[1628374, 1630700]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,,,,,,Daniels,1630700.0,,,,,
67,PT06M36.00S,2025-11-14T02:28:26.1Z,1,REGULAR,steal,,[],1630700,,,1610612737,13,15,2025-11-14T02:28:27Z,670000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
68,PT06M30.00S,2025-11-14T02:28:32.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630552,8.623521681997373,41.42156862745098,1610612737,13,17,2025-11-14T02:28:59Z,680000,False,43.0,29.0,1,left,J. Johnson running Layup (6 PTS),[1630552],1610612737.0,ATL,running,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,5.16,Made,,,,,,,6.0,,,,,,,,,,,
69,PT06M17.00S,2025-11-14T02:28:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641718,87.86136662286465,44.6078431372549,1610612762,13,17,2025-11-14T02:29:12Z,690000,False,-27.0,62.0,1,right,MISS K. George 6' driving Layup,[1641718],1610612762.0,UTA,driving,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,6.73,Missed,,,,,,,,,,,,,,,,,,
70,PT06M16.00S,2025-11-14T02:28:45.6Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,13,17,2025-11-14T02:28:53Z,700000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:3),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,69.0,3.0,3.0,0.0,,,,,,,,,,,,,,
71,PT06M09.00S,2025-11-14T02:28:53.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629638,17.69053876478318,39.46078431372549,1610612737,13,19,2025-11-14T02:28:58Z,710000,False,53.0,114.0,1,left,N. Alexander-Walker 12' driving floating Jump Shot (4 PTS),[1629638],1610612737.0,ATL,driving floating,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),8-16 Center,12.54,Made,,,,,,,4.0,,,,,,,,,,,
73,PT05M56.00S,2025-11-14T02:29:05.3Z,1,REGULAR,3pt,Jump Shot,[],1628374,70.64717477003943,77.94117647058823,1610612762,13,19,2025-11-14T02:29:11Z,730000,False,140.0,223.0,1,right,MISS L. Markkanen 26' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,26.35,Missed,,,,,,,,,,,,,,,,,,
74,PT05M55.00S,2025-11-14T02:29:09.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,13,19,2025-11-14T02:29:09Z,740000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Right Center,,,73.0,,,,,,,,,,,,,,,,,
75,PT05M55.00S,2025-11-14T02:29:09.9Z,1,REGULAR,foul,personal,[],1630168,,,1610612762,13,19,2025-11-14T02:29:18Z,750000,False,,,0,,O. Okongwu loose ball personal FOUL (1 PF),"[1630168, 203994]",1610612737.0,ATL,loose ball,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,203592.0,,,1.0,0.0,Nurkić,203994.0,,,,,,,
77,PT05M55.00S,2025-11-14T02:29:15.7Z,1,REGULAR,substitution,out,[],1629004,,,1610612762,13,19,2025-11-14T02:29:32Z,770000,False,,,0,,SUB out: S. Mykhailiuk,[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M55.00S,2025-11-14T02:29:15.7Z,1,REGULAR,substitution,out,[],1642846,,,1610612762,13,19,2025-11-14T02:29:32Z,780000,False,,,0,,SUB out: A. Bailey,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M55.00S,2025-11-14T02:29:15.7Z,1,REGULAR,substitution,out,[],1628374,,,1610612762,13,19,2025-11-14T02:29:32Z,790000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M55.00S,2025-11-14T02:29:15.7Z,1,REGULAR,substitution,out,[],1629638,,,1610612762,13,19,2025-11-14T02:29:32Z,800000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M55.00S,2025-11-14T02:29:15.7Z,1,REGULAR,substitution,out,[],1630168,,,1610612762,13,19,2025-11-14T02:29:32Z,810000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M55.00S,2025-11-14T02:29:15.7Z,1,REGULAR,substitution,in,[],1642268,,,1610612762,13,19,2025-11-14T02:29:32Z,820000,False,,,0,,SUB in: I. Collier,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M55.00S,2025-11-14T02:29:15.7Z,1,REGULAR,substitution,in,[],1642271,,,1610612762,13,19,2025-11-14T02:29:32Z,830000,False,,,0,,SUB in: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
