actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
17,PT10M51.00S,2026-01-11T02:42:59.4Z,1,REGULAR,rebound,offensive,[],1631217,,,1610612766,0,3,2026-01-11T02:42:59Z,170000,False,,,0,,M. Diabaté REBOUND (Off:1 Def:1),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,Above the Break 3,24+ Left Center,,,,,,,16.0,2.0,1.0,1.0,,,,,,,,,
18,PT10M50.00S,2026-01-11T02:43:00.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630163,80.6340341655716,4.6568627450980395,1610612766,0,6,2026-01-11T02:43:06Z,180000,False,-227.0,130.0,1,right,L. Ball 26' 3PT  (3 PTS) (M. Diabaté 1 AST),"[1630163, 1631217]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,Above the Break 3,24+ Left Center,26.11,Made,3.0,M. Diabaté,1631217.0,1.0,,,,,,,,,,,,,
20,PT10M34.00S,2026-01-11T02:43:19.3Z,1,REGULAR,foul,personal,['2freethrow'],1642851,,,1610612762,0,6,2026-01-11T02:43:31Z,200000,False,,,0,,K. Knueppel shooting personal FOUL (1 PF) (Sensabaugh 2 FT),"[1642851, 1641729]",1610612766.0,CHA,shooting,,,Knueppel,K. Knueppel,,,,,202026.0,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,1.0,0.0,Sensabaugh,1641729.0,,
22,PT10M34.00S,2026-01-11T02:43:45.1Z,1,REGULAR,freethrow,1 of 2,[],1641729,,,1610612762,1,6,2026-01-11T02:43:45Z,220000,False,,,0,,B. Sensabaugh Free Throw 1 of 2 (1 PTS),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
23,PT10M34.00S,2026-01-11T02:43:58.5Z,1,REGULAR,freethrow,2 of 2,[],1641729,,,1610612762,2,6,2026-01-11T02:43:58Z,230000,False,,,0,,B. Sensabaugh Free Throw 2 of 2 (2 PTS),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,
24,PT10M24.00S,2026-01-11T02:44:09.4Z,1,REGULAR,3pt,Jump Shot,[],1641706,67.23061760840999,38.48039215686275,1610612766,2,6,2026-01-11T02:44:14Z,240000,False,-58.0,256.0,1,right,MISS B. Miller 26' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,Above the Break 3,24+ Center,26.19,Missed,,,,,,,,,,,,,,,,,
25,PT10M21.00S,2026-01-11T02:44:13.5Z,1,REGULAR,rebound,offensive,[],1641706,,,1610612766,2,6,2026-01-11T02:44:13Z,250000,False,,,0,,B. Miller REBOUND (Off:1 Def:0),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,Above the Break 3,24+ Center,,,,,,,24.0,1.0,0.0,1.0,,,,,,,,,
26,PT10M17.00S,2026-01-11T02:44:17.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642851,94.82588699080158,3.9215686274509802,1610612766,2,9,2026-01-11T02:44:21Z,260000,False,-230.0,-4.0,1,right,K. Knueppel 3PT  (3 PTS) (L. Ball 1 AST),"[1642851, 1630163]",1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,,Left Corner 3,24+ Left,23.04,Made,3.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,
28,PT10M05.00S,2026-01-11T02:44:28.9Z,1,REGULAR,3pt,Jump Shot,[],201567,21.107095926412615,6.61764705882353,1610612762,2,9,2026-01-11T02:44:33Z,280000,False,217.0,146.0,1,left,MISS K. Love 26' 3PT,[201567],1610612762.0,UTA,,,,Love,K. Love,,,,,,Above the Break 3,24+ Right Center,26.14,Missed,,,,,,,,,,,,,,,,,
29,PT10M03.00S,2026-01-11T02:44:30.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,2,9,2026-01-11T02:44:33Z,290000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,28.0,,,,,,,,,,,,
31,PT09M52.00S,2026-01-11T02:44:52.0Z,1,REGULAR,3pt,Jump Shot,[],1630163,65.52233902759527,74.01960784313727,1610612766,2,9,2026-01-11T02:44:57Z,310000,False,120.0,272.0,1,right,MISS L. Ball 29' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,Above the Break 3,24+ Right Center,29.7,Missed,,,,,,,,,,,,,,,,,
32,PT09M48.00S,2026-01-11T02:44:56.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,2,9,2026-01-11T02:44:57Z,320000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,31.0,,,,,,,,,,,,
34,PT09M37.00S,2026-01-11T02:45:14.9Z,1,REGULAR,turnover,lost ball,[],1641729,,,1610612762,2,9,2026-01-11T02:45:19Z,340000,False,,,0,,B. Sensabaugh lost ball TURNOVER (1 TO),"[1641729, 1642851]",1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,1.0,,,,,Knueppel,1642851.0
35,PT09M37.00S,2026-01-11T02:45:14.9Z,1,REGULAR,steal,,[],1642851,,,1610612766,2,9,2026-01-11T02:47:31Z,350000,False,,,0,,K. Knueppel STEAL (1 STL),[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,
36,PT09M32.00S,2026-01-11T02:45:20.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641706,92.46057818659659,50.73529411764706,1610612766,2,11,2026-01-11T02:45:25Z,360000,False,4.0,18.0,1,right,B. Miller running Layup (5 PTS) (K. Knueppel 2 AST),"[1641706, 1642851]",1610612766.0,CHA,running,,,Miller,B. Miller,,,,,,Restricted Area,0-8 Center,1.88,Made,5.0,K. Knueppel,1642851.0,2.0,,,,,,,,,,,,,
38,PT09M15.00S,2026-01-11T02:45:36.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642262,7.178055190538765,55.14705882352941,1610612762,4,11,2026-01-11T02:45:40Z,380000,False,-26.0,15.0,1,left,C. Williams driving Layup (2 PTS) (K. George 1 AST),"[1642262, 1641718]",1610612762.0,UTA,driving,,,Williams,C. Williams,,,,,,Restricted Area,0-8 Center,2.98,Made,2.0,K. George,1641718.0,1.0,,,,,,,,,,,,,
40,PT08M57.00S,2026-01-11T02:45:53.8Z,1,REGULAR,3pt,Jump Shot,[],1628970,93.11760840998686,3.6764705882352944,1610612766,4,14,2026-01-11T02:45:58Z,400000,False,-232.0,12.0,1,right,M. Bridges 3PT  (3 PTS) (B. Miller 1 AST),"[1628970, 1641706]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Left Corner 3,24+ Left,23.19,Made,3.0,B. Miller,1641706.0,1.0,,,,,,,,,,,,,
42,PT08M42.00S,2026-01-11T02:46:09.3Z,1,REGULAR,turnover,bad pass,[],1641718,,,1610612762,4,14,2026-01-11T02:46:14Z,420000,False,,,0,,K. George bad pass TURNOVER (1 TO),"[1641718, 1642851]",1610612762.0,UTA,,,,George,K. George,,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,1.0,,,,,Knueppel,1642851.0
43,PT08M42.00S,2026-01-11T02:46:09.3Z,1,REGULAR,steal,,[],1642851,,,1610612766,4,14,2026-01-11T02:46:10Z,430000,False,,,0,,K. Knueppel STEAL (2 STL),[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,
44,PT08M39.00S,2026-01-11T02:46:12.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642851,92.46057818659659,54.90196078431373,1610612766,4,16,2026-01-11T02:46:19Z,440000,False,25.0,18.0,1,right,K. Knueppel running DUNK (5 PTS) (B. Miller 2 AST),"[1642851, 1641706]",1610612766.0,CHA,running,,,Knueppel,K. Knueppel,,,,,,Restricted Area,0-8 Center,3.06,Made,5.0,B. Miller,1641706.0,2.0,,,,,,,,,,,,,
46,PT08M39.00S,2026-01-11T02:46:17.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,4,16,2026-01-11T02:46:17Z,460000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M26.00S,2026-01-11T02:49:23.2Z,1,REGULAR,3pt,Jump Shot,[],1641729,33.065045992115635,76.7156862745098,1610612762,4,16,2026-01-11T02:49:27Z,470000,False,-134.0,258.0,1,left,MISS B. Sensabaugh 29' 3PT,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,Above the Break 3,24+ Left Center,29.08,Missed,,,,,,,,,,,,,,,,,
48,PT08M22.00S,2026-01-11T02:49:27.2Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,4,16,2026-01-11T02:49:27Z,480000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,Above the Break 3,24+ Left Center,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,
49,PT08M21.00S,2026-01-11T02:49:27.8Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,4,16,2026-01-11T02:49:31Z,490000,False,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 1641718]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,1.0,,,,,George,1641718.0
50,PT08M21.00S,2026-01-11T02:49:27.8Z,1,REGULAR,steal,,[],1641718,,,1610612762,4,16,2026-01-11T02:49:29Z,500000,False,,,0,,K. George STEAL (1 STL),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,
51,PT08M18.00S,2026-01-11T02:49:30.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641718,7.966491458607096,44.11764705882353,1610612762,6,16,2026-01-11T02:49:34Z,510000,False,29.0,22.0,1,left,K. George driving Layup (2 PTS),[1641718],1610612762.0,UTA,driving,,,George,K. George,,,,,,Restricted Area,0-8 Center,3.7,Made,2.0,,,,,,,,,,,,,,,,
52,PT08M14.00S,2026-01-11T02:49:34.9Z,1,REGULAR,3pt,Jump Shot,[],1628970,93.38042049934296,3.1862745098039214,1610612766,6,19,2026-01-11T02:49:41Z,520000,False,-234.0,10.0,1,right,M. Bridges 3PT  (6 PTS) (K. Knueppel 3 AST),"[1628970, 1642851]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Left Corner 3,24+ Left,23.43,Made,6.0,K. Knueppel,1642851.0,3.0,,,,,,,,,,,,,
54,PT07M52.00S,2026-01-11T02:49:56.5Z,1,REGULAR,3pt,Jump Shot,[],1641729,32.40801576872536,72.54901960784314,1610612762,6,19,2026-01-11T02:50:00Z,540000,False,-113.0,252.0,1,left,MISS B. Sensabaugh 27' 3PT,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,Above the Break 3,24+ Left Center,27.61,Missed,,,,,,,,,,,,,,,,,
55,PT07M50.00S,2026-01-11T02:49:58.5Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,6,19,2026-01-11T02:50:00Z,550000,False,,,0,,L. Ball REBOUND (Off:0 Def:2),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,Above the Break 3,24+ Left Center,,,,,,,54.0,2.0,2.0,0.0,,,,,,,,,
56,PT07M34.00S,2026-01-11T02:50:14.7Z,1,REGULAR,3pt,Jump Shot,[],1641706,77.08607095926413,12.990196078431374,1610612766,6,19,2026-01-11T02:50:19Z,560000,False,-185.0,163.0,1,right,MISS B. Miller 24' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,Above the Break 3,24+ Left Center,24.65,Missed,,,,,,,,,,,,,,,,,
57,PT07M32.00S,2026-01-11T02:50:16.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,6,19,2026-01-11T02:50:22Z,570000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,56.0,,,,,,,,,,,,
59,PT07M17.00S,2026-01-11T02:50:44.7Z,1,REGULAR,3pt,Jump Shot,[],1641718,29.38567674113009,73.0392156862745,1610612762,6,19,2026-01-11T02:50:51Z,590000,False,-115.0,224.0,1,left,MISS K. George 25' step back 3PT,[1641718],1610612762.0,UTA,step back,,,George,K. George,,,,,,Above the Break 3,24+ Left Center,25.16,Missed,,,,,,,,,,,,,,,,,
60,PT07M10.00S,2026-01-11T02:50:51.7Z,1,REGULAR,rebound,offensive,[],1641729,,,1610612762,6,19,2026-01-11T02:50:51Z,600000,False,,,0,,B. Sensabaugh REBOUND (Off:1 Def:0),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,Above the Break 3,24+ Left Center,,,,,,,59.0,1.0,0.0,1.0,,,,,,,,,
61,PT07M10.00S,2026-01-11T02:50:51.4Z,1,REGULAR,turnover,bad pass,[],1641729,,,1610612762,6,19,2026-01-11T02:50:55Z,610000,False,,,0,,B. Sensabaugh bad pass TURNOVER (2 TO),"[1641729, 1641706]",1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,2.0,,,,,Miller,1641706.0
62,PT07M10.00S,2026-01-11T02:50:51.4Z,1,REGULAR,steal,,[],1641706,,,1610612766,6,19,2026-01-11T02:50:52Z,620000,False,,,0,,B. Miller STEAL (1 STL),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,
63,PT07M06.00S,2026-01-11T02:50:55.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630163,82.34231274638634,93.87254901960785,1610612766,6,22,2026-01-11T02:52:12Z,630000,False,219.0,113.0,1,right,L. Ball 24' 3PT running (6 PTS) (M. Bridges 1 AST),"[1630163, 1628970]",1610612766.0,CHA,running,,,Ball,L. Ball,,,,,,Above the Break 3,24+ Right Center,24.7,Made,6.0,M. Bridges,1628970.0,1.0,,,,,,,,,,,,,
65,PT06M57.00S,2026-01-11T02:51:07.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642262,10.5946123521682,45.83333333333333,1610612762,8,22,2026-01-11T02:51:10Z,650000,False,21.0,47.0,1,left,C. Williams driving Layup (4 PTS) (K. George 2 AST),"[1642262, 1641718]",1610612762.0,UTA,driving,,,Williams,C. Williams,,,,,,In The Paint (Non-RA),0-8 Center,5.15,Made,4.0,K. George,1641718.0,2.0,,,,,,,,,,,,,
67,PT06M57.00S,2026-01-11T02:51:09.4Z,1,REGULAR,foul,personal,['1freethrow'],1630163,,,1610612762,8,22,2026-01-11T02:51:19Z,670000,False,,,0,,L. Ball shooting personal FOUL (1 PF) (Williams 1 FT),"[1630163, 1642262]",1610612766.0,CHA,shooting,,,Ball,L. Ball,,,,,1627526.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,0.0,Williams,1642262.0,,
69,PT06M57.00S,2026-01-11T02:51:20.2Z,1,REGULAR,substitution,out,[],1641729,,,1610612762,8,22,2026-01-11T02:51:56Z,690000,False,,,0,,SUB out: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M57.00S,2026-01-11T02:51:20.2Z,1,REGULAR,substitution,out,[],1642851,,,1610612762,8,22,2026-01-11T02:51:56Z,700000,False,,,0,,SUB out: K. Knueppel,[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M57.00S,2026-01-11T02:51:20.2Z,1,REGULAR,substitution,in,[],1642268,,,1610612762,8,22,2026-01-11T02:51:56Z,710000,False,,,0,,SUB in: I. Collier,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M57.00S,2026-01-11T02:51:20.2Z,1,REGULAR,substitution,in,[],1642883,,,1610612762,8,22,2026-01-11T02:51:56Z,720000,False,,,0,,SUB in: S. James,[1642883],1610612766.0,CHA,,,,James,S. James,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M57.00S,2026-01-11T02:51:55.8Z,1,REGULAR,freethrow,1 of 1,[],1642262,,,1610612762,8,22,2026-01-11T02:51:57Z,730000,False,,,0,,MISS C. Williams Free Throw 1 of 1,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
74,PT06M55.00S,2026-01-11T02:51:57.8Z,1,REGULAR,rebound,defensive,[],1642883,,,1610612766,8,22,2026-01-11T02:51:57Z,740000,False,,,0,,S. James REBOUND (Off:0 Def:1),[1642883],1610612766.0,CHA,,,,James,S. James,,,,,,,,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,,
75,PT06M41.00S,2026-01-11T02:52:10.6Z,1,REGULAR,3pt,Jump Shot,[],1630163,72.88107752956637,82.35294117647058,1610612766,8,25,2026-01-11T02:53:32Z,750000,False,162.0,202.0,1,right,L. Ball 25' 3PT step back (9 PTS) (B. Miller 3 AST),"[1630163, 1641706]",1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,,Above the Break 3,24+ Right Center,25.91,Made,9.0,B. Miller,1641706.0,3.0,,,,,,,,,,,,,
78,PT06M20.00S,2026-01-11T02:52:36.0Z,1,REGULAR,substitution,out,[],1641707,,,1610612762,8,25,2026-01-11T02:52:51Z,780000,False,,,0,,SUB out: T. Hendricks,[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M20.00S,2026-01-11T02:52:36.0Z,1,REGULAR,substitution,out,[],201567,,,1610612762,8,25,2026-01-11T02:52:51Z,790000,False,,,0,,SUB out: K. Love,[201567],1610612762.0,UTA,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M20.00S,2026-01-11T02:52:36.0Z,1,REGULAR,substitution,out,[],1631217,,,1610612762,8,25,2026-01-11T02:52:51Z,800000,False,,,0,,SUB out: M. Diabaté,[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M20.00S,2026-01-11T02:52:36.0Z,1,REGULAR,substitution,in,[],203937,,,1610612762,8,25,2026-01-11T02:52:51Z,810000,False,,,0,,SUB in: K. Anderson,[203937],1610612762.0,UTA,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M20.00S,2026-01-11T02:52:36.0Z,1,REGULAR,substitution,in,[],1642271,,,1610612762,8,25,2026-01-11T02:52:51Z,820000,False,,,0,,SUB in: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M20.00S,2026-01-11T02:52:36.0Z,1,REGULAR,substitution,in,[],1641750,,,1610612762,8,25,2026-01-11T02:52:51Z,830000,False,,,0,,SUB in: R. Kalkbrenner,[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M14.00S,2026-01-11T02:53:08.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203937,7.046649145860711,38.23529411764706,1610612762,8,25,2026-01-11T02:53:13Z,840000,False,59.0,14.0,1,left,MISS K. Anderson 6' driving Hook,[203937],1610612762.0,UTA,driving,,,Anderson,K. Anderson,,,,,,In The Paint (Non-RA),0-8 Center,6.04,Missed,,,,,,,,,,,,,,,,,
85,PT06M12.00S,2026-01-11T02:53:10.1Z,1,REGULAR,rebound,defensive,[],1642883,,,1610612766,8,25,2026-01-11T02:53:13Z,850000,False,,,0,,S. James REBOUND (Off:0 Def:2),[1642883],1610612766.0,CHA,,,,James,S. James,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,84.0,2.0,2.0,0.0,,,,,,,,,
86,PT06M04.00S,2026-01-11T02:53:18.4Z,1,REGULAR,turnover,lost ball,[],1630163,,,1610612766,8,25,2026-01-11T02:53:24Z,860000,False,,,0,,L. Ball lost ball TURNOVER (2 TO),"[1630163, 203937]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2.0,,,,,Anderson,203937.0
87,PT06M04.00S,2026-01-11T02:53:18.4Z,1,REGULAR,steal,,[],203937,,,1610612762,8,25,2026-01-11T02:53:19Z,870000,False,,,0,,K. Anderson STEAL (1 STL),[203937],1610612762.0,UTA,,,,Anderson,K. Anderson,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,
88,PT05M59.00S,2026-01-11T02:53:24.7Z,1,REGULAR,turnover,out-of-bounds,[],203937,,,1610612762,8,25,2026-01-11T03:00:56Z,880000,False,,,0,,K. Anderson lost ball out-of-bounds TURNOVER (1 TO),[203937],1610612762.0,UTA,lost ball,,,Anderson,K. Anderson,,,,,1627534.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,,,,,
89,PT05M54.00S,2026-01-11T02:53:38.7Z,1,REGULAR,foul,personal,[],1641718,,,1610612766,8,25,2026-01-11T02:53:50Z,890000,False,,,0,,K. George personal FOUL (1 PF),"[1641718, 1630163]",1610612762.0,UTA,,,,George,K. George,,,,,202026.0,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,1.0,0.0,Ball,1630163.0,,
