actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
27,PT09M59.00S,2023-03-26T02:43:17.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202694,6.356767411300922,50.49019607843137,1610612746,0,6,2023-03-26T02:44:03Z,230000,False,-2.0,7.0,1,left,MISS M. Morris Sr. driving Layup,[202694],1610612746.0,LAC,driving,,,,,,Restricted Area,0-8 Center,,,,Morris Sr.,M. Morris Sr.,,,0.77,Missed,,,,,,,,,,,,,,
28,PT09M59.00S,2023-03-26T02:43:17.9Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,6,2023-03-26T02:43:31Z,240000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:3),[202685],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,Valanciunas,J. Valanciunas,,,,,27.0,3.0,3.0,0.0,,,,,,,,,,
29,PT09M53.00S,2023-03-26T02:43:24.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1627742,79.41852825229961,61.27450980392157,1610612740,0,8,2023-03-26T02:43:40Z,250000,False,56.0,141.0,1,right,B. Ingram 15' running pullup Jump Shot (6 PTS),[1627742],1610612740.0,NOP,running pullup,,,,,,Mid-Range,8-16 Center,,,,Ingram,B. Ingram,,,15.19,Made,,,,,6.0,,,,,,,,,
30,PT09M52.00S,2023-03-26T02:43:29.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,0,8,2023-03-26T02:43:29Z,260000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M34.00S,2023-03-26T02:46:35.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,10.82457293035479,50.49019607843137,1610612746,2,8,2023-03-26T02:46:39Z,270000,False,-2.0,49.0,1,left,I. Zubac Hook (2 PTS) (R. Westbrook 1 AST),"[1627826, 201566]",1610612746.0,LAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Zubac,I. Zubac,,,4.94,Made,,,,,2.0,,,,R. Westbrook,201566.0,1.0,,,
33,PT09M19.00S,2023-03-26T02:46:50.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,94.3988173455979,46.32352941176471,1610612740,2,8,2023-03-26T02:48:43Z,290000,False,-18.0,0.0,1,right,MISS J. Valanciunas cutting Layup - blocked,"[202685, 1627826]",1610612740.0,NOP,cutting,,,,,,Restricted Area,0-8 Center,,,,Valanciunas,J. Valanciunas,,,1.84,Missed,,,,,,,,,,,,Zubac,1627826.0,
34,PT09M19.00S,2023-03-26T02:46:50.2Z,1,REGULAR,block,,[],1627826,,,1610612740,2,8,2023-03-26T02:46:52Z,300000,False,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,
35,PT09M17.00S,2023-03-26T02:46:52.2Z,1,REGULAR,rebound,defensive,[],201569,,,1610612746,2,8,2023-03-26T02:46:54Z,310000,False,,,0,,E. Gordon REBOUND (Off:0 Def:1),[201569],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,,,,Gordon,E. Gordon,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,
36,PT09M11.00S,2023-03-26T02:46:59.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,8.459264126149804,55.88235294117647,1610612746,4,8,2023-03-26T02:47:12Z,320000,False,-29.0,27.0,1,left,I. Zubac turnaround Hook (4 PTS) (R. Westbrook 2 AST),"[1627826, 201566]",1610612746.0,LAC,turnaround,,,,,,Restricted Area,0-8 Center,,,,Zubac,I. Zubac,,,3.99,Made,,,,,4.0,,,,R. Westbrook,201566.0,2.0,,,
38,PT08M56.00S,2023-03-26T02:47:13.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,81.38961892247043,48.0392156862745,1610612740,4,10,2023-03-26T02:47:16Z,340000,False,-10.0,122.0,1,right,B. Ingram 12' pullup Jump Shot (8 PTS) (C. McCollum 1 AST),"[1627742, 203468]",1610612740.0,NOP,pullup,,,,,,In The Paint (Non-RA),8-16 Center,,,,Ingram,B. Ingram,,,12.28,Made,,,,,8.0,,,,C. McCollum,203468.0,1.0,,,
41,PT08M29.00S,2023-03-26T02:47:54.6Z,1,REGULAR,3pt,Jump Shot,[],201566,8.327858081471746,96.32352941176471,1610612746,4,10,2023-03-26T02:47:59Z,370000,False,-232.0,26.0,1,left,MISS R. Westbrook 3PT,[201566],1610612746.0,LAC,,,,,,,Left Corner 3,24+ Left,,,,Westbrook,R. Westbrook,,,23.3,Missed,,,,,,,,,,,,,,
42,PT08M26.00S,2023-03-26T02:47:57.6Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,4,10,2023-03-26T02:47:59Z,380000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,,,,Left Corner 3,24+ Left,,,,Ingram,B. Ingram,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,
43,PT08M23.00S,2023-03-26T02:48:00.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630530,88.48554533508542,94.8529411764706,1610612740,4,13,2023-03-26T02:50:40Z,390000,False,224.0,56.0,1,right,T. Murphy III 3PT running (3 PTS) (B. Ingram 2 AST),"[1630530, 1627742]",1610612740.0,NOP,running,,,,,,Right Corner 3,24+ Right,,,,Murphy III,T. Murphy III,,,23.11,Made,,,,,3.0,,,,B. Ingram,1627742.0,2.0,,,
45,PT08M05.00S,2023-03-26T02:48:17.6Z,1,REGULAR,3pt,Jump Shot,[],201569,35.66031537450722,63.970588235294116,1610612746,7,13,2023-03-26T02:48:21Z,410000,False,-70.0,283.0,1,left,E. Gordon 29' 3PT  (3 PTS) (K. Leonard 1 AST),"[201569, 202695]",1610612746.0,LAC,,,,,,,Above the Break 3,24+ Center,,,,Gordon,E. Gordon,,,29.12,Made,,,,,3.0,,,,K. Leonard,202695.0,1.0,,,
47,PT07M58.00S,2023-03-26T02:48:26.1Z,1,REGULAR,3pt,Jump Shot,[],1630530,93.87319316688567,94.6078431372549,1610612740,7,16,2023-03-26T02:48:32Z,430000,False,223.0,5.0,1,right,T. Murphy III 3PT  (6 PTS) (B. Ingram 3 AST),"[1630530, 1627742]",1610612740.0,NOP,,,,,,,Right Corner 3,24+ Right,,,,Murphy III,T. Murphy III,,,22.31,Made,,,,,6.0,,,,B. Ingram,1627742.0,3.0,,,
49,PT07M41.00S,2023-03-26T02:48:42.1Z,1,REGULAR,3pt,Jump Shot,[],201566,8.590670170827863,96.56862745098039,1610612746,10,16,2023-03-26T02:48:46Z,450000,False,-233.0,28.0,1,left,R. Westbrook 3PT  (3 PTS) (K. Leonard 2 AST),"[201566, 202695]",1610612746.0,LAC,,,,,,,Left Corner 3,24+ Left,,,,Westbrook,R. Westbrook,,,23.45,Made,,,,,3.0,,,,K. Leonard,202695.0,2.0,,,
51,PT07M28.00S,2023-03-26T02:48:54.5Z,1,REGULAR,3pt,Jump Shot,[],203468,67.06636005256242,44.36274509803921,1610612740,10,19,2023-03-26T02:52:00Z,470000,False,-28.0,257.0,1,right,C. McCollum 25' 3PT pullup (3 PTS),[203468],1610612740.0,NOP,pullup,,,,,,Above the Break 3,24+ Center,,,,McCollum,C. McCollum,,,25.86,Made,,,,,3.0,,,,,,,,,
52,PT07M13.00S,2023-03-26T02:49:09.9Z,1,REGULAR,3pt,Jump Shot,[],202695,9.510512483574246,4.166666666666657,1610612746,10,19,2023-03-26T02:49:14Z,480000,False,229.0,37.0,1,left,MISS K. Leonard 3PT,[202695],1610612746.0,LAC,,,,,,,Right Corner 3,24+ Right,,,,Leonard,K. Leonard,,,23.22,Missed,,,,,,,,,,,,,,
53,PT07M11.00S,2023-03-26T02:49:12.8Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,10,19,2023-03-26T02:49:12Z,490000,False,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,,,,Right Corner 3,24+ Right,,,,Ingram,B. Ingram,,,,,52.0,2.0,2.0,0.0,,,,,,,,,,
54,PT07M03.00S,2023-03-26T02:49:19.6Z,1,REGULAR,3pt,Jump Shot,[],202685,67.59198423127464,49.01960784313726,1610612740,10,19,2023-03-26T02:49:23Z,500000,False,-5.0,252.0,1,right,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,,,,Valanciunas,J. Valanciunas,,,25.21,Missed,,,,,,,,,,,,,,
55,PT07M01.00S,2023-03-26T02:49:21.6Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,10,19,2023-03-26T02:49:23Z,510000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Center,,,,Leonard,K. Leonard,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,
56,PT06M54.00S,2023-03-26T02:49:29.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627826,12.532851511169525,49.26470588235294,1610612746,12,19,2023-03-26T02:49:33Z,520000,False,4.0,65.0,1,left,I. Zubac 6' floating Jump Shot (6 PTS) (K. Leonard 3 AST),"[1627826, 202695]",1610612746.0,LAC,floating,,,,,,In The Paint (Non-RA),0-8 Center,,,,Zubac,I. Zubac,,,6.54,Made,,,,,6.0,,,,K. Leonard,202695.0,3.0,,,
58,PT06M47.00S,2023-03-26T02:49:35.9Z,1,REGULAR,3pt,Jump Shot,[],1627742,72.19119579500656,81.12745098039215,1610612740,12,22,2023-03-26T02:50:33Z,540000,False,156.0,209.0,1,right,B. Ingram 26' 3PT pullup (11 PTS) (C. McCollum 2 AST),"[1627742, 203468]",1610612740.0,NOP,pullup,,,,,,Above the Break 3,24+ Right Center,,,,Ingram,B. Ingram,,,26.05,Made,,,,,11.0,,,,C. McCollum,203468.0,2.0,,,
60,PT06M22.00S,2023-03-26T02:50:01.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627826,15.160972404730614,50.245098039215684,1610612746,14,22,2023-03-26T02:54:42Z,560000,False,-1.0,90.0,1,left,I. Zubac 9' floating Jump Shot (8 PTS) (M. Morris Sr. 1 AST),"[1627826, 202694]",1610612746.0,LAC,floating,,,,,,In The Paint (Non-RA),8-16 Center,,,,Zubac,I. Zubac,,,9.0,Made,,,,,8.0,,,,M. Morris Sr.,202694.0,1.0,,,
62,PT06M08.00S,2023-03-26T02:50:15.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630530,85.5946123521682,57.35294117647059,1610612740,14,22,2023-03-26T02:54:47Z,580000,False,37.0,83.0,1,right,MISS T. Murphy III 9' driving floating Shot,[1630530],1610612740.0,NOP,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,,,,Murphy III,T. Murphy III,,,9.07,Missed,,,,,,,,,,,,,,
63,PT06M06.00S,2023-03-26T02:50:17.1Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,14,22,2023-03-26T02:54:47Z,590000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:3),[202685],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Valanciunas,J. Valanciunas,,,,,62.0,4.0,3.0,1.0,,,,,,,,,,
64,PT06M05.00S,2023-03-26T02:50:18.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,93.47897503285151,48.0392156862745,1610612740,14,22,2023-03-26T02:51:52Z,600000,False,-10.0,9.0,1,right,MISS J. Valanciunas putback Layup - blocked,"[202685, 1627826]",1610612740.0,NOP,putback,,,,,,Restricted Area,0-8 Center,,,,Valanciunas,J. Valanciunas,,,1.32,Missed,,,,,,,,,,,,Zubac,1627826.0,
65,PT06M05.00S,2023-03-26T02:50:18.9Z,1,REGULAR,block,,[],1627826,,,1610612740,14,22,2023-03-26T02:50:21Z,610000,False,,,0,,I. Zubac BLOCK (2 BLK),[1627826],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,
66,PT06M05.00S,2023-03-26T02:50:18.9Z,1,REGULAR,rebound,defensive,[],201569,,,1610612746,14,22,2023-03-26T02:50:22Z,620000,False,,,0,,E. Gordon REBOUND (Off:0 Def:2),[201569],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,,,,Gordon,E. Gordon,,,,,64.0,2.0,2.0,0.0,,,,,,,,,,
67,PT05M59.00S,2023-03-26T02:50:24.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,6.619579500657039,49.26470588235294,1610612746,16,22,2023-03-26T02:51:39Z,630000,False,4.0,10.0,1,left,E. Gordon driving Layup (5 PTS),[201569],1610612746.0,LAC,driving,,,,,,Restricted Area,0-8 Center,,,,Gordon,E. Gordon,,,1.04,Made,,,,,5.0,,,,,,,,,
68,PT05M37.00S,2023-03-26T02:50:48.1Z,1,REGULAR,foul,personal,[],1627826,,,1610612740,16,22,2023-03-26T02:50:54Z,640000,False,,,0,,I. Zubac personal FOUL (1 PF),"[1627826, 202685]",1610612746.0,LAC,,,,,,,In The Paint (Non-RA),0-8 Center,2005.0,1.0,0.0,Zubac,I. Zubac,Valanciunas,202685.0,,,,,,,,,,,,,,,,
70,PT05M37.00S,2023-03-26T02:50:54.9Z,1,REGULAR,substitution,out,[],203468,,,1610612740,16,22,2023-03-26T02:51:00Z,660000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,,,,,,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,
71,PT05M37.00S,2023-03-26T02:50:54.9Z,1,REGULAR,substitution,in,[],1630700,,,1610612740,16,22,2023-03-26T02:51:00Z,670000,False,,,0,,SUB in: D. Daniels,[1630700],1610612740.0,NOP,,,,,,,,,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,
72,PT05M31.00S,2023-03-26T02:51:16.0Z,1,REGULAR,2pt,Jump Shot,[],1627742,76.65900131406045,33.57843137254902,1610612740,16,22,2023-03-26T02:56:30Z,680000,False,-82.0,167.0,1,right,MISS B. Ingram 18' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,,,,Mid-Range,16-24 Left Center,,,,Ingram,B. Ingram,,,18.6,Missed,,,,,,,,,,,,,,
73,PT05M31.00S,2023-03-26T02:51:16.0Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,16,22,2023-03-26T02:51:20Z,690000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,,,,Mid-Range,16-24 Left Center,,,,Zubac,I. Zubac,,,,,72.0,1.0,1.0,0.0,,,,,,,,,,
74,PT05M24.00S,2023-03-26T02:51:23.8Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],201566,21.994086727989497,31.372549019607845,1610612746,18,22,2023-03-26T02:56:59Z,700000,False,93.0,154.0,1,left,R. Westbrook 18' running pullup Jump Shot (5 PTS),[201566],1610612746.0,LAC,running pullup,,,,,,Mid-Range,16-24 Right Center,,,,Westbrook,R. Westbrook,,,18.01,Made,,,,,5.0,,,,,,,,,
75,PT05M05.00S,2023-03-26T02:51:41.7Z,1,REGULAR,3pt,Jump Shot,[],1630530,74.1622864651774,82.59803921568627,1610612740,18,25,2023-03-26T02:51:45Z,710000,False,163.0,190.0,1,right,T. Murphy III 25' 3PT  (9 PTS) (H. Jones 1 AST),"[1630530, 1630529]",1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Murphy III,T. Murphy III,,,25.06,Made,,,,,9.0,,,,H. Jones,1630529.0,1.0,,,
77,PT04M46.00S,2023-03-26T02:52:00.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,15.818002628120894,36.51960784313726,1610612746,18,25,2023-03-26T02:57:38Z,730000,False,67.0,96.0,1,left,MISS K. Leonard 11' turnaround fadeaway Shot,[202695],1610612746.0,LAC,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Right,,,,Leonard,K. Leonard,,,11.75,Missed,,,,,,,,,,,,,,
78,PT04M44.00S,2023-03-26T02:52:02.4Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,18,25,2023-03-26T02:52:07Z,740000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:4),[202685],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Right,,,,Valanciunas,J. Valanciunas,,,,,77.0,5.0,4.0,1.0,,,,,,,,,,
79,PT04M32.00S,2023-03-26T02:52:14.9Z,1,REGULAR,2pt,Jump Shot,[],1627742,88.74835742444152,77.45098039215686,1610612740,18,25,2023-03-26T02:52:21Z,750000,False,137.0,53.0,1,right,MISS B. Ingram 14' turnaround fadeaway Shot,[1627742],1610612740.0,NOP,turnaround fadeaway,,,,,,Mid-Range,8-16 Right,,,,Ingram,B. Ingram,,,14.73,Missed,,,,,,,,,,,,,,
80,PT04M30.00S,2023-03-26T02:52:16.9Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,18,25,2023-03-26T02:52:21Z,760000,False,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,,,,Mid-Range,8-16 Right,,,,Morris Sr.,M. Morris Sr.,,,,,79.0,1.0,1.0,0.0,,,,,,,,,,
81,PT04M24.00S,2023-03-26T02:52:22.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201566,5.699737187910642,49.01960784313726,1610612746,18,25,2023-03-26T02:52:34Z,770000,False,5.0,1.0,1,left,MISS R. Westbrook running Layup,[201566],1610612746.0,LAC,running,,,,,,Restricted Area,0-8 Center,,,,Westbrook,R. Westbrook,,,0.5,Missed,,,,,,,,,,,,,,
82,PT04M24.00S,2023-03-26T02:52:22.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,18,25,2023-03-26T02:52:34Z,780000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,81.0,,,,,,,,,,,,,
84,PT04M24.00S,2023-03-26T02:52:27.9Z,1,REGULAR,substitution,out,[],201566,,,1610612746,18,25,2023-03-26T02:52:44Z,800000,False,,,0,,SUB out: R. Westbrook,[201566],1610612746.0,LAC,,,,,,,,,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,
85,PT04M24.00S,2023-03-26T02:52:27.9Z,1,REGULAR,substitution,out,[],201569,,,1610612746,18,25,2023-03-26T02:52:44Z,810000,False,,,0,,SUB out: E. Gordon,[201569],1610612746.0,LAC,,,,,,,,,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,
86,PT04M24.00S,2023-03-26T02:52:27.9Z,1,REGULAR,substitution,out,[],1627826,,,1610612746,18,25,2023-03-26T02:52:44Z,820000,False,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,,,,,,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,
87,PT04M24.00S,2023-03-26T02:52:27.9Z,1,REGULAR,substitution,out,[],202685,,,1610612746,18,25,2023-03-26T02:52:44Z,830000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,,,,,,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,
88,PT04M24.00S,2023-03-26T02:52:27.9Z,1,REGULAR,substitution,in,[],203486,,,1610612746,18,25,2023-03-26T02:52:44Z,840000,False,,,0,,SUB in: M. Plumlee,[203486],1610612746.0,LAC,,,,,,,,,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,
