actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
16,PT10M18.00S,2023-01-11T03:43:05.6Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,6,2,2023-01-11T03:43:07Z,160000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,,,,15.0,,,,,1.0,1.0,0.0,,,,,,,,,
17,PT10M10.00S,2023-01-11T03:43:14.1Z,1,REGULAR,turnover,lost ball,[],202694,,,1610612746,6,2,2023-01-11T03:43:18Z,170000,False,,,0,,M. Morris Sr. lost ball TURNOVER (1 TO),"[202694, 203939]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,Powell,203939.0,,,,,,
18,PT10M10.00S,2023-01-11T03:43:14.1Z,1,REGULAR,steal,,[],203939,,,1610612742,6,2,2023-01-11T03:43:16Z,180000,False,,,0,,D. Powell STEAL (1 STL),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M01.00S,2023-01-11T03:43:22.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629029,5.962549277266746,46.81372549019608,1610612742,6,2,2023-01-11T03:43:25Z,190000,False,16.0,4.0,1,left,MISS L. Doncic driving Layup,[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,1.63,Missed,,,,,,,,,,,,,,,,,,
20,PT09M59.00S,2023-01-11T03:43:24.3Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,6,2,2023-01-11T03:43:24Z,200000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,19.0,,,,,1.0,1.0,0.0,,,,,,,,,
21,PT09M51.00S,2023-01-11T03:43:32.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627826,82.83508541392904,60.53921568627451,1610612746,6,2,2023-01-11T03:45:19Z,210000,False,53.0,109.0,1,right,MISS I. Zubac 12' floating Shot,[1627826],1610612746.0,LAC,floating,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,12.1,Missed,,,,,,,,,,,,,,,,,,
22,PT09M49.00S,2023-01-11T03:43:34.4Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,6,2,2023-01-11T03:43:37Z,220000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,21.0,,,,,1.0,1.0,0.0,,,,,,,,,
23,PT09M35.00S,2023-01-11T03:43:48.6Z,1,REGULAR,3pt,Jump Shot,[],203501,35.39750328515112,50.73529411764706,1610612742,6,2,2023-01-11T03:43:54Z,230000,False,-4.0,280.0,1,left,MISS T. Hardaway Jr. 28' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Center,28.02,Missed,,,,,,,,,,,,,,,,,,
24,PT09M31.00S,2023-01-11T03:43:52.6Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,6,2,2023-01-11T03:43:54Z,240000,False,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Center,,,,23.0,,,,,1.0,0.0,1.0,,,,,,,,,
26,PT09M24.00S,2023-01-11T03:44:16.0Z,1,REGULAR,foul,personal,[],1627826,,,1610612742,6,2,2023-01-11T03:44:39Z,260000,False,,,0,,I. Zubac personal FOUL (1 PF),"[1627826, 1629029]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,8-16 Right,,,,,1627962.0,,,,,,,,,,1.0,0.0,Doncic,1629029.0,,
28,PT09M20.00S,2023-01-11T03:44:27.2Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612742,6,2,2023-01-11T03:44:59Z,280000,False,,,0,,I. Zubac shooting personal FOUL (2 PF) (Doncic 2 FT),"[1627826, 1629029]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,Mid-Range,16-24 Left Center,,,,,1662.0,,,,,,,,,,2.0,0.0,Doncic,1629029.0,,
30,PT09M20.00S,2023-01-11T03:45:01.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629029,,,1610612742,6,3,2023-01-11T03:45:01Z,300000,False,,,0,,L. Doncic Free Throw 1 of 2 (3 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
31,PT09M20.00S,2023-01-11T03:45:14.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629029,,,1610612742,6,4,2023-01-11T03:45:14Z,310000,False,,,0,,L. Doncic Free Throw 2 of 2 (4 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
32,PT09M04.00S,2023-01-11T03:45:36.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629611,91.24507227332458,54.16666666666667,1610612746,6,4,2023-01-11T03:45:46Z,320000,False,21.0,30.0,1,right,MISS T. Mann driving Layup - blocked,"[1629611, 203915]",1610612746.0,LAC,driving,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,3.63,Missed,,,,,,,,,,,,,,,,,Dinwiddie,203915.0
33,PT09M04.00S,2023-01-11T03:45:36.6Z,1,REGULAR,block,,[],203915,,,1610612746,6,4,2023-01-11T03:45:39Z,330000,False,,,0,,S. Dinwiddie BLOCK (1 BLK),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
34,PT09M04.00S,2023-01-11T03:45:36.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,6,4,2023-01-11T03:45:46Z,340000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Restricted Area,0-8 Center,,,,32.0,,,,,,,,,,,,,,,,
36,PT08M57.00S,2023-01-11T03:46:01.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202694,69.95729303547964,77.20588235294117,1610612746,6,4,2023-01-11T03:46:06Z,360000,False,136.0,230.0,1,right,MISS M. Morris Sr. 26' 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Right Center,26.71,Missed,,,,,,,,,,,,,,,,,,
37,PT08M53.00S,2023-01-11T03:46:05.0Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,6,4,2023-01-11T03:46:06Z,370000,False,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Right Center,,,,36.0,,,,,2.0,1.0,1.0,,,,,,,,,
38,PT08M51.00S,2023-01-11T03:46:06.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1627826,89.6681997371879,56.127450980392155,1610612746,8,4,2023-01-11T03:46:12Z,380000,False,31.0,45.0,1,right,I. Zubac Hook (6 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,5.41,Made,6.0,,,,,,,,,,,,,,,,,
39,PT08M34.00S,2023-01-11T03:46:23.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,8.590670170827863,57.35294117647059,1610612742,8,4,2023-01-11T03:46:28Z,390000,False,-37.0,28.0,1,left,MISS L. Doncic driving Layup - blocked,"[1629029, 202694]",1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,4.64,Missed,,,,,,,,,,,,,,,,,Morris Sr.,202694.0
40,PT08M34.00S,2023-01-11T03:46:23.9Z,1,REGULAR,block,,[],202694,,,1610612742,8,4,2023-01-11T03:46:26Z,400000,False,,,0,,M. Morris Sr. BLOCK (1 BLK),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT08M34.00S,2023-01-11T03:46:23.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,8,4,2023-01-11T03:46:28Z,410000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,39.0,,,,,,,,,,,,,,,,
43,PT08M27.00S,2023-01-11T03:46:43.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203501,17.394875164257556,49.26470588235294,1610612742,8,4,2023-01-11T03:46:51Z,430000,False,4.0,111.0,1,left,MISS T. Hardaway Jr. 11' driving floating Shot,[203501],1610612742.0,DAL,driving floating,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),8-16 Center,11.11,Missed,,,,,,,,,,,,,,,,,,
44,PT08M24.00S,2023-01-11T03:46:46.3Z,1,REGULAR,rebound,offensive,[],1626174,,,1610612742,8,4,2023-01-11T03:46:51Z,440000,False,,,0,,C. Wood REBOUND (Off:1 Def:0),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,In The Paint (Non-RA),8-16 Center,,,,43.0,,,,,1.0,0.0,1.0,,,,,,,,,
45,PT08M17.00S,2023-01-11T03:46:53.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629029,24.753613666228645,86.76470588235294,1610612742,8,4,2023-01-11T03:46:58Z,450000,False,-184.0,180.0,1,left,MISS L. Doncic 25' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,25.74,Missed,,,,,,,,,,,,,,,,,,
46,PT08M13.00S,2023-01-11T03:46:57.8Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,8,4,2023-01-11T03:46:58Z,460000,False,,,0,,K. Leonard REBOUND (Off:0 Def:2),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Left Center,,,,45.0,,,,,2.0,2.0,0.0,,,,,,,,,
47,PT08M09.00S,2023-01-11T03:47:01.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",202695,83.22930354796321,39.4607843137255,1610612746,10,4,2023-01-11T03:47:13Z,470000,False,-53.0,105.0,1,right,K. Leonard 11' running pullup Jump Shot (2 PTS),[202695],1610612746.0,LAC,running pullup,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Center,11.76,Made,2.0,,,,,,,,,,,,,,,,,
48,PT07M54.00S,2023-01-11T03:47:17.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626174,9.641918528252305,57.1078431372549,1610612742,10,6,2023-01-11T03:47:29Z,480000,False,-36.0,38.0,1,left,C. Wood fadeaway Jump Shot (2 PTS),[1626174],1610612742.0,DAL,fadeaway,,,Wood,C. Wood,,,,,In The Paint (Non-RA),0-8 Center,5.21,Made,2.0,,,,,,,,,,,,,,,,,
49,PT07M39.00S,2023-01-11T03:47:31.2Z,1,REGULAR,3pt,Jump Shot,[],1629611,66.14651773981603,46.32352941176471,1610612746,10,6,2023-01-11T04:46:21Z,490000,False,-18.0,266.0,1,right,MISS T. Mann 26' pullup 3PT,[1629611],1610612746.0,LAC,pullup,,,Mann,T. Mann,,,,,Above the Break 3,24+ Center,26.63,Missed,,,,,,,,,,,,,,,,,,
50,PT07M36.00S,2023-01-11T03:47:34.2Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,10,6,2023-01-11T03:47:35Z,500000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,,,,49.0,,,,,1.0,1.0,0.0,,,,,,,,,
51,PT07M23.00S,2023-01-11T03:47:49.9Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612742,10,6,2023-01-11T03:47:57Z,510000,False,,,0,,I. Zubac shooting personal FOUL (3 PF) (Doncic 2 FT),"[1627826, 1629029]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,1627962.0,,,,,,,,,,3.0,0.0,Doncic,1629029.0,,
53,PT07M23.00S,2023-01-11T03:48:17.4Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,10,6,2023-01-11T03:48:48Z,530000,False,,,0,,MISS L. Doncic Free Throw 1 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
54,PT07M23.00S,2023-01-11T03:48:17.4Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612742,10,6,2023-01-11T03:48:48Z,540000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,
55,PT07M23.00S,2023-01-11T03:48:18.7Z,1,REGULAR,substitution,out,[],1627826,,,1610612742,10,6,2023-01-11T03:48:20Z,550000,False,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M23.00S,2023-01-11T03:48:18.7Z,1,REGULAR,substitution,in,[],203496,,,1610612742,10,6,2023-01-11T03:48:20Z,560000,False,,,0,,SUB in: R. Covington,[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M23.00S,2023-01-11T03:48:17.4Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,10,6,2023-01-11T03:48:48Z,570000,False,,,0,,MISS L. Doncic Free Throw 2 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
58,PT07M20.00S,2023-01-11T03:48:20.4Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,10,6,2023-01-11T03:48:48Z,580000,False,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,57.0,,,,,1.0,1.0,0.0,,,,,,,,,
59,PT07M13.00S,2023-01-11T03:48:55.1Z,1,REGULAR,foul,personal,['2freethrow'],203915,,,1610612746,10,6,2023-01-11T03:49:25Z,590000,False,,,0,,S. Dinwiddie shooting personal FOUL (1 PF) (Leonard 2 FT),"[203915, 202695]",1610612742.0,DAL,shooting,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,8-16 Left,,,,,1662.0,,,,,,,,,,1.0,0.0,Leonard,202695.0,,
61,PT07M13.00S,2023-01-11T03:49:26.0Z,1,REGULAR,freethrow,1 of 2,[],202695,,,1610612746,11,6,2023-01-11T03:49:26Z,610000,False,,,0,,K. Leonard Free Throw 1 of 2 (3 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
62,PT07M13.00S,2023-01-11T03:49:39.7Z,1,REGULAR,freethrow,2 of 2,[],202695,,,1610612746,12,6,2023-01-11T03:49:39Z,620000,False,,,0,,K. Leonard Free Throw 2 of 2 (4 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
63,PT06M58.00S,2023-01-11T03:49:56.5Z,1,REGULAR,3pt,Jump Shot,[],203915,5.305519053876466,4.656862745098039,1610612742,12,6,2023-01-11T03:50:02Z,630000,False,227.0,-3.0,1,left,MISS S. Dinwiddie 3PT,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Right Corner 3,24+ Right,22.67,Missed,,,,,,,,,,,,,,,,,,
64,PT06M55.00S,2023-01-11T03:49:59.5Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,12,6,2023-01-11T03:50:02Z,640000,False,,,0,,K. Leonard REBOUND (Off:0 Def:3),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Right Corner 3,24+ Right,,,,63.0,,,,,3.0,3.0,0.0,,,,,,,,,
65,PT06M50.00S,2023-01-11T03:50:07.7Z,1,REGULAR,foul,personal,['3freethrow'],203501,,,1610612746,12,6,2023-01-11T03:50:40Z,650000,False,,,0,,T. Hardaway Jr. shooting personal FOUL (1 PF) (Leonard 3 FT),"[203501, 202695]",1610612742.0,DAL,shooting,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,,,,,1662.0,,,,,,,,,,1.0,0.0,Leonard,202695.0,,
67,PT06M50.00S,2023-01-11T03:50:26.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,12,6,2023-01-11T03:50:26Z,670000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M50.00S,2023-01-11T03:53:23.2Z,1,REGULAR,freethrow,1 of 3,[],202695,,,1610612746,13,6,2023-01-11T03:53:23Z,680000,False,,,0,,K. Leonard Free Throw 1 of 3 (5 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
69,PT06M50.00S,2023-01-11T03:53:38.8Z,1,REGULAR,freethrow,2 of 3,[],202695,,,1610612746,14,6,2023-01-11T03:53:38Z,690000,False,,,0,,K. Leonard Free Throw 2 of 3 (6 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
70,PT06M50.00S,2023-01-11T03:53:56.4Z,1,REGULAR,freethrow,3 of 3,[],202695,,,1610612746,15,6,2023-01-11T03:53:56Z,700000,False,,,0,,K. Leonard Free Throw 3 of 3 (7 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
71,PT06M35.00S,2023-01-11T03:54:12.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,6.356767411300922,49.754901960784316,1610612742,15,8,2023-01-11T03:54:17Z,710000,False,1.0,7.0,1,left,D. Powell cutting DUNK (2 PTS) (L. Doncic 1 AST),"[203939, 1629029]",1610612742.0,DAL,cutting,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,0.74,Made,2.0,,,L. Doncic,1629029.0,1.0,,,,,,,,,,,,
73,PT06M14.00S,2023-01-11T03:54:33.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,84.4119579500657,55.88235294117647,1610612746,17,8,2023-01-11T03:54:42Z,730000,False,29.0,94.0,1,right,M. Morris Sr. 9' pullup Jump Shot (2 PTS) (R. Covington 1 AST),"[202694, 203496]",1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),8-16 Center,9.85,Made,2.0,,,R. Covington,203496.0,1.0,,,,,,,,,,,,
75,PT05M50.00S,2023-01-11T03:55:00.6Z,1,REGULAR,foul,personal,['2freethrow'],202694,,,1610612742,17,8,2023-01-11T03:55:06Z,750000,False,,,0,,M. Morris Sr. shooting personal FOUL (1 PF) (Wood 2 FT),"[202694, 1626174]",1610612746.0,LAC,shooting,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,1662.0,,,,,,,,,,1.0,0.0,Wood,1626174.0,,
77,PT05M50.00S,2023-01-11T03:55:24.0Z,1,REGULAR,freethrow,1 of 2,[],1626174,,,1610612742,17,9,2023-01-11T03:55:24Z,770000,False,,,0,,C. Wood Free Throw 1 of 2 (3 PTS),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
78,PT05M50.00S,2023-01-11T03:55:24.7Z,1,REGULAR,substitution,out,[],203939,,,1610612742,17,9,2023-01-11T03:55:32Z,780000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M50.00S,2023-01-11T03:55:24.7Z,1,REGULAR,substitution,in,[],203493,,,1610612742,17,9,2023-01-11T03:55:32Z,790000,False,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M50.00S,2023-01-11T03:55:47.4Z,1,REGULAR,freethrow,2 of 2,[],1626174,,,1610612742,17,10,2023-01-11T03:55:47Z,800000,False,,,0,,C. Wood Free Throw 2 of 2 (4 PTS),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
81,PT05M27.00S,2023-01-11T03:56:13.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629611,92.55913272010513,48.28431372549019,1610612746,17,10,2023-01-11T03:56:37Z,810000,False,-9.0,17.0,1,right,MISS T. Mann driving finger roll Layup,[1629611],1610612746.0,LAC,driving finger roll,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,1.94,Missed,,,,,,,,,,,,,,,,,,
82,PT05M26.00S,2023-01-11T03:56:14.6Z,1,REGULAR,rebound,offensive,[],203496,,,1610612746,17,10,2023-01-11T03:57:57Z,820000,False,,,0,,R. Covington REBOUND (Off:1 Def:0),[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,Restricted Area,0-8 Center,,,,81.0,,,,,1.0,0.0,1.0,,,,,,,,,
83,PT05M25.00S,2023-01-11T03:56:19.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203496,94.40999984741211,50.0,1610612746,17,10,2023-01-11T03:57:45Z,830000,False,0.0,0.0,1,right,MISS R. Covington tip Layup - blocked,"[203496, 1626174]",1610612746.0,LAC,tip,,,Covington,R. Covington,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,Wood,1626174.0
