actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
35,PT08M56.00S,2023-03-06T03:18:50.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201566,8.196452036793687,45.58823529411765,1610612746,8,8,2023-03-06T03:20:45Z,350000,False,22.0,25.0,1,left,MISS R. Westbrook running Layup - blocked,"[201566, 1628991]",1610612746.0,LAC,running,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,,,,3.3,Missed,,,,,,,,,,,,,,Jackson Jr.,1628991.0
36,PT08M56.00S,2023-03-06T03:18:50.4Z,1,REGULAR,block,,[],1628991,,,1610612746,8,8,2023-03-06T03:18:53Z,360000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT08M52.00S,2023-03-06T03:18:54.4Z,1,REGULAR,rebound,offensive,[],202694,,,1610612746,8,8,2023-03-06T03:18:55Z,370000,False,,,0,,M. Morris Sr. REBOUND (Off:1 Def:0),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,35.0,1.0,0.0,1.0,,
38,PT08M51.00S,2023-03-06T03:18:55.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1627826,10.036136662286467,50.73529411764706,1610612746,10,8,2023-03-06T03:19:01Z,380000,False,-4.0,42.0,1,left,I. Zubac Hook (2 PTS) (M. Morris Sr. 1 AST),"[1627826, 202694]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,4.2,Made,2.0,,,,,,M. Morris Sr.,202694.0,1.0,,,,,,
40,PT08M37.00S,2023-03-06T03:19:09.9Z,1,REGULAR,3pt,Jump Shot,[],1630217,70.3515111695138,81.61764705882354,1610612763,10,8,2023-03-06T03:19:13Z,400000,False,158.0,226.0,1,right,MISS D. Bane 27' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,,,,27.6,Missed,,,,,,,,,,,,,,,
41,PT08M34.00S,2023-03-06T03:19:12.9Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,10,8,2023-03-06T03:19:13Z,410000,False,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,40.0,2.0,2.0,0.0,,
42,PT08M21.00S,2023-03-06T03:19:26.6Z,1,REGULAR,foul,personal,['3freethrow'],1631223,,,1610612746,10,8,2023-03-06T03:19:34Z,420000,False,,,0,,D. Roddy shooting personal FOUL (1 PF) (George 3 FT),"[1631223, 202331]",1610612763.0,MEM,shooting,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Left Center,,,,,,,202901.0,1.0,0.0,George,202331.0,,,,,,,,,
44,PT08M21.00S,2023-03-06T03:19:59.7Z,1,REGULAR,freethrow,1 of 3,[],202331,,,1610612746,11,8,2023-03-06T03:19:59Z,440000,False,,,0,,P. George Free Throw 1 of 3 (4 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
45,PT08M21.00S,2023-03-06T03:20:17.9Z,1,REGULAR,freethrow,2 of 3,[],202331,,,1610612746,12,8,2023-03-06T03:20:17Z,450000,False,,,0,,P. George Free Throw 2 of 3 (5 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
46,PT08M21.00S,2023-03-06T03:20:34.7Z,1,REGULAR,freethrow,3 of 3,[],202331,,,1610612746,13,8,2023-03-06T03:20:34Z,460000,False,,,0,,P. George Free Throw 3 of 3 (6 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
47,PT08M07.00S,2023-03-06T03:20:51.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630214,91.32720105124835,58.55162377450981,1610612763,13,10,2023-03-06T03:22:40Z,470000,False,43.0,29.0,1,right,X. Tillman driving floating bank Jump Shot (4 PTS),[1630214],1610612763.0,MEM,driving floating bank,,,Tillman,X. Tillman,,,,,In The Paint (Non-RA),0-8 Center,,,,5.17,Made,4.0,,,,,,,,,,,,,,
48,PT07M47.00S,2023-03-06T03:21:10.7Z,1,REGULAR,2pt,Jump Shot,[],202694,21.337056504599218,35.049019607843135,1610612746,13,10,2023-03-06T03:21:14Z,480000,False,75.0,148.0,1,left,MISS M. Morris Sr. 16' turnaround Shot,[202694],1610612746.0,LAC,turnaround,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,16-24 Right Center,,,,16.59,Missed,,,,,,,,,,,,,,,
49,PT07M45.00S,2023-03-06T03:21:12.7Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,13,10,2023-03-06T03:21:14Z,490000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,48.0,1.0,1.0,0.0,,
50,PT07M41.00S,2023-03-06T03:21:18.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,81.38961892247043,64.95098039215686,1610612763,13,12,2023-03-06T03:24:00Z,500000,False,75.0,122.0,1,right,D. Bane 14' Jump Shot (2 PTS) (T. Jones 2 AST),"[1630217, 1626145]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Right,,,,14.34,Made,2.0,,,,,,T. Jones,1626145.0,2.0,,,,,,
52,PT07M41.00S,2023-03-06T03:21:25.1Z,1,REGULAR,foul,personal,['1freethrow'],201566,,,1610612763,13,12,2023-03-06T03:21:45Z,520000,False,,,0,,R. Westbrook shooting personal FOUL (1 PF) (Bane 1 FT),"[201566, 1630217]",1610612746.0,LAC,shooting,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1193.0,1.0,0.0,Bane,1630217.0,,,,,,,,,
54,PT07M41.00S,2023-03-06T03:21:46.2Z,1,REGULAR,freethrow,1 of 1,[],1630217,,,1610612763,13,13,2023-03-06T03:21:46Z,540000,False,,,0,,D. Bane Free Throw 1 of 1 (3 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
55,PT07M29.00S,2023-03-06T03:21:56.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,6.356767411300922,44.85294117647059,1610612746,13,13,2023-03-06T03:24:36Z,550000,False,26.0,7.0,1,left,MISS I. Zubac Layup,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,2.67,Missed,,,,,,,,,,,,,,,
56,PT07M27.00S,2023-03-06T03:21:58.4Z,1,REGULAR,rebound,defensive,[],1631223,,,1610612763,13,13,2023-03-06T03:22:02Z,560000,False,,,0,,D. Roddy REBOUND (Off:0 Def:1),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,55.0,1.0,1.0,0.0,,
57,PT07M23.00S,2023-03-06T03:22:03.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626145,72.7168199737188,19.117647058823522,1610612763,13,16,2023-03-06T03:22:18Z,570000,False,-154.0,204.0,1,right,T. Jones 25' 3PT running pullup (3 PTS),[1626145],1610612763.0,MEM,running pullup,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,,25.58,Made,3.0,,,,,,,,,,,,,,
58,PT07M22.00S,2023-03-06T03:22:12.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,13,16,2023-03-06T03:22:12Z,580000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M06.00S,2023-03-06T03:25:50.9Z,1,REGULAR,2pt,Jump Shot,[],202331,24.704336399474386,36.36642156862745,1610612746,13,16,2023-03-06T03:25:56Z,590000,False,68.0,180.0,1,left,MISS P. George 19' Jump Shot,[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Right Center,,,,19.22,Missed,,,,,,,,,,,,,,,
60,PT07M04.00S,2023-03-06T03:25:52.9Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,13,16,2023-03-06T03:25:56Z,600000,False,,,0,,X. Tillman REBOUND (Off:0 Def:2),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,59.0,2.0,2.0,0.0,,
61,PT06M47.00S,2023-03-06T03:26:09.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,92.55913272010513,52.94117647058824,1610612763,13,16,2023-03-06T03:26:13Z,610000,False,15.0,17.0,1,right,MISS J. Jackson Jr. driving Layup - blocked,"[1628991, 1627826]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,2.28,Missed,,,,,,,,,,,,,,Zubac,1627826.0
62,PT06M47.00S,2023-03-06T03:26:09.2Z,1,REGULAR,block,,[],1627826,,,1610612763,13,16,2023-03-06T03:26:12Z,620000,False,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
63,PT06M44.00S,2023-03-06T03:26:12.2Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,13,16,2023-03-06T03:26:13Z,630000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,61.0,1.0,1.0,0.0,,
64,PT06M36.00S,2023-03-06T03:26:20.7Z,1,REGULAR,turnover,lost ball,[],1627826,,,1610612746,13,16,2023-03-06T03:26:25Z,640000,False,,,0,,I. Zubac lost ball TURNOVER (1 TO),"[1627826, 1631223]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,1.0,Roddy,1631223.0,,,,,,,,,,,,,,,,,
65,PT06M36.00S,2023-03-06T03:26:20.7Z,1,REGULAR,steal,,[],1631223,,,1610612763,13,16,2023-03-06T03:26:23Z,650000,False,,,0,,D. Roddy STEAL (2 STL),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
66,PT06M27.00S,2023-03-06T03:26:29.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1631223,92.64126149802891,49.57107843137255,1610612763,13,18,2023-03-06T03:28:30Z,660000,False,-2.0,17.0,1,right,D. Roddy cutting DUNK (6 PTS) (D. Bane 1 AST),"[1631223, 1630217]",1610612763.0,MEM,cutting,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,,,,1.68,Made,6.0,,,,,,D. Bane,1630217.0,1.0,,,,,,
68,PT06M05.00S,2023-03-06T03:26:51.2Z,1,REGULAR,2pt,Jump Shot,[],202695,8.54139290407359,75.71231617647058,1610612746,13,18,2023-03-06T03:28:48Z,680000,False,-129.0,28.0,1,left,MISS K. Leonard 13' turnaround fadeaway Shot,[202695],1610612746.0,LAC,turnaround fadeaway,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Left,,,,13.16,Missed,,,,,,,,,,,,,,,
69,PT06M02.00S,2023-03-06T03:26:54.2Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,13,18,2023-03-06T03:28:48Z,690000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,68.0,1.0,1.0,0.0,,
70,PT05M56.00S,2023-03-06T03:26:59.8Z,1,REGULAR,3pt,Jump Shot,[],1630217,89.6681997371879,95.83333333333333,1610612763,13,18,2023-03-06T03:29:40Z,700000,False,229.0,45.0,1,right,MISS D. Bane fadeaway 3PT,[1630217],1610612763.0,MEM,fadeaway,,,Bane,D. Bane,,,,,Right Corner 3,24+ Right,,,,23.35,Missed,,,,,,,,,,,,,,,
71,PT05M53.00S,2023-03-06T03:27:02.8Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,13,18,2023-03-06T03:27:04Z,710000,False,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,70.0,2.0,2.0,0.0,,
72,PT05M46.00S,2023-03-06T03:27:10.4Z,1,REGULAR,2pt,Jump Shot,[],202694,26.330486202365307,68.13725490196079,1610612746,13,18,2023-03-06T03:30:12Z,720000,False,-91.0,195.0,1,left,MISS M. Morris Sr. 21' pullup Shot,[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,16-24 Left Center,,,,21.51,Missed,,,,,,,,,,,,,,,
73,PT05M43.00S,2023-03-06T03:27:13.4Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,13,18,2023-03-06T03:27:13Z,730000,False,,,0,,I. Zubac REBOUND (Off:1 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,72.0,3.0,2.0,1.0,,
74,PT05M41.00S,2023-03-06T03:27:15.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201566,29.747043363994734,29.166666666666657,1610612746,13,18,2023-03-06T03:27:19Z,740000,False,104.0,227.0,1,left,MISS R. Westbrook 24' 3PT,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Right Center,,,,24.99,Missed,,,,,,,,,,,,,,,
75,PT05M38.00S,2023-03-06T03:27:18.0Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,13,18,2023-03-06T03:27:19Z,750000,False,,,0,,X. Tillman REBOUND (Off:0 Def:3),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,74.0,3.0,3.0,0.0,,
76,PT05M26.00S,2023-03-06T03:27:32.4Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612763,13,18,2023-03-06T03:27:42Z,760000,False,,,0,,I. Zubac shooting personal FOUL (2 PF) (Jackson Jr. 2 FT),"[1627826, 1628991]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,202901.0,2.0,0.0,Jackson Jr.,1628991.0,,,,,,,,,
78,PT05M26.00S,2023-03-06T03:28:01.9Z,1,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,13,19,2023-03-06T03:28:01Z,780000,False,,,0,,J. Jackson Jr. Free Throw 1 of 2 (3 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
79,PT05M26.00S,2023-03-06T03:28:03.6Z,1,REGULAR,substitution,out,[],202694,,,1610612763,13,19,2023-03-06T03:28:36Z,790000,False,,,0,,SUB out: M. Morris Sr.,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M26.00S,2023-03-06T03:28:03.6Z,1,REGULAR,substitution,out,[],1627826,,,1610612763,13,19,2023-03-06T03:28:36Z,800000,False,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M26.00S,2023-03-06T03:28:03.6Z,1,REGULAR,substitution,out,[],1630214,,,1610612763,13,19,2023-03-06T03:28:36Z,810000,False,,,0,,SUB out: X. Tillman,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M26.00S,2023-03-06T03:28:03.6Z,1,REGULAR,substitution,out,[],1630217,,,1610612763,13,19,2023-03-06T03:28:36Z,820000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
