actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
18,PT10M38.00S,2022-10-24T02:16:54.8Z,1,REGULAR,foul,personal,[],1629661,,,1610612746,0,5,2022-10-24T02:17:04Z,180000,,,0,,C. Johnson personal FOUL (1 PF),"[1629661, 202331]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Left,,,,,,,2004.0,1.0,0.0,George,202331.0,,,,,,,,,
20,PT10M33.00S,2022-10-24T02:17:15.9Z,1,REGULAR,turnover,lost ball,[],1627826,,,1610612746,0,5,2022-10-24T02:17:19Z,200000,,,0,,I. Zubac lost ball TURNOVER (1 TO),"[1627826, 1626164]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,1.0,,,,,Booker,1626164.0,,
21,PT10M33.00S,2022-10-24T02:17:15.9Z,1,REGULAR,steal,,[],1626164,,,1610612756,0,5,2022-10-24T02:17:17Z,210000,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M29.00S,2022-10-24T02:17:20.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1626164,93.47897503285151,49.50980392156863,1610612756,0,7,2022-10-24T02:17:52Z,220000,-2.0,9.0,1,right,D. Booker running finger roll Layup (5 PTS),[1626164],1610612756.0,PHX,running finger roll,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,0.91,Made,,,,,,,,,,,5.0,,,,,,,
23,PT10M29.00S,2022-10-24T02:17:25.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,0,7,2022-10-24T02:17:25Z,230000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M16.00S,2022-10-24T02:20:30.3Z,1,REGULAR,2pt,Jump Shot,[],202331,20.41721419185282,64.70588235294117,1610612746,0,7,2022-10-24T02:20:34Z,240000,-74.0,139.0,1,left,MISS P. George 15' pullup Shot - blocked,"[202331, 1628969]",1610612746.0,LAC,pullup,,,George,P. George,,,,,Mid-Range,8-16 Center,15.76,Missed,,,,,,,,,,,,,,,,,Bridges,1628969.0
25,PT10M16.00S,2022-10-24T02:20:30.3Z,1,REGULAR,block,,[],1628969,,,1610612746,0,7,2022-10-24T02:20:33Z,250000,,,0,,M. Bridges BLOCK (1 BLK),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
26,PT10M13.00S,2022-10-24T02:20:33.3Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612756,0,7,2022-10-24T02:20:34Z,260000,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT10M07.00S,2022-10-24T02:20:39.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,82.30946123521682,49.754901960784316,1610612756,0,7,2022-10-24T02:20:42Z,270000,-1.0,114.0,1,right,MISS D. Booker 11' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,11.38,Missed,,,,,,,,,,,,,,,,,,
28,PT10M04.00S,2022-10-24T02:20:42.3Z,1,REGULAR,rebound,offensive,[],1626164,,,1610612756,0,7,2022-10-24T02:20:42Z,280000,,,0,,D. Booker REBOUND (Off:1 Def:0),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,,,27.0,1.0,0.0,1.0,,,,,,,,,,,,,,
29,PT10M03.00S,2022-10-24T02:20:43.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626164,75.08212877792378,52.94117647058824,1610612756,0,7,2022-10-24T02:20:47Z,290000,15.0,182.0,1,right,MISS D. Booker 18' Jump Shot,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,18.23,Missed,,,,,,,,,,,,,,,,,,
30,PT10M00.00S,2022-10-24T02:20:46.8Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612756,0,7,2022-10-24T02:20:46Z,300000,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Center,,,29.0,1.0,0.0,1.0,,,,,,,,,,,,,,
31,PT09M58.00S,2022-10-24T02:20:47.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628969,93.74178712220763,45.34313725490197,1610612756,0,9,2022-10-24T02:20:52Z,310000,-23.0,6.0,1,right,M. Bridges putback Layup (2 PTS),[1628969],1610612756.0,PHX,putback,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,2.41,Made,,,,,,,,,,,2.0,,,,,,,
32,PT09M49.00S,2022-10-24T02:20:57.2Z,1,REGULAR,3pt,Jump Shot,[],202331,33.55781865965835,44.36274509803921,1610612746,0,9,2022-10-24T02:21:01Z,320000,28.0,263.0,1,left,MISS P. George 26' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Center,26.44,Missed,,,,,,,,,,,,,,,,,,
33,PT09M46.00S,2022-10-24T02:21:00.2Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,9,2022-10-24T02:21:01Z,330000,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,,,32.0,2.0,2.0,0.0,,,,,,,,,,,,,,
35,PT09M31.00S,2022-10-24T02:21:26.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,87.17148488830486,39.4607843137255,1610612756,0,11,2022-10-24T02:21:31Z,350000,-53.0,68.0,1,right,D. Booker 8' Jump Shot (7 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Left,8.61,Made,,,,,,,,,,,7.0,,,,,,,
36,PT09M15.00S,2022-10-24T02:21:42.6Z,1,REGULAR,2pt,Jump Shot,[],202704,26.067674113009204,36.51960784313726,1610612746,0,11,2022-10-24T02:21:48Z,360000,67.0,193.0,1,left,MISS R. Jackson 20' Jump Shot,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,Mid-Range,16-24 Right Center,20.4,Missed,,,,,,,,,,,,,,,,,,
37,PT09M11.00S,2022-10-24T02:21:46.6Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,11,2022-10-24T02:21:48Z,370000,,,0,,D. Ayton REBOUND (Off:0 Def:3),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Right Center,,,36.0,3.0,3.0,0.0,,,,,,,,,,,,,,
38,PT09M07.00S,2022-10-24T02:21:50.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],101108,68.24901445466492,63.48039215686275,1610612756,0,11,2022-10-24T02:21:58Z,380000,67.0,246.0,1,right,MISS C. Paul 25' running pullup 3PT,[101108],1610612756.0,PHX,running pullup,,,Paul,C. Paul,,,,,Above the Break 3,24+ Center,25.51,Missed,,,,,,,,,,,,,,,,,,
39,PT09M03.00S,2022-10-24T02:21:54.7Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,0,11,2022-10-24T02:21:58Z,390000,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Center,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT08M46.00S,2022-10-24T02:22:11.7Z,1,REGULAR,2pt,Jump Shot,[],202694,16.869250985545335,81.86274509803921,1610612746,2,11,2022-10-24T02:22:15Z,400000,-159.0,106.0,1,left,M. Morris Sr. 19' pullup Jump Shot (2 PTS),[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,16-24 Left,19.14,Made,,,,,,,,,,,2.0,,,,,,,
41,PT08M21.00S,2022-10-24T02:22:35.9Z,1,REGULAR,3pt,Jump Shot,[],1626164,73.76806833114324,83.82352941176471,1610612756,2,11,2022-10-24T02:22:40Z,410000,169.0,194.0,1,right,MISS D. Booker 25' step back 3PT,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,25.74,Missed,,,,,,,,,,,,,,,,,,
42,PT08M19.00S,2022-10-24T02:22:37.9Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,2,11,2022-10-24T02:22:40Z,420000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Right Center,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,
43,PT08M07.00S,2022-10-24T02:22:51.5Z,1,REGULAR,2pt,Jump Shot,[],1626181,24.096583442838366,40.44117647058824,1610612746,4,11,2022-10-24T02:22:57Z,430000,48.0,174.0,1,left,N. Powell 18' pullup Jump Shot (2 PTS) (R. Jackson 1 AST),"[1626181, 202704]",1610612746.0,LAC,pullup,,,Powell,N. Powell,,,,,Mid-Range,16-24 Center,18.04,Made,,,,,,,,,,,2.0,R. Jackson,202704.0,1.0,,,,
44,PT07M45.00S,2022-10-24T02:23:12.8Z,1,REGULAR,3pt,Jump Shot,[],1629661,92.42772667542707,96.32352941176471,1610612756,4,14,2022-10-24T02:23:18Z,440000,232.0,19.0,1,right,C. Johnson 3PT fadeaway (3 PTS) (D. Booker 1 AST),"[1629661, 1626164]",1610612756.0,PHX,fadeaway,,,Johnson,C. Johnson,,,,,Right Corner 3,24+ Right,23.24,Made,,,,,,,,,,,3.0,D. Booker,1626164.0,1.0,,,,
47,PT07M28.00S,2022-10-24T02:23:29.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,16.606438896189218,56.372549019607845,1610612746,6,14,2022-10-24T02:23:34Z,460000,-32.0,104.0,1,left,M. Morris Sr. 10' fadeaway Jump Shot (4 PTS),[202694],1610612746.0,LAC,fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),8-16 Center,10.84,Made,,,,,,,,,,,4.0,,,,,,,
48,PT07M18.00S,2022-10-24T02:23:39.4Z,1,REGULAR,turnover,lost ball,[],1629028,,,1610612756,6,14,2022-10-24T02:25:14Z,470000,,,0,,D. Ayton lost ball TURNOVER (1 TO),"[1629028, 202704]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,1.0,,,,,Jackson,202704.0,,
49,PT07M18.00S,2022-10-24T02:23:39.4Z,1,REGULAR,steal,,[],202704,,,1610612746,6,14,2022-10-24T02:23:43Z,480000,,,0,,R. Jackson STEAL (1 STL),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
50,PT07M13.00S,2022-10-24T02:23:44.6Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1626181,11.350197109067011,3.9215686274509807,1610612746,6,14,2022-10-24T02:23:50Z,490000,230.0,54.0,1,left,MISS N. Powell running 3PT,[1626181],1610612746.0,LAC,running,,,Powell,N. Powell,,,,,Right Corner 3,24+ Right,23.67,Missed,,,,,,,,,,,,,,,,,,
51,PT07M10.00S,2022-10-24T02:23:47.6Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,6,14,2022-10-24T02:23:50Z,500000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,Right Corner 3,24+ Right,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,
52,PT07M02.00S,2022-10-24T02:23:56.5Z,1,REGULAR,turnover,lost ball,[],1629028,,,1610612756,6,14,2022-10-24T02:23:59Z,510000,,,0,,D. Ayton lost ball TURNOVER (2 TO),"[1629028, 202331]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,2.0,,,,,George,202331.0,,
53,PT07M02.00S,2022-10-24T02:23:56.5Z,1,REGULAR,steal,,[],202331,,,1610612746,6,14,2022-10-24T02:23:58Z,520000,,,0,,P. George STEAL (1 STL),[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
54,PT06M54.00S,2022-10-24T02:24:04.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626181,6.225361366622863,4.656862745098039,1610612746,6,14,2022-10-24T02:24:10Z,530000,227.0,6.0,1,left,MISS N. Powell 3PT,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Right Corner 3,24+ Right,22.68,Missed,,,,,,,,,,,,,,,,,,
55,PT06M49.00S,2022-10-24T02:24:09.1Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,6,14,2022-10-24T02:24:10Z,540000,,,0,,I. Zubac REBOUND (Off:1 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Right Corner 3,24+ Right,,,54.0,3.0,2.0,1.0,,,,,,,,,,,,,,
56,PT06M48.00S,2022-10-24T02:24:09.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627826,6.619579500657039,49.754901960784316,1610612746,6,14,2022-10-24T02:24:14Z,550000,1.0,10.0,1,left,MISS I. Zubac putback Layup,[1627826],1610612746.0,LAC,putback,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,0.98,Missed,,,,,,,,,,,,,,,,,,
57,PT06M46.00S,2022-10-24T02:24:11.6Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612756,6,14,2022-10-24T02:24:11Z,560000,,,0,,C. Johnson REBOUND (Off:0 Def:2),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,,,
58,PT06M28.00S,2022-10-24T02:24:29.7Z,1,REGULAR,turnover,lost ball,[],1626164,,,1610612756,6,14,2022-10-24T02:24:35Z,570000,,,0,,D. Booker lost ball TURNOVER (1 TO),"[1626164, 1626181]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,1.0,,,,,Powell,1626181.0,,
59,PT06M28.00S,2022-10-24T02:24:29.7Z,1,REGULAR,steal,,[],1626181,,,1610612746,6,14,2022-10-24T02:24:31Z,580000,,,0,,N. Powell STEAL (1 STL),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
60,PT06M22.00S,2022-10-24T02:24:37.2Z,1,REGULAR,foul,personal,['2freethrow'],1628969,,,1610612746,6,14,2022-10-24T02:24:44Z,590000,,,0,,M. Bridges shooting personal FOUL (1 PF) (George 2 FT),"[1628969, 202331]",1610612756.0,PHX,shooting,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,203593.0,1.0,0.0,George,202331.0,,,,,,,,,
62,PT06M22.00S,2022-10-24T02:25:13.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",202331,,,1610612746,7,14,2022-10-24T02:25:13Z,610000,,,0,,P. George Free Throw 1 of 2 (1 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
63,PT06M22.00S,2022-10-24T02:25:34.7Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",202331,,,1610612746,8,14,2022-10-24T02:25:34Z,620000,,,0,,P. George Free Throw 2 of 2 (2 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
65,PT06M06.00S,2022-10-24T02:26:12.7Z,1,REGULAR,2pt,Jump Shot,[],1626164,74.4250985545335,30.637254901960787,1610612756,8,16,2022-10-24T02:26:18Z,640000,-97.0,188.0,1,right,D. Booker 21' step back Jump Shot (9 PTS),[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left Center,21.14,Made,,,,,,,,,,,9.0,,,,,,,
66,PT05M42.00S,2022-10-24T02:26:37.0Z,1,REGULAR,3pt,Jump Shot,[],202694,29.09001314060447,77.69607843137254,1610612746,8,16,2022-10-24T02:42:36Z,650000,-138.0,221.0,1,left,MISS M. Morris Sr. 26' pullup 3PT,[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Left Center,26.07,Missed,,,,,,,,,,,,,,,,,,
67,PT05M39.00S,2022-10-24T02:26:40.0Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,8,16,2022-10-24T02:26:43Z,660000,,,0,,C. Paul REBOUND (Off:0 Def:2),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Left Center,,,66.0,2.0,2.0,0.0,,,,,,,,,,,,,,
68,PT05M30.00S,2022-10-24T02:26:48.8Z,1,REGULAR,3pt,Jump Shot,[],1629661,92.29632063074901,96.81372549019608,1610612756,8,19,2022-10-24T02:26:52Z,670000,234.0,20.0,1,right,C. Johnson 3PT  (6 PTS) (C. Paul 3 AST),"[1629661, 101108]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,Right Corner 3,24+ Right,23.49,Made,,,,,,,,,,,6.0,C. Paul,101108.0,3.0,,,,
70,PT05M09.00S,2022-10-24T02:27:10.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,7.670827858081481,53.18627450980392,1610612746,10,19,2022-10-24T02:27:18Z,690000,-16.0,20.0,1,left,N. Powell reverse Layup (4 PTS) (I. Zubac 1 AST),"[1626181, 1627826]",1610612746.0,LAC,reverse,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,2.52,Made,,,,,,,,,,,4.0,I. Zubac,1627826.0,1.0,,,,
72,PT05M01.00S,2022-10-24T02:27:18.0Z,1,REGULAR,3pt,Jump Shot,[],1629028,67.32917214191853,47.79411764705882,1610612756,10,19,2022-10-24T02:27:23Z,710000,-11.0,255.0,1,right,MISS D. Ayton 25' 3PT,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,25.48,Missed,,,,,,,,,,,,,,,,,,
73,PT04M57.00S,2022-10-24T02:27:22.0Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612746,10,19,2022-10-24T02:27:23Z,720000,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Center,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,,,
74,PT04M50.00S,2022-10-24T02:27:34.5Z,1,REGULAR,turnover,out-of-bounds,[],1626181,,,1610612746,10,19,2022-10-24T02:27:38Z,730000,,,0,,N. Powell bad pass out-of-bounds TURNOVER (1 TO),[1626181],1610612746.0,LAC,bad pass,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2004.0,,,,,1.0,,,,,,,,
75,PT04M25.00S,2022-10-24T02:28:03.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626164,92.55913272010513,29.90196078431373,1610612756,10,21,2022-10-24T02:28:07Z,740000,-100.0,17.0,1,right,D. Booker 10' driving floating Jump Shot (11 PTS),[1626164],1610612756.0,PHX,driving floating,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,10.2,Made,,,,,,,,,,,11.0,,,,,,,
76,PT04M14.00S,2022-10-24T02:28:14.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,6.8823915900131425,56.127450980392155,1610612746,10,21,2022-10-24T02:42:23Z,750000,-31.0,12.0,1,left,MISS N. Powell cutting Layup,[1626181],1610612746.0,LAC,cutting,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,3.29,Missed,,,,,,,,,,,,,,,,,,
77,PT04M12.00S,2022-10-24T02:28:16.1Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612756,10,21,2022-10-24T02:28:17Z,760000,,,0,,C. Johnson REBOUND (Off:0 Def:3),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,76.0,3.0,3.0,0.0,,,,,,,,,,,,,,
78,PT04M07.00S,2022-10-24T02:28:20.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,74.55650459921156,11.764705882352942,1610612756,10,24,2022-10-24T02:34:09Z,770000,-191.0,187.0,1,right,D. Booker 26' 3PT running pullup (14 PTS) (C. Paul 4 AST),"[1626164, 101108]",1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,26.72,Made,,,,,,,,,,,14.0,C. Paul,101108.0,4.0,,,,
80,PT04M06.00S,2022-10-24T02:30:58.8Z,1,REGULAR,substitution,out,[],202704,,,1610612746,10,24,2022-10-24T02:31:23Z,790000,,,0,,SUB out: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M06.00S,2022-10-24T02:30:58.8Z,1,REGULAR,substitution,out,[],1626181,,,1610612746,10,24,2022-10-24T02:31:23Z,800000,,,0,,SUB out: N. Powell,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M06.00S,2022-10-24T02:30:58.8Z,1,REGULAR,substitution,out,[],1627826,,,1610612746,10,24,2022-10-24T02:31:23Z,810000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M06.00S,2022-10-24T02:30:58.8Z,1,REGULAR,substitution,out,[],101108,,,1610612746,10,24,2022-10-24T02:31:23Z,820000,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
