actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
24,PT09M41.00S,2022-11-01T02:44:25.5Z,1,REGULAR,2pt,Jump Shot,[],1630578,11.350197109067011,20.34313725490196,1610612745,4,4,2022-11-01T02:44:31Z,240000,148.0,54.0,1,left,MISS A. Sengun 15' Jump Shot,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Right,15.79,Missed,,,,,,,,,,,,,,,,,,
25,PT09M38.00S,2022-11-01T02:44:29.1Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,4,4,2022-11-01T02:44:29Z,250000,,,0,,A. Sengun REBOUND (Off:1 Def:0),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Right,,,,,,24.0,1.0,0.0,1.0,,,,,,,,,,,
26,PT09M31.00S,2022-11-01T02:44:37.2Z,1,REGULAR,foul,personal,['2freethrow'],202331,,,1610612745,4,4,2022-11-01T02:44:42Z,260000,,,0,,P. George shooting personal FOUL (1 PF) (Sengun 2 FT),"[202331, 1630578]",1610612746.0,LAC,shooting,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1201.0,1.0,0.0,Sengun,1630578.0,,,
28,PT09M31.00S,2022-11-01T02:45:04.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630578,,,1610612745,4,5,2022-11-01T02:45:04Z,280000,,,0,,A. Sengun Free Throw 1 of 2 (1 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
29,PT09M31.00S,2022-11-01T02:45:33.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630578,,,1610612745,4,6,2022-11-01T02:45:33Z,290000,,,0,,A. Sengun Free Throw 2 of 2 (2 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
30,PT09M21.00S,2022-11-01T02:45:45.2Z,1,REGULAR,2pt,Jump Shot,[],1628379,73.50525624178712,41.666666666666664,1610612746,6,6,2022-11-01T02:45:48Z,300000,-42.0,197.0,1,right,L. Kennard 20' pullup Jump Shot (2 PTS) (R. Jackson 1 AST),"[1628379, 202704]",1610612746.0,LAC,pullup,,,Kennard,L. Kennard,,,,,Mid-Range,16-24 Center,20.1,Made,2.0,,,,,,,,,,,,,,,R. Jackson,202704.0,1.0
32,PT09M04.00S,2022-11-01T02:46:03.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,11.350197109067011,50.49019607843137,1610612745,6,8,2022-11-01T02:46:07Z,320000,-2.0,54.0,1,left,A. Sengun Hook (4 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,5.43,Made,4.0,,,,,,,,,,,,,,,,,
33,PT08M53.00S,2022-11-01T02:46:12.8Z,1,REGULAR,2pt,Jump Shot,[],202331,76.92181340341656,30.637254901960787,1610612746,6,8,2022-11-01T02:46:17Z,330000,-97.0,164.0,1,right,MISS P. George 19' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Mid-Range,16-24 Left Center,19.08,Missed,,,,,,,,,,,,,,,,,,
34,PT08M49.00S,2022-11-01T02:46:16.8Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,6,8,2022-11-01T02:46:17Z,340000,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Left Center,,,,,,33.0,2.0,1.0,1.0,,,,,,,,,,,
36,PT08M40.00S,2022-11-01T02:46:42.4Z,1,REGULAR,2pt,Jump Shot,[],1630224,19.8915900131406,25.24509803921569,1610612745,6,8,2022-11-01T02:46:48Z,360000,124.0,134.0,1,left,MISS J. Green 18' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,18.28,Missed,,,,,,,,,,,,,,,,,,
37,PT08M35.00S,2022-11-01T02:46:47.4Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,6,8,2022-11-01T02:46:48Z,370000,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Right Center,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,
38,PT08M29.00S,2022-11-01T02:46:53.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,80.33837056504599,42.40196078431373,1610612746,8,8,2022-11-01T02:46:59Z,380000,-38.0,132.0,1,right,R. Jackson 13' driving floating Jump Shot (4 PTS),[202704],1610612746.0,LAC,driving floating,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),8-16 Center,13.76,Made,4.0,,,,,,,,,,,,,,,,,
39,PT08M15.00S,2022-11-01T02:47:07.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,8.590670170827863,44.11764705882353,1610612745,8,8,2022-11-01T02:47:12Z,390000,29.0,28.0,1,left,MISS K. Porter Jr. driving Layup - blocked,"[1629645, 1627826]",1610612745.0,HOU,driving,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,4.08,Missed,,Zubac,1627826.0,,,,,,,,,,,,,,,
40,PT08M15.00S,2022-11-01T02:47:07.0Z,1,REGULAR,block,,[],1627826,,,1610612745,8,8,2022-11-01T02:47:10Z,400000,,,0,,I. Zubac BLOCK (2 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT08M11.00S,2022-11-01T02:47:11.0Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,8,8,2022-11-01T02:47:12Z,410000,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,
42,PT08M08.00S,2022-11-01T02:47:14.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202331,92.29632063074901,53.431372549019606,1610612746,10,8,2022-11-01T02:47:22Z,420000,17.0,20.0,1,right,P. George running Layup (2 PTS),[202331],1610612746.0,LAC,running,,,George,P. George,,,,,Restricted Area,0-8 Center,2.63,Made,2.0,,,,,,,,,,,,,,,,,
43,PT07M54.00S,2022-11-01T02:47:31.8Z,1,REGULAR,foul,personal,['2freethrow'],1628379,,,1610612745,10,8,2022-11-01T02:47:36Z,430000,,,0,,L. Kennard shooting personal FOUL (1 PF) (Green 2 FT),"[1628379, 1630224]",1610612746.0,LAC,shooting,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,2534.0,1.0,0.0,Green,1630224.0,,,
45,PT07M54.00S,2022-11-01T02:47:55.2Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,10,8,2022-11-01T02:48:16Z,450000,,,0,,MISS J. Green Free Throw 1 of 2,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
46,PT07M54.00S,2022-11-01T02:47:55.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612745,10,8,2022-11-01T02:48:16Z,460000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,
47,PT07M54.00S,2022-11-01T02:47:55.2Z,1,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,10,8,2022-11-01T02:48:16Z,470000,,,0,,MISS J. Green Free Throw 2 of 2,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
48,PT07M51.00S,2022-11-01T02:47:58.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,10,8,2022-11-01T02:48:16Z,480000,,,0,,I. Zubac REBOUND (Off:1 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,47.0,3.0,2.0,1.0,,,,,,,,,,,
49,PT07M39.00S,2022-11-01T02:48:27.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,86.51445466491458,57.84313725490196,1610612746,10,8,2022-11-01T02:48:32Z,490000,39.0,74.0,1,right,MISS M. Morris Sr. 8' turnaround fadeaway Shot,[202694],1610612746.0,LAC,turnaround fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),8-16 Center,8.4,Missed,,,,,,,,,,,,,,,,,,
50,PT07M35.00S,2022-11-01T02:48:31.4Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,10,8,2022-11-01T02:48:32Z,500000,,,0,,J. Smith Jr. REBOUND (Off:0 Def:2),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,49.0,2.0,2.0,0.0,,,,,,,,,,,
51,PT07M24.00S,2022-11-01T02:48:41.7Z,1,REGULAR,3pt,Jump Shot,[],201569,28.170170827858072,11.029411764705884,1610612745,10,11,2022-11-01T02:48:48Z,510000,195.0,212.0,1,left,E. Gordon 28' 3PT  (7 PTS) (K. Porter Jr. 1 AST),"[201569, 1629645]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,28.82,Made,7.0,,,,,,,,,,,,,,,K. Porter Jr.,1629645.0,1.0
53,PT07M09.00S,2022-11-01T02:48:56.8Z,1,REGULAR,3pt,Jump Shot,[],202331,66.14651773981603,61.76470588235294,1610612746,13,11,2022-11-01T02:49:02Z,530000,59.0,266.0,1,right,P. George 27' 3PT pullup (5 PTS) (R. Jackson 2 AST),"[202331, 202704]",1610612746.0,LAC,pullup,,,George,P. George,,,,,Above the Break 3,24+ Center,27.21,Made,5.0,,,,,,,,,,,,,,,R. Jackson,202704.0,2.0
55,PT06M45.00S,2022-11-01T02:49:20.5Z,1,REGULAR,3pt,Jump Shot,[],1629645,27.38173455978975,81.37254901960785,1610612745,13,11,2022-11-01T02:49:28Z,550000,-157.0,205.0,1,left,MISS K. Porter Jr. 25' pullup 3PT - blocked,"[1629645, 202331]",1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,25.81,Missed,,George,202331.0,,,,,,,,,,,,,,,
56,PT06M45.00S,2022-11-01T02:49:20.5Z,1,REGULAR,block,,[],202331,,,1610612745,13,11,2022-11-01T02:49:23Z,560000,,,0,,P. George BLOCK (1 BLK),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
57,PT06M42.00S,2022-11-01T02:49:23.5Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,13,11,2022-11-01T02:49:28Z,570000,,,0,,I. Zubac REBOUND (Off:1 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Left Center,,,,,,55.0,4.0,3.0,1.0,,,,,,,,,,,
58,PT06M41.00S,2022-11-01T02:49:25.7Z,1,REGULAR,turnover,bad pass,[],1627826,,,1610612746,13,11,2022-11-01T02:49:31Z,580000,,,0,,I. Zubac bad pass TURNOVER (2 TO),"[1627826, 201569]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Center,,,,,,,,,,2.0,Gordon,201569.0,,,,,,,,
59,PT06M41.00S,2022-11-01T02:49:25.7Z,1,REGULAR,steal,,[],201569,,,1610612745,13,11,2022-11-01T02:49:27Z,590000,,,0,,E. Gordon STEAL (2 STL),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
60,PT06M36.00S,2022-11-01T02:49:29.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201569,8.327858081471746,44.36274509803921,1610612745,13,11,2022-11-01T02:49:34Z,600000,28.0,26.0,1,left,MISS E. Gordon driving Layup - blocked,"[201569, 1627826]",1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,3.82,Missed,,Zubac,1627826.0,,,,,,,,,,,,,,,
61,PT06M36.00S,2022-11-01T02:49:29.5Z,1,REGULAR,block,,[],1627826,,,1610612745,13,11,2022-11-01T02:49:31Z,610000,,,0,,I. Zubac BLOCK (3 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
62,PT06M34.00S,2022-11-01T02:49:31.5Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,13,11,2022-11-01T02:49:34Z,620000,,,0,,I. Zubac REBOUND (Off:1 Def:4),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,60.0,5.0,4.0,1.0,,,,,,,,,,,
63,PT06M33.00S,2022-11-01T02:49:34.1Z,1,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612746,13,11,2022-11-01T02:49:46Z,630000,,,0,,J. Smith Jr. shooting personal FOUL (2 PF) (Zubac 2 FT),"[1631095, 1627826]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2534.0,2.0,0.0,Zubac,1627826.0,,,
65,PT06M33.00S,2022-11-01T02:49:49.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,13,11,2022-11-01T02:49:49Z,650000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M33.00S,2022-11-01T02:52:42.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627826,,,1610612746,13,11,2022-11-01T02:52:42Z,660000,,,0,,MISS I. Zubac Free Throw 1 of 2,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
67,PT06M33.00S,2022-11-01T02:52:42.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612746,13,11,2022-11-01T02:52:42Z,670000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,
68,PT06M33.00S,2022-11-01T02:52:58.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627826,,,1610612746,14,11,2022-11-01T02:52:58Z,680000,,,0,,I. Zubac Free Throw 2 of 2 (1 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
69,PT06M12.00S,2022-11-01T02:53:21.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,11.350197109067011,43.13725490196079,1610612745,14,13,2022-11-01T02:53:26Z,690000,34.0,54.0,1,left,K. Porter Jr. 6' driving floating Jump Shot (2 PTS),[1629645],1610612745.0,HOU,driving floating,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.41,Made,2.0,,,,,,,,,,,,,,,,,
70,PT05M50.00S,2022-11-01T02:53:41.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,87.69710906701708,51.22549019607843,1610612746,16,13,2022-11-01T02:53:46Z,700000,6.0,63.0,1,right,M. Morris Sr. 6' fadeaway Jump Shot (4 PTS),[202694],1610612746.0,LAC,fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),0-8 Center,6.34,Made,4.0,,,,,,,,,,,,,,,,,
71,PT05M37.00S,2022-11-01T02:53:55.9Z,1,REGULAR,turnover,bad pass,[],1630578,,,1610612745,16,13,2022-11-01T02:54:02Z,710000,,,0,,A. Sengun bad pass TURNOVER (1 TO),"[1630578, 202331]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Center,,,,,,,,,,1.0,George,202331.0,,,,,,,,
72,PT05M37.00S,2022-11-01T02:53:55.9Z,1,REGULAR,steal,,[],202331,,,1610612746,16,13,2022-11-01T02:53:57Z,720000,,,0,,P. George STEAL (1 STL),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
73,PT05M32.00S,2022-11-01T02:54:00.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",202331,78.89290407358739,73.2843137254902,1610612746,16,13,2022-11-01T02:54:11Z,730000,116.0,146.0,1,right,MISS P. George 18' running pullup Shot,[202331],1610612746.0,LAC,running pullup,,,George,P. George,,,,,Mid-Range,16-24 Right Center,18.66,Missed,,,,,,,,,,,,,,,,,,
74,PT05M28.00S,2022-11-01T02:54:04.9Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,16,13,2022-11-01T02:54:11Z,740000,,,0,,A. Sengun REBOUND (Off:1 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Right Center,,,,,,73.0,3.0,2.0,1.0,,,,,,,,,,,
75,PT05M12.00S,2022-11-01T02:54:20.4Z,1,REGULAR,2pt,Jump Shot,[],1630578,17.47700394218134,29.143688725490193,1610612745,16,15,2022-11-01T02:54:27Z,750000,104.0,112.0,1,left,A. Sengun 15' turnaround fadeaway Jump Shot (6 PTS) (E. Gordon 1 AST),"[1630578, 201569]",1610612745.0,HOU,turnaround fadeaway,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Right,15.29,Made,6.0,,,,,,,,,,,,,,,E. Gordon,201569.0,1.0
77,PT05M01.00S,2022-11-01T02:54:32.1Z,1,REGULAR,3pt,Jump Shot,[],1628379,67.86095597897503,36.986825980392155,1610612746,16,15,2022-11-01T03:20:08Z,770000,-65.0,250.0,1,right,MISS L. Kennard 25' 3PT,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Center,25.79,Missed,,,,,,,,,,,,,,,,,,
78,PT05M01.00S,2022-11-01T02:54:32.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,16,15,2022-11-01T02:54:38Z,780000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Mid-Range,16-24 Center,,,,,,77.0,,,,,,,,,,,,,,
80,PT05M01.00S,2022-11-01T02:54:40.1Z,1,REGULAR,substitution,out,[],201569,,,1610612745,16,15,2022-11-01T02:54:50Z,800000,,,0,,SUB out: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
