actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
22,PT10M10.00S,2023-03-28T02:43:45.2Z,1,REGULAR,foul,personal,['3freethrow'],203897,,,1610612746,5,8,2023-03-28T02:44:04Z,210000,False,,,0,,Z. LaVine shooting personal FOUL (1 PF) (Gordon 3 FT),"[203897, 201569]",1610612741.0,CHI,shooting,,,,,,Above the Break 3,24+ Center,,,,LaVine,Z. LaVine,,,,1626300.0,1.0,0.0,Gordon,201569.0,,,,,,,,,
24,PT10M10.00S,2023-03-28T02:44:12.4Z,1,REGULAR,freethrow,1 of 3,[],201569,,,1610612746,6,8,2023-03-28T02:44:12Z,230000,False,,,0,,E. Gordon Free Throw 1 of 3 (4 PTS),[201569],1610612746.0,LAC,,,,,,,,,,Made,4.0,Gordon,E. Gordon,,,,,,,,,,,,,,,,,
25,PT10M10.00S,2023-03-28T02:44:27.6Z,1,REGULAR,freethrow,2 of 3,[],201569,,,1610612746,7,8,2023-03-28T02:44:27Z,240000,False,,,0,,E. Gordon Free Throw 2 of 3 (5 PTS),[201569],1610612746.0,LAC,,,,,,,,,,Made,5.0,Gordon,E. Gordon,,,,,,,,,,,,,,,,,
26,PT10M10.00S,2023-03-28T02:44:43.7Z,1,REGULAR,freethrow,3 of 3,[],201569,,,1610612746,8,8,2023-03-28T02:44:43Z,250000,False,,,0,,E. Gordon Free Throw 3 of 3 (6 PTS),[201569],1610612746.0,LAC,,,,,,,,,,Made,6.0,Gordon,E. Gordon,,,,,,,,,,,,,,,,,
27,PT09M56.00S,2023-03-28T02:44:59.1Z,1,REGULAR,2pt,Jump Shot,[],202696,85.5946123521682,18.872549019607845,1610612741,8,8,2023-03-28T02:45:03Z,260000,False,-156.0,83.0,1,right,MISS N. Vucevic 17' Jump Shot,[202696],1610612741.0,CHI,,,,,,,Mid-Range,16-24 Left,17.63,Missed,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,
28,PT09M54.00S,2023-03-28T02:45:01.2Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,8,8,2023-03-28T02:45:01Z,270000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,,,,Mid-Range,16-24 Left,,,,Leonard,K. Leonard,,,,,,,,,27.0,1.0,1.0,0.0,,,,,
29,PT09M47.00S,2023-03-28T02:45:08.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201587,31.586727989487514,31.127450980392155,1610612746,11,8,2023-03-28T02:45:17Z,280000,False,94.0,244.0,1,left,N. Batum 26' 3PT running (3 PTS) (K. Leonard 1 AST),"[201587, 202695]",1610612746.0,LAC,running,,,,,,Above the Break 3,24+ Right Center,26.2,Made,3.0,Batum,N. Batum,K. Leonard,202695.0,1.0,,,,,,,,,,,,,,
31,PT09M30.00S,2023-03-28T02:45:24.4Z,1,REGULAR,3pt,Jump Shot,[],203897,68.11760840998686,46.568627450980394,1610612741,11,8,2023-03-28T02:45:47Z,300000,False,-17.0,247.0,1,right,MISS Z. LaVine 24' pullup 3PT,[203897],1610612741.0,CHI,pullup,,,,,,Above the Break 3,24+ Center,24.78,Missed,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,
32,PT09M28.00S,2023-03-28T02:45:26.4Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,11,8,2023-03-28T02:45:28Z,310000,False,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Center,,,,Batum,N. Batum,,,,,,,,,31.0,1.0,1.0,0.0,,,,,
33,PT09M15.00S,2023-03-28T02:45:41.0Z,1,REGULAR,3pt,Jump Shot,[],202695,30.535479632063073,28.431372549019613,1610612746,14,8,2023-03-28T02:45:45Z,320000,False,108.0,235.0,1,left,K. Leonard 25' 3PT  (3 PTS) (E. Gordon 1 AST),"[202695, 201569]",1610612746.0,LAC,,,,,,,Above the Break 3,24+ Right Center,25.81,Made,3.0,Leonard,K. Leonard,E. Gordon,201569.0,1.0,,,,,,,,,,,,,,
35,PT08M58.00S,2023-03-28T02:45:56.9Z,1,REGULAR,2pt,Jump Shot,[],201942,96.10709592641261,19.117647058823522,1610612741,14,8,2023-03-28T02:46:00Z,340000,False,-154.0,-16.0,1,right,MISS D. DeRozan 15' turnaround fadeaway Shot,[201942],1610612741.0,CHI,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,15.52,Missed,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,
36,PT08M56.00S,2023-03-28T02:45:58.9Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,14,8,2023-03-28T02:46:00Z,350000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,,,,Mid-Range,8-16 Left,,,,Zubac,I. Zubac,,,,,,,,,35.0,1.0,1.0,0.0,,,,,
37,PT08M49.00S,2023-03-28T02:46:06.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,10.036136662286467,47.30392156862745,1610612746,14,8,2023-03-28T02:46:11Z,360000,False,13.0,42.0,1,left,MISS I. Zubac Layup - blocked,"[1627826, 1630172]",1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,4.39,Missed,,Zubac,I. Zubac,,,,,,,,,,,,,Williams,1630172.0,,,
38,PT08M49.00S,2023-03-28T02:46:06.0Z,1,REGULAR,block,,[],1630172,,,1610612746,14,8,2023-03-28T02:46:08Z,370000,False,,,0,,P. Williams BLOCK (1 BLK),[1630172],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,
39,PT08M47.00S,2023-03-28T02:46:08.0Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,14,8,2023-03-28T02:46:11Z,380000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,,DeRozan,D. DeRozan,,,,,,,,,37.0,1.0,1.0,0.0,,,,,
40,PT08M44.00S,2023-03-28T02:46:12.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201976,91.63929040735874,3.67647058823529,1610612741,14,11,2023-03-28T02:46:19Z,390000,False,-232.0,26.0,1,right,P. Beverley 3PT running (3 PTS) (D. DeRozan 2 AST),"[201976, 201942]",1610612741.0,CHI,running,,,,,,Left Corner 3,24+ Left,23.31,Made,3.0,Beverley,P. Beverley,D. DeRozan,201942.0,2.0,,,,,,,,,,,,,,
42,PT08M28.00S,2023-03-28T02:46:27.1Z,1,REGULAR,3pt,Jump Shot,[],201569,33.03219448094612,27.450980392156865,1610612746,14,11,2023-03-28T02:46:32Z,410000,False,113.0,258.0,1,left,MISS E. Gordon 28' 3PT,[201569],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Right Center,28.15,Missed,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,
43,PT08M24.00S,2023-03-28T02:46:31.1Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,14,11,2023-03-28T02:46:32Z,420000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,,,,LaVine,Z. LaVine,,,,,,,,,42.0,1.0,1.0,0.0,,,,,
44,PT08M13.00S,2023-03-28T02:46:41.2Z,1,REGULAR,2pt,Jump Shot,[],201942,80.6011826544021,69.6078431372549,1610612741,14,11,2023-03-28T02:46:45Z,430000,False,98.0,130.0,1,right,MISS D. DeRozan 16' pullup Shot,[201942],1610612741.0,CHI,pullup,,,,,,Mid-Range,16-24 Right Center,16.26,Missed,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,
45,PT08M11.00S,2023-03-28T02:46:43.5Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,14,11,2023-03-28T02:46:43Z,440000,False,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,,,,Mid-Range,16-24 Right Center,,,,Zubac,I. Zubac,,,,,,,,,44.0,2.0,2.0,0.0,,,,,
46,PT08M02.00S,2023-03-28T02:46:52.9Z,1,REGULAR,3pt,Jump Shot,[],202695,26.593298291721425,17.40196078431373,1610612746,14,11,2023-03-28T02:46:56Z,450000,False,163.0,197.0,1,left,MISS K. Leonard 25' 3PT,[202695],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Right Center,25.61,Missed,,Leonard,K. Leonard,,,,,,,,,,,,,,,,,
47,PT07M59.00S,2023-03-28T02:46:55.9Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,14,11,2023-03-28T02:46:56Z,460000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:2),[203897],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,,,,LaVine,Z. LaVine,,,,,,,,,46.0,2.0,2.0,0.0,,,,,
48,PT07M55.00S,2023-03-28T02:47:03.1Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612741,14,11,2023-03-28T02:47:10Z,470000,False,,,0,,I. Zubac shooting personal FOUL (1 PF) (LaVine 2 FT),"[1627826, 203897]",1610612746.0,LAC,shooting,,,,,,Restricted Area,0-8 Center,,,,Zubac,I. Zubac,,,,1626300.0,1.0,0.0,LaVine,203897.0,,,,,,,,,
50,PT07M55.00S,2023-03-28T02:47:33.2Z,1,REGULAR,freethrow,1 of 2,[],203897,,,1610612741,14,12,2023-03-28T02:47:33Z,490000,False,,,0,,Z. LaVine Free Throw 1 of 2 (1 PTS),[203897],1610612741.0,CHI,,,,,,,,,,Made,1.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,
51,PT07M55.00S,2023-03-28T02:47:49.4Z,1,REGULAR,freethrow,2 of 2,[],203897,,,1610612741,14,13,2023-03-28T02:47:49Z,500000,False,,,0,,Z. LaVine Free Throw 2 of 2 (2 PTS),[203897],1610612741.0,CHI,,,,,,,,,,Made,2.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,
52,PT07M40.00S,2023-03-28T02:48:05.8Z,1,REGULAR,3pt,Jump Shot,[],201587,20.285808147174762,93.87254901960785,1610612746,14,13,2023-03-28T02:48:11Z,510000,False,-219.0,138.0,1,left,MISS N. Batum 25' 3PT,[201587],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Left Center,25.93,Missed,,Batum,N. Batum,,,,,,,,,,,,,,,,,
53,PT07M37.00S,2023-03-28T02:48:08.8Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,14,13,2023-03-28T02:48:11Z,520000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:2),[201942],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,,,,DeRozan,D. DeRozan,,,,,,,,,52.0,2.0,2.0,0.0,,,,,
54,PT07M23.00S,2023-03-28T02:48:23.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201976,88.87976346911958,45.09803921568627,1610612741,14,13,2023-03-28T02:48:29Z,530000,False,-25.0,52.0,1,right,MISS P. Beverley driving Layup - blocked,"[201976, 202695]",1610612741.0,CHI,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.75,Missed,,Beverley,P. Beverley,,,,,,,,,,,,,Leonard,202695.0,,,
55,PT07M23.00S,2023-03-28T02:48:23.3Z,1,REGULAR,block,,[],202695,,,1610612741,14,13,2023-03-28T02:48:25Z,540000,False,,,0,,K. Leonard BLOCK (1 BLK),[202695],1610612746.0,LAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Leonard,K. Leonard,,,,,,,,,,,,,,,,,
56,PT07M19.00S,2023-03-28T02:48:27.3Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,14,13,2023-03-28T02:48:29Z,550000,False,,,0,,K. Leonard REBOUND (Off:0 Def:2),[202695],1610612746.0,LAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Leonard,K. Leonard,,,,,,,,,54.0,2.0,2.0,0.0,,,,,
57,PT07M08.00S,2023-03-28T02:48:37.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,7.408015768725363,46.568627450980394,1610612746,16,13,2023-03-28T02:48:45Z,560000,False,17.0,17.0,1,left,I. Zubac bank Hook (2 PTS) (K. Leonard 2 AST),"[1627826, 202695]",1610612746.0,LAC,bank,,,,,,Restricted Area,0-8 Center,2.43,Made,2.0,Zubac,I. Zubac,K. Leonard,202695.0,2.0,,,,,,,,,,,,,,
59,PT07M08.00S,2023-03-28T02:48:46.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,16,13,2023-03-28T02:48:46Z,580000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M54.00S,2023-03-28T02:51:48.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,84.01773981603154,50.98039215686275,1610612741,16,15,2023-03-28T02:51:53Z,590000,False,5.0,98.0,1,right,N. Vucevic 9' turnaround Hook (4 PTS) (D. DeRozan 3 AST),"[202696, 201942]",1610612741.0,CHI,turnaround,,,,,,In The Paint (Non-RA),8-16 Center,9.78,Made,4.0,Vucevic,N. Vucevic,D. DeRozan,201942.0,3.0,,,,,,,,,,,,,,
62,PT06M35.00S,2023-03-28T02:52:07.0Z,1,REGULAR,3pt,Jump Shot,[],201566,28.301576872536145,79.65686274509804,1610612746,16,15,2023-03-28T02:52:12Z,610000,False,-148.0,214.0,1,left,MISS R. Westbrook 26' 3PT,[201566],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Left Center,26.0,Missed,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,
63,PT06M31.00S,2023-03-28T02:52:11.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,16,15,2023-03-28T02:52:12Z,620000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,,,,Vucevic,N. Vucevic,,,,,,,,,62.0,2.0,2.0,0.0,,,,,
64,PT06M29.00S,2023-03-28T02:52:16.3Z,1,REGULAR,foul,personal,['2freethrow'],201569,,,1610612741,16,15,2023-03-28T02:52:35Z,630000,False,,,0,,E. Gordon shooting personal FOUL (1 PF) (LaVine 2 FT),"[201569, 203897]",1610612746.0,LAC,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Gordon,E. Gordon,,,,202058.0,1.0,0.0,LaVine,203897.0,,,,,,,,,
66,PT06M29.00S,2023-03-28T02:52:43.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203897,,,1610612741,16,16,2023-03-28T02:52:43Z,650000,False,,,0,,Z. LaVine Free Throw 1 of 2 (3 PTS),[203897],1610612741.0,CHI,,,,,,,,,,Made,3.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,
67,PT06M29.00S,2023-03-28T02:52:59.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203897,,,1610612741,16,17,2023-03-28T02:52:59Z,660000,False,,,0,,Z. LaVine Free Throw 2 of 2 (4 PTS),[203897],1610612741.0,CHI,,,,,,,,,,Made,4.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,
68,PT06M10.00S,2023-03-28T02:53:22.0Z,1,REGULAR,turnover,out-of-bounds,[],1627826,,,1610612746,16,17,2023-03-28T02:53:29Z,670000,False,,,0,,I. Zubac bad pass out-of-bounds TURNOVER (1 TO),[1627826],1610612746.0,LAC,bad pass,,,,,,Mid-Range,8-16 Left,,,,Zubac,I. Zubac,,,,202058.0,,,,,,,,,,,1.0,,
69,PT05M57.00S,2023-03-28T02:53:40.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202696,77.44743758212877,24.75490196078431,1610612741,16,17,2023-03-28T02:53:45Z,680000,False,-126.0,159.0,1,right,MISS N. Vucevic 20' Jump Shot,[202696],1610612741.0,CHI,,,,,,,Mid-Range,16-24 Left Center,20.34,Missed,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,
70,PT05M55.00S,2023-03-28T02:53:42.4Z,1,REGULAR,rebound,defensive,[],201566,,,1610612746,16,17,2023-03-28T02:53:45Z,690000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612746.0,LAC,,,,,,,Mid-Range,16-24 Left Center,,,,Westbrook,R. Westbrook,,,,,,,,,69.0,1.0,1.0,0.0,,,,,
71,PT05M46.00S,2023-03-28T02:53:51.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,8.459264126149804,49.26470588235294,1610612746,18,17,2023-03-28T02:53:56Z,700000,False,4.0,27.0,1,left,E. Gordon driving Layup (8 PTS) (R. Westbrook 1 AST),"[201569, 201566]",1610612746.0,LAC,driving,,,,,,Restricted Area,0-8 Center,2.73,Made,8.0,Gordon,E. Gordon,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,
73,PT05M30.00S,2023-03-28T02:54:07.7Z,1,REGULAR,2pt,Jump Shot,[],1630172,83.09789750328515,70.34313725490196,1610612741,18,19,2023-03-28T02:54:15Z,720000,False,102.0,106.0,1,right,P. Williams 14' pullup Jump Shot (5 PTS) (N. Vucevic 2 AST),"[1630172, 202696]",1610612741.0,CHI,pullup,,,,,,Mid-Range,8-16 Right,14.72,Made,5.0,Williams,P. Williams,N. Vucevic,202696.0,2.0,,,,,,,,,,,,,,
75,PT05M17.00S,2023-03-28T02:54:23.3Z,1,REGULAR,turnover,traveling,[],1627826,,,1610612746,18,19,2023-03-28T02:54:29Z,740000,False,,,0,,I. Zubac traveling TURNOVER (2 TO),[1627826],1610612746.0,LAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Zubac,I. Zubac,,,,202058.0,,,,,,,,,,,2.0,,
76,PT05M17.00S,2023-03-28T02:54:27.1Z,1,REGULAR,substitution,out,[],201566,,,1610612741,18,19,2023-03-28T02:54:45Z,750000,False,,,0,,SUB out: R. Westbrook,[201566],1610612746.0,LAC,,,,,,,,,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,
77,PT05M17.00S,2023-03-28T02:54:27.1Z,1,REGULAR,substitution,out,[],201569,,,1610612741,18,19,2023-03-28T02:54:45Z,760000,False,,,0,,SUB out: E. Gordon,[201569],1610612746.0,LAC,,,,,,,,,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,
78,PT05M17.00S,2023-03-28T02:54:27.1Z,1,REGULAR,substitution,out,[],201942,,,1610612741,18,19,2023-03-28T02:54:45Z,770000,False,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,,,,,,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,
79,PT05M17.00S,2023-03-28T02:54:27.1Z,1,REGULAR,substitution,in,[],1629611,,,1610612741,18,19,2023-03-28T02:54:45Z,780000,False,,,0,,SUB in: T. Mann,[1629611],1610612746.0,LAC,,,,,,,,,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,
80,PT05M17.00S,2023-03-28T02:54:27.1Z,1,REGULAR,substitution,in,[],1630538,,,1610612741,18,19,2023-03-28T02:54:45Z,790000,False,,,0,,SUB in: B. Hyland,[1630538],1610612746.0,LAC,,,,,,,,,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,
81,PT05M17.00S,2023-03-28T02:54:27.1Z,1,REGULAR,substitution,in,[],1629632,,,1610612741,18,19,2023-03-28T02:54:45Z,800000,False,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,,,,,,,,,White,C. White,,,,,,,,,,,,,,,,,
82,PT04M55.00S,2023-03-28T02:55:11.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202696,91.90210249671485,46.81372549019608,1610612741,18,21,2023-03-28T02:55:17Z,810000,False,-16.0,24.0,1,right,N. Vucevic reverse Layup (6 PTS),[202696],1610612741.0,CHI,reverse,,,,,,Restricted Area,0-8 Center,2.85,Made,6.0,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,
83,PT04M41.00S,2023-03-28T02:55:26.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,8.196452036793687,51.470588235294116,1610612746,20,21,2023-03-28T02:55:30Z,820000,False,-7.0,25.0,1,left,I. Zubac DUNK (4 PTS) (T. Mann 1 AST),"[1627826, 1629611]",1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,2.56,Made,4.0,Zubac,I. Zubac,T. Mann,1629611.0,1.0,,,,,,,,,,,,,,
85,PT04M30.00S,2023-03-28T02:55:36.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,92.42772667542707,52.69607843137255,1610612741,20,23,2023-03-28T02:55:41Z,840000,False,13.0,19.0,1,right,Z. LaVine driving Layup (6 PTS),[203897],1610612741.0,CHI,driving,,,,,,Restricted Area,0-8 Center,2.31,Made,6.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,
86,PT04M04.00S,2023-03-28T02:56:04.3Z,1,REGULAR,3pt,Jump Shot,[],1630538,9.461235216819972,96.30055147058823,1610612746,20,23,2023-03-28T02:56:42Z,850000,False,-232.0,36.0,1,left,MISS B. Hyland 3PT - blocked,"[1630538, 201976]",1610612746.0,LAC,,,,,,,Left Corner 3,24+ Left,23.43,Missed,,Hyland,B. Hyland,,,,,,,,,,,,,Beverley,201976.0,,,
87,PT04M04.00S,2023-03-28T02:56:04.3Z,1,REGULAR,block,,[],201976,,,1610612746,20,23,2023-03-28T02:56:08Z,860000,False,,,0,,P. Beverley BLOCK (1 BLK),[201976],1610612741.0,CHI,,,,,,,Left Corner 3,24+ Left,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,
88,PT04M04.00S,2023-03-28T02:56:04.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,20,23,2023-03-28T02:56:20Z,870000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,86.0,,,,,,,,
89,PT04M04.00S,2023-03-28T02:56:11.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612746,20,23,2023-03-28T02:56:48Z,880000,False,,,0,,LAC shot clock Team TURNOVER,[],1610612746.0,LAC,,,,,,,Left Corner 3,24+ Left,,,,,,,,,1626300.0,,,,,,,,,,,,,
