actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
20,PT10M15.00S,2023-12-02T03:20:37.2Z,1,REGULAR,foul,personal,['1freethrow'],203200,,,1610612756,7,7,2023-12-02T03:20:48Z,200000,False,,,0,,J. Holiday shooting personal FOUL (1 PF) (Durant 1 FT),"[203200, 201142]",1610612743.0,DEN,shooting,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,203592.0,1.0,0.0,Durant,201142.0,,,,,,,,
22,PT10M15.00S,2023-12-02T03:20:59.2Z,1,REGULAR,freethrow,1 of 1,[],201142,,,1610612756,8,7,2023-12-02T03:20:59Z,220000,False,,,0,,K. Durant Free Throw 1 of 1 (6 PTS),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
23,PT09M55.00S,2023-12-02T03:21:20.6Z,1,REGULAR,3pt,Jump Shot,[],202704,30.56833114323259,20.098039215686274,1610612743,8,10,2023-12-02T03:21:26Z,230000,False,150.0,235.0,1,left,R. Jackson 27' 3PT  (3 PTS) (K. Caldwell-Pope 2 AST),"[202704, 203484]",1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Right Center,27.84,Made,3.0,K. Caldwell-Pope,203484.0,2.0,,,,,,,,,,,,,,
25,PT09M39.00S,2023-12-02T03:21:35.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,91.40932982917214,52.94117647058824,1610612756,10,10,2023-12-02T03:21:40Z,250000,False,15.0,28.0,1,right,J. Nurkic cutting Layup (4 PTS) (K. Durant 1 AST),"[203994, 201142]",1610612756.0,PHX,cutting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,3.19,Made,4.0,K. Durant,201142.0,1.0,,,,,,,,,,,,,,
27,PT09M28.00S,2023-12-02T03:21:47.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,5.995400788436268,44.36274509803921,1610612743,10,12,2023-12-02T03:21:55Z,270000,False,28.0,4.0,1,left,R. Jackson driving reverse Layup (5 PTS),[202704],1610612743.0,DEN,driving reverse,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,2.85,Made,5.0,,,,,,,,,,,,,,,,,
28,PT09M11.00S,2023-12-02T03:22:03.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201142,93.11760840998686,46.32352941176471,1610612756,12,12,2023-12-02T03:22:08Z,280000,False,-18.0,12.0,1,right,K. Durant driving Layup (8 PTS),[201142],1610612756.0,PHX,driving,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,2.21,Made,8.0,,,,,,,,,,,,,,,,,
29,PT09M00.00S,2023-12-02T03:22:14.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,7.703679369250986,53.18627450980392,1610612743,12,12,2023-12-02T03:22:19Z,290000,False,-16.0,20.0,1,left,MISS R. Jackson Layup - blocked,"[202704, 203994]",1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,2.55,Missed,,,,,,,,,,,Nurkic,203994.0,,,,,,
30,PT09M00.00S,2023-12-02T03:22:14.1Z,1,REGULAR,block,,[],203994,,,1610612743,12,12,2023-12-02T03:22:16Z,300000,False,,,0,,J. Nurkic BLOCK (1 BLK),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
31,PT08M57.00S,2023-12-02T03:22:17.1Z,1,REGULAR,rebound,offensive,[],203200,,,1610612743,12,12,2023-12-02T03:22:19Z,310000,False,,,0,,J. Holiday REBOUND (Off:1 Def:0),[203200],1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,,29.0,,,,,,,,1.0,0.0,1.0,,,
32,PT08M47.00S,2023-12-02T03:22:27.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203999,18.2161629434954,45.588235294117645,1610612743,12,14,2023-12-02T03:24:45Z,320000,False,22.0,119.0,1,left,N. Jokic 12' driving floating Jump Shot (2 PTS),[203999],1610612743.0,DEN,driving floating,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,12.07,Made,2.0,,,,,,,,,,,,,,,,,
33,PT08M33.00S,2023-12-02T03:22:41.6Z,1,REGULAR,3pt,Jump Shot,[],203994,69.20170827858082,27.205882352941174,1610612756,15,14,2023-12-02T03:22:45Z,330000,False,-114.0,237.0,1,right,J. Nurkic 26' 3PT  (7 PTS) (G. Allen 1 AST),"[203994, 1628960]",1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Left Center,26.3,Made,7.0,G. Allen,1628960.0,1.0,,,,,,,,,,,,,,
35,PT08M31.00S,2023-12-02T03:22:48.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,15,14,2023-12-02T03:22:48Z,350000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M15.00S,2023-12-02T03:26:32.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,14.536793692509855,47.30392156862745,1610612743,15,14,2023-12-02T03:26:39Z,360000,False,13.0,84.0,1,left,MISS N. Jokic 8' Jump Shot,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,8.52,Missed,,,,,,,,,,,,,,,,,,
37,PT08M14.00S,2023-12-02T03:26:33.5Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,15,14,2023-12-02T03:26:39Z,370000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,36.0,,,,,,,,1.0,1.0,0.0,,,
38,PT07M59.00S,2023-12-02T03:26:47.8Z,1,REGULAR,2pt,Jump Shot,[],201142,77.61169513797634,48.28431372549019,1610612756,17,14,2023-12-02T03:26:54Z,380000,False,-9.0,158.0,1,right,K. Durant 15' Jump Shot (10 PTS) (J. Nurkic 1 AST),"[201142, 203994]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Center,15.82,Made,10.0,J. Nurkic,203994.0,1.0,,,,,,,,,,,,,,
40,PT07M37.00S,2023-12-02T03:27:10.5Z,1,REGULAR,2pt,Jump Shot,[],203999,21.50131406044678,50.73529411764706,1610612743,17,16,2023-12-02T03:27:14Z,400000,False,-4.0,150.0,1,left,N. Jokic 14' Jump Shot (4 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Center,14.96,Made,4.0,,,,,,,,,,,,,,,,,
41,PT07M27.00S,2023-12-02T03:27:20.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,91.40932982917214,50.245098039215684,1610612756,19,16,2023-12-02T03:27:26Z,410000,False,1.0,28.0,1,right,E. Gordon driving Layup (2 PTS) (K. Bates-Diop 1 AST),"[201569, 1628966]",1610612756.0,PHX,driving,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,2.83,Made,2.0,K. Bates-Diop,1628966.0,1.0,,,,,,,,,,,,,,
43,PT07M13.00S,2023-12-02T03:27:34.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203484,6.915243101182654,51.225490196078425,1610612743,19,18,2023-12-02T03:27:39Z,430000,False,-6.0,13.0,1,left,K. Caldwell-Pope driving Layup (2 PTS),[203484],1610612743.0,DEN,driving,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,1.39,Made,2.0,,,,,,,,,,,,,,,,,
44,PT07M04.00S,2023-12-02T03:27:46.7Z,1,REGULAR,violation,kicked ball,[],203999,,,1610612756,19,18,2023-12-02T03:27:59Z,440000,False,,,0,,N. Jokic kicked ball VIOLATION,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,1830.0,,,,,,,,,,,,
45,PT06M54.00S,2023-12-02T03:28:12.4Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612756,19,18,2023-12-02T03:28:19Z,450000,False,,,0,,J. Nurkic bad pass TURNOVER (1 TO),"[203994, 203484]",1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,1.0,Caldwell-Pope,203484.0
46,PT06M54.00S,2023-12-02T03:28:12.4Z,1,REGULAR,steal,,[],203484,,,1610612743,19,18,2023-12-02T03:28:14Z,460000,False,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT06M48.00S,2023-12-02T03:28:18.8Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629008,28.203022339027594,17.15686274509804,1610612743,19,18,2023-12-02T03:30:00Z,470000,False,164.0,213.0,1,left,MISS M. Porter Jr. 26' running pullup 3PT,[1629008],1610612743.0,DEN,running pullup,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,26.86,Missed,,,,,,,,,,,,,,,,,,
48,PT06M45.00S,2023-12-02T03:28:21.8Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,19,18,2023-12-02T03:28:27Z,480000,False,,,0,,G. Allen REBOUND (Off:0 Def:2),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,,,,,,,47.0,,,,,,,,2.0,2.0,0.0,,,
49,PT06M34.00S,2023-12-02T03:28:32.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,84.83902759526939,65.44117647058823,1610612756,19,18,2023-12-02T03:28:38Z,490000,False,77.0,90.0,1,right,MISS K. Durant 11' turnaround fadeaway Shot,[201142],1610612756.0,PHX,turnaround fadeaway,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Right,11.86,Missed,,,,,,,,,,,,,,,,,,
50,PT06M32.00S,2023-12-02T03:28:34.7Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,19,18,2023-12-02T03:28:38Z,500000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,49.0,,,,,,,,1.0,1.0,0.0,,,
51,PT06M22.00S,2023-12-02T03:28:43.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629008,15.193823915900131,39.950980392156865,1610612743,19,20,2023-12-02T03:28:51Z,510000,False,50.0,90.0,1,left,M. Porter Jr. 10' driving floating Jump Shot (4 PTS) (N. Jokic 2 AST),"[1629008, 203999]",1610612743.0,DEN,driving floating,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,10.33,Made,4.0,N. Jokic,203999.0,2.0,,,,,,,,,,,,,,
53,PT06M12.00S,2023-12-02T03:28:56.6Z,1,REGULAR,violation,kicked ball,[],203200,,,1610612756,19,20,2023-12-02T03:29:03Z,530000,False,,,0,,J. Holiday kicked ball VIOLATION,[203200],1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,,,,,,,,,,203592.0,,,,,,,,,,,,
54,PT06M12.00S,2023-12-02T03:29:02.3Z,1,REGULAR,substitution,out,[],1628966,,,1610612756,19,20,2023-12-02T03:29:18Z,540000,False,,,0,,SUB out: K. Bates-Diop,[1628966],1610612756.0,PHX,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M12.00S,2023-12-02T03:29:02.3Z,1,REGULAR,substitution,out,[],201569,,,1610612756,19,20,2023-12-02T03:29:18Z,550000,False,,,0,,SUB out: E. Gordon,[201569],1610612756.0,PHX,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M12.00S,2023-12-02T03:29:02.3Z,1,REGULAR,substitution,out,[],202704,,,1610612756,19,20,2023-12-02T03:29:18Z,560000,False,,,0,,SUB out: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M12.00S,2023-12-02T03:29:02.3Z,1,REGULAR,substitution,out,[],203200,,,1610612756,19,20,2023-12-02T03:29:18Z,570000,False,,,0,,SUB out: J. Holiday,[203200],1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M12.00S,2023-12-02T03:29:02.3Z,1,REGULAR,substitution,in,[],1630692,,,1610612756,19,20,2023-12-02T03:29:18Z,580000,False,,,0,,SUB in: J. Goodwin,[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M12.00S,2023-12-02T03:29:02.3Z,1,REGULAR,substitution,in,[],1629642,,,1610612756,19,20,2023-12-02T03:29:18Z,590000,False,,,0,,SUB in: N. Little,[1629642],1610612756.0,PHX,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M12.00S,2023-12-02T03:29:02.3Z,1,REGULAR,substitution,in,[],1631128,,,1610612756,19,20,2023-12-02T03:29:18Z,600000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M12.00S,2023-12-02T03:29:02.3Z,1,REGULAR,substitution,in,[],1631212,,,1610612756,19,20,2023-12-02T03:29:18Z,610000,False,,,0,,SUB in: P. Watson,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M10.00S,2023-12-02T03:29:23.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630692,93.77463863337714,50.49019607843137,1610612756,21,20,2023-12-02T03:29:27Z,620000,False,2.0,6.0,1,right,J. Goodwin cutting Layup (2 PTS) (K. Durant 2 AST),"[1630692, 201142]",1610612756.0,PHX,cutting,,,Goodwin,J. Goodwin,,,,,Restricted Area,0-8 Center,0.65,Made,2.0,K. Durant,201142.0,2.0,,,,,,,,,,,,,,
64,PT05M51.00S,2023-12-02T03:29:41.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203484,7.703679369250986,54.166666666666664,1610612743,21,22,2023-12-02T03:29:44Z,640000,False,-21.0,20.0,1,left,K. Caldwell-Pope cutting Layup (4 PTS) (N. Jokic 3 AST),"[203484, 203999]",1610612743.0,DEN,cutting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,2.88,Made,4.0,N. Jokic,203999.0,3.0,,,,,,,,,,,,,,
66,PT05M35.00S,2023-12-02T03:30:00.3Z,1,REGULAR,foul,personal,['2freethrow'],203484,,,1610612756,21,22,2023-12-02T03:30:05Z,660000,False,,,0,,K. Caldwell-Pope shooting personal FOUL (1 PF) (Durant 2 FT),"[203484, 201142]",1610612743.0,DEN,shooting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,202026.0,1.0,0.0,Durant,201142.0,,,,,,,,
68,PT05M35.00S,2023-12-02T03:30:27.2Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612756,22,22,2023-12-02T03:30:27Z,680000,False,,,0,,K. Durant Free Throw 1 of 2 (11 PTS),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
69,PT05M35.00S,2023-12-02T03:30:49.4Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612756,23,22,2023-12-02T03:30:49Z,690000,False,,,0,,K. Durant Free Throw 2 of 2 (12 PTS),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
70,PT05M22.00S,2023-12-02T03:31:02.8Z,1,REGULAR,2pt,Jump Shot,[],1629008,13.485545335085414,76.22549019607843,1610612743,23,24,2023-12-02T03:31:08Z,700000,False,-131.0,74.0,1,left,M. Porter Jr. 15' pullup Jump Shot (6 PTS) (C. Braun 1 AST),"[1629008, 1631128]",1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Left,15.07,Made,6.0,C. Braun,1631128.0,1.0,,,,,,,,,,,,,,
72,PT05M07.00S,2023-12-02T03:31:20.6Z,1,REGULAR,2pt,Jump Shot,[],201142,73.9323258869908,43.872549019607845,1610612756,23,24,2023-12-02T03:35:56Z,712500,False,-31.0,193.0,1,right,MISS K. Durant 19' turnaround fadeaway Shot,[201142],1610612756.0,PHX,turnaround fadeaway,,,Durant,K. Durant,,,,,Mid-Range,16-24 Center,19.49,Missed,,,,,,,,,,,,,,,,,,
73,PT05M05.00S,2023-12-02T03:31:22.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,23,24,2023-12-02T03:35:56Z,713750,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,16-24 Center,,,,,,,72.0,,,,,,,,1.0,1.0,0.0,,,
74,PT05M04.00S,2023-12-02T03:31:24.3Z,1,REGULAR,foul,personal,[],203994,,,1610612743,23,24,2023-12-02T03:35:38Z,715000,False,,,0,,J. Nurkic personal FOUL (1 PF),"[203994, 203999]",1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,1830.0,1.0,0.0,Jokic,203999.0,,,,,,,,
76,PT04M54.00S,2023-12-02T03:31:43.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,6.783837056504599,54.90196078431373,1610612743,23,26,2023-12-02T03:36:17Z,760000,False,-25.0,11.0,1,left,M. Porter Jr. reverse Layup (8 PTS) (C. Braun 2 AST),"[1629008, 1631128]",1610612743.0,DEN,reverse,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,2.7,Made,8.0,C. Braun,1631128.0,2.0,,,,,,,,,,,,,,
78,PT04M54.00S,2023-12-02T03:31:48.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,23,26,2023-12-02T03:31:51Z,780000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M38.00S,2023-12-02T03:35:27.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203994,92.59198423127464,50.49019607843137,1610612756,23,26,2023-12-02T03:35:33Z,800000,False,2.0,17.0,1,right,MISS J. Nurkic DUNK,[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,1.73,Missed,,,,,,,,,,,,,,,,,,
82,PT04M35.00S,2023-12-02T03:35:30.7Z,1,REGULAR,rebound,offensive,[],1630692,,,1610612756,23,26,2023-12-02T03:35:30Z,810000,False,,,0,,J. Goodwin REBOUND (Off:1 Def:0),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Restricted Area,0-8 Center,,,,,,,81.0,,,,,,,,1.0,0.0,1.0,,,
83,PT04M33.00S,2023-12-02T03:35:32.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628960,73.53810775295663,14.460784313725492,1610612756,23,26,2023-12-02T03:38:40Z,820000,False,-178.0,196.0,1,right,MISS G. Allen 26' 3PT,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,26.47,Missed,,,,,,,,,,,,,,,,,,
84,PT04M31.00S,2023-12-02T03:35:34.2Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,23,26,2023-12-02T03:35:36Z,830000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Left Center,,,,,,,83.0,,,,,,,,1.0,1.0,0.0,,,
85,PT04M25.00S,2023-12-02T03:35:40.0Z,1,REGULAR,2pt,Jump Shot,[],1629008,2.3160315374507228,23.774509803921568,1610612743,23,28,2023-12-02T03:35:45Z,840000,False,131.0,-31.0,1,left,M. Porter Jr. 13' Jump Shot (10 PTS) (N. Jokic 4 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Right,13.46,Made,10.0,N. Jokic,203999.0,4.0,,,,,,,,,,,,,,
87,PT04M07.00S,2023-12-02T03:36:01.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,89.56964520367937,44.85294117647059,1610612756,25,28,2023-12-02T03:38:01Z,860000,False,-26.0,46.0,1,right,J. Nurkic turnaround Hook (9 PTS),[203994],1610612756.0,PHX,turnaround,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,5.23,Made,9.0,,,,,,,,,,,,,,,,,
88,PT03M45.00S,2023-12-02T03:36:20.5Z,1,REGULAR,3pt,Jump Shot,[],203484,31.61957950065703,27.450980392156865,1610612743,25,31,2023-12-02T03:36:25Z,870000,False,113.0,245.0,1,left,K. Caldwell-Pope 26' 3PT  (7 PTS) (M. Porter Jr. 1 AST),"[203484, 1629008]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,26.94,Made,7.0,M. Porter Jr.,1629008.0,1.0,,,,,,,,,,,,,,
90,PT03M25.00S,2023-12-02T03:36:40.5Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612756,25,31,2023-12-02T03:36:44Z,890000,False,,,0,,J. Nurkic bad pass TURNOVER (2 TO),"[203994, 1629008]",1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,2.0,Porter Jr.,1629008.0
