actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
23,PT10M26.00S,2024-02-07T03:07:56.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201577,12.00722733245729,42.40196078431373,1610612749,0,3,2024-02-07T03:09:40Z,230000,False,38.0,60.0,1,left,MISS R. Lopez 7' driving Hook,[201577],1610612749.0,MIL,driving,,,Lopez,R. Lopez,,,,,In The Paint (Non-RA),0-8 Center,7.14,Missed,,,,,,,,,,,,,,,,,,
24,PT10M24.00S,2024-02-07T03:07:58.2Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,0,3,2024-02-07T03:07:59Z,240000,False,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,
25,PT10M16.00S,2024-02-07T03:08:05.9Z,1,REGULAR,3pt,Jump Shot,[],1628960,93.2161629434954,94.8529411764706,1610612756,0,3,2024-02-07T03:08:10Z,250000,False,224.0,11.0,1,right,MISS G. Allen 3PT,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Right Corner 3,24+ Right,22.46,Missed,,,,,,,,,,,,,,,,,,
26,PT10M13.00S,2024-02-07T03:08:08.9Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,3,2024-02-07T03:08:10Z,260000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Right Corner 3,24+ Right,,,25.0,2.0,1.0,1.0,,,,,,,,,,,,,,
27,PT10M09.00S,2024-02-07T03:08:12.6Z,1,REGULAR,turnover,out-of-bounds,[],203507,,,1610612749,0,3,2024-02-07T03:08:20Z,270000,False,,,0,,G. Antetokounmpo bad pass out-of-bounds TURNOVER (1 TO),[203507],1610612749.0,MIL,bad pass,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,2882.0,1.0,,,,,,,,,,,
28,PT09M54.00S,2024-02-07T03:08:38.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626164,83.36070959264126,61.51960784313725,1610612756,2,3,2024-02-07T03:08:42Z,280000,False,58.0,104.0,1,right,D. Booker 11' pullup Jump Shot (2 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,11.88,Made,,,,,2.0,,,,,,,,,,,,,
29,PT09M43.00S,2024-02-07T03:08:49.2Z,1,REGULAR,2pt,Jump Shot,[],203507,24.359395532194483,47.79411764705882,1610612749,2,3,2024-02-07T03:08:52Z,290000,False,11.0,176.0,1,left,MISS G. Antetokounmpo 17' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,17.68,Missed,,,,,,,,,,,,,,,,,,
30,PT09M41.00S,2024-02-07T03:08:51.2Z,1,REGULAR,rebound,defensive,[],203078,,,1610612756,2,3,2024-02-07T03:08:52Z,300000,False,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Mid-Range,16-24 Center,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT09M30.00S,2024-02-07T03:09:01.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,83.88633377135349,39.21568627450981,1610612756,2,3,2024-02-07T03:10:29Z,310000,False,-54.0,99.0,1,right,MISS B. Beal 11' driving floating Shot,[203078],1610612756.0,PHX,driving floating,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Center,11.27,Missed,,,,,,,,,,,,,,,,,,
32,PT09M29.00S,2024-02-07T03:09:02.6Z,1,REGULAR,rebound,offensive,[],203078,,,1610612756,2,3,2024-02-07T03:09:05Z,320000,False,,,0,,B. Beal REBOUND (Off:1 Def:1),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Center,,,31.0,2.0,1.0,1.0,,,,,,,,,,,,,,
33,PT09M22.00S,2024-02-07T03:09:09.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626164,87.9599211563732,72.54901960784314,1610612756,4,3,2024-02-07T03:09:20Z,330000,False,113.0,61.0,1,right,D. Booker 12' turnaround bank Jump Shot (4 PTS),[1626164],1610612756.0,PHX,turnaround bank,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,12.8,Made,,,,,4.0,,,,,,,,,,,,,
35,PT09M08.00S,2024-02-07T03:09:23.5Z,1,REGULAR,3pt,Jump Shot,[],1627736,30.798291721419176,31.127450980392155,1610612749,4,6,2024-02-07T03:09:27Z,350000,False,94.0,237.0,1,left,M. Beasley 25' 3PT pullup (6 PTS),[1627736],1610612749.0,MIL,pullup,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,25.51,Made,,,,,6.0,,,,,,,,,,,,,
36,PT08M53.00S,2024-02-07T03:09:39.1Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612756,4,6,2024-02-07T03:09:42Z,360000,False,,,0,,J. Nurkic bad pass TURNOVER (1 TO),"[203994, 201577]",1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,Lopez,201577.0,,,,,,,,,
37,PT08M53.00S,2024-02-07T03:09:39.1Z,1,REGULAR,steal,,[],201577,,,1610612749,4,6,2024-02-07T03:09:40Z,370000,False,,,0,,R. Lopez STEAL (1 STL),[201577],1610612749.0,MIL,,,,Lopez,R. Lopez,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
39,PT08M43.00S,2024-02-07T03:10:11.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203114,33.820630749014455,38.970588235294116,1610612749,4,9,2024-02-07T04:16:38Z,390000,False,55.0,265.0,1,left,K. Middleton 27' 3PT pullup (3 PTS) (G. Antetokounmpo 1 AST),"[203114, 203507]",1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Center,27.11,Made,,,,,3.0,,,,,G. Antetokounmpo,203507.0,1.0,,,,,,
41,PT08M24.00S,2024-02-07T03:10:29.8Z,1,REGULAR,2pt,Jump Shot,[],201142,94.66162943495401,21.568627450980387,1610612756,4,9,2024-02-07T03:10:32Z,410000,False,-142.0,-2.0,1,right,MISS K. Durant 14' pullup Shot,[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,14.22,Missed,,,,,,,,,,,,,,,,,,
42,PT08M22.00S,2024-02-07T03:10:31.8Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,4,9,2024-02-07T03:10:32Z,420000,False,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Mid-Range,8-16 Left,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT08M14.00S,2024-02-07T03:10:39.6Z,1,REGULAR,3pt,Jump Shot,[],1626192,33.6892247043364,69.6078431372549,1610612749,4,9,2024-02-07T03:10:43Z,430000,False,-98.0,264.0,1,left,MISS P. Connaughton 28' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Above the Break 3,24+ Left Center,28.18,Missed,,,,,,,,,,,,,,,,,,
44,PT08M12.00S,2024-02-07T03:10:41.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,4,9,2024-02-07T03:10:43Z,440000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Left Center,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,
45,PT07M51.00S,2024-02-07T03:11:03.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,93.74178712220763,46.568627450980394,1610612756,6,9,2024-02-07T03:11:06Z,450000,False,-17.0,6.0,1,right,B. Beal driving Layup (2 PTS) (D. Booker 1 AST),"[203078, 1626164]",1610612756.0,PHX,driving,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,1.83,Made,,,,,2.0,,,,,D. Booker,1626164.0,1.0,,,,,,
47,PT07M34.00S,2024-02-07T03:11:19.9Z,1,REGULAR,turnover,bad pass,[],203507,,,1610612749,6,9,2024-02-07T03:17:42Z,470000,False,,,0,,G. Antetokounmpo bad pass TURNOVER (2 TO),"[203507, 1628960]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,2.0,Allen,1628960.0,,,,,,,,,
48,PT07M34.00S,2024-02-07T03:11:19.9Z,1,REGULAR,steal,,[],1628960,,,1610612756,6,9,2024-02-07T03:11:22Z,480000,False,,,0,,G. Allen STEAL (1 STL),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
49,PT07M22.00S,2024-02-07T03:11:34.0Z,1,REGULAR,foul,personal,['2freethrow'],203507,,,1610612756,6,9,2024-02-07T03:11:42Z,490000,False,,,0,,G. Antetokounmpo shooting personal FOUL (1 PF) (Booker 2 FT),"[203507, 1626164]",1610612749.0,MIL,shooting,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,203591.0,,,,,,,1.0,0.0,Booker,1626164.0,,
51,PT07M22.00S,2024-02-07T03:12:06.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1626164,,,1610612756,6,9,2024-02-07T03:12:06Z,510000,False,,,0,,MISS D. Booker Free Throw 1 of 2,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
52,PT07M22.00S,2024-02-07T03:12:06.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,6,9,2024-02-07T03:12:06Z,520000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,
53,PT07M22.00S,2024-02-07T03:12:21.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1626164,,,1610612756,7,9,2024-02-07T03:12:21Z,530000,False,,,0,,D. Booker Free Throw 2 of 2 (5 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
54,PT07M09.00S,2024-02-07T03:12:38.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,10.036136662286467,50.49019607843137,1610612749,7,9,2024-02-07T03:12:42Z,540000,False,-2.0,42.0,1,left,MISS G. Antetokounmpo cutting Layup,[203507],1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,4.19,Missed,,,,,,,,,,,,,,,,,,
55,PT07M08.00S,2024-02-07T03:12:39.7Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,7,9,2024-02-07T03:12:39Z,550000,False,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,54.0,3.0,1.0,2.0,,,,,,,,,,,,,,
56,PT07M06.00S,2024-02-07T03:12:42.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203507,8.590670170827863,47.05882352941176,1610612749,7,9,2024-02-07T03:12:44Z,560000,False,15.0,28.0,1,left,MISS G. Antetokounmpo putback Layup,[203507],1610612749.0,MIL,putback,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,3.19,Missed,,,,,,,,,,,,,,,,,,
57,PT07M06.00S,2024-02-07T03:12:42.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,7,9,2024-02-07T03:12:44Z,570000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,56.0,,,,,,,,,,,,,,,,,
59,PT07M03.00S,2024-02-07T03:13:01.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201577,6.356767411300922,96.32352941176471,1610612749,7,9,2024-02-07T03:13:03Z,590000,False,-232.0,7.0,1,left,MISS R. Lopez 3PT,[201577],1610612749.0,MIL,,,,Lopez,R. Lopez,,,,,Left Corner 3,24+ Left,23.17,Missed,,,,,,,,,,,,,,,,,,
60,PT07M01.00S,2024-02-07T03:13:03.0Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,7,9,2024-02-07T03:13:03Z,600000,False,,,0,,K. Durant REBOUND (Off:0 Def:3),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Left Corner 3,24+ Left,,,59.0,3.0,3.0,0.0,,,,,,,,,,,,,,
61,PT06M54.00S,2024-02-07T03:13:10.1Z,1,REGULAR,2pt,Jump Shot,[],201142,87.17148488830486,72.79411764705883,1610612756,7,9,2024-02-07T03:13:13Z,610000,False,114.0,68.0,1,right,MISS K. Durant 13' pullup Shot,[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,13.28,Missed,,,,,,,,,,,,,,,,,,
62,PT06M53.00S,2024-02-07T03:13:11.1Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,7,9,2024-02-07T03:13:13Z,620000,False,,,0,,K. Middleton REBOUND (Off:0 Def:2),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Mid-Range,8-16 Right,,,61.0,2.0,2.0,0.0,,,,,,,,,,,,,,
63,PT06M42.00S,2024-02-07T03:13:21.8Z,1,REGULAR,2pt,Jump Shot,[],203114,25.673455978975028,54.16666666666667,1610612749,7,11,2024-02-07T03:13:25Z,630000,False,-21.0,189.0,1,left,K. Middleton 18' pullup Jump Shot (5 PTS),[203114],1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Center,18.99,Made,,,,,5.0,,,,,,,,,,,,,
64,PT06M30.00S,2024-02-07T03:13:38.7Z,1,REGULAR,2pt,Jump Shot,[],1626164,79.94415243101183,67.40196078431373,1610612756,9,11,2024-02-07T03:15:07Z,640000,False,87.0,136.0,1,right,D. Booker 16' step back Jump Shot (7 PTS),[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right Center,16.14,Made,,,,,7.0,,,,,,,,,,,,,
65,PT06M30.00S,2024-02-07T03:13:40.5Z,1,REGULAR,foul,personal,['1freethrow'],203114,,,1610612756,9,11,2024-02-07T03:17:07Z,650000,False,,,0,,K. Middleton shooting personal FOUL (1 PF) (Booker 1 FT),"[203114, 1626164]",1610612749.0,MIL,shooting,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Right Center,,,,,,,,2882.0,,,,,,,1.0,0.0,Booker,1626164.0,,
67,PT06M30.00S,2024-02-07T03:13:55.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,9,11,2024-02-07T03:13:55Z,670000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M30.00S,2024-02-07T03:14:03.8Z,1,REGULAR,substitution,out,[],203507,,,1610612756,9,11,2024-02-07T03:17:02Z,680000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M30.00S,2024-02-07T03:14:03.8Z,1,REGULAR,substitution,in,[],203109,,,1610612756,9,11,2024-02-07T03:17:02Z,690000,False,,,0,,SUB in: J. Crowder,[203109],1610612749.0,MIL,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M30.00S,2024-02-07T03:17:28.3Z,1,REGULAR,freethrow,1 of 1,[],1626164,,,1610612756,9,11,2024-02-07T03:17:34Z,700000,False,,,0,,MISS D. Booker Free Throw 1 of 1,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
71,PT06M28.00S,2024-02-07T03:17:30.3Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,9,11,2024-02-07T03:17:34Z,710000,False,,,0,,K. Middleton REBOUND (Off:0 Def:3),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,70.0,3.0,3.0,0.0,,,,,,,,,,,,,,
72,PT06M08.00S,2024-02-07T03:17:51.2Z,1,REGULAR,foul,personal,['2freethrow'],201142,,,1610612749,9,11,2024-02-07T03:21:34Z,720000,False,,,0,,K. Durant flagrant-type-1 personal FOUL (1 PF) (Middleton 2 FT),"[201142, 203114]",1610612756.0,PHX,flagrant-type-1,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right Center,,,,,,,,1628954.0,,,,,,,1.0,0.0,Middleton,203114.0,,
75,PT06M08.00S,2024-02-07T03:20:12.2Z,1,REGULAR,freethrow,1 of 2,[],203114,,,1610612749,9,11,2024-02-07T03:22:15Z,760000,False,,,0,,MISS K. Middleton flagrant Free Throw 1 of 2,[203114],1610612749.0,MIL,flagrant,,,Middleton,K. Middleton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
76,PT06M08.00S,2024-02-07T03:20:12.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612749,9,11,2024-02-07T03:21:34Z,770000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,
77,PT06M08.00S,2024-02-07T03:20:12.2Z,1,REGULAR,freethrow,2 of 2,[],203114,,,1610612749,9,12,2024-02-07T03:22:15Z,775000,False,,,0,,K. Middleton flagrant Free Throw 2 of 2 (6 PTS),[203114],1610612749.0,MIL,flagrant,,,Middleton,K. Middleton,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
78,PT05M57.00S,2024-02-07T03:20:39.9Z,1,REGULAR,turnover,lost ball,[],203114,,,1610612749,9,12,2024-02-07T03:20:46Z,780000,False,,,0,,K. Middleton lost ball TURNOVER (1 TO),"[203114, 203994]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Right Center,,,,,,,,,1.0,Nurkic,203994.0,,,,,,,,,
79,PT05M57.00S,2024-02-07T03:20:39.9Z,1,REGULAR,steal,,[],203994,,,1610612756,9,12,2024-02-07T03:20:41Z,790000,False,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
80,PT05M55.00S,2024-02-07T03:20:44.1Z,1,REGULAR,foul,personal,['2freethrow'],203109,,,1610612756,9,12,2024-02-07T03:21:03Z,800000,False,,,0,,J. Crowder shooting personal FOUL (1 PF) (Durant 2 FT),"[203109, 201142]",1610612749.0,MIL,shooting,,,Crowder,J. Crowder,,,,,Restricted Area,0-8 Center,,,,,,,,2882.0,,,,,,,1.0,0.0,Durant,201142.0,,
82,PT05M55.00S,2024-02-07T03:21:21.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",201142,,,1610612756,10,12,2024-02-07T03:21:21Z,820000,False,,,0,,K. Durant Free Throw 1 of 2 (1 PTS),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
83,PT05M55.00S,2024-02-07T03:21:41.2Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",201142,,,1610612756,11,12,2024-02-07T03:21:41Z,830000,False,,,0,,K. Durant Free Throw 2 of 2 (2 PTS),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
