actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
561,PT06M18.00S,2024-04-08T00:03:48.3Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],203078,92.06636005256242,49.50980392156863,1610612756,96,99,2024-04-08T00:11:59Z,5420000,False,-2.0,22.0,1,right,MISS B. Beal driving Layup - blocked,"[203078, 1629627]",1610612756.0,PHX,driving,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,2.22,Missed,Williamson,1629627.0,,,,,,,,,,,,,,,,
562,PT06M18.00S,2024-04-08T00:03:48.3Z,4,REGULAR,block,,[],1629627,,,1610612756,96,99,2024-04-08T00:03:50Z,5430000,False,,,0,,Z. Williamson BLOCK (4 BLK),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
563,PT06M17.00S,2024-04-08T00:03:49.3Z,4,REGULAR,rebound,defensive,[],1630529,,,1610612740,96,99,2024-04-08T00:11:59Z,5440000,False,,,0,,H. Jones REBOUND (Off:0 Def:5),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,561.0,5.0,5.0,0.0,,,,,,,,,,,,
564,PT06M08.00S,2024-04-08T00:03:57.3Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,7.966491458607096,50.49019607843137,1610612740,96,101,2024-04-08T00:12:37Z,5450000,False,-2.0,22.0,1,left,Z. Williamson driving Layup (23 PTS) (T. Murphy III 2 AST),"[1629627, 1630530]",1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.25,Made,,,,,,,23.0,T. Murphy III,1630530.0,2.0,,,,,,,,
566,PT05M58.00S,2024-04-08T00:04:09.5Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,92.06636005256242,47.05882352941176,1610612756,98,101,2024-04-08T00:04:14Z,5470000,False,-15.0,22.0,1,right,D. Booker driving Layup (22 PTS),[1626164],1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,2.65,Made,,,,,,,22.0,,,,,,,,,,,
567,PT05M58.00S,2024-04-08T00:04:11.7Z,4,REGULAR,foul,personal,['1freethrow'],1630530,,,1610612756,98,101,2024-04-08T00:04:23Z,5480000,False,,,0,,T. Murphy III shooting personal FOUL (2 PF) (Booker 1 FT),"[1630530, 1626164]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,101283.0,2.0,0.0,Booker,1626164.0
569,PT05M58.00S,2024-04-08T00:04:38.5Z,4,REGULAR,substitution,out,[],203078,,,1610612756,98,101,2024-04-08T00:05:03Z,5500000,False,,,0,,SUB out: B. Beal,[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,,
570,PT05M58.00S,2024-04-08T00:04:38.5Z,4,REGULAR,substitution,in,[],1626220,,,1610612756,98,101,2024-04-08T00:05:03Z,5510000,False,,,0,,SUB in: R. O'Neale,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
571,PT05M58.00S,2024-04-08T00:04:50.6Z,4,REGULAR,freethrow,1 of 1,[],1626164,,,1610612756,99,101,2024-04-08T00:04:50Z,5520000,False,,,0,,D. Booker Free Throw 1 of 1 (23 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Made,,,,,,,23.0,,,,,,,,,,,
572,PT05M34.00S,2024-04-08T00:05:17.8Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,11.645860709592641,59.068627450980394,1610612740,99,101,2024-04-08T00:05:24Z,5530000,False,-45.0,57.0,1,left,MISS C. McCollum 7' driving floating Shot - blocked,"[203468, 1626220]",1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,7.28,Missed,O'Neale,1626220.0,,,,,,,,,,,,,,,,
573,PT05M34.00S,2024-04-08T00:05:17.8Z,4,REGULAR,block,,[],1626220,,,1610612740,99,101,2024-04-08T00:05:20Z,5540000,False,,,0,,R. O'Neale BLOCK (1 BLK),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
