actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
35,PT08M59.00S,2023-11-22T02:14:28.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203994,93.11760840998686,50.245098039215684,1610612756,6,2,2023-11-22T02:14:34Z,350000,False,1.0,12.0,1,right,J. Nurkic reverse Layup (2 PTS) (K. Durant 1 AST),"[203994, 201142]",1610612756.0,PHX,reverse,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,1.23,Made,,,,,,2.0,K. Durant,201142.0,1.0,,,,,,
37,PT08M48.00S,2023-11-22T02:14:39.9Z,1,REGULAR,3pt,Jump Shot,[],203924,28.33442838370565,18.38235294117647,1610612757,6,5,2023-11-22T02:14:44Z,370000,False,158.0,214.0,1,left,J. Grant 26' 3PT  (3 PTS) (M. Brogdon 1 AST),"[203924, 1627763]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,,,,26.59,Made,,,,,,3.0,M. Brogdon,1627763.0,1.0,,,,,,
39,PT08M33.00S,2023-11-22T02:14:54.2Z,1,REGULAR,3pt,Jump Shot,[],1626164,68.54467805519053,15.931372549019606,1610612756,6,5,2023-11-22T02:14:58Z,390000,False,-170.0,243.0,1,right,MISS D. Booker 29' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,29.69,Missed,,,,,,,,,,,,,,,
40,PT08M31.00S,2023-11-22T02:14:56.2Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,6,5,2023-11-22T02:14:58Z,400000,False,,,0,,D. Ayton REBOUND (Off:1 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Left Center,,,,,,39.0,,2.0,1.0,1.0,,,,,,,,,,
41,PT08M22.00S,2023-11-22T02:15:05.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631101,12.040078843626807,42.8921568627451,1610612757,6,5,2023-11-22T02:18:10Z,410000,False,36.0,61.0,1,left,MISS S. Sharpe 7' driving Layup,[1631101],1610612757.0,POR,driving,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,,7.03,Missed,,,,,,,,,,,,,,,
42,PT08M19.00S,2023-11-22T02:15:08.8Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612757,6,5,2023-11-22T02:18:10Z,420000,False,,,0,,D. Ayton REBOUND (Off:2 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,41.0,,3.0,1.0,2.0,,,,,,,,,,
43,PT08M18.00S,2023-11-22T02:15:09.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631101,7.703679369250986,46.32352941176471,1610612757,6,7,2023-11-22T02:15:29Z,430000,False,18.0,20.0,1,left,S. Sharpe reverse Layup (2 PTS) (D. Ayton 1 AST),"[1631101, 1629028]",1610612757.0,POR,reverse,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,2.71,Made,,,,,,2.0,D. Ayton,1629028.0,1.0,,,,,,
45,PT08M05.00S,2023-11-22T02:15:23.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,81.15965834428384,52.69607843137255,1610612756,8,7,2023-11-22T02:15:34Z,450000,False,13.0,125.0,1,right,K. Durant 12' pullup Jump Shot (6 PTS),[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,,12.53,Made,,,,,,6.0,,,,,,,,,
46,PT07M56.00S,2023-11-22T02:15:31.4Z,1,REGULAR,2pt,Jump Shot,[],203924,17.427726675427067,18.137254901960784,1610612757,8,7,2023-11-22T02:15:39Z,460000,False,159.0,111.0,1,left,MISS J. Grant 19' pullup Shot,[203924],1610612757.0,POR,pullup,,,Grant,J. Grant,,,,,Mid-Range,16-24 Right,,,,19.43,Missed,,,,,,,,,,,,,,,
47,PT07M56.00S,2023-11-22T02:15:31.4Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,8,7,2023-11-22T02:15:39Z,470000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Mid-Range,16-24 Right,,,,,,46.0,,1.0,1.0,0.0,,,,,,,,,,
49,PT07M44.00S,2023-11-22T02:15:44.1Z,1,REGULAR,3pt,Jump Shot,[],201142,92.32917214191852,2.450980392156863,1610612756,11,7,2023-11-22T02:15:48Z,480000,False,-238.0,20.0,1,right,K. Durant 3PT  (9 PTS) (D. Booker 2 AST),"[201142, 1626164]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,Left Corner 3,24+ Left,,,,23.85,Made,,,,,,9.0,D. Booker,1626164.0,2.0,,,,,,
51,PT07M29.00S,2023-11-22T02:16:00.1Z,1,REGULAR,2pt,Layup,[],1627763,8.886333771353483,66.42156862745098,1610612757,11,7,2023-11-22T02:16:05Z,500000,False,-82.0,31.0,1,left,MISS M. Brogdon 8' driving Layup - blocked,"[1627763, 1626164]",1610612757.0,POR,driving,,,Brogdon,M. Brogdon,,,,,Mid-Range,8-16 Left,,,,8.78,Missed,,,,,,,,,,,,,,Booker,1626164.0
52,PT07M29.00S,2023-11-22T02:16:00.1Z,1,REGULAR,block,,[],1626164,,,1610612757,11,7,2023-11-22T02:16:02Z,510000,False,,,0,,D. Booker BLOCK (1 BLK),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
53,PT07M29.00S,2023-11-22T02:16:00.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,11,7,2023-11-22T02:16:05Z,520000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Mid-Range,8-16 Left,,,,,,51.0,,,,,,,,,,,,,,
55,PT07M25.00S,2023-11-22T02:16:18.2Z,1,REGULAR,turnover,bad pass,[],1627763,,,1610612757,11,7,2023-11-22T02:16:23Z,540000,False,,,0,,M. Brogdon bad pass TURNOVER (1 TO),"[1627763, 1626164]",1610612757.0,POR,,,,Brogdon,M. Brogdon,,,,,Mid-Range,8-16 Left,1.0,Booker,1626164.0,,,,,,,,,,,,,,,,,
56,PT07M25.00S,2023-11-22T02:16:18.2Z,1,REGULAR,steal,,[],1626164,,,1610612756,11,7,2023-11-22T02:16:20Z,550000,False,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
57,PT07M22.00S,2023-11-22T02:16:21.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628960,94.1688567674113,47.794117647058826,1610612756,13,7,2023-11-22T02:16:30Z,560000,False,-11.0,2.0,1,right,G. Allen running DUNK (2 PTS) (D. Booker 3 AST),"[1628960, 1626164]",1610612756.0,PHX,running,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,1.12,Made,,,,,,2.0,D. Booker,1626164.0,3.0,,,,,,
59,PT07M22.00S,2023-11-22T02:16:27.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,13,7,2023-11-22T02:16:27Z,580000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M22.00S,2023-11-22T02:18:49.4Z,1,REGULAR,substitution,out,[],1627763,,,1610612757,13,7,2023-11-22T02:19:27Z,590000,False,,,0,,SUB out: M. Brogdon,[1627763],1610612757.0,POR,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M22.00S,2023-11-22T02:18:49.4Z,1,REGULAR,substitution,out,[],203924,,,1610612757,13,7,2023-11-22T02:19:27Z,600000,False,,,0,,SUB out: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M22.00S,2023-11-22T02:18:49.4Z,1,REGULAR,substitution,in,[],1631133,,,1610612757,13,7,2023-11-22T02:19:27Z,610000,False,,,0,,SUB in: J. Walker,[1631133],1610612757.0,POR,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M22.00S,2023-11-22T02:18:49.4Z,1,REGULAR,substitution,in,[],1630219,,,1610612757,13,7,2023-11-22T02:19:27Z,620000,False,,,0,,SUB in: S. Mays,[1630219],1610612757.0,POR,,,,Mays,S. Mays,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M04.00S,2023-11-22T02:19:54.4Z,1,REGULAR,3pt,Jump Shot,[],1631101,13.222733245729303,95.58823529411765,1610612757,13,7,2023-11-22T02:20:00Z,640000,False,-228.0,72.0,1,left,MISS S. Sharpe pullup 3PT,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Left Corner 3,24+ Left,,,,23.89,Missed,,,,,,,,,,,,,,,
66,PT07M00.00S,2023-11-22T02:19:58.4Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612757,13,7,2023-11-22T02:20:00Z,650000,False,,,0,,D. Ayton REBOUND (Off:3 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Left Corner 3,24+ Left,,,,,,65.0,,4.0,1.0,3.0,,,,,,,,,,
67,PT06M58.00S,2023-11-22T02:20:00.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629028,8.492115637319317,47.30392156862745,1610612757,13,9,2023-11-22T02:22:08Z,660000,False,13.0,27.0,1,left,D. Ayton putback Layup (4 PTS),[1629028],1610612757.0,POR,putback,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,3.05,Made,,,,,,4.0,,,,,,,,,
68,PT06M35.00S,2023-11-22T02:20:22.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,86.15308804204993,62.99019607843137,1610612756,15,9,2023-11-22T02:20:29Z,670000,False,65.0,78.0,1,right,D. Booker 10' driving floating Jump Shot (2 PTS),[1626164],1610612756.0,PHX,driving floating,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Right,,,,10.13,Made,,,,,,2.0,,,,,,,,,
69,PT06M14.00S,2023-11-22T02:20:43.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,11.383048620236531,49.754901960784316,1610612757,15,9,2023-11-22T02:20:59Z,680000,False,1.0,55.0,1,left,MISS D. Ayton pullup Shot - blocked,"[1629028, 201142]",1610612757.0,POR,pullup,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,5.45,Missed,,,,,,,,,,,,,,Durant,201142.0
70,PT06M14.00S,2023-11-22T02:20:43.0Z,1,REGULAR,block,,[],201142,,,1610612757,15,9,2023-11-22T02:22:03Z,690000,False,,,0,,K. Durant BLOCK (1 BLK),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
71,PT06M13.00S,2023-11-22T02:20:44.0Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612757,15,9,2023-11-22T02:23:09Z,700000,False,,,0,,D. Ayton REBOUND (Off:4 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,69.0,,5.0,1.0,4.0,,,,,,,,,,
72,PT06M13.00S,2023-11-22T02:20:53.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629028,13.091327201051248,46.568627450980394,1610612757,15,11,2023-11-22T02:23:15Z,710000,False,17.0,71.0,1,left,D. Ayton 7' Jump Shot (6 PTS),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,7.27,Made,,,,,,6.0,,,,,,,,,
73,PT05M52.00S,2023-11-22T02:21:05.1Z,1,REGULAR,turnover,lost ball,[],201142,,,1610612756,15,11,2023-11-22T02:21:28Z,720000,False,,,0,,K. Durant lost ball TURNOVER (1 TO),"[201142, 1631101]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,1.0,Sharpe,1631101.0,,,,,,,,,,,,,,,,,
74,PT05M52.00S,2023-11-22T02:21:05.1Z,1,REGULAR,steal,,[],1631101,,,1610612757,15,11,2023-11-22T02:24:55Z,730000,False,,,0,,S. Sharpe STEAL (1 STL),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
75,PT05M43.00S,2023-11-22T02:21:14.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629028,14.931011826544022,44.36274509803921,1610612757,15,11,2023-11-22T02:25:04Z,740000,False,28.0,88.0,1,left,MISS D. Ayton 9' driving Layup - blocked,"[1629028, 201569]",1610612757.0,POR,driving,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,,,,9.23,Missed,,,,,,,,,,,,,,Gordon,201569.0
76,PT05M43.00S,2023-11-22T02:21:14.6Z,1,REGULAR,block,,[],201569,,,1610612757,15,11,2023-11-22T02:21:17Z,750000,False,,,0,,E. Gordon BLOCK (1 BLK),[201569],1610612756.0,PHX,,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
77,PT05M40.00S,2023-11-22T02:21:17.6Z,1,REGULAR,rebound,defensive,[],201569,,,1610612756,15,11,2023-11-22T02:25:04Z,760000,False,,,0,,E. Gordon REBOUND (Off:0 Def:1),[201569],1610612756.0,PHX,,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),8-16 Center,,,,,,75.0,,1.0,1.0,0.0,,,,,,,,,,
78,PT05M36.00S,2023-11-22T02:21:21.9Z,1,REGULAR,3pt,Jump Shot,[],201569,74.32654402102497,15.196078431372548,1610612756,18,11,2023-11-22T02:25:32Z,770000,False,-174.0,189.0,1,right,E. Gordon 25' 3PT  (3 PTS) (D. Booker 4 AST),"[201569, 1626164]",1610612756.0,PHX,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Left Center,,,,25.68,Made,,,,,,3.0,D. Booker,1626164.0,4.0,,,,,,
80,PT05M14.00S,2023-11-22T02:21:44.1Z,1,REGULAR,turnover,lost ball,[],1631133,,,1610612757,18,11,2023-11-22T02:21:51Z,790000,False,,,0,,J. Walker lost ball TURNOVER (1 TO),"[1631133, 1628960]",1610612757.0,POR,,,,Walker,J. Walker,,,,,Mid-Range,16-24 Right Center,1.0,Allen,1628960.0,,,,,,,,,,,,,,,,,
81,PT05M14.00S,2023-11-22T02:21:44.1Z,1,REGULAR,steal,,[],1628960,,,1610612756,18,11,2023-11-22T02:21:45Z,800000,False,,,0,,G. Allen STEAL (1 STL),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
83,PT05M08.00S,2023-11-22T02:21:49.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628960,93.51182654402102,50.49019607843137,1610612756,20,11,2023-11-22T02:21:56Z,820000,False,2.0,8.0,1,right,G. Allen running DUNK (4 PTS),[1628960],1610612756.0,PHX,running,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,0.89,Made,,,,,,4.0,,,,,,,,,
84,PT04M51.00S,2023-11-22T02:22:06.2Z,1,REGULAR,2pt,Jump Shot,[],1629028,21.55059132720105,59.516697303921575,1610612757,20,13,2023-11-22T02:22:11Z,830000,False,-48.0,150.0,1,left,D. Ayton 15' Jump Shot (8 PTS) (S. Mays 1 AST),"[1629028, 1630219]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Center,,,,15.75,Made,,,,,,8.0,S. Mays,1630219.0,1.0,,,,,,
86,PT04M37.00S,2023-11-22T02:22:21.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,94.69448094612353,49.754901960784316,1610612756,22,13,2023-11-22T02:22:26Z,850000,False,-1.0,-3.0,1,right,D. Booker driving Layup (4 PTS) (K. Durant 2 AST),"[1626164, 201142]",1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,,,,0.29,Made,,,,,,4.0,K. Durant,201142.0,2.0,,,,,,
