actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
40,PT07M53.00S,2024-01-23T02:18:06.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,5.732588699080158,50.0,1610612756,10,11,2024-01-23T02:18:09Z,400000,False,0.0,1.0,1,left,B. Beal cutting Layup (4 PTS) (K. Durant 2 AST),"[203078, 201142]",1610612756.0,PHX,cutting,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,0.14,Made,,4.0,K. Durant,201142.0,2.0,,,,,,,,,,,,,
43,PT07M34.00S,2024-01-23T02:18:24.9Z,1,REGULAR,3pt,Jump Shot,[],202696,65.52233902759527,41.66666666666667,1610612741,10,11,2024-01-23T02:18:28Z,420000,False,-42.0,272.0,1,right,MISS N. Vucevic 27' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,27.48,Missed,,,,,,,,,,,,,,,,,,
44,PT07M32.00S,2024-01-23T02:18:26.9Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,10,11,2024-01-23T02:18:28Z,430000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Center,,,43.0,,,,,1.0,1.0,0.0,,,,,,,,,,
45,PT07M23.00S,2024-01-23T02:18:37.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,20.318659658344284,35.53921568627451,1610612756,10,11,2024-01-23T02:18:40Z,440000,False,72.0,138.0,1,left,MISS K. Durant 15' pullup Shot,[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,15.62,Missed,,,,,,,,,,,,,,,,,,
46,PT07M21.00S,2024-01-23T02:18:39.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,10,11,2024-01-23T02:18:40Z,450000,False,,,0,,N. Vucevic REBOUND (Off:2 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,,,45.0,,,,,5.0,3.0,2.0,,,,,,,,,,
47,PT07M12.00S,2024-01-23T02:18:47.5Z,1,REGULAR,3pt,Jump Shot,[],1629632,68.01905387647832,28.186274509803923,1610612741,10,14,2024-01-23T02:18:51Z,460000,False,-109.0,248.0,1,right,C. White 27' 3PT  (3 PTS) (N. Vucevic 3 AST),"[1629632, 202696]",1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,27.1,Made,,3.0,N. Vucevic,202696.0,3.0,,,,,,,,,,,,,
49,PT06M49.00S,2024-01-23T02:19:10.9Z,1,REGULAR,3pt,Jump Shot,[],201142,32.933639947437584,49.50980392156863,1610612756,10,14,2024-01-23T02:19:16Z,480000,False,2.0,257.0,1,left,MISS K. Durant 25' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,25.71,Missed,,,,,,,,,,,,,,,,,,
50,PT06M48.00S,2024-01-23T02:19:12.6Z,1,REGULAR,rebound,offensive,[],201142,,,1610612756,10,14,2024-01-23T02:19:12Z,490000,False,,,0,,K. Durant REBOUND (Off:1 Def:0),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,,,49.0,,,,,1.0,0.0,1.0,,,,,,,,,,
51,PT06M47.00S,2024-01-23T02:19:15.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201142,18.084756898817346,32.84313725490196,1610612756,12,14,2024-01-23T02:19:18Z,500000,False,86.0,117.0,1,left,K. Durant 14' pullup Jump Shot (4 PTS),[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,14.55,Made,,4.0,,,,,,,,,,,,,,,,
52,PT06M47.00S,2024-01-23T02:19:18.9Z,1,REGULAR,foul,personal,['1freethrow'],1629632,,,1610612756,12,14,2024-01-23T02:19:41Z,510000,False,,,0,,C. White shooting personal FOUL (1 PF) (Durant 1 FT),"[1629632, 201142]",1610612741.0,CHI,shooting,,,White,C. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1628159.0,,1.0,0.0,Durant,201142.0,,,,
54,PT06M47.00S,2024-01-23T02:19:27.3Z,1,REGULAR,substitution,out,[],1627936,,,1610612756,12,14,2024-01-23T02:19:41Z,530000,False,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M47.00S,2024-01-23T02:19:27.3Z,1,REGULAR,substitution,in,[],1630245,,,1610612756,12,14,2024-01-23T02:19:41Z,540000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M47.00S,2024-01-23T02:19:54.9Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],201142,,,1610612756,13,14,2024-01-23T02:19:54Z,550000,False,,,0,,K. Durant Free Throw 1 of 1 (5 PTS),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,Made,,5.0,,,,,,,,,,,,,,,,
57,PT06M27.00S,2024-01-23T02:20:17.5Z,1,REGULAR,3pt,Jump Shot,[],1629632,67.7562417871222,21.323529411764707,1610612741,13,17,2024-01-23T02:20:21Z,560000,False,-143.0,251.0,1,right,C. White 28' 3PT  (6 PTS) (D. DeRozan 1 AST),"[1629632, 201942]",1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,28.87,Made,,6.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,
59,PT06M13.00S,2024-01-23T02:20:32.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,14.273981603153747,41.66666666666667,1610612756,13,17,2024-01-23T02:20:35Z,580000,False,42.0,82.0,1,left,MISS B. Beal 9' pullup Shot,[203078],1610612756.0,PHX,pullup,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Center,9.17,Missed,,,,,,,,,,,,,,,,,,
60,PT06M10.00S,2024-01-23T02:20:35.2Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,13,17,2024-01-23T02:20:35Z,590000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,59.0,,,,,1.0,1.0,0.0,,,,,,,,,,
61,PT06M01.00S,2024-01-23T02:20:43.2Z,1,REGULAR,3pt,Jump Shot,[],202696,67.36202365308804,35.294117647058826,1610612741,13,17,2024-01-23T02:20:47Z,600000,False,-74.0,254.0,1,right,MISS N. Vucevic 26' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,26.47,Missed,,,,,,,,,,,,,,,,,,
62,PT05M59.00S,2024-01-23T02:20:45.2Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,13,17,2024-01-23T02:20:47Z,610000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,,,61.0,,,,,1.0,1.0,0.0,,,,,,,,,,
63,PT05M47.00S,2024-01-23T02:20:57.6Z,1,REGULAR,turnover,bad pass,[],203078,,,1610612756,13,17,2024-01-23T02:21:01Z,620000,False,,,0,,B. Beal bad pass TURNOVER (1 TO),"[203078, 1629632]",1610612756.0,PHX,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,,,,,White,1629632.0,,
64,PT05M47.00S,2024-01-23T02:20:57.6Z,1,REGULAR,steal,,[],1629632,,,1610612741,13,17,2024-01-23T02:20:59Z,630000,False,,,0,,C. White STEAL (1 STL),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
65,PT05M43.00S,2024-01-23T02:21:01.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630245,93.77463863337714,48.03921568627451,1610612741,13,19,2024-01-23T02:21:07Z,640000,False,-10.0,6.0,1,right,A. Dosunmu running Layup (2 PTS) (C. White 2 AST),"[1630245, 1629632]",1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,1.15,Made,,2.0,C. White,1629632.0,2.0,,,,,,,,,,,,,
67,PT05M30.00S,2024-01-23T02:21:17.7Z,1,REGULAR,foul,personal,[],1630172,,,1610612756,13,19,2024-01-23T02:21:24Z,660000,False,,,0,,P. Williams personal FOUL (2 PF),"[1630172, 201142]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1628159.0,,2.0,0.0,Durant,201142.0,,,,
69,PT05M30.00S,2024-01-23T02:21:22.1Z,1,REGULAR,substitution,out,[],203078,,,1610612756,13,19,2024-01-23T02:21:32Z,680000,False,,,0,,SUB out: B. Beal,[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M30.00S,2024-01-23T02:21:22.1Z,1,REGULAR,substitution,out,[],201942,,,1610612756,13,19,2024-01-23T02:21:32Z,690000,False,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M30.00S,2024-01-23T02:21:22.1Z,1,REGULAR,substitution,in,[],1629006,,,1610612756,13,19,2024-01-23T02:21:32Z,700000,False,,,0,,SUB in: J. Okogie,[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M30.00S,2024-01-23T02:21:22.1Z,1,REGULAR,substitution,in,[],1631207,,,1610612756,13,19,2024-01-23T02:21:32Z,710000,False,,,0,,SUB in: D. Terry,[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M27.00S,2024-01-23T02:21:42.1Z,1,REGULAR,3pt,Jump Shot,[],201142,30.56833114323259,17.892156862745097,1610612756,13,19,2024-01-23T02:21:46Z,720000,False,161.0,235.0,1,left,MISS K. Durant 28' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,28.44,Missed,,,,,,,,,,,,,,,,,,
74,PT05M25.00S,2024-01-23T02:21:44.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,13,19,2024-01-23T02:21:46Z,730000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,73.0,,,,,,,,,,,,,,,,,
76,PT05M19.00S,2024-01-23T02:21:57.6Z,1,REGULAR,foul,personal,[],1629006,,,1610612741,13,19,2024-01-23T02:22:33Z,750000,False,,,0,,J. Okogie personal FOUL (1 PF),"[1629006, 1629632]",1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1830.0,,1.0,0.0,White,1629632.0,,,,
78,PT05M19.00S,2024-01-23T02:22:02.4Z,1,REGULAR,substitution,out,[],1630172,,,1610612741,13,19,2024-01-23T02:22:05Z,770000,False,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M19.00S,2024-01-23T02:22:02.4Z,1,REGULAR,substitution,in,[],1627936,,,1610612741,13,19,2024-01-23T02:22:05Z,780000,False,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M08.00S,2024-01-23T02:22:28.3Z,1,REGULAR,2pt,Jump Shot,[],202696,91.14651773981603,25.245098039215684,1610612741,13,21,2024-01-23T02:22:40Z,790000,False,-124.0,31.0,1,right,N. Vucevic 12' Jump Shot (4 PTS) (C. White 3 AST),"[202696, 1629632]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Left,12.75,Made,,4.0,C. White,1629632.0,3.0,,,,,,,,,,,,,
82,PT04M54.00S,2024-01-23T02:22:42.7Z,1,REGULAR,3pt,Jump Shot,[],201142,27.94021024967148,82.35294117647058,1610612756,13,21,2024-01-23T02:22:46Z,810000,False,-162.0,210.0,1,left,MISS K. Durant 26' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,26.52,Missed,,,,,,,,,,,,,,,,,,
83,PT04M52.00S,2024-01-23T02:22:44.7Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,13,21,2024-01-23T02:22:48Z,820000,False,,,0,,C. White REBOUND (Off:1 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,82.0,,,,,2.0,1.0,1.0,,,,,,,,,,
84,PT04M47.00S,2024-01-23T02:22:49.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630245,92.85479632063075,50.245098039215684,1610612741,13,23,2024-01-23T02:22:57Z,830000,False,1.0,15.0,1,right,A. Dosunmu running Layup (4 PTS) (C. White 4 AST),"[1630245, 1629632]",1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,1.47,Made,,4.0,C. White,1629632.0,4.0,,,,,,,,,,,,,
86,PT04M25.00S,2024-01-23T02:23:11.2Z,1,REGULAR,3pt,Jump Shot,[],1629006,8.360709592641262,95.09803921568627,1610612756,13,23,2024-01-23T02:23:15Z,850000,False,-225.0,26.0,1,left,MISS J. Okogie 3PT,[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,Left Corner 3,24+ Left,22.7,Missed,,,,,,,,,,,,,,,,,,
87,PT04M22.00S,2024-01-23T02:23:14.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,13,23,2024-01-23T02:23:15Z,860000,False,,,0,,N. Vucevic REBOUND (Off:2 Def:4),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Left Corner 3,24+ Left,,,86.0,,,,,6.0,4.0,2.0,,,,,,,,,,
88,PT04M15.00S,2024-01-23T02:23:21.5Z,1,REGULAR,2pt,Jump Shot,[],202696,76.2976346911958,60.5392156862745,1610612741,13,25,2024-01-23T02:23:25Z,870000,False,53.0,170.0,1,right,N. Vucevic 17' Jump Shot (6 PTS) (D. Terry 1 AST),"[202696, 1631207]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Center,17.83,Made,,6.0,D. Terry,1631207.0,1.0,,,,,,,,,,,,,
