actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
23,PT10M41.00S,2024-04-06T02:13:13.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,20.45006570302234,51.71568627450981,1610612756,3,0,2024-04-06T02:13:18Z,230000,False,-9.0,140.0,1,left,MISS D. Booker 14' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,8-16 Center,,,,,,,,,Missed,,14.0,,,,,,,,,
24,PT10M36.00S,2024-04-06T02:13:18.0Z,1,REGULAR,rebound,offensive,[],203994,,,1610612756,3,0,2024-04-06T02:13:18Z,240000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,23.0,2.0,1.0,1.0,,,,,
25,PT10M26.00S,2024-04-06T02:13:27.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201142,19.004599211563733,22.54901960784314,1610612756,3,0,2024-04-06T02:13:31Z,250000,False,137.0,126.0,1,left,MISS K. Durant 18' pullup Shot,[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right Center,,,,,,,,,Missed,,18.64,,,,,,,,,
26,PT10M23.00S,2024-04-06T02:13:30.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,3,0,2024-04-06T02:13:31Z,260000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,
27,PT10M20.00S,2024-04-06T02:13:33.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630162,66.17936925098554,39.46078431372549,1610612750,3,0,2024-04-06T02:13:39Z,270000,False,-53.0,265.0,1,right,MISS A. Edwards 27' running 3PT,[1630162],1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,,,,,,,Missed,,27.06,,,,,,,,,
28,PT10M17.00S,2024-04-06T02:13:36.7Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,3,0,2024-04-06T02:13:39Z,280000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:2),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,27.0,3.0,2.0,1.0,,,,,
29,PT10M06.00S,2024-04-06T02:13:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,5.995400788436268,49.754901960784316,1610612756,5,0,2024-04-06T02:13:52Z,290000,False,1.0,4.0,1,left,D. Booker driving finger roll Layup (5 PTS) (J. Nurkic 1 AST),"[1626164, 203994]",1610612756.0,PHX,driving finger roll,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,5.0,0.41,,,,,J. Nurkic,203994.0,1.0,,
31,PT09M53.00S,2024-04-06T02:14:02.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,93.9060446780552,49.754901960784316,1610612750,5,0,2024-04-06T02:17:38Z,310000,False,-1.0,5.0,1,right,MISS A. Edwards driving Layup - blocked,"[1630162, 203994]",1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,0.49,,,,,,,,Nurkic,203994.0
32,PT09M53.00S,2024-04-06T02:14:02.4Z,1,REGULAR,block,,[],203994,,,1610612750,5,0,2024-04-06T02:14:04Z,320000,False,,,0,,J. Nurkic BLOCK (1 BLK),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M52.00S,2024-04-06T02:14:03.4Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,5,0,2024-04-06T02:17:38Z,330000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:3),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,31.0,4.0,3.0,1.0,,,,,
34,PT09M33.00S,2024-04-06T02:14:20.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,7.178055190538765,47.05882352941176,1610612756,7,0,2024-04-06T02:14:31Z,340000,False,15.0,15.0,1,left,J. Nurkic Layup (2 PTS) (D. Booker 1 AST),"[203994, 1626164]",1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,2.0,2.1,,,,,D. Booker,1626164.0,1.0,,
36,PT09M17.00S,2024-04-06T02:14:36.8Z,1,REGULAR,turnover,bad pass,[],203497,,,1610612750,7,0,2024-04-06T02:14:39Z,360000,False,,,0,,R. Gobert bad pass TURNOVER (1 TO),"[203497, 1628960]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,1.0,Allen,1628960.0,,,,,,,,,,,,,,,,,
37,PT09M17.00S,2024-04-06T02:14:36.8Z,1,REGULAR,steal,,[],1628960,,,1610612756,7,0,2024-04-06T02:14:38Z,370000,False,,,0,,G. Allen STEAL (1 STL),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
38,PT09M07.00S,2024-04-06T02:14:46.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201142,9.149145860709593,60.5392156862745,1610612756,9,0,2024-04-06T02:15:21Z,380000,False,-53.0,34.0,1,left,K. Durant 6' fadeaway Jump Shot (2 PTS) (J. Nurkic 2 AST),"[201142, 203994]",1610612756.0,PHX,fadeaway,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Made,2.0,6.24,,,,,J. Nurkic,203994.0,2.0,,
40,PT09M07.00S,2024-04-06T02:14:54.0Z,1,REGULAR,foul,personal,['1freethrow'],1629675,,,1610612756,9,0,2024-04-06T02:15:05Z,400000,False,,,0,,N. Reid shooting personal FOUL (1 PF) (Durant 1 FT),"[1629675, 201142]",1610612750.0,MIN,shooting,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,101284.0,1.0,0.0,Durant,201142.0,,,,,,,,,,,,
42,PT09M07.00S,2024-04-06T02:15:21.1Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],201142,,,1610612756,10,0,2024-04-06T02:15:21Z,420000,False,,,0,,K. Durant Free Throw 1 of 1 (3 PTS),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,,,,,,,,Made,3.0,,,,,,,,,,
43,PT08M55.00S,2024-04-06T02:15:34.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629675,91.93495400788436,55.88235294117647,1610612750,10,0,2024-04-06T02:15:40Z,430000,False,29.0,23.0,1,right,MISS N. Reid Layup,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,3.75,,,,,,,,,
44,PT08M53.00S,2024-04-06T02:15:36.8Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,10,0,2024-04-06T02:15:40Z,440000,False,,,0,,G. Allen REBOUND (Off:0 Def:2),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,43.0,2.0,2.0,0.0,,,,,
45,PT08M45.00S,2024-04-06T02:15:44.9Z,1,REGULAR,3pt,Jump Shot,[],1628960,24.52365308804205,89.4607843137255,1610612756,13,0,2024-04-06T02:15:49Z,450000,False,-197.0,178.0,1,left,G. Allen 26' 3PT  (3 PTS) (D. Booker 2 AST),"[1628960, 1626164]",1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Made,3.0,26.57,,,,,D. Booker,1626164.0,2.0,,
47,PT08M44.00S,2024-04-06T02:15:50.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,13,0,2024-04-06T02:15:53Z,470000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M32.00S,2024-04-06T02:18:59.2Z,1,REGULAR,2pt,Jump Shot,[],1630162,85.10183968462549,30.392156862745097,1610612750,13,0,2024-04-06T02:19:04Z,480000,False,-98.0,88.0,1,right,MISS A. Edwards 13' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,,,,,,,,,Missed,,13.14,,,,,,,,,
49,PT08M29.00S,2024-04-06T02:19:02.2Z,1,REGULAR,rebound,defensive,[],203078,,,1610612756,13,0,2024-04-06T02:19:04Z,490000,False,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,48.0,1.0,1.0,0.0,,,,,
50,PT08M19.00S,2024-04-06T02:19:12.0Z,1,REGULAR,3pt,Jump Shot,[],1628960,32.013797634691194,19.11764705882353,1610612756,13,0,2024-04-06T02:19:17Z,500000,False,154.0,248.0,1,left,MISS G. Allen 29' 3PT,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Missed,,29.25,,,,,,,,,
51,PT08M15.00S,2024-04-06T02:19:16.0Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,13,0,2024-04-06T02:19:17Z,510000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,
52,PT08M04.00S,2024-04-06T02:19:28.3Z,1,REGULAR,foul,personal,[],203994,,,1610612750,13,0,2024-04-06T02:19:43Z,520000,False,,,0,,J. Nurkic personal FOUL (1 PF),"[203994, 203497]",1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),8-16 Center,,,,101284.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,
54,PT07M58.00S,2024-04-06T02:19:53.8Z,1,REGULAR,turnover,bad pass,[],201144,,,1610612750,13,0,2024-04-06T02:19:58Z,540000,False,,,0,,M. Conley bad pass TURNOVER (1 TO),"[201144, 203994]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,Mid-Range,8-16 Center,1.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,
55,PT07M58.00S,2024-04-06T02:19:53.8Z,1,REGULAR,steal,,[],203994,,,1610612756,13,0,2024-04-06T02:19:56Z,550000,False,,,0,,J. Nurkic STEAL (2 STL),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
56,PT07M54.00S,2024-04-06T02:19:57.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203078,7.703679369250986,51.71568627450981,1610612756,15,0,2024-04-06T02:20:07Z,560000,False,-9.0,20.0,1,left,B. Beal running DUNK (2 PTS) (K. Durant 1 AST),"[203078, 201142]",1610612756.0,PHX,running,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,2.0,2.17,,,,,K. Durant,201142.0,1.0,,
58,PT07M35.00S,2024-04-06T02:20:17.5Z,1,REGULAR,foul,personal,['2freethrow'],201142,,,1610612750,15,0,2024-04-06T02:20:40Z,580000,False,,,0,,K. Durant shooting personal FOUL (1 PF) (Conley 2 FT),"[201142, 201144]",1610612756.0,PHX,shooting,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,1151.0,1.0,0.0,Conley,201144.0,,,,,,,,,,,,
60,PT07M35.00S,2024-04-06T02:20:50.8Z,1,REGULAR,freethrow,1 of 2,[],201144,,,1610612750,15,1,2024-04-06T02:21:16Z,600000,False,,,0,,M. Conley Free Throw 1 of 2 (1 PTS),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,
62,PT07M35.00S,2024-04-06T02:21:17.8Z,1,REGULAR,freethrow,2 of 2,[],201144,,,1610612750,15,2,2024-04-06T02:21:17Z,620000,False,,,0,,M. Conley Free Throw 2 of 2 (2 PTS),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,Made,2.0,,,,,,,,,,
63,PT07M20.00S,2024-04-06T02:21:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,8.360709592641262,58.57843137254902,1610612756,17,2,2024-04-06T02:21:40Z,630000,False,-43.0,26.0,1,left,B. Beal driving Layup (4 PTS),[203078],1610612756.0,PHX,driving,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Made,4.0,5.02,,,,,,,,,
64,PT06M59.00S,2024-04-06T02:21:55.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,81.15965834428384,46.32352941176471,1610612750,17,4,2024-04-06T02:21:59Z,640000,False,-18.0,125.0,1,right,J. McDaniels 12' pullup Jump Shot (2 PTS) (A. Edwards 1 AST),"[1630183, 1630162]",1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,Made,2.0,12.6,,,,,A. Edwards,1630162.0,1.0,,
66,PT06M43.00S,2024-04-06T02:22:12.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,14.273981603153747,36.029411764705884,1610612756,17,4,2024-04-06T02:22:18Z,660000,False,70.0,82.0,1,left,MISS D. Booker 10' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,Missed,,10.75,,,,,,,,,
67,PT06M40.00S,2024-04-06T02:22:15.4Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,17,4,2024-04-06T02:22:18Z,670000,False,,,0,,N. Reid REBOUND (Off:0 Def:1),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,66.0,1.0,1.0,0.0,,,,,
68,PT06M31.00S,2024-04-06T02:22:23.6Z,1,REGULAR,3pt,Jump Shot,[],1629675,70.51576872536137,21.07843137254902,1610612750,17,4,2024-04-06T02:22:29Z,680000,False,-145.0,225.0,1,right,MISS N. Reid 26' 3PT,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Missed,,26.72,,,,,,,,,
69,PT06M27.00S,2024-04-06T02:22:27.6Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,17,4,2024-04-06T02:22:29Z,690000,False,,,0,,G. Allen REBOUND (Off:0 Def:3),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,68.0,3.0,3.0,0.0,,,,,
70,PT06M06.00S,2024-04-06T02:22:48.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,11.645860709592641,60.29411764705882,1610612756,19,4,2024-04-06T02:22:59Z,700000,False,-51.0,57.0,1,left,K. Durant 7' fadeaway Jump Shot (5 PTS) (D. Booker 3 AST),"[201142, 1626164]",1610612756.0,PHX,fadeaway,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Made,5.0,7.68,,,,,D. Booker,1626164.0,3.0,,
72,PT05M50.00S,2024-04-06T02:23:04.8Z,1,REGULAR,2pt,Jump Shot,[],1630162,76.95466491458606,31.127450980392158,1610612750,19,4,2024-04-06T02:23:09Z,720000,False,-94.0,164.0,1,right,MISS A. Edwards 18' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left Center,,,,,,,,,Missed,,18.93,,,,,,,,,
73,PT05M47.00S,2024-04-06T02:23:07.8Z,1,REGULAR,rebound,defensive,[],203078,,,1610612756,19,4,2024-04-06T02:23:09Z,730000,False,,,0,,B. Beal REBOUND (Off:0 Def:2),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,72.0,2.0,2.0,0.0,,,,,
74,PT05M42.00S,2024-04-06T02:23:12.6Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628960,11.908672798948752,48.529411764705884,1610612756,19,4,2024-04-06T02:24:45Z,740000,False,7.0,59.0,1,left,MISS G. Allen driving floating Shot,[1628960],1610612756.0,PHX,driving floating,,,Allen,G. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Missed,,5.99,,,,,,,,,
75,PT05M39.00S,2024-04-06T02:23:15.6Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,19,4,2024-04-06T02:23:21Z,750000,False,,,0,,A. Edwards REBOUND (Off:0 Def:2),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,74.0,2.0,2.0,0.0,,,,,
76,PT05M34.00S,2024-04-06T02:23:21.0Z,1,REGULAR,turnover,lost ball,[],201144,,,1610612750,19,4,2024-04-06T02:24:24Z,760000,False,,,0,,M. Conley lost ball TURNOVER (2 TO),"[201144, 1626164]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,2.0,Booker,1626164.0,,,,,,,,,,,,,,,,,
77,PT05M34.00S,2024-04-06T02:23:21.0Z,1,REGULAR,steal,,[],1626164,,,1610612756,19,4,2024-04-06T02:23:24Z,770000,False,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
78,PT05M29.00S,2024-04-06T02:23:27.3Z,1,REGULAR,foul,personal,['2freethrow'],203497,,,1610612756,19,4,2024-04-06T02:23:40Z,780000,False,,,0,,R. Gobert shooting personal FOUL (1 PF) (Durant 2 FT),"[203497, 201142]",1610612750.0,MIN,shooting,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,1151.0,1.0,0.0,Durant,201142.0,,,,,,,,,,,,
80,PT05M29.00S,2024-04-06T02:24:01.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",201142,,,1610612756,20,4,2024-04-06T02:24:00Z,800000,False,,,0,,K. Durant Free Throw 1 of 2 (6 PTS),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,,,,,,,,Made,6.0,,,,,,,,,,
81,PT05M29.00S,2024-04-06T02:24:01.7Z,1,REGULAR,substitution,out,[],203078,,,1610612756,20,4,2024-04-06T02:24:13Z,810000,False,,,0,,SUB out: B. Beal,[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M29.00S,2024-04-06T02:24:01.7Z,1,REGULAR,substitution,out,[],203497,,,1610612756,20,4,2024-04-06T02:24:13Z,820000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M29.00S,2024-04-06T02:24:01.7Z,1,REGULAR,substitution,out,[],201144,,,1610612756,20,4,2024-04-06T02:24:13Z,830000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M29.00S,2024-04-06T02:24:01.7Z,1,REGULAR,substitution,in,[],201569,,,1610612756,20,4,2024-04-06T02:24:13Z,840000,False,,,0,,SUB in: E. Gordon,[201569],1610612756.0,PHX,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M29.00S,2024-04-06T02:24:01.7Z,1,REGULAR,substitution,in,[],203937,,,1610612756,20,4,2024-04-06T02:24:13Z,850000,False,,,0,,SUB in: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
