actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
17,PT10M39.00S,2023-12-14T02:12:47.4Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,2,3,2023-12-14T02:12:51Z,170000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),8-16 Center,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,
19,PT10M27.00S,2023-12-14T02:13:12.6Z,1,REGULAR,foul,personal,['2freethrow'],203915,,,1610612756,2,3,2023-12-14T02:13:28Z,190000,False,,,0,,S. Dinwiddie shooting personal FOUL (1 PF) (Durant 2 FT),"[203915, 201142]",1610612751.0,BKN,shooting,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,8-16 Right,1146.0,,,,,,,,,,,,1.0,0.0,Durant,201142.0,,,,
21,PT10M27.00S,2023-12-14T02:13:50.5Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612756,2,3,2023-12-14T02:13:50Z,210000,False,,,0,,MISS K. Durant Free Throw 1 of 2,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
22,PT10M27.00S,2023-12-14T02:13:50.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,2,3,2023-12-14T02:13:50Z,220000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,
23,PT10M27.00S,2023-12-14T02:14:05.8Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612756,3,3,2023-12-14T02:14:05Z,230000,False,,,0,,K. Durant Free Throw 2 of 2 (1 PTS),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
24,PT10M09.00S,2023-12-14T02:14:25.1Z,1,REGULAR,3pt,Jump Shot,[],203915,74.32654402102497,85.29411764705883,1610612751,3,3,2023-12-14T02:14:30Z,240000,False,176.0,189.0,1,right,MISS S. Dinwiddie 25' pullup 3PT,[203915],1610612751.0,BKN,pullup,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,,,25.85,Missed,,,,,,,,,,,,,,,,
25,PT10M05.00S,2023-12-14T02:14:29.1Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,3,3,2023-12-14T02:14:30Z,250000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:3),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Right Center,,,,,24.0,3.0,3.0,0.0,,,,,,,,,,,,
26,PT09M56.00S,2023-12-14T02:14:42.1Z,1,REGULAR,foul,technical,['1freethrow'],1629651,,,1610612756,3,3,2023-12-14T02:15:12Z,260000,False,,,0,,N. Claxton defensive-3-second technical FOUL (1 Tech),[1629651],1610612751.0,BKN,defensive-3-second,,,Claxton,N. Claxton,,,,,,,1146.0,,,,,,,,,,,,0.0,1.0,,,,,,
27,PT09M56.00S,2023-12-14T02:15:15.8Z,1,REGULAR,freethrow,1 of 1,[],1626164,,,1610612756,4,3,2023-12-14T02:15:15Z,270000,False,,,0,,D. Booker technical Free Throw 1 of 1 (1 PTS),[1626164],1610612756.0,PHX,technical,,,Booker,D. Booker,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
28,PT09M49.00S,2023-12-14T02:15:34.6Z,1,REGULAR,2pt,Jump Shot,[],203078,19.530223390275953,26.47058823529412,1610612756,4,3,2023-12-14T02:15:42Z,280000,False,118.0,131.0,1,left,MISS B. Beal 17' pullup Shot,[203078],1610612756.0,PHX,pullup,,,Beal,B. Beal,,,,,Mid-Range,16-24 Right Center,,,17.61,Missed,,,,,,,,,,,,,,,,
29,PT09M47.00S,2023-12-14T02:15:36.6Z,1,REGULAR,rebound,offensive,[],203994,,,1610612756,4,3,2023-12-14T02:15:42Z,290000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:3),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Right Center,,,,,28.0,4.0,3.0,1.0,,,,,,,,,,,,
30,PT09M46.00S,2023-12-14T02:15:39.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,6.915243101182654,46.568627450980394,1610612756,4,3,2023-12-14T02:15:45Z,300000,False,17.0,13.0,1,left,MISS J. Nurkic putback Layup - blocked,"[203994, 1629661]",1610612756.0,PHX,putback,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,2.13,Missed,,,,,,,,,,,,,Johnson,1629661.0,,
31,PT09M46.00S,2023-12-14T02:15:39.1Z,1,REGULAR,block,,[],1629661,,,1610612756,4,3,2023-12-14T02:15:40Z,310000,False,,,0,,C. Johnson BLOCK (1 BLK),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
32,PT09M43.00S,2023-12-14T02:15:42.1Z,1,REGULAR,rebound,defensive,[],203915,,,1610612751,4,3,2023-12-14T02:15:45Z,320000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,
33,PT09M31.00S,2023-12-14T02:15:52.9Z,1,REGULAR,3pt,Jump Shot,[],1628969,78.9257555847569,8.088235294117647,1610612751,4,3,2023-12-14T02:15:57Z,330000,False,-210.0,146.0,1,right,MISS M. Bridges 25' 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,25.52,Missed,,,,,,,,,,,,,,,,
34,PT09M29.00S,2023-12-14T02:15:54.9Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612756,4,3,2023-12-14T02:15:57Z,340000,False,,,0,,C. Metu REBOUND (Off:0 Def:1),[1629002],1610612756.0,PHX,,,,Metu,C. Metu,,,,,Above the Break 3,24+ Left Center,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,
35,PT09M16.00S,2023-12-14T02:16:09.1Z,1,REGULAR,3pt,Jump Shot,[],203994,30.56833114323259,35.049019607843135,1610612756,4,3,2023-12-14T02:16:15Z,350000,False,75.0,235.0,1,left,MISS J. Nurkic 24' 3PT,[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Center,,,24.64,Missed,,,,,,,,,,,,,,,,
36,PT09M10.00S,2023-12-14T02:16:15.1Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,4,3,2023-12-14T02:16:15Z,360000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Center,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,
37,PT09M02.00S,2023-12-14T02:16:22.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630560,92.9862023653088,51.71568627450981,1610612751,4,5,2023-12-14T02:17:36Z,370000,False,9.0,13.0,1,right,C. Thomas driving finger roll Layup (5 PTS) (S. Dinwiddie 1 AST),"[1630560, 203915]",1610612751.0,BKN,driving finger roll,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,,,1.59,Made,,,,,5.0,S. Dinwiddie,203915.0,1.0,,,,,,,,
39,PT08M45.00S,2023-12-14T02:16:39.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,14.668199737187912,48.28431372549019,1610612756,6,5,2023-12-14T02:16:43Z,390000,False,9.0,85.0,1,left,B. Beal 8' driving floating Jump Shot (2 PTS) (D. Booker 2 AST),"[203078, 1626164]",1610612756.0,PHX,driving floating,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Center,,,8.58,Made,,,,,2.0,D. Booker,1626164.0,2.0,,,,,,,,
41,PT08M21.00S,2023-12-14T02:17:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629661,90.62089356110381,54.41176470588235,1610612751,6,7,2023-12-14T02:17:08Z,410000,False,22.0,36.0,1,right,C. Johnson driving Layup (2 PTS),[1629661],1610612751.0,BKN,driving,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,4.2,Made,,,,,2.0,,,,,,,,,,,
42,PT08M00.00S,2023-12-14T02:17:24.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,12.302890932982917,35.049019607843135,1610612756,8,7,2023-12-14T02:17:31Z,420000,False,75.0,63.0,1,left,B. Beal 9' pullup Jump Shot (4 PTS) (K. Durant 1 AST),"[203078, 201142]",1610612756.0,PHX,pullup,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Right,,,9.79,Made,,,,,4.0,K. Durant,201142.0,1.0,,,,,,,,
44,PT07M37.00S,2023-12-14T02:17:47.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,93.64323258869908,48.529411764705884,1610612751,8,9,2023-12-14T02:17:50Z,440000,False,-7.0,7.0,1,right,N. Claxton alley-oop DUNK (2 PTS) (S. Dinwiddie 2 AST),"[1629651, 203915]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,1.04,Made,,,,,2.0,S. Dinwiddie,203915.0,2.0,,,,,,,,
46,PT07M20.00S,2023-12-14T02:18:08.5Z,1,REGULAR,foul,technical,['1freethrow'],1629651,,,1610612756,8,9,2023-12-14T02:18:22Z,460000,False,,,0,,N. Claxton defensive-3-second technical FOUL (2 Tech),[1629651],1610612751.0,BKN,defensive-3-second,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,1146.0,,,,,,,,,,,,0.0,2.0,,,,,,
47,PT07M20.00S,2023-12-14T02:18:33.5Z,1,REGULAR,freethrow,1 of 1,[],201142,,,1610612756,8,9,2023-12-14T02:18:35Z,470000,False,,,0,,MISS K. Durant technical Free Throw 1 of 1,[201142],1610612756.0,PHX,technical,,,Durant,K. Durant,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
48,PT07M20.00S,2023-12-14T02:18:33.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612756,8,9,2023-12-14T02:18:35Z,480000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,
49,PT07M20.00S,2023-12-14T02:18:35.6Z,1,REGULAR,substitution,out,[],1629651,,,1610612756,8,9,2023-12-14T02:18:37Z,490000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M20.00S,2023-12-14T02:18:35.6Z,1,REGULAR,substitution,in,[],1630549,,,1610612756,8,9,2023-12-14T02:18:37Z,500000,False,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M20.00S,2023-12-14T02:18:50.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,8,9,2023-12-14T02:18:50Z,510000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M16.00S,2023-12-14T02:21:48.5Z,1,REGULAR,3pt,Jump Shot,[],201142,12.302890932982917,3.9215686274509802,1610612756,8,9,2023-12-14T02:21:56Z,520000,False,230.0,63.0,1,left,MISS K. Durant 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Right Corner 3,24+ Right,,,23.89,Missed,,,,,,,,,,,,,,,,
53,PT07M13.00S,2023-12-14T02:21:51.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,8,9,2023-12-14T02:22:04Z,530000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Right Corner 3,24+ Right,,,,,52.0,,,,,,,,,,,,,,,
55,PT07M11.00S,2023-12-14T02:22:14.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203078,5.995400788436268,14.705882352941178,1610612756,10,9,2023-12-14T02:22:45Z,550000,False,176.0,4.0,1,left,B. Beal 17' Jump Shot (6 PTS) (D. Booker 3 AST),"[203078, 1626164]",1610612756.0,PHX,,,,Beal,B. Beal,,,,,Mid-Range,16-24 Right,,,17.65,Made,,,,,6.0,D. Booker,1626164.0,3.0,,,,,,,,
57,PT07M00.00S,2023-12-14T02:22:26.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,84.31340341655716,36.51960784313725,1610612751,10,9,2023-12-14T02:23:00Z,570000,False,-67.0,95.0,1,right,MISS M. Bridges 11' fadeaway Shot,[1628969],1610612751.0,BKN,fadeaway,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Left,,,11.65,Missed,,,,,,,,,,,,,,,,
58,PT06M56.00S,2023-12-14T02:22:30.1Z,1,REGULAR,rebound,offensive,[],1630549,,,1610612751,10,9,2023-12-14T02:23:00Z,580000,False,,,0,,D. Sharpe REBOUND (Off:1 Def:0),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),8-16 Left,,,,,57.0,1.0,0.0,1.0,,,,,,,,,,,,
59,PT06M55.00S,2023-12-14T02:22:31.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630560,73.9323258869908,83.57843137254902,1610612751,10,9,2023-12-14T02:22:37Z,590000,False,168.0,193.0,1,right,MISS C. Thomas 25' 3PT,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Right Center,,,25.54,Missed,,,,,,,,,,,,,,,,
60,PT06M51.00S,2023-12-14T02:22:35.6Z,1,REGULAR,rebound,offensive,[],1629661,,,1610612751,10,9,2023-12-14T02:22:37Z,600000,False,,,0,,C. Johnson REBOUND (Off:1 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,59.0,2.0,1.0,1.0,,,,,,,,,,,,
61,PT06M48.00S,2023-12-14T02:22:38.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629661,89.09329829172142,49.34512867647059,1610612751,10,11,2023-12-14T02:23:40Z,610000,False,-3.0,50.0,1,right,C. Johnson putback Layup (4 PTS),[1629661],1610612751.0,BKN,putback,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,5.01,Made,,,,,4.0,,,,,,,,,,,
354,PT06M25.00S,2023-12-14T02:22:50.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629002,6.750985545335084,36.76470588235294,1610612756,10,11,2023-12-14T03:26:24Z,615000,False,66.0,11.0,1,left,MISS C. Metu 6' driving Layup - blocked,"[1629002, 1630560]",1610612756.0,PHX,driving,,,Metu,C. Metu,,,,,In The Paint (Non-RA),0-8 Center,,,6.71,Missed,,,,,,,,,,,,,Thomas,1630560.0,,
355,PT06M25.00S,2023-12-14T02:22:50.0Z,1,REGULAR,block,,[],1630560,,,1610612756,10,11,2023-12-14T03:26:24Z,617500,False,,,0,,C. Thomas BLOCK (1 BLK),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
356,PT06M25.00S,2023-12-14T02:22:50.0Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,10,11,2023-12-14T03:26:24Z,618750,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,354.0,1.0,1.0,0.0,,,,,,,,,,,,
64,PT06M21.00S,2023-12-14T02:23:07.6Z,1,REGULAR,foul,personal,['2freethrow'],1626164,,,1610612751,10,11,2023-12-14T02:23:15Z,640000,False,,,0,,D. Booker shooting personal FOUL (1 PF) (Johnson 2 FT),"[1626164, 1629661]",1610612756.0,PHX,shooting,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,1146.0,,,,,,,,,,,,1.0,0.0,Johnson,1629661.0,,,,
66,PT06M21.00S,2023-12-14T02:23:33.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629661,,,1610612751,10,12,2023-12-14T03:26:29Z,660000,False,,,0,,C. Johnson Free Throw 1 of 2 (5 PTS),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,Made,,,,,5.0,,,,,,,,,,,
67,PT06M21.00S,2023-12-14T02:23:34.2Z,1,REGULAR,substitution,out,[],203078,,,1610612751,10,12,2023-12-14T02:23:38Z,670000,False,,,0,,SUB out: B. Beal,[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M21.00S,2023-12-14T02:23:34.2Z,1,REGULAR,substitution,in,[],1629642,,,1610612751,10,12,2023-12-14T02:23:38Z,680000,False,,,0,,SUB in: N. Little,[1629642],1610612756.0,PHX,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M21.00S,2023-12-14T02:23:52.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629661,,,1610612751,10,13,2023-12-14T03:26:29Z,690000,False,,,0,,C. Johnson Free Throw 2 of 2 (6 PTS),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,Made,,,,,6.0,,,,,,,,,,,
70,PT06M09.00S,2023-12-14T02:24:06.2Z,1,REGULAR,3pt,Jump Shot,[],1629642,3.7614980289093296,95.34313725490196,1610612756,10,13,2023-12-14T02:24:10Z,700000,False,-227.0,-17.0,1,left,MISS N. Little 3PT,[1629642],1610612756.0,PHX,,,,Little,N. Little,,,,,Left Corner 3,24+ Left,,,22.73,Missed,,,,,,,,,,,,,,,,
71,PT06M06.00S,2023-12-14T02:24:09.5Z,1,REGULAR,rebound,offensive,[],1629002,,,1610612756,10,13,2023-12-14T02:24:09Z,710000,False,,,0,,C. Metu REBOUND (Off:1 Def:1),[1629002],1610612756.0,PHX,,,,Metu,C. Metu,,,,,Left Corner 3,24+ Left,,,,,70.0,2.0,1.0,1.0,,,,,,,,,,,,
72,PT06M05.00S,2023-12-14T02:24:09.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629002,4.681340341655716,49.01960784313725,1610612756,12,13,2023-12-14T02:24:13Z,720000,False,5.0,-8.0,1,left,C. Metu putback DUNK (2 PTS),[1629002],1610612756.0,PHX,putback,,,Metu,C. Metu,,,,,Restricted Area,0-8 Center,,,0.98,Made,,,,,2.0,,,,,,,,,,,
73,PT05M57.00S,2023-12-14T02:24:20.5Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612751,12,13,2023-12-14T02:27:16Z,730000,False,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Thomas 2 FT),"[203994, 1630560]",1610612756.0,PHX,shooting,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,1155.0,,,,,,,,,,,,1.0,0.0,Thomas,1630560.0,,,,
75,PT05M57.00S,2023-12-14T02:24:44.4Z,1,REGULAR,freethrow,1 of 2,[],1630560,,,1610612751,12,14,2023-12-14T02:27:19Z,750000,False,,,0,,C. Thomas Free Throw 1 of 2 (6 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,Made,,,,,6.0,,,,,,,,,,,
76,PT05M57.00S,2023-12-14T02:24:44.4Z,1,REGULAR,freethrow,2 of 2,[],1630560,,,1610612751,12,15,2023-12-14T02:27:19Z,760000,False,,,0,,C. Thomas Free Throw 2 of 2 (7 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,Made,,,,,7.0,,,,,,,,,,,
77,PT05M39.00S,2023-12-14T02:25:17.0Z,1,REGULAR,3pt,Jump Shot,[],201142,23.340998685939553,85.5392156862745,1610612756,12,15,2023-12-14T02:25:22Z,770000,False,-178.0,167.0,1,left,MISS K. Durant 24' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,24.38,Missed,,,,,,,,,,,,,,,,
78,PT05M38.00S,2023-12-14T02:25:18.0Z,1,REGULAR,rebound,offensive,[],1629002,,,1610612756,12,15,2023-12-14T02:28:30Z,780000,False,,,0,,C. Metu REBOUND (Off:2 Def:1),[1629002],1610612756.0,PHX,,,,Metu,C. Metu,,,,,Above the Break 3,24+ Left Center,,,,,77.0,3.0,1.0,2.0,,,,,,,,,,,,
96,PT05M37.00S,2023-12-14T02:25:24.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629002,6.258212877792378,50.49019607843137,1610612756,12,15,2023-12-14T02:29:01Z,785000,False,-2.0,6.0,1,left,MISS C. Metu tip Layup,[1629002],1610612756.0,PHX,tip,,,Metu,C. Metu,,,,,Restricted Area,0-8 Center,,,0.68,Missed,,,,,,,,,,,,,,,,
97,PT05M36.00S,2023-12-14T02:25:25.8Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,12,15,2023-12-14T02:29:01Z,787500,False,,,0,,C. Johnson REBOUND (Off:1 Def:2),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,,,96.0,3.0,2.0,1.0,,,,,,,,,,,,
79,PT05M23.00S,2023-12-14T02:25:32.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630560,82.21090670170827,49.754901960784316,1610612751,12,15,2023-12-14T02:28:53Z,790000,False,-1.0,115.0,1,right,MISS C. Thomas 11' driving floating Shot,[1630560],1610612751.0,BKN,driving floating,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),8-16 Center,,,11.47,Missed,,,,,,,,,,,,,,,,
