actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
169,PT02M48.00S,2025-10-25T00:37:41.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612745,19,25,2025-10-25T00:37:46Z,1600000,False,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612745.0,HOU,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,168.0,2.0,1.0,1.0,,,,,
170,PT02M42.00S,2025-10-25T00:37:47.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631095,71.69842312746385,82.59803921568627,1610612745,22,25,2025-10-25T00:57:51Z,1610000,False,163.0,214.0,1,right,J. Smith Jr. 26' 3PT running pullup (5 PTS),[1631095],1610612745.0,HOU,running pullup,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,,26.86,Made,5.0,,,,,,,,,,,,,,
171,PT02M31.00S,2025-10-25T00:37:59.5Z,1,REGULAR,3pt,Jump Shot,[],1642404,29.911300919842315,74.50980392156863,1610612765,22,25,2025-10-25T00:38:06Z,1620000,False,-123.0,229.0,1,left,MISS C. Lanier 25' 3PT,[1642404],1610612765.0,DET,,,,Lanier,C. Lanier,,,,,Above the Break 3,24+ Left Center,,,,25.94,Missed,,,,,,,,,,,,,,,
172,PT02M28.00S,2025-10-25T00:38:02.5Z,1,REGULAR,rebound,defensive,[],1642263,,,1610612745,22,25,2025-10-25T00:38:06Z,1630000,False,,,0,,R. Sheppard REBOUND (Off:0 Def:2),[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,171.0,2.0,2.0,0.0,,,,,
173,PT02M18.00S,2025-10-25T00:38:11.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642263,92.19776609724047,44.85294117647059,1610612745,22,25,2025-10-25T00:38:21Z,1640000,False,-26.0,21.0,1,right,MISS R. Sheppard driving floating Shot,[1642263],1610612745.0,HOU,driving floating,,,Sheppard,R. Sheppard,,,,,Restricted Area,0-8 Center,,,,3.31,Missed,,,,,,,,,,,,,,,
174,PT02M17.00S,2025-10-25T00:38:12.7Z,1,REGULAR,rebound,offensive,[],203991,,,1610612745,22,25,2025-10-25T00:38:21Z,1650000,False,,,0,,C. Capela REBOUND (Off:2 Def:1),[203991],1610612745.0,HOU,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,173.0,3.0,1.0,2.0,,,,,
175,PT02M17.00S,2025-10-25T00:38:15.7Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",203991,94.40999984741211,50.0,1610612745,24,25,2025-10-25T00:38:24Z,1660000,False,0.0,0.0,1,right,C. Capela tip DUNK (2 PTS),[203991],1610612745.0,HOU,tip,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,0.0,Made,2.0,,,,,,,,,,,,,,
176,PT02M03.00S,2025-10-25T00:38:26.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641709,11.514454664914586,40.44117647058824,1610612765,24,27,2025-10-25T00:38:30Z,1670000,False,48.0,56.0,1,left,A. Thompson 7' pullup Jump Shot (2 PTS),[1641709],1610612765.0,DET,pullup,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,7.34,Made,2.0,,,,,,,,,,,,,,
177,PT01M55.00S,2025-10-25T00:38:35.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,80.6340341655716,52.20588235294118,1610612745,26,27,2025-10-25T00:38:39Z,1680000,False,11.0,130.0,1,right,A. Sengun 13' step back Jump Shot (5 PTS),[1630578],1610612745.0,HOU,step back,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,13.0,Made,5.0,,,,,,,,,,,,,,
178,PT01M42.00S,2025-10-25T00:38:47.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641709,14.011169513797633,36.27450980392157,1610612765,26,27,2025-10-25T00:38:54Z,1690000,False,69.0,79.0,1,left,MISS A. Thompson 10' turnaround fadeaway bank Shot,[1641709],1610612765.0,DET,turnaround fadeaway bank,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Right,,,,10.48,Missed,,,,,,,,,,,,,,,
179,PT01M40.00S,2025-10-25T00:38:49.6Z,1,REGULAR,rebound,defensive,[],203991,,,1610612745,26,27,2025-10-25T00:38:54Z,1700000,False,,,0,,C. Capela REBOUND (Off:2 Def:2),[203991],1610612745.0,HOU,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,178.0,4.0,2.0,2.0,,,,,
180,PT01M23.00S,2025-10-25T00:39:06.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631106,92.59198423127464,53.67647058823529,1610612745,26,27,2025-10-25T00:39:17Z,1710000,False,18.0,17.0,1,right,MISS T. Eason driving Layup - blocked,"[1631106, 1630191]",1610612745.0,HOU,driving,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,,2.51,Missed,,,,,,,,,,,,,,Stewart,1630191.0
