actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,jumpBallRecoverdPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
24,PT10M05.00S,2026-02-26T01:13:38.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,92.32917214191852,54.65686274509803,1610612745,2,2,2026-02-26T01:13:43Z,230000,False,23.0,20.0,1,right,A. Sengun driving Layup (2 PTS) (T. Eason 1 AST),"[1630578, 1631106]",1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,3.04,Made,Sengun,A. Sengun,,,,,,,2.0,,,T. Eason,1631106.0,1.0,,,,,,,
28,PT09M41.00S,2026-02-26T01:14:35.7Z,1,REGULAR,jumpball,recovered,[],1631106,,,1610612758,2,2,2026-02-26T01:14:35Z,260000,False,,,0,,Jump Ball A. Sengun vs. D. DeRozan: Tip to T. Eason,"[1631106, 1630578, 201942]",1610612745.0,HOU,heldball,T. Eason,Sengun,1630578.0,DeRozan,201942.0,,,,,Eason,T. Eason,,,,,,,,,,,,,1631106.0,,,,,,
31,PT09M41.00S,2026-02-26T01:14:35.7Z,1,REGULAR,turnover,lost ball,[],201942,,,1610612758,2,2,2026-02-26T01:14:35Z,290000,False,,,0,,D. DeRozan lost ball TURNOVER (1 TO),"[201942, 1630578]",1610612758.0,SAC,,,,,,,,,,,DeRozan,D. DeRozan,,,,,,,,,1.0,,,,,Sengun,1630578.0,,,,
32,PT09M41.00S,2026-02-26T01:14:35.7Z,1,REGULAR,steal,,[],1630578,,,1610612745,2,2,2026-02-26T01:14:35Z,300000,False,,,0,,A. Sengun STEAL (1 STL),[1630578],1610612745.0,HOU,,,,,,,,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,
33,PT09M22.00S,2026-02-26T01:14:55.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631095,82.34231274638634,5.147058823529411,1610612745,2,2,2026-02-26T01:15:05Z,310000,False,-224.0,113.0,1,right,MISS J. Smith Jr. 25' 3PT,[1631095],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,25.14,Missed,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,
34,PT09M20.00S,2026-02-26T01:14:57.1Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,2,2,2026-02-26T01:15:05Z,320000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Left Center,,,Murray,K. Murray,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,
35,PT09M12.00S,2026-02-26T01:15:05.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,7.440867279894875,55.392156862745104,1610612758,2,2,2026-02-26T01:15:14Z,330000,False,-27.0,17.0,1,left,MISS P. Achiuwa driving Layup - blocked,"[1630173, 1642263]",1610612758.0,SAC,driving,,,,,,Restricted Area,0-8 Center,3.21,Missed,Achiuwa,P. Achiuwa,Sheppard,1642263.0,,,,,,,,,,,,,,,,,
36,PT09M12.00S,2026-02-26T01:15:05.3Z,1,REGULAR,block,,[],1642263,,,1610612758,2,2,2026-02-26T01:20:30Z,340000,False,,,0,,R. Sheppard BLOCK (1 BLK),[1642263],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,,
37,PT09M09.00S,2026-02-26T01:15:08.3Z,1,REGULAR,rebound,defensive,[],1642263,,,1610612745,2,2,2026-02-26T01:15:14Z,350000,False,,,0,,R. Sheppard REBOUND (Off:0 Def:1),[1642263],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Sheppard,R. Sheppard,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,
38,PT09M06.00S,2026-02-26T01:15:11.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201142,92.85479632063075,52.69607843137255,1610612745,4,2,2026-02-26T01:15:21Z,360000,False,13.0,15.0,1,right,K. Durant running Layup (2 PTS) (R. Sheppard 1 AST),"[201142, 1642263]",1610612745.0,HOU,running,,,,,,Restricted Area,0-8 Center,2.0,Made,Durant,K. Durant,,,,,,,2.0,,,R. Sheppard,1642263.0,1.0,,,,,,,
40,PT08M54.00S,2026-02-26T01:15:22.4Z,1,REGULAR,3pt,Jump Shot,[],201566,35.69316688567674,43.13725490196079,1610612758,4,2,2026-02-26T01:15:26Z,380000,False,34.0,283.0,1,left,MISS R. Westbrook 28' pullup 3PT,[201566],1610612758.0,SAC,pullup,,,,,,Above the Break 3,24+ Center,28.51,Missed,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,
41,PT08M52.00S,2026-02-26T01:15:24.4Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,4,2,2026-02-26T01:15:26Z,390000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,,,Sengun,A. Sengun,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,
42,PT08M42.00S,2026-02-26T01:15:34.7Z,1,REGULAR,3pt,Jump Shot,[],201142,93.38042049934296,96.81372549019608,1610612745,4,2,2026-02-26T01:15:39Z,400000,False,234.0,10.0,1,right,MISS K. Durant 3PT,[201142],1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,23.43,Missed,Durant,K. Durant,,,,,,,,,,,,,,,,,,,
43,PT08M39.00S,2026-02-26T01:15:37.7Z,1,REGULAR,rebound,offensive,[],201142,,,1610612745,4,2,2026-02-26T01:15:39Z,410000,False,,,0,,K. Durant REBOUND (Off:1 Def:0),[201142],1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,,,Durant,K. Durant,,,42.0,1.0,0.0,1.0,,,,,,,,,,,,,
44,PT08M38.00S,2026-02-26T01:15:39.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201142,93.77463863337714,53.18627450980392,1610612745,6,2,2026-02-26T01:15:43Z,420000,False,16.0,6.0,1,right,K. Durant putback Layup (4 PTS),[201142],1610612745.0,HOU,putback,,,,,,Restricted Area,0-8 Center,1.7,Made,Durant,K. Durant,,,,,,,4.0,,,,,,,,,,,,
45,PT08M17.00S,2026-02-26T01:15:59.5Z,1,REGULAR,3pt,Jump Shot,[],201566,27.94021024967148,22.058823529411764,1610612758,6,2,2026-02-26T01:16:03Z,430000,False,140.0,210.0,1,left,MISS R. Westbrook 25' 3PT,[201566],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Right Center,25.23,Missed,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,
46,PT08M15.00S,2026-02-26T01:16:01.5Z,1,REGULAR,rebound,offensive,[],1642875,,,1610612758,6,2,2026-02-26T01:16:03Z,440000,False,,,0,,M. Raynaud REBOUND (Off:1 Def:0),[1642875],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Right Center,,,Raynaud,M. Raynaud,,,45.0,1.0,0.0,1.0,,,,,,,,,,,,,
47,PT08M15.00S,2026-02-26T01:16:02.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642875,7.30946123521682,49.754901960784316,1610612758,6,2,2026-02-26T01:16:15Z,450000,False,1.0,16.0,1,left,MISS M. Raynaud putback Layup,[1642875],1610612758.0,SAC,putback,,,,,,Restricted Area,0-8 Center,1.62,Missed,Raynaud,M. Raynaud,,,,,,,,,,,,,,,,,,,
48,PT08M15.00S,2026-02-26T01:16:09.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,6,2,2026-02-26T01:16:09Z,460000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,Restricted Area,0-8 Center,,,,,,,47.0,,,,,,,,,,,,,,,,
49,PT08M15.00S,2026-02-26T01:16:10.1Z,1,REGULAR,foul,personal,[],1631095,,,1610612758,6,2,2026-02-26T01:16:21Z,470000,False,,,0,,J. Smith Jr. loose ball personal FOUL (1 PF),"[1631095, 1642875]",1610612745.0,HOU,loose ball,,,,,,Restricted Area,0-8 Center,,,Smith Jr.,J. Smith Jr.,,,,,,,,1627964.0,,,,,,,,1.0,0.0,Raynaud,1642875.0
51,PT08M12.00S,2026-02-26T01:16:27.7Z,1,REGULAR,foul,personal,[],1631106,,,1610612758,6,2,2026-02-26T01:16:37Z,490000,False,,,0,,T. Eason personal FOUL (1 PF),"[1631106, 201942]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,,,Eason,T. Eason,,,,,,,,1627964.0,,,,,,,,1.0,0.0,DeRozan,201942.0
53,PT08M02.00S,2026-02-26T01:16:49.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201566,23.078186596583443,45.588235294117645,1610612758,6,4,2026-02-26T01:16:55Z,510000,False,22.0,164.0,1,left,R. Westbrook 16' pullup Jump Shot (4 PTS) (D. DeRozan 1 AST),"[201566, 201942]",1610612758.0,SAC,pullup,,,,,,Mid-Range,16-24 Center,16.59,Made,Westbrook,R. Westbrook,,,,,,,4.0,,,D. DeRozan,201942.0,1.0,,,,,,,
55,PT07M41.00S,2026-02-26T01:17:10.4Z,1,REGULAR,2pt,Jump Shot,[],1631106,84.83902759526939,71.81372549019608,1610612745,6,4,2026-02-26T01:17:17Z,530000,False,109.0,90.0,1,right,MISS T. Eason 14' pullup Shot,[1631106],1610612745.0,HOU,pullup,,,,,,Mid-Range,8-16 Right,14.14,Missed,Eason,T. Eason,,,,,,,,,,,,,,,,,,,
56,PT07M40.00S,2026-02-26T01:17:11.4Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,6,4,2026-02-26T01:17:17Z,540000,False,,,0,,M. Raynaud REBOUND (Off:1 Def:1),[1642875],1610612758.0,SAC,,,,,,,Mid-Range,8-16 Right,,,Raynaud,M. Raynaud,,,55.0,2.0,1.0,1.0,,,,,,,,,,,,,
57,PT07M32.00S,2026-02-26T01:17:19.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201566,10.068988173455978,57.35294117647059,1610612758,6,4,2026-02-26T01:31:58Z,550000,False,-37.0,42.0,1,left,MISS R. Westbrook running Layup,[201566],1610612758.0,SAC,running,,,,,,In The Paint (Non-RA),0-8 Center,5.59,Missed,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,
58,PT07M32.00S,2026-02-26T01:17:19.8Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,6,4,2026-02-26T01:17:26Z,560000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Sengun,A. Sengun,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,
59,PT07M25.00S,2026-02-26T01:17:26.5Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1631095,76.82325886990802,60.049019607843135,1610612745,6,4,2026-02-26T01:24:24Z,570000,False,50.0,165.0,1,right,MISS J. Smith Jr. 17' running pullup Shot,[1631095],1610612745.0,HOU,running pullup,,,,,,Mid-Range,16-24 Center,17.29,Missed,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,
60,PT07M24.00S,2026-02-26T01:17:27.5Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,6,4,2026-02-26T01:17:37Z,580000,False,,,0,,M. Raynaud REBOUND (Off:1 Def:2),[1642875],1610612758.0,SAC,,,,,,,Mid-Range,16-24 Center,,,Raynaud,M. Raynaud,,,59.0,3.0,2.0,1.0,,,,,,,,,,,,,
61,PT07M21.00S,2026-02-26T01:17:32.2Z,1,REGULAR,turnover,traveling,[],1642875,,,1610612758,6,4,2026-02-26T01:17:43Z,590000,False,,,0,,M. Raynaud traveling TURNOVER (1 TO),[1642875],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),8-16 Center,,,Raynaud,M. Raynaud,,,,,,,,1627964.0,1.0,,,,,,,,,,
62,PT07M11.00S,2026-02-26T01:18:04.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630578,87.33574244415243,52.69607843137255,1610612745,8,4,2026-02-26T01:18:07Z,600000,False,13.0,67.0,1,right,A. Sengun 6' turnaround Hook (4 PTS),[1630578],1610612745.0,HOU,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,6.79,Made,Sengun,A. Sengun,,,,,,,4.0,,,,,,,,,,,,
63,PT06M58.00S,2026-02-26T01:18:17.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,8.886333771353483,40.19607843137255,1610612758,8,6,2026-02-26T01:18:25Z,610000,False,49.0,31.0,1,left,M. Raynaud floating Jump Shot (2 PTS) (D. DeRozan 2 AST),"[1642875, 201942]",1610612758.0,SAC,floating,,,,,,In The Paint (Non-RA),0-8 Center,5.8,Made,Raynaud,M. Raynaud,,,,,,,2.0,,,D. DeRozan,201942.0,2.0,,,,,,,
65,PT06M37.00S,2026-02-26T01:18:37.9Z,1,REGULAR,3pt,Jump Shot,[],1642263,68.41327201051249,80.88235294117648,1610612745,11,6,2026-02-26T01:18:41Z,630000,False,154.0,244.0,1,right,R. Sheppard 28' 3PT  (3 PTS) (A. Sengun 1 AST),"[1642263, 1630578]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,28.91,Made,Sheppard,R. Sheppard,,,,,,,3.0,,,A. Sengun,1630578.0,1.0,,,,,,,
67,PT06M23.00S,2026-02-26T01:18:52.4Z,1,REGULAR,2pt,Jump Shot,[],201566,22.28975032851511,57.107843137254896,1610612758,11,8,2026-02-26T01:18:57Z,650000,False,-36.0,157.0,1,left,R. Westbrook 16' pullup Jump Shot (6 PTS),[201566],1610612758.0,SAC,pullup,,,,,,Mid-Range,16-24 Center,16.1,Made,Westbrook,R. Westbrook,,,,,,,6.0,,,,,,,,,,,,
68,PT06M03.00S,2026-02-26T01:19:11.4Z,1,REGULAR,3pt,Jump Shot,[],201142,92.32917214191852,3.6764705882352944,1610612745,14,8,2026-02-26T01:19:15Z,660000,False,-232.0,20.0,1,right,K. Durant 3PT  (7 PTS) (A. Sengun 2 AST),"[201142, 1630578]",1610612745.0,HOU,,,,,,,Left Corner 3,24+ Left,23.24,Made,Durant,K. Durant,,,,,,,7.0,,,A. Sengun,1630578.0,2.0,,,,,,,
70,PT05M49.00S,2026-02-26T01:19:26.1Z,1,REGULAR,2pt,Jump Shot,[],201566,17.296320630749015,71.56862745098039,1610612758,14,10,2026-02-26T01:19:33Z,680000,False,-108.0,110.0,1,left,R. Westbrook 15' step back Jump Shot (8 PTS),[201566],1610612758.0,SAC,step back,,,,,,Mid-Range,8-16 Left,15.41,Made,Westbrook,R. Westbrook,,,,,,,8.0,,,,,,,,,,,,
72,PT05M30.00S,2026-02-26T01:19:45.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631095,90.62089356110381,50.98039215686274,1610612745,16,10,2026-02-26T01:19:48Z,700000,False,5.0,36.0,1,right,J. Smith Jr. cutting DUNK (2 PTS) (A. Sengun 3 AST),"[1631095, 1630578]",1610612745.0,HOU,cutting,,,,,,Restricted Area,0-8 Center,3.6,Made,Smith Jr.,J. Smith Jr.,,,,,,,2.0,,,A. Sengun,1630578.0,3.0,,,,,,,
74,PT05M29.00S,2026-02-26T01:19:58.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,16,10,2026-02-26T01:19:58Z,720000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M29.00S,2026-02-26T01:22:29.4Z,1,REGULAR,substitution,out,[],1630578,,,1610612758,16,10,2026-02-26T01:22:53Z,730000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,,,,,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,
76,PT05M29.00S,2026-02-26T01:22:29.4Z,1,REGULAR,substitution,out,[],1642263,,,1610612758,16,10,2026-02-26T01:22:53Z,740000,False,,,0,,SUB out: R. Sheppard,[1642263],1610612745.0,HOU,,,,,,,,,,,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,,
77,PT05M29.00S,2026-02-26T01:22:29.4Z,1,REGULAR,substitution,out,[],1630173,,,1610612758,16,10,2026-02-26T01:22:53Z,750000,False,,,0,,SUB out: P. Achiuwa,[1630173],1610612758.0,SAC,,,,,,,,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,
78,PT05M29.00S,2026-02-26T01:22:29.4Z,1,REGULAR,substitution,out,[],201942,,,1610612758,16,10,2026-02-26T01:22:53Z,760000,False,,,0,,SUB out: D. DeRozan,[201942],1610612758.0,SAC,,,,,,,,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,
79,PT05M29.00S,2026-02-26T01:22:29.4Z,1,REGULAR,substitution,in,[],203991,,,1610612758,16,10,2026-02-26T01:22:53Z,770000,False,,,0,,SUB in: C. Capela,[203991],1610612745.0,HOU,,,,,,,,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,
80,PT05M29.00S,2026-02-26T01:22:29.4Z,1,REGULAR,substitution,in,[],1628988,,,1610612758,16,10,2026-02-26T01:22:53Z,780000,False,,,0,,SUB in: A. Holiday,[1628988],1610612745.0,HOU,,,,,,,,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,
81,PT05M29.00S,2026-02-26T01:22:29.4Z,1,REGULAR,substitution,in,[],1642363,,,1610612758,16,10,2026-02-26T01:22:53Z,790000,False,,,0,,SUB in: N. Clifford,[1642363],1610612758.0,SAC,,,,,,,,,,,Clifford,N. Clifford,,,,,,,,,,,,,,,,,,,
82,PT05M29.00S,2026-02-26T01:22:29.4Z,1,REGULAR,substitution,in,[],1631342,,,1610612758,16,10,2026-02-26T01:22:53Z,800000,False,,,0,,SUB in: D. Plowden,[1631342],1610612758.0,SAC,,,,,,,,,,,Plowden,D. Plowden,,,,,,,,,,,,,,,,,,,
84,PT05M13.00S,2026-02-26T01:23:28.7Z,1,REGULAR,3pt,Jump Shot,[],1631099,32.013797634691194,66.91176470588235,1610612758,16,10,2026-02-26T01:23:38Z,820000,False,-85.0,248.0,1,left,MISS K. Murray 26' pullup 3PT,[1631099],1610612758.0,SAC,pullup,,,,,,Above the Break 3,24+ Left Center,26.24,Missed,Murray,K. Murray,,,,,,,,,,,,,,,,,,,
85,PT05M11.00S,2026-02-26T01:23:30.7Z,1,REGULAR,rebound,defensive,[],201142,,,1610612745,16,10,2026-02-26T01:23:38Z,830000,False,,,0,,K. Durant REBOUND (Off:1 Def:1),[201142],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,Durant,K. Durant,,,84.0,2.0,1.0,1.0,,,,,,,,,,,,,
