actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
182,PT10M37.00S,2026-04-02T00:40:32.3Z,2,REGULAR,rebound,defensive,[],1628988,,,1610612745,27,21,2026-04-02T00:40:37Z,1810000,False,,,0,,A. Holiday REBOUND (Off:0 Def:1),[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,Above the Break 3,24+ Left Center,,,,,,,,,181.0,1.0,1.0,0.0,,,,,,,,
183,PT10M29.00S,2026-04-02T00:40:42.3Z,2,REGULAR,foul,personal,['2freethrow'],1631260,,,1610612745,27,21,2026-04-02T00:40:55Z,1820000,False,,,0,,A. Green shooting personal FOUL (1 PF) (Thompson 2 FT),"[1631260, 1641708]",1610612749.0,MIL,shooting,,,Green,A. Green,,,,,In The Paint (Non-RA),0-8 Center,1628954.0,1.0,0.0,Thompson,1641708.0,,,,,,,,,,,,,,,
185,PT10M29.00S,2026-04-02T00:41:07.1Z,2,REGULAR,freethrow,1 of 2,[],1641708,,,1610612745,28,21,2026-04-02T00:41:07Z,1840000,False,,,0,,A. Thompson Free Throw 1 of 2 (1 PTS),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
186,PT10M29.00S,2026-04-02T00:41:07.8Z,2,REGULAR,substitution,out,[],1631250,,,1610612745,28,21,2026-04-02T00:41:15Z,1850000,False,,,0,,SUB out: P. Nance,[1631250],1610612749.0,MIL,,,,Nance,P. Nance,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT10M29.00S,2026-04-02T00:41:07.8Z,2,REGULAR,substitution,in,[],1631172,,,1610612745,28,21,2026-04-02T00:41:15Z,1860000,False,,,0,,SUB in: O. Dieng,[1631172],1610612749.0,MIL,,,,Dieng,O. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT10M29.00S,2026-04-02T00:41:27.6Z,2,REGULAR,freethrow,2 of 2,[],1641708,,,1610612745,29,21,2026-04-02T00:41:27Z,1870000,False,,,0,,A. Thompson Free Throw 2 of 2 (2 PTS),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
189,PT10M12.00S,2026-04-02T00:41:46.0Z,2,REGULAR,3pt,Jump Shot,[],1631172,32.933639947437584,32.59803921568628,1610612749,29,21,2026-04-02T00:41:53Z,1880000,False,87.0,257.0,1,left,MISS O. Dieng 27' step back 3PT,[1631172],1610612749.0,MIL,step back,,,Dieng,O. Dieng,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,27.14,,,,,,,,,,,,
190,PT10M12.00S,2026-04-02T00:41:46.0Z,2,REGULAR,rebound,defensive,[],1641708,,,1610612745,29,21,2026-04-02T00:41:53Z,1890000,False,,,0,,A. Thompson REBOUND (Off:0 Def:3),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,189.0,3.0,3.0,0.0,,,,,,,,
191,PT09M48.00S,2026-04-02T00:42:10.0Z,2,REGULAR,3pt,Jump Shot,[],1631095,69.07030223390277,22.058823529411764,1610612745,29,21,2026-04-02T00:42:15Z,1900000,False,-140.0,238.0,1,right,MISS J. Smith Jr. 27' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,27.61,,,,,,,,,,,,
192,PT09M47.00S,2026-04-02T00:42:11.0Z,2,REGULAR,rebound,defensive,[],1631260,,,1610612749,29,21,2026-04-02T00:42:15Z,1910000,False,,,0,,A. Green REBOUND (Off:1 Def:3),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,191.0,4.0,3.0,1.0,,,,,,,,
