actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
20,PT10M43.00S,2026-02-01T01:42:26.0Z,1,REGULAR,rebound,defensive,[],201142,,,1610612745,0,2,2026-02-01T01:42:31Z,200000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Center,,,19.0,,,,,,1.0,1.0,0.0,,,,,,,,,
21,PT10M32.00S,2026-02-01T01:42:37.5Z,1,REGULAR,3pt,Jump Shot,[],1631106,69.59592641261499,75.98039215686273,1610612745,3,2,2026-02-01T01:42:42Z,210000,False,130.0,233.0,1,right,T. Eason 26' 3PT  (3 PTS) (A. Thompson 1 AST),"[1631106, 1641708]",1610612745.0,HOU,,,,Eason,T. Eason,,,,,Above the Break 3,24+ Right Center,26.7,Made,,,,,,,,,,3.0,A. Thompson,1641708.0,1.0,,,,,
23,PT10M23.00S,2026-02-01T01:42:47.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630230,9.543363994743759,45.83333333333333,1610612742,3,2,2026-02-01T01:42:56Z,230000,False,21.0,37.0,1,left,MISS N. Marshall driving reverse Layup,[1630230],1610612742.0,DAL,driving reverse,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,4.26,Missed,,,,,,,,,,,,,,,,,,
24,PT10M22.00S,2026-02-01T01:42:48.6Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,3,2,2026-02-01T01:42:56Z,240000,False,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,23.0,,,,,,2.0,1.0,1.0,,,,,,,,,
25,PT10M15.00S,2026-02-01T01:42:56.9Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612745,3,2,2026-02-01T01:43:07Z,250000,False,,,0,,D. Gafford shooting personal FOUL (1 PF) (Thompson 2 FT),"[1629655, 1641708]",1610612742.0,DAL,shooting,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,2882.0,1.0,0.0,Thompson,1641708.0,,,,,,,,,,,,
27,PT10M15.00S,2026-02-01T01:43:21.2Z,1,REGULAR,freethrow,1 of 2,[],1641708,,,1610612745,3,2,2026-02-01T01:43:21Z,270000,False,,,0,,MISS A. Thompson Free Throw 1 of 2,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
28,PT10M15.00S,2026-02-01T01:43:21.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,3,2,2026-02-01T01:43:21Z,280000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,
29,PT10M15.00S,2026-02-01T01:43:34.2Z,1,REGULAR,freethrow,2 of 2,[],1641708,,,1610612745,4,2,2026-02-01T01:43:34Z,290000,False,,,0,,A. Thompson Free Throw 2 of 2 (1 PTS),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
30,PT10M04.00S,2026-02-01T01:43:47.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642843,12.565703022339028,49.754901960784316,1610612742,4,2,2026-02-01T01:43:57Z,300000,False,1.0,66.0,1,left,MISS C. Flagg 6' driving Hook,[1642843],1610612742.0,DAL,driving,,,Flagg,C. Flagg,,,,,In The Paint (Non-RA),0-8 Center,6.56,Missed,,,,,,,,,,,,,,,,,,
31,PT10M03.00S,2026-02-01T01:43:48.7Z,1,REGULAR,rebound,defensive,[],201142,,,1610612745,4,2,2026-02-01T01:43:57Z,310000,False,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,30.0,,,,,,2.0,2.0,0.0,,,,,,,,,
32,PT09M58.00S,2026-02-01T01:43:53.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631106,91.27792378449409,47.549019607843135,1610612745,4,2,2026-02-01T01:44:02Z,320000,False,-12.0,29.0,1,right,MISS T. Eason running Layup - blocked,"[1631106, 1642843]",1610612745.0,HOU,running,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,3.2,Missed,,,,,,,,,,,,,,Flagg,1642843.0,,,
33,PT09M58.00S,2026-02-01T01:43:53.3Z,1,REGULAR,block,,[],1642843,,,1610612745,4,2,2026-02-01T01:43:55Z,330000,False,,,0,,C. Flagg BLOCK (1 BLK),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
34,PT09M57.00S,2026-02-01T01:43:54.3Z,1,REGULAR,rebound,defensive,[],1642843,,,1610612742,4,2,2026-02-01T01:44:12Z,340000,False,,,0,,C. Flagg REBOUND (Off:0 Def:1),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Restricted Area,0-8 Center,,,32.0,,,,,,1.0,1.0,0.0,,,,,,,,,
35,PT09M49.00S,2026-02-01T01:44:01.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630230,15.719448094612352,53.67647058823529,1610612742,4,2,2026-02-01T01:44:08Z,350000,False,-18.0,95.0,1,left,MISS N. Marshall 9' pullup Shot,[1630230],1610612742.0,DAL,pullup,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Center,9.71,Missed,,,,,,,,,,,,,,,,,,
36,PT09M48.00S,2026-02-01T01:44:02.4Z,1,REGULAR,rebound,defensive,[],201142,,,1610612745,4,2,2026-02-01T01:44:08Z,360000,False,,,0,,K. Durant REBOUND (Off:0 Def:3),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,35.0,,,,,,3.0,3.0,0.0,,,,,,,,,
37,PT09M32.00S,2026-02-01T01:44:18.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,89.17542706964521,48.28431372549019,1610612745,4,2,2026-02-01T01:44:25Z,370000,False,-9.0,49.0,1,right,MISS A. Sengun driving Hook,[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,5.0,Missed,,,,,,,,,,,,,,,,,,
38,PT09M31.00S,2026-02-01T01:44:19.7Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,4,2,2026-02-01T01:44:25Z,380000,False,,,0,,N. Marshall REBOUND (Off:0 Def:3),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),0-8 Center,,,37.0,,,,,,3.0,3.0,0.0,,,,,,,,,
39,PT09M25.00S,2026-02-01T01:44:26.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630230,8.09789750328515,44.11764705882353,1610612742,4,4,2026-02-01T01:44:34Z,390000,False,29.0,24.0,1,left,N. Marshall driving Layup (2 PTS) (C. Flagg 1 AST),"[1630230, 1642843]",1610612742.0,DAL,driving,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,3.77,Made,,,,,,,,,,2.0,C. Flagg,1642843.0,1.0,,,,,
41,PT09M02.00S,2026-02-01T01:44:48.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,87.99277266754271,53.18627450980392,1610612745,4,4,2026-02-01T01:44:57Z,410000,False,16.0,60.0,1,right,MISS A. Sengun 6' Hook,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,6.25,Missed,,,,,,,,,,,,,,,,,,
42,PT09M01.00S,2026-02-01T01:44:49.7Z,1,REGULAR,rebound,offensive,[],1631106,,,1610612745,4,4,2026-02-01T01:44:57Z,420000,False,,,0,,T. Eason REBOUND (Off:1 Def:0),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,In The Paint (Non-RA),0-8 Center,,,41.0,,,,,,1.0,0.0,1.0,,,,,,,,,
43,PT08M48.00S,2026-02-01T01:45:02.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201142,75.64060446780552,68.62745098039215,1610612745,4,4,2026-02-01T01:45:10Z,430000,False,93.0,176.0,1,right,MISS K. Durant 19' pullup Shot,[201142],1610612745.0,HOU,pullup,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right Center,19.95,Missed,,,,,,,,,,,,,,,,,,
44,PT08M46.00S,2026-02-01T01:45:04.7Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,4,4,2026-02-01T01:45:10Z,440000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Mid-Range,16-24 Right Center,,,43.0,,,,,,1.0,1.0,0.0,,,,,,,,,
45,PT08M40.00S,2026-02-01T01:45:20.6Z,1,REGULAR,foul,personal,[],1631106,,,1610612742,4,4,2026-02-01T01:45:27Z,450000,False,,,0,,T. Eason personal FOUL (1 PF),"[1631106, 1642843]",1610612745.0,HOU,,,,Eason,T. Eason,,,,,In The Paint (Non-RA),0-8 Center,,,,1628481.0,1.0,0.0,Flagg,1642843.0,,,,,,,,,,,,
47,PT08M33.00S,2026-02-01T01:45:45.9Z,1,REGULAR,2pt,Jump Shot,[],1631108,22.815374507227332,39.21568627450981,1610612742,4,4,2026-02-01T01:45:52Z,470000,False,54.0,162.0,1,left,MISS M. Christie 17' pullup Shot,[1631108],1610612742.0,DAL,pullup,,,Christie,M. Christie,,,,,Mid-Range,16-24 Center,17.07,Missed,,,,,,,,,,,,,,,,,,
48,PT08M32.00S,2026-02-01T01:45:46.9Z,1,REGULAR,rebound,defensive,[],201142,,,1610612745,4,4,2026-02-01T01:45:52Z,480000,False,,,0,,K. Durant REBOUND (Off:0 Def:4),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Center,,,47.0,,,,,,4.0,4.0,0.0,,,,,,,,,
49,PT08M22.00S,2026-02-01T01:45:58.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,86.41590013140605,41.42156862745098,1610612745,4,4,2026-02-01T01:46:05Z,490000,False,-43.0,75.0,1,right,MISS K. Durant 8' driving floating Shot,[201142],1610612745.0,HOU,driving floating,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,8.66,Missed,,,,,,,,,,,,,,,,,,
50,PT08M21.00S,2026-02-01T01:45:59.4Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,4,4,2026-02-01T01:46:05Z,500000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),8-16 Center,,,49.0,,,,,,1.0,1.0,0.0,,,,,,,,,
51,PT08M15.00S,2026-02-01T01:46:06.4Z,1,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612742,4,4,2026-02-01T01:46:20Z,510000,False,,,0,,A. Sengun shooting personal FOUL (1 PF) (Flagg 2 FT),"[1630578, 1642843]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,2882.0,1.0,0.0,Flagg,1642843.0,,,,,,,,,,,,
53,PT08M15.00S,2026-02-01T01:46:41.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1642843,,,1610612742,4,5,2026-02-01T01:46:41Z,530000,False,,,0,,C. Flagg Free Throw 1 of 2 (1 PTS),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
54,PT08M15.00S,2026-02-01T01:46:55.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1642843,,,1610612742,4,6,2026-02-01T01:46:56Z,540000,False,,,0,,C. Flagg Free Throw 2 of 2 (2 PTS),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
55,PT08M04.00S,2026-02-01T01:47:12.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,89.83245729303549,45.09803921568628,1610612745,4,6,2026-02-01T01:47:18Z,550000,False,-25.0,43.0,1,right,MISS A. Sengun cutting Layup,[1630578],1610612745.0,HOU,cutting,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,4.96,Missed,,,,,,,,,,,,,,,,,,
57,PT08M04.00S,2026-02-01T01:47:12.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,4,6,2026-02-01T01:47:18Z,570000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,55.0,,,,,,,,,,,,,,,,,
59,PT08M04.00S,2026-02-01T01:47:18.0Z,1,REGULAR,substitution,out,[],1629655,,,1610612745,4,6,2026-02-01T01:47:22Z,590000,False,,,0,,SUB out: D. Gafford,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT08M04.00S,2026-02-01T01:47:18.0Z,1,REGULAR,substitution,in,[],203939,,,1610612745,4,6,2026-02-01T01:47:22Z,600000,False,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M52.00S,2026-02-01T01:47:43.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201142,88.25558475689881,38.48039215686275,1610612745,6,6,2026-02-01T01:47:52Z,610000,False,-58.0,58.0,1,right,K. Durant 8' turnaround fadeaway Jump Shot (2 PTS) (A. Sengun 1 AST),"[201142, 1630578]",1610612745.0,HOU,turnaround fadeaway,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Left,8.17,Made,,,,,,,,,,2.0,A. Sengun,1630578.0,1.0,,,,,
63,PT07M34.00S,2026-02-01T01:48:01.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642843,8.229303547963205,57.35294117647059,1610612742,6,8,2026-02-01T01:48:07Z,630000,False,-37.0,25.0,1,left,C. Flagg driving Layup (4 PTS),[1642843],1610612742.0,DAL,driving,,,Flagg,C. Flagg,,,,,In The Paint (Non-RA),0-8 Center,4.44,Made,,,,,,,,,,4.0,,,,,,,,
64,PT07M18.00S,2026-02-01T01:48:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,90.88370565045992,44.36274509803921,1610612745,6,8,2026-02-01T01:51:01Z,640000,False,-28.0,33.0,1,right,MISS A. Sengun cutting Layup,[1630578],1610612745.0,HOU,cutting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,4.36,Missed,,,,,,,,,,,,,,,,,,
65,PT07M17.00S,2026-02-01T01:48:19.0Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,6,8,2026-02-01T01:50:35Z,650000,False,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,,,64.0,,,,,,1.0,1.0,0.0,,,,,,,,,
66,PT07M10.00S,2026-02-01T01:48:26.8Z,1,REGULAR,foul,personal,['2freethrow'],201142,,,1610612742,6,8,2026-02-01T01:48:47Z,660000,False,,,0,,K. Durant shooting personal FOUL (1 PF) (Marshall 2 FT),"[201142, 1630230]",1610612745.0,HOU,shooting,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,,1626301.0,1.0,0.0,Marshall,1630230.0,,,,,,,,,,,,
68,PT07M10.00S,2026-02-01T01:48:50.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630230,,,1610612742,6,8,2026-02-01T01:49:17Z,680000,False,,,0,,MISS N. Marshall Free Throw 1 of 2,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
69,PT07M10.00S,2026-02-01T01:48:50.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612742,6,8,2026-02-01T01:49:17Z,690000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,
70,PT07M10.00S,2026-02-01T01:48:52.9Z,1,REGULAR,substitution,out,[],1631095,,,1610612742,6,8,2026-02-01T01:48:56Z,700000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M10.00S,2026-02-01T01:48:52.9Z,1,REGULAR,substitution,in,[],1629006,,,1610612742,6,8,2026-02-01T01:48:56Z,710000,False,,,0,,SUB in: J. Okogie,[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M10.00S,2026-02-01T01:48:50.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630230,,,1610612742,6,8,2026-02-01T01:49:17Z,720000,False,,,0,,MISS N. Marshall Free Throw 2 of 2,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
73,PT07M10.00S,2026-02-01T01:48:50.2Z,1,REGULAR,rebound,defensive,[],1631106,,,1610612745,6,8,2026-02-01T01:49:17Z,730000,False,,,0,,T. Eason REBOUND (Off:1 Def:1),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,72.0,,,,,,2.0,1.0,1.0,,,,,,,,,
74,PT06M54.00S,2026-02-01T01:49:29.5Z,1,REGULAR,3pt,Jump Shot,[],1629006,92.9862023653088,96.56862745098039,1610612745,9,8,2026-02-01T01:49:34Z,740000,False,233.0,13.0,1,right,J. Okogie 3PT  (3 PTS) (K. Durant 1 AST),"[1629006, 201142]",1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,Right Corner 3,24+ Right,23.32,Made,,,,,,,,,,3.0,K. Durant,201142.0,1.0,,,,,
76,PT06M42.00S,2026-02-01T01:49:41.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,9.017739816031538,46.32352941176471,1610612742,9,8,2026-02-01T01:49:47Z,760000,False,18.0,32.0,1,left,MISS D. Powell Layup,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,3.72,Missed,,,,,,,,,,,,,,,,,,
77,PT06M41.00S,2026-02-01T01:49:42.0Z,1,REGULAR,rebound,defensive,[],1629006,,,1610612745,9,8,2026-02-01T01:49:47Z,770000,False,,,0,,J. Okogie REBOUND (Off:0 Def:1),[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,Restricted Area,0-8 Center,,,76.0,,,,,,1.0,1.0,0.0,,,,,,,,,
78,PT06M34.00S,2026-02-01T01:49:48.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641708,84.83902759526939,59.31372549019608,1610612745,11,8,2026-02-01T01:49:55Z,780000,False,47.0,90.0,1,right,A. Thompson 10' driving floating Jump Shot (3 PTS),[1641708],1610612745.0,HOU,driving floating,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Center,10.13,Made,,,,,,,,,,3.0,,,,,,,,
79,PT06M18.00S,2026-02-01T01:50:03.1Z,1,REGULAR,3pt,Jump Shot,[],1629023,27.151773981603156,80.88235294117648,1610612742,11,8,2026-02-01T01:50:10Z,790000,False,-154.0,203.0,1,left,MISS P. Washington 25' 3PT,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,25.48,Missed,,,,,,,,,,,,,,,,,,
80,PT06M17.00S,2026-02-01T01:50:04.1Z,1,REGULAR,rebound,defensive,[],1631106,,,1610612745,11,8,2026-02-01T01:50:10Z,800000,False,,,0,,T. Eason REBOUND (Off:1 Def:2),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Above the Break 3,24+ Left Center,,,79.0,,,,,,3.0,2.0,1.0,,,,,,,,,
81,PT06M12.00S,2026-02-01T01:50:09.9Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],201142,89.30683311432325,70.83333333333334,1610612745,13,8,2026-02-01T04:13:19Z,810000,False,104.0,48.0,1,right,K. Durant 11' running Jump Shot (4 PTS) (T. Eason 1 AST),"[201142, 1631106]",1610612745.0,HOU,running,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,11.47,Made,,,,,,,,,,4.0,T. Eason,1631106.0,1.0,,,,,
83,PT06M12.00S,2026-02-01T01:50:17.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,13,8,2026-02-01T01:50:17Z,830000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M12.00S,2026-02-01T01:53:23.6Z,1,REGULAR,substitution,out,[],1630230,,,1610612742,13,8,2026-02-01T01:53:51Z,840000,False,,,0,,SUB out: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
