actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
84,PT06M04.00S,2026-02-24T02:59:49.7Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,17,11,2026-02-24T02:59:55Z,840000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:2),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,83.0,2.0,2.0,0.0,,,,
85,PT05M57.00S,2026-02-24T02:59:57.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641708,6.389618922470433,48.77450980392157,1610612745,19,11,2026-02-24T03:00:56Z,850000,False,6.0,8.0,1,left,A. Thompson running finger roll Layup (6 PTS),[1641708],1610612745.0,HOU,running finger roll,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,0.97,Made,6.0,,,,,,,,,,,,,,,,,
86,PT05M36.00S,2026-02-24T03:00:17.1Z,1,REGULAR,3pt,Jump Shot,[],1642271,68.28186596583443,32.35294117647059,1610612762,19,14,2026-02-24T03:00:21Z,860000,False,-88.0,246.0,1,right,K. Filipowski 26' 3PT  (5 PTS) (I. Collier 1 AST),"[1642271, 1642268]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Left Center,26.11,Made,5.0,I. Collier,1642268.0,1.0,,,,,,,,,,,,,,
88,PT05M10.00S,2026-02-24T03:00:43.4Z,1,REGULAR,3pt,Jump Shot,[],201142,29.38567674113009,75.24509803921569,1610612745,22,14,2026-02-24T03:00:50Z,880000,False,-126.0,224.0,1,left,K. Durant 25' 3PT  (3 PTS) (T. Eason 1 AST),"[201142, 1631106]",1610612745.0,HOU,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,25.68,Made,3.0,T. Eason,1631106.0,1.0,,,,,,,,,,,,,,
90,PT04M51.00S,2026-02-24T03:01:03.0Z,1,REGULAR,turnover,lost ball,[],1628374,,,1610612762,22,14,2026-02-24T03:01:19Z,900000,False,,,0,,L. Markkanen lost ball TURNOVER (2 TO),"[1628374, 1641708]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2.0,Thompson,1641708.0,,,,,,,,,,,
91,PT04M51.00S,2026-02-24T03:01:03.0Z,1,REGULAR,steal,,[],1641708,,,1610612745,22,14,2026-02-24T03:01:19Z,910000,False,,,0,,A. Thompson STEAL (1 STL),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
92,PT04M48.00S,2026-02-24T03:01:07.9Z,1,REGULAR,turnover,out-of-bounds,[],1631095,,,1610612745,22,14,2026-02-24T03:12:08Z,920000,False,,,0,,J. Smith Jr. bad pass out-of-bounds TURNOVER (2 TO),[1631095],1610612745.0,HOU,bad pass,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,2.0,,,202053.0,,,,,,,,,,
93,PT04M48.00S,2026-02-24T03:01:21.2Z,1,REGULAR,substitution,out,[],1642268,,,1610612762,22,14,2026-02-24T03:01:34Z,930000,False,,,0,,SUB out: I. Collier,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M48.00S,2026-02-24T03:01:21.2Z,1,REGULAR,substitution,out,[],1642271,,,1610612762,22,14,2026-02-24T03:01:34Z,940000,False,,,0,,SUB out: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M48.00S,2026-02-24T03:01:21.2Z,1,REGULAR,substitution,out,[],1628374,,,1610612762,22,14,2026-02-24T03:01:34Z,950000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M48.00S,2026-02-24T03:01:21.2Z,1,REGULAR,substitution,in,[],1631246,,,1610612762,22,14,2026-02-24T03:01:34Z,960000,False,,,0,,SUB in: V. Williams Jr.,[1631246],1610612762.0,UTA,,,,Williams Jr.,V. Williams Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M48.00S,2026-02-24T03:01:21.2Z,1,REGULAR,substitution,in,[],201567,,,1610612762,22,14,2026-02-24T03:01:34Z,970000,False,,,0,,SUB in: K. Love,[201567],1610612762.0,UTA,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M48.00S,2026-02-24T03:01:21.2Z,1,REGULAR,substitution,in,[],1629723,,,1610612762,22,14,2026-02-24T03:01:34Z,980000,False,,,0,,SUB in: J. Konchar,[1629723],1610612762.0,UTA,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M48.00S,2026-02-24T03:01:21.2Z,1,REGULAR,substitution,out,[],1641708,,,1610612762,22,14,2026-02-24T03:01:52Z,985000,False,,,0,,SUB out: A. Thompson,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M48.00S,2026-02-24T03:01:21.2Z,1,REGULAR,substitution,out,[],1630578,,,1610612762,22,14,2026-02-24T03:01:52Z,987500,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M48.00S,2026-02-24T03:01:21.2Z,1,REGULAR,substitution,in,[],203991,,,1610612762,22,14,2026-02-24T03:01:52Z,988750,False,,,0,,SUB in: C. Capela,[203991],1610612745.0,HOU,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M48.00S,2026-02-24T03:01:21.2Z,1,REGULAR,substitution,in,[],1642263,,,1610612762,22,14,2026-02-24T03:01:52Z,989375,False,,,0,,SUB in: R. Sheppard,[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M36.00S,2026-02-24T03:01:36.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629723,92.46057818659659,56.86274509803921,1610612762,22,16,2026-02-24T03:05:17Z,990000,False,34.0,18.0,1,right,J. Konchar driving Layup (2 PTS),[1629723],1610612762.0,UTA,driving,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,3.89,Made,2.0,,,,,,,,,,,,,,,,,
104,PT04M17.00S,2026-02-24T03:01:55.1Z,1,REGULAR,3pt,Jump Shot,[],1631095,5.995400788436268,96.81372549019608,1610612745,25,16,2026-02-24T03:02:00Z,1000000,False,-234.0,4.0,1,left,J. Smith Jr. 3PT  (14 PTS) (R. Sheppard 1 AST),"[1631095, 1642263]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Left Corner 3,24+ Left,23.41,Made,14.0,R. Sheppard,1642263.0,1.0,,,,,,,,,,,,,,
107,PT04M02.00S,2026-02-24T03:02:15.4Z,1,REGULAR,substitution,out,[],1631106,,,1610612762,25,16,2026-02-24T03:02:23Z,1030000,False,,,0,,SUB out: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M02.00S,2026-02-24T03:02:15.4Z,1,REGULAR,substitution,in,[],1627827,,,1610612762,25,16,2026-02-24T03:02:23Z,1040000,False,,,0,,SUB in: D. Finney-Smith,[1627827],1610612745.0,HOU,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M57.00S,2026-02-24T03:02:36.0Z,1,REGULAR,3pt,Jump Shot,[],1631246,91.5407358738502,5.147058823529411,1610612762,25,16,2026-02-24T03:02:40Z,1050000,False,-224.0,27.0,1,right,MISS V. Williams Jr. 3PT,[1631246],1610612762.0,UTA,,,,Williams Jr.,V. Williams Jr.,,,,,Left Corner 3,24+ Left,22.59,Missed,,,,,,,,,,,,,,,,,,
110,PT03M55.00S,2026-02-24T03:02:38.0Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,25,16,2026-02-24T03:02:40Z,1060000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:3),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,109.0,3.0,3.0,0.0,,,,
111,PT03M51.00S,2026-02-24T03:02:42.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642263,8.886333771353483,4.166666666666666,1610612745,28,16,2026-02-24T03:02:52Z,1070000,False,229.0,31.0,1,left,R. Sheppard 3PT running (3 PTS) (K. Durant 3 AST),"[1642263, 201142]",1610612745.0,HOU,running,,,Sheppard,R. Sheppard,,,,,Right Corner 3,24+ Right,23.13,Made,3.0,K. Durant,201142.0,3.0,,,,,,,,,,,,,,
113,PT03M34.00S,2026-02-24T03:02:58.5Z,1,REGULAR,3pt,Jump Shot,[],1631246,83.65637319316689,96.07843137254902,1610612762,28,16,2026-02-24T03:03:05Z,1090000,False,230.0,101.0,1,right,MISS V. Williams Jr. 25' 3PT,[1631246],1610612762.0,UTA,,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Right Center,25.16,Missed,,,,,,,,,,,,,,,,,,
114,PT03M33.00S,2026-02-24T03:02:59.5Z,1,REGULAR,rebound,offensive,[],1629723,,,1610612762,28,16,2026-02-24T03:03:05Z,1100000,False,,,0,,J. Konchar REBOUND (Off:1 Def:0),[1629723],1610612762.0,UTA,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,113.0,1.0,0.0,1.0,,,,
115,PT03M29.00S,2026-02-24T03:03:03.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201567,67.36202365308804,43.872549019607845,1610612762,28,16,2026-02-24T03:03:10Z,1110000,False,-31.0,254.0,1,right,MISS K. Love 25' 3PT,[201567],1610612762.0,UTA,,,,Love,K. Love,,,,,Above the Break 3,24+ Center,25.61,Missed,,,,,,,,,,,,,,,,,,
116,PT03M27.00S,2026-02-24T03:03:05.8Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612745,28,16,2026-02-24T03:03:19Z,1120000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612745.0,HOU,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,115.0,1.0,1.0,0.0,,,,
117,PT03M26.00S,2026-02-24T03:03:11.2Z,1,REGULAR,turnover,out-of-bounds,[],1627827,,,1610612745,28,16,2026-02-24T03:03:16Z,1130000,False,,,0,,D. Finney-Smith step out-of-bounds TURNOVER (1 TO),[1627827],1610612745.0,HOU,step,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,8-16 Right,,,,,,,1.0,,,1626301.0,,,,,,,,,,
118,PT03M20.00S,2026-02-24T03:03:31.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642846,81.8166885676741,36.27450980392157,1610612762,28,16,2026-02-24T03:03:38Z,1140000,False,-69.0,118.0,1,right,MISS A. Bailey 13' turnaround Shot,[1642846],1610612762.0,UTA,turnaround,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),8-16 Center,13.68,Missed,,,,,,,,,,,,,,,,,,
119,PT03M19.00S,2026-02-24T03:03:32.7Z,1,REGULAR,rebound,defensive,[],201142,,,1610612745,28,16,2026-02-24T03:03:38Z,1150000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,118.0,1.0,1.0,0.0,,,,
120,PT03M06.00S,2026-02-24T03:03:45.0Z,1,REGULAR,3pt,Jump Shot,[],1631095,27.020367936925098,86.27450980392157,1610612745,28,16,2026-02-24T03:03:51Z,1160000,False,-181.0,201.0,1,left,MISS J. Smith Jr. 27' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,27.11,Missed,,,,,,,,,,,,,,,,,,
121,PT03M04.00S,2026-02-24T03:03:47.0Z,1,REGULAR,rebound,defensive,[],1631246,,,1610612762,28,16,2026-02-24T03:03:51Z,1170000,False,,,0,,V. Williams Jr. REBOUND (Off:0 Def:1),[1631246],1610612762.0,UTA,,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,120.0,1.0,1.0,0.0,,,,
122,PT03M00.00S,2026-02-24T03:03:53.6Z,1,REGULAR,foul,personal,['2freethrow'],1627827,,,1610612762,28,16,2026-02-24T03:04:06Z,1180000,False,,,0,,D. Finney-Smith shooting personal FOUL (1 PF) (Williams Jr. 2 FT),"[1627827, 1631246]",1610612745.0,HOU,shooting,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,202053.0,,,,,,,1.0,0.0,Williams Jr.,1631246.0
124,PT03M00.00S,2026-02-24T03:04:15.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631246,,,1610612762,28,17,2026-02-24T03:04:45Z,1200000,False,,,0,,V. Williams Jr. Free Throw 1 of 2 (1 PTS),[1631246],1610612762.0,UTA,,,,Williams Jr.,V. Williams Jr.,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
125,PT03M00.00S,2026-02-24T03:04:17.5Z,1,REGULAR,substitution,out,[],201142,,,1610612762,28,17,2026-02-24T03:04:28Z,1210000,False,,,0,,SUB out: K. Durant,[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M00.00S,2026-02-24T03:04:17.5Z,1,REGULAR,substitution,out,[],1631095,,,1610612762,28,17,2026-02-24T03:04:28Z,1220000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M00.00S,2026-02-24T03:04:17.5Z,1,REGULAR,substitution,out,[],1642846,,,1610612762,28,17,2026-02-24T03:04:28Z,1230000,False,,,0,,SUB out: A. Bailey,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M00.00S,2026-02-24T03:04:17.5Z,1,REGULAR,substitution,in,[],1630578,,,1610612762,28,17,2026-02-24T03:04:28Z,1240000,False,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT03M00.00S,2026-02-24T03:04:17.5Z,1,REGULAR,substitution,in,[],1641708,,,1610612762,28,17,2026-02-24T03:04:28Z,1250000,False,,,0,,SUB in: A. Thompson,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT03M00.00S,2026-02-24T03:04:17.5Z,1,REGULAR,substitution,in,[],1628374,,,1610612762,28,17,2026-02-24T03:04:28Z,1260000,False,,,0,,SUB in: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT03M00.00S,2026-02-24T03:04:15.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631246,,,1610612762,28,17,2026-02-24T03:04:45Z,1270000,False,,,0,,MISS V. Williams Jr. Free Throw 2 of 2,[1631246],1610612762.0,UTA,,,,Williams Jr.,V. Williams Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
132,PT03M00.00S,2026-02-24T03:04:15.8Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,28,17,2026-02-24T03:04:45Z,1280000,False,,,0,,A. Sengun REBOUND (Off:0 Def:3),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,131.0,3.0,3.0,0.0,,,,
133,PT02M46.00S,2026-02-24T03:04:51.3Z,1,REGULAR,3pt,Jump Shot,[],1627827,21.76412614980289,10.294117647058822,1610612745,28,17,2026-02-24T03:05:00Z,1290000,False,199.0,152.0,1,left,MISS D. Finney-Smith 25' 3PT,[1627827],1610612745.0,HOU,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Right Center,25.01,Missed,,,,,,,,,,,,,,,,,,
134,PT02M45.00S,2026-02-24T03:04:52.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,28,17,2026-02-24T03:05:00Z,1300000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,133.0,,,,,,,
135,PT02M45.00S,2026-02-24T03:04:57.8Z,1,REGULAR,foul,personal,[],1631246,,,1610612745,28,17,2026-02-24T03:05:13Z,1310000,False,,,0,,V. Williams Jr. loose ball personal FOUL (1 PF),"[1631246, 1630578]",1610612762.0,UTA,loose ball,,,Williams Jr.,V. Williams Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,202053.0,,,,,,,1.0,0.0,Sengun,1630578.0
137,PT02M35.00S,2026-02-24T03:05:23.5Z,1,REGULAR,turnover,bad pass,[],203991,,,1610612745,28,17,2026-02-24T03:05:27Z,1330000,False,,,0,,C. Capela bad pass TURNOVER (1 TO),"[203991, 1628374]",1610612745.0,HOU,,,,Capela,C. Capela,,,,,Mid-Range,8-16 Right,,,,,,,1.0,Markkanen,1628374.0,,,,,,,,,,,
138,PT02M35.00S,2026-02-24T03:05:23.5Z,1,REGULAR,steal,,[],1628374,,,1610612762,28,17,2026-02-24T03:15:12Z,1340000,False,,,0,,L. Markkanen STEAL (1 STL),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
139,PT02M25.00S,2026-02-24T03:05:36.2Z,1,REGULAR,foul,personal,['2freethrow'],1627827,,,1610612762,28,17,2026-02-24T03:05:49Z,1350000,False,,,0,,D. Finney-Smith shooting personal FOUL (2 PF) (Markkanen 2 FT),"[1627827, 1628374]",1610612745.0,HOU,shooting,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,202053.0,,,,,,,2.0,0.0,Markkanen,1628374.0
141,PT02M25.00S,2026-02-24T03:05:57.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628374,,,1610612762,28,18,2026-02-24T03:05:57Z,1370000,False,,,0,,L. Markkanen Free Throw 1 of 2 (3 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
142,PT02M25.00S,2026-02-24T03:06:11.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628374,,,1610612762,28,19,2026-02-24T03:06:11Z,1380000,False,,,0,,L. Markkanen Free Throw 2 of 2 (4 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
143,PT02M11.00S,2026-02-24T03:06:28.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641708,9.149145860709593,50.0,1610612745,30,19,2026-02-24T03:06:32Z,1390000,False,0.0,34.0,1,left,A. Thompson cutting DUNK (8 PTS) (A. Sengun 2 AST),"[1641708, 1630578]",1610612745.0,HOU,cutting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,3.35,Made,8.0,A. Sengun,1630578.0,2.0,,,,,,,,,,,,,,
145,PT01M57.00S,2026-02-24T03:06:42.1Z,1,REGULAR,3pt,Jump Shot,[],1629004,83.52496714848883,96.07843137254902,1610612762,30,19,2026-02-24T03:06:52Z,1410000,False,230.0,102.0,1,right,MISS S. Mykhailiuk 25' step back 3PT,[1629004],1610612762.0,UTA,step back,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Right Center,25.21,Missed,,,,,,,,,,,,,,,,,,
146,PT01M56.00S,2026-02-24T03:06:43.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,30,19,2026-02-24T03:06:52Z,1420000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,145.0,,,,,,,
148,PT01M46.00S,2026-02-24T03:07:01.4Z,1,REGULAR,3pt,Jump Shot,[],1642263,24.129434954007884,91.42156862745098,1610612745,33,19,2026-02-24T03:07:05Z,1440000,False,-207.0,174.0,1,left,R. Sheppard 27' 3PT  (6 PTS) (A. Sengun 3 AST),"[1642263, 1630578]",1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,Above the Break 3,24+ Left Center,27.07,Made,6.0,A. Sengun,1630578.0,3.0,,,,,,,,,,,,,,
150,PT01M32.00S,2026-02-24T03:07:14.6Z,1,REGULAR,3pt,Jump Shot,[],1628374,89.43823915900131,4.166666666666666,1610612762,33,19,2026-02-24T03:07:26Z,1460000,False,-229.0,47.0,1,right,MISS L. Markkanen 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Left Corner 3,24+ Left,23.39,Missed,,,,,,,,,,,,,,,,,,
151,PT01M31.00S,2026-02-24T03:07:15.6Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,33,19,2026-02-24T03:07:26Z,1470000,False,,,0,,A. Thompson REBOUND (Off:0 Def:3),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,150.0,3.0,3.0,0.0,,,,
152,PT01M21.00S,2026-02-24T03:07:25.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,7.178055190538765,55.392156862745104,1610612745,35,19,2026-02-24T03:07:33Z,1480000,False,-27.0,15.0,1,left,C. Capela cutting DUNK (2 PTS) (A. Thompson 3 AST),"[203991, 1641708]",1610612745.0,HOU,cutting,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,3.09,Made,2.0,A. Thompson,1641708.0,3.0,,,,,,,,,,,,,,
154,PT01M10.00S,2026-02-24T03:07:36.5Z,1,REGULAR,turnover,bad pass,[],1631246,,,1610612762,35,19,2026-02-24T03:07:40Z,1500000,False,,,0,,V. Williams Jr. bad pass TURNOVER (1 TO),"[1631246, 1641708]",1610612762.0,UTA,,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Thompson,1641708.0,,,,,,,,,,,
155,PT01M10.00S,2026-02-24T03:07:36.5Z,1,REGULAR,steal,,[],1641708,,,1610612745,35,19,2026-02-24T03:07:38Z,1510000,False,,,0,,A. Thompson STEAL (2 STL),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
156,PT01M07.00S,2026-02-24T03:07:39.5Z,1,REGULAR,turnover,lost ball,[],1641708,,,1610612745,35,19,2026-02-24T03:07:42Z,1520000,False,,,0,,A. Thompson lost ball TURNOVER (2 TO),"[1641708, 1631246]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Mid-Range,8-16 Left,,,,,,,2.0,Williams Jr.,1631246.0,,,,,,,,,,,
157,PT01M07.00S,2026-02-24T03:07:39.5Z,1,REGULAR,steal,,[],1631246,,,1610612762,35,19,2026-02-24T03:07:40Z,1530000,False,,,0,,V. Williams Jr. STEAL (1 STL),[1631246],1610612762.0,UTA,,,,Williams Jr.,V. Williams Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
158,PT01M01.00S,2026-02-24T03:07:45.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629004,69.20170827858082,71.56862745098039,1610612762,35,19,2026-02-24T03:07:59Z,1540000,False,108.0,237.0,1,right,MISS S. Mykhailiuk 26' running 3PT,[1629004],1610612762.0,UTA,running,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Right Center,26.04,Missed,,,,,,,,,,,,,,,,,,
159,PT00M57.20S,2026-02-24T03:07:49.7Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,35,19,2026-02-24T03:07:53Z,1550000,False,,,0,,A. Thompson REBOUND (Off:0 Def:4),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,158.0,4.0,4.0,0.0,,,,
160,PT00M40.90S,2026-02-24T03:08:06.7Z,1,REGULAR,3pt,Jump Shot,[],1642263,30.831143232588698,72.30392156862744,1610612745,35,19,2026-02-24T03:08:12Z,1560000,False,-112.0,237.0,1,left,MISS R. Sheppard 26' 3PT,[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,Above the Break 3,24+ Left Center,26.22,Missed,,,,,,,,,,,,,,,,,,
161,PT00M37.90S,2026-02-24T03:08:09.7Z,1,REGULAR,rebound,offensive,[],203991,,,1610612745,35,19,2026-02-24T03:08:12Z,1570000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612745.0,HOU,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,160.0,1.0,0.0,1.0,,,,
162,PT00M36.10S,2026-02-24T03:08:11.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203991,10.5946123521682,44.6078431372549,1610612745,35,19,2026-02-24T03:08:15Z,1580000,False,27.0,47.0,1,left,MISS C. Capela turnaround Hook,[203991],1610612745.0,HOU,turnaround,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,5.43,Missed,,,,,,,,,,,,,,,,,,
163,PT00M36.10S,2026-02-24T03:08:11.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,35,19,2026-02-24T03:08:15Z,1590000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,162.0,,,,,,,
165,PT00M35.60S,2026-02-24T03:08:16.5Z,1,REGULAR,substitution,out,[],203991,,,1610612762,35,19,2026-02-24T03:08:26Z,1610000,False,,,0,,SUB out: C. Capela,[203991],1610612745.0,HOU,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M35.60S,2026-02-24T03:08:16.5Z,1,REGULAR,substitution,out,[],1629004,,,1610612762,35,19,2026-02-24T03:08:26Z,1620000,False,,,0,,SUB out: S. Mykhailiuk,[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M35.60S,2026-02-24T03:08:16.5Z,1,REGULAR,substitution,in,[],1631106,,,1610612762,35,19,2026-02-24T03:08:26Z,1630000,False,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
