actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
18,PT10M59.00S,2023-01-04T01:12:05.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203078,,,1610612764,2,3,2023-01-04T01:12:05Z,180000,False,,,0,,B. Beal Free Throw 1 of 2 (1 PTS),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,Made,,1.0,,,,,,,,,,,,,,,,
20,PT10M59.00S,2023-01-04T01:12:20.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203078,,,1610612764,2,4,2023-01-04T01:12:20Z,190000,False,,,0,,B. Beal Free Throw 2 of 2 (2 PTS),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,Made,,2.0,,,,,,,,,,,,,,,,
21,PT10M47.00S,2023-01-04T01:12:36.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,93.38042049934296,51.71568627450981,1610612749,2,4,2023-01-04T01:12:41Z,200000,False,9.0,10.0,1,right,MISS G. Antetokounmpo driving Layup,[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.3,Missed,,,,,,,,,,,,,,,,,,
22,PT10M47.00S,2023-01-04T01:12:39.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,2,4,2023-01-04T01:12:39Z,210000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,21.0,,,,,,,,,,,,,,,,,
24,PT10M41.00S,2023-01-04T01:12:59.7Z,1,REGULAR,turnover,lost ball,[],203507,,,1610612749,2,4,2023-01-04T01:13:16Z,230000,False,,,0,,G. Antetokounmpo lost ball TURNOVER (1 TO),"[203507, 203078]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Beal,203078.0
25,PT10M41.00S,2023-01-04T01:12:59.7Z,1,REGULAR,steal,,[],203078,,,1610612764,2,4,2023-01-04T01:13:02Z,240000,False,,,0,,B. Beal STEAL (1 STL),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT10M34.00S,2023-01-04T01:13:07.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628398,11.251642575558476,60.29411764705882,1610612764,2,4,2023-01-04T01:14:40Z,250000,False,-51.0,53.0,1,left,MISS K. Kuzma 7' driving floating bank Shot,[1628398],1610612764.0,WAS,driving floating bank,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,7.41,Missed,,,,,,,,,,,,,,,,,,
27,PT10M32.00S,2023-01-04T01:13:09.2Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,2,4,2023-01-04T01:14:06Z,260000,False,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,26.0,,,,,,,1.0,0.0,1.0,,,,,,,,
28,PT10M32.00S,2023-01-04T01:13:10.7Z,1,REGULAR,foul,personal,['2freethrow'],1628960,,,1610612764,2,4,2023-01-04T01:13:28Z,270000,False,,,0,,G. Allen shooting personal FOUL (1 PF) (Gafford 2 FT),"[1628960, 1629655]",1610612749.0,MIL,shooting,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1830.0,1.0,0.0,Gafford,1629655.0,,,
30,PT10M32.00S,2023-01-04T01:13:35.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1629655,,,1610612764,2,4,2023-01-04T01:13:35Z,290000,False,,,0,,MISS D. Gafford Free Throw 1 of 2,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
31,PT10M32.00S,2023-01-04T01:13:35.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,2,4,2023-01-04T01:13:35Z,300000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,
32,PT10M32.00S,2023-01-04T01:13:52.1Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1629655,,,1610612764,2,5,2023-01-04T01:13:52Z,310000,False,,,0,,D. Gafford Free Throw 2 of 2 (3 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
33,PT10M21.00S,2023-01-04T01:14:05.0Z,1,REGULAR,3pt,Jump Shot,[],1626192,72.22404730617609,16.176470588235293,1610612749,2,5,2023-01-04T01:14:10Z,320000,False,-169.0,209.0,1,right,MISS P. Connaughton 26' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Above the Break 3,24+ Left Center,26.85,Missed,,,,,,,,,,,,,,,,,,
34,PT10M18.00S,2023-01-04T01:14:07.3Z,1,REGULAR,rebound,offensive,[],1628960,,,1610612749,2,5,2023-01-04T01:14:07Z,330000,False,,,0,,G. Allen REBOUND (Off:1 Def:0),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,,,33.0,,,,,,,1.0,0.0,1.0,,,,,,,,
35,PT10M16.00S,2023-01-04T01:14:09.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201572,76.03482260183968,7.8431372549019605,1610612749,2,5,2023-01-04T01:14:15Z,340000,False,-211.0,173.0,1,right,MISS B. Lopez 27' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,27.26,Missed,,,,,,,,,,,,,,,,,,
36,PT10M13.00S,2023-01-04T01:14:12.9Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,2,5,2023-01-04T01:14:15Z,350000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,35.0,,,,,,,1.0,1.0,0.0,,,,,,,,
37,PT09M58.00S,2023-01-04T01:14:27.2Z,1,REGULAR,3pt,Jump Shot,[],1628398,37.92706964520368,47.549019607843135,1610612764,2,5,2023-01-04T01:14:34Z,360000,False,12.0,304.0,1,left,MISS K. Kuzma 30' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,30.42,Missed,,,,,,,,,,,,,,,,,,
38,PT09M54.00S,2023-01-04T01:14:31.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,5,2023-01-04T01:14:34Z,370000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,37.0,,,,,,,1.0,1.0,0.0,,,,,,,,
39,PT09M51.00S,2023-01-04T01:14:39.2Z,1,REGULAR,foul,personal,['2freethrow'],204001,,,1610612749,2,5,2023-01-04T01:14:50Z,380000,False,,,0,,K. Porzingis shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[204001, 203507]",1610612764.0,WAS,shooting,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1830.0,1.0,0.0,Antetokounmpo,203507.0,,,
41,PT09M51.00S,2023-01-04T01:15:13.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203507,,,1610612749,3,5,2023-01-04T01:15:13Z,400000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,1.0,,,,,,,,,,,,,,,,
42,PT09M51.00S,2023-01-04T01:15:32.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203507,,,1610612749,4,5,2023-01-04T01:15:32Z,410000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (2 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,2.0,,,,,,,,,,,,,,,,
43,PT09M39.00S,2023-01-04T01:15:49.0Z,1,REGULAR,foul,personal,[],203507,,,1610612764,4,5,2023-01-04T01:16:01Z,420000,False,,,0,,G. Antetokounmpo personal FOUL (1 PF),"[203507, 204001]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1830.0,1.0,0.0,Porzingis,204001.0,,,
45,PT09M39.00S,2023-01-04T01:16:01.9Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612764,4,5,2023-01-04T01:16:07Z,440000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,1830.0,,,,,,,
46,PT09M34.00S,2023-01-04T01:16:15.6Z,1,REGULAR,3pt,Jump Shot,[],1628420,34.773324572930356,52.20588235294118,1610612764,4,5,2023-01-04T01:16:21Z,450000,False,-11.0,274.0,1,left,MISS M. Morris 27' pullup 3PT,[1628420],1610612764.0,WAS,pullup,,,Morris,M. Morris,,,,,Above the Break 3,24+ Center,27.46,Missed,,,,,,,,,,,,,,,,,,
47,PT09M30.00S,2023-01-04T01:16:18.9Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,4,5,2023-01-04T01:16:18Z,460000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,,,46.0,,,,,,,1.0,1.0,0.0,,,,,,,,
48,PT09M22.00S,2023-01-04T01:16:26.3Z,1,REGULAR,3pt,Jump Shot,[],1626192,69.85873850197109,14.215686274509803,1610612749,4,5,2023-01-04T01:16:32Z,470000,False,-179.0,231.0,1,right,MISS P. Connaughton 29' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Above the Break 3,24+ Left Center,29.2,Missed,,,,,,,,,,,,,,,,,,
49,PT09M19.00S,2023-01-04T01:16:29.3Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,4,5,2023-01-04T01:16:32Z,480000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,,,48.0,,,,,,,1.0,1.0,0.0,,,,,,,,
50,PT09M15.00S,2023-01-04T01:16:33.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203078,5.863994743758213,97.54901960784314,1610612764,4,5,2023-01-04T01:17:36Z,490000,False,-238.0,3.0,1,left,MISS B. Beal running 3PT,[203078],1610612764.0,WAS,running,,,Beal,B. Beal,,,,,Left Corner 3,24+ Left,23.77,Missed,,,,,,,,,,,,,,,,,,
51,PT09M11.00S,2023-01-04T01:16:37.4Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,4,5,2023-01-04T01:16:40Z,500000,False,,,0,,B. Lopez REBOUND (Off:0 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Left Corner 3,24+ Left,,,50.0,,,,,,,2.0,2.0,0.0,,,,,,,,
70,PT08M58.00S,2023-01-04T01:16:42.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,90.48948751642575,49.754901960784316,1610612749,4,5,2023-01-04T01:20:59Z,505000,False,-1.0,37.0,1,right,MISS G. Antetokounmpo driving Layup - blocked,"[203507, 1628398]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,3.69,Missed,,,,,,Kuzma,1628398.0,,,,,,,,,,,
71,PT08M58.00S,2023-01-04T01:16:42.1Z,1,REGULAR,block,,[],1628398,,,1610612749,4,5,2023-01-04T01:20:59Z,507500,False,,,0,,K. Kuzma BLOCK (1 BLK),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
72,PT08M58.00S,2023-01-04T01:16:42.1Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612764,4,5,2023-01-04T01:20:59Z,508750,False,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Restricted Area,0-8 Center,,,70.0,,,,,,,1.0,1.0,0.0,,,,,,,,
54,PT08M52.00S,2023-01-04T01:16:57.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203078,5.995400788436268,52.69607843137255,1610612764,4,7,2023-01-04T01:21:09Z,530000,False,-13.0,4.0,1,left,B. Beal running Layup (4 PTS) (K. Kuzma 1 AST),"[203078, 1628398]",1610612764.0,WAS,running,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,1.41,Made,,4.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,,,
56,PT08M31.00S,2023-01-04T01:17:17.3Z,1,REGULAR,3pt,Jump Shot,[],1626192,71.43561103810775,77.94117647058823,1610612749,7,7,2023-01-04T01:17:21Z,550000,False,140.0,216.0,1,right,P. Connaughton 25' 3PT  (3 PTS) (B. Lopez 1 AST),"[1626192, 201572]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Above the Break 3,24+ Right Center,25.72,Made,,3.0,B. Lopez,201572.0,1.0,,,,,,,,,,,,,
58,PT08M18.00S,2023-01-04T01:17:34.4Z,1,REGULAR,foul,personal,['2freethrow'],201572,,,1610612764,7,7,2023-01-04T01:18:01Z,570000,False,,,0,,B. Lopez shooting personal FOUL (2 PF) (Porzingis 2 FT),"[201572, 204001]",1610612749.0,MIL,shooting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1830.0,2.0,0.0,Porzingis,204001.0,,,
60,PT08M18.00S,2023-01-04T01:18:02.0Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612764,7,8,2023-01-04T01:18:02Z,590000,False,,,0,,K. Porzingis Free Throw 1 of 2 (1 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,Made,,1.0,,,,,,,,,,,,,,,,
61,PT08M18.00S,2023-01-04T01:18:17.3Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612764,7,9,2023-01-04T01:18:17Z,600000,False,,,0,,K. Porzingis Free Throw 2 of 2 (2 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,Made,,2.0,,,,,,,,,,,,,,,,
62,PT08M05.00S,2023-01-04T01:18:35.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626192,92.06636005256242,52.450980392156865,1610612749,9,9,2023-01-04T01:18:39Z,610000,False,12.0,22.0,1,right,P. Connaughton driving DUNK (5 PTS) (B. Lopez 2 AST),"[1626192, 201572]",1610612749.0,MIL,driving,,,Connaughton,P. Connaughton,,,,,Restricted Area,0-8 Center,2.53,Made,,5.0,B. Lopez,201572.0,2.0,,,,,,,,,,,,,
64,PT07M50.00S,2023-01-04T01:18:50.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,11.908672798948752,63.725490196078425,1610612764,9,11,2023-01-04T01:19:05Z,630000,False,-69.0,59.0,1,left,B. Beal 9' driving floating bank Jump Shot (6 PTS),[203078],1610612764.0,WAS,driving floating bank,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Left,9.07,Made,,6.0,,,,,,,,,,,,,,,,
66,PT07M38.00S,2023-01-04T01:19:02.8Z,1,REGULAR,3pt,Jump Shot,[],1628960,67.09921156373193,65.68627450980392,1610612749,9,11,2023-01-04T01:19:08Z,650000,False,78.0,257.0,1,right,MISS G. Allen 26' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,26.85,Missed,,,,,,,,,,,,,,,,,,
67,PT07M38.00S,2023-01-04T01:19:02.8Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,9,11,2023-01-04T01:19:08Z,660000,False,,,0,,D. Gafford REBOUND (Off:1 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Center,,,66.0,,,,,,,2.0,1.0,1.0,,,,,,,,
68,PT07M28.00S,2023-01-04T01:19:12.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,15.982260183968464,40.44117647058824,1610612764,9,13,2023-01-04T01:19:20Z,670000,False,48.0,98.0,1,left,K. Kuzma 10' turnaround Jump Shot (2 PTS),[1628398],1610612764.0,WAS,turnaround,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,10.88,Made,,2.0,,,,,,,,,,,,,,,,
69,PT07M28.00S,2023-01-04T01:19:19.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,9,13,2023-01-04T01:19:19Z,680000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT07M28.00S,2023-01-04T01:21:58.3Z,1,REGULAR,substitution,out,[],201572,,,1610612749,9,13,2023-01-04T01:22:21Z,690000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT07M28.00S,2023-01-04T01:21:58.3Z,1,REGULAR,substitution,in,[],1626171,,,1610612749,9,13,2023-01-04T01:22:21Z,700000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT07M13.00S,2023-01-04T01:22:29.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,92.72339027595268,52.450980392156865,1610612749,11,13,2023-01-04T01:22:38Z,710000,False,12.0,16.0,1,right,G. Antetokounmpo driving DUNK (4 PTS) (G. Allen 1 AST),"[203507, 1628960]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.01,Made,,4.0,G. Allen,1628960.0,1.0,,,,,,,,,,,,,
77,PT06M56.00S,2023-01-04T01:22:47.0Z,1,REGULAR,2pt,Hook,[],1628398,5.732588699080158,66.91176470588235,1610612764,11,13,2023-01-04T01:25:15Z,730000,False,-85.0,1.0,1,left,MISS K. Kuzma 8' turnaround Hook,[1628398],1610612764.0,WAS,turnaround,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Left,8.46,Missed,,,,,,,,,,,,,,,,,,
78,PT06M53.00S,2023-01-04T01:22:50.0Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,11,13,2023-01-04T01:22:51Z,740000,False,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,8-16 Left,,,77.0,,,,,,,1.0,1.0,0.0,,,,,,,,
79,PT06M49.00S,2023-01-04T01:22:54.1Z,1,REGULAR,3pt,Jump Shot,[],203507,74.98357424441524,10.294117647058822,1610612749,11,13,2023-01-04T01:23:02Z,750000,False,-199.0,183.0,1,right,MISS G. Antetokounmpo 26' pullup 3PT,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,26.98,Missed,,,,,,,,,,,,,,,,,,
80,PT06M44.00S,2023-01-04T01:22:59.1Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,11,13,2023-01-04T01:23:02Z,760000,False,,,0,,D. Gafford REBOUND (Off:1 Def:2),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Left Center,,,79.0,,,,,,,3.0,2.0,1.0,,,,,,,,
81,PT06M34.00S,2023-01-04T01:23:08.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,7.5722733245729295,39.950980392156865,1610612764,11,13,2023-01-04T01:23:15Z,770000,False,50.0,19.0,1,left,MISS B. Beal driving floating bank Shot,[203078],1610612764.0,WAS,driving floating bank,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,5.36,Missed,,,,,,,,,,,,,,,,,,
82,PT06M28.00S,2023-01-04T01:23:14.6Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,11,13,2023-01-04T01:23:15Z,780000,False,,,0,,D. Gafford REBOUND (Off:2 Def:2),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,81.0,,,,,,,4.0,2.0,2.0,,,,,,,,
83,PT06M28.00S,2023-01-04T01:23:14.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629655,5.590000152587891,50.0,1610612764,11,13,2023-01-04T01:23:18Z,790000,False,0.0,0.0,1,left,MISS D. Gafford tip Layup,[1629655],1610612764.0,WAS,tip,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
84,PT06M28.00S,2023-01-04T01:23:14.3Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,11,13,2023-01-04T01:23:18Z,800000,False,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Restricted Area,0-8 Center,,,83.0,,,,,,,1.0,1.0,0.0,,,,,,,,
85,PT06M22.00S,2023-01-04T01:23:20.0Z,1,REGULAR,3pt,Jump Shot,[],1628975,73.53810775295663,11.76470588235294,1610612749,11,13,2023-01-04T01:23:28Z,810000,False,-191.0,196.0,1,right,MISS J. Carter 27' 3PT,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,Above the Break 3,24+ Left Center,27.4,Missed,,,,,,,,,,,,,,,,,,
86,PT06M20.00S,2023-01-04T01:23:22.0Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,11,13,2023-01-04T01:23:28Z,820000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,,,85.0,,,,,,,2.0,2.0,0.0,,,,,,,,
