actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,jumpBallRecoverdPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
18,PT10M30.00S,2023-03-05T01:42:49.3Z,1,REGULAR,3pt,Jump Shot,[],203954,69.99014454664915,21.323529411764707,1610612755,7,5,2023-03-05T01:42:54Z,180000,False,-143.0,230.0,1,right,J. Embiid 27' 3PT  (5 PTS) (J. Harden 1 AST),"[203954, 201935]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,27.07,Made,Embiid,J. Embiid,,,,,5.0,J. Harden,201935.0,1.0,,,,,,,,,,,
20,PT10M08.00S,2023-03-05T01:43:12.1Z,1,REGULAR,2pt,Jump Shot,[],201950,25.706307490144546,32.59803921568628,1610612749,7,5,2023-03-05T01:43:17Z,200000,False,87.0,189.0,1,left,MISS J. Holiday 20' Jump Shot,[201950],1610612749.0,MIL,,,,,,,Mid-Range,16-24 Right Center,20.82,Missed,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,
21,PT10M05.00S,2023-03-05T01:43:15.1Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,7,5,2023-03-05T01:43:17Z,210000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Right Center,,,Embiid,J. Embiid,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
22,PT09M46.00S,2023-03-05T01:43:33.4Z,1,REGULAR,2pt,Jump Shot,[],1630178,79.188567674113,58.333333333333336,1610612755,7,7,2023-03-05T01:43:38Z,220000,False,42.0,143.0,1,right,T. Maxey 14' driving floating Jump Shot (2 PTS) (J. Embiid 1 AST),"[1630178, 203954]",1610612755.0,PHI,driving floating,,,,,,Mid-Range,8-16 Center,14.91,Made,Maxey,T. Maxey,,,,,2.0,J. Embiid,203954.0,1.0,,,,,,,,,,,
24,PT09M32.00S,2023-03-05T01:43:48.4Z,1,REGULAR,3pt,Jump Shot,[],201572,30.56833114323259,12.009803921568627,1610612749,7,7,2023-03-05T01:43:52Z,240000,False,190.0,235.0,1,left,MISS B. Lopez 30' 3PT,[201572],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,30.2,Missed,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,
25,PT09M29.00S,2023-03-05T01:43:51.4Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,7,7,2023-03-05T01:43:52Z,250000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,Harden,J. Harden,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT09M27.00S,2023-03-05T01:43:53.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,67.36202365308804,73.52941176470588,1610612755,7,7,2023-03-05T01:44:00Z,260000,False,118.0,254.0,1,right,MISS T. Maxey 28' running 3PT,[1630178],1610612755.0,PHI,running,,,,,,Above the Break 3,24+ Right Center,28.02,Missed,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,
27,PT09M23.00S,2023-03-05T01:43:57.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,7,7,2023-03-05T01:44:00Z,270000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,Antetokounmpo,G. Antetokounmpo,26.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
28,PT09M05.00S,2023-03-05T01:44:14.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201572,13.87976346911958,52.20588235294118,1610612749,9,7,2023-03-05T01:44:18Z,280000,False,-11.0,78.0,1,left,B. Lopez 7' pullup Jump Shot (4 PTS) (G. Antetokounmpo 2 AST),"[201572, 203507]",1610612749.0,MIL,pullup,,,,,,In The Paint (Non-RA),0-8 Center,7.88,Made,Lopez,B. Lopez,,,,,4.0,G. Antetokounmpo,203507.0,2.0,,,,,,,,,,,
30,PT08M49.00S,2023-03-05T01:44:30.6Z,1,REGULAR,3pt,Jump Shot,[],200782,94.82588699080158,3.9215686274509802,1610612755,9,7,2023-03-05T01:44:40Z,300000,False,-230.0,-4.0,1,right,MISS P. Tucker 3PT,[200782],1610612755.0,PHI,,,,,,,Left Corner 3,24+ Left,23.04,Missed,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,
31,PT08M46.00S,2023-03-05T01:44:33.6Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,9,7,2023-03-05T01:44:33Z,310000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,,,,Left Corner 3,24+ Left,,,Antetokounmpo,G. Antetokounmpo,30.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
32,PT08M44.00S,2023-03-05T01:44:38.9Z,1,REGULAR,foul,personal,['2freethrow'],200782,,,1610612749,9,7,2023-03-05T01:44:54Z,320000,False,,,0,,P. Tucker shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[200782, 203507]",1610612755.0,PHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Tucker,P. Tucker,,,,,,,,,1162.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,
34,PT08M44.00S,2023-03-05T01:45:24.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203507,,,1610612749,9,7,2023-03-05T01:45:24Z,340000,False,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,,,,,,,Missed,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,
35,PT08M44.00S,2023-03-05T01:45:24.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,9,7,2023-03-05T01:45:24Z,350000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,
36,PT08M44.00S,2023-03-05T01:45:39.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203507,,,1610612749,10,7,2023-03-05T01:45:39Z,360000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (3 PTS),[203507],1610612749.0,MIL,,,,,,,,,,Made,Antetokounmpo,G. Antetokounmpo,,,,,3.0,,,,,,,,,,,,,,
37,PT08M27.00S,2023-03-05T01:45:55.9Z,1,REGULAR,3pt,Jump Shot,[],201935,66.70499342969777,42.8921568627451,1610612755,10,10,2023-03-05T01:46:01Z,370000,False,-36.0,260.0,1,right,J. Harden 26' 3PT pullup (3 PTS),[201935],1610612755.0,PHI,pullup,,,,,,Above the Break 3,24+ Center,26.29,Made,Harden,J. Harden,,,,,3.0,,,,,,,,,,,,,,
38,PT08M10.00S,2023-03-05T01:46:14.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201572,7.703679369250986,62.5,1610612749,10,10,2023-03-05T01:46:19Z,380000,False,-62.0,20.0,1,left,MISS B. Lopez 6' fadeaway Shot,[201572],1610612749.0,MIL,fadeaway,,,,,,In The Paint (Non-RA),0-8 Center,6.56,Missed,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,
39,PT08M06.00S,2023-03-05T01:46:18.1Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,10,10,2023-03-05T01:46:19Z,390000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,Harris,T. Harris,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
40,PT07M56.00S,2023-03-05T01:46:27.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,89.96386333771353,37.99019607843137,1610612755,10,10,2023-03-05T01:46:32Z,400000,False,-60.0,42.0,1,right,MISS J. Harden 7' driving Layup,[201935],1610612755.0,PHI,driving,,,,,,In The Paint (Non-RA),0-8 Center,7.31,Missed,Harden,J. Harden,,,,,,,,,,,,,,,,,,,
41,PT07M52.00S,2023-03-05T01:46:31.0Z,1,REGULAR,rebound,offensive,[],201935,,,1610612755,10,10,2023-03-05T01:46:31Z,410000,False,,,0,,J. Harden REBOUND (Off:1 Def:1),[201935],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,Harden,J. Harden,40.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
42,PT07M52.00S,2023-03-05T01:46:31.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201935,94.40999984741211,50.0,1610612755,10,10,2023-03-05T01:46:31Z,420000,False,0.0,0.0,1,right,MISS J. Harden tip Layup,[201935],1610612755.0,PHI,tip,,,,,,Mid-Range,8-16 Left,0.0,Missed,Harden,J. Harden,,,,,,,,,,,,,,,,,,,
43,PT07M51.00S,2023-03-05T01:46:32.1Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,10,10,2023-03-05T01:46:32Z,430000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,,,,Mid-Range,8-16 Left,,,Lopez,B. Lopez,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
44,PT07M39.00S,2023-03-05T01:46:44.7Z,1,REGULAR,2pt,Jump Shot,[],201572,21.23850197109067,48.03921568627451,1610612749,12,10,2023-03-05T01:46:50Z,440000,False,10.0,147.0,1,left,B. Lopez 14' floating Jump Shot (6 PTS) (J. Holiday 3 AST),"[201572, 201950]",1610612749.0,MIL,floating,,,,,,Mid-Range,8-16 Center,14.74,Made,Lopez,B. Lopez,,,,,6.0,J. Holiday,201950.0,3.0,,,,,,,,,,,
46,PT07M26.00S,2023-03-05T01:46:57.1Z,1,REGULAR,3pt,Jump Shot,[],202699,68.24696123521682,64.48376225490196,1610612755,12,13,2023-03-05T01:47:06Z,460000,False,72.0,246.0,1,right,T. Harris 25' 3PT  (3 PTS) (J. Embiid 2 AST),"[202699, 203954]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,25.64,Made,Harris,T. Harris,,,,,3.0,J. Embiid,203954.0,2.0,,,,,,,,,,,
48,PT07M14.00S,2023-03-05T01:47:09.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,8.623521681997373,49.50980392156863,1610612749,14,13,2023-03-05T01:47:22Z,480000,False,2.0,29.0,1,left,J. Holiday cutting finger roll Layup (5 PTS) (G. Allen 1 AST),"[201950, 1628960]",1610612749.0,MIL,cutting finger roll,,,,,,Restricted Area,0-8 Center,2.87,Made,Holiday,J. Holiday,,,,,5.0,G. Allen,1628960.0,1.0,,,,,,,,,,,
50,PT06M49.00S,2023-03-05T01:47:34.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],200782,87.33574244415243,42.64705882352941,1610612755,14,15,2023-03-05T01:47:41Z,500000,False,-37.0,67.0,1,right,P. Tucker 7' Hook (2 PTS) (J. Embiid 3 AST),"[200782, 203954]",1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,7.6,Made,Tucker,P. Tucker,,,,,2.0,J. Embiid,203954.0,3.0,,,,,,,,,,,
52,PT06M37.00S,2023-03-05T01:47:46.9Z,1,REGULAR,3pt,Jump Shot,[],203507,32.933639947437584,47.794117647058826,1610612749,14,15,2023-03-05T01:48:24Z,520000,False,11.0,257.0,1,left,MISS G. Antetokounmpo 25' pullup 3PT,[203507],1610612749.0,MIL,pullup,,,,,,Above the Break 3,24+ Center,25.73,Missed,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,
53,PT06M35.00S,2023-03-05T01:47:48.9Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,14,15,2023-03-05T01:47:55Z,530000,False,,,0,,J. Harden REBOUND (Off:1 Def:2),[201935],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,,Harden,J. Harden,52.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
55,PT06M33.00S,2023-03-05T01:47:59.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,14,15,2023-03-05T01:47:59Z,550000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M33.00S,2023-03-05T01:50:37.2Z,1,REGULAR,substitution,out,[],201572,,,1610612755,14,15,2023-03-05T01:51:09Z,560000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,,,,,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,
57,PT06M33.00S,2023-03-05T01:50:37.2Z,1,REGULAR,substitution,out,[],1626192,,,1610612755,14,15,2023-03-05T01:51:09Z,570000,False,,,0,,SUB out: P. Connaughton,[1626192],1610612749.0,MIL,,,,,,,,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,
58,PT06M33.00S,2023-03-05T01:50:37.2Z,1,REGULAR,substitution,in,[],1626171,,,1610612755,14,15,2023-03-05T01:51:09Z,580000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,,,,,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,
59,PT06M33.00S,2023-03-05T01:50:37.2Z,1,REGULAR,substitution,in,[],204060,,,1610612755,14,15,2023-03-05T01:51:09Z,590000,False,,,0,,SUB in: J. Ingles,[204060],1610612749.0,MIL,,,,,,,,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,
60,PT06M16.00S,2023-03-05T01:51:38.2Z,1,REGULAR,2pt,Jump Shot,[],201935,82.21090670170827,25.98039215686275,1610612755,14,17,2023-03-05T01:51:43Z,600000,False,-120.0,115.0,1,right,J. Harden 16' step back Jump Shot (5 PTS),[201935],1610612755.0,PHI,step back,,,,,,Mid-Range,16-24 Left Center,16.61,Made,Harden,J. Harden,,,,,5.0,,,,,,,,,,,,,,
61,PT06M03.00S,2023-03-05T01:51:50.5Z,1,REGULAR,3pt,Jump Shot,[],1626171,28.991458607095925,21.813725490196077,1610612749,17,17,2023-03-05T01:51:55Z,610000,False,141.0,220.0,1,left,B. Portis 26' 3PT  (3 PTS) (J. Holiday 4 AST),"[1626171, 201950]",1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,26.13,Made,Portis,B. Portis,,,,,3.0,J. Holiday,201950.0,4.0,,,,,,,,,,,
63,PT05M37.00S,2023-03-05T01:52:16.0Z,1,REGULAR,3pt,Jump Shot,[],201935,63.487598554533506,45.66482843137255,1610612755,17,20,2023-03-05T01:52:24Z,630000,False,-22.0,291.0,1,right,J. Harden 29' 3PT  (8 PTS) (J. Embiid 4 AST),"[201935, 203954]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,29.15,Made,Harden,J. Harden,,,,,8.0,J. Embiid,203954.0,4.0,,,,,,,,,,,
65,PT05M25.00S,2023-03-05T01:52:33.4Z,1,REGULAR,foul,personal,[],203954,,,1610612749,17,20,2023-03-05T01:52:48Z,650000,False,,,0,,J. Embiid personal FOUL (1 PF),"[203954, 203507]",1610612755.0,PHI,,,,,,,Mid-Range,8-16 Right,,,Embiid,J. Embiid,,,,,,,,,204059.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,
67,PT05M25.00S,2023-03-05T01:52:47.0Z,1,REGULAR,substitution,out,[],1628960,,,1610612749,17,20,2023-03-05T01:53:08Z,670000,False,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,,,,,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,
68,PT05M25.00S,2023-03-05T01:52:47.0Z,1,REGULAR,substitution,out,[],203507,,,1610612749,17,20,2023-03-05T01:53:08Z,680000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,,,,,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,
69,PT05M25.00S,2023-03-05T01:52:47.0Z,1,REGULAR,substitution,out,[],1630178,,,1610612749,17,20,2023-03-05T01:53:08Z,690000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,,,,,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,
70,PT05M25.00S,2023-03-05T01:52:47.0Z,1,REGULAR,substitution,out,[],200782,,,1610612749,17,20,2023-03-05T01:53:08Z,700000,False,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,,,,,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,
71,PT05M25.00S,2023-03-05T01:52:47.0Z,1,REGULAR,substitution,in,[],203114,,,1610612749,17,20,2023-03-05T01:53:08Z,710000,False,,,0,,SUB in: K. Middleton,[203114],1610612749.0,MIL,,,,,,,,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,
72,PT05M25.00S,2023-03-05T01:52:47.0Z,1,REGULAR,substitution,in,[],201572,,,1610612749,17,20,2023-03-05T01:53:08Z,720000,False,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,,,,,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,
73,PT05M25.00S,2023-03-05T01:52:47.0Z,1,REGULAR,substitution,in,[],1629001,,,1610612749,17,20,2023-03-05T01:53:08Z,730000,False,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,,,,,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,
74,PT05M25.00S,2023-03-05T01:52:47.0Z,1,REGULAR,substitution,in,[],1627777,,,1610612749,17,20,2023-03-05T01:53:08Z,740000,False,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,,,,,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,
75,PT05M18.00S,2023-03-05T01:53:17.5Z,1,REGULAR,turnover,out-of-bounds,[],201950,,,1610612749,17,20,2023-03-05T01:53:35Z,750000,False,,,0,,J. Holiday bad pass out-of-bounds TURNOVER (1 TO),[201950],1610612749.0,MIL,bad pass,,,,,,In The Paint (Non-RA),0-8 Center,,,Holiday,J. Holiday,,,,,,,,,204059.0,,,,,1.0,,,,,
76,PT05M00.00S,2023-03-05T01:53:40.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203954,82.34231274638634,32.35294117647059,1610612755,17,22,2023-03-05T01:54:03Z,760000,False,-88.0,113.0,1,right,J. Embiid 14' pullup Jump Shot (7 PTS),[203954],1610612755.0,PHI,pullup,,,,,,Mid-Range,8-16 Left,14.37,Made,Embiid,J. Embiid,,,,,7.0,,,,,,,,,,,,,,
77,PT04M44.00S,2023-03-05T01:53:57.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626171,5.075558475689881,62.5,1610612749,19,22,2023-03-05T01:54:03Z,770000,False,-62.0,-5.0,1,left,B. Portis 6' turnaround Jump Shot (5 PTS),[1626171],1610612749.0,MIL,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,6.27,Made,Portis,B. Portis,,,,,5.0,,,,,,,,,,,,,,
78,PT04M30.00S,2023-03-05T01:54:10.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,80.3712220762155,54.41176470588235,1610612755,19,22,2023-03-05T01:54:21Z,780000,False,22.0,132.0,1,right,MISS J. Embiid 13' Jump Shot,[203954],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,13.38,Missed,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,
79,PT04M27.00S,2023-03-05T01:54:13.4Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,19,22,2023-03-05T01:54:21Z,790000,False,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),8-16 Center,,,Portis,B. Portis,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
80,PT04M18.00S,2023-03-05T01:54:22.1Z,1,REGULAR,3pt,Jump Shot,[],201950,30.305519053876477,73.2843137254902,1610612749,19,22,2023-03-05T01:54:26Z,800000,False,-116.0,232.0,1,left,MISS J. Holiday 25' 3PT,[201950],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Left Center,25.99,Missed,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,
81,PT04M17.00S,2023-03-05T01:54:23.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,19,22,2023-03-05T01:54:26Z,810000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,,80.0,,,,,,,,,,,,,,,,,,
83,PT04M06.00S,2023-03-05T01:54:39.2Z,1,REGULAR,3pt,Jump Shot,[],1629001,80.3712220762155,93.13725490196079,1610612755,19,22,2023-03-05T01:54:44Z,830000,False,216.0,132.0,1,right,MISS D. Melton 25' 3PT,[1629001],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,25.29,Missed,Melton,D. Melton,,,,,,,,,,,,,,,,,,,
84,PT04M03.00S,2023-03-05T01:54:42.2Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,19,22,2023-03-05T01:54:44Z,840000,False,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,Portis,B. Portis,83.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
85,PT03M50.00S,2023-03-05T01:54:55.0Z,1,REGULAR,2pt,Jump Shot,[],1626171,16.376478318002626,16.176470588235293,1610612749,21,22,2023-03-05T01:55:00Z,850000,False,169.0,101.0,1,left,B. Portis 19' Jump Shot (7 PTS) (J. Ingles 1 AST),"[1626171, 204060]",1610612749.0,MIL,,,,,,,Mid-Range,16-24 Right,19.72,Made,Portis,B. Portis,,,,,7.0,J. Ingles,204060.0,1.0,,,,,,,,,,,
87,PT03M35.00S,2023-03-05T01:55:09.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,84.31340341655716,38.72549019607843,1610612755,21,22,2023-03-05T01:55:21Z,870000,False,-56.0,95.0,1,right,MISS J. Harden 11' floating Shot,[201935],1610612755.0,PHI,floating,,,,,,In The Paint (Non-RA),8-16 Center,11.05,Missed,Harden,J. Harden,,,,,,,,,,,,,,,,,,,
