actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
718,PT01M08.00S,2023-03-23T02:12:33.4Z,4,REGULAR,rebound,offensive,[],1628975,,,1610612749,127,94,2023-03-23T02:12:43Z,7090000,False,,,0,,J. Carter REBOUND (Off:1 Def:2),[1628975],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,,Carter,J. Carter,,,,717.0,3.0,2.0,1.0,,,,,,,,,,,
719,PT01M05.00S,2023-03-23T02:12:39.7Z,4,REGULAR,foul,personal,['2freethrow'],203476,,,1610612749,127,94,2023-03-23T02:12:57Z,7100000,False,,,0,,G. Dieng shooting personal FOUL (3 PF) (Beauchamp 2 FT),"[203476, 1630699]",1610612759.0,SAS,shooting,,,,,,Restricted Area,0-8 Center,,,,Dieng,G. Dieng,,,,,,,,200833.0,,,,,,,3.0,0.0,Beauchamp,1630699.0
721,PT01M05.00S,2023-03-23T02:13:00.4Z,4,REGULAR,freethrow,1 of 2,['2ndchance'],1630699,,,1610612749,127,94,2023-03-23T02:13:00Z,7120000,False,,,0,,MISS M. Beauchamp Free Throw 1 of 2,[1630699],1610612749.0,MIL,,,,,,,,,,Missed,,Beauchamp,M. Beauchamp,,,,,,,,,,,,,,,,,,
722,PT01M05.00S,2023-03-23T02:13:00.4Z,4,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,127,94,2023-03-23T02:13:00Z,7130000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,721.0,,,,,,,,,,,,,,
723,PT01M05.00S,2023-03-23T02:13:10.8Z,4,REGULAR,freethrow,2 of 2,['2ndchance'],1630699,,,1610612749,128,94,2023-03-23T02:13:10Z,7140000,False,,,0,,M. Beauchamp Free Throw 2 of 2 (7 PTS),[1630699],1610612749.0,MIL,,,,,,,,,,Made,7.0,Beauchamp,M. Beauchamp,,,,,,,,,,,,,,,,,,
724,PT00M50.20S,2023-03-23T02:13:33.6Z,4,REGULAR,2pt,Jump Shot,[],1630577,5.601182654402102,25.49019607843137,1610612759,128,94,2023-03-23T02:16:01Z,7150000,False,123.0,0.0,1,left,MISS J. Champagnie 12' pullup Shot,[1630577],1610612759.0,SAS,pullup,,,,,,Mid-Range,8-16 Right,12.25,Missed,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,
725,PT00M45.70S,2023-03-23T02:13:38.0Z,4,REGULAR,rebound,offensive,[],1631230,,,1610612759,128,94,2023-03-23T02:13:38Z,7160000,False,,,0,,D. Barlow REBOUND (Off:2 Def:0),[1631230],1610612759.0,SAS,,,,,,,Mid-Range,8-16 Right,,,,Barlow,D. Barlow,,,,724.0,2.0,0.0,2.0,,,,,,,,,,,
726,PT00M43.20S,2023-03-23T02:13:40.5Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1630572,8.623521681997373,98.2843137254902,1610612759,128,94,2023-03-23T02:13:47Z,7170000,False,-241.0,29.0,1,left,MISS S. Mamukelashvili 24' 3PT,[1630572],1610612759.0,SAS,,,,,,,Left Corner 3,24+ Left,24.31,Missed,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,
727,PT00M38.20S,2023-03-23T02:13:45.5Z,4,REGULAR,rebound,defensive,[],1626192,,,1610612749,128,94,2023-03-23T02:13:47Z,7180000,False,,,0,,P. Connaughton REBOUND (Off:3 Def:6),[1626192],1610612749.0,MIL,,,,,,,Left Corner 3,24+ Left,,,,Connaughton,P. Connaughton,,,,726.0,9.0,6.0,3.0,,,,,,,,,,,
728,PT00M30.10S,2023-03-23T02:13:54.7Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629623,84.57621550591328,42.40196078431372,1610612749,130,94,2023-03-23T02:14:00Z,7190000,False,-38.0,92.0,1,right,L. Wigginton 10' driving floating Jump Shot (2 PTS),[1629623],1610612749.0,MIL,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,10.0,Made,2.0,Wigginton,L. Wigginton,,,,,,,,,,,,,,,,,,
729,PT00M15.90S,2023-03-23T02:14:10.2Z,4,REGULAR,2pt,Jump Shot,[],1631104,21.76412614980289,55.88235294117647,1610612759,130,94,2023-03-23T02:14:16Z,7200000,False,-29.0,152.0,1,left,MISS B. Wesley 15' pullup Shot,[1631104],1610612759.0,SAS,pullup,,,,,,Mid-Range,8-16 Center,15.49,Missed,,Wesley,B. Wesley,,,,,,,,,,,,,,,,,,
730,PT00M12.00S,2023-03-23T02:14:14.0Z,4,REGULAR,rebound,defensive,[],1626192,,,1610612749,130,94,2023-03-23T02:14:14Z,7210000,False,,,0,,P. Connaughton REBOUND (Off:3 Def:7),[1626192],1610612749.0,MIL,,,,,,,Mid-Range,8-16 Center,,,,Connaughton,P. Connaughton,,,,729.0,10.0,7.0,3.0,,,,,,,,,,,
731,PT00M00.00S,2023-03-23T02:14:31.0Z,4,REGULAR,period,end,[],0,,,1610612749,130,94,2023-03-23T02:14:31Z,7220000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,PT00M00.00S,2023-03-23T02:14:33.8Z,4,REGULAR,game,end,[],0,,,0,130,94,2023-03-23T02:14:33Z,7230000,False,,,0,,Game End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
