actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
21,PT10M23.00S,2023-02-25T00:48:53.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,85.3646517739816,48.77450980392157,1610612748,3,5,2023-02-25T00:48:58Z,210000,False,-6.0,85.0,1,right,MISS B. Adebayo 8' fadeaway Shot,[1628389],1610612748.0,MIA,fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,,,,Adebayo,B. Adebayo,,,Missed,,,,,,8.53,,,,,,,,,
22,PT10M20.00S,2023-02-25T00:48:56.8Z,1,REGULAR,rebound,defensive,[],1628975,,,1610612749,3,5,2023-02-25T00:48:58Z,220000,False,,,0,,J. Carter REBOUND (Off:0 Def:1),[1628975],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Carter,J. Carter,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT10M14.00S,2023-02-25T00:49:02.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201572,33.196452036793694,21.07843137254902,1610612749,3,5,2023-02-25T00:49:08Z,230000,False,145.0,260.0,1,left,MISS B. Lopez 29' running 3PT,[201572],1610612749.0,MIL,running,,,,,,Above the Break 3,24+ Right Center,,,,Lopez,B. Lopez,,,Missed,,,,,,29.71,,,,,,,,,
24,PT10M11.00S,2023-02-25T00:49:05.6Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,3,5,2023-02-25T00:49:08Z,240000,False,,,0,,K. Love REBOUND (Off:0 Def:2),[201567],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,,Love,K. Love,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,
25,PT09M56.00S,2023-02-25T00:49:21.4Z,1,REGULAR,3pt,Jump Shot,[],1629216,67.88764783180025,69.6078431372549,1610612748,3,5,2023-02-25T00:49:30Z,250000,False,98.0,249.0,1,right,MISS G. Vincent 26' 3PT,[1629216],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,,Vincent,G. Vincent,,,Missed,,,,,,26.8,,,,,,,,,
26,PT09M52.00S,2023-02-25T00:49:25.4Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,3,5,2023-02-25T00:49:30Z,260000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,,Antetokounmpo,G. Antetokounmpo,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,
27,PT09M48.00S,2023-02-25T00:49:29.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,8.09789750328515,49.50980392156863,1610612749,3,5,2023-02-25T00:49:37Z,270000,False,2.0,24.0,1,left,MISS G. Antetokounmpo running Layup,[203507],1610612749.0,MIL,running,,,,,,Restricted Area,0-8 Center,,,,Antetokounmpo,G. Antetokounmpo,,,Missed,,,,,,2.37,,,,,,,,,
28,PT09M45.00S,2023-02-25T00:49:32.6Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,3,5,2023-02-25T00:49:37Z,280000,False,,,0,,K. Love REBOUND (Off:0 Def:3),[201567],1610612748.0,MIA,,,,,,,Restricted Area,0-8 Center,,,,Love,K. Love,,,,,27.0,3.0,3.0,0.0,,,,,,,,,,
29,PT09M42.00S,2023-02-25T00:49:35.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629216,81.2910643889619,93.87254901960785,1610612748,3,5,2023-02-25T00:49:47Z,290000,False,219.0,123.0,1,right,MISS G. Vincent 25' running 3PT,[1629216],1610612748.0,MIA,running,,,,,,Above the Break 3,24+ Right Center,,,,Vincent,G. Vincent,,,Missed,,,,,,25.17,,,,,,,,,
30,PT09M42.00S,2023-02-25T00:49:35.2Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,3,5,2023-02-25T00:49:47Z,300000,False,,,0,,J. Butler REBOUND (Off:1 Def:0),[202710],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,,Butler,J. Butler,,,,,29.0,1.0,0.0,1.0,,,,,,,,,,
31,PT09M37.00S,2023-02-25T00:49:40.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,93.11760840998686,51.71568627450981,1610612748,3,7,2023-02-25T00:51:43Z,310000,False,9.0,12.0,1,right,J. Butler putback Layup (4 PTS),[202710],1610612748.0,MIA,putback,,,,,,Restricted Area,0-8 Center,,,,Butler,J. Butler,,,Made,4.0,,,,,1.49,,,,,,,,,
32,PT09M19.00S,2023-02-25T00:49:58.2Z,1,REGULAR,3pt,Jump Shot,[],1628975,7.490144546649145,3.944546568627451,1610612749,6,7,2023-02-25T00:50:09Z,320000,False,230.0,18.0,1,left,J. Carter 3PT step back (3 PTS) (G. Antetokounmpo 1 AST),"[1628975, 203507]",1610612749.0,MIL,step back,,,,,,Right Corner 3,24+ Right,,,,Carter,J. Carter,,,Made,3.0,,,,,23.1,G. Antetokounmpo,203507.0,1.0,,,,,,
34,PT09M07.00S,2023-02-25T00:50:10.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,82.60512483574244,34.55882352941176,1610612748,6,7,2023-02-25T00:50:16Z,340000,False,-77.0,111.0,1,right,MISS T. Herro 13' driving floating Shot,[1629639],1610612748.0,MIA,driving floating,,,,,,In The Paint (Non-RA),8-16 Left,,,,Herro,T. Herro,,,Missed,,,,,,13.52,,,,,,,,,
35,PT09M04.00S,2023-02-25T00:50:13.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,6,7,2023-02-25T00:50:16Z,350000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),8-16 Left,,,,Antetokounmpo,G. Antetokounmpo,,,,,34.0,3.0,3.0,0.0,,,,,,,,,,
36,PT09M03.00S,2023-02-25T00:50:18.2Z,1,REGULAR,foul,personal,[],202710,,,1610612749,6,7,2023-02-25T00:50:31Z,360000,False,,,0,,J. Butler personal FOUL (1 PF),"[202710, 203507]",1610612748.0,MIA,,,,,,,Mid-Range,8-16 Right,2005.0,1.0,0.0,Butler,J. Butler,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,
38,PT08M55.00S,2023-02-25T00:50:38.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201572,10.988830486202366,52.94117647058824,1610612749,6,7,2023-02-25T00:53:05Z,380000,False,-15.0,51.0,1,left,MISS B. Lopez turnaround Hook - blocked,"[201572, 201567]",1610612749.0,MIL,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,,,,Lopez,B. Lopez,,,Missed,,,,,,5.29,,,,Love,201567.0,,,,
39,PT08M55.00S,2023-02-25T00:50:38.4Z,1,REGULAR,block,,[],201567,,,1610612749,6,7,2023-02-25T00:50:41Z,390000,False,,,0,,K. Love BLOCK (1 BLK),[201567],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Love,K. Love,,,,,,,,,,,,,,,,,,
40,PT08M50.00S,2023-02-25T00:50:43.4Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,6,7,2023-02-25T00:50:43Z,400000,False,,,0,,B. Lopez REBOUND (Off:1 Def:0),[201572],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Lopez,B. Lopez,,,,,38.0,1.0,0.0,1.0,,,,,,,,,,
41,PT08M49.00S,2023-02-25T00:50:43.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",201572,4.28712220762155,54.166666666666664,1610612749,8,7,2023-02-25T00:53:40Z,410000,False,-21.0,-12.0,1,left,B. Lopez putback DUNK (2 PTS),[201572],1610612749.0,MIL,putback,,,,,,Restricted Area,0-8 Center,,,,Lopez,B. Lopez,,,Made,2.0,,,,,2.41,,,,,,,,,
42,PT08M39.00S,2023-02-25T00:50:54.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,81.2910643889619,46.568627450980394,1610612748,8,9,2023-02-25T00:50:58Z,420000,False,-17.0,123.0,1,right,B. Adebayo 12' pullup Jump Shot (4 PTS),[1628389],1610612748.0,MIA,pullup,,,,,,In The Paint (Non-RA),8-16 Center,,,,Adebayo,B. Adebayo,,,Made,4.0,,,,,12.46,,,,,,,,,
43,PT08M26.00S,2023-02-25T00:51:07.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201950,11.777266754270697,47.30392156862745,1610612749,10,9,2023-02-25T00:51:12Z,430000,False,13.0,58.0,1,left,J. Holiday turnaround Hook (2 PTS) (J. Carter 1 AST),"[201950, 1628975]",1610612749.0,MIL,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,,,,Holiday,J. Holiday,,,Made,2.0,,,,,5.97,J. Carter,1628975.0,1.0,,,,,,
45,PT08M12.00S,2023-02-25T00:51:22.8Z,1,REGULAR,foul,personal,['2freethrow'],201950,,,1610612748,10,9,2023-02-25T00:52:15Z,450000,False,,,0,,J. Holiday shooting personal FOUL (1 PF) (Butler 2 FT),"[201950, 202710]",1610612749.0,MIL,shooting,,,,,,In The Paint (Non-RA),0-8 Center,2004.0,1.0,0.0,Holiday,J. Holiday,Butler,202710.0,,,,,,,,,,,,,,,,
47,PT08M12.00S,2023-02-25T00:51:46.3Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,10,10,2023-02-25T00:51:46Z,470000,False,,,0,,J. Butler Free Throw 1 of 2 (5 PTS),[202710],1610612748.0,MIA,,,,,,,,,,,,Butler,J. Butler,,,Made,5.0,,,,,,,,,,,,,,
48,PT08M12.00S,2023-02-25T00:52:13.0Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,10,11,2023-02-25T00:52:13Z,480000,False,,,0,,J. Butler Free Throw 2 of 2 (6 PTS),[202710],1610612748.0,MIA,,,,,,,,,,,,Butler,J. Butler,,,Made,6.0,,,,,,,,,,,,,,
49,PT07M59.00S,2023-02-25T00:52:25.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,7.5722733245729295,51.470588235294116,1610612749,12,11,2023-02-25T00:52:30Z,490000,False,-7.0,19.0,1,left,G. Antetokounmpo driving finger roll Layup (2 PTS),[203507],1610612749.0,MIL,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Antetokounmpo,G. Antetokounmpo,,,Made,2.0,,,,,2.01,,,,,,,,,
50,PT07M51.00S,2023-02-25T00:52:34.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,85.10183968462549,47.794117647058826,1610612748,12,11,2023-02-25T00:52:41Z,500000,False,-11.0,88.0,1,right,MISS B. Adebayo 8' driving Layup,[1628389],1610612748.0,MIA,driving,,,,,,In The Paint (Non-RA),8-16 Center,,,,Adebayo,B. Adebayo,,,Missed,,,,,,8.82,,,,,,,,,
51,PT07M49.00S,2023-02-25T00:52:36.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,12,11,2023-02-25T00:52:41Z,510000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:4),[203507],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Antetokounmpo,G. Antetokounmpo,,,,,50.0,4.0,4.0,0.0,,,,,,,,,,
52,PT07M44.00S,2023-02-25T00:52:40.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,9.674770039421814,51.9607843137255,1610612749,14,11,2023-02-25T00:52:48Z,520000,False,-10.0,38.0,1,left,G. Antetokounmpo running finger roll Layup (4 PTS),[203507],1610612749.0,MIL,running finger roll,,,,,,Restricted Area,0-8 Center,,,,Antetokounmpo,G. Antetokounmpo,,,Made,4.0,,,,,3.96,,,,,,,,,
53,PT07M24.00S,2023-02-25T00:53:00.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,81.42247043363994,49.754901960784316,1610612748,14,11,2023-02-25T00:53:04Z,530000,False,-1.0,122.0,1,right,MISS B. Adebayo 12' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,,,,In The Paint (Non-RA),8-16 Center,,,,Adebayo,B. Adebayo,,,Missed,,,,,,12.21,,,,,,,,,
54,PT07M21.00S,2023-02-25T00:53:03.2Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,14,11,2023-02-25T00:53:03Z,540000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Holiday,J. Holiday,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,
55,PT07M13.00S,2023-02-25T00:53:12.6Z,1,REGULAR,3pt,Jump Shot,[],201950,29.517082785808146,70.83333333333334,1610612749,17,11,2023-02-25T00:57:32Z,550000,False,-104.0,225.0,1,left,J. Holiday 24' 3PT pullup (5 PTS) (G. Antetokounmpo 2 AST),"[201950, 203507]",1610612749.0,MIL,pullup,,,,,,Above the Break 3,24+ Left Center,,,,Holiday,J. Holiday,,,Made,5.0,,,,,24.8,G. Antetokounmpo,203507.0,2.0,,,,,,
57,PT06M52.00S,2023-02-25T00:53:33.1Z,1,REGULAR,3pt,Jump Shot,[],202710,71.30420499342969,18.137254901960784,1610612748,17,14,2023-02-25T00:57:51Z,570000,False,-159.0,217.0,1,right,J. Butler 26' 3PT pullup (9 PTS),[202710],1610612748.0,MIA,pullup,,,,,,Above the Break 3,24+ Left Center,,,,Butler,J. Butler,,,Made,9.0,,,,,26.94,,,,,,,,,
58,PT06M47.00S,2023-02-25T00:53:42.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,17,14,2023-02-25T00:53:42Z,580000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M47.00S,2023-02-25T00:56:33.9Z,1,REGULAR,substitution,out,[],201572,,,1610612749,17,14,2023-02-25T00:57:07Z,600000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,,,,,,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,
61,PT06M47.00S,2023-02-25T00:56:33.9Z,1,REGULAR,substitution,out,[],201950,,,1610612749,17,14,2023-02-25T00:57:07Z,610000,False,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,,,,,,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,
62,PT06M47.00S,2023-02-25T00:56:33.9Z,1,REGULAR,substitution,in,[],204060,,,1610612749,17,14,2023-02-25T00:57:07Z,620000,False,,,0,,SUB in: J. Ingles,[204060],1610612749.0,MIL,,,,,,,,,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,
63,PT06M47.00S,2023-02-25T00:56:33.9Z,1,REGULAR,substitution,in,[],1626171,,,1610612749,17,14,2023-02-25T00:57:07Z,630000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,,,,,,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,
64,PT06M37.00S,2023-02-25T00:57:18.1Z,1,REGULAR,3pt,Jump Shot,[],1628960,33.196452036793694,68.87254901960785,1610612749,20,14,2023-02-25T00:57:36Z,640000,False,-94.0,260.0,1,left,G. Allen 27' 3PT  (6 PTS) (G. Antetokounmpo 3 AST),"[1628960, 203507]",1610612749.0,MIL,,,,,,,Above the Break 3,24+ Left Center,,,,Allen,G. Allen,,,Made,6.0,,,,,27.61,G. Antetokounmpo,203507.0,3.0,,,,,,
66,PT06M15.00S,2023-02-25T00:57:40.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,92.85479632063075,53.18627450980392,1610612748,20,16,2023-02-25T00:57:45Z,660000,False,16.0,15.0,1,right,T. Herro driving floating bank Jump Shot (3 PTS) (K. Love 2 AST),"[1629639, 201567]",1610612748.0,MIA,driving floating bank,,,,,,Restricted Area,0-8 Center,,,,Herro,T. Herro,,,Made,3.0,,,,,2.17,K. Love,201567.0,2.0,,,,,,
67,PT06M02.00S,2023-02-25T00:57:56.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,7.440867279894875,51.9607843137255,1610612749,22,16,2023-02-25T00:58:02Z,670000,False,-10.0,17.0,1,left,B. Portis driving Layup (2 PTS) (G. Antetokounmpo 4 AST),"[1626171, 203507]",1610612749.0,MIL,driving,,,,,,Restricted Area,0-8 Center,,,,Portis,B. Portis,,,Made,2.0,,,,,2.0,G. Antetokounmpo,203507.0,4.0,,,,,,
68,PT06M02.00S,2023-02-25T00:58:00.0Z,1,REGULAR,foul,personal,['1freethrow'],201567,,,1610612749,22,16,2023-02-25T00:58:31Z,680000,False,,,0,,K. Love shooting personal FOUL (1 PF) (Portis 1 FT),"[201567, 1626171]",1610612748.0,MIA,shooting,,,,,,Restricted Area,0-8 Center,2005.0,1.0,0.0,Love,K. Love,Portis,1626171.0,,,,,,,,,,,,,,,,
70,PT06M02.00S,2023-02-25T00:58:11.8Z,1,REGULAR,substitution,out,[],1628975,,,1610612749,22,16,2023-02-25T00:58:49Z,700000,False,,,0,,SUB out: J. Carter,[1628975],1610612749.0,MIL,,,,,,,,,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,
71,PT06M02.00S,2023-02-25T00:58:11.8Z,1,REGULAR,substitution,out,[],203507,,,1610612749,22,16,2023-02-25T00:58:49Z,710000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,,,,,,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,
72,PT06M02.00S,2023-02-25T00:58:11.8Z,1,REGULAR,substitution,out,[],1628389,,,1610612749,22,16,2023-02-25T00:58:49Z,720000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,,,,,,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,
73,PT06M02.00S,2023-02-25T00:58:11.8Z,1,REGULAR,substitution,in,[],201572,,,1610612749,22,16,2023-02-25T00:58:49Z,730000,False,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,,,,,,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,
74,PT06M02.00S,2023-02-25T00:58:11.8Z,1,REGULAR,substitution,in,[],201950,,,1610612749,22,16,2023-02-25T00:58:49Z,740000,False,,,0,,SUB in: J. Holiday,[201950],1610612749.0,MIL,,,,,,,,,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,
75,PT06M02.00S,2023-02-25T00:58:11.8Z,1,REGULAR,substitution,in,[],203469,,,1610612749,22,16,2023-02-25T00:58:49Z,750000,False,,,0,,SUB in: C. Zeller,[203469],1610612748.0,MIA,,,,,,,,,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,
76,PT06M02.00S,2023-02-25T00:58:36.3Z,1,REGULAR,freethrow,1 of 1,[],1626171,,,1610612749,23,16,2023-02-25T00:58:36Z,760000,False,,,0,,B. Portis Free Throw 1 of 1 (3 PTS),[1626171],1610612749.0,MIL,,,,,,,,,,,,Portis,B. Portis,,,Made,3.0,,,,,,,,,,,,,,
77,PT05M53.00S,2023-02-25T00:58:45.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,92.19776609724047,59.31372549019608,1610612748,23,16,2023-02-25T00:58:50Z,770000,False,47.0,21.0,1,right,MISS T. Herro driving floating bank Shot,[1629639],1610612748.0,MIA,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,,,,Herro,T. Herro,,,Missed,,,,,,5.1,,,,,,,,,
78,PT05M48.00S,2023-02-25T00:58:50.8Z,1,REGULAR,rebound,offensive,[],203469,,,1610612748,23,16,2023-02-25T00:58:50Z,780000,False,,,0,,C. Zeller REBOUND (Off:1 Def:0),[203469],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Zeller,C. Zeller,,,,,77.0,1.0,0.0,1.0,,,,,,,,,,
79,PT05M48.00S,2023-02-25T00:58:49.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203469,94.40999984741211,50.0,1610612748,23,18,2023-02-25T00:58:49Z,790000,False,0.0,0.0,1,right,C. Zeller tip Layup (2 PTS),[203469],1610612748.0,MIA,tip,,,,,,Mid-Range,8-16 Left,,,,Zeller,C. Zeller,,,Made,2.0,,,,,0.0,,,,,,,,,
80,PT05M38.00S,2023-02-25T00:59:00.0Z,1,REGULAR,3pt,Jump Shot,[],1628960,29.38567674113009,83.33333333333334,1610612749,23,18,2023-02-25T00:59:05Z,800000,False,-167.0,224.0,1,left,MISS G. Allen 27' 3PT,[1628960],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Left Center,,,,Allen,G. Allen,,,Missed,,,,,,27.9,,,,,,,,,
81,PT05M35.00S,2023-02-25T00:59:03.0Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,23,18,2023-02-25T00:59:05Z,810000,False,,,0,,J. Butler REBOUND (Off:1 Def:1),[202710],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,,Butler,J. Butler,,,,,80.0,2.0,1.0,1.0,,,,,,,,,,
