actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
57,PT07M57.00S,2022-11-28T01:19:48.9Z,1,REGULAR,steal,,[],203507,,,1610612749,18,10,2022-11-28T01:19:55Z,570000,False,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT07M50.00S,2022-11-28T01:19:56.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203507,6.1268068331143235,51.225490196078425,1610612749,20,10,2022-11-28T01:20:02Z,580000,False,-6.0,5.0,1,left,G. Antetokounmpo running DUNK (4 PTS),[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,0.8,Made,4.0,,,,,,,,,,,,,,,,,
59,PT07M40.00S,2022-11-28T01:20:07.0Z,1,REGULAR,3pt,Jump Shot,[],1627827,70.51576872536137,18.872549019607842,1610612742,20,10,2022-11-28T01:20:12Z,590000,False,-156.0,225.0,1,right,MISS D. Finney-Smith 27' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Left Center,27.33,Missed,,,,,,,,,,,,,,,,,,
60,PT07M39.00S,2022-11-28T01:20:11.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,20,10,2022-11-28T01:20:11Z,600000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,59.0,,,,,
62,PT07M36.00S,2022-11-28T01:20:26.8Z,1,REGULAR,foul,personal,['2freethrow'],1626171,,,1610612742,20,10,2022-11-28T01:20:36Z,620000,False,,,0,,B. Portis shooting personal FOUL (1 PF) (Doncic 2 FT),"[1626171, 1629029]",1610612749.0,MIL,shooting,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,,1162.0,,,,,,,1.0,0.0,Doncic,1629029.0,,,,,,
64,PT07M36.00S,2022-11-28T01:20:57.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629029,,,1610612742,20,11,2022-11-28T01:21:23Z,640000,False,,,0,,L. Doncic Free Throw 1 of 2 (4 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
65,PT07M36.00S,2022-11-28T01:20:57.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629029,,,1610612742,20,11,2022-11-28T01:21:23Z,650000,False,,,0,,MISS L. Doncic Free Throw 2 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
66,PT07M31.00S,2022-11-28T01:21:02.2Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612742,20,11,2022-11-28T01:21:23Z,660000,False,,,0,,D. Finney-Smith REBOUND (Off:1 Def:0),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,65.0,1.0,0.0,1.0,,
67,PT07M20.00S,2022-11-28T01:21:32.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629029,88.25558475689881,32.1078431372549,1610612742,20,13,2022-11-28T01:21:37Z,670000,False,-89.0,58.0,1,right,L. Doncic 10' fadeaway Jump Shot (6 PTS),[1629029],1610612742.0,DAL,fadeaway,,,Doncic,L. Doncic,,,,,Mid-Range,8-16 Left,10.66,Made,6.0,,,,,,,,,,,,,,,,,
68,PT07M01.00S,2022-11-28T01:21:52.3Z,1,REGULAR,3pt,Jump Shot,[],1626171,9.592641261498029,2.7190563725490198,1610612749,20,13,2022-11-28T01:22:12Z,680000,False,236.0,38.0,1,left,MISS B. Portis 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Right Corner 3,24+ Right,23.94,Missed,,,,,,,,,,,,,,,,,,
69,PT06M58.00S,2022-11-28T01:21:55.3Z,1,REGULAR,rebound,offensive,[],201950,,,1610612749,20,13,2022-11-28T01:21:55Z,690000,False,,,0,,J. Holiday REBOUND (Off:1 Def:0),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,68.0,1.0,0.0,1.0,,
70,PT06M57.00S,2022-11-28T01:21:56.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628960,30.699737187910642,79.65686274509804,1610612749,23,13,2022-11-28T01:22:02Z,700000,False,-148.0,236.0,1,left,G. Allen 27' 3PT  (9 PTS) (J. Holiday 2 AST),"[1628960, 201950]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,27.88,Made,9.0,,,J. Holiday,201950.0,2.0,,,,,,,,,,,,
73,PT06M42.00S,2022-11-28T01:22:29.5Z,1,REGULAR,3pt,Jump Shot,[],203501,67.23061760840999,49.01960784313725,1610612742,23,16,2022-11-28T01:22:35Z,730000,False,-5.0,256.0,1,right,T. Hardaway Jr. 25' 3PT  (3 PTS) (L. Doncic 4 AST),"[203501, 1629029]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Center,25.55,Made,3.0,,,L. Doncic,1629029.0,4.0,,,,,,,,,,,,
75,PT06M22.00S,2022-11-28T01:22:48.8Z,1,REGULAR,2pt,Jump Shot,[],1626171,6.521024967148489,77.45098039215686,1610612749,25,16,2022-11-28T01:23:53Z,750000,False,-137.0,9.0,1,left,B. Portis 13' driving floating Jump Shot (2 PTS) (G. Allen 1 AST),"[1626171, 1628960]",1610612749.0,MIL,driving floating,,,Portis,B. Portis,,,,,Mid-Range,8-16 Left,13.76,Made,2.0,,,G. Allen,1628960.0,1.0,,,,,,,,,,,,
77,PT06M14.00S,2022-11-28T01:22:59.7Z,1,REGULAR,turnover,traveling,[],1629029,,,1610612742,25,16,2022-11-28T01:23:07Z,770000,False,,,0,,L. Doncic traveling TURNOVER (3 TO),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Left,,,,203177.0,3.0,,,,,,,,,,,,,,,
78,PT06M14.00S,2022-11-28T01:23:12.9Z,1,REGULAR,substitution,out,[],203939,,,1610612749,25,16,2022-11-28T01:23:22Z,780000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M14.00S,2022-11-28T01:23:12.9Z,1,REGULAR,substitution,out,[],203915,,,1610612749,25,16,2022-11-28T01:23:22Z,790000,False,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M14.00S,2022-11-28T01:23:12.9Z,1,REGULAR,substitution,in,[],1626174,,,1610612749,25,16,2022-11-28T01:23:22Z,800000,False,,,0,,SUB in: C. Wood,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M14.00S,2022-11-28T01:23:12.9Z,1,REGULAR,substitution,in,[],1628467,,,1610612749,25,16,2022-11-28T01:23:22Z,810000,False,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M00.00S,2022-11-28T01:23:42.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201950,5.995400788436268,46.568627450980394,1610612749,27,16,2022-11-28T01:23:47Z,820000,False,17.0,4.0,1,left,J. Holiday driving finger roll Layup (7 PTS),[201950],1610612749.0,MIL,driving finger roll,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,1.76,Made,7.0,,,,,,,,,,,,,,,,,
83,PT05M40.00S,2022-11-28T01:24:02.8Z,1,REGULAR,3pt,Jump Shot,[],1629029,79.31997371879106,5.637254901960785,1610612742,27,16,2022-11-28T01:24:10Z,830000,False,-222.0,142.0,1,right,MISS L. Doncic 26' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,26.33,Missed,,,,,,,,,,,,,,,,,,
84,PT05M37.00S,2022-11-28T01:24:05.8Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,27,16,2022-11-28T01:24:10Z,840000,False,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,83.0,1.0,1.0,0.0,,
85,PT05M23.00S,2022-11-28T01:24:20.8Z,1,REGULAR,3pt,Jump Shot,[],1628960,16.245072273324574,94.36274509803921,1610612749,30,16,2022-11-28T01:24:25Z,850000,False,-222.0,100.0,1,left,G. Allen 24' 3PT  (12 PTS) (J. Carter 3 AST),"[1628960, 1628975]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,24.34,Made,12.0,,,J. Carter,1628975.0,3.0,,,,,,,,,,,,
87,PT05M23.00S,2022-11-28T01:24:27.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,30,16,2022-11-28T01:24:27Z,870000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M23.00S,2022-11-28T01:26:34.6Z,1,REGULAR,substitution,out,[],1628975,,,1610612742,30,16,2022-11-28T01:27:13Z,880000,False,,,0,,SUB out: J. Carter,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M23.00S,2022-11-28T01:26:34.6Z,1,REGULAR,substitution,in,[],1626192,,,1610612742,30,16,2022-11-28T01:27:13Z,890000,False,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,
