actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
21,PT10M15.00S,2022-10-23T00:16:41.5Z,1,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612749,5,0,2022-10-23T00:19:14Z,210000,,,0,,J. Smith Jr. clear-path personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1631095, 203507]",1610612745.0,HOU,clear-path,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1628954.0,,,,1.0,0.0,Antetokounmpo,203507.0,,
24,PT10M15.00S,2022-10-23T00:19:13.2Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,6,0,2022-10-23T00:20:04Z,240000,,,0,,G. Antetokounmpo clear-path Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,clear-path,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
25,PT10M15.00S,2022-10-23T00:19:13.2Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,7,0,2022-10-23T00:20:04Z,250000,,,0,,G. Antetokounmpo clear-path Free Throw 2 of 2 (2 PTS),[203507],1610612749.0,MIL,clear-path,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
26,PT10M07.00S,2022-10-23T00:19:19.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,11.777266754270697,40.68627450980392,1610612749,9,0,2022-10-23T00:19:25Z,260000,47.0,58.0,1,left,J. Holiday 7' driving floating Jump Shot (7 PTS) (G. Antetokounmpo 1 AST),"[201950, 203507]",1610612749.0,MIL,driving floating,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,7.46,Made,,,,,,,,7.0,,G. Antetokounmpo,203507.0,1.0,,,,,,
70,PT09M54.00S,2022-10-23T00:19:40.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,81.07752956636006,60.271139705882355,1610612745,9,0,2022-10-23T00:28:10Z,275000,51.0,125.0,1,right,MISS K. Porter Jr. 13' pullup Shot - blocked,"[1629645, 201950]",1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,13.55,Missed,,,,,,,,,,,,,,,,,Holiday,201950.0
71,PT09M54.00S,2022-10-23T00:19:40.9Z,1,REGULAR,block,,[],201950,,,1610612745,9,0,2022-10-23T00:28:10Z,277500,,,0,,J. Holiday BLOCK (1 BLK),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
72,PT09M54.00S,2022-10-23T00:19:40.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,9,0,2022-10-23T00:28:10Z,278750,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,70.0,,,,,,,,,,,,,,,,,
28,PT09M54.00S,2022-10-23T00:20:02.4Z,1,REGULAR,jumpball,recovered,[],1628960,,,1610612749,9,0,2022-10-23T00:28:10Z,280000,,,0,,Jump Ball J. Holiday vs. K. Porter Jr.: Tip to G. Allen,"[1628960, 201950, 1629645]",1610612749.0,MIL,heldball,G. Allen,1628960.0,Allen,G. Allen,Holiday,201950.0,Porter Jr.,1629645.0,,,,,,,,,,,,,,,,,,,,,,
33,PT09M51.00S,2022-10-23T00:20:06.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,7.835085413929041,50.73529411764706,1610612749,11,0,2022-10-23T00:28:50Z,330000,-4.0,21.0,1,left,G. Antetokounmpo running Layup (4 PTS) (J. Holiday 1 AST),"[203507, 201950]",1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.14,Made,,,,,,,,4.0,,J. Holiday,201950.0,1.0,,,,,,
34,PT09M51.00S,2022-10-23T00:20:10.0Z,1,REGULAR,foul,personal,['1freethrow'],1631095,,,1610612749,11,0,2022-10-23T00:20:33Z,340000,,,0,,J. Smith Jr. shooting personal FOUL (2 PF) (Antetokounmpo 1 FT),"[1631095, 203507]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1155.0,,,,2.0,0.0,Antetokounmpo,203507.0,,
37,PT09M51.00S,2022-10-23T00:20:37.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,11,0,2022-10-23T00:22:28Z,360000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M51.00S,2022-10-23T00:23:23.3Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],203507,,,1610612749,11,0,2022-10-23T00:28:50Z,370000,,,0,,MISS G. Antetokounmpo Free Throw 1 of 1,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
39,PT09M48.00S,2022-10-23T00:23:26.3Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,11,0,2022-10-23T00:23:42Z,380000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,38.0,2.0,1.0,1.0,,,,,,,,,,,,,,
40,PT09M38.00S,2022-10-23T00:23:34.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628975,29.122864651773984,78.18627450980392,1610612749,11,0,2022-10-23T00:28:50Z,390000,-141.0,221.0,1,left,MISS J. Carter 26' 3PT,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,Above the Break 3,24+ Left Center,26.23,Missed,,,,,,,,,,,,,,,,,,
41,PT09M35.00S,2022-10-23T00:23:38.0Z,1,REGULAR,rebound,defensive,[],1630231,,,1610612745,11,0,2022-10-23T00:23:38Z,400000,,,0,,K. Martin Jr. REBOUND (Off:0 Def:1),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Left Center,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,
42,PT09M25.00S,2022-10-23T00:23:48.2Z,1,REGULAR,3pt,Jump Shot,[],1630224,94.1688567674113,97.30392156862744,1610612745,11,0,2022-10-23T00:23:55Z,410000,237.0,2.0,1,right,MISS J. Green 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,23.65,Missed,,,,,,,,,,,,,,,,,,
43,PT09M22.00S,2022-10-23T00:23:51.9Z,1,REGULAR,rebound,offensive,[],1630586,,,1610612745,11,0,2022-10-23T00:23:51Z,420000,,,0,,U. Garuba REBOUND (Off:1 Def:0),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,Right Corner 3,24+ Right,,,42.0,1.0,0.0,1.0,,,,,,,,,,,,,,
44,PT09M18.00S,2022-10-23T00:23:55.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630231,83.13074901445466,95.09803921568627,1610612745,11,0,2022-10-23T00:24:01Z,430000,225.0,106.0,1,right,MISS K. Martin Jr. 24' 3PT,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Right Center,24.92,Missed,,,,,,,,,,,,,,,,,,
45,PT09M14.00S,2022-10-23T00:23:59.8Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,11,0,2022-10-23T00:24:01Z,440000,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,
46,PT09M10.00S,2022-10-23T00:24:05.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,8.09789750328515,50.245098039215684,1610612749,13,0,2022-10-23T00:24:14Z,450000,-1.0,24.0,1,left,G. Antetokounmpo Layup (6 PTS) (G. Allen 2 AST),"[203507, 1628960]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.36,Made,,,,,,,,6.0,,G. Allen,1628960.0,2.0,,,,,,
48,PT09M10.00S,2022-10-23T00:24:10.9Z,1,REGULAR,foul,personal,['1freethrow'],1630231,,,1610612749,13,0,2022-10-23T00:24:47Z,470000,,,0,,K. Martin Jr. shooting personal FOUL (1 PF) (Antetokounmpo 1 FT),"[1630231, 203507]",1610612745.0,HOU,shooting,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1628954.0,,,,1.0,0.0,Antetokounmpo,203507.0,,
50,PT09M10.00S,2022-10-23T00:24:48.8Z,1,REGULAR,freethrow,1 of 1,[],203507,,,1610612749,13,0,2022-10-23T00:24:51Z,490000,,,0,,MISS G. Antetokounmpo Free Throw 1 of 1,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
51,PT09M06.00S,2022-10-23T00:24:52.8Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,13,0,2022-10-23T00:24:51Z,500000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,
52,PT08M57.00S,2022-10-23T00:24:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,92.59198423127464,51.9607843137255,1610612745,13,2,2022-10-23T00:25:04Z,510000,10.0,17.0,1,right,K. Porter Jr. driving Layup (2 PTS),[1629645],1610612745.0,HOU,driving,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,1.97,Made,,,,,,,,2.0,,,,,,,,,,
53,PT08M40.00S,2022-10-23T00:25:16.7Z,1,REGULAR,3pt,Jump Shot,[],201572,32.933639947437584,27.941176470588236,1610612749,16,2,2022-10-23T00:25:21Z,520000,110.0,257.0,1,left,B. Lopez 27' 3PT  (3 PTS) (J. Holiday 2 AST),"[201572, 201950]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,27.98,Made,,,,,,,,3.0,,J. Holiday,201950.0,2.0,,,,,,
55,PT08M13.00S,2022-10-23T00:25:46.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612745,16,2,2022-10-23T00:25:54Z,540000,,,0,,HOU shot clock Team TURNOVER,[],1610612745.0,HOU,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,202041.0,,,,,,,,,
56,PT07M52.00S,2022-10-23T00:26:18.7Z,1,REGULAR,turnover,lost ball,[],203507,,,1610612749,16,2,2022-10-23T00:26:26Z,550000,,,0,,G. Antetokounmpo lost ball TURNOVER (1 TO),"[203507, 1630224]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Green,1630224.0,,,,,,,,,,,
57,PT07M52.00S,2022-10-23T00:26:18.7Z,1,REGULAR,steal,,[],1630224,,,1610612745,16,2,2022-10-23T00:26:21Z,560000,,,0,,J. Green STEAL (1 STL),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT07M48.00S,2022-10-23T00:26:23.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630231,92.19776609724047,53.67647058823529,1610612745,16,4,2022-10-23T00:26:34Z,570000,18.0,21.0,1,right,K. Martin Jr. running alley-oop DUNK (2 PTS) (J. Green 1 AST),"[1630231, 1630224]",1610612745.0,HOU,running alley-oop,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,2.78,Made,,,,,,,,2.0,,J. Green,1630224.0,1.0,,,,,,
60,PT07M24.00S,2022-10-23T00:26:47.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628960,7.440867279894875,41.42156862745098,1610612749,16,4,2022-10-23T00:26:54Z,590000,43.0,17.0,1,left,MISS G. Allen driving Hook,[1628960],1610612749.0,MIL,driving,,,Allen,G. Allen,,,,,In The Paint (Non-RA),0-8 Center,4.63,Missed,,,,,,,,,,,,,,,,,,
61,PT07M21.00S,2022-10-23T00:26:49.7Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,16,4,2022-10-23T00:26:49Z,600000,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,,
62,PT07M10.00S,2022-10-23T00:27:04.4Z,1,REGULAR,foul,personal,['2freethrow'],1628960,,,1610612745,16,4,2022-10-23T00:27:26Z,610000,,,0,,G. Allen shooting personal FOUL (1 PF) (Green 2 FT),"[1628960, 1630224]",1610612749.0,MIL,shooting,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202041.0,,,,1.0,0.0,Green,1630224.0,,
64,PT07M10.00S,2022-10-23T00:27:28.3Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,16,5,2022-10-23T00:27:28Z,630000,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
65,PT07M10.00S,2022-10-23T00:27:39.7Z,1,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,16,6,2022-10-23T00:27:39Z,640000,,,0,,J. Green Free Throw 2 of 2 (2 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
172,PT06M53.00S,2022-10-23T00:27:46.6Z,1,REGULAR,turnover,lost ball,[],203507,,,1610612749,16,6,2022-10-23T00:41:42Z,660000,,,0,,G. Antetokounmpo lost ball TURNOVER (2 TO),"[203507, 1630586]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2.0,Garuba,1630586.0,,,,,,,,,,,
173,PT06M53.00S,2022-10-23T00:27:46.6Z,1,REGULAR,steal,,[],1630586,,,1610612745,16,6,2022-10-23T00:41:42Z,670000,,,0,,U. Garuba STEAL (1 STL),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
69,PT06M49.00S,2022-10-23T00:28:05.0Z,1,REGULAR,foul,personal,['2freethrow'],1628960,,,1610612745,16,6,2022-10-23T00:28:20Z,680000,,,0,,G. Allen shooting personal FOUL (2 PF) (Green 2 FT),"[1628960, 1630224]",1610612749.0,MIL,shooting,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1155.0,,,,2.0,0.0,Green,1630224.0,,
74,PT06M49.00S,2022-10-23T00:28:31.9Z,1,REGULAR,freethrow,1 of 2,"['fastbreak', 'fromturnover']",1630224,,,1610612745,16,7,2022-10-23T00:41:42Z,700000,,,0,,J. Green Free Throw 1 of 2 (3 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,,,,,,,,3.0,,,,,,,,,,
75,PT06M49.00S,2022-10-23T00:28:33.2Z,1,REGULAR,substitution,out,[],1628960,,,1610612745,16,7,2022-10-23T00:28:39Z,710000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M49.00S,2022-10-23T00:28:33.2Z,1,REGULAR,substitution,in,[],201588,,,1610612745,16,7,2022-10-23T00:28:39Z,720000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M49.00S,2022-10-23T00:28:49.8Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630224,,,1610612745,16,8,2022-10-23T00:41:42Z,730000,,,0,,J. Green Free Throw 2 of 2 (4 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,,,,,,,,4.0,,,,,,,,,,
141,PT06M39.00S,2022-10-23T00:28:32.5Z,1,REGULAR,turnover,traveling,[],203507,,,1610612749,16,8,2022-10-23T00:36:26Z,735000,,,0,,G. Antetokounmpo traveling TURNOVER (3 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,3.0,,,,1628954.0,,,,,,,,,
79,PT06M30.00S,2022-10-23T00:29:18.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629645,79.84559789750328,31.127450980392158,1610612745,16,10,2022-10-23T00:29:44Z,750000,-94.0,137.0,1,right,K. Porter Jr. 16' Jump Shot (4 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,16-24 Left Center,16.64,Made,,,,,,,,4.0,,,,,,,,,,
82,PT06M14.00S,2022-10-23T00:29:34.2Z,1,REGULAR,3pt,Jump Shot,[],201572,30.56833114323259,73.77450980392157,1610612749,19,10,2022-10-23T00:29:47Z,760000,-119.0,235.0,1,left,B. Lopez 26' 3PT  (6 PTS),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,26.32,Made,,,,,,,,6.0,,,,,,,,,,
83,PT05M56.00S,2022-10-23T00:29:52.8Z,1,REGULAR,2pt,Jump Shot,[],1630224,77.08607095926413,29.411764705882355,1610612745,19,10,2022-10-23T00:29:58Z,770000,-103.0,163.0,1,right,MISS J. Green 19' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,19.27,Missed,,,,,,,,,,,,,,,,,,
84,PT05M54.00S,2022-10-23T00:29:54.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,19,10,2022-10-23T00:29:58Z,780000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Left Center,,,83.0,3.0,2.0,1.0,,,,,,,,,,,,,,
85,PT05M52.00S,2022-10-23T00:30:04.0Z,1,REGULAR,foul,personal,[],1630224,,,1610612749,19,10,2022-10-23T00:30:20Z,790000,,,0,,J. Green personal FOUL (1 PF),"[1630224, 1628975]",1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1155.0,,,,1.0,0.0,Carter,1628975.0,,
88,PT05M52.00S,2022-10-23T00:30:17.7Z,1,REGULAR,substitution,out,[],1628975,,,1610612749,19,10,2022-10-23T00:30:37Z,810000,,,0,,SUB out: J. Carter,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M52.00S,2022-10-23T00:30:17.7Z,1,REGULAR,substitution,out,[],203507,,,1610612749,19,10,2022-10-23T00:30:37Z,820000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M52.00S,2022-10-23T00:30:17.7Z,1,REGULAR,substitution,out,[],1631095,,,1610612749,19,10,2022-10-23T00:30:37Z,830000,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M52.00S,2022-10-23T00:30:17.7Z,1,REGULAR,substitution,out,[],1629645,,,1610612749,19,10,2022-10-23T00:30:37Z,840000,,,0,,SUB out: K. Porter Jr.,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M52.00S,2022-10-23T00:30:17.7Z,1,REGULAR,substitution,out,[],1630586,,,1610612749,19,10,2022-10-23T00:30:37Z,850000,,,0,,SUB out: U. Garuba,[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,,,,,,,,,
