actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
16,PT10M49.00S,2022-12-03T00:47:48.2Z,1,REGULAR,rebound,offensive,[],1628972,,,1610612747,2,1,2022-12-03T00:47:50Z,160000,False,,,0,,T. Brown Jr. REBOUND (Off:1 Def:0),[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
17,PT10M41.00S,2022-12-03T00:47:55.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],2544,25.443495400788436,35.294117647058826,1610612747,2,1,2022-12-03T00:48:07Z,170000,False,74.0,187.0,1,left,MISS L. James 20' pullup Shot,[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,Mid-Range,16-24 Right Center,20.06,Missed,,,,,,,,,,,,,,,,,,
18,PT10M37.00S,2022-12-03T00:47:59.5Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,2,1,2022-12-03T00:48:07Z,180000,False,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Right Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M30.00S,2022-12-03T00:48:06.7Z,1,REGULAR,3pt,Jump Shot,[],201572,66.83639947437582,19.11764705882353,1610612749,5,1,2022-12-03T00:48:11Z,190000,False,-154.0,259.0,1,right,B. Lopez 30' 3PT  (3 PTS) (K. Middleton 1 AST),"[201572, 203114]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,30.17,Made,,,,,3.0,K. Middleton,203114.0,1.0,,,,,,,,,,
21,PT10M14.00S,2022-12-03T00:48:22.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629022,13.87976346911958,51.71568627450981,1610612747,5,1,2022-12-03T00:48:29Z,210000,False,-9.0,78.0,1,left,MISS L. Walker IV 7' driving floating Shot - blocked,"[1629022, 201572]",1610612747.0,LAL,driving floating,,,Walker IV,L. Walker IV,,,,,In The Paint (Non-RA),0-8 Center,7.85,Missed,,,,,,,,,,,,Lopez,201572.0,,,,,
22,PT10M14.00S,2022-12-03T00:48:22.8Z,1,REGULAR,block,,[],201572,,,1610612747,5,1,2022-12-03T00:48:25Z,220000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M10.00S,2022-12-03T00:48:26.8Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,5,1,2022-12-03T00:48:29Z,230000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT10M07.00S,2022-12-03T00:48:33.0Z,1,REGULAR,foul,personal,[],201976,,,1610612749,5,1,2022-12-03T00:48:39Z,240000,False,,,0,,P. Beverley personal FOUL (1 PF),"[201976, 1628960]",1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2534.0,1.0,0.0,,,Allen,1628960.0,,,
26,PT10M00.00S,2022-12-03T00:48:54.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,93.24901445466492,49.754901960784316,1610612749,7,1,2022-12-03T00:48:58Z,260000,False,-1.0,11.0,1,right,J. Holiday driving Layup (2 PTS),[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,1.11,Made,,,,,2.0,,,,,,,,,,,,,
27,PT09M42.00S,2022-12-03T00:49:12.5Z,1,REGULAR,3pt,Jump Shot,[],201976,25.969119579500656,83.82352941176471,1610612747,7,4,2022-12-03T00:49:44Z,270000,False,-169.0,192.0,1,left,P. Beverley 25' 3PT pullup (3 PTS),[201976],1610612747.0,LAL,pullup,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Left Center,25.55,Made,,,,,3.0,,,,,,,,,,,,,
28,PT09M32.00S,2022-12-03T00:49:22.1Z,1,REGULAR,3pt,Jump Shot,[],201950,77.7431011826544,8.823529411764707,1610612749,7,4,2022-12-03T00:50:02Z,280000,False,-206.0,157.0,1,right,MISS J. Holiday 25' pullup 3PT,[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,25.87,Missed,,,,,,,,,,,,,,,,,,
29,PT09M28.00S,2022-12-03T00:49:26.1Z,1,REGULAR,rebound,defensive,[],201976,,,1610612747,7,4,2022-12-03T00:49:28Z,290000,False,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Left Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT09M17.00S,2022-12-03T00:49:37.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201976,8.492115637319317,47.30392156862745,1610612747,7,6,2022-12-03T00:49:45Z,300000,False,13.0,27.0,1,left,P. Beverley driving Hook (5 PTS),[201976],1610612747.0,LAL,driving,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,3.05,Made,,,,,5.0,,,,,,,,,,,,,
31,PT09M02.00S,2022-12-03T00:49:52.2Z,1,REGULAR,2pt,Jump Shot,[],203114,81.15965834428384,31.127450980392158,1610612749,9,6,2022-12-03T00:49:56Z,310000,False,-94.0,125.0,1,right,K. Middleton 15' fadeaway Jump Shot (2 PTS),[203114],1610612749.0,MIL,fadeaway,,,Middleton,K. Middleton,,,,,Mid-Range,8-16 Left,15.63,Made,,,,,2.0,,,,,,,,,,,,,
32,PT08M49.00S,2022-12-03T00:50:05.2Z,1,REGULAR,2pt,Jump Shot,[],203076,25.312089356110377,46.07843137254902,1610612747,9,8,2022-12-03T00:50:10Z,320000,False,20.0,185.0,1,left,A. Davis 18' pullup Jump Shot (3 PTS),[203076],1610612747.0,LAL,pullup,,,Davis,A. Davis,,,,,Mid-Range,16-24 Center,18.64,Made,,,,,3.0,,,,,,,,,,,,,
33,PT08M28.00S,2022-12-03T00:50:28.5Z,1,REGULAR,foul,personal,['2freethrow'],1629022,,,1610612749,9,8,2022-12-03T00:50:43Z,330000,False,,,0,,L. Walker IV shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1629022, 203507]",1610612747.0,LAL,shooting,,,Walker IV,L. Walker IV,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201245.0,1.0,0.0,,,Antetokounmpo,203507.0,,,
35,PT08M28.00S,2022-12-03T00:51:11.1Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,10,8,2022-12-03T00:51:43Z,350000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
36,PT08M28.00S,2022-12-03T00:51:11.1Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,10,8,2022-12-03T00:51:43Z,360000,False,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
37,PT08M25.00S,2022-12-03T00:51:14.1Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612747,10,8,2022-12-03T00:51:43Z,370000,False,,,0,,T. Brown Jr. REBOUND (Off:1 Def:1),[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,36.0,2.0,1.0,1.0,,,,,,,,,,,,,,
38,PT08M15.00S,2022-12-03T00:51:53.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203076,6.389618922470433,49.01960784313725,1610612747,10,10,2022-12-03T00:52:09Z,380000,False,5.0,8.0,1,left,A. Davis cutting DUNK (5 PTS) (L. James 1 AST),"[203076, 2544]",1610612747.0,LAL,cutting,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,0.9,Made,,,,,5.0,L. James,2544.0,1.0,,,,,,,,,,
40,PT08M06.00S,2022-12-03T00:52:01.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,94.1688567674113,50.98039215686274,1610612749,10,10,2022-12-03T00:52:14Z,400000,False,5.0,2.0,1,right,MISS G. Antetokounmpo driving DUNK,[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,0.54,Missed,,,,,,,,,,,,,,,,,,
41,PT08M06.00S,2022-12-03T00:52:01.6Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,10,10,2022-12-03T00:52:14Z,410000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:0),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,40.0,1.0,0.0,1.0,,,,,,,,,,,,,,
42,PT08M00.00S,2022-12-03T00:52:08.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203507,92.9862023653088,48.77450980392157,1610612749,12,10,2022-12-03T00:52:19Z,420000,False,-6.0,13.0,1,right,G. Antetokounmpo Layup (3 PTS) (K. Middleton 2 AST),"[203507, 203114]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,3.0,K. Middleton,203114.0,2.0,,,,,,,,,,
44,PT07M49.00S,2022-12-03T00:52:18.2Z,1,REGULAR,3pt,Jump Shot,[],1628972,33.590670170827856,68.13725490196079,1610612747,12,13,2022-12-03T00:53:56Z,440000,False,-91.0,263.0,1,left,T. Brown Jr. 27' 3PT pullup (3 PTS) (A. Davis 1 AST),"[1628972, 203076]",1610612747.0,LAL,pullup,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Left Center,27.85,Made,,,,,3.0,A. Davis,203076.0,1.0,,,,,,,,,,
46,PT07M34.00S,2022-12-03T00:52:33.7Z,1,REGULAR,3pt,Jump Shot,[],203507,66.44218134034165,43.627450980392155,1610612749,12,13,2022-12-03T00:52:41Z,460000,False,-32.0,263.0,1,right,MISS G. Antetokounmpo 26' 3PT,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,26.48,Missed,,,,,,,,,,,,,,,,,,
47,PT07M32.00S,2022-12-03T00:52:35.7Z,1,REGULAR,rebound,defensive,[],201976,,,1610612747,12,13,2022-12-03T00:52:41Z,470000,False,,,0,,P. Beverley REBOUND (Off:0 Def:2),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Center,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,,,
48,PT07M23.00S,2022-12-03T00:52:45.1Z,1,REGULAR,2pt,Jump Shot,[],203076,21.107095926412615,66.66666666666666,1610612747,12,15,2022-12-03T00:52:49Z,480000,False,-83.0,146.0,1,left,A. Davis 16' Jump Shot (7 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Left Center,16.8,Made,,,,,7.0,,,,,,,,,,,,,
49,PT07M23.00S,2022-12-03T00:52:50.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,12,15,2022-12-03T00:52:50Z,490000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M23.00S,2022-12-03T00:55:40.4Z,1,REGULAR,substitution,out,[],201572,,,1610612749,12,15,2022-12-03T00:56:07Z,500000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M23.00S,2022-12-03T00:55:40.4Z,1,REGULAR,substitution,out,[],203114,,,1610612749,12,15,2022-12-03T00:56:07Z,510000,False,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M23.00S,2022-12-03T00:55:40.4Z,1,REGULAR,substitution,in,[],1626171,,,1610612749,12,15,2022-12-03T00:56:07Z,520000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M23.00S,2022-12-03T00:55:40.4Z,1,REGULAR,substitution,in,[],1628975,,,1610612749,12,15,2022-12-03T00:56:07Z,530000,False,,,0,,SUB in: J. Carter,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M07.00S,2022-12-03T00:56:32.2Z,1,REGULAR,3pt,Jump Shot,[],1626171,95.22010512483574,3.431372549019608,1610612749,12,15,2022-12-03T00:56:40Z,540000,False,-233.0,-8.0,1,right,MISS B. Portis 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Left Corner 3,24+ Left,23.29,Missed,,,,,,,,,,,,,,,,,,
55,PT07M03.00S,2022-12-03T00:56:36.2Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,12,15,2022-12-03T00:56:40Z,550000,False,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Left Corner 3,24+ Left,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,
56,PT07M02.00S,2022-12-03T00:56:37.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628972,5.995400788436268,48.28431372549019,1610612747,12,17,2022-12-03T00:56:45Z,560000,False,9.0,4.0,1,left,T. Brown Jr. running Layup (5 PTS) (P. Beverley 1 AST),"[1628972, 201976]",1610612747.0,LAL,running,,,Brown Jr.,T. Brown Jr.,,,,,Restricted Area,0-8 Center,0.94,Made,,,,,5.0,P. Beverley,201976.0,1.0,,,,,,,,,,
58,PT06M47.00S,2022-12-03T00:56:52.3Z,1,REGULAR,3pt,Jump Shot,[],1628960,68.41327201051249,69.6078431372549,1610612749,15,17,2022-12-03T00:56:56Z,580000,False,98.0,244.0,1,right,G. Allen 26' 3PT  (5 PTS) (J. Holiday 1 AST),"[1628960, 201950]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,26.33,Made,,,,,5.0,J. Holiday,201950.0,1.0,,,,,,,,,,
60,PT06M32.00S,2022-12-03T00:57:07.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,9.674770039421814,48.77450980392157,1610612747,15,17,2022-12-03T00:57:15Z,600000,False,6.0,38.0,1,left,MISS A. Davis driving reverse Layup,[203076],1610612747.0,LAL,driving reverse,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,3.89,Missed,,,,,,,,,,,,,,,,,,
61,PT06M28.00S,2022-12-03T00:57:11.8Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,15,17,2022-12-03T00:57:15Z,610000,False,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,,
80,PT06M26.00S,2022-12-03T00:57:15.4Z,1,REGULAR,turnover,bad pass,[],1628975,,,1610612749,15,17,2022-12-03T00:59:58Z,630000,False,,,0,,J. Carter bad pass TURNOVER (1 TO),"[1628975, 1628972]",1610612749.0,MIL,,,,Carter,J. Carter,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,1.0,Brown Jr.,1628972.0
81,PT06M26.00S,2022-12-03T00:57:15.4Z,1,REGULAR,steal,,[],1628972,,,1610612747,15,17,2022-12-03T00:59:58Z,640000,False,,,0,,T. Brown Jr. STEAL (1 STL),[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
65,PT06M16.00S,2022-12-03T00:57:23.1Z,1,REGULAR,turnover,bad pass,[],201976,,,1610612747,15,17,2022-12-03T00:57:29Z,650000,False,,,0,,P. Beverley bad pass TURNOVER (1 TO),"[201976, 1628975]",1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,1.0,Carter,1628975.0
66,PT06M16.00S,2022-12-03T00:57:23.1Z,1,REGULAR,steal,,[],1628975,,,1610612749,15,17,2022-12-03T01:00:10Z,660000,False,,,0,,J. Carter STEAL (1 STL),[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
67,PT06M05.00S,2022-12-03T00:57:34.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628975,68.80749014454665,21.07843137254902,1610612749,15,17,2022-12-03T00:57:38Z,670000,False,-145.0,241.0,1,right,MISS J. Carter 28' 3PT,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,Above the Break 3,24+ Left Center,28.08,Missed,,,,,,,,,,,,,,,,,,
68,PT06M03.00S,2022-12-03T00:57:36.1Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,15,17,2022-12-03T00:57:38Z,680000,False,,,0,,B. Portis REBOUND (Off:1 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,,,67.0,2.0,1.0,1.0,,,,,,,,,,,,,,
69,PT06M02.00S,2022-12-03T00:57:37.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626171,92.85479632063075,53.431372549019606,1610612749,15,17,2022-12-03T00:57:42Z,690000,False,17.0,15.0,1,right,MISS B. Portis putback Layup,[1626171],1610612749.0,MIL,putback,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,2.26,Missed,,,,,,,,,,,,,,,,,,
70,PT06M02.00S,2022-12-03T00:57:37.1Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,15,17,2022-12-03T00:57:42Z,700000,False,,,0,,B. Portis REBOUND (Off:2 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,69.0,3.0,1.0,2.0,,,,,,,,,,,,,,
71,PT05M59.00S,2022-12-03T00:57:40.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626171,94.40999984741211,50.0,1610612749,17,17,2022-12-03T00:57:40Z,710000,False,0.0,0.0,1,right,B. Portis tip Layup (2 PTS),[1626171],1610612749.0,MIL,tip,,,Portis,B. Portis,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
72,PT05M47.00S,2022-12-03T00:57:52.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,7.966491458607096,47.30392156862745,1610612747,17,17,2022-12-03T00:58:00Z,720000,False,13.0,22.0,1,left,MISS L. James driving Layup,[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,Restricted Area,0-8 Center,2.62,Missed,,,,,,,,,,,,,,,,,,
73,PT05M44.00S,2022-12-03T00:57:55.6Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,17,17,2022-12-03T00:58:00Z,730000,False,,,0,,J. Holiday REBOUND (Off:0 Def:2),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,,
74,PT05M41.00S,2022-12-03T00:58:01.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201950,69.64520367936925,68.40533088235294,1610612749,20,17,2022-12-03T01:01:10Z,740000,False,92.0,233.0,1,right,J. Holiday 25' 3PT running (5 PTS),[201950],1610612749.0,MIL,running,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,25.03,Made,,,,,5.0,,,,,,,,,,,,,
75,PT05M17.00S,2022-12-03T00:58:21.9Z,1,REGULAR,2pt,Jump Shot,[],1629022,13.61695137976347,33.088235294117645,1610612747,20,17,2022-12-03T00:58:26Z,750000,False,85.0,75.0,1,left,MISS L. Walker IV 11' pullup Shot,[1629022],1610612747.0,LAL,pullup,,,Walker IV,L. Walker IV,,,,,Mid-Range,8-16 Right,11.34,Missed,,,,,,,,,,,,,,,,,,
76,PT05M15.00S,2022-12-03T00:58:23.9Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,20,17,2022-12-03T00:58:26Z,760000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Right,,,75.0,2.0,1.0,1.0,,,,,,,,,,,,,,
77,PT05M06.00S,2022-12-03T00:58:33.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626171,85.3646517739816,34.55882352941176,1610612749,22,17,2022-12-03T00:58:37Z,770000,False,-77.0,85.0,1,right,B. Portis 11' driving floating Jump Shot (4 PTS) (G. Antetokounmpo 2 AST),"[1626171, 203507]",1610612749.0,MIL,driving floating,,,Portis,B. Portis,,,,,In The Paint (Non-RA),8-16 Left,11.49,Made,,,,,4.0,G. Antetokounmpo,203507.0,2.0,,,,,,,,,,
79,PT04M58.00S,2022-12-03T00:58:45.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,22,17,2022-12-03T00:58:45Z,790000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M58.00S,2022-12-03T01:01:36.4Z,1,REGULAR,substitution,out,[],1628960,,,1610612747,22,17,2022-12-03T01:02:11Z,800000,False,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M58.00S,2022-12-03T01:01:36.4Z,1,REGULAR,substitution,out,[],203507,,,1610612747,22,17,2022-12-03T01:02:11Z,810000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
