actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
41,PT08M38.00S,2022-11-03T00:15:37.9Z,1,REGULAR,freethrow,1 of 2,[],1630191,,,1610612765,11,5,2022-11-03T00:15:37Z,410000,,,0,,I. Stewart Free Throw 1 of 2 (3 PTS),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
42,PT08M38.00S,2022-11-03T00:15:54.0Z,1,REGULAR,freethrow,2 of 2,[],1630191,,,1610612765,11,6,2022-11-03T00:15:54Z,420000,,,0,,I. Stewart Free Throw 2 of 2 (4 PTS),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
43,PT08M29.00S,2022-11-03T00:16:08.0Z,1,REGULAR,foul,personal,[],1630180,,,1610612749,11,6,2022-11-03T00:16:35Z,430000,,,0,,S. Bey personal FOUL (1 PF),"[1630180, 201572]",1610612765.0,DET,,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,,,,,,,,1626302.0,1.0,0.0,Lopez,201572.0,,,,,,,,
45,PT08M22.00S,2022-11-03T00:16:31.3Z,1,REGULAR,3pt,Jump Shot,[],1628960,31.09395532194481,35.294117647058826,1610612749,11,6,2022-11-03T00:16:38Z,450000,74.0,240.0,1,left,MISS G. Allen 25' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,25.08,Missed,,,,,,,,,,,,,,,,,,
46,PT08M19.00S,2022-11-03T00:16:34.5Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,11,6,2022-11-03T00:16:34Z,460000,,,0,,I. Stewart REBOUND (Off:0 Def:2),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Center,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,
47,PT08M09.00S,2022-11-03T00:16:43.1Z,1,REGULAR,turnover,lost ball,[],1630180,,,1610612765,11,6,2022-11-03T00:16:56Z,470000,,,0,,S. Bey lost ball TURNOVER (1 TO),"[1630180, 203507]",1610612765.0,DET,,,,Bey,S. Bey,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,1.0,Antetokounmpo,203507.0,,,,,
48,PT08M09.00S,2022-11-03T00:16:43.1Z,1,REGULAR,steal,,[],203507,,,1610612749,11,6,2022-11-03T00:16:47Z,480000,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
49,PT08M01.00S,2022-11-03T00:16:51.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201572,33.065045992115635,58.333333333333336,1610612749,11,6,2022-11-03T00:17:00Z,490000,-42.0,258.0,1,left,MISS B. Lopez 26' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,26.16,Missed,,,,,,,,,,,,,,,,,,
50,PT07M55.00S,2022-11-03T00:16:57.6Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,11,6,2022-11-03T00:17:00Z,500000,,,0,,G. Antetokounmpo REBOUND (Off:3 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,49.0,4.0,1.0,3.0,,,,,,,,,,,,,,
51,PT07M55.00S,2022-11-03T00:16:57.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203507,5.590000152587891,50.0,1610612749,13,6,2022-11-03T00:16:57Z,510000,0.0,0.0,1,left,G. Antetokounmpo putback Layup (9 PTS),[203507],1610612749.0,MIL,putback,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,9.0,,,,,,,,,,,,,
52,PT07M54.00S,2022-11-03T00:17:02.8Z,1,REGULAR,foul,personal,[],1628975,,,1610612765,13,6,2022-11-03T00:17:10Z,520000,,,0,,J. Carter personal FOUL (1 PF),"[1628975, 1631093]",1610612749.0,MIL,,,,Carter,J. Carter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,203591.0,1.0,0.0,Ivey,1631093.0,,,,,,,,
54,PT07M54.00S,2022-11-03T00:17:16.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,13,6,2022-11-03T00:17:16Z,540000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M54.00S,2022-11-03T00:19:30.7Z,1,REGULAR,substitution,out,[],201572,,,1610612765,13,6,2022-11-03T00:19:54Z,550000,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M54.00S,2022-11-03T00:19:30.7Z,1,REGULAR,substitution,in,[],1626171,,,1610612765,13,6,2022-11-03T00:19:54Z,560000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M42.00S,2022-11-03T00:20:21.0Z,1,REGULAR,3pt,Jump Shot,[],202711,68.67608409986859,26.96078431372549,1610612765,13,9,2022-11-03T00:20:25Z,570000,-115.0,242.0,1,right,B. Bogdanovic 26' 3PT  (5 PTS) (C. Cunningham 2 AST),"[202711, 1630595]",1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Left Center,26.79,Made,,,,,5.0,,,,,,,,,C. Cunningham,1630595.0,2.0,,
60,PT07M28.00S,2022-11-03T00:20:34.9Z,1,REGULAR,3pt,Jump Shot,[],1628975,5.732588699080158,96.07843137254902,1610612749,13,9,2022-11-03T00:20:41Z,590000,-230.0,1.0,1,left,MISS J. Carter 3PT,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,Left Corner 3,24+ Left,23.04,Missed,,,,,,,,,,,,,,,,,,
61,PT07M23.00S,2022-11-03T00:20:39.9Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,13,9,2022-11-03T00:20:41Z,600000,,,0,,I. Stewart REBOUND (Off:0 Def:3),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Left Corner 3,24+ Left,,,60.0,3.0,3.0,0.0,,,,,,,,,,,,,,
62,PT07M16.00S,2022-11-03T00:20:47.2Z,1,REGULAR,turnover,lost ball,[],202711,,,1610612765,13,9,2022-11-03T00:20:56Z,610000,,,0,,B. Bogdanovic lost ball TURNOVER (2 TO),"[202711, 1628960]",1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,2.0,Allen,1628960.0,,,,,
63,PT07M16.00S,2022-11-03T00:20:47.2Z,1,REGULAR,steal,,[],1628960,,,1610612749,13,9,2022-11-03T00:20:50Z,620000,,,0,,G. Allen STEAL (1 STL),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
64,PT07M10.00S,2022-11-03T00:20:53.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626171,9.674770039421814,4.411764705882353,1610612749,13,9,2022-11-03T00:21:00Z,630000,228.0,38.0,1,left,MISS B. Portis running 3PT,[1626171],1610612749.0,MIL,running,,,Portis,B. Portis,,,,,Right Corner 3,24+ Right,23.11,Missed,,,,,,,,,,,,,,,,,,
65,PT07M07.00S,2022-11-03T00:20:56.2Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,13,9,2022-11-03T00:20:56Z,640000,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Right Corner 3,24+ Right,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,,
66,PT07M03.00S,2022-11-03T00:21:00.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631093,94.43166885676742,48.77450980392157,1610612765,13,9,2022-11-03T00:21:07Z,650000,-6.0,0.0,1,right,MISS J. Ivey running reverse Layup,[1631093],1610612765.0,DET,running reverse,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,0.61,Missed,,,,,,,,,,,,,,,,,,
67,PT07M01.00S,2022-11-03T00:21:02.1Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,13,9,2022-11-03T00:21:07Z,660000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,
68,PT06M58.00S,2022-11-03T00:21:05.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,5.338370565045992,50.245098039215684,1610612749,13,9,2022-11-03T00:21:12Z,670000,-1.0,-2.0,1,left,MISS G. Antetokounmpo running Layup,[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,0.26,Missed,,,,,,,,,,,,,,,,,,
69,PT06M55.00S,2022-11-03T00:21:08.4Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,13,9,2022-11-03T00:21:12Z,680000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,68.0,1.0,1.0,0.0,,,,,,,,,,,,,,
70,PT06M49.00S,2022-11-03T00:21:13.8Z,1,REGULAR,3pt,Jump Shot,[],202711,89.04402102496715,95.83333333333334,1610612765,13,12,2022-11-03T00:21:21Z,690000,229.0,50.0,1,right,B. Bogdanovic 3PT step back (8 PTS) (C. Cunningham 3 AST),"[202711, 1630595]",1610612765.0,DET,step back,,,Bogdanovic,B. Bogdanovic,,,,,Right Corner 3,24+ Right,23.47,Made,,,,,8.0,,,,,,,,,C. Cunningham,1630595.0,3.0,,
72,PT06M29.00S,2022-11-03T00:21:33.4Z,1,REGULAR,3pt,Jump Shot,[],201950,32.013797634691194,66.91176470588235,1610612749,13,12,2022-11-03T00:21:43Z,710000,-85.0,248.0,1,left,MISS J. Holiday 26' 3PT,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,26.24,Missed,,,,,,,,,,,,,,,,,,
73,PT06M26.00S,2022-11-03T00:21:36.4Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,13,12,2022-11-03T00:21:43Z,720000,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,,
74,PT06M25.00S,2022-11-03T00:21:39.4Z,1,REGULAR,foul,personal,['2freethrow'],1628960,,,1610612765,13,12,2022-11-03T00:21:57Z,730000,,,0,,G. Allen shooting personal FOUL (1 PF) (Bey 2 FT),"[1628960, 1630180]",1610612749.0,MIL,shooting,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,1626302.0,1.0,0.0,Bey,1630180.0,,,,,,,,
76,PT06M25.00S,2022-11-03T00:22:08.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630180,,,1610612765,13,13,2022-11-03T00:22:08Z,750000,,,0,,S. Bey Free Throw 1 of 2 (1 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
77,PT06M25.00S,2022-11-03T00:22:09.9Z,1,REGULAR,substitution,out,[],1628960,,,1610612765,13,13,2022-11-03T00:22:15Z,760000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M25.00S,2022-11-03T00:22:09.9Z,1,REGULAR,substitution,out,[],203507,,,1610612765,13,13,2022-11-03T00:22:15Z,770000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M25.00S,2022-11-03T00:22:09.9Z,1,REGULAR,substitution,in,[],1629670,,,1610612765,13,13,2022-11-03T00:22:15Z,780000,,,0,,SUB in: J. Nwora,[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M25.00S,2022-11-03T00:22:09.9Z,1,REGULAR,substitution,in,[],201572,,,1610612765,13,13,2022-11-03T00:22:15Z,790000,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M25.00S,2022-11-03T00:22:28.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630180,,,1610612765,13,14,2022-11-03T00:22:28Z,800000,,,0,,S. Bey Free Throw 2 of 2 (2 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
