shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
09:46,36,PT09M46.00S,2022-12-13T00:15:20.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628389,14.931011826544022,65.68627450980392,1610612748,5,6,2022-12-13T00:15:42Z,360000,False,-78.0,88.0,1,left,B. Adebayo 11' fadeaway Jump Shot (4 PTS),[1628389],13,1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Left,,,,,,Made,4.0,11.78,,,,,,,,,,,,
09:27,37,PT09M27.00S,2022-12-13T00:15:38.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,91.01511169513797,44.11764705882353,1610612754,7,6,2022-12-13T00:15:52Z,370000,False,-29.0,32.0,1,right,B. Hield driving finger roll Layup (2 PTS) (M. Turner 1 AST),"[1627741, 1626167]",24,1610612754.0,IND,driving finger roll,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,4.35,M. Turner,1626167.0,1.0,,,,,,,,,
09:06,39,PT09M06.00S,2022-12-13T00:16:13.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202710,5.863994743758213,49.50980392156863,1610612748,7,8,2022-12-13T00:16:17Z,390000,False,2.0,3.0,1,left,J. Butler cutting DUNK (4 PTS) (T. Herro 2 AST),"[202710, 1629639]",22,1610612748.0,MIA,cutting,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,0.36,T. Herro,1629639.0,2.0,,,,,,,,,
08:53,42,PT08M53.00S,2022-12-13T00:16:46.5Z,1,REGULAR,2pt,Jump Shot,[],1627741,92.46057818659659,85.29411764705883,1610612754,9,8,2022-12-13T00:16:50Z,420000,False,176.0,18.0,1,right,B. Hield 17' pullup Jump Shot (4 PTS) (T. Haliburton 1 AST),"[1627741, 1630169]",24,1610612754.0,IND,pullup,,,Hield,B. Hield,,,,,Mid-Range,16-24 Right,,,,,,Made,4.0,17.75,T. Haliburton,1630169.0,1.0,,,,,,,,,
08:34,45,PT08M34.00S,2022-12-13T00:17:04.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,8.754927726675426,37.99019607843137,1610612748,9,8,2022-12-13T00:17:10Z,450000,False,60.0,30.0,1,left,MISS B. Adebayo 6' turnaround bank Shot,[1628389],13,1610612748.0,MIA,turnaround bank,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,6.7,,,,,,,,,,,,
08:31,46,PT08M31.00S,2022-12-13T00:17:07.7Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,9,8,2022-12-13T00:17:10Z,460000,False,,,0,,B. Hield REBOUND (Off:0 Def:2),[1627741],24,1610612754.0,IND,,,,Hield,B. Hield,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,45.0,2.0,2.0,0.0,,,,,
08:26,47,PT08M26.00S,2022-12-13T00:17:14.7Z,1,REGULAR,turnover,traveling,[],1630169,,,1610612754,9,8,2022-12-13T00:17:20Z,470000,False,,,0,,T. Haliburton traveling TURNOVER (1 TO),[1630169],0,1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Right,1626300.0,,,,,,,,,,,,,,,1.0,,,,
08:07,48,PT08M07.00S,2022-12-13T00:17:47.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629639,34.90473061760841,37.5,1610612748,9,11,2022-12-13T00:17:57Z,480000,False,62.0,276.0,1,left,T. Herro 28' 3PT  (3 PTS) (J. Butler 1 AST),"[1629639, 202710]",14,1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,28.26,J. Butler,202710.0,1.0,,,,,,,,,
07:47,50,PT07M47.00S,2022-12-13T00:18:06.6Z,1,REGULAR,3pt,Jump Shot,[],1630169,70.25295663600527,23.03921568627451,1610612754,9,11,2022-12-13T00:18:11Z,500000,False,-135.0,227.0,1,right,MISS T. Haliburton 26' step back 3PT,[1630169],0,1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,26.41,,,,,,,,,,,,
07:43,51,PT07M43.00S,2022-12-13T00:18:10.6Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,9,11,2022-12-13T00:18:11Z,510000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],13,1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,50.0,2.0,2.0,0.0,,,,,
07:40,52,PT07M40.00S,2022-12-13T00:18:15.8Z,1,REGULAR,foul,offensive,[],1629639,,,1610612748,9,11,2022-12-13T00:18:23Z,520000,False,,,0,,T. Herro offensive FOUL (1 PF),"[1629639, 1630174]",14,1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,1627534.0,1.0,0.0,Nesmith,1630174.0,,,,,,,,,,,,,,,
07:40,54,PT07M40.00S,2022-12-13T00:18:15.8Z,1,REGULAR,turnover,offensive foul,[],1629639,,,1610612748,9,11,2022-12-13T00:18:15Z,540000,False,,,0,,T. Herro offensive foul TURNOVER (1 TO),[1629639],14,1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,1627534.0,,,,,,,,,,,,,,,1.0,,,,
07:19,55,PT07M19.00S,2022-12-13T00:18:50.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626167,83.78777923784494,51.71568627450981,1610612754,11,11,2022-12-13T00:18:54Z,550000,False,9.0,100.0,1,right,M. Turner 10' turnaround Jump Shot (2 PTS),[1626167],33,1610612754.0,IND,turnaround,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,10.03,,,,,,,,,,,,
07:05,56,PT07M05.00S,2022-12-13T00:19:04.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628997,7.046649145860711,47.05882352941176,1610612748,11,11,2022-12-13T00:19:08Z,560000,False,15.0,14.0,1,left,MISS C. Martin Layup - blocked,"[1628997, 1630169]",16,1610612748.0,MIA,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.01,,,,,,,,,,,Haliburton,1630169.0
07:05,57,PT07M05.00S,2022-12-13T00:19:04.0Z,1,REGULAR,block,,[],1630169,,,1610612748,11,11,2022-12-13T00:19:05Z,570000,False,,,0,,T. Haliburton BLOCK (1 BLK),[1630169],0,1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
07:05,58,PT07M05.00S,2022-12-13T00:19:04.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,11,11,2022-12-13T00:19:08Z,580000,False,,,0,,TEAM defensive REBOUND,[],,1610612754.0,IND,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,56.0,,,,,,,,
06:57,60,PT06M57.00S,2022-12-13T00:19:17.2Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,11,11,2022-12-13T00:19:20Z,600000,False,,,0,,T. Haliburton bad pass TURNOVER (2 TO),"[1630169, 1628997]",0,1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2.0,Martin,1628997.0,,
06:57,61,PT06M57.00S,2022-12-13T00:19:17.2Z,1,REGULAR,steal,,[],1628997,,,1610612748,11,11,2022-12-13T00:19:18Z,610000,False,,,0,,C. Martin STEAL (1 STL),[1628997],16,1610612748.0,MIA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
06:50,62,PT06M50.00S,2022-12-13T00:19:24.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],200768,30.962549277266753,67.64705882352942,1610612748,11,14,2022-12-13T00:19:30Z,620000,False,-88.0,239.0,1,left,K. Lowry 25' 3PT  (3 PTS) (T. Herro 3 AST),"[200768, 1629639]",7,1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,25.43,T. Herro,1629639.0,3.0,,,,,,,,,
06:49,64,PT06M49.00S,2022-12-13T00:19:30.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,11,14,2022-12-13T00:19:30Z,640000,False,,,0,,IND Timeout,[],,1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:49,65,PT06M49.00S,2022-12-13T00:21:52.2Z,1,REGULAR,substitution,out,[],1627741,,,1610612754,11,14,2022-12-13T00:22:18Z,650000,False,,,0,,SUB out: B. Hield,[1627741],24,1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
06:49,66,PT06M49.00S,2022-12-13T00:21:52.2Z,1,REGULAR,substitution,in,[],1631097,,,1610612754,11,14,2022-12-13T00:22:18Z,660000,False,,,0,,SUB in: B. Mathurin,[1631097],00,1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
06:49,69,PT06M49.00S,2022-12-13T00:22:32.4Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612754,11,14,2022-12-13T00:22:38Z,680000,False,,,0,,TEAM delay-of-game VIOLATION,[],,1610612754.0,IND,,,,,,,,,,,,2004.0,,,,,,,,,,,,,,,,,,,
06:32,70,PT06M32.00S,2022-12-13T00:22:58.1Z,1,REGULAR,3pt,Jump Shot,[],1629614,67.36202365308804,62.5,1610612754,11,14,2022-12-13T00:23:03Z,690000,False,62.0,254.0,1,right,MISS A. Nembhard 26' step back 3PT,[1629614],2,1610612754.0,IND,step back,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,,,,,,Missed,,26.19,,,,,,,,,,,,
06:29,71,PT06M29.00S,2022-12-13T00:23:01.1Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,11,14,2022-12-13T00:23:03Z,700000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],22,1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,70.0,1.0,1.0,0.0,,,,,
06:14,72,PT06M14.00S,2022-12-13T00:23:16.2Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,11,14,2022-12-13T00:23:19Z,710000,False,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1629614]",13,1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,1.0,Nembhard,1629614.0,,
06:14,73,PT06M14.00S,2022-12-13T00:23:16.2Z,1,REGULAR,steal,,[],1629614,,,1610612754,11,14,2022-12-13T00:23:18Z,720000,False,,,0,,A. Nembhard STEAL (1 STL),[1629614],2,1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
06:02,74,PT06M02.00S,2022-12-13T00:23:28.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630169,92.72339027595268,53.92156862745098,1610612754,11,14,2022-12-13T00:23:32Z,730000,False,20.0,16.0,1,right,MISS T. Haliburton driving finger roll Layup,[1630169],0,1610612754.0,IND,driving finger roll,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.52,,,,,,,,,,,,
05:59,75,PT05M59.00S,2022-12-13T00:23:31.1Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,11,14,2022-12-13T00:23:32Z,740000,False,,,0,,J. Butler REBOUND (Off:0 Def:2),[202710],22,1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,74.0,2.0,2.0,0.0,,,,,
05:50,76,PT05M50.00S,2022-12-13T00:23:39.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,7.178055190538765,58.82352941176471,1610612748,11,14,2022-12-13T00:23:43Z,750000,False,-44.0,15.0,1,left,MISS J. Butler Jump Shot,[202710],22,1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,4.66,,,,,,,,,,,,
05:48,77,PT05M48.00S,2022-12-13T00:23:41.7Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,11,14,2022-12-13T00:23:43Z,760000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],23,1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,76.0,1.0,1.0,0.0,,,,,
05:44,78,PT05M44.00S,2022-12-13T00:23:45.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630169,73.01248357424441,17.647058823529413,1610612754,11,14,2022-12-13T00:23:52Z,770000,False,-162.0,201.0,1,right,MISS T. Haliburton 25' running pullup 3PT,[1630169],0,1610612754.0,IND,running pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.82,,,,,,,,,,,,
05:40,79,PT05M40.00S,2022-12-13T00:23:49.9Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,11,14,2022-12-13T00:23:52Z,780000,False,,,0,,J. Butler REBOUND (Off:0 Def:3),[202710],22,1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,78.0,3.0,3.0,0.0,,,,,
05:27,80,PT05M27.00S,2022-12-13T00:24:07.4Z,1,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612748,11,14,2022-12-13T00:24:14Z,790000,False,,,0,,A. Nesmith shooting personal FOUL (1 PF) (Butler 2 FT),"[1630174, 202710]",23,1610612754.0,IND,shooting,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,2004.0,1.0,0.0,Butler,202710.0,,,,,,,,,,,,,,,
05:27,82,PT05M27.00S,2022-12-13T00:24:36.3Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,11,15,2022-12-13T00:25:04Z,810000,False,,,0,,J. Butler Free Throw 1 of 2 (5 PTS),[202710],22,1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
05:27,83,PT05M27.00S,2022-12-13T00:24:36.9Z,1,REGULAR,substitution,out,[],1629639,,,1610612748,11,15,2022-12-13T00:24:46Z,820000,False,,,0,,SUB out: T. Herro,[1629639],14,1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
05:27,84,PT05M27.00S,2022-12-13T00:24:36.9Z,1,REGULAR,substitution,out,[],1628997,,,1610612748,11,15,2022-12-13T00:24:46Z,830000,False,,,0,,SUB out: C. Martin,[1628997],16,1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
05:27,85,PT05M27.00S,2022-12-13T00:24:36.9Z,1,REGULAR,substitution,in,[],1629622,,,1610612748,11,15,2022-12-13T00:24:46Z,840000,False,,,0,,SUB in: M. Strus,[1629622],31,1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
05:27,86,PT05M27.00S,2022-12-13T00:24:36.9Z,1,REGULAR,substitution,in,[],203506,,,1610612748,11,15,2022-12-13T00:24:46Z,850000,False,,,0,,SUB in: V. Oladipo,[203506],4,1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,,,,,,,,,
05:27,87,PT05M27.00S,2022-12-13T00:24:36.3Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,11,15,2022-12-13T00:25:04Z,860000,False,,,0,,MISS J. Butler Free Throw 2 of 2,[202710],22,1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
