actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
20,PT10M39.00S,2022-10-21T23:13:00.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630169,79.188567674113,90.19607843137256,1610612754,0,5,2022-10-21T23:13:22Z,190000,201.0,143.0,1,right,MISS T. Haliburton 24' running pullup 3PT,[1630169],1610612754.0,IND,running pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,24.67,Missed,,,,,,,,,,,,,,,,,,
21,PT10M35.00S,2022-10-21T23:13:03.6Z,1,REGULAR,rebound,offensive,[],1630678,,,1610612754,0,5,2022-10-21T23:13:03Z,200000,,,0,,T. Taylor REBOUND (Off:1 Def:1),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,20.0,2.0,1.0,1.0,,,,
22,PT10M34.00S,2022-10-21T23:13:07.2Z,1,REGULAR,foul,personal,[],1629640,,,1610612754,0,5,2022-10-21T23:13:14Z,210000,,,0,,K. Johnson personal FOUL (1 PF),"[1629640, 1630537]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Left,,,,,,,203591.0,1.0,0.0,Duarte,1630537.0,,,,,,,,,
24,PT10M25.00S,2022-10-21T23:13:32.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630188,79.188567674113,52.450980392156865,1610612754,0,5,2022-10-21T23:13:36Z,230000,12.0,143.0,1,right,MISS J. Smith 14' pullup Shot,[1630188],1610612754.0,IND,pullup,,,Smith,J. Smith,,,,,Mid-Range,8-16 Center,14.36,Missed,,,,,,,,,,,,,,,,,,
25,PT10M22.00S,2022-10-21T23:13:35.3Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,0,5,2022-10-21T23:13:36Z,240000,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,
27,PT10M08.00S,2022-10-21T23:14:04.9Z,1,REGULAR,3pt,Jump Shot,[],1630170,31.488173455978973,64.95098039215686,1610612759,0,5,2022-10-21T23:14:09Z,260000,-75.0,243.0,1,left,MISS D. Vassell 25' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,25.47,Missed,,,,,,,,,,,,,,,,,,
28,PT10M03.00S,2022-10-21T23:14:09.9Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,0,5,2022-10-21T23:14:09Z,270000,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,
29,PT10M00.00S,2022-10-21T23:14:12.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630188,92.9862023653088,50.0,1610612754,2,5,2022-10-21T23:14:20Z,280000,0.0,13.0,1,right,J. Smith running DUNK (2 PTS) (B. Hield 1 AST),"[1630188, 1627741]",1610612754.0,IND,running,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,1.34,Made,2.0,B. Hield,1627741.0,1.0,,,,,,,,,,,,,,
31,PT09M40.00S,2022-10-21T23:14:32.1Z,1,REGULAR,2pt,Jump Shot,[],1630170,23.603810775295663,46.568627450980394,1610612759,2,7,2022-10-21T23:14:38Z,300000,17.0,169.0,1,left,D. Vassell 17' step back Jump Shot (2 PTS) (T. Jones 1 AST),"[1630170, 1630200]",1610612759.0,SAS,step back,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Center,17.03,Made,2.0,T. Jones,1630200.0,1.0,,,,,,,,,,,,,,
33,PT09M29.00S,2022-10-21T23:14:44.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630537,92.85479632063075,53.92156862745098,1610612754,4,7,2022-10-21T23:14:48Z,320000,20.0,15.0,1,right,C. Duarte cutting finger roll Layup (2 PTS) (T. Haliburton 1 AST),"[1630537, 1630169]",1610612754.0,IND,cutting finger roll,,,Duarte,C. Duarte,,,,,Restricted Area,0-8 Center,2.45,Made,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,
35,PT09M09.00S,2022-10-21T23:15:02.8Z,1,REGULAR,3pt,Jump Shot,[],1629640,5.469776609724048,96.56862745098039,1610612759,4,10,2022-10-21T23:15:07Z,340000,-233.0,-1.0,1,left,K. Johnson 3PT  (3 PTS) (D. Vassell 1 AST),"[1629640, 1630170]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,23.28,Made,3.0,D. Vassell,1630170.0,1.0,,,,,,,,,,,,,,
37,PT09M00.00S,2022-10-21T23:15:14.2Z,1,REGULAR,foul,personal,[],1631110,,,1610612754,4,10,2022-10-21T23:15:27Z,360000,,,0,,J. Sochan personal FOUL (1 PF),"[1631110, 1630169]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Right Center,,,,,,,203591.0,1.0,0.0,Haliburton,1630169.0,,,,,,,,,
39,PT08M45.00S,2022-10-21T23:15:55.8Z,1,REGULAR,turnover,backcourt,[],1630537,,,1610612754,4,10,2022-10-21T23:16:03Z,380000,,,0,,C. Duarte backcourt TURNOVER (1 TO),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,Above the Break 3,24+ Right Center,,,,,,,203591.0,,,,,1.0,,,,,,,,
41,PT08M35.00S,2022-10-21T23:17:30.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630170,18.873193166885677,70.83333333333334,1610612759,4,10,2022-10-21T23:17:34Z,400000,-104.0,125.0,1,left,MISS D. Vassell 16' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Left Center,16.27,Missed,,,,,,,,,,,,,,,,,,
42,PT08M32.00S,2022-10-21T23:17:33.1Z,1,REGULAR,rebound,defensive,[],1630678,,,1610612754,4,10,2022-10-21T23:17:34Z,410000,,,0,,T. Taylor REBOUND (Off:1 Def:2),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,41.0,3.0,2.0,1.0,,,,
43,PT08M24.00S,2022-10-21T23:17:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630678,92.9862023653088,46.32352941176471,1610612754,4,10,2022-10-21T23:17:57Z,420000,-18.0,13.0,1,right,MISS T. Taylor cutting finger roll Layup - blocked,"[1630678, 1627751]",1610612754.0,IND,cutting finger roll,,,Taylor,T. Taylor,,,,,Restricted Area,0-8 Center,2.28,Missed,,,,,,,,,,,,,,,Poeltl,1627751.0,,
44,PT08M24.00S,2022-10-21T23:17:40.1Z,1,REGULAR,block,,[],1627751,,,1610612754,4,10,2022-10-21T23:17:42Z,430000,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
45,PT08M24.00S,2022-10-21T23:17:40.1Z,1,REGULAR,rebound,offensive,[],1630169,,,1610612754,4,10,2022-10-21T23:17:57Z,440000,,,0,,T. Haliburton REBOUND (Off:1 Def:0),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,43.0,1.0,0.0,1.0,,,,
46,PT08M20.00S,2022-10-21T23:17:43.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630169,93.77463863337714,51.71568627450981,1610612754,6,10,2022-10-21T23:17:48Z,450000,9.0,6.0,1,right,T. Haliburton putback Layup (2 PTS),[1630169],1610612754.0,IND,putback,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,1.05,Made,2.0,,,,,,,,,,,,,,,,,
47,PT07M56.00S,2022-10-21T23:18:07.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,7.30946123521682,46.32352941176471,1610612759,6,12,2022-10-21T23:23:30Z,460000,18.0,16.0,1,left,J. Poeltl cutting Layup (5 PTS) (T. Jones 2 AST),"[1627751, 1630200]",1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,2.45,Made,5.0,T. Jones,1630200.0,2.0,,,,,,,,,,,,,,
49,PT07M47.00S,2022-10-21T23:18:20.1Z,1,REGULAR,turnover,out-of-bounds,[],1627741,,,1610612754,6,12,2022-10-21T23:18:31Z,480000,,,0,,B. Hield bad pass out-of-bounds TURNOVER (1 TO),[1627741],1610612754.0,IND,bad pass,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,,,,202049.0,,,,,1.0,,,,,,,,
50,PT07M38.00S,2022-10-21T23:18:34.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629640,16.90210249671485,96.56862745098039,1610612759,6,12,2022-10-21T23:18:38Z,490000,-233.0,106.0,1,left,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,25.6,Missed,,,,,,,,,,,,,,,,,,
51,PT07M35.00S,2022-10-21T23:18:37.2Z,1,REGULAR,rebound,defensive,[],1630678,,,1610612754,6,12,2022-10-21T23:18:38Z,500000,,,0,,T. Taylor REBOUND (Off:1 Def:3),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,50.0,4.0,3.0,1.0,,,,
52,PT07M24.00S,2022-10-21T23:18:48.1Z,1,REGULAR,3pt,Jump Shot,[],1630188,92.9862023653088,4.166666666666666,1610612754,6,12,2022-10-21T23:18:52Z,510000,-229.0,13.0,1,right,MISS J. Smith 3PT,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Left Corner 3,24+ Left,22.96,Missed,,,,,,,,,,,,,,,,,,
53,PT07M20.00S,2022-10-21T23:18:52.1Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,6,12,2022-10-21T23:18:52Z,520000,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,52.0,1.0,1.0,0.0,,,,
54,PT07M05.00S,2022-10-21T23:19:06.9Z,1,REGULAR,3pt,Jump Shot,[],1629640,20.71287779237845,91.91176470588235,1610612759,6,12,2022-10-21T23:19:11Z,530000,-210.0,142.0,1,left,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,25.33,Missed,,,,,,,,,,,,,,,,,,
55,PT07M02.00S,2022-10-21T23:19:09.9Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,6,12,2022-10-21T23:19:11Z,540000,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,54.0,1.0,1.0,0.0,,,,
56,PT06M50.00S,2022-10-21T23:19:22.0Z,1,REGULAR,2pt,Jump Shot,[],1630537,94.43166885676742,79.41176470588235,1610612754,6,12,2022-10-21T23:19:26Z,550000,147.0,0.0,1,right,MISS C. Duarte 14' step back Shot,[1630537],1610612754.0,IND,step back,,,Duarte,C. Duarte,,,,,Mid-Range,8-16 Right,14.71,Missed,,,,,,,,,,,,,,,,,,
57,PT06M47.00S,2022-10-21T23:19:25.0Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,6,12,2022-10-21T23:19:26Z,560000,,,0,,J. Sochan REBOUND (Off:0 Def:2),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,56.0,2.0,2.0,0.0,,,,
58,PT06M41.00S,2022-10-21T23:19:31.4Z,1,REGULAR,3pt,Jump Shot,[],1629640,27.94021024967148,82.59803921568627,1610612759,6,12,2022-10-21T23:19:35Z,570000,-163.0,210.0,1,left,MISS K. Johnson 26' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,26.59,Missed,,,,,,,,,,,,,,,,,,
59,PT06M37.00S,2022-10-21T23:19:35.4Z,1,REGULAR,rebound,defensive,[],1630678,,,1610612754,6,12,2022-10-21T23:19:35Z,580000,,,0,,T. Taylor REBOUND (Off:1 Def:4),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,58.0,5.0,4.0,1.0,,,,
60,PT06M34.00S,2022-10-21T23:19:37.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627741,93.64323258869908,50.0,1610612754,8,12,2022-10-21T23:19:42Z,590000,0.0,7.0,1,right,B. Hield running Layup (2 PTS) (T. Taylor 1 AST),"[1627741, 1630678]",1610612754.0,IND,running,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,0.73,Made,2.0,T. Taylor,1630678.0,1.0,,,,,,,,,,,,,,
62,PT06M34.00S,2022-10-21T23:19:42.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,8,12,2022-10-21T23:19:42Z,610000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M22.00S,2022-10-21T23:23:00.6Z,1,REGULAR,foul,personal,['2freethrow'],1627741,,,1610612759,8,12,2022-10-21T23:23:05Z,620000,,,0,,B. Hield shooting personal FOUL (1 PF) (Vassell 2 FT),"[1627741, 1630170]",1610612754.0,IND,shooting,,,Hield,B. Hield,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,203591.0,1.0,0.0,Vassell,1630170.0,,,,,,,,,
65,PT06M22.00S,2022-10-21T23:23:22.7Z,1,REGULAR,freethrow,1 of 2,[],1630170,,,1610612759,8,13,2022-10-21T23:23:22Z,640000,,,0,,D. Vassell Free Throw 1 of 2 (3 PTS),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
66,PT06M22.00S,2022-10-21T23:23:24.7Z,1,REGULAR,substitution,out,[],1630537,,,1610612759,8,13,2022-10-21T23:23:52Z,650000,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M22.00S,2022-10-21T23:23:24.7Z,1,REGULAR,substitution,out,[],1630188,,,1610612759,8,13,2022-10-21T23:23:52Z,660000,,,0,,SUB out: J. Smith,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M22.00S,2022-10-21T23:23:24.7Z,1,REGULAR,substitution,out,[],1631110,,,1610612759,8,13,2022-10-21T23:23:52Z,670000,,,0,,SUB out: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M22.00S,2022-10-21T23:23:24.7Z,1,REGULAR,substitution,in,[],1630543,,,1610612759,8,13,2022-10-21T23:23:52Z,680000,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M22.00S,2022-10-21T23:23:24.7Z,1,REGULAR,substitution,in,[],1631097,,,1610612759,8,13,2022-10-21T23:23:52Z,690000,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M22.00S,2022-10-21T23:23:24.7Z,1,REGULAR,substitution,in,[],1626196,,,1610612759,8,13,2022-10-21T23:23:52Z,700000,,,0,,SUB in: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M22.00S,2022-10-21T23:23:58.7Z,1,REGULAR,freethrow,2 of 2,[],1630170,,,1610612759,8,13,2022-10-21T23:23:58Z,710000,,,0,,MISS D. Vassell Free Throw 2 of 2,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
73,PT06M21.00S,2022-10-21T23:24:00.1Z,1,REGULAR,rebound,defensive,[],1630678,,,1610612754,8,13,2022-10-21T23:24:00Z,720000,,,0,,T. Taylor REBOUND (Off:1 Def:5),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,72.0,6.0,5.0,1.0,,,,
74,PT06M11.00S,2022-10-21T23:24:09.8Z,1,REGULAR,3pt,Jump Shot,[],1627741,69.99014454664915,19.362745098039216,1610612754,11,13,2022-10-21T23:24:15Z,730000,-153.0,230.0,1,right,B. Hield 27' 3PT  (5 PTS) (T. Haliburton 2 AST),"[1627741, 1630169]",1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,27.6,Made,5.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,,,,,
76,PT05M50.00S,2022-10-21T23:24:29.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,20.05584756898817,37.00980392156863,1610612759,11,15,2022-10-21T23:24:34Z,750000,65.0,136.0,1,left,D. Vassell 15' pullup Jump Shot (5 PTS) (K. Johnson 1 AST),"[1630170, 1629640]",1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,15.07,Made,5.0,K. Johnson,1629640.0,1.0,,,,,,,,,,,,,,
78,PT05M35.00S,2022-10-21T23:24:45.2Z,1,REGULAR,turnover,bad pass,[],1630543,,,1610612754,11,15,2022-10-21T23:24:49Z,770000,,,0,,I. Jackson bad pass TURNOVER (1 TO),"[1630543, 1630170]",1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1.0,,,,,,,Vassell,1630170.0
79,PT05M35.00S,2022-10-21T23:24:45.2Z,1,REGULAR,steal,,[],1630170,,,1610612759,11,15,2022-10-21T23:24:47Z,780000,,,0,,D. Vassell STEAL (1 STL),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
80,PT05M30.00S,2022-10-21T23:24:49.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630170,7.046649145860711,49.01960784313725,1610612759,11,15,2022-10-21T23:24:56Z,790000,5.0,14.0,1,left,MISS D. Vassell running finger roll Layup,[1630170],1610612759.0,SAS,running finger roll,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,1.45,Missed,,,,,,,,,,,,,,,,,,
81,PT05M27.00S,2022-10-21T23:24:52.6Z,1,REGULAR,rebound,offensive,[],1630200,,,1610612759,11,15,2022-10-21T23:24:52Z,800000,,,0,,T. Jones REBOUND (Off:1 Def:0),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,80.0,1.0,0.0,1.0,,,,
82,PT05M25.00S,2022-10-21T23:24:55.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626196,32.40801576872536,52.69607843137255,1610612759,11,18,2022-10-21T23:25:00Z,810000,-13.0,252.0,1,left,J. Richardson 25' 3PT  (3 PTS) (K. Johnson 2 AST),"[1626196, 1629640]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Center,25.25,Made,3.0,K. Johnson,1629640.0,2.0,,,,,,,,,,,,,,
84,PT05M15.00S,2022-10-21T23:25:05.3Z,1,REGULAR,2pt,Jump Shot,[],1630169,92.46057818659659,81.12745098039215,1610612754,11,18,2022-10-21T23:25:10Z,830000,156.0,18.0,1,right,MISS T. Haliburton 15' step back Shot,[1630169],1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Right,15.67,Missed,,,,,,,,,,,,,,,,,,
85,PT05M12.00S,2022-10-21T23:25:08.3Z,1,REGULAR,rebound,offensive,[],1630543,,,1610612754,11,18,2022-10-21T23:25:10Z,840000,,,0,,I. Jackson REBOUND (Off:1 Def:0),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,84.0,1.0,0.0,1.0,,,,
86,PT05M12.00S,2022-10-21T23:25:09.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630543,94.40999984741211,50.0,1610612754,11,18,2022-10-21T23:25:15Z,850000,0.0,0.0,1,right,MISS I. Jackson tip Layup,[1630543],1610612754.0,IND,tip,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
87,PT05M12.00S,2022-10-21T23:25:09.2Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,11,18,2022-10-21T23:25:15Z,860000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,86.0,1.0,1.0,0.0,,,,
