actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT10M52.00S,2022-10-19T23:15:44.8Z,1,REGULAR,3pt,Jump Shot,[],204001,33.459264126149804,49.26470588235294,1610612764,3,4,2022-10-19T23:15:50Z,170000,4.0,262.0,1,left,MISS K. Porzingis 26' step back 3PT,[204001],1610612764.0,WAS,step back,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,26.2,,,,,,,,,,,
18,PT10M50.00S,2022-10-19T23:15:46.8Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,3,4,2022-10-19T23:15:50Z,180000,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,Above the Break 3,24+ Center,,,,,,,17.0,,,1.0,1.0,0.0,,,,,,,,
19,PT10M41.00S,2022-10-19T23:15:55.3Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,3,4,2022-10-19T23:15:59Z,190000,,,0,,T. Haliburton bad pass TURNOVER (1 TO),"[1630169, 1628420]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,1.0,Morris,1628420.0,,
20,PT10M41.00S,2022-10-19T23:15:55.3Z,1,REGULAR,steal,,[],1628420,,,1610612764,3,4,2022-10-19T23:17:28Z,200000,,,0,,M. Morris STEAL (1 STL),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
21,PT10M39.00S,2022-10-19T23:15:58.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628420,5.601182654402102,47.30392156862745,1610612764,3,6,2022-10-19T23:16:07Z,210000,13.0,0.0,1,left,M. Morris running finger roll Layup (2 PTS),[1628420],1610612764.0,WAS,running finger roll,,,Morris,M. Morris,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,1.35,,,,,,,,,,,
22,PT10M35.00S,2022-10-19T23:16:06.1Z,1,REGULAR,turnover,out-of-bounds,[],1630169,,,1610612754,3,6,2022-10-19T23:34:40Z,220000,,,0,,T. Haliburton lost ball out-of-bounds TURNOVER (2 TO),[1630169],1610612754.0,IND,lost ball,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,201638.0,,,,,,,,,,,,,,,2.0,,,,
23,PT10M31.00S,2022-10-19T23:16:21.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",204001,7.703679369250986,49.754901960784316,1610612764,3,8,2022-10-19T23:16:26Z,230000,1.0,20.0,1,left,K. Porzingis cutting DUNK (3 PTS) (M. Morris 1 AST),"[204001, 1628420]",1610612764.0,WAS,cutting,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,,,,Made,,3.0,1.99,,,,M. Morris,1628420.0,1.0,,,,,
25,PT10M30.00S,2022-10-19T23:16:25.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,3,8,2022-10-19T23:16:25Z,250000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M17.00S,2022-10-19T23:19:32.7Z,1,REGULAR,3pt,Jump Shot,[],1630537,93.38042049934296,3.1862745098039214,1610612754,3,8,2022-10-19T23:19:37Z,260000,-234.0,10.0,1,right,MISS C. Duarte 3PT,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,23.43,,,,,,,,,,,
27,PT10M12.00S,2022-10-19T23:19:37.7Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,3,8,2022-10-19T23:19:37Z,270000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Left Corner 3,24+ Left,,,,,,,26.0,,,1.0,1.0,0.0,,,,,,,,
28,PT10M05.00S,2022-10-19T23:19:44.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630166,7.5722733245729295,53.67647058823529,1610612764,3,10,2022-10-19T23:19:50Z,280000,-18.0,19.0,1,left,D. Avdija cutting DUNK (2 PTS) (K. Kuzma 1 AST),"[1630166, 1628398]",1610612764.0,WAS,cutting,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,2.62,,,,K. Kuzma,1628398.0,1.0,,,,,
30,PT09M42.00S,2022-10-19T23:20:06.9Z,1,REGULAR,3pt,Jump Shot,[],1627741,66.70499342969777,21.568627450980394,1610612754,6,10,2022-10-19T23:20:12Z,300000,-142.0,260.0,1,right,B. Hield 29' 3PT step back (3 PTS),[1627741],1610612754.0,IND,step back,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,3.0,29.68,,,,,,,,,,,
31,PT09M25.00S,2022-10-19T23:20:24.4Z,1,REGULAR,3pt,Jump Shot,[],204001,33.722076215505915,53.92156862745098,1610612764,6,10,2022-10-19T23:20:28Z,310000,-20.0,264.0,1,left,MISS K. Porzingis 26' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,26.52,,,,,,,,,,,
32,PT09M22.00S,2022-10-19T23:20:27.4Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,6,10,2022-10-19T23:20:28Z,320000,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,,,,,,,31.0,,,1.0,1.0,0.0,,,,,,,,
33,PT09M16.00S,2022-10-19T23:20:33.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630188,67.88764783180025,63.23529411764706,1610612754,6,10,2022-10-19T23:21:13Z,330000,66.0,249.0,1,right,MISS J. Smith 25' running 3PT,[1630188],1610612754.0,IND,running,,,Smith,J. Smith,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,25.8,,,,,,,,,,,
34,PT09M13.00S,2022-10-19T23:20:36.6Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,6,10,2022-10-19T23:20:37Z,340000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,,,,,,,33.0,,,2.0,2.0,0.0,,,,,,,,
35,PT09M11.00S,2022-10-19T23:20:41.1Z,1,REGULAR,foul,personal,['2freethrow'],1630188,,,1610612764,6,10,2022-10-19T23:20:56Z,350000,,,0,,J. Smith shooting personal FOUL (2 PF) (Porzingis 2 FT),"[1630188, 204001]",1610612754.0,IND,shooting,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,201638.0,2.0,0.0,Porzingis,204001.0,,,,,,,,,,,,,,,
37,PT09M11.00S,2022-10-19T23:21:15.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],204001,,,1610612764,6,11,2022-10-19T23:21:50Z,370000,,,0,,K. Porzingis Free Throw 1 of 2 (4 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,Made,,4.0,,,,,,,,,,,,
38,PT09M11.00S,2022-10-19T23:21:16.0Z,1,REGULAR,substitution,out,[],1630188,,,1610612764,6,11,2022-10-19T23:21:21Z,380000,,,0,,SUB out: J. Smith,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT09M11.00S,2022-10-19T23:21:16.0Z,1,REGULAR,substitution,in,[],1630543,,,1610612764,6,11,2022-10-19T23:21:21Z,390000,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M11.00S,2022-10-19T23:21:15.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],204001,,,1610612764,6,11,2022-10-19T23:21:50Z,400000,,,0,,MISS K. Porzingis Free Throw 2 of 2,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
41,PT09M10.00S,2022-10-19T23:21:16.1Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,6,11,2022-10-19T23:21:50Z,410000,,,0,,B. Hield REBOUND (Off:0 Def:2),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,40.0,,,2.0,2.0,0.0,,,,,,,,
42,PT09M01.00S,2022-10-19T23:21:47.3Z,1,REGULAR,3pt,Jump Shot,[],1627741,70.64717477003943,76.47058823529412,1610612754,6,11,2022-10-19T23:21:52Z,420000,132.0,223.0,1,right,MISS B. Hield 25' 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,25.97,,,,,,,,,,,
43,PT08M58.00S,2022-10-19T23:21:50.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,6,11,2022-10-19T23:21:52Z,430000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,42.0,,,,,,,,,,,,,
45,PT08M47.00S,2022-10-19T23:22:14.1Z,1,REGULAR,foul,personal,['2freethrow'],1630169,,,1610612764,6,11,2022-10-19T23:22:20Z,450000,,,0,,T. Haliburton shooting personal FOUL (1 PF) (Kuzma 2 FT),"[1630169, 1628398]",1610612754.0,IND,shooting,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Right,1162.0,1.0,0.0,Kuzma,1628398.0,,,,,,,,,,,,,,,
47,PT08M47.00S,2022-10-19T23:22:41.1Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612764,6,11,2022-10-19T23:22:41Z,470000,,,0,,MISS K. Kuzma Free Throw 1 of 2,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
48,PT08M47.00S,2022-10-19T23:22:41.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,6,11,2022-10-19T23:22:41Z,480000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,
49,PT08M47.00S,2022-10-19T23:23:07.9Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612764,6,12,2022-10-19T23:23:07Z,490000,,,0,,K. Kuzma Free Throw 2 of 2 (1 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
50,PT08M28.00S,2022-10-19T23:23:28.4Z,1,REGULAR,turnover,bad pass,[],1630678,,,1610612754,6,12,2022-10-19T23:23:33Z,500000,,,0,,T. Taylor bad pass TURNOVER (1 TO),"[1630678, 1628420]",1610612754.0,IND,,,,Taylor,T. Taylor,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,1.0,Morris,1628420.0,,
51,PT08M28.00S,2022-10-19T23:23:28.4Z,1,REGULAR,steal,,[],1628420,,,1610612764,6,12,2022-10-19T23:23:30Z,510000,,,0,,M. Morris STEAL (2 STL),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
52,PT08M25.00S,2022-10-19T23:23:31.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628420,7.440867279894875,45.588235294117645,1610612764,6,12,2022-10-19T23:23:39Z,520000,22.0,17.0,1,left,MISS M. Morris running finger roll Layup,[1628420],1610612764.0,WAS,running finger roll,,,Morris,M. Morris,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.81,,,,,,,,,,,
53,PT08M20.00S,2022-10-19T23:23:36.8Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,6,12,2022-10-19T23:23:39Z,530000,,,0,,B. Hield REBOUND (Off:0 Def:3),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,,,,52.0,,,3.0,3.0,0.0,,,,,,,,
54,PT08M18.00S,2022-10-19T23:23:38.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630169,68.41327201051249,32.1078431372549,1610612754,9,12,2022-10-19T23:23:45Z,540000,-89.0,244.0,1,right,T. Haliburton 26' 3PT pullup (6 PTS),[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,6.0,26.03,,,,,,,,,,,
55,PT07M58.00S,2022-10-19T23:23:58.1Z,1,REGULAR,3pt,Jump Shot,[],1628398,21.895532194480946,89.4607843137255,1610612764,9,15,2022-10-19T23:24:02Z,550000,-197.0,153.0,1,left,K. Kuzma 24' 3PT  (4 PTS) (B. Beal 1 AST),"[1628398, 203078]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,4.0,24.99,,,,B. Beal,203078.0,1.0,,,,,
57,PT07M48.00S,2022-10-19T23:24:08.2Z,1,REGULAR,3pt,Jump Shot,[],1630169,65.52233902759527,62.00980392156863,1610612754,9,15,2022-10-19T23:24:14Z,570000,60.0,272.0,1,right,MISS T. Haliburton 27' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,27.81,,,,,,,,,,,
58,PT07M45.00S,2022-10-19T23:24:11.2Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,9,15,2022-10-19T23:24:14Z,580000,,,0,,K. Kuzma REBOUND (Off:0 Def:3),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,,,,,,,57.0,,,3.0,3.0,0.0,,,,,,,,
59,PT07M29.00S,2022-10-19T23:24:27.5Z,1,REGULAR,3pt,Jump Shot,[],1628398,31.750985545335087,33.33333333333333,1610612764,9,18,2022-10-19T23:24:31Z,590000,83.0,246.0,1,left,K. Kuzma 25' 3PT  (7 PTS) (B. Beal 2 AST),"[1628398, 203078]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,,,,Made,,7.0,25.97,,,,B. Beal,203078.0,2.0,,,,,
61,PT07M13.00S,2022-10-19T23:24:42.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630678,82.21090670170827,44.85294117647059,1610612754,9,18,2022-10-19T23:24:48Z,610000,-26.0,115.0,1,right,MISS T. Taylor 11' Jump Shot,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,11.75,,,,,,,,,,,
62,PT07M09.00S,2022-10-19T23:24:47.0Z,1,REGULAR,rebound,offensive,[],1627741,,,1610612754,9,18,2022-10-19T23:24:47Z,620000,,,0,,B. Hield REBOUND (Off:1 Def:3),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,61.0,,,4.0,3.0,1.0,,,,,,,,
63,PT07M01.00S,2022-10-19T23:24:55.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630169,88.12417871222075,82.59803921568627,1610612754,11,18,2022-10-19T23:24:59Z,630000,163.0,59.0,1,right,T. Haliburton 17' pullup Jump Shot (8 PTS),[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Right,,,,,,Made,,8.0,17.34,,,,,,,,,,,
64,PT06M46.00S,2022-10-19T23:25:12.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,7.835085413929041,45.34313725490196,1610612764,11,20,2022-10-19T23:25:17Z,640000,23.0,21.0,1,left,K. Kuzma driving Layup (9 PTS),[1628398],1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,,,,Made,,9.0,3.14,,,,,,,,,,,
65,PT06M46.00S,2022-10-19T23:25:16.2Z,1,REGULAR,foul,personal,['1freethrow'],1630678,,,1610612764,11,20,2022-10-19T23:25:21Z,650000,,,0,,T. Taylor shooting personal FOUL (1 PF) (Kuzma 1 FT),"[1630678, 1628398]",1610612754.0,IND,shooting,,,Taylor,T. Taylor,,,,,Restricted Area,0-8 Center,1628953.0,1.0,0.0,Kuzma,1628398.0,,,,,,,,,,,,,,,
67,PT06M46.00S,2022-10-19T23:25:23.1Z,1,REGULAR,substitution,out,[],1627741,,,1610612764,11,20,2022-10-19T23:26:25Z,670000,,,0,,SUB out: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M46.00S,2022-10-19T23:25:23.1Z,1,REGULAR,substitution,out,[],1630166,,,1610612764,11,20,2022-10-19T23:26:25Z,680000,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M46.00S,2022-10-19T23:25:23.1Z,1,REGULAR,substitution,in,[],1631097,,,1610612764,11,20,2022-10-19T23:26:25Z,690000,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M46.00S,2022-10-19T23:25:23.1Z,1,REGULAR,substitution,in,[],1629060,,,1610612764,11,20,2022-10-19T23:26:25Z,700000,,,0,,SUB in: R. Hachimura,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M46.00S,2022-10-19T23:25:52.0Z,1,REGULAR,freethrow,1 of 1,[],1628398,,,1610612764,11,21,2022-10-19T23:25:52Z,710000,,,0,,K. Kuzma Free Throw 1 of 1 (10 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,Made,,10.0,,,,,,,,,,,,
72,PT06M36.00S,2022-10-19T23:26:05.6Z,1,REGULAR,2pt,Jump Shot,[],1631097,85.49605781865965,28.676470588235293,1610612754,13,21,2022-10-19T23:26:13Z,720000,-107.0,84.0,1,right,B. Mathurin 13' driving floating bank Jump Shot (2 PTS) (T. Haliburton 1 AST),"[1631097, 1630169]",1610612754.0,IND,driving floating bank,,,Mathurin,B. Mathurin,,,,,Mid-Range,8-16 Left,,,,,,Made,,2.0,13.56,,,,T. Haliburton,1630169.0,1.0,,,,,
73,PT06M19.00S,2022-10-19T23:26:22.6Z,1,REGULAR,3pt,Jump Shot,[],1628398,30.831143232588698,26.715686274509803,1610612764,13,21,2022-10-19T23:26:29Z,730000,116.0,237.0,1,left,MISS K. Kuzma 26' pullup 3PT,[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,26.43,,,,,,,,,,,
74,PT06M16.00S,2022-10-19T23:26:25.6Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,13,21,2022-10-19T23:26:29Z,740000,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,,,,,,,73.0,,,1.0,1.0,0.0,,,,,,,,
75,PT06M09.00S,2022-10-19T23:26:32.5Z,1,REGULAR,3pt,Jump Shot,[],1630678,94.95729303547962,3.1862745098039214,1610612754,13,21,2022-10-19T23:26:39Z,750000,-234.0,-5.0,1,right,MISS T. Taylor 3PT,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,23.42,,,,,,,,,,,
76,PT06M06.00S,2022-10-19T23:26:35.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,13,21,2022-10-19T23:26:39Z,760000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,75.0,,,,,,,,,,,,,
78,PT05M49.00S,2022-10-19T23:27:09.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631097,,,1610612764,13,21,2022-10-19T23:27:29Z,780000,,,0,,B. Mathurin personal FOUL (1 PF) (Porzingis 2 FT),"[1631097, 204001]",1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Mid-Range,16-24 Right Center,201638.0,1.0,0.0,Porzingis,204001.0,,,,,,,,,,,,,,,
80,PT05M49.00S,2022-10-19T23:27:36.0Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612764,13,22,2022-10-19T23:27:36Z,800000,,,0,,K. Porzingis Free Throw 1 of 2 (5 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,Made,,5.0,,,,,,,,,,,,
81,PT05M49.00S,2022-10-19T23:27:41.7Z,1,REGULAR,substitution,out,[],1630537,,,1610612764,13,22,2022-10-19T23:27:47Z,810000,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M49.00S,2022-10-19T23:27:41.7Z,1,REGULAR,substitution,in,[],204456,,,1610612764,13,22,2022-10-19T23:27:47Z,820000,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M49.00S,2022-10-19T23:28:00.6Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612764,13,23,2022-10-19T23:28:00Z,830000,,,0,,K. Porzingis Free Throw 2 of 2 (6 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,Made,,6.0,,,,,,,,,,,,
86,PT05M42.00S,2022-10-19T23:28:13.0Z,1,REGULAR,foul,personal,['2freethrow'],1628398,,,1610612754,13,23,2022-10-19T23:28:22Z,850000,,,0,,K. Kuzma shooting personal FOUL (1 PF) (Haliburton 2 FT),"[1628398, 1630169]",1610612764.0,WAS,shooting,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,201638.0,1.0,0.0,Haliburton,1630169.0,,,,,,,,,,,,,,,
88,PT05M42.00S,2022-10-19T23:28:35.7Z,1,REGULAR,freethrow,1 of 2,[],1630169,,,1610612754,14,23,2022-10-19T23:28:35Z,870000,,,0,,T. Haliburton Free Throw 1 of 2 (9 PTS),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,Made,,9.0,,,,,,,,,,,,
