actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M48.00S,2023-04-07T23:12:40.0Z,1,REGULAR,steal,,[],1630543,,,1610612754,3,0,2023-04-07T23:12:41Z,170000,False,,,0,,I. Jackson STEAL (1 STL),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
18,PT10M40.00S,2023-04-07T23:12:47.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629614,92.46057818659659,54.41176470588235,1610612754,5,0,2023-04-07T23:12:52Z,180000,False,22.0,18.0,1,right,A. Nembhard driving Layup (2 PTS) (B. Mathurin 1 AST),"[1629614, 1631097]",1610612754.0,IND,driving,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,2.88,Made,,,,,,,,,2.0,B. Mathurin,1631097.0,1.0,,,,,,
19,PT10M20.00S,2023-04-07T23:13:07.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630164,14.799605781865965,47.549019607843135,1610612765,5,0,2023-04-07T23:13:13Z,190000,False,12.0,87.0,1,left,MISS J. Wiseman 8' Hook,[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,In The Paint (Non-RA),8-16 Center,8.75,Missed,,,,,,,,,,,,,,,,,,
20,PT10M18.00S,2023-04-07T23:13:09.5Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,5,0,2023-04-07T23:13:13Z,200000,False,,,0,,I. Jackson REBOUND (Off:0 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),8-16 Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT10M15.00S,2023-04-07T23:13:48.9Z,1,REGULAR,foul,personal,['2freethrow'],1631093,,,1610612754,5,0,2023-04-07T23:13:55Z,240000,False,,,0,,J. Ivey shooting personal FOUL (1 PF) (Mathurin 2 FT),"[1631093, 1631097]",1610612765.0,DET,shooting,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,200832.0,,,,,,,,,,1.0,0.0,Mathurin,1631097.0
27,PT10M15.00S,2023-04-07T23:13:57.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,5,0,2023-04-07T23:13:57Z,260000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT10M15.00S,2023-04-07T23:15:42.8Z,1,REGULAR,substitution,out,[],1630164,,,1610612754,5,0,2023-04-07T23:16:02Z,270000,False,,,0,,SUB out: J. Wiseman,[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT10M15.00S,2023-04-07T23:15:42.8Z,1,REGULAR,substitution,in,[],1628963,,,1610612754,5,0,2023-04-07T23:16:02Z,280000,False,,,0,,SUB in: M. Bagley III,[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT10M15.00S,2023-04-07T23:16:37.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631097,,,1610612754,6,0,2023-04-07T23:16:37Z,290000,False,,,0,,B. Mathurin Free Throw 1 of 2 (1 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
31,PT10M15.00S,2023-04-07T23:16:53.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631097,,,1610612754,7,0,2023-04-07T23:16:53Z,300000,False,,,0,,B. Mathurin Free Throw 2 of 2 (2 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
32,PT10M00.00S,2023-04-07T23:17:11.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631105,4.944152431011826,52.69607843137255,1610612765,7,2,2023-04-07T23:17:16Z,310000,False,-13.0,-6.0,1,left,J. Duren DUNK (2 PTS) (J. Ivey 1 AST),"[1631105, 1631093]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,1.48,Made,,,,,,,,,2.0,J. Ivey,1631093.0,1.0,,,,,,
34,PT09M40.00S,2023-04-07T23:17:29.8Z,1,REGULAR,3pt,Jump Shot,[],1629670,91.01511169513797,96.81372549019608,1610612754,10,2,2023-04-07T23:17:34Z,330000,False,234.0,32.0,1,right,J. Nwora 3PT  (3 PTS) (A. Nembhard 1 AST),"[1629670, 1629614]",1610612754.0,IND,,,,Nwora,J. Nwora,,,,,Right Corner 3,24+ Right,23.63,Made,,,,,,,,,3.0,A. Nembhard,1629614.0,1.0,,,,,,
36,PT09M21.00S,2023-04-07T23:17:49.7Z,1,REGULAR,3pt,Jump Shot,[],1630181,18.2161629434954,93.13725490196079,1610612765,10,2,2023-04-07T23:17:54Z,350000,False,-216.0,119.0,1,left,MISS R. Hampton 24' 3PT,[1630181],1610612765.0,DET,,,,Hampton,R. Hampton,,,,,Above the Break 3,24+ Left Center,24.62,Missed,,,,,,,,,,,,,,,,,,
37,PT09M18.00S,2023-04-07T23:17:52.7Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,10,2,2023-04-07T23:17:54Z,360000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Left Center,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT09M08.00S,2023-04-07T23:18:03.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631097,92.9862023653088,47.549019607843135,1610612754,12,2,2023-04-07T23:18:08Z,370000,False,-12.0,13.0,1,right,B. Mathurin driving DUNK (4 PTS) (A. Nembhard 2 AST),"[1631097, 1629614]",1610612754.0,IND,driving,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,1.82,Made,,,,,,,,,4.0,A. Nembhard,1629614.0,2.0,,,,,,
40,PT09M08.00S,2023-04-07T23:18:09.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,12,2,2023-04-07T23:18:09Z,390000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M53.00S,2023-04-07T23:21:23.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,7.440867279894875,45.34313725490196,1610612765,12,4,2023-04-07T23:21:28Z,400000,False,23.0,17.0,1,left,J. Ivey driving Layup (2 PTS),[1631093],1610612765.0,DET,driving,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,2.91,Made,,,,,,,,,2.0,,,,,,,,,
42,PT08M39.00S,2023-04-07T23:21:37.2Z,1,REGULAR,2pt,Jump Shot,[],1629670,88.64980289093299,30.88235294117647,1610612754,12,4,2023-04-07T23:21:41Z,410000,False,-96.0,54.0,1,right,MISS J. Nwora 10' turnaround bank Shot,[1629670],1610612754.0,IND,turnaround bank,,,Nwora,J. Nwora,,,,,Mid-Range,8-16 Left,10.99,Missed,,,,,,,,,,,,,,,,,,
43,PT08M35.00S,2023-04-07T23:21:41.2Z,1,REGULAR,rebound,defensive,[],1630181,,,1610612765,12,4,2023-04-07T23:21:41Z,420000,False,,,0,,R. Hampton REBOUND (Off:0 Def:1),[1630181],1610612765.0,DET,,,,Hampton,R. Hampton,,,,,Mid-Range,8-16 Left,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,
44,PT08M31.00S,2023-04-07T23:21:47.3Z,1,REGULAR,foul,offensive,[],1630181,,,1610612765,12,4,2023-04-07T23:21:55Z,430000,False,,,0,,R. Hampton offensive FOUL (1 PF),"[1630181, 1629614]",1610612765.0,DET,,,,Hampton,R. Hampton,,,,,Mid-Range,16-24 Right Center,,,,,,,101284.0,,,,,,,,,,1.0,0.0,Nembhard,1629614.0
46,PT08M31.00S,2023-04-07T23:21:47.3Z,1,REGULAR,turnover,offensive foul,[],1630181,,,1610612765,12,4,2023-04-07T23:21:47Z,450000,False,,,0,,R. Hampton offensive foul TURNOVER (1 TO),[1630181],1610612765.0,DET,,,,Hampton,R. Hampton,,,,,Mid-Range,16-24 Right Center,,,,,,,101284.0,1.0,,,,,,,,,,,,
47,PT08M21.00S,2023-04-07T23:22:09.0Z,1,REGULAR,foul,personal,['2freethrow'],1631105,,,1610612754,12,4,2023-04-07T23:22:13Z,460000,False,,,0,,J. Duren shooting personal FOUL (1 PF) (Nembhard 2 FT),"[1631105, 1629614]",1610612765.0,DET,shooting,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,,,,,,,,,,1.0,0.0,Nembhard,1629614.0
49,PT08M21.00S,2023-04-07T23:22:34.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629614,,,1610612754,13,4,2023-04-07T23:22:34Z,480000,False,,,0,,A. Nembhard Free Throw 1 of 2 (3 PTS),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
50,PT08M21.00S,2023-04-07T23:22:46.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629614,,,1610612754,14,4,2023-04-07T23:22:46Z,490000,False,,,0,,A. Nembhard Free Throw 2 of 2 (4 PTS),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,Made,,,,,,,,,4.0,,,,,,,,,
51,PT08M07.00S,2023-04-07T23:23:04.2Z,1,REGULAR,turnover,bad pass,[],1631105,,,1610612765,14,4,2023-04-07T23:23:08Z,500000,False,,,0,,J. Duren bad pass TURNOVER (2 TO),"[1631105, 1631097]",1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2.0,,,,,,,Mathurin,1631097.0,,,,
52,PT08M07.00S,2023-04-07T23:23:04.2Z,1,REGULAR,steal,,[],1631097,,,1610612754,14,4,2023-04-07T23:23:05Z,510000,False,,,0,,B. Mathurin STEAL (1 STL),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
53,PT08M02.00S,2023-04-07T23:23:08.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629614,92.59198423127464,53.92156862745098,1610612754,14,4,2023-04-07T23:23:12Z,520000,False,20.0,17.0,1,right,MISS A. Nembhard running Layup - blocked,"[1629614, 1631105]",1610612754.0,IND,running,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,2.6,Missed,,,,,,,Duren,1631105.0,,,,,,,,,,
54,PT08M02.00S,2023-04-07T23:23:08.9Z,1,REGULAR,block,,[],1631105,,,1610612754,14,4,2023-04-07T23:23:10Z,530000,False,,,0,,J. Duren BLOCK (2 BLK),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT07M59.00S,2023-04-07T23:23:11.9Z,1,REGULAR,rebound,defensive,[],1630181,,,1610612765,14,4,2023-04-07T23:23:12Z,540000,False,,,0,,R. Hampton REBOUND (Off:0 Def:2),[1630181],1610612765.0,DET,,,,Hampton,R. Hampton,,,,,Restricted Area,0-8 Center,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,,
56,PT07M58.00S,2023-04-07T23:23:13.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630181,6.389618922470433,46.568627450980394,1610612765,14,6,2023-04-07T23:23:19Z,550000,False,17.0,8.0,1,left,R. Hampton running Layup (2 PTS),[1630181],1610612765.0,DET,running,,,Hampton,R. Hampton,,,,,Restricted Area,0-8 Center,1.88,Made,,,,,,,,,2.0,,,,,,,,,
57,PT07M51.00S,2023-04-07T23:23:19.7Z,1,REGULAR,3pt,Jump Shot,[],1630174,94.95729303547962,97.05882352941177,1610612754,17,6,2023-04-07T23:23:28Z,560000,False,235.0,-5.0,1,right,A. Nesmith 3PT  (6 PTS) (J. Nwora 2 AST),"[1630174, 1629670]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Right Corner 3,24+ Right,23.54,Made,,,,,,,,,6.0,J. Nwora,1629670.0,2.0,,,,,,
59,PT07M38.00S,2023-04-07T23:23:31.9Z,1,REGULAR,3pt,Jump Shot,[],1631093,31.225361366622867,33.088235294117645,1610612765,17,6,2023-04-07T23:23:38Z,580000,False,85.0,241.0,1,left,MISS J. Ivey 25' pullup 3PT,[1631093],1610612765.0,DET,pullup,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Right Center,25.54,Missed,,,,,,,,,,,,,,,,,,
60,PT07M35.00S,2023-04-07T23:23:34.9Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,17,6,2023-04-07T23:23:38Z,590000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,,
61,PT07M32.00S,2023-04-07T23:23:39.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631097,92.85479632063075,56.86274509803921,1610612754,17,6,2023-04-07T23:23:45Z,600000,False,34.0,15.0,1,right,MISS B. Mathurin running Layup - blocked,"[1631097, 1630165]",1610612754.0,IND,running,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,3.73,Missed,,,,,,,Hayes,1630165.0,,,,,,,,,,
62,PT07M32.00S,2023-04-07T23:23:39.1Z,1,REGULAR,block,,[],1630165,,,1610612754,17,6,2023-04-07T23:23:41Z,610000,False,,,0,,K. Hayes BLOCK (1 BLK),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
63,PT07M29.00S,2023-04-07T23:23:42.1Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,17,6,2023-04-07T23:23:45Z,620000,False,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Restricted Area,0-8 Center,,,61.0,1.0,1.0,0.0,,,,,,,,,,,,,,
64,PT07M26.00S,2023-04-07T23:23:45.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631093,27.414586070959263,19.607843137254903,1610612765,17,6,2023-04-07T23:23:52Z,630000,False,152.0,205.0,1,left,MISS J. Ivey 25' running 3PT,[1631093],1610612765.0,DET,running,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Right Center,25.54,Missed,,,,,,,,,,,,,,,,,,
65,PT07M23.00S,2023-04-07T23:23:48.3Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,17,6,2023-04-07T23:24:10Z,640000,False,,,0,,J. Duren REBOUND (Off:1 Def:0),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Right Center,,,64.0,1.0,0.0,1.0,,,,,,,,,,,,,,
66,PT07M22.00S,2023-04-07T23:23:54.1Z,1,REGULAR,turnover,double dribble,[],1631105,,,1610612765,17,6,2023-04-07T23:24:01Z,650000,False,,,0,,J. Duren double dribble TURNOVER (3 TO),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,101284.0,3.0,,,,,,,,,,,,
67,PT07M22.00S,2023-04-07T23:23:57.9Z,1,REGULAR,substitution,out,[],1631105,,,1610612754,17,6,2023-04-07T23:24:03Z,660000,False,,,0,,SUB out: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M22.00S,2023-04-07T23:23:57.9Z,1,REGULAR,substitution,in,[],202709,,,1610612754,17,6,2023-04-07T23:24:03Z,670000,False,,,0,,SUB in: C. Joseph,[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M13.00S,2023-04-07T23:24:19.6Z,1,REGULAR,turnover,lost ball,[],1631097,,,1610612754,17,6,2023-04-07T23:24:22Z,680000,False,,,0,,B. Mathurin lost ball TURNOVER (1 TO),"[1631097, 1630165]",1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,,,,,,,Hayes,1630165.0,,,,
70,PT07M13.00S,2023-04-07T23:24:19.6Z,1,REGULAR,steal,,[],1630165,,,1610612765,17,6,2023-04-07T23:24:21Z,690000,False,,,0,,K. Hayes STEAL (1 STL),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
71,PT07M09.00S,2023-04-07T23:24:22.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630165,5.863994743758213,52.20588235294118,1610612765,17,8,2023-04-07T23:24:27Z,700000,False,-11.0,3.0,1,left,K. Hayes running finger roll Layup (2 PTS),[1630165],1610612765.0,DET,running finger roll,,,Hayes,K. Hayes,,,,,Restricted Area,0-8 Center,1.13,Made,,,,,,,,,2.0,,,,,,,,,
72,PT06M52.00S,2023-04-07T23:24:39.5Z,1,REGULAR,2pt,Jump Shot,[],1631097,85.23324572930355,23.52941176470588,1610612754,17,8,2023-04-07T23:24:45Z,710000,False,-132.0,86.0,1,right,MISS B. Mathurin 15' pullup Shot,[1631097],1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Mid-Range,8-16 Left,15.8,Missed,,,,,,,,,,,,,,,,,,
73,PT06M47.00S,2023-04-07T23:24:44.5Z,1,REGULAR,rebound,defensive,[],1630181,,,1610612765,17,8,2023-04-07T23:24:45Z,720000,False,,,0,,R. Hampton REBOUND (Off:0 Def:3),[1630181],1610612765.0,DET,,,,Hampton,R. Hampton,,,,,Mid-Range,8-16 Left,,,72.0,3.0,3.0,0.0,,,,,,,,,,,,,,
74,PT06M37.00S,2023-04-07T23:24:57.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628963,6.1268068331143235,59.31372549019608,1610612765,17,10,2023-04-07T23:25:03Z,730000,False,-47.0,5.0,1,left,M. Bagley III Hook (2 PTS),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),0-8 Center,4.69,Made,,,,,,,,,2.0,,,,,,,,,
75,PT06M37.00S,2023-04-07T23:25:00.0Z,1,REGULAR,foul,personal,['1freethrow'],1630543,,,1610612765,17,10,2023-04-07T23:25:04Z,740000,False,,,0,,I. Jackson shooting personal FOUL (1 PF) (Bagley III 1 FT),"[1630543, 1628963]",1610612754.0,IND,shooting,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627529.0,,,,,,,,,,1.0,0.0,Bagley III,1628963.0
77,PT06M37.00S,2023-04-07T23:25:06.2Z,1,REGULAR,substitution,out,[],1630543,,,1610612765,17,10,2023-04-07T23:27:14Z,760000,False,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M37.00S,2023-04-07T23:25:06.2Z,1,REGULAR,substitution,in,[],201949,,,1610612765,17,10,2023-04-07T23:27:14Z,770000,False,,,0,,SUB in: J. Johnson,[201949],1610612754.0,IND,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M37.00S,2023-04-07T23:25:39.9Z,1,REGULAR,freethrow,1 of 1,[],1628963,,,1610612765,17,11,2023-04-07T23:25:39Z,780000,False,,,0,,M. Bagley III Free Throw 1 of 1 (3 PTS),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
80,PT06M23.00S,2023-04-07T23:25:54.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629670,92.9862023653088,50.0,1610612754,19,11,2023-04-07T23:25:58Z,790000,False,0.0,13.0,1,right,J. Nwora driving DUNK (5 PTS) (A. Nesmith 1 AST),"[1629670, 1630174]",1610612754.0,IND,driving,,,Nwora,J. Nwora,,,,,Restricted Area,0-8 Center,1.34,Made,,,,,,,,,5.0,A. Nesmith,1630174.0,1.0,,,,,,
82,PT06M18.00S,2023-04-07T23:26:01.8Z,1,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612765,19,11,2023-04-07T23:26:11Z,810000,False,,,0,,A. Nesmith shooting personal FOUL (1 PF) (Ivey 2 FT),"[1630174, 1631093]",1610612754.0,IND,shooting,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,,,,200832.0,,,,,,,,,,1.0,0.0,Ivey,1631093.0
84,PT06M18.00S,2023-04-07T23:26:28.8Z,1,REGULAR,freethrow,1 of 2,[],1631093,,,1610612765,19,12,2023-04-07T23:31:50Z,830000,False,,,0,,J. Ivey Free Throw 1 of 2 (3 PTS),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
85,PT06M18.00S,2023-04-07T23:26:28.8Z,1,REGULAR,freethrow,2 of 2,[],1631093,,,1610612765,19,13,2023-04-07T23:31:50Z,840000,False,,,0,,J. Ivey Free Throw 2 of 2 (4 PTS),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,Made,,,,,,,,,4.0,,,,,,,,,
87,PT05M55.00S,2023-04-07T23:27:13.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629670,92.72339027595268,53.92156862745098,1610612754,19,13,2023-04-07T23:27:20Z,860000,False,20.0,16.0,1,right,MISS J. Nwora cutting DUNK,[1629670],1610612754.0,IND,cutting,,,Nwora,J. Nwora,,,,,Restricted Area,0-8 Center,2.52,Missed,,,,,,,,,,,,,,,,,,
88,PT05M52.00S,2023-04-07T23:27:16.3Z,1,REGULAR,rebound,offensive,[],1629670,,,1610612754,19,13,2023-04-07T23:27:29Z,870000,False,,,0,,J. Nwora REBOUND (Off:1 Def:0),[1629670],1610612754.0,IND,,,,Nwora,J. Nwora,,,,,Restricted Area,0-8 Center,,,87.0,1.0,0.0,1.0,,,,,,,,,,,,,,
