actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
16,PT10M53.00S,2022-11-08T00:46:48.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,85.89027595269383,64.2156862745098,1610612740,2,0,2022-11-08T00:46:52Z,160000,71.0,80.0,1,right,MISS B. Ingram 10' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Right,,,,10.71,Missed,,,,,,,,,,,,,,,
17,PT10M50.00S,2022-11-08T00:46:51.4Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,2,0,2022-11-08T00:46:52Z,170000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M47.00S,2022-11-08T00:46:55.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,26.231931668856767,85.7843137254902,1610612754,5,0,2022-11-08T00:47:01Z,180000,-179.0,194.0,1,left,B. Hield 26' 3PT running (3 PTS) (T. Haliburton 1 AST),"[1627741, 1630169]",1610612754.0,IND,running,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,,,,26.4,Made,,,,,,,3.0,T. Haliburton,1630169.0,1.0,,,,,
20,PT10M27.00S,2022-11-08T00:47:13.9Z,1,REGULAR,2pt,Jump Shot,[],203468,94.03745072273325,86.76470588235294,1610612740,5,0,2022-11-08T00:47:17Z,200000,184.0,4.0,1,right,MISS C. McCollum 18' pullup Shot,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Right,,,,18.38,Missed,,,,,,,,,,,,,,,
21,PT10M24.00S,2022-11-08T00:47:16.9Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,5,0,2022-11-08T00:47:17Z,210000,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Right,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,
22,PT10M09.00S,2022-11-08T00:47:32.4Z,1,REGULAR,3pt,Jump Shot,[],1627741,32.276609724047304,53.92156862745098,1610612754,5,0,2022-11-08T00:47:36Z,220000,-20.0,251.0,1,left,MISS B. Hield 25' 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,,,,25.17,Missed,,,,,,,,,,,,,,,
23,PT10M06.00S,2022-11-08T00:47:35.4Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,5,0,2022-11-08T00:47:36Z,230000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,
24,PT09M53.00S,2022-11-08T00:47:48.2Z,1,REGULAR,turnover,bad pass,[],1630529,,,1610612740,5,0,2022-11-08T00:47:51Z,240000,,,0,,H. Jones bad pass TURNOVER (1 TO),"[1630529, 1629614]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,8-16 Right,1.0,Nembhard,1629614.0,,,,,,,,,,,,,,,,,
25,PT09M53.00S,2022-11-08T00:47:48.2Z,1,REGULAR,steal,,[],1629614,,,1610612754,5,0,2022-11-08T00:47:49Z,250000,,,0,,A. Nembhard STEAL (1 STL),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
26,PT09M48.00S,2022-11-08T00:47:53.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630188,6.783837056504599,49.01960784313725,1610612754,7,0,2022-11-08T00:47:58Z,260000,5.0,11.0,1,left,J. Smith running DUNK (2 PTS) (T. Haliburton 2 AST),"[1630188, 1630169]",1610612754.0,IND,running,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,1.23,Made,,,,,,,2.0,T. Haliburton,1630169.0,2.0,,,,,
28,PT09M48.00S,2022-11-08T00:47:58.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,7,0,2022-11-08T00:47:58Z,280000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M28.00S,2022-11-08T00:51:10.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,92.59198423127464,56.127450980392155,1610612740,7,0,2022-11-08T00:51:14Z,290000,31.0,17.0,1,right,MISS H. Jones driving Layup,[1630529],1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,3.51,Missed,,,,,,,,,,,,,,,
30,PT09M24.00S,2022-11-08T00:51:14.1Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,7,0,2022-11-08T00:51:14Z,300000,,,0,,J. Smith REBOUND (Off:0 Def:2),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,
31,PT09M08.00S,2022-11-08T00:51:29.8Z,1,REGULAR,3pt,Jump Shot,[],1630169,34.37910643889619,26.96078431372549,1610612754,7,0,2022-11-08T00:51:34Z,310000,115.0,271.0,1,left,MISS T. Haliburton 29' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,,29.42,Missed,,,,,,,,,,,,,,,
32,PT09M04.00S,2022-11-08T00:51:33.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,7,0,2022-11-08T00:51:34Z,320000,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,
33,PT08M56.00S,2022-11-08T00:51:41.7Z,1,REGULAR,2pt,Jump Shot,[],1627742,83.78777923784494,22.54901960784314,1610612740,7,0,2022-11-08T00:51:45Z,330000,-137.0,100.0,1,right,MISS B. Ingram 16' Jump Shot,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Left,,,,16.98,Missed,,,,,,,,,,,,,,,
34,PT08M53.00S,2022-11-08T00:51:44.7Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,7,0,2022-11-08T00:51:45Z,340000,,,0,,M. Turner REBOUND (Off:0 Def:3),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Left,,,,,,,,33.0,3.0,3.0,0.0,,,,,,,,,
35,PT08M50.00S,2022-11-08T00:51:49.5Z,1,REGULAR,foul,personal,['2freethrow'],203468,,,1610612754,7,0,2022-11-08T00:51:58Z,350000,,,0,,C. McCollum shooting personal FOUL (1 PF) (Hield 2 FT),"[203468, 1627741]",1610612740.0,NOP,shooting,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,201245.0,1.0,0.0,Hield,1627741.0
37,PT08M50.00S,2022-11-08T00:52:24.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627741,,,1610612754,8,0,2022-11-08T00:52:24Z,370000,,,0,,B. Hield Free Throw 1 of 2 (4 PTS),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,Made,,,,,,,4.0,,,,,,,,
38,PT08M50.00S,2022-11-08T00:52:39.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627741,,,1610612754,9,0,2022-11-08T00:52:39Z,380000,,,0,,B. Hield Free Throw 2 of 2 (5 PTS),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,Made,,,,,,,5.0,,,,,,,,
39,PT08M44.00S,2022-11-08T00:52:50.7Z,1,REGULAR,foul,personal,[],1629614,,,1610612740,9,0,2022-11-08T00:52:57Z,390000,,,0,,A. Nembhard personal FOUL (1 PF),"[1629614, 203468]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1193.0,1.0,0.0,McCollum,203468.0
41,PT08M40.00S,2022-11-08T00:53:10.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,90.09526938239159,45.09803921568628,1610612740,9,0,2022-11-08T00:53:15Z,410000,-25.0,41.0,1,right,MISS Z. Williamson floating Shot - blocked,"[1629627, 1626167]",1610612740.0,NOP,floating,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,4.74,Missed,Turner,1626167.0,,,,,,,,,,,,,
42,PT08M40.00S,2022-11-08T00:53:10.8Z,1,REGULAR,block,,[],1626167,,,1610612740,9,0,2022-11-08T00:53:12Z,420000,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT08M37.00S,2022-11-08T00:53:13.8Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,9,0,2022-11-08T00:53:15Z,430000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,
44,PT08M23.00S,2022-11-08T00:53:27.9Z,1,REGULAR,3pt,Jump Shot,[],1630188,7.30946123521682,2.941176470588235,1610612754,9,0,2022-11-08T00:53:32Z,440000,235.0,16.0,1,left,MISS J. Smith 3PT,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Right Corner 3,24+ Right,,,,23.59,Missed,,,,,,,,,,,,,,,
45,PT08M20.00S,2022-11-08T00:53:30.2Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,9,0,2022-11-08T00:53:30Z,450000,,,0,,Z. Williamson REBOUND (Off:0 Def:2),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Right Corner 3,24+ Right,,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,
46,PT08M14.00S,2022-11-08T00:53:36.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629627,92.19776609724047,42.64705882352941,1610612740,9,2,2022-11-08T00:54:22Z,460000,-37.0,21.0,1,right,Z. Williamson running finger roll Layup (2 PTS),[1629627],1610612740.0,NOP,running finger roll,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,4.23,Made,,,,,,,2.0,,,,,,,,
47,PT08M07.00S,2022-11-08T00:53:43.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626167,6.521024967148489,46.568627450980394,1610612754,11,2,2022-11-08T00:53:47Z,470000,17.0,9.0,1,left,M. Turner cutting DUNK (4 PTS) (A. Nembhard 1 AST),"[1626167, 1629614]",1610612754.0,IND,cutting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,1.93,Made,,,,,,,4.0,A. Nembhard,1629614.0,1.0,,,,,
49,PT07M51.00S,2022-11-08T00:53:59.5Z,1,REGULAR,3pt,Jump Shot,[],1629627,84.44480946123521,2.941176470588235,1610612740,11,5,2022-11-08T00:54:03Z,490000,-235.0,94.0,1,right,Z. Williamson 25' 3PT  (5 PTS) (B. Ingram 1 AST),"[1629627, 1627742]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Left,,,,25.33,Made,,,,,,,5.0,B. Ingram,1627742.0,1.0,,,,,
51,PT07M33.00S,2022-11-08T00:54:17.4Z,1,REGULAR,2pt,Jump Shot,[],1630169,13.222733245729303,30.88235294117647,1610612754,11,5,2022-11-08T00:54:21Z,510000,96.0,72.0,1,left,MISS T. Haliburton 11' driving floating bank Shot,[1630169],1610612754.0,IND,driving floating bank,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Right,,,,11.96,Missed,,,,,,,,,,,,,,,
52,PT07M31.00S,2022-11-08T00:54:19.4Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,11,5,2022-11-08T00:54:21Z,520000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Right,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,
53,PT07M28.00S,2022-11-08T00:54:23.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630529,93.51182654402102,53.67647058823529,1610612740,11,7,2022-11-08T00:54:28Z,530000,18.0,8.0,1,right,H. Jones running finger roll Layup (2 PTS) (C. McCollum 1 AST),"[1630529, 203468]",1610612740.0,NOP,running finger roll,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,2.03,Made,,,,,,,2.0,C. McCollum,203468.0,1.0,,,,,
55,PT07M17.00S,2022-11-08T00:54:32.7Z,1,REGULAR,3pt,Jump Shot,[],1630188,32.802233902759525,39.705882352941174,1610612754,14,7,2022-11-08T00:54:37Z,550000,51.0,256.0,1,left,J. Smith 26' 3PT  (5 PTS) (A. Nembhard 2 AST),"[1630188, 1629614]",1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Center,,,,26.09,Made,,,,,,,5.0,A. Nembhard,1629614.0,2.0,,,,,
57,PT06M57.00S,2022-11-08T00:54:53.1Z,1,REGULAR,3pt,Jump Shot,[],1630529,71.69842312746385,25.0,1610612740,14,7,2022-11-08T00:54:57Z,570000,-125.0,214.0,1,right,MISS H. Jones 24' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,,,,24.74,Missed,,,,,,,,,,,,,,,
58,PT06M54.00S,2022-11-08T00:54:56.1Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,14,7,2022-11-08T00:54:57Z,580000,,,0,,M. Turner REBOUND (Off:0 Def:4),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,,,,,,,,57.0,4.0,4.0,0.0,,,,,,,,,
59,PT06M42.00S,2022-11-08T00:55:09.9Z,1,REGULAR,foul,personal,[],1630529,,,1610612754,14,7,2022-11-08T00:55:15Z,590000,,,0,,H. Jones personal FOUL (1 PF),"[1630529, 1630188]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1193.0,1.0,0.0,Smith,1630188.0
61,PT06M42.00S,2022-11-08T00:55:16.3Z,1,REGULAR,substitution,out,[],1629627,,,1610612754,14,7,2022-11-08T00:55:19Z,610000,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M42.00S,2022-11-08T00:55:16.3Z,1,REGULAR,substitution,in,[],1630631,,,1610612754,14,7,2022-11-08T00:55:19Z,620000,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M42.00S,2022-11-08T00:55:21.2Z,1,REGULAR,substitution,out,[],1629614,,,1610612754,14,7,2022-11-08T00:55:29Z,630000,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M42.00S,2022-11-08T00:55:21.2Z,1,REGULAR,substitution,in,[],204456,,,1610612754,14,7,2022-11-08T00:55:29Z,640000,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M34.00S,2022-11-08T00:55:47.6Z,1,REGULAR,3pt,Jump Shot,[],1626167,28.991458607095925,18.38235294117647,1610612754,17,7,2022-11-08T00:55:51Z,650000,158.0,220.0,1,left,M. Turner 27' 3PT  (7 PTS) (T. Haliburton 3 AST),"[1626167, 1630169]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,,,,27.09,Made,,,,,,,7.0,T. Haliburton,1630169.0,3.0,,,,,
67,PT06M20.00S,2022-11-08T00:56:01.1Z,1,REGULAR,3pt,Jump Shot,[],203468,67.09921156373193,71.32352941176471,1610612740,17,10,2022-11-08T00:56:05Z,670000,107.0,257.0,1,right,C. McCollum 27' 3PT  (3 PTS) (J. Valanciunas 1 AST),"[203468, 202685]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,,,,27.8,Made,,,,,,,3.0,J. Valanciunas,202685.0,1.0,,,,,
69,PT06M10.00S,2022-11-08T00:56:10.5Z,1,REGULAR,3pt,Jump Shot,[],1627741,36.74441524310118,47.794117647058826,1610612754,17,10,2022-11-08T00:56:15Z,690000,11.0,293.0,1,left,MISS B. Hield 29' 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,,,,29.31,Missed,,,,,,,,,,,,,,,
70,PT06M07.00S,2022-11-08T00:56:13.5Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,17,10,2022-11-08T00:56:15Z,700000,,,0,,C. McCollum REBOUND (Off:0 Def:2),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,,,,,,,,69.0,2.0,2.0,0.0,,,,,,,,,
71,PT05M59.00S,2022-11-08T00:56:22.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,87.07293035479631,36.76470588235294,1610612740,17,12,2022-11-08T00:56:26Z,710000,-66.0,69.0,1,right,J. Valanciunas 9' turnaround Jump Shot (2 PTS),[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Left,,,,9.56,Made,,,,,,,2.0,,,,,,,,
72,PT05M58.00S,2022-11-08T00:56:26.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,17,12,2022-11-08T00:56:26Z,720000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M37.00S,2022-11-08T00:59:41.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626167,6.1268068331143235,50.0,1610612754,19,12,2022-11-08T00:59:44Z,730000,0.0,5.0,1,left,M. Turner cutting DUNK (9 PTS) (T. Haliburton 4 AST),"[1626167, 1630169]",1610612754.0,IND,cutting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,0.51,Made,,,,,,,9.0,T. Haliburton,1630169.0,4.0,,,,,
75,PT05M18.00S,2022-11-08T00:59:59.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,84.1819973718791,35.78431372549019,1610612740,19,12,2022-11-08T01:00:03Z,750000,-71.0,96.0,1,right,MISS B. Ingram 11' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Left,,,,11.96,Missed,,,,,,,,,,,,,,,
76,PT05M16.00S,2022-11-08T01:00:01.5Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,19,12,2022-11-08T01:00:03Z,760000,,,0,,J. Smith REBOUND (Off:0 Def:3),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,75.0,3.0,3.0,0.0,,,,,,,,,
77,PT05M12.00S,2022-11-08T01:00:06.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,10.5946123521682,95.58823529411765,1610612754,19,12,2022-11-08T01:00:11Z,770000,-228.0,47.0,1,left,MISS B. Hield running 3PT,[1627741],1610612754.0,IND,running,,,Hield,B. Hield,,,,,Left Corner 3,24+ Left,,,,23.27,Missed,,,,,,,,,,,,,,,
78,PT05M09.00S,2022-11-08T01:00:09.6Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,19,12,2022-11-08T01:00:09Z,780000,,,0,,M. Turner REBOUND (Off:1 Def:4),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Left Corner 3,24+ Left,,,,,,,,77.0,5.0,4.0,1.0,,,,,,,,,
80,PT05M09.00S,2022-11-08T01:00:14.1Z,1,REGULAR,substitution,out,[],1627741,,,1610612754,19,12,2022-11-08T01:00:28Z,800000,,,0,,SUB out: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M09.00S,2022-11-08T01:00:14.1Z,1,REGULAR,substitution,out,[],1626167,,,1610612754,19,12,2022-11-08T01:00:28Z,810000,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M09.00S,2022-11-08T01:00:14.1Z,1,REGULAR,substitution,out,[],202685,,,1610612754,19,12,2022-11-08T01:00:28Z,820000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M09.00S,2022-11-08T01:00:14.1Z,1,REGULAR,substitution,in,[],1630543,,,1610612754,19,12,2022-11-08T01:00:28Z,830000,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M09.00S,2022-11-08T01:00:14.1Z,1,REGULAR,substitution,in,[],1631097,,,1610612754,19,12,2022-11-08T01:00:28Z,840000,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M09.00S,2022-11-08T01:00:14.1Z,1,REGULAR,substitution,in,[],1626204,,,1610612754,19,12,2022-11-08T01:00:28Z,850000,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M04.00S,2022-11-08T01:00:41.2Z,1,REGULAR,turnover,out-of-bounds,[],1630188,,,1610612754,19,12,2022-11-08T01:00:52Z,860000,,,0,,J. Smith step out-of-bounds TURNOVER (1 TO),[1630188],1610612754.0,IND,step,,,Smith,J. Smith,,,,,Left Corner 3,24+ Left,1.0,,,,,,,,,,,,,,,1193.0,,,,
