shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
09:25,38,PT09M25.00S,2022-12-11T00:17:20.3Z,1,REGULAR,steal,,[],201988,,,1610612751,9,11,2022-12-11T00:17:21Z,380000,False,,,0,,P. Mills STEAL (1 STL),[201988],8,1610612751.0,BKN,,,,Mills,P. Mills,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
09:22,39,PT09M22.00S,2022-12-11T00:17:23.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628410,6.258212877792378,47.05882352941176,1610612751,9,13,2022-12-11T00:17:33Z,390000,False,15.0,6.0,1,left,E. Sumner running finger roll Layup (4 PTS) (P. Mills 2 AST),"[1628410, 201988]",4,1610612751.0,BKN,running finger roll,,,Sumner,E. Sumner,,,,,Restricted Area,0-8 Center,1.6,Made,4.0,P. Mills,201988.0,2.0,,,,,,,,,,,,,,
09:05,41,PT09M05.00S,2022-12-11T00:17:39.0Z,1,REGULAR,3pt,Jump Shot,[],1630169,67.09921156373193,53.431372549019606,1610612754,12,13,2022-12-11T00:17:43Z,410000,False,17.0,257.0,1,right,T. Haliburton 25' 3PT pullup (6 PTS) (A. Nembhard 2 AST),"[1630169, 1629614]",0,1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,25.74,Made,6.0,A. Nembhard,1629614.0,2.0,,,,,,,,,,,,,,
08:44,43,PT08M44.00S,2022-12-11T00:18:01.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201988,6.915243101182654,57.35294117647059,1610612751,12,13,2022-12-11T00:18:06Z,430000,False,-37.0,13.0,1,left,MISS P. Mills cutting Layup,[201988],8,1610612751.0,BKN,cutting,,,Mills,P. Mills,,,,,Restricted Area,0-8 Center,3.89,Missed,,,,,,,,,,,,,,,,,,
08:42,44,PT08M42.00S,2022-12-11T00:18:03.2Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,12,13,2022-12-11T00:18:06Z,440000,False,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],25,1610612754.0,IND,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,
08:36,45,PT08M36.00S,2022-12-11T00:18:10.2Z,1,REGULAR,foul,personal,[],1630549,,,1610612754,12,13,2022-12-11T00:18:12Z,450000,False,,,0,,D. Sharpe personal FOUL (1 PF),"[1630549, 1630169]",20,1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1628159.0,1.0,0.0,Haliburton,1630169.0,,,,,,
08:26,47,PT08M26.00S,2022-12-11T00:18:35.4Z,1,REGULAR,turnover,bad pass,[],1630188,,,1610612754,12,13,2022-12-11T00:18:38Z,470000,False,,,0,,J. Smith bad pass TURNOVER (2 TO),"[1630188, 202693]",25,1610612754.0,IND,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,2.0,Morris,202693.0,,,,,,,,,,,
08:26,48,PT08M26.00S,2022-12-11T00:18:35.4Z,1,REGULAR,steal,,[],202693,,,1610612751,12,13,2022-12-11T00:18:36Z,480000,False,,,0,,M. Morris STEAL (1 STL),[202693],13,1610612751.0,BKN,,,,Morris,M. Morris,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
08:20,49,PT08M20.00S,2022-12-11T00:18:40.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630549,7.046649145860711,52.94117647058824,1610612751,12,15,2022-12-11T00:18:50Z,490000,False,-15.0,14.0,1,left,D. Sharpe running Layup (4 PTS) (P. Mills 3 AST),"[1630549, 201988]",20,1610612751.0,BKN,running,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,2.01,Made,4.0,P. Mills,201988.0,3.0,,,,,,,,,,,,,,
08:10,51,PT08M10.00S,2022-12-11T00:18:49.7Z,1,REGULAR,3pt,Jump Shot,[],1630188,66.5735873850197,50.0,1610612754,12,15,2022-12-11T00:18:54Z,510000,False,0.0,262.0,1,right,MISS J. Smith 26' 3PT,[1630188],25,1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Center,26.17,Missed,,,,,,,,,,,,,,,,,,
