actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
17,PT10M48.00S,2023-02-16T00:14:35.4Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,0,2,2023-02-16T00:14:36Z,170000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,,,,Mid-Range,8-16 Right,,,,Nesmith,A. Nesmith,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M40.00S,2023-02-16T00:14:43.0Z,1,REGULAR,turnover,bad pass,[],1630174,,,1610612754,0,2,2023-02-16T00:14:46Z,180000,False,,,0,,A. Nesmith bad pass TURNOVER (1 TO),"[1630174, 1630172]",1610612754.0,IND,,,,,,,Above the Break 3,24+ Right Center,,,,Nesmith,A. Nesmith,,,,,1.0,Williams,1630172.0,,,,,,,,,,
19,PT10M40.00S,2023-02-16T00:14:43.0Z,1,REGULAR,steal,,[],1630172,,,1610612741,0,2,2023-02-16T00:14:45Z,190000,False,,,0,,P. Williams STEAL (1 STL),[1630172],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,
20,PT10M36.00S,2023-02-16T00:14:46.4Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630245,92.9862023653088,52.450980392156865,1610612741,0,4,2023-02-16T00:15:47Z,200000,False,12.0,13.0,1,right,A. Dosunmu running DUNK (4 PTS) (P. Williams 1 AST),"[1630245, 1630172]",1610612741.0,CHI,running,,,,,,Restricted Area,0-8 Center,1.82,Made,4.0,Dosunmu,A. Dosunmu,,,,,,,,P. Williams,1630172.0,1.0,,,,,,,
22,PT10M13.00S,2023-02-16T00:15:09.7Z,1,REGULAR,3pt,Jump Shot,[],1630174,6.783837056504599,97.79411764705883,1610612754,3,4,2023-02-16T00:15:13Z,220000,False,-239.0,11.0,1,left,A. Nesmith 3PT  (3 PTS) (T. McConnell 1 AST),"[1630174, 204456]",1610612754.0,IND,,,,,,,Left Corner 3,24+ Left,23.93,Made,3.0,Nesmith,A. Nesmith,,,,,,,,T. McConnell,204456.0,1.0,,,,,,,
24,PT10M04.00S,2023-02-16T00:15:22.2Z,1,REGULAR,foul,personal,[],1630174,,,1610612741,3,4,2023-02-16T00:15:27Z,240000,False,,,0,,A. Nesmith personal FOUL (1 PF),"[1630174, 1630172]",1610612754.0,IND,,,,,,,Above the Break 3,24+ Right Center,,,,Nesmith,A. Nesmith,,,,,,,,,,,2882.0,1.0,0.0,Williams,1630172.0,,
26,PT09M55.00S,2023-02-16T00:15:48.6Z,1,REGULAR,turnover,traveling,[],203897,,,1610612741,3,4,2023-02-16T00:15:53Z,260000,False,,,0,,Z. LaVine traveling TURNOVER (1 TO),[203897],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,,,,LaVine,Z. LaVine,,,,,1.0,,,,,,2882.0,,,,,,
27,PT09M45.00S,2023-02-16T00:16:09.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204456,6.1268068331143235,96.81372549019608,1610612754,3,4,2023-02-16T00:16:13Z,270000,False,-234.0,5.0,1,left,MISS T. McConnell 3PT,[204456],1610612754.0,IND,,,,,,,Left Corner 3,24+ Left,23.42,Missed,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,
28,PT09M41.00S,2023-02-16T00:16:13.3Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,3,4,2023-02-16T00:16:13Z,280000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:2),[203897],1610612741.0,CHI,,,,,,,Left Corner 3,24+ Left,,,,LaVine,Z. LaVine,27.0,2.0,2.0,0.0,,,,,,,,,,,,,
29,PT09M28.00S,2023-02-16T00:16:25.6Z,1,REGULAR,2pt,Jump Shot,[],202696,92.9862023653088,68.13725490196079,1610612741,3,6,2023-02-16T00:16:29Z,290000,False,91.0,13.0,1,right,N. Vucevic 9' turnaround Jump Shot (2 PTS) (P. Williams 2 AST),"[202696, 1630172]",1610612741.0,CHI,turnaround,,,,,,Mid-Range,8-16 Right,9.17,Made,2.0,Vucevic,N. Vucevic,,,,,,,,P. Williams,1630172.0,2.0,,,,,,,
31,PT09M02.00S,2023-02-16T00:16:51.1Z,1,REGULAR,3pt,Jump Shot,[],1630174,18.478975032851512,5.88235294117647,1610612754,6,6,2023-02-16T00:16:55Z,310000,False,221.0,121.0,1,left,A. Nesmith 25' 3PT  (6 PTS) (B. Hield 1 AST),"[1630174, 1627741]",1610612754.0,IND,,,,,,,Above the Break 3,24+ Right Center,25.17,Made,6.0,Nesmith,A. Nesmith,,,,,,,,B. Hield,1627741.0,1.0,,,,,,,
33,PT08M45.00S,2023-02-16T00:17:09.3Z,1,REGULAR,3pt,Jump Shot,[],203897,65.1281208935611,55.88235294117647,1610612741,6,6,2023-02-16T00:18:00Z,330000,False,29.0,275.0,1,right,MISS Z. LaVine 27' step back 3PT,[203897],1610612741.0,CHI,step back,,,,,,Above the Break 3,24+ Center,27.69,Missed,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,
34,PT08M40.00S,2023-02-16T00:17:14.3Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,6,6,2023-02-16T00:17:13Z,340000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,,,,Above the Break 3,24+ Center,,,,Turner,M. Turner,33.0,1.0,1.0,0.0,,,,,,,,,,,,,
35,PT08M22.00S,2023-02-16T00:17:31.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,14.14257555847569,34.80392156862745,1610612754,6,6,2023-02-16T00:17:35Z,350000,False,76.0,80.0,1,left,MISS M. Turner 11' turnaround Shot,[1626167],1610612754.0,IND,turnaround,,,,,,In The Paint (Non-RA),8-16 Right,11.06,Missed,,Turner,M. Turner,,,,,,,,,,,,,,,,,
36,PT08M19.00S,2023-02-16T00:17:34.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,6,6,2023-02-16T00:17:35Z,360000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,,,,In The Paint (Non-RA),8-16 Right,,,,Vucevic,N. Vucevic,35.0,1.0,1.0,0.0,,,,,,,,,,,,,
37,PT08M15.00S,2023-02-16T00:17:41.2Z,1,REGULAR,violation,kicked ball,[],1626167,,,1610612741,6,6,2023-02-16T00:19:16Z,370000,False,,,0,,M. Turner kicked ball VIOLATION,[1626167],1610612754.0,IND,,,,,,,,,,,,Turner,M. Turner,,,,,,,,,,,1199.0,,,,,,
38,PT08M14.00S,2023-02-16T00:17:57.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203897,91.80354796320631,47.794117647058826,1610612741,6,8,2023-02-16T00:18:01Z,380000,False,-11.0,25.0,1,right,Z. LaVine alley-oop DUNK (2 PTS) (A. Caruso 1 AST),"[203897, 1627936]",1610612741.0,CHI,alley-oop,,,,,,Restricted Area,0-8 Center,2.69,Made,2.0,LaVine,Z. LaVine,,,,,,,,A. Caruso,1627936.0,1.0,,,,,,,
40,PT08M00.00S,2023-02-16T00:18:11.8Z,1,REGULAR,foul,personal,[],202696,,,1610612754,6,8,2023-02-16T00:18:17Z,400000,False,,,0,,N. Vucevic personal FOUL (1 PF),"[202696, 1626167]",1610612741.0,CHI,,,,,,,Mid-Range,8-16 Left,,,,Vucevic,N. Vucevic,,,,,,,,,,,1199.0,1.0,0.0,Turner,1626167.0,,
42,PT07M50.00S,2023-02-16T00:18:42.6Z,1,REGULAR,turnover,traveling,[],1626167,,,1610612754,6,8,2023-02-16T00:18:47Z,420000,False,,,0,,M. Turner traveling TURNOVER (1 TO),[1626167],1610612754.0,IND,,,,,,,Mid-Range,16-24 Center,,,,Turner,M. Turner,,,,,1.0,,,,,,2882.0,,,,,,
43,PT07M36.00S,2023-02-16T00:19:05.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202696,65.25952693823915,40.44117647058824,1610612741,6,11,2023-02-16T00:19:09Z,430000,False,-48.0,274.0,1,right,N. Vucevic 27' 3PT  (5 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,27.82,Made,5.0,Vucevic,N. Vucevic,,,,,,,,Z. LaVine,203897.0,1.0,,,,,,,
45,PT07M29.00S,2023-02-16T00:19:14.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,6,11,2023-02-16T00:19:14Z,450000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M20.00S,2023-02-16T00:22:23.8Z,1,REGULAR,turnover,bad pass,[],1626167,,,1610612754,6,11,2023-02-16T00:22:27Z,460000,False,,,0,,M. Turner bad pass TURNOVER (2 TO),"[1626167, 1627936]",1610612754.0,IND,,,,,,,Mid-Range,8-16 Left,,,,Turner,M. Turner,,,,,2.0,Caruso,1627936.0,,,,,,,,,,
47,PT07M20.00S,2023-02-16T00:22:23.8Z,1,REGULAR,steal,,[],1627936,,,1610612741,6,11,2023-02-16T00:22:25Z,470000,False,,,0,,A. Caruso STEAL (1 STL),[1627936],1610612741.0,CHI,,,,,,,Mid-Range,8-16 Left,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,
48,PT07M16.00S,2023-02-16T00:22:27.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627936,94.95729303547962,53.431372549019606,1610612741,6,13,2023-02-16T00:22:33Z,480000,False,17.0,-5.0,1,right,A. Caruso running finger roll Layup (2 PTS),[1627936],1610612741.0,CHI,running finger roll,,,,,,Restricted Area,0-8 Center,1.79,Made,2.0,Caruso,A. Caruso,,,,,,,,,,,,,,,,,
49,PT07M07.00S,2023-02-16T00:22:36.9Z,1,REGULAR,3pt,Jump Shot,[],1630174,8.360709592641262,96.56862745098039,1610612754,6,13,2023-02-16T00:22:40Z,490000,False,-233.0,26.0,1,left,MISS A. Nesmith 3PT,[1630174],1610612754.0,IND,,,,,,,Left Corner 3,24+ Left,23.43,Missed,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,
50,PT07M05.00S,2023-02-16T00:22:38.9Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,6,13,2023-02-16T00:22:40Z,500000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:3),[203897],1610612741.0,CHI,,,,,,,Left Corner 3,24+ Left,,,,LaVine,Z. LaVine,49.0,3.0,3.0,0.0,,,,,,,,,,,,,
51,PT07M01.00S,2023-02-16T00:22:42.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630245,93.24901445466492,50.0,1610612741,6,15,2023-02-16T00:22:49Z,510000,False,0.0,11.0,1,right,A. Dosunmu running finger roll Layup (6 PTS) (Z. LaVine 2 AST),"[1630245, 203897]",1610612741.0,CHI,running finger roll,,,,,,Restricted Area,0-8 Center,1.1,Made,6.0,Dosunmu,A. Dosunmu,,,,,,,,Z. LaVine,203897.0,2.0,,,,,,,
53,PT06M43.00S,2023-02-16T00:23:00.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,9.411957950065702,37.745098039215684,1610612754,6,15,2023-02-16T00:23:05Z,530000,False,61.0,36.0,1,left,MISS T. Haliburton 7' driving floating Shot,[1630169],1610612754.0,IND,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.11,Missed,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
54,PT06M41.00S,2023-02-16T00:23:02.5Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,6,15,2023-02-16T00:23:05Z,540000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Dosunmu,A. Dosunmu,53.0,1.0,1.0,0.0,,,,,,,,,,,,,
55,PT06M31.00S,2023-02-16T00:23:12.3Z,1,REGULAR,3pt,Jump Shot,[],203897,67.7562417871222,50.245098039215684,1610612741,6,18,2023-02-16T00:23:18Z,550000,False,1.0,251.0,1,right,Z. LaVine 25' 3PT step back (5 PTS) (N. Vucevic 1 AST),"[203897, 202696]",1610612741.0,CHI,step back,,,,,,Above the Break 3,24+ Center,25.06,Made,5.0,LaVine,Z. LaVine,,,,,,,,N. Vucevic,202696.0,1.0,,,,,,,
57,PT06M16.00S,2023-02-16T00:23:29.8Z,1,REGULAR,foul,personal,[],1627936,,,1610612754,6,18,2023-02-16T00:23:34Z,570000,False,,,0,,A. Caruso personal FOUL (1 PF),"[1627936, 1630169]",1610612741.0,CHI,,,,,,,Mid-Range,16-24 Right,,,,Caruso,A. Caruso,,,,,,,,,,,1199.0,1.0,0.0,Haliburton,1630169.0,,
59,PT06M16.00S,2023-02-16T00:23:33.7Z,1,REGULAR,substitution,out,[],204456,,,1610612754,6,18,2023-02-16T00:23:40Z,590000,False,,,0,,SUB out: T. McConnell,[204456],1610612754.0,IND,,,,,,,,,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,
60,PT06M16.00S,2023-02-16T00:23:33.7Z,1,REGULAR,substitution,in,[],1631097,,,1610612754,6,18,2023-02-16T00:23:40Z,600000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,,,,,,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
61,PT06M16.00S,2023-02-16T00:23:41.8Z,1,REGULAR,substitution,out,[],1627936,,,1610612754,6,18,2023-02-16T00:23:46Z,610000,False,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,,,,,,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,
62,PT06M16.00S,2023-02-16T00:23:41.8Z,1,REGULAR,substitution,in,[],1629632,,,1610612754,6,18,2023-02-16T00:23:46Z,620000,False,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,,,,,,,,,White,C. White,,,,,,,,,,,,,,,,,
63,PT06M10.00S,2023-02-16T00:24:02.6Z,1,REGULAR,3pt,Jump Shot,[],1630169,26.49474375821288,18.38235294117647,1610612754,6,18,2023-02-16T00:24:09Z,630000,False,158.0,197.0,1,left,MISS T. Haliburton 25' step back 3PT,[1630169],1610612754.0,IND,step back,,,,,,Above the Break 3,24+ Right Center,25.23,Missed,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
64,PT06M06.00S,2023-02-16T00:24:06.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,6,18,2023-02-16T00:24:12Z,640000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,,,,Vucevic,N. Vucevic,63.0,2.0,2.0,0.0,,,,,,,,,,,,,
65,PT05M57.00S,2023-02-16T00:24:15.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,93.38042049934296,53.431372549019606,1610612741,6,18,2023-02-16T00:24:24Z,650000,False,17.0,10.0,1,right,MISS Z. LaVine driving reverse Layup - blocked,"[203897, 1630174]",1610612741.0,CHI,driving reverse,,,,,,Restricted Area,0-8 Center,1.97,Missed,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,Nesmith,1630174.0
66,PT05M57.00S,2023-02-16T00:24:15.8Z,1,REGULAR,block,,[],1630174,,,1610612741,6,18,2023-02-16T00:24:18Z,660000,False,,,0,,A. Nesmith BLOCK (1 BLK),[1630174],1610612754.0,IND,,,,,,,Restricted Area,0-8 Center,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,
67,PT05M55.00S,2023-02-16T00:24:17.8Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,6,18,2023-02-16T00:24:22Z,670000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:2),[1630174],1610612754.0,IND,,,,,,,Restricted Area,0-8 Center,,,,Nesmith,A. Nesmith,65.0,2.0,2.0,0.0,,,,,,,,,,,,,
68,PT05M39.00S,2023-02-16T00:24:34.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,15.719448094612352,48.03921568627451,1610612754,6,18,2023-02-16T00:24:38Z,680000,False,10.0,95.0,1,left,MISS M. Turner 9' turnaround Shot,[1626167],1610612754.0,IND,turnaround,,,,,,In The Paint (Non-RA),8-16 Center,9.58,Missed,,Turner,M. Turner,,,,,,,,,,,,,,,,,
69,PT05M35.00S,2023-02-16T00:24:38.9Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,6,18,2023-02-16T00:24:38Z,690000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Vucevic,N. Vucevic,68.0,3.0,3.0,0.0,,,,,,,,,,,,,
70,PT05M27.00S,2023-02-16T00:24:45.3Z,1,REGULAR,turnover,lost ball,[],202696,,,1610612741,6,18,2023-02-16T00:24:48Z,700000,False,,,0,,N. Vucevic lost ball TURNOVER (1 TO),"[202696, 1630174]",1610612741.0,CHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Vucevic,N. Vucevic,,,,,1.0,Nesmith,1630174.0,,,,,,,,,,
71,PT05M27.00S,2023-02-16T00:24:45.3Z,1,REGULAR,steal,,[],1630174,,,1610612754,6,18,2023-02-16T00:24:46Z,710000,False,,,0,,A. Nesmith STEAL (1 STL),[1630174],1610612754.0,IND,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,
72,PT05M25.00S,2023-02-16T00:24:49.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630169,6.1268068331143235,54.166666666666664,1610612754,8,18,2023-02-16T00:24:54Z,720000,False,-21.0,5.0,1,left,T. Haliburton running finger roll Layup (2 PTS) (A. Nesmith 1 AST),"[1630169, 1630174]",1610612754.0,IND,running finger roll,,,,,,Restricted Area,0-8 Center,2.14,Made,2.0,Haliburton,T. Haliburton,,,,,,,,A. Nesmith,1630174.0,1.0,,,,,,,
74,PT05M25.00S,2023-02-16T00:24:53.0Z,1,REGULAR,foul,personal,['1freethrow'],1629632,,,1610612754,8,18,2023-02-16T00:28:39Z,740000,False,,,0,,C. White shooting personal FOUL (1 PF) (Haliburton 1 FT),"[1629632, 1630169]",1610612741.0,CHI,shooting,,,,,,Restricted Area,0-8 Center,,,,White,C. White,,,,,,,,,,,1628954.0,1.0,0.0,Haliburton,1630169.0,,
76,PT05M25.00S,2023-02-16T00:25:07.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,8,18,2023-02-16T00:28:24Z,760000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M25.00S,2023-02-16T00:27:01.5Z,1,REGULAR,substitution,out,[],1626167,,,1610612754,8,18,2023-02-16T00:28:24Z,770000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,,,,,,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,
78,PT05M25.00S,2023-02-16T00:27:01.5Z,1,REGULAR,substitution,in,[],1630543,,,1610612754,8,18,2023-02-16T00:28:24Z,780000,False,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,,,,,,,,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,
79,PT05M25.00S,2023-02-16T00:28:02.1Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630169,,,1610612754,9,18,2023-02-16T00:28:02Z,790000,False,,,0,,T. Haliburton Free Throw 1 of 1 (3 PTS),[1630169],1610612754.0,IND,,,,,,,,,,Made,3.0,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
80,PT05M09.00S,2023-02-16T00:28:21.0Z,1,REGULAR,3pt,Jump Shot,[],203897,69.99014454664915,19.607843137254903,1610612741,9,18,2023-02-16T00:28:28Z,800000,False,-152.0,230.0,1,right,MISS Z. LaVine 27' 3PT,[203897],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,27.54,Missed,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,
81,PT05M06.00S,2023-02-16T00:28:24.0Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,9,18,2023-02-16T00:28:28Z,810000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,,,,Haliburton,T. Haliburton,80.0,1.0,1.0,0.0,,,,,,,,,,,,,
82,PT04M58.00S,2023-02-16T00:28:32.0Z,1,REGULAR,3pt,Jump Shot,[],1627741,12.565703022339028,96.07843137254902,1610612754,9,18,2023-02-16T00:28:35Z,820000,False,-230.0,66.0,1,left,MISS B. Hield 3PT,[1627741],1610612754.0,IND,,,,,,,Left Corner 3,24+ Left,23.96,Missed,,Hield,B. Hield,,,,,,,,,,,,,,,,,
83,PT04M54.00S,2023-02-16T00:28:36.0Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,9,18,2023-02-16T00:28:35Z,830000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:4),[203897],1610612741.0,CHI,,,,,,,Left Corner 3,24+ Left,,,,LaVine,Z. LaVine,82.0,4.0,4.0,0.0,,,,,,,,,,,,,
84,PT04M44.00S,2023-02-16T00:28:45.3Z,1,REGULAR,2pt,Jump Shot,[],1630172,79.45137976346912,32.35294117647059,1610612741,9,20,2023-02-16T00:28:49Z,840000,False,-88.0,141.0,1,right,P. Williams 16' pullup Jump Shot (2 PTS) (N. Vucevic 2 AST),"[1630172, 202696]",1610612741.0,CHI,pullup,,,,,,Mid-Range,16-24 Left Center,16.61,Made,2.0,Williams,P. Williams,,,,,,,,N. Vucevic,202696.0,2.0,,,,,,,
85,PT04M33.00S,2023-02-16T00:28:58.0Z,1,REGULAR,turnover,traveling,[],1627741,,,1610612754,9,20,2023-02-16T00:29:02Z,850000,False,,,0,,B. Hield traveling TURNOVER (1 TO),[1627741],1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,,,,Hield,B. Hield,,,,,1.0,,,,,,1199.0,,,,,,
86,PT04M33.00S,2023-02-16T00:29:00.4Z,1,REGULAR,substitution,out,[],1627741,,,1610612741,9,20,2023-02-16T00:29:10Z,860000,False,,,0,,SUB out: B. Hield,[1627741],1610612754.0,IND,,,,,,,,,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,
