actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
36,PT08M45.00S,2023-02-24T00:14:48.0Z,1,REGULAR,foul,offensive,[],1627759,,,1610612738,10,7,2023-02-24T00:14:57Z,360000,False,,,0,,J. Brown offensive FOUL (1 PF),"[1627759, 1630174]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,202053.0,1.0,0.0,Nesmith,1630174.0
38,PT08M45.00S,2023-02-24T00:14:48.0Z,1,REGULAR,turnover,offensive foul,[],1627759,,,1610612738,10,7,2023-02-24T00:14:48Z,380000,False,,,0,,J. Brown offensive foul TURNOVER (2 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right,,,,,,,,,,2.0,,,,,,202053.0,,,,
39,PT08M34.00S,2023-02-24T00:15:10.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627741,85.49605781865965,95.83333333333334,1610612754,10,7,2023-02-24T00:15:14Z,390000,False,229.0,84.0,1,right,MISS B. Hield 24' 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Right Corner 3,24+ Right,24.4,Missed,,,,,,,,,,,,,,,,,,
40,PT08M32.00S,2023-02-24T00:15:12.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,10,7,2023-02-24T00:15:14Z,400000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Right Corner 3,24+ Right,,,39.0,3.0,3.0,0.0,,,,,,,,,,,,,,
41,PT08M18.00S,2023-02-24T00:15:26.6Z,1,REGULAR,3pt,Jump Shot,[],201143,31.61957950065703,69.36274509803921,1610612738,10,10,2023-02-24T00:27:24Z,410000,False,-97.0,245.0,1,left,A. Horford 26' 3PT  (3 PTS) (M. Smart 1 AST),"[201143, 203935]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,26.32,Made,,,,,,,3.0,,,,M. Smart,203935.0,1.0,,,,,
43,PT07M53.00S,2023-02-24T00:15:53.3Z,1,REGULAR,turnover,out-of-bounds,[],1629614,,,1610612754,10,10,2023-02-24T00:16:04Z,430000,False,,,0,,A. Nembhard bad pass out-of-bounds TURNOVER (1 TO),[1629614],1610612754.0,IND,bad pass,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1.0,,,,,,2530.0,,,,
44,PT07M38.00S,2023-02-24T00:16:12.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629057,5.863994743758213,51.71568627450981,1610612738,10,12,2023-02-24T00:16:16Z,440000,False,-9.0,3.0,1,left,R. Williams III cutting DUNK (4 PTS) (J. Brown 1 AST),"[1629057, 1627759]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,0.9,Made,,,,,,,4.0,,,,J. Brown,1627759.0,1.0,,,,,
46,PT07M37.00S,2023-02-24T00:16:16.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,10,12,2023-02-24T00:16:16Z,460000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M17.00S,2023-02-24T00:19:34.1Z,1,REGULAR,turnover,lost ball,[],1626167,,,1610612754,10,12,2023-02-24T00:19:37Z,470000,False,,,0,,M. Turner lost ball TURNOVER (1 TO),"[1626167, 1627759]",1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1.0,Brown,1627759.0,,,,,,,,
51,PT07M17.00S,2023-02-24T00:19:34.1Z,1,REGULAR,steal,,[],1627759,,,1610612738,10,12,2023-02-24T00:19:36Z,480000,False,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
