actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
26,PT10M02.00S,2024-11-11T00:14:05.5Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,5,4,2024-11-11T00:14:10Z,250000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612748.0,MIA,,Love,K. Love,,Left Corner 3,24+ Left,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,
27,PT09M43.00S,2024-11-11T00:14:24.8Z,1,REGULAR,2pt,Jump Shot,[],201567,89.96386333771353,29.901960784313726,1610612748,5,4,2024-11-11T00:14:31Z,260000,False,-100.0,42.0,1,right,MISS K. Love 10' turnaround Shot - blocked,"[201567, 1630183]",1610612748.0,MIA,,Love,K. Love,turnaround,Mid-Range,8-16 Left,10.88,Missed,,,,,,,,,,,,,,,,McDaniels,1630183.0,,,,,,
28,PT09M43.00S,2024-11-11T00:14:24.8Z,1,REGULAR,block,,[],1630183,,,1610612748,5,4,2024-11-11T00:14:27Z,270000,False,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,McDaniels,J. McDaniels,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M39.00S,2024-11-11T00:14:28.8Z,1,REGULAR,rebound,offensive,[],201567,,,1610612748,5,4,2024-11-11T00:14:31Z,280000,False,,,0,,K. Love REBOUND (Off:1 Def:1),[201567],1610612748.0,MIA,,Love,K. Love,,Mid-Range,8-16 Left,,,,,,,,,,,27.0,2.0,1.0,1.0,,,,,,,,,,,
30,PT09M38.00S,2024-11-11T00:14:29.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626179,68.15045992115637,42.8921568627451,1610612748,5,4,2024-11-11T00:15:36Z,290000,False,-36.0,247.0,1,right,MISS T. Rozier 24' pullup 3PT,[1626179],1610612748.0,MIA,,Rozier,T. Rozier,pullup,Above the Break 3,24+ Center,24.94,Missed,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M38.00S,2024-11-11T00:14:29.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,5,4,2024-11-11T00:14:33Z,300000,False,,,0,,R. Gobert REBOUND (Off:2 Def:1),[203497],1610612750.0,MIN,,Gobert,R. Gobert,,Above the Break 3,24+ Center,,,,,,,,,,,30.0,3.0,1.0,2.0,,,,,,,,,,,
33,PT09M23.00S,2024-11-11T00:15:01.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203944,6.652431011826544,51.71568627450981,1610612750,7,4,2024-11-11T00:15:05Z,320000,False,-9.0,10.0,1,left,J. Randle cutting DUNK (2 PTS) (A. Edwards 1 AST),"[203944, 1630162]",1610612750.0,MIN,,Randle,J. Randle,cutting,Restricted Area,0-8 Center,1.32,Made,2.0,A. Edwards,1630162.0,1.0,,,,,,,,,,,,,,,,,,,
35,PT09M07.00S,2024-11-11T00:15:17.1Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,7,4,2024-11-11T00:15:23Z,340000,False,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1630183]",1610612748.0,MIA,,Adebayo,B. Adebayo,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,1.0,McDaniels,1630183.0,,,,,,,,
36,PT09M07.00S,2024-11-11T00:15:17.1Z,1,REGULAR,steal,,[],1630183,,,1610612750,7,4,2024-11-11T00:15:19Z,350000,False,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,McDaniels,J. McDaniels,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M03.00S,2024-11-11T00:15:20.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630183,6.1268068331143235,50.73529411764706,1610612750,9,4,2024-11-11T00:15:27Z,360000,False,-4.0,5.0,1,left,J. McDaniels running DUNK (2 PTS),[1630183],1610612750.0,MIN,,McDaniels,J. McDaniels,running,Restricted Area,0-8 Center,0.63,Made,2.0,,,,,,,,,,,,,,,,,,,,,,
38,PT08M42.00S,2024-11-11T00:15:41.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,83.65637319316689,44.11764705882353,1610612748,9,6,2024-11-11T00:15:46Z,370000,False,-29.0,101.0,1,right,B. Adebayo 10' Jump Shot (2 PTS) (K. Love 1 AST),"[1628389, 201567]",1610612748.0,MIA,,Adebayo,B. Adebayo,,In The Paint (Non-RA),8-16 Center,10.53,Made,2.0,K. Love,201567.0,1.0,,,,,,,,,,,,,,,,,,,
40,PT08M30.00S,2024-11-11T00:15:53.5Z,1,REGULAR,3pt,Jump Shot,[],201144,29.77989487516426,24.019607843137255,1610612750,9,6,2024-11-11T00:15:58Z,390000,False,130.0,227.0,1,left,MISS M. Conley 26' pullup 3PT,[201144],1610612750.0,MIN,,Conley,M. Conley,pullup,Above the Break 3,24+ Right Center,26.19,Missed,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M27.00S,2024-11-11T00:15:56.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,9,6,2024-11-11T00:15:58Z,400000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,Adebayo,B. Adebayo,,Above the Break 3,24+ Right Center,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,
42,PT08M22.00S,2024-11-11T00:16:01.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201567,67.7562417871222,34.068627450980394,1610612748,9,9,2024-11-11T00:40:18Z,410000,False,-80.0,251.0,1,right,K. Love 26' 3PT running pullup (3 PTS),[201567],1610612748.0,MIA,,Love,K. Love,running pullup,Above the Break 3,24+ Center,26.3,Made,3.0,,,,,,,,,,,,,,,,,,,,,,
43,PT08M02.00S,2024-11-11T00:16:21.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,8.754927726675426,47.30392156862745,1610612750,9,9,2024-11-11T00:16:25Z,420000,False,13.0,30.0,1,left,MISS J. Randle driving Layup - blocked,"[203944, 1628389]",1610612750.0,MIN,,Randle,J. Randle,driving,Restricted Area,0-8 Center,3.27,Missed,,,,,,,,,,,,,,,,Adebayo,1628389.0,,,,,,
44,PT08M02.00S,2024-11-11T00:16:21.1Z,1,REGULAR,block,,[],1628389,,,1610612750,9,9,2024-11-11T00:16:22Z,430000,False,,,0,,B. Adebayo BLOCK (2 BLK),[1628389],1610612748.0,MIA,,Adebayo,B. Adebayo,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M01.00S,2024-11-11T00:16:22.1Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,9,9,2024-11-11T00:16:47Z,440000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,Adebayo,B. Adebayo,,Restricted Area,0-8 Center,,,,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,,
46,PT07M49.00S,2024-11-11T00:16:35.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201567,93.11760840998686,46.32352941176471,1610612748,9,9,2024-11-11T00:16:41Z,450000,False,-18.0,12.0,1,right,MISS K. Love reverse Layup,[201567],1610612748.0,MIA,,Love,K. Love,reverse,Restricted Area,0-8 Center,2.21,Missed,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M47.00S,2024-11-11T00:16:37.1Z,1,REGULAR,rebound,offensive,[],1629312,,,1610612748,9,9,2024-11-11T00:16:37Z,460000,False,,,0,,H. Highsmith REBOUND (Off:1 Def:0),[1629312],1610612748.0,MIA,,Highsmith,H. Highsmith,,Restricted Area,0-8 Center,,,,,,,,,,,46.0,1.0,0.0,1.0,,,,,,,,,,,
48,PT07M46.00S,2024-11-11T00:16:38.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201567,93.11760840998686,5.147058823529411,1610612748,9,9,2024-11-11T00:16:44Z,470000,False,-224.0,12.0,1,right,MISS K. Love 3PT,[201567],1610612748.0,MIA,,Love,K. Love,,Left Corner 3,24+ Left,22.46,Missed,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M43.00S,2024-11-11T00:16:41.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,9,9,2024-11-11T00:16:44Z,480000,False,,,0,,R. Gobert REBOUND (Off:2 Def:2),[203497],1610612750.0,MIN,,Gobert,R. Gobert,,Left Corner 3,24+ Left,,,,,,,,,,,48.0,4.0,2.0,2.0,,,,,,,,,,,
50,PT07M38.00S,2024-11-11T00:16:49.5Z,1,REGULAR,foul,personal,['2freethrow'],1626179,,,1610612750,9,9,2024-11-11T00:17:11Z,490000,False,,,0,,T. Rozier shooting personal FOUL (2 PF) (McDaniels 2 FT),"[1626179, 1630183]",1610612748.0,MIA,201246.0,Rozier,T. Rozier,shooting,Restricted Area,0-8 Center,,,,,,,2.0,0.0,McDaniels,1630183.0,,,,,,,,,,,,,,,
52,PT07M38.00S,2024-11-11T00:17:10.6Z,1,REGULAR,freethrow,1 of 2,[],1630183,,,1610612750,10,9,2024-11-11T00:17:35Z,510000,False,,,0,,J. McDaniels Free Throw 1 of 2 (3 PTS),[1630183],1610612750.0,MIN,,McDaniels,J. McDaniels,,,,,Made,3.0,,,,,,,,,,,,,,,,,,,,,,
53,PT07M38.00S,2024-11-11T00:17:14.9Z,1,REGULAR,substitution,out,[],1626179,,,1610612750,10,9,2024-11-11T00:17:19Z,520000,False,,,0,,SUB out: T. Rozier,[1626179],1610612748.0,MIA,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M38.00S,2024-11-11T00:17:14.9Z,1,REGULAR,substitution,in,[],1626196,,,1610612750,10,9,2024-11-11T00:17:19Z,530000,False,,,0,,SUB in: J. Richardson,[1626196],1610612748.0,MIA,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M38.00S,2024-11-11T00:17:10.6Z,1,REGULAR,freethrow,2 of 2,[],1630183,,,1610612750,10,9,2024-11-11T00:17:35Z,540000,False,,,0,,MISS J. McDaniels Free Throw 2 of 2,[1630183],1610612750.0,MIN,,McDaniels,J. McDaniels,,,,,Missed,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M36.00S,2024-11-11T00:17:12.6Z,1,REGULAR,rebound,defensive,[],1629312,,,1610612748,10,9,2024-11-11T00:17:35Z,550000,False,,,0,,H. Highsmith REBOUND (Off:1 Def:1),[1629312],1610612748.0,MIA,,Highsmith,H. Highsmith,,,,,,,,,,,,,,55.0,2.0,1.0,1.0,,,,,,,,,,,
57,PT07M22.00S,2024-11-11T00:17:47.5Z,1,REGULAR,3pt,Jump Shot,[],1629639,81.553876478318,92.8921568627451,1610612748,10,9,2024-11-11T00:17:53Z,560000,False,214.0,121.0,1,right,MISS T. Herro 24' pullup 3PT,[1629639],1610612748.0,MIA,,Herro,T. Herro,pullup,Above the Break 3,24+ Right Center,24.62,Missed,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M18.00S,2024-11-11T00:17:51.5Z,1,REGULAR,rebound,defensive,[],201144,,,1610612750,10,9,2024-11-11T00:17:53Z,570000,False,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612750.0,MIN,,Conley,M. Conley,,Above the Break 3,24+ Right Center,,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,
59,PT07M12.00S,2024-11-11T00:17:56.8Z,1,REGULAR,3pt,Jump Shot,[],1630162,6.1268068331143235,96.32352941176471,1610612750,10,9,2024-11-11T00:18:04Z,580000,False,-232.0,5.0,1,left,MISS A. Edwards 3PT,[1630162],1610612750.0,MIN,,Edwards,A. Edwards,,Left Corner 3,24+ Left,23.17,Missed,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M09.00S,2024-11-11T00:17:59.8Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,10,9,2024-11-11T00:18:04Z,590000,False,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,Herro,T. Herro,,Left Corner 3,24+ Left,,,,,,,,,,,59.0,2.0,2.0,0.0,,,,,,,,,,,
61,PT07M04.00S,2024-11-11T00:18:05.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629312,92.46057818659659,52.69607843137255,1610612748,10,11,2024-11-11T00:18:11Z,600000,False,13.0,18.0,1,right,H. Highsmith running reverse Layup (2 PTS) (T. Herro 1 AST),"[1629312, 1629639]",1610612748.0,MIA,,Highsmith,H. Highsmith,running reverse,Restricted Area,0-8 Center,2.28,Made,2.0,T. Herro,1629639.0,1.0,,,,,,,,,,,,,,,,,,,
63,PT06M45.00S,2024-11-11T00:18:24.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,10.988830486202366,47.549019607843135,1610612750,10,11,2024-11-11T00:18:31Z,620000,False,12.0,51.0,1,left,MISS A. Edwards driving floating Shot,[1630162],1610612750.0,MIN,,Edwards,A. Edwards,driving floating,In The Paint (Non-RA),0-8 Center,5.23,Missed,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M43.00S,2024-11-11T00:18:26.1Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,10,11,2024-11-11T00:18:31Z,630000,False,,,0,,K. Love REBOUND (Off:1 Def:2),[201567],1610612748.0,MIA,,Love,K. Love,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,63.0,3.0,2.0,1.0,,,,,,,,,,,
65,PT06M38.00S,2024-11-11T00:18:31.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629639,88.78120893561103,37.99019607843137,1610612748,10,13,2024-11-11T00:21:37Z,640000,False,-60.0,53.0,1,right,T. Herro 8' running pullup Jump Shot (2 PTS),[1629639],1610612748.0,MIA,,Herro,T. Herro,running pullup,In The Paint (Non-RA),8-16 Left,8.01,Made,2.0,,,,,,,,,,,,,,,,,,,,,,
66,PT06M38.00S,2024-11-11T00:18:35.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,10,13,2024-11-11T00:18:35Z,650000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M38.00S,2024-11-11T00:20:54.5Z,1,REGULAR,substitution,out,[],201144,,,1610612750,10,13,2024-11-11T00:21:23Z,660000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M38.00S,2024-11-11T00:20:54.5Z,1,REGULAR,substitution,in,[],1628978,,,1610612750,10,13,2024-11-11T00:21:23Z,670000,False,,,0,,SUB in: D. DiVincenzo,[1628978],1610612750.0,MIN,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M21.00S,2024-11-11T00:21:51.8Z,1,REGULAR,2pt,Jump Shot,[],203944,22.026938239159,29.901960784313726,1610612750,10,13,2024-11-11T00:21:57Z,680000,False,100.0,155.0,1,left,MISS J. Randle 18' Jump Shot,[203944],1610612750.0,MIN,,Randle,J. Randle,,Mid-Range,16-24 Right Center,18.44,Missed,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M19.00S,2024-11-11T00:21:53.8Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,10,13,2024-11-11T00:21:57Z,690000,False,,,0,,T. Herro REBOUND (Off:0 Def:3),[1629639],1610612748.0,MIA,,Herro,T. Herro,,Mid-Range,16-24 Right Center,,,,,,,,,,,69.0,3.0,3.0,0.0,,,,,,,,,,,
71,PT06M11.00S,2024-11-11T00:22:01.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,85.75886990801577,44.6078431372549,1610612748,10,13,2024-11-11T00:22:06Z,700000,False,-27.0,81.0,1,right,MISS B. Adebayo 8' pullup Shot,[1628389],1610612748.0,MIA,,Adebayo,B. Adebayo,pullup,In The Paint (Non-RA),8-16 Center,8.58,Missed,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M08.00S,2024-11-11T00:22:04.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,10,13,2024-11-11T00:22:06Z,710000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,Randle,J. Randle,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,
73,PT05M55.00S,2024-11-11T00:22:16.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628978,5.995400788436268,51.225490196078425,1610612750,12,13,2024-11-11T00:22:21Z,720000,False,-6.0,4.0,1,left,D. DiVincenzo cutting Layup (2 PTS) (J. Randle 1 AST),"[1628978, 203944]",1610612750.0,MIN,,DiVincenzo,D. DiVincenzo,cutting,Restricted Area,0-8 Center,0.72,Made,2.0,J. Randle,203944.0,1.0,,,,,,,,,,,,,,,,,,,
76,PT05M41.00S,2024-11-11T00:22:34.8Z,1,REGULAR,substitution,out,[],203944,,,1610612748,12,13,2024-11-11T00:22:57Z,750000,False,,,0,,SUB out: J. Randle,[203944],1610612750.0,MIN,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M41.00S,2024-11-11T00:22:34.8Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,12,13,2024-11-11T00:22:57Z,760000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M41.00S,2024-11-11T00:22:34.8Z,1,REGULAR,substitution,out,[],201567,,,1610612748,12,13,2024-11-11T00:22:57Z,770000,False,,,0,,SUB out: K. Love,[201567],1610612748.0,MIA,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M41.00S,2024-11-11T00:22:34.8Z,1,REGULAR,substitution,in,[],1629675,,,1610612748,12,13,2024-11-11T00:22:57Z,780000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
