actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
20,PT09M54.00S,2024-12-20T02:42:58.4Z,1,REGULAR,turnover,bad pass,[],1626157,,,1610612752,9,5,2024-12-20T02:43:02Z,200000,False,,,0,,K. Towns bad pass TURNOVER (1 TO),"[1626157, 203497]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Gobert,203497.0,,,,,,,
21,PT09M54.00S,2024-12-20T02:42:58.4Z,1,REGULAR,steal,,[],203497,,,1610612750,9,5,2024-12-20T02:43:00Z,210000,False,,,0,,R. Gobert STEAL (1 STL),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT09M49.00S,2024-12-20T02:43:04.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630183,7.835085413929041,96.07843137254902,1610612750,9,5,2024-12-20T02:43:43Z,220000,False,-230.0,21.0,1,left,MISS J. McDaniels running 3PT,[1630183],1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,23.14,Missed,,,,,,,,,,,,,,,,,,
23,PT09M45.00S,2024-12-20T02:43:08.1Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,9,5,2024-12-20T02:43:11Z,230000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT09M37.00S,2024-12-20T02:43:14.7Z,1,REGULAR,3pt,Jump Shot,[],1628973,93.38042049934296,95.83333333333334,1610612752,9,8,2024-12-20T02:43:18Z,240000,False,229.0,10.0,1,right,J. Brunson 3PT  (5 PTS) (M. Bridges 2 AST),"[1628973, 1628969]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Right Corner 3,24+ Right,22.94,Made,5.0,,,,,M. Bridges,1628969.0,2.0,,,,,,,,,,
26,PT09M21.00S,2024-12-20T02:43:31.5Z,1,REGULAR,3pt,Jump Shot,[],201144,29.77989487516426,21.323529411764707,1610612750,12,8,2024-12-20T02:43:37Z,260000,False,143.0,227.0,1,left,M. Conley 26' 3PT pullup (3 PTS) (J. McDaniels 2 AST),"[201144, 1630183]",1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,26.88,Made,3.0,,,,,J. McDaniels,1630183.0,2.0,,,,,,,,,,
28,PT09M02.00S,2024-12-20T02:43:50.2Z,1,REGULAR,turnover,bad pass,[],1626157,,,1610612752,12,8,2024-12-20T02:43:53Z,280000,False,,,0,,K. Towns bad pass TURNOVER (2 TO),"[1626157, 1630162]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2.0,Edwards,1630162.0,,,,,,,
29,PT09M02.00S,2024-12-20T02:43:50.2Z,1,REGULAR,steal,,[],1630162,,,1610612750,12,8,2024-12-20T02:43:51Z,290000,False,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT08M58.00S,2024-12-20T02:43:54.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203944,24.392247043363994,84.55882352941177,1610612750,12,8,2024-12-20T02:44:02Z,300000,False,-173.0,177.0,1,left,MISS J. Randle 24' running pullup 3PT,[203944],1610612750.0,MIN,running pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,24.72,Missed,,,,,,,,,,,,,,,,,,
31,PT08M55.00S,2024-12-20T02:43:57.1Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612752,12,8,2024-12-20T02:44:02Z,310000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Left Center,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,
32,PT08M50.00S,2024-12-20T02:44:02.8Z,1,REGULAR,3pt,Jump Shot,[],1626157,67.7562417871222,55.88235294117647,1610612752,12,11,2024-12-20T02:44:11Z,320000,False,29.0,251.0,1,right,K. Towns 25' 3PT  (3 PTS) (M. Bridges 3 AST),"[1626157, 1628969]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,25.23,Made,3.0,,,,,M. Bridges,1628969.0,3.0,,,,,,,,,,
34,PT08M34.00S,2024-12-20T02:44:18.4Z,1,REGULAR,3pt,Jump Shot,[],1630162,19.004599211563733,7.598039215686274,1610612750,12,11,2024-12-20T02:44:22Z,340000,False,212.0,126.0,1,left,MISS A. Edwards 24' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,24.67,Missed,,,,,,,,,,,,,,,,,,
35,PT08M31.00S,2024-12-20T02:44:21.4Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,12,11,2024-12-20T02:44:22Z,350000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,
36,PT08M25.00S,2024-12-20T02:44:27.2Z,1,REGULAR,3pt,Jump Shot,[],1628969,93.64323258869908,95.83333333333334,1610612752,12,14,2024-12-20T02:44:32Z,360000,False,229.0,7.0,1,right,M. Bridges 3PT  (3 PTS) (J. Brunson 1 AST),"[1628969, 1628973]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,22.93,Made,3.0,,,,,J. Brunson,1628973.0,1.0,,,,,,,,,,
38,PT08M08.00S,2024-12-20T02:44:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,9.280551905387648,54.41176470588235,1610612750,12,14,2024-12-20T02:44:49Z,380000,False,-22.0,35.0,1,left,MISS J. Randle driving Layup,[203944],1610612750.0,MIN,driving,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,4.11,Missed,,,,,,,,,,,,,,,,,,
39,PT08M06.00S,2024-12-20T02:44:46.6Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,12,14,2024-12-20T02:44:49Z,390000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,
40,PT07M55.00S,2024-12-20T02:44:58.2Z,1,REGULAR,3pt,Jump Shot,[],1628969,75.1149802890933,84.55882352941177,1610612752,12,14,2024-12-20T02:45:02Z,400000,False,173.0,181.0,1,right,MISS M. Bridges 25' pullup 3PT,[1628969],1610612752.0,NYK,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,25.05,Missed,,,,,,,,,,,,,,,,,,
41,PT07M51.00S,2024-12-20T02:45:02.2Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,12,14,2024-12-20T02:45:02Z,410000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:2),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,,
42,PT07M44.00S,2024-12-20T02:45:09.4Z,1,REGULAR,3pt,Jump Shot,[],203944,27.94021024967148,78.18627450980392,1610612750,15,14,2024-12-20T02:45:15Z,420000,False,-141.0,210.0,1,left,J. Randle 25' 3PT  (7 PTS) (M. Conley 1 AST),"[203944, 201144]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,25.3,Made,7.0,,,,,M. Conley,201144.0,1.0,,,,,,,,,,
45,PT07M24.00S,2024-12-20T02:45:39.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630173,87.59855453350855,39.46078431372549,1610612752,15,16,2024-12-20T02:46:44Z,450000,False,-53.0,64.0,1,right,P. Achiuwa 8' driving floating Jump Shot (2 PTS) (O. Anunoby 1 AST),"[1630173, 1628384]",1610612752.0,NYK,driving floating,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Left,8.3,Made,2.0,,,,,O. Anunoby,1628384.0,1.0,,,,,,,,,,
47,PT07M12.00S,2024-12-20T02:45:51.6Z,1,REGULAR,3pt,Jump Shot,[],203944,24.129434954007884,13.725490196078432,1610612750,18,16,2024-12-20T02:45:56Z,470000,False,181.0,174.0,1,left,J. Randle 25' 3PT pullup (10 PTS),[203944],1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,25.16,Made,10.0,,,,,,,,,,,,,,,,,
48,PT06M47.00S,2024-12-20T02:46:16.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,81.68528252299606,36.27450980392157,1610612752,18,16,2024-12-20T02:46:22Z,480000,False,-69.0,120.0,1,right,MISS M. Bridges 13' turnaround fadeaway Shot,[1628969],1610612752.0,NYK,turnaround fadeaway,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,13.8,Missed,,,,,,,,,,,,,,,,,,
49,PT06M42.00S,2024-12-20T02:46:21.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,18,16,2024-12-20T02:46:22Z,490000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,
50,PT06M34.00S,2024-12-20T02:46:28.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,12.171484888304862,52.20588235294118,1610612750,18,16,2024-12-20T02:46:35Z,500000,False,-11.0,62.0,1,left,MISS J. Randle 6' driving floating Shot,[203944],1610612750.0,MIN,driving floating,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,6.29,Missed,,,,,,,,,,,,,,,,,,
51,PT06M31.00S,2024-12-20T02:46:31.9Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,18,16,2024-12-20T02:46:35Z,510000,False,,,0,,K. Towns REBOUND (Off:0 Def:3),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,50.0,3.0,3.0,0.0,,,,,,,,,,,,,
52,PT06M16.00S,2024-12-20T02:46:48.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630173,80.1084099868594,49.01960784313725,1610612752,18,16,2024-12-20T02:46:54Z,520000,False,-5.0,134.0,1,right,MISS P. Achiuwa 13' pullup Shot,[1630173],1610612752.0,NYK,pullup,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Center,13.46,Missed,,,,,,,,,,,,,,,,,,
53,PT06M13.00S,2024-12-20T02:46:51.0Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,18,16,2024-12-20T02:46:54Z,530000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,
54,PT05M59.00S,2024-12-20T02:47:05.0Z,1,REGULAR,turnover,bad pass,[],203944,,,1610612750,18,16,2024-12-20T02:47:08Z,540000,False,,,0,,J. Randle bad pass TURNOVER (1 TO),"[203944, 1628969]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,Bridges,1628969.0,,,,,,,
55,PT05M59.00S,2024-12-20T02:47:05.0Z,1,REGULAR,steal,,[],1628969,,,1610612752,18,16,2024-12-20T02:47:06Z,550000,False,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
56,PT05M53.00S,2024-12-20T02:47:10.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628973,89.96386333771353,51.9607843137255,1610612752,18,16,2024-12-20T02:47:15Z,560000,False,10.0,42.0,1,right,MISS J. Brunson running Layup - blocked,"[1628973, 201144]",1610612752.0,NYK,running,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,4.29,Missed,,,,,,,,,,,,Conley,201144.0,,,,,
57,PT05M53.00S,2024-12-20T02:47:10.0Z,1,REGULAR,block,,[],201144,,,1610612752,18,16,2024-12-20T02:47:12Z,570000,False,,,0,,M. Conley BLOCK (1 BLK),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT05M50.00S,2024-12-20T02:47:13.0Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,18,16,2024-12-20T02:47:15Z,580000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,
59,PT05M48.00S,2024-12-20T02:47:15.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203944,14.799605781865965,94.85294117647058,1610612750,21,16,2024-12-20T02:50:39Z,590000,False,-224.0,87.0,1,left,J. Randle 24' 3PT running (13 PTS) (A. Edwards 1 AST),"[203944, 1630162]",1610612750.0,MIN,running,,,Randle,J. Randle,,,,,Left Corner 3,24+ Left,24.04,Made,13.0,,,,,A. Edwards,1630162.0,1.0,,,,,,,,,,
61,PT05M32.00S,2024-12-20T02:47:31.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,92.85479632063075,50.245098039215684,1610612752,21,18,2024-12-20T02:47:36Z,610000,False,1.0,15.0,1,right,J. Brunson cutting Layup (7 PTS) (K. Towns 1 AST),"[1628973, 1626157]",1610612752.0,NYK,cutting,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,1.47,Made,7.0,,,,,K. Towns,1626157.0,1.0,,,,,,,,,,
63,PT05M31.00S,2024-12-20T02:47:36.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,21,18,2024-12-20T02:47:36Z,630000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M31.00S,2024-12-20T02:50:05.7Z,1,REGULAR,substitution,out,[],201144,,,1610612750,21,18,2024-12-20T02:50:59Z,640000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M31.00S,2024-12-20T02:50:05.7Z,1,REGULAR,substitution,out,[],203497,,,1610612750,21,18,2024-12-20T02:50:59Z,650000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M31.00S,2024-12-20T02:50:05.7Z,1,REGULAR,substitution,in,[],1629675,,,1610612750,21,18,2024-12-20T02:50:59Z,660000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M31.00S,2024-12-20T02:50:05.7Z,1,REGULAR,substitution,in,[],1629638,,,1610612750,21,18,2024-12-20T02:50:59Z,670000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M15.00S,2024-12-20T02:51:23.4Z,1,REGULAR,3pt,Jump Shot,[],1630183,5.601182654402102,95.58823529411765,1610612750,24,18,2024-12-20T02:51:28Z,680000,False,-228.0,0.0,1,left,J. McDaniels 3PT  (8 PTS) (A. Edwards 2 AST),"[1630183, 1630162]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,22.79,Made,8.0,,,,,A. Edwards,1630162.0,2.0,,,,,,,,,,
70,PT04M54.00S,2024-12-20T02:51:44.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,92.85479632063075,48.77450980392157,1610612752,24,20,2024-12-20T02:51:48Z,700000,False,-6.0,15.0,1,right,M. Bridges cutting Layup (5 PTS) (K. Towns 2 AST),"[1628969, 1626157]",1610612752.0,NYK,cutting,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,1.59,Made,5.0,,,,,K. Towns,1626157.0,2.0,,,,,,,,,,
72,PT04M42.00S,2024-12-20T02:51:56.1Z,1,REGULAR,3pt,Jump Shot,[],1629675,31.750985545335087,41.17647058823529,1610612750,24,20,2024-12-20T02:52:00Z,720000,False,44.0,246.0,1,left,MISS N. Reid 24' pullup 3PT,[1629675],1610612750.0,MIN,pullup,,,Reid,N. Reid,,,,,Above the Break 3,24+ Center,24.99,Missed,,,,,,,,,,,,,,,,,,
73,PT04M40.00S,2024-12-20T02:51:58.1Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612752,24,20,2024-12-20T02:52:00Z,730000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:2),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Center,,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,
74,PT04M30.00S,2024-12-20T02:52:08.9Z,1,REGULAR,turnover,bad pass,[],1626157,,,1610612752,24,20,2024-12-20T02:52:12Z,740000,False,,,0,,K. Towns bad pass TURNOVER (3 TO),"[1626157, 1629638]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,3.0,Alexander-Walker,1629638.0,,,,,,,
75,PT04M30.00S,2024-12-20T02:52:08.9Z,1,REGULAR,steal,,[],1629638,,,1610612750,24,20,2024-12-20T02:52:10Z,750000,False,,,0,,N. Alexander-Walker STEAL (1 STL),[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
76,PT04M23.00S,2024-12-20T02:52:19.3Z,1,REGULAR,foul,offensive,[],1629675,,,1610612750,24,20,2024-12-20T02:52:46Z,760000,False,,,0,,N. Reid charge offensive FOUL (1 PF),"[1629675, 1628973]",1610612750.0,MIN,charge,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Brunson,1628973.0
78,PT04M23.00S,2024-12-20T02:52:19.3Z,1,REGULAR,turnover,offensive foul,[],1629675,,,1610612750,24,20,2024-12-20T02:52:19Z,780000,False,,,0,,N. Reid offensive foul TURNOVER (1 TO),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,,1627962.0,,,,
80,PT04M23.00S,2024-12-20T02:54:17.4Z,1,REGULAR,substitution,out,[],1630183,,,1610612752,24,20,2024-12-20T02:54:47Z,800000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M23.00S,2024-12-20T02:54:17.4Z,1,REGULAR,substitution,in,[],1628978,,,1610612752,24,20,2024-12-20T02:54:47Z,810000,False,,,0,,SUB in: D. DiVincenzo,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M11.00S,2024-12-20T02:55:16.1Z,1,REGULAR,foul,personal,[],1629675,,,1610612752,24,20,2024-12-20T02:55:22Z,820000,False,,,0,,N. Reid personal FOUL (2 PF),"[1629675, 1626157]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,1627962.0,2.0,0.0,Towns,1626157.0
84,PT03M59.00S,2024-12-20T02:55:44.6Z,1,REGULAR,2pt,Hook,['fromturnover'],1630173,92.85479632063075,66.17647058823529,1610612752,24,20,2024-12-20T02:57:56Z,840000,False,81.0,15.0,1,right,MISS P. Achiuwa 8' turnaround Hook,[1630173],1610612752.0,NYK,turnaround,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,8-16 Right,8.22,Missed,,,,,,,,,,,,,,,,,,
85,PT03M58.00S,2024-12-20T02:55:45.6Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612752,24,20,2024-12-20T02:57:56Z,850000,False,,,0,,K. Towns REBOUND (Off:1 Def:3),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,8-16 Right,,,,84.0,4.0,3.0,1.0,,,,,,,,,,,,,
86,PT03M57.00S,2024-12-20T02:55:49.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1626157,94.40999984741211,50.0,1610612752,24,20,2024-12-20T02:58:08Z,860000,False,0.0,0.0,1,right,MISS K. Towns tip Layup,[1626157],1610612752.0,NYK,tip,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
87,PT03M56.00S,2024-12-20T02:55:50.8Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612752,24,20,2024-12-20T03:01:30Z,870000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:2),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,86.0,3.0,2.0,1.0,,,,,,,,,,,,,
